eng,ne,mBART600M
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","नयाँ पोषण ट्र्याकर एपः CSC-SPV नोडल व्यक्ति (०२ फेब्रुअरी, २०२१)","The new nutrition tracker app is CSC-SPV node person (February 02, 2021)"
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,एउटा एडब्ल्यूडब्ल्यू ले आधार संख्याको आधारमा एउटा एडब्ल्यूसी बाट अर्को एडब्ल्यूसी मा लाभार्थी स्थानान्तरण गर्न 'स्थानान्तरण लाभार्थी' विकल्प प्रयोग गर्न सक्छ।,An AWW may use the 'transfer beneficiary' option to transfer beneficiaries from one AWC to another based on the base number.
A beneficiary is eligible for HCM for at least 21 days in a month.,एउटा लाभार्थी एक महिनामा कम्तिमा 21 दिनको लागि एचसीएम को लागी योग्य हुन्छ।,A beneficiary is eligible for HCM for at least 21 days a month.
ABHA (Health ID) and its Benefits,एबीएचए (स्वास्थ्य आईडी) र यसका फाइदाहरू,ABHA (Health ID) and its benefitsne.
"We'ar sorry, the page you requested could not be found.",हामी क्षमाप्रार्थी छौं तपाईंले अनुरोध गर्नुभएको पृष्ठ भेटिएन।,We apologizene the page you requested was not found.
Dadra & Nagar Haveli - Daman & Diu,दादरा र नगर हवेली - दमन र दीव,Dadra and Nagar mansion - Daman and Diu
Download Mobile App from Play Store,प्ले स्टोरबाट मोबाइल एप डाउनलोड गर्नुहोस्,Download the mobile app from the Play Store or download it from the Play Store.
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","यसबाहेक, जब तपाइँ प्रणालीमा तपाइँको खाता वा यससँग सम्बन्धित कुनै जानकारी परिवर्तन गर्नुहुन्छ वा पहुँच गर्नुहुन्छ, हामी सुरक्षित सर्भरको प्रयोग प्रस्ताव गर्दछौं।","In addition, when you change or access your account or any information related to it on our system, we offer the use of a secure server."
General Awareness on the Delivery of the child,बच्चाको डेलिभरीमा सामान्य जागरूकता,General awareness of childbirth in childbirth.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","हामी हाम्रा सेवाहरू सञ्चालन गर्नका लागि पनि डाटा प्रयोग गर्छौं, जसमा हाम्रो कार्यसम्पादनको विश्लेषण, हाम्रा कानुनी दायित्वहरू पूरा गर्ने, हाम्रो कार्यबलको विकास गर्ने र अनुसन्धान गर्ने समावेश छ।","We also use data to operate our services, including analyzing our performance, fulfilling our legal obligations, developing and researching our workforce."
Where can I enquire about Hot Cooked Meal?,तातो पकाएको खानाको बारेमा मैले कहाँ सोधपुछ गर्न सक्छु?,Where can I inquire about hot cooked food?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","साइटले अन्य वेबसाइटहरूको लिङ्कहरू समावेश गर्न सक्छ जुन हाम्रो स्वामित्व, मर्मत, वा सञ्चालन हुन सक्दैन।","The site may contain links to other websites that we do not own, maintain, or operate."
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","यी वेबसाइटहरू लिङ्क गरिएको तथ्यले यी वेबसाइटहरूको कुनै पनि समर्थनलाई हामीबाट संकेत गर्दैन, किनकि हामीसँग यी वेबसाइटहरूमा कुनै नियन्त्रण छ।","The fact that these websites are linked to each other does not indicate any support for these websites from us, as we have no control over these websites."
We are not responsible for these websites including any content or the privacy practices of these websites.,हामी यी वेबसाइटहरूको लागि कुनै पनि सामग्री वा यी वेबसाइटहरूको गोपनीयता अभ्यासहरू सहित जिम्मेवार छैनौं।,We are not responsible for any content or privacy practices of these websites.
We strongly encourage you to familiarize yourself with the terms of use of these websites.,हामी तपाईंलाई यी वेबसाइटहरूको प्रयोगका सर्तहरूसँग परिचित हुन दृढताका साथ प्रोत्साहन दिन्छौं।,We strongly encourage you to familiarize yourself with the terms of use of these websites.
Your use of these websites is at your own risk and peril.,यी वेबसाइटहरूको तपाईंको प्रयोग तपाईंको आफ्नै जोखिम र खतरामा छ।,Your use of these websites is at your own risk and risk.
In how many languages AWW can enter the data while filling up the form?,AWW वा AWC ले फारम भर्दा कति भाषाहरूमा डाटा प्रविष्ट गर्न सक्छन्?,How many languages can AWW or AWC enter data when filling out a form?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषणमा कमीको रूपमा पहिचान गरिएका बालबालिकाहरू थप खाद्य पूरकहरूका लागि योग्य छन्।,Children who are identified as malnourished are eligible for additional food supplements.
An underweight person is a person whose body weight is considered too low to be healthy,कम तौल भएको व्यक्ति एउटा व्यक्ति हो जसको शरीरको तौल स्वस्थ हुनको लागि धेरै कम मानिन्छ,A person of low weight is a person whose body weight is considered too low to be healthy.
When and how to use MPIN?,MPIN कहिले र कसरी प्रयोग गर्ने?,When and how to use MPne?
Ensuring that complementary feeding improves over time,समयसँगै पूरक आहारमा सुधार हुन्छ भन्ने सुनिश्चित गर्दै,Ensuring that dietary supplements improve over time.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,एबीएचए (स्वास्थ्य आईडी) को प्रयोग गर्नु भएको मा तपाईं र तपाईंको परिवारको लागि सुरक्षित र प्रभावकारी डिजिटल स्वास्थ्य अभिलेख सिर्जना गर्ने पहिलो कदम हो।,Using ABHA (Health ID) is the first step in creating a safe and effective digital health record for you and your family.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,एबीएचए (पहिले स्वास्थ्य आईडी भनेर चिनिन्थ्यो) आयुष्मान भारत स्वास्थ्य खाताको संक्षिप्त रूप हो।,ABHA (formerly known as Health ID) is an acronym for Ayushman Bharat Health Account.
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"AWW / AWC हरूलाई केवल नोडल स्तर अफिसियलद्वारा जोड्न सकिन्छ।पदमा माथि रहेको कसैले पनि थप्न सक्छ।राष्ट्रिय स्तरमा जस्तै प्रयोगकर्ताले राज्य, जिल्ला, परियोजना र क्षेत्र स्तरको प्रयोगकर्ता सिर्जना गर्न सक्छ।राज्य स्तरका प्रयोगकर्ताले जिल्ला, परियोजना र क्षेत्र स्तरको प्रयोगकर्ता सिर्जना गर्न सक्छ, जिल्ला स्तरका प्रयोगकर्ताले परियोजना र क्षेत्र स्तरको प्रयोगकर्ता सिर्जना गर्न सक्छ, परियोजना स्तरका प्रयोगकर्ताले क्षेत्र स्तरको प्रयोगकर्ता सिर्जना गर्न सक्छ।","AWWs/AWCs can only be linked by node-level official.Anyone above the level can add them.As at national level, a user can create a user at the state, district, project and region level.A user at state level can create a user at the district, project and region level, a user at district level can create a user at project and region level, a user at project level can create a user at region level."
Where can I enquire about take home ration?,मैले घरमा रासन लैजाने बारेमा कहाँ सोध्न सक्छु?,Where can I ask about taking home a ration?
We use the information we collect from all our services for the following purposes:,हामीले हाम्रा सबै सेवाहरूबाट सङ्कलन गरेको जानकारी निम्न उद्देश्यका लागि प्रयोग गर्छौंः,We use the information we collect from all our services for the following purposes:
Identification & Referral of Sick Newborn,बिरामी नवजात शिशुको पहिचान र सन्दर्भ,Identification and reference of a sick newborn.
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. तेस्रो पक्ष प्रणालीद्वारा प्रदान गरिएको डाटाको शुद्धता,XIV.ne. Accuracy of data provided by third party systems.ne
Who is eligible for Take Home Ration?,घरको राशन लिनुको लागि को योग्य छ?,Who is eligible to receive household ration?
Supporting mothers with issues in Breastfeeding,स्तनपानमा समस्या भएका आमाहरूलाई समर्थन गर्दै,Supporting mothers with breastfeeding problems.
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","प्रस्तावित प्रणालीले परिभाषित संकेतकहरूमा सबै AWCहरू, AWWहरू र लाभार्थीहरूको वास्तविक समयको अनुगमन र ट्र्याकिंग सक्षम पार्नु पर्दछ।","The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries at the indicators defined by the proposed system."
Above standards are defined as per given above mentioned age brackets,माथि उल्लिखित उमेर कोष्ठकहरू अनुसार माथिको मापदण्डहरू परिभाषित गरिएका छन्,ne The above parameters are defined according to the above-mentioned age brackets.
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","यदि एउटा व्यक्तिको तौल कम छ भने, उसको शरीरले स्वस्थ हड्डी, छाला र कपाल बनाउन आवश्यक पोषक तत्वहरू नपाएको हुन सक्छ।","If a person is underweight, his body may not have the nutrients needed to make healthy bones, skin, and hair."
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,MPIN सम्बन्धित आंगनवाडी कार्यकर्ताले आफ्नो मोबाइल नम्बरको बिरूद्ध OTP अनुरोध गरेर सेट गर्न सकिन्छ ।,MPIN can be set by an MPIN-related Anganwadi worker by requesting an OTP against their mobile number.
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","मोबाइल नम्बर डाटाबेसमा पहिले नै अवस्थित छ भने, सम्बन्धित आंगनवाडी व्यक्तिले पंजीकृत मोबाइल नम्बरमा ४ अंकको ओटिपी प्राप्त गर्नेछ।","If the mobile number already exists in the database, the relevant person from Anganwadi will receive a 4-digit OTP to the registered mobile number."
"Post entering the OTP, AWW can easily set customized MPIN.","ओटिपीमा प्रवेश गरेपछि, AWW सजिलै अनुकूलित MPIN सेट गर्न सक्दछ।","Once entered into OTP, AWW can easily set a custom MPIN."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","यसले सहभागी स्वास्थ्य सेवा प्रदायकहरूसँग तपाइँको अन्तरक्रियालाई सक्षम बनाउँछ, र तपाइँलाई प्रमाणित स्वास्थ्य सेवा पेशेवरहरू र स्वास्थ्य सेवा प्रदायकहरूबाट तपाइँको डिजिटल ल्याब रिपोर्टहरू, नुस्खाहरू र निदान प्राप्त गर्न अनुमति दिन्छ।","This enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions, and diagnoses from certified healthcare professionals and healthcare providers."
Our System provides API to Third – Party Sites that may collect your personal information.,हाम्रो प्रणालीले तेस्रो-पक्ष साइटहरूलाई एपीआई प्रदान गर्दछ जसले तपाईंको व्यक्तिगत जानकारी सङ्कलन गर्न सक्छ।,Our system provides API to third-party sites that may collect your personal information.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,पोशन ट्रयाकर कुनै पनि हिसाबले त्यस्तो जानकारी वा तिनीहरूको गोपनीयता अभ्यास वा ती तेस्रो-पक्ष साइटहरूको सामग्रीको सुरक्षाको लागि जिम्मेवार हुँदैन।,Neither position tracker is in any way responsible for the protection of such information or their privacy practices or the content of those third-party sites.
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,यी तेस्रो-पक्ष सेवा प्रदायकहरू र तेस्रो-पक्ष साइटहरूको आफ्नै गोपनीयता नीतिहरू हुन सक्छन् जुन तपाइँको अधीनमा हुन सक्ने तपाइँको जानकारीको भण्डारण र अवधारणलाई नियन्त्रित गर्दछ।,These third-party service providers and third-party sites may have their own privacy policies that govern the storage and retention of your information that may be subject to your control.
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","यो गोपनीयता नीतिले यी तेस्रो-पक्ष प्रदायकहरू र तेस्रो-पक्ष साइटहरूलाई प्रदान गरिएको, भण्डारण गरिएको, वा प्रयोग गरेको कुनै पनि जानकारीलाई नियन्त्रण गर्दैन।","This Privacy Policy does not control any information provided, stored, or used by these third-party providers and third-party sites."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","हामी सुझाव दिन्छौं कि जब तपाइँ तेस्रो-पक्ष साइट प्रविष्ट गर्नुहुन्छ, तपाइँ तेस्रो पक्षको साइटको गोपनीयता नीति समीक्षा गर्नुहोस् किनकि यो तपाइँको जानकारीको सुरक्षासँग सम्बन्धित छ।","We suggest that when you enter a third-party site, you review the privacy policy of the third-party site as it relates to the security of your information."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,तपाईं सहमत हुनुहुन्छ र स्वीकार गर्नुहुन्छ कि पोशन ट्र्याकर खोज परिणामहरूमा वा कुनै तेस्रो-पक्ष साइटहरूद्वारा प्रकाशित जानकारीको लागि उत्तरदायी हुनेछैन।,You agree and accept that the position tracker will not be responsible for information published in search results or by any third-party sites.
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,तपाईंको सन्दर्भ आईडी (मोबाइल नम्बर) माथिको खण्ड 1 बमोजिम एसएमएस मार्फत तपाईंलाई सञ्चार गर्न तपाईंको व्यक्तिगत जानकारीसँग मात्र सह-सम्बन्धित हुनेछ।,Your reference ID (mobile number) will only be co-linked with your personal information to communicate with you via SMS in accordance with Section 1 above.
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","साइट भ्रमण गरेर वा प्रयोग गरेर, तपाइँ स्पष्ट रूपमा यी सर्तहरूसँग सहमत हुनुहुन्छ, समय-समयमा अद्यावधिक गरिए अनुसार।","By visiting or using the site, you expressly agree to these terms and conditions, as updated from time to time."
"If you do not agree with any part of these terms, do not use the site.","यदि तपाइँ यी सर्तहरूको कुनै पनि अंशसँग सहमत हुनुहुन्न भने, साइट प्रयोग नगर्नुहोस्।","If you do not agree to any part of these terms, do not use the site."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,तपाईंले कुनै पनि तरिकाले साइट प्रयोग गर्न सक्नुहुन्न र शर्तहरू स्वीकार गर्न सक्नुहुन्न यदि तपाईं बाध्यकारी अनुबंध बनाउनको लागि कानूनी उमेरको हुनुहुन्न भने।,You cannot use the site in any way and accept the terms unless you are of legal age to enter into a binding contract.
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,बेसिलस क्याल्मेट गुएरिन (बीसीजी)मौखिक पोलियो खोप (ओपीवी) -0 खुराक हेपेटाइटिस बी जन्म खुराक ओपीवी -1 टी,Basilus calmette guerrine (BCG) Oral polio vaccine (OPV) -0 dose of hepatitis B birth dose of OPV-1T
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",उपधारा 1 अन्तर्गत सङ्कलन गरिएका जानकारीहरू लाभार्थीहरूको स्वास्थ्यलाई सहजीकरण गर्ने उद्देश्यले प्रयोग गरिनेछ।,The information collected under subsection 1 will be used to facilitate the health of beneficiaries.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","हामी हाम्रा उत्पादनहरू प्रदान गर्छौं, जसमा प्रणालीको सूचना/डेटा/सामग्री र सामग्रीहरू अद्यावधिक गर्ने, सुरक्षित गर्ने र समस्या निवारण गर्ने, साथै समर्थन प्रदान गर्ने समावेश छ।","We provide our products, including updating, securing and troubleshooting system information/data/content and materials, as well as providing support."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","जब तपाइँ पोशान ट्र्याकर मा दर्ता गर्नुहुन्छ, तपाईले दर्ता गर्नुभएको मोबाइल नम्बर डाटाबेसबाट तपाइँको रेकर्ड पत्ता लगाउन प्रयोग गरिनेछ।","When you register in Poshanne Tracker, the mobile number you registered will be used to track your record from the database."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,पोशन ट्र्याकर प्रणालीमा रेकर्ड गरिएको स्वास्थ्य स्थितिको मूल्याङ्कन गर्न पनि यी प्रयोग गर्न सकिन्छ।,These can also be used to assess the health status recorded in a posture tracker system.
Training on ICT Platform under POSHAN Abhiyaan,पोशन अभियान अन्तर्गत आईसीटी मंच को प्रशिक्षण,Training of the ICT platform under the Posion campaign.
"Know more about stunting, wasting and underweight","स्टन्टिङ, बर्बाद र कम वजन को बारे मा अधिक जान्नुहोस्","Learn more about stunting, wasting, and weight loss."
What information to be added in AWC forms?,AWC फारमहरूमा कुन जानकारी थप्न मिल्छ?,What information can be added to AWC forms?
How to revive your health if you are Moderately Wasted (MAM),तपाईको स्वास्थ्यलाई कसरी पुनर्जीवित गर्ने यदि तपाई मध्यम रूपमा बर्बाद हुनुहुन्छ (एमएएम),How to restore your health if you are moderately wasted (MAM)
AWC Workers Registered In Last 30 Days,AWC कार्यकर्ताहरू पछिल्लो ३० दिनमा दर्ता गरियो,AWC workers have been registered within the last 30 days.
Click on above button to get this App,यस एप प्राप्त गर्न माथिको बटनमा क्लिक गर्नुहोस्,"To access this app, click on the button abovenene."
Beneficiaries Registered In Last 30 Days,लाभार्थीहरू अन्तिम ३० दिनमा दर्ता गरियो,Beneficiaries were registered within the last 30 days.
Specifications of Smart phone and Technical Compatibility Testing,स्मार्ट फोन र प्राविधिक अनुकूलता परीक्षणको विशिष्टताहरू,The specifications of smart phones and technical compatibility testingne.
Preparation During Pregnancy - For NewBorn Care & Family Planning,गर्भावस्थाको समयमा तयारी - नवजात शिशु हेरचाह र परिवार योजना को लागी,Prepare for pregnancy - for newborn care and family planning.
Stunting is the impaired growth and development that children experience from poor nutrition,स्टन्टिङ भनेको खराब पोषणको कारणले बालबालिकाले अनुभव गर्ने बाधा वृद्धि र विकास हो,Stunting is the increased and developmental barrier that children experience due to poor nutrition.
Children in the age group of 3 years to 6 years,3 वर्ष देखि 6 वर्ष सम्मको उमेर समूहका बालबालिका,Children between the ages of 3 and 6 yearsne
Poshan Tracker Dashboard can be accessed by signing onto the dashboard.,पोषण ट्र्याकर ड्यासबोर्डलाई ड्यासबोर्डमा साइन इन गरेर पहुँच गर्न सकिन्छ।,The nutrition tracker dashboard can be accessed by signing in to the dashboard.
Dashboard can be accessed by clicking the link https://poshantracker.,ड्यासबोर्डलाई https://poshantracker.in/admin लिंकमा क्लिक गरेर पहुँच गर्न सकिन्छ।,The dashboard can be accessed by clicking on the https://poshantracker.ne/admin link.
"in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.","राष्ट्रिय, राज्य, जिल्ला, परियोजना र क्षेत्र स्तरका नोडल स्तरका अधिकारीहरूलाई मात्र ड्यासबोर्डमा पहुँच गर्न अद्वितीय प्रमाणपत्रहरू प्रदान गरिन्छ।","Only officials at the nodal level at the national, state, district, project and regional levels are issued unique certificates for access to the dashboard."
What is the eligibility of a beneficiary?,एउटा लाभार्थीको पात्रता के हो?,What is the eligibility of a beneficiary?
Who are the target userbase of Poshan Tracker App?,पोषण ट्रेकर एपका लक्षित प्रयोगकर्ता को हुन्?,Who is the target user of the Nutrition Tracker app?
"It often indicates recent and severe weight loss, although it can also persist for a long time","यसले अक्सर भर्खरको र गम्भीर वजन घटाउने संकेत गर्दछ, यद्यपि यो लामो समयको लागि पनि रहन सक्छ","This often indicates recent and serious weight loss, although it can last for a long time."
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाइलमा पोसन ट्र्याकर एप स्थापना गर्न न्यूनतम आवश्यकता के हो?,What is the minimum requirement to install the Poson Tracker app on mobile?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,तपाईंले कागजातमा वर्णन गरिएका माध्यमहरूद्वारा मात्र साइट पहुँच (वा पहुँच गर्ने प्रयास) गर्नुहुनेछ र यस सम्झौताका सर्तहरू र सर्तहरूको पालना गर्नुहुनेछ।,You will only access (or attempt to access) the site through the means described in the document and will comply with the terms and conditions of this agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","तपाइँ सबै केन्द्रीय र राज्य कानून, तपाइँ र तपाइँको साइट को उपयोग को लागी लागू नियम र नियमहरु को पालना गर्नुहुनेछ र कुनै पनि तेस्रो-पक्ष अधिकारहरु लाई असर गर्नुहुनेछ।","You will comply with all federal and state laws, applicable rules and regulations for you and your use of the site, and affect any third-party rights."
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.,In or by downloading the 'Posnehan Tracker' App from the Google Play Store.
The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.,"https://poshantracker.in मा होस्ट गरिएको पोशन ट्र्याकर मंचको प्रयोगलाई नियन्त्रित गर्ने सेवाका सर्तहरू (""सर्तहरू"") र लिंक गरिएका सबै सम्बन्धित साइटहरू निम्न छन्।","The following are the terms of service (""Terms"") and all related sites linked to the position tracker platform, which controls the use of the position tracker platform hosted at https://poshantrackerne.in."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","यसमा, यसका सहायक कम्पनीहरू, र सम्बद्धहरू (सामूहिक रूपमा, ""साइट"")।","It, its subsidiaries, and affiliates (collectively, the ""Site"")."
Clarification regarding Cost of Smart phones,स्मार्ट फोन लागत को बारे मा स्पष्टीकरण,ne explanation of the cost of smart phone
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,दादुरा युक्त खोप(एमसीवी)/दादुरा र रुबेला (एमआर) -1जापानी इन्सेफलाइटिस (जेई) -1**पीसीवी-बूस्टर,The vaccine containing the dandruffne (MCV)/dandruff and rubella (MR) -1Japanese encephalitis (JE) -1**PCV-booster
Mobile number need to be validated within a week,मोबाइल नम्बर एक हप्ताभित्र प्रमाणीकरण गर्न आवश्यक छ,The mobile number must be authenticated within a weekne.
Currently a beneficiary can register by the help of an AWW,हाल एउटा लाभार्थीले एडब्ल्यूडब्ल्यू को मद्दतले पंजीकरण गर्न सक्छ,Recently a beneficiary can register with the help of the WWne.
Awareness for Lactating Mother Complimentary Feeding for Children,स्तनपान गराउने आमा को लागि जागरूकता बच्चाहरूको लागि पूरक आहार,Ne awareness for breastfeeding mothers for children's supplements
New Poshan Tracker App - CSC-SPV Nodal Person,नयाँ पोशन ट्र्याकर अनुप्रयोग - सीएससी-एसपीवी नोडल व्यक्ति,The newest position tracker app - the CSC-SPV node person - is being developed.
1.1. Information you provide to us.,1.1. तपाईंले हामीलाई प्रदान गर्नुभएको जानकारी।,1.1. and the information you have provided us.
How can one access Poshan Tracker Dashboard?,पोषण ट्र्याकर ड्यासबोर्डमा कसरी पहुँच गर्न सकिन्छ?,How can I access the nutrition tracker dashboard?
Prevention of Anemia in children and adolescents girls,बालबालिका र किशोर किशोरीहरूमा रक्तअल्पता रोकथाम,Ne preventing anemia in children and adolescents
Gangarampur Addl. I. C. D. S Project,गंगारामपुर अतिरिक्त  आई. सी. डी. एस परियोजना,Gangarampur is an additional ICDS project.
Can a beneficiary register directly using application.,एउटा लाभार्थी सिधै आवेदन प्रयोग गरेर पंजीकरण गर्न सक्नुहुन्छ।,A beneficiary can register using the application directly.
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,महिला एवं बाल विकास मन्त्रालयले पोषण ट्र्याकर आवेदन ल्याएको छ।,The Ministry of Women and Child Development has launched a nutrition tracker application.
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.",यसको लक्ष्य सबै तहमा कार्यान्वयन अवरोधहरूको सुदृढीकरणमा केन्द्रित मातृ एवं बाल पोषण सुधारका लागि पोषण प्रणालीलाई सुदृढीकरण गर्ने दृष्टिकोणको पालना गर्नु हो।,"Its goal is to follow the approach of strengthening the nutrition system for maternal and child nutrition improvement, focusing on strengthening the implementation of barriers at all levels."
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.",पोषण ट्र्याकर केन्द्रीकृत डाटा ट्रेकर प्रयोग गरेर निर्मित गरिएका अन्य मन्त्रालयहरू र कार्यक्रमहरूलाई डिजिटल तकनीकि प्रणालीसँग पंक्तिबद्ध गर्दछ।,Ne Nutrition Tracker aligns other ministries and programs built using a centralized data tracker with a digital technology system.
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.",प्रणालीले प्रत्येक लाभार्थीलाई डिजिटल कार्डमार्फत डिजिटल परिचय प्रदान गर्दछ र तकनिकी प्लेटफर्ममा कल सेन्टर रूपान्तरण गर्ने अनुमति दिन्छ।,The system provides each beneficiary with a digital identity via a digital card and allows them to transform the call center into a technology platform.
The system generates automated alerts to the critical last-mile beneficiaries.,प्रणालीले अन्तिम पंक्तिका महत्वपूर्ण लाभार्थीहरूका लागि स्वचालित सतर्कताहरू उत्पन्न गर्दछ।,The system generates automatic alerts for the last-row critical beneficiaries.
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.",यसले लाभार्थी र कार्य गर्नेहरूको वास्तविक समयको उपस्थिति दस्तावेजीकरण गरी वितरण प्रणालीको दक्ष लेखा परीक्षण सुनिश्चित गर्दछ।,It documents the real-time presence of the beneficiaries and workers and ensures efficient auditing of the distribution system.
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.",त्यस्ता शक्तिशाली डिजिटल तकनीकि प्लेटफर्म र व्यवस्थापन सूचना प्रणालीले महत्वपूर्ण सकारात्मक प्रभाव उत्पन्न गर्न र कागजातलाई मद्दत गर्नका लागि मिसनलाई कुशलतासँग मापन गर्न मद्दत पुर्याउँछ।,Such powerful digital technology platforms and management information systems allow for significant positive impacts to be generated and the mission to be efficiently scaled to help documentation.
Weight should be between 0.90 to 58,वजन 0.90 देखि 58 का बीच हुनुपर्छ,Weight should be between 0.90 and 58.
We own the intellectual property rights in the Site and Content.,हामी साइट र सामग्रीमा बौद्धिक सम्पत्ति अधिकारको स्वामित्व राख्छौं।,We own intellectual property rights to the site and its contents.
We may change the Content and features of the Site at any time.,हामी कुनै पनि समयमा साइटको सामग्री र सुविधाहरू परिवर्तन गर्न सक्छौं।,We may change the content and features of the site at any time.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.","साइटमा प्रदर्शित दर्ता र दर्ता नगरिएका ट्रेडमार्कहरू, लोगोहरू, र सेवा चिन्हहरू हाम्रो वा हाम्रा इजाजतपत्रदाताहरूको स्वामित्वमा छन्।","The registered and unregistered trademarks, logos, and service marks displayed on our site are owned by us or our licensors."
"You may not use our trademarks, logos, and service marks in any way without our prior written permission.","तपाईंले हाम्रो पूर्व लिखित अनुमति बिना कुनै पनि तरिकाले हाम्रो ट्रेडमार्क, लोगो र सेवा चिन्हहरू प्रयोग गर्न सक्नुहुन्न।","You may not use our trademarks, logos and service marks in any way without our prior written permission."
Material featured on this website may be reproduced free of charge.,यस वेबसाइटमा चित्रित सामग्री निः शुल्क पुनः उत्पादन गर्न सकिन्छ।,The content featured on this website can be reproduced free of charge.
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.","जहाँ पनि सामग्री प्रकाशित वा अरूलाई जारी गरिएको छ, स्रोत प्रमुख रूपमा स्वीकार गर्नुपर्छ।","Wherever the content is published or released to others, the source must be accepted as the principal."
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","यद्यपि, यो सामग्री पुनः उत्पादन गर्ने अनुमति तेस्रो पक्षको प्रतिलिपि अधिकारको रूपमा पहिचान गरिएको कुनै पनि सामग्रीमा विस्तार हुने छैन।","However, this permission to reproduce the content does not extend to any content identified as copyrighted by a third party."
MPIN can be easily reset by any AWW/AWC user.,MPIN लाई कुनै पनि AWW / AWC प्रयोगकर्ताद्वारा सजिलै रिसेट गर्न सकिन्छ।,MPIN can be easily reset by any AWneW/AWC user.
