eng,kn,mBART600M
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ವಿವಿಧ ಜನಾಂಗೀಯ ಹಿನ್ನೆಲೆಗಳು ಮತ್ತು ಸಾಂಸ್ಕೃತಿಕ ಸೆಟ್ಟಿಂಗ್ಗಳಿಂದ (ಬ್ರೆಜಿಲ್, ಘಾನಾ, ಭಾರತ, ನಾರ್ವೆ, ಓಮನ್ ಮತ್ತು USA) ಸುಮಾರು 8500 ಮಕ್ಕಳಿಂದ ಪ್ರಾಥಮಿಕ ಬೆಳವಣಿಗೆಯ ಡೇಟಾ ಮತ್ತು ಸಂಬಂಧಿತ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸಿದೆ","MGknRS has collected primary development data and related information from about 8,500 children from various racial backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA) from around 8,500 children."
Children of different age groups are monitored on monthly basis by AWWs.,ವಿವಿಧ ವಯೋಮಾನದ ಮಕ್ಕಳನ್ನು AWW ಮಾಸಿಕವಾಗಿ ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡುತ್ತಾರೆ.,AWW monitors children of all ages monthly.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","ಕುಂಠಿತವಾಗುವಿಕೆ, ಕ್ಷೀಣಿಸುವಿಕೆ ಮತ್ತು ಕಡಿಮೆ ತೂಕದಂತಹ ಆರೋಗ್ಯ ಸೂಚಕಗಳನ್ನು WHO ಮಾನದಂಡಗಳ ಪ್ರಕಾರ ಅಳೆಯಲಾಗುತ್ತದೆ.","Health indicators such as constipation, decline and low weight are measured according to WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,"ನಿಯಮಿತ ಬೆಳವಣಿಗೆಯ ಮೇಲ್ವಿಚಾರಣೆಯು AWW, ಮಕ್ಕಳಿಗೆ ಸೂಕ್ತ ಮತ್ತು ಸಮಯೋಚಿತ ಸಹಾಯವನ್ನು ಒದಗಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ","Regular growth monitoring helps AWW, children to provide appropriate and timely assistance."
"Awareness for Children Stunting, Wasting to prevent malnutrition in children",ಮಕ್ಕಳಲ್ಲಿನ ಅಪೌಷ್ಟಿಕತೆ ತಡೆಗಟ್ಟಲು ಕುಂಠಿತ ಸ್ಥಿತಿಯ ಬಗ್ಗೆ ಜಾಗೃತಿ,"To prevent malnutrition in children, awareness of the condition is needed."
Poshan Tracker adds new application features,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಹೊಸ ಅಪ್ಲಿಕೇಶನ್ ವೈಶಿಷ್ಟ್ಯಗಳನ್ನು ಸೇರಿಸುತ್ತದೆ,Position tracker adds new app features to the package.
Making or Updating Home Visit Planner and Initiating home visits,ಮನೆ ಭೇಟಿ ಯೋಜಕವನ್ನು ರಚಿಸಸುವುದು ಅಥವಾ ನವೀಕರಿಸುವುದು ಮತ್ತು ಮನೆ ಭೇಟಿಯನ್ನು ಪ್ರಾರಂಭಿಸುವುದು,Create or update a home visit planning and start a home visit.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ಪೋಷನ್ ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಅನ್ನು ವಿಶ್ವ ಆರೋಗ್ಯ(WHO) ಸಂಸ್ಥೆ ನಿಗದಿಪಡಿಸಿದ ಮಾನದಂಡದ ಪ್ರಕಾರ ಮಗುವಿನ ಬೆಳವಣಿಗೆಯನ್ನು ಅಳೆಯಲು ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ,The nutrition calculator is designed to measure the growth of a child according to a standard set by the World Health Organization (WHO).
Migrated from one category to another,ಒಂದು ವರ್ಗದಿಂದ ಇನ್ನೊಂದು ವರ್ಗಕ್ಕೆ ವಲಸೆ ಹೋಗಿದ್ದಾರೆ,They have migrated from one class to another.
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ಒಬ್ಬ ವ್ಯಕ್ತಿಯು ಸಾಕಷ್ಟು ಗುಣಮಟ್ಟದ ಮತ್ತು ಪ್ರಮಾಣದ ಆಹಾರವನ್ನು ಸೇವಿಸದಿದ್ದಾಗ ಮತ್ತು/ಅಥವಾ ಅವರು ಮರುಕಳಿಸುವ ಅಥವಾ ದೀರ್ಘಕಾಲದ ಅನಾರೋಗ್ಯವನ್ನು ಹೊಂದಿರುವಾಗ ಇದು ಸಾಮಾನ್ಯವಾಗಿ ಸಂಭವಿಸುತ್ತದೆ,This usually occurs when a person does not consume enough quality and quantity of food and/or he or she has a recurrent or chronic illness.
Malnutrition is one of the most important challenges facing contemporary India.,ಸಮಕಾಲೀನ ಭಾರತ ಎದುರಿಸುತ್ತಿರುವ ಪ್ರಮುಖ ಸವಾಲುಗಳಲ್ಲಿ ಅಪೌಷ್ಟಿಕತೆ ಒಂದು.,Malnutrition is one of the major challenges facing modern India.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,ಪೌಷ್ಠಿಕಾಂಶವನ್ನು ರಾಷ್ಟ್ರೀಯ ಮತ್ತು ಜಾಗತಿಕ ಸುಸ್ಥಿರ ಅಭಿವೃದ್ಧಿ ಗುರಿಗಳ ಸಾಧನೆಗೆ ಕೇಂದ್ರವೆಂದು ಒಪ್ಪಿಕೊಳ್ಳಲಾಗಿದೆ.,Nutrition is recognized as a key component in achieving the national and global Sustainable Development Goals.
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.","ಸಮುದಾಯದಲ್ಲಿ ಕಳಪೆ ಆರೋಗ್ಯ ಮತ್ತು ಬಡತನದ ಅಂತರಜನಾಂಗೀಯ ಚಕ್ರವನ್ನು ಬದುಕಲು, ಅಭಿವೃದ್ಧಿ ಹೊಂದಲು ಮತ್ತು ಮುರಿಯಲು ಮಹಿಳೆಯರು ಮತ್ತು ಮಕ್ಕಳು ಅತ್ಯುತ್ತಮ ಮತ್ತು ಸೂಕ್ತವಾದ ಪೋಷಣೆ ಅಗತ್ಯ.","To survive, thrive and break the interracial cycle of poor health and poverty in the community, women and children need optimal and adequate nutrition."
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ಪೋಷಣ್ ಅಭ್ಯಾನ್ ಭಾರತದಲ್ಲಿ, ಮಕ್ಕಳ, ಹದಿಹರೆಯದವರ, ಗರ್ಭ್ಹಿಣಿಯರ ಹಾಗೂ ಹಾಲುಣಿಸುವ ತಾಯಂದಿರ ಪೋಷಣೆಯ ಫಲಿತಾಂಶವನ್ನು ಸುಧಾರಿಸಲು, ತಾಂತ್ರಿಕವಾಗಿ, ಒಂದು ಉದ್ದೇಶಿತ ವಿಧಾನ ಹಾಗೂ ಒಮ್ಮುಖದಿಂದ ಪ್ರಾರಂಭಿಸಿದ ಒಂದು ಪ್ರಮುಖ ಕಾರ್ಯಕ್ರಮ.","The Passion Abhiyan is a major programme launched in India, in a technical, a targeted and joint approach, to improve the nutrition outcome of children, adolescents, pregnant women and nursing mothers."
Hot Cooked Meal (HCM) given in last 30 days,ಕಳೆದ ೩೦ ದಿನಗಳಲ್ಲಿ ಕೊಟ್ಟ ಬೇಯಿಸಿದ ಬಿಸಿಯೂಟ(ಎಚ್. ಸಿ. ಎಮ್),Cooked hot food given in the last 30 days (HCM)
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ನಲ್ಲಿ ಅಂಗನವಾಡಿ ಸೇವಾ ಯೋಜನೆಗಳ ಡೇಟಾವನ್ನು ಅಪ್ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ,The data of the Anganwadi service projects is being uploaded to the Position Tracker.
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಆ್ಯಪ್   ಫಲಾನುಭವಿಗಳಿಗೆ ಸ್ವಯಂಚಾಲಿತ ಸೂಚನೆಗಳನ್ನು ನೀಡುತ್ತದೆ.,The Position Trackers app provides automatic notifications to the beneficiaries.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,ಇದು ಫಲಾನುಭವಿಗಳು ಮತ್ತು ಕರ್ತವ್ಯ ಹೊಂದಿರುವವರ ನೈಜ ಸಮಯದ ಹಾಜರಾತಿಯನ್ನು ದಾಖಲಿಸುವ ಮೂಲಕ ವಿತರಣಾ ವ್ಯವಸ್ಥೆಯ ಸಮರ್ಥ ಲೆಕ್ಕಪರಿಶೋಧನೆಯನ್ನು ಖಚಿತಪಡಿಸುತ್ತದೆ.,This ensures efficient auditing of the distribution system by recording the real-time attendance of the beneficiaries and the debtors.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","ಈ ನಿರ್ವಹಣಾ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆಯು ಪೌಷ್ಠಿಕಾಂಶ ಕಾರ್ಯಕ್ರಮವನ್ನು ಪರಿಣಾಮಕಾರಿಯಾಗಿ ಅಳೆಯುವಲ್ಲಿ ಸಹಾಯ ಮಾಡುತ್ತದೆ, ಇದರಿಂದ ಧನಾತ್ಮಕ ಪರಿಣಾಮವನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ ಮತ್ತು ದಾಖಲಿಸುತ್ತದೆ","This management information system helps to effectively measure the nutrition program, thereby producing and documenting a positive impact."
How can one Download Poshan Tracker App?,ಪೋಷಣ್ ತ್ರ್ಯಾಕರ್ ಆಪ್ಪನ್ನು ಹೇಗೆ ಡೌನ್ಲೋಡ್ ಮಾಡಬಹುದು?,How can I download the Poshn Trakkar app?
"Clarification regarding Cost of Smart phones (03 June, 2021)","ಸ್ಮಾರ್ಟ್ ಫೋನ್ ಬೆಲೆಯ ಕುರಿತು ಸ್ಲಷ್ಟೀಕರಣ (೦೩ ಜೂನ್, ೨೦೨೧)","The price of smartphones is not disclosed (June 03, 2021)"
along with status update once resolved,ಒಮ್ಮೆ ಪರಿಹರಿಸಿದ ಸ್ಥಿತಿಯ ನವೀಕರಣದೊಂದಿಗೆ,Once the condition is resolved with the update of the condition.
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.","ಪೋಷನ್ ಟ್ರಾಕರ್ ಸಿಸ್ಟಮ್ ಅನ್ನು, ಸಿಸ್ಟಮ್ ನ ಸುರಕ್ಷತೆ ಮತ್ತು ಸ್ಕೇಲೇಬಿಲಿಟಿಗಾಗಿ ಎಂಡಬ್ಲ್ಯೂ ಸಿಡಿ ಇಂದ ತೊಡಗಿಸಲ್ಪಟ್ಟ ಆಡಿಟರ್ ಗಳಿಂದ ನಿಯಮಿತವಾಗಿ ಆಡಿಟ್ ಮಾಡಲಾಗುತ್ತದೆ.",The Nutrition Trackers system is regularly audited by auditors involved in the system's safety and scalability from the MW CD.
The records may be used for such audits.,ದಾಖಲೆಗಳನ್ನು ಅಂತಹ ಆಡಿಟ್ ಗಳಿಗೆ ಬಳಸಬಹುದು.,The records can be used for such audits.
Poshan Tracker adds new Resources on Website,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ವೆಬ್ಸೈಟ್ ವೈಶಿಷ್ಟ್ಯದಲ್ಲಿ ಹೊಸ ಸಂಪನ್ಮೂಲಗಳನ್ನು ಸೇರಿಸುತ್ತದೆ,The position tracker will add new resources to the website feature.
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ಅಡಿಯಲ್ಲಿ ತಂತ್ರಜ್ಞಾನವು ಮಕ್ಕಳಲ್ಲಿ ಕುಂಠಿತ, ಕ್ಷೀಣಿಸುವಿಕೆ, ಕಡಿಮೆ ತೂಕದ ಹರಡುವಿಕೆ ಮತ್ತು ಪೌಷ್ಟಿಕಾಂಶ ಸೇವೆಯ ವಿತರಣೆಯ ಕೊನೆಯ ಟ್ರ್ಯಾಕಿಂಗ್ ಅನ್ನು ಕ್ರಿಯಾತ್ಮಕವಾಗಿ ಗುರುತಿಸಲು ಬಳಸಲಾಗುತ್ತಿದೆ","Under the Nutrition Tracker, technology is being used to dynamically identify the last tracking of constipation, impairment, low-weight transmission and delivery of nutrition services in children."
The System also takes feedback about system performance and experience.,ಸಿಸ್ಟಮ್ ಕಾರ್ಯಕ್ಷಮತೆ ಮತ್ತು ಅನುಭವದ ಬಗ್ಗೆ ಪ್ರತಿಕ್ರಿಯೆಯನ್ನು ಸಹ ಸಿಸ್ಟಮ್ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ.,The system also takes feedback on the performance and experience of the system.
"Information on name, mobile number, date of registration and health status may be used for these purposes","ಹೆಸರು, ಮೊಬೈಲ್ ಸಂಖ್ಯೆ, ನೋಂದಣಿ ದಿನಾಂಕ ಮತ್ತು ಆರೋಗ್ಯ ಸ್ಥಿತಿ ಮಾಹಿತಿಯನ್ನು ಈ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಬಳಸಬಹುದು","Name, mobile number, date of registration and health status information may be used for these purposes."
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","ನೀವು ಖಾತೆಯನ್ನು ತೆರೆಯುವುದನ್ನು ಸೇರಿ, ನೀವು ನಮ್ಮ ಸೇವೆಗಳನ್ನು ಬಳಸಿದಾಗ ನಾವು ಈ ಮಾಹಿತಿಗಳನ್ನು ಸಂಗ್ರಹಿಸುತ್ತೇವೆ.","We collect this information when you use our services, including when you open an account."
"You may, however, choose not to share personal data where providing the data is optional.",ಡೇಟಾವನ್ನೂ ನೀಡುವುದು ಆಯ್ಕೆ ಆಗಿರುವುದರಿಂದ ನೀವು ನಿಮ್ಮ ವೈಯುಕ್ತಿಕ ಡೇಟಾವನ್ನು ಹಂಚದೆ ಇರುವ ಆಯ್ಕೆ ಆರಿಸಬಹುದು.,"Since there is also the option to provide data, you can choose not to share your personal data."
Tracking of services to the end beneficiary at a click of a button.,ಒಂದು ಬಟನ್ನ ಕ್ಲಿಕ್ನಲ್ಲಿ ಅಂತಿಮ ಫಲಾನುಭವಿಗೆ ಸೇವೆಗಳ ಟ್ರ್ಯಾಕಿಂಗ್.,Tracking services to the final beneficiary with the click of a button.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","ಟೇಕ್ ಹೋಮ್ ರೇಷನ್ (THR) ಮತ್ತು ಬಿಸಿ ಊಟ (HCM), ಶಿಶುಗಳು ಮತ್ತು ಗರ್ಭಿಣಿ ಮಹಿಳೆಯರಿಗೆ ವ್ಯಾಕ್ಸಿನೇಷನ್ನಂತಹ ಸೇವೆಗಳು","Take home rations (THR) and hot meals (HCM), vaccination for babies and pregnant women, and other services."
"New Poshan Tracker App (13 January, 2021)","ಹೊಸ ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಆಪ್ಪ್ (೧೩, ಜನವರಿ,೨೦೨೧)","The new NutritionKn Tracker app (January 13, 2021) is also available."
Preventing illnesses to avert Malnutrition and Death,ಅಪೌಷ್ಠಿಕತೆ ಮತ್ತು ಸಾವನ್ನು ತಡೆಯಲು ರೋಗವನ್ನು ತಡೆಗಟ್ಟುವುದು,Preventing disease to prevent malnutrition and death.
Scan the QR Code to Download the App,ಅಪ್ಲಿಕೇಶನ್ ಡೌನ್ಲೋಡ್ ಮಾಡಲು ಕ್ಯೂಆರ್ ಕೋಡ್ ಸ್ಕ್ಯಾನ್ ಮಾಡಿ,Scan the QR code to download the app.
Pregnant women who received Take Home Ration (THR),ಟೇಕ್ ಹೋಮ್ ರೇಷನ್ (THR) ಪಡೆದಿರುವ ಗರ್ಭಿಣಿಯರು,Pregnant women who have received a Take Home Ration (THR)
General Awareness on SAM and MAM,SAM ಮತ್ತು MAM ಕುರಿತು ಸಾಮಾನ್ಯ ಅರಿವು,Common awareness of SAMkn and MAM
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","ಇಲ್ಲ, ಮಾನ್ಯವಾದ ಇಂಟರ್ನೆಟ್ ಇಲ್ಲದೆ ಈ ಆಪ್ಪ್ ಕೆಲಸ ಮಾಡುವುದಿಲ್ಲ.","No, this app won't work without a valid Internet connection."
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,ಕಾನೂನುಬಾಹಿರ ಚಟುವಟಿಕೆಗಳನ್ನು ಪ್ರೋತ್ಸಾಹಿಸಲು ಅಥವಾ ಪೋಷನ್ ಟ್ರಾಕರ್ ಜೊತೆ ಇರುವ ನೀತಿಗಳನ್ನು ಒಳಗೊಂಡು ಥರ್ಡ್ ಪಾರ್ಟಿ ಹಕ್ಕುಗಳ ಉಲ್ಲಂಘನೆಯನ್ನು ಉತ್ತೇಜಿಸಲು API/ನೋ-ಕೋಡ್ ವೆಬ್ಪುಟ ಏಕೀಕರಣವನ್ನು ಈ ಸಂಸ್ಥೆಗಳು ಬಳಸುವುದಿಲ್ಲ.,"These organizations do not use API/no-code webpage integration to encourage illegal activities or promote violations of third party rights, including policies with the Nutrition Tracker."
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ಗರ್ಭಿಣಿಯರು, ಹಾಲುಣಿಸುವ ತಾಯಂದಿರು, 6 ತಿಂಗಳಿಂದ 3 ವರ್ಷದ ಮಕ್ಕಳು ಮತ್ತು ಹದಿಹರೆಯದ ಹುಡುಗಿಯರು.","Pregnant women, nursing mothers, children from 6 months to 3 years old and teenage girls."
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","ಪಿ ಎಸ್. ಸಿ. ವಿ ನೋಡಲ್ ವ್ಯಕ್ತಿ(೦೨ ಫ಼ೆಬ್ರವರಿ, ೨೦೨೧)","PSK is a no-noll person (February 02, 2021)"
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ಒಬ್ಬ AWW ತನ್ನ ಆಧಾರ್ ಸಂಖ್ಯೆಯ ಆಧಾರದ ಮೇಲೆ ಫಲಾನುಭವಿಯನ್ನು ಒಂದು AWCದಿಂದ ಇನ್ನೊಂದಕ್ಕೆ ವರ್ಗಾಯಿಸಲು 'ವಲಸೆ ಫಲಾನುಭವಿ' ಆಯ್ಕೆಯನ್ನು ಬಳಸಬಹುದು.,An AWW can use the 'immigrant beneficiary' option to transfer the beneficiary from one AWC to another based on his or her Aadhaar number.
A beneficiary is eligible for HCM for at least 21 days in a month.,ಒಬ್ಬ ಫಲಾನುಭವಿಯು ತಿಂಗಳಲ್ಲಿ ಕನಿಷ್ಠ 21 ದಿನಗಳವರೆಗೆ HCM ಗೆ ಅರ್ಹನಾಗಿರುತ್ತಾನೆ.,A beneficiary is eligible for HCM for at least 21 days per month.
ABHA (Health ID) and its Benefits, ಎ. ಬಿ. ಹೆಚ್. ಎ (ಆರೋಗ್ಯ ಗುರುತಿನ ಚೀಟಿ) ಮತ್ತು ಅದರ ಲಾಭಗಳು,ABHA (Health ID) and its benefits.
"We'ar sorry, the page you requested could not be found.","ಕ್ಷಮಿಸಿ, ನೀವು ವಿನಂತಿಸಿದ ಪುಟವನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಲಿಲ್ಲ.","Sorry, but the page you requested could not be found."
Dadra & Nagar Haveli - Daman & Diu,ದಾದ್ರಾ ಮತ್ತು ನಗರ್ ಹವೇಲಿ - ದಮನ್ ಮತ್ತು ದಿಯು,Dadra and Nagar Haveli - Daman and Diu
Download Mobile App from Play Store,ಪ್ಲೇ ಸ್ಟೋರ್ ನಿಂದ ಮೊಬೈಲ್ ಅಪ್ಲಿಕೇಶನ್ ಡೌನ್ಲೋಡ್ ಮಾಡಿ,Download the mobile app from the Playkn Play Store.
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","ಹೆಚ್ಚುವರಿಯಾಗಿ, ನೀವು ಸಿಸ್ಟಮ್ನಲ್ಲಿ ನಿಮ್ಮ ಖಾತೆಯನ್ನು ಬದಲಾಯಿಸಿದಾಗ ಅಥವಾ ಪ್ರವೇಶಿಸಿದಾಗ ಅಥವಾ ಅದಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಯಾವುದೇ ಮಾಹಿತಿಯನ್ನು ಬದಲಾಯಿಸಿದಾಗ ಅಥವಾ ಪ್ರವೇಶಿಸಿದಾಗ, ನಾವು ಸುರಕ್ಷಿತ ಸರ್ವರ್ನ ಬಳಕೆಯನ್ನು ನೀಡುತ್ತೇವೆ.","In addition, when you change or access your account in the system or any related information, we offer the use of a secure server."
General Awareness on the Delivery of the child,ಶಿಶುವಿನ ಜನ್ಮದ ಬಗ್ಗೆ ಸಾಮಾನ್ಯ ಅರಿವು,General awareness of the birth of a baby.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","ನಮ್ಮ ಕಾರ್ಯಕ್ಷಮತೆಯನ್ನು ವಿಶ್ಲೇಷಿಸಲು, ನಮ್ಮ ಕಾನೂನು ಬಾಧ್ಯತೆಗಳನ್ನು ಪೂರೈಸಲು, ನಮ್ಮ ಕಾರ್ಯಪಡೆಯನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸಲು ಮತ್ತು ಸಂಶೋಧನೆ ನಡೆಸಲು ಸೇರಿದಂತೆ ನಮ್ಮ ಸೇವೆಗಳನ್ನು ನಡೆಸಲು ನಾವು ಡೇಟಾವನ್ನು ಬಳಸುತ್ತೇವೆ.","We use data to run our services, including to analyze our performance, meet our legal obligations, develop our workforce and conduct research."
Where can I enquire about Hot Cooked Meal?,ಬಿಸಿ ಬೇಯಿಸಿದ ಆಹಾರದ ಬಗ್ಗೆ ನಾನು ಎಲ್ಲಿ ಕೇಳಬಹುದು?,Where can I ask about hot-cooked food?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","ಸೈಟ್ ನಮ್ಮ ಮಾಲೀಕತ್ವವನ್ನು ಹೊಂದಿರದ, ನಿರ್ವಹಿಸದಿರುವ ಇತರ ವೆಬ್ಸೈಟ್ಗಳಿಗೆ ಲಿಂಕ್ಗಳನ್ನು ಹೊಂದಿರಬಹುದು.",The site may contain links to other websites that are not owned or operated by us.
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","ಈ ವೆಬ್ಸೈಟ್ಗಳನ್ನು ಲಿಂಕ್ ಮಾಡಲಾಗಿದೆ ಎಂಬ ಅಂಶವು ಈ ವೆಬ್ಸೈಟ್ಗಳ ಯಾವುದೇ ಅನುಮೋದನೆಯನ್ನು ಸೂಚಿಸುವುದಿಲ್ಲ, ಏಕೆಂದರೆ ಈ ವೆಬ್ಸೈಟ್ಗಳ ಮೇಲೆ ನಮಗೆ ಯಾವುದೇ ನಿಯಂತ್ರಣವಿಲ್ಲ.","The fact that these websites are linked does not imply any endorsement of these websites, as we have no control over these websites."
We are not responsible for these websites including any content or the privacy practices of these websites.,ಈ ವೆಬ್ಸೈಟ್ಗಳ ವಿಷಯ ಅಥವಾ ಗೌಪ್ಯತೆ ಅಭ್ಯಾಸಗಳು ಸೇರಿದಂತೆ ಈ ಯಾವುದೇ ವೆಬ್ಸೈಟ್ಗಳಿಗೆ ನಾವು ಜವಾಬ್ದಾರರಾಗಿರುವುದಿಲ್ಲ.,"We are not responsible for any of these websites, including the content or privacy practices of these websites."
We strongly encourage you to familiarize yourself with the terms of use of these websites.,ಈ ವೆಬ್ಸೈಟ್ಗಳ ಬಳಕೆಯ ನಿಯಮಗಳೊಂದಿಗೆ ನೀವೇ ಪರಿಚಿತರಾಗಲು ನಾವು ನಿಮ್ಮನ್ನು ಬಲವಾಗಿ ಪ್ರೋತ್ಸಾಹಿಸುತ್ತೇವೆ.,We strongly encourage you to familiarize yourself with the terms of use of these websites.
Your use of these websites is at your own risk and peril.,ನೀವು ನಿಮ್ಮ ಸ್ವಂತ ಅಪಾಯದ ಮೇಲೆ ಈ ವೆಬ್ಸೈಟ್ ಗಳ ಬಳಕೆಯನ್ನು ಮಾಡುತ್ತೀರಿ.,You use these websites at your own risk.
In how many languages AWW can enter the data while filling up the form?,ಫಾರ್ಮ್ ಅನ್ನು ಭರ್ತಿ ಮಾಡುವಾಗ ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು ಅಥವಾ ಎಡಬ್ಲ್ಯೂಸಿ ಎಷ್ಟು ಭಾಷೆಗಳಲ್ಲಿ ಡೇಟಾವನ್ನು ನಮೂದಿಸಬಹುದು?,How many languages can AWW or AWC enter data in when filling out the form?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ಪೌಷ್ಟಿಕಾಂಶದ ಕೊರತೆಯಿರುವ ಮಕ್ಕಳು ಹೆಚ್ಚುವರಿ ಆಹಾರಕ್ಕೆ  ಅರ್ಹರಾಗಿರುತ್ತಾರೆ.,Children who are malnourished are entitled to additional food.
An underweight person is a person whose body weight is considered too low to be healthy,ವ್ಯಕ್ತಿಯ ದೇಹದ ತೂಕ ಆರೋಗ್ಯಕರವಾಗಿರಲು ತುಂಬಾ ಕಡಿಮೆ ಇದ್ದರೆ ಕಡಿಮೆ ತೂಕದ ವ್ಯಕ್ತಿ ಎಂದು ಪರಿಗಣಿಸಲಾಗಿದೆ,"If a person's body weight is too low to be healthy, then a person is considered to be a low-weight person."
When and how to use MPIN?,ಯಾವಾಗ ಮತ್ತು ಹೇಗೆ ಎಂಪಿನ್ ಬಳಸಬಹುದು?,When and how can mpkn be used?
Ensuring that complementary feeding improves over time,ಕಾಲಾನಂತರದಲ್ಲಿ ಪೂರಕ ಪೋಷಣೆ ಸುಧಾರಿಸುವುದನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ,Make sure that nutritional supplements improve over time.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family., ಎ. ಬಿ. ಹೆಚ್. ಎ ಬಳಸುವುದು ( ಆರೋಗ್ಯ ಗುರುತಿನ ಚೀಟಿ) ನಿಮ್ಮ ಮತ್ತು ನಿಮ್ಮ ಕುಟುಂಬಕ್ಕಾಗಿ ಸುರಕ್ಷಿತ ಮತ್ತು ಸಮರ್ಥ ಡಿಜಿಟಲ್ ದಾಖಲೆಗಳನ್ನು ನಿರ್ಮಿಸುವುದರಲ್ಲಿ ಮೊದಲನೇ ಹೆಜ್ಜೆಯಾಗಿದೆ.,Using an ABHA (Health ID) is the first step in building safe and efficient digital records for you and your family.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account., ಎ. ಬಿ. ಹೆಚ್. ಎ ( ಮುಂಚಿನ ಹೆಸರು ಆರೋಗ್ಯ ಗುರುತಿನ ಚೀಟಿ ) ಪೂರ್ಣ ಹೆಸರು ಆಯುಷ್ಮಾನ್ ಭಾರತ್ ಹೆಲ್ತ್ ಅಕೌಂಟ್ ಆಗಿದೆ.,ABH (former name Health ID card) full name is Ayushman Bharat Health Account.
