eng,te,mBART600M
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","పోషణ్ ట్రాకర్ కింద సాంకేతిక పరిజ్ఞానం పిల్లలలో ఎదుగుదల, వృధా, తక్కువ బరువు ప్రాబల్యం యొక్క సరైన గుర్తింపు మరియు న్యూట్రిషన్ సర్వీస్ డెలివరీ యొక్క లాస్ట్ మైల్ ట్రాకింగ్ కొరకు పరపతి చేయబడుతోంది","The technology under Nutrition Tracker is being leveraged to correctly identify growth, waste, low weight prevalence among children and track the last mile of nutrition service delivery."
The System also takes feedback about system performance and experience.,సిస్టమ్ పనితీరు మరియు అనుభవం గురించి కూడా సిస్టమ్ ఫీడ్ బ్యాక్ తీసుకుంటుంది.,The system also takes feedback about system performance and experience.
"Information on name, mobile number, date of registration and health status may be used for these purposes","పేరు, మొబైల్ నెంబరు, రిజిస్ట్రేషన్ తేదీ మరియు ఆరోగ్య స్థితిపై సమాచారాన్ని ఈ ప్రయోజనాల కొరకు ఉపయోగించవచ్చు","Name, mobile number, date of registration and health status information may be used for these purposes."
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","మీరు ఖాతాకు సైన్ అప్ చేసినప్పుడు సహా, మీరు మా సేవలను ఉపయోగించినప్పుడు మీరు అందించే కంటెంట్ మరియు ఇతర సమాచారాన్ని మేము సేకరిస్తాము.","We collect content and other information you provide when you use our services, including when you sign up for an account."
"You may, however, choose not to share personal data where providing the data is optional.","అయితే, డేటాను అందించడం ఐచ్ఛికంగా ఉన్న చోట వ్యక్తిగత డేటాను భాగస్వామ్యం చేయరాదని మీరు ఎంచుకోవచ్చు.","However, where data is optional, you can choose not to share personal data."
Tracking of services to the end beneficiary at a click of a button.,ఒక బటన్ క్లిక్ చేయడం ద్వారా తుది లబ్ధిదారునికి సేవలను ట్రాక్ చేయడం.,Tracking services to the final beneficiary by clicking a button.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","టేక్ హోమ్ రేషన్ (THR) మరియు హాట్ వండిన భోజనం (HCM), శిశువులు మరియు గర్భిణీ స్త్రీలకు వ్యాక్సినేషన్ వంటి సేవలు","Take home rations (THR) and hot cooked meals (HCM), vaccination for babies and pregnant women, and other services."
"New Poshan Tracker App (13 January, 2021)","కొత్త పోషన్ ట్రాకర్ యాప్ (13 జనవరి, 2021)","The new position tracker app (January 13, 2021)"
Preventing illnesses to avert Malnutrition and Death,పోషకాహార లోపం మరియు మరణాన్ని నివారించడానికి అస్వస్థతలను నిరోధించడం,Preventing malnutrition and disease to prevent death.
Scan the QR Code to Download the App,యాప్ డౌన్ లోడ్ చేసుకోవడం కొరకు QR కోడ్ స్కాన్ చేయండి,Scan the QR code to download the app.
Pregnant women who received Take Home Ration (THR),టేక్ హోమ్ రేషన్ (THR) అందుకున్న గర్భిణీ స్త్రీలు,Pregnant women who have received a Take Home Ration (THR)
General Awareness on SAM and MAM, ఎస్. ఎ. ఎం మరియు ఎం. ఎ. ఎం పై సాధారణ అవగాహన,A general understanding of S.A.M. and M.A.M.
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.",తగిన ఇంటర్నెట్ కనెక్షన్ లేకుండా ఏ యాప్ పనిచేయదు.,No app will work without a proper internet connection.
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,పోషణ్ ట్రాకర్ తో ఈ నిబంధనలతో సహా చట్టవ్యతిరేక కార్యకలాపం లేదా తృతీయపక్ష హక్కుల ఉల్లంఘనను సంహరించడానికి లేదా ప్రోత్సహించడానికి ఈ సంస్థలు APIలు/నో-కోడ్ వెబ్ పేజీ ఇంటిగ్రేషన్ ను ఉపయోగించవు.,"These organizations do not use API/no-code web page integration to eliminate or promote illegal activity or third party rights violations, including these terms with Nutrition Tracker."
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","గర్భిణీ స్త్రీలు, పాలిచ్చే తల్లులు, 6 నెలల నుండి 3 సంవత్సరాల వరకు పిల్లలు మరియు కౌమార బాలికలు.","Pregnant women, nursing mothers, children from 6 months to 3 years old and teenage girls."
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","కొత్త పోషన్ ట్రాకర్ యాప్ః CSC-SPV నోడల్ వ్యక్తి (02 ఫిబ్రవరి, 2021)","The new position tracker app: CSC-SPVte nodal person (February 02, 2021) is being released."
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ఒక AWC నుంచి మరో AWCకి వారి ఆధార్ నెంబరు ఆధారంగా లబ్ధిదారుడిని మైగ్రేట్ చేయడం కొరకు 'మైగ్రేట్ బెనిఫిషియరీ' ఆప్షన్ ని AWW ఉపయోగించుకోవచ్చు.,AWW can use the 'Migrant Beneficiary' option to migrate a beneficiary from one AWC to another based on their Aadhaar number.
A beneficiary is eligible for HCM for at least 21 days in a month.,లబ్ధిదారుడు నెలలో కనీసం 21 రోజులపాటు HCMకు అర్హత కలిగి ఉంటాడు.,The beneficiary is eligible for HCM for at least 21 days per month.
ABHA (Health ID) and its Benefits,ABHA (హెల్త్ ఐడి) మరియు దాని యొక్క ప్రయోజనాలు,ABHA (Health ID) and its benefits.
"We'ar sorry, the page you requested could not be found.","మమ్మల్ని క్షమించండి, మీరు అభ్యర్థించిన పేజీ కనుగొనబడలేదు.","We're sorry, but the page you requested was not found."
Dadra & Nagar Haveli - Daman & Diu,దాద్రా మరియు నాగర్ హవలీ - డామన్ మరియు డయు,Dadra and Nagar Haveli - Daman and Diu
Download Mobile App from Play Store,ప్లే స్టోర్ నుంచి మొబైల్ యాప్ డౌన్ లోడ్ చేసుకోండి,Download the mobile app from the Play Store.
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","ఇంకా, మీరు సిస్టమ్ లో మీ ఖాతాను లేదా దానికి సంబంధించిన ఏదైనా సమాచారాన్ని మార్చినప్పుడు లేదా యాక్సెస్ చేసుకున్నప్పుడు, మేము ఒక సురక్షిత సర్వర్ యొక్క ఉపయోగాన్ని అందిస్తాము.","Furthermore, when you change or access your account or any information related to it in the system, we provide the use of a secure server."
General Awareness on the Delivery of the child,బిడ్డ డెలివరీపై సాధారణ అవగాహన,A general understanding of childbirth.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","మా పనితీరును విశ్లేషించడం, మా చట్టపరమైన బాధ్యతలను తీర్చడం, మా శ్రామిక శక్తిని అభివృద్ధి చేయడం మరియు పరిశోధన చేయడం వంటి మా సేవలను ఆపరేట్ చేయడానికి కూడా మేము డేటాను ఉపయోగిస్తాము.","We also use data to operate our services, such as analyzing our performance, fulfilling our legal obligations, developing our workforce, and conducting research."
Where can I enquire about Hot Cooked Meal?,హాట్ కూకేడ్ మిల్ గురించి నేను ఎక్కడ విచారించగలను?,Where can I ask about hot cooking mills?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","సైట్ మా ద్వారా స్వంతం చేసుకోబడని, నిర్వహించబడని లేదా ఆపరేట్ చేయబడని ఇతర వెబ్ సైట్ లకు లింక్ లను కలిగి ఉండవచ్చు.","The site may contain links to other websites that are not owned, operated or operated by us."
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","ఈ వెబ్ సైట్ లు లింక్ చేయబడ్డాయనే వాస్తవం, మా నుంచి ఈ వెబ్ సైట్ ల యొక్క ఎలాంటి ఎండార్స్ మెంట్ ని సూచించదు, ఎందుకంటే ఈ వెబ్ సైట్ లపై మాకు ఎలాంటి నియంత్రణ ఉంది.","The fact that these websites are linked does not imply any endorsement of these websites from us, as we have no control over these websites."
We are not responsible for these websites including any content or the privacy practices of these websites.,ఏదైనా కంటెంట్ లేదా ఈ వెబ్ సైట్ ల యొక్క గోప్యతా విధానాలతో సహా ఈ వెబ్ సైట్ లకు మేం బాధ్యత వహించం.,"We are not responsible for any content or privacy policies of these websites, including those of these websites."
We strongly encourage you to familiarize yourself with the terms of use of these websites.,ఈ వెబ్ సైట్ ల యొక్క ఉపయోగ నిబంధనలతో మిమ్మల్ని మీరు పరిచయం చేసుకోవాలని మేం మిమ్మల్ని బలంగా ప్రోత్సహిస్తున్నాం.,We strongly encourage you to familiarize yourself with the terms of use of these websites.
Your use of these websites is at your own risk and peril.,ఈ వెబ్ సైట్ ల యొక్క మీ ఉపయోగం మీ స్వంత రిస్క్ మరియు ఆపదలో ఉంది.,Your use of these websites is at your own risk and peril.
In how many languages AWW can enter the data while filling up the form?,ఫారమ్ నింపేటప్పుడు AWW లేదా AWC ఎన్ని భాషలలో డేటాను నమోదు చేయవచ్చు?,"When filling out a form, how many languages can AWW or AWC enter data in?"
Children who are identified as deficit on nutrition are eligible for additional food supplements.,పోషకాహార లోపంగా గుర్తించిన పిల్లలు అదనపు ఆహార అనుబంధాలకు అర్హులు.,Children who are diagnosed with malnutrition are eligible for additional food supplements.
An underweight person is a person whose body weight is considered too low to be healthy,తక్కువ బరువు ఉన్న వ్యక్తి అనేది శరీర బరువు ఆరోగ్యంగా ఉండటానికి చాలా తక్కువగా పరిగణించబడే వ్యక్తి,A person of low weight is someone whose body weight is considered too low to be healthy.
When and how to use MPIN?,MPIN ను ఎప్పుడు మరియు ఎలా ఉపయోగించాలి?,When and how should MPteIN be used?
Ensuring that complementary feeding improves over time,కాంప్లిమెంటరీ ఫీడింగ్ కాలక్రమేణా మెరుగుపడేలా ధృవీకరించడం,Verifying that complementary feeding improves over time
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (హెల్త్ ఐడి) ఉపయోగించడం అనేది మీకు మరియు మీ కుటుంబానికి సురక్షితమైన మరియు సమర్థవంతమైన డిజిటల్ ఆరోగ్య రికార్డులను సృష్టించే దిశగా మొదటి దశ.,Using ABHA (Health ID) is the first step towards creating safe and effective digital health records for you and your family.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (ఇంతకు ముందు హెల్త్ ఐడి అని పిలువబడేది) అనేది ఆయుష్మాన్ భారత్ హెల్త్ అకౌంట్ యొక్క సంక్షిప్త పదం.,ABte ABHA (previously known as Health ID) is an acronym for Ayushmann Bharat Health Account.
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"AWW/AWC లను నోడల్ స్థాయి అధికారి మాత్రమే చేర్చగలరు.సోపానక్రమంలో పైన ఉన్న ఎవరైనా.జాతీయ స్థాయి వినియోగదారు మాదిరిగానే రాష్ట్ర, జిల్లా, ప్రాజెక్ట్ మరియు రంగాల వినియోగదారుని సృష్టించవచ్చు.రాష్ట్ర స్థాయి వినియోగదారుడు జిల్లా స్థాయికి, ప్రాజెక్ట్ మరియు సెక్టార్ స్థాయి వినియోగదారుని సృష్టించగలరు, జిల్లా స్థాయి వినియోగదారు ప్రాజెక్ట్ మరియు సెక్టార్ స్థాయి వినియోగదారుని సృష్టించగలరు, ప్రాజెక్ట్ స్థాయి వినియోగదారు సెక్టార్ స్థాయి వినియోగదారుని సృష్టించగలరు.","AWW/AWCs can only be added by a nodal-level officer.Anyone above the hierarchy.A state, district, project and sector user can be created, as can a national-level user.A state-level user can create a district, project and sector-level user, a district-level user can create a project and sector-level user, a project-level user can create a sector-level user."
Where can I enquire about take home ration?,టేక్ హోమ్ రేషన్ గురించి నేను ఎక్కడ విచారించగలను?,Where can I ask about take-home rations?
We use the information we collect from all our services for the following purposes:,మేము మా అన్ని సేవల నుండి సేకరించిన సమాచారాన్ని ఈ క్రింది ప్రయోజనాల కోసం ఉపయోగిస్తాముః,We use the information we collect from all our services for the following purposes:
Identification & Referral of Sick Newborn,అస్వస్థతగా ఉన్న నవజాత శిశువును గుర్తించడం మరియు రీఫరల్ చేయడం,Identifying and referring a newborn infant with a medical condition.
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. తృతీయపక్ష సిస్టమ్ ల ద్వారా అందించబడ్డ డేటా యొక్క కచ్చితత్త్వం,XIV. Accuracy of data provided by third-party systems.
Who is eligible for Take Home Ration?,టేక్ హోమ్ రేషన్ కు ఎవరు అర్హులు?,Who is eligible for take-home rations?
Supporting mothers with issues in Breastfeeding,స్తన్యం ఇవ్వడంలో సమస్యలతో ఉన్న తల్లులకు మద్దతు ఇవ్వడం,Supporting mothers with breastfeeding difficulties.
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ప్రతిపాదిత వ్యవస్థ నిర్వచించిన సూచికలపై అన్ని (ఎడబ్ల్యుసి), (ఎడబ్ల్యుడబ్ల్యు) మరియు లబ్ధిదారుల యొక్క రియల్ -టైమ్ పర్యవేక్షణ మరియు ట్రాకింగ్ను ప్రారంభించాలి.","The proposed system should enable real-time monitoring and tracking of all (AWC), (AWW) and beneficiaries on the defined indicators."
Above standards are defined as per given above mentioned age brackets,పైన పేర్కొన్న వయస్సు బ్రాకెట్ ల ప్రకారంగా పై ప్రమాణాలు నిర్వచించబడ్డాయి,The above criteria are defined according to the age brackets mentioned above.
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","ఒక వ్యక్తి తక్కువ బరువుతో ఉంటే, వారి శరీరానికి ఆరోగ్యకరమైన ఎముకలు, చర్మం మరియు జుట్టును నిర్మించడానికి అవసరమైన పోషకాలు లభించకపోవచ్చు","If a person is underweight, their body may not have the nutrients needed to build healthy bones, skin, and hair."
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,అతని / ఆమె మొబైల్ నంబర్కు OTP ని అభ్యర్థించడం ద్వారా సంబంధిత అంగన్వాడీ కార్మికుడు MPIN ని సెట్ చేయవచ్చు.,The relevant Anganwadi worker can set MPIN by requesting an OTP to his/her mobile number.
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","మొబైల్ నంబర్ ఇప్పటికే డేటాబేస్లో ఉంటే, సంబంధిత అంగన్వాడీ వ్యక్తి రిజిస్టర్డ్ మొబైల్ నంబర్లో 4 అంకెల OTP ను అందుకుంటారు.","If the mobile number is already in the database, the corresponding Anganwadi person will receive a 4-digit OTP from the registered mobile number."
"Post entering the OTP, AWW can easily set customized MPIN.","OTP పంపిన తరువాత, AWW అనుకూలీకరించిన MPIN ని సులభంగా సెట్ చేయవచ్చు.","After sending the OTP, AWW can easily set the custom MPIN."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ఇది ఆరోగ్య సంరక్షణ ప్రదాతలతో మీ పరస్పర చర్యకు వీలు కల్పిస్తుంది, మరియు ధృవీకరించబడిన ఆరోగ్య సంరక్షణ నిపుణులు మరియు ఆరోగ్య సేవా ప్రదాతల నుండి మీ డిజిటల్ ల్యాబ్ రిపోర్టులు, ప్రిస్క్రిప్షన్లు మరియు రోగనిర్ధారణను నిరంతరాయంగా అందుకోవడానికి మిమ్మల్ని అనుమతిస్తుంది.","This enables your interaction with healthcare providers, and allows you to continuously receive your digital lab reports, prescriptions, and diagnoses from certified healthcare professionals and healthcare providers."
Our System provides API to Third – Party Sites that may collect your personal information.,మీ వ్యక్తిగత సమాచారాన్ని సేకరించే తృతీయపక్ష సైట్ లకు మా సిస్టమ్ APIని అందిస్తుంది.,Our system provides API for third-party sites that collect your personal information.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,అటువంటి సమాచారం లేదా వారి గోప్యతా విధానాలు లేదా ఆ తృతీయపక్ష సైట్ ల యొక్క కంటెంట్ యొక్క భద్రతకు పోషణ్ ట్రాకర్ ఏవిధంగానూ బాధ్యత వహించదు.,Nutrition Tracker is not responsible for the security of such information or their privacy policies or the content of those third-party sites.
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,ఈ తృతీయపక్ష సేవా ప్రదాతలు మరియు తృతీయపక్ష సైట్ లు మీరు లోబడి ఉండగల మీ సమాచారాన్ని నిల్వ చేయడం మరియు నిలుపుకోవడాన్ని నియంత్రించే వారి స్వంత గోప్యతా విధానాలను కలిగి ఉండవచ్చు.,These third-party service providers and third-party sites may have their own privacy policies that regulate the storage and retention of your information to which you may be subject.
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","ఈ తృతీయపక్ష ప్రదాతలు మరియు తృతీయపక్ష సైట్ ల ద్వారా అందించబడ్డ, నిల్వ చేయబడ్డ లేదా ఉపయోగించే ఏదైనా సమాచారాన్ని ఈ గోప్యతా విధానం నియంత్రించదు.","This privacy policy does not govern any information provided, stored or used by these third-party providers and third-party sites."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","మీరు తృతీయపక్ష సైట్ లోనికి ప్రవేశించినప్పుడు, తృతీయపక్ష సైట్ యొక్క గోప్యతా విధానాన్ని మీరు సమీక్షించాలని మేము సిఫార్సు చేస్తున్నాము, ఎందుకంటే ఇది మీ సమాచారాన్ని సంరక్షించడానికి సంబంధించినది.","When you log into a third-party site, we recommend that you review the privacy policy of the third-party site, as it is concerned with protecting your information."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,శోధన ఫలితాల్లో లేదా ఏదైనా తృతీయపక్ష సైట్ ల ద్వారా పబ్లిష్ చేయబడ్డ సమాచారానికి పోషణ్ ట్రాకర్ బాధ్యత వహించదని మీరు అంగీకరిస్తున్నారు మరియు ధృవీకరిస్తున్నారు.,You agree and certify that Nutrition Tracker is not responsible for any information posted in search results or through any third-party sites.
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,పైన క్లాజు 1 ప్రకారంగా SMS ద్వారా మీకు కమ్యూనికేట్ చేయడం కొరకు మీ రిఫరెన్స్ ఐడి (మొబైల్ నెంబరు) మీ వ్యక్తిగత సమాచారంతో మాత్రమే సహ-సంబంధం కలిగి ఉంటుంది.,"To communicate with you via SMS, as described in clause 1 above, your reference ID (mobile number) is only co-related to your personal information."
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","సైట్ ని సందర్శించడం లేదా ఉపయోగించడం ద్వారా, నియతానుసారంగా అప్ డేట్ చేయబడ్డ ఈ నిబంధనలను మీరు స్పష్టంగా అంగీకరిస్తున్నారు.","By visiting or using the site, you expressly agree to these terms, which are updated periodically."
"If you do not agree with any part of these terms, do not use the site.","ఈ నిబంధనల్లోని ఏదైనా భాగాన్ని మీరు అంగీకరించనట్లయితే, సైట్ ని ఉపయోగించవద్దు.","If you do not agree to any part of these terms, do not use the site."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,మీరు సైట్ ని ఏవిధంగానూ ఉపయోగించలేరు మరియు బైండింగ్ కాంట్రాక్ట్ రూపొందించడానికి మీకు చట్టబద్ధమైన వయస్సు లేనట్లయితే నిబంధనలను ఆమోదించకపోవచ్చు.,You may not use the site in any way and may not agree to the terms unless you are of legal age to enter into a binding contract.
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,బాసిల్లస్ కాల్మెట్ గురిన్ (BCG)ఓరల్ పోలియో వ్యాక్సిన్ (OPV)-0 మోతాదు హెపటైటిస్ బి జనన మోతాదు OPV-1 T,Basillus calmetrin (BCG) Oral polio vaccine (OPV)-0 dose of hepatitis B at birth dose of OPV-1 T
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","క్లాజ్ 1 కింద సేకరించబడ్డ సమాచారం, లబ్ధిదారుల యొక్క ఆరోగ్యాన్ని సులభతరం చేసే ఉద్దేశ్యం కొరకు ఉపయోగించబడుతుంది.",The information collected under Clause 1 is used for the purpose of facilitating the health of beneficiaries.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","మేము మా ఉత్పత్తులను అందిస్తాము, దీనిలో సిస్టమ్ యొక్క సమాచారం/డేటా/మెటీరియల్స్ మరియు కంటెంట్ లను అప్ డేట్ చేయడం, సెక్యూర్ చేయడం మరియు ట్రబుల్ షూటింగ్ చేయడం, అదేవిధంగా మద్దతును అందించడం వంటివి ఉంటాయి.","We offer our products, including updating, securing and troubleshooting system information/data/matter and content, as well as providing support."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","మీరు పోషణ్ ట్రాకర్ పై రిజిస్టర్ చేసుకున్నప్పుడు, డేటాబేస్ నుంచి మీ రికార్డ్ ని లొకేట్ చేయడం కొరకు మీరు రిజిస్టర్ చేసుకున్న మొబైల్ నెంబరు ఉపయోగించబడుతుంది.","When you register on Nutrition Tracker, the mobile number you registered will be used to locate your record from the database."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,పోషణ్ ట్రాకర్ సిస్టమ్ లో రికార్డ్ చేయబడ్డ ఆరోగ్య స్థితిని మదింపు చేయడానికి కూడా వీటిని ఉపయోగించవచ్చు.,They can also be used to assess the health status recorded in the nutrition tracker system.
Training on ICT Platform under POSHAN Abhiyaan,పోషణ్ అభియాన్ కింద ఐసిటి ప్లాట్ ఫారమ్ పై ట్రైనింగ్,Training on the ICT platform under the Poshte Abhiyan is being conducted on the platform of the Poshte Abhiyan.
"Know more about stunting, wasting and underweight","స్టంటింగ్, వేస్టింగ్ మరియు తక్కువ బరువు గురించి మరింత తెలుసుకోండి","Learn more about stunting, wasting, and light weight."
What information to be added in AWC forms?,AWC ఫారంలో ఏ సమాచారాన్ని చేర్చాలి?,What information should be included in the AteWC form?
How to revive your health if you are Moderately Wasted (MAM),ఒకవేళ మీరు ఒక మాదిరి వెస్టెడ్ ఉన్నట్లయితే మీ ఆరోగ్యాన్ని ఏవిధంగా పునరుద్ధరించాలి (MA),"If you are a relatively well-off person, how can you restore your health (MA)"
AWC Workers Registered In Last 30 Days,AWC వర్కర్స్ గత 30 రోజులలో నమోదు చేయబడింది,AteWC Workers has been registered in the last 30 days.
Click on above button to get this App,ఈ అనువర్తనం పొందడానికి పై బటన్ పై క్లిక్ చేయండి,"To get this app, click on the button above."
Beneficiaries Registered In Last 30 Days,గత 30 రోజుల్లో లబ్ధిదారులు నమోదు చేయబడ్డారు,Beneficiaries have been registered in the last 30 days.
Specifications of Smart phone and Technical Compatibility Testing,స్మార్ట్ ఫోన్ యొక్క స్పెసిఫికేషన్ లు మరియు టెక్నికల్ కంపాటబిలిటీ టెస్టింగ్,The specifications of the smartphone and technical compatibility testing.
Preparation During Pregnancy - For NewBorn Care & Family Planning,గర్భధారణ సమయంలో తయారీ - నవజాత శిశువుల సంరక్షణ మరియు కుటుంబ నియంత్రణ,Prepare for pregnancy - care of newborns and family control.
Stunting is the impaired growth and development that children experience from poor nutrition,ఎదుగుదల మందగించడం అనేది పేలవమైన పోషకాహారం వల్ల పిల్లలు అనుభవించే ఎదుగుదల మరియు అభివృద్ధి బలహీనంగా ఉండటం,Slowing down is the developmental and developmental impairment that children experience due to poor nutrition.
Children in the age group of 3 years to 6 years,3 సంవత్సరాల నుంచి 6 సంవత్సరాల వయస్సు గల పిల్లలు,Children between the ages of 3 and 6 years old.
What is the eligibility of a beneficiary?,లబ్ధిదారుని యొక్క అర్హత ఏమిటి?,What is the beneficiary's entitlement?
Who are the target userbase of Poshan Tracker App?,పోషణ్ ట్రాకర్ యాప్ యొక్క ఉద్దేశింపబడిన వినియోగదారు బేస్ ఎవరు?,Who is the intended user base of the Nutrition Tracker app?
"It often indicates recent and severe weight loss, although it can also persist for a long time","ఇది తరచుగా ఇటీవలి మరియు తీవ్రమైన బరువు తగ్గడాన్ని సూచిస్తుంది, అయినప్పటికీ ఇది ఎక్కువ కాలం కూడా కొనసాగవచ్చు","This often indicates recent and severe weight loss, although it can last for a longer period of time."
What is the minimum requirement to install Poshan Tracker App in mobile?,మొబైల్లో పోషన్ ట్రాకర్ యాప్ను ఇన్స్టాల్ చేయడానికి కనీస అవసరం ఏమిటి?,What is the minimum requirement to install the Position Tracker app on your mobile?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,డాక్యుమెంటేషన్ లో వివరించిన మార్గాల ద్వారా మాత్రమే మీరు సైట్ ని యాక్సెస్ చేసుకుంటారు (లేదా యాక్సెస్ చేసుకోవడానికి ప్రయత్నిస్తారు) మరియు ఈ అగ్రిమెంట్ యొక్క నియమనిబంధనలకు కట్టుబడి ఉంటారు.,You access (or attempt to access) the site only by the means described in the documentation and are bound by the terms of this agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","మీకు వర్తించే అన్ని కేంద్ర మరియు రాష్ట్ర చట్టాలు, నియమనిబంధనలు మరియు సైట్ యొక్క మీ ఉపయోగం మరియు ఏవైనా తృతీయపక్ష హక్కులను ప్రభావితం చేసే అన్ని కేంద్ర మరియు రాష్ట్ర చట్టాలు, నియమనిబంధనలకు మీరు కట్టుబడి ఉంటారు.",You will be bound by all applicable federal and state laws and regulations that affect your use of the site and any third party rights.
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardte by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.,in or by downloading the 'Postehan Tracker' App from the Google Play Store.
Clarification regarding Cost of Smart phones,స్మార్ట్ ఫోన్ ల యొక్క ఖర్చుకు సంబంధించి స్పష్టత,The cost of smartphones is clear.
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,తట్టు కలిగిన వ్యాక్సిన్ (MCV)/తట్టు మరియు రూబెల్లా (MR)-1జపనీస్ ఎన్ కెఫలైటిస్ (JE)-1**PCV-బూస్టర్,The vaccine containing the vaccine (MCV)/te and rubella (MR)-1 are Japanese encephalitis (JE)-1**PCV-booster.
Mobile number need to be validated within a week,మొబైల్ నంబర్ను వారంలోపు ధృవీకరించాలి,The mobile number must be verified within a week.
Currently a beneficiary can register by the help of an AWW,ప్రస్తుతం ఒక లబ్ధిదారుడు AWW యొక్క సాయంతో రిజిస్టర్ చేసుకోవచ్చు,"Currently, a beneficiary can register with the help of AWW."
Awareness for Lactating Mother Complimentary Feeding for Children,పిల్లలకు పాలిచ్చే తల్లి కాంప్లిమెంటరీ ఫీడింగ్ కొరకు అవగాహన,Understanding of complementary feeding by nursing mothers
New Poshan Tracker App - CSC-SPV Nodal Person,న్యూ పోషణ్ ట్రాకర్ యాప్ - CSC-SPV నోడల్ పర్సన్,New Nutrition Tracker app - CSC-SPVte is a nodal person.
1.1. Information you provide to us.,1.1. మీరు మాకు అందించే సమాచారం.,1.1.te information you provide to us.
How can one access Poshan Tracker Dashboard?,పోషణ్ ట్రాకర్ డాష్బోర్డ్ను ఎలా యాక్సెస్ చేయవచ్చు?,How can I access the nutrition tracker dashboard?
Prevention of Anemia in children and adolescents girls,పిల్లలు మరియు కౌమారదశలో ఉన్న బాలికలలో రక్తహీనత నివారణ,Prevention of anaemia in children and teenage girls
Gangarampur Addl. I. C. D. S Project,గంగారాంపూర్ అడిష్నల్  ఐ. సి. డి. ఎస్. ప్రాజెక్ట్,Gangarampur is the final ICDS project.
Can a beneficiary register directly using application.,లబ్ధిదారుడు అప్లికేషన్ ఉపయోగించి నేరుగా రిజిస్టర్ చేసుకోవచ్చా.,The beneficiary can register directly using the application.
