eng,gu,mBART600M
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","નવી પોશણ ટ્રેકર એપ્લિકેશનઃ સીએસસી-એસપીવી નોડલ વ્યક્તિ (02 ફેબ્રુઆરી, 2021)","New fashion tracker app: CSC-SPV noodle person (February 02, 2021)"
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW લાભાર્થીને તેમના આધાર નંબરના આધારે એક AWCમાંથી બીજા AWCમાં સ્થાનાંતરિત કરવા માટે 'માઇગ્રેટ બેનિફિશરી' વિકલ્પનો ઉપયોગ કરી શકે છે.,AWW can use the 'Migrat Benefit' option to transfer the beneficiary from one AWC to another AWC based on their Aadhaar number.
A beneficiary is eligible for HCM for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે HCM માટે પાત્ર છે.,One beneficiary is eligible for HCMgu for at least 21 days per month.
ABHA (Health ID) and its Benefits,ABHA (હેલ્થ ID) અને તેના ફાયદા,ABHA (Health ID) and its benefits
"We'ar sorry, the page you requested could not be found.","માફ કરશો, તમે વિનંતી કરેલ પૃષ્ઠ શોધી શકાયું નથી.","Sorry, the requested page could not be found."
Dadra & Nagar Haveli - Daman & Diu,દાદા અને નગર હવેલી - માન અને ડીયુ,Dadu and Nagar Haveli - Man and Diu
Download Mobile App from Play Store,પ્લે સ્ટોર પરથી મોબાઈલ એપ ડાઉનલોડ કરો,Download the mobile app from the Playgu Store.
General Awareness on the Delivery of the child,બાળકના જન્મ અંગે સામાન્ય જાગૃતિ,General awareness of the birth of a child is needed.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","અમે અમારી સેવાઓનું સંચાલન કરવા માટે પણ ડેટાનો ઉપયોગ કરીએ છીએ, જેમાં અમારી કામગીરીનું પૃથ્થકરણ, અમારી કાનૂની જવાબદારીઓ પૂરી કરવી, અમારા કાર્યબળને વિકસાવવા અને સંશોધન કરવાનો સમાવેશ થાય છે.","We also use data to operate our services, including analyzing our operations, fulfilling our legal obligations, developing and researching our workforce."
Where can I enquire about Hot Cooked Meal?,હું ગરમ   રાંધેલા ભોજન વિશે ક્યાં પૂછપરછ કરી શકું?,Where can I inquire about hot meals?
In how many languages AWW can enter the data while filling up the form?,આંગણવાડી કાર્યકર અથવા કેન્દ્ર ફોર્મ ભરતી વખતે કેટલી ભાષાઓમાં ડેટા દાખલ કરી શકે છે?,How many languages can an Anggu Anganwadi worker or a centre enter data in when filling out a form?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.,Children who are known to be malnourished are eligible for additional dietary supplements.
An underweight person is a person whose body weight is considered too low to be healthy,ઓછું વજન ધરાવતી વ્યક્તિ એવી વ્યક્તિ છે કે જેનું શરીરનું વજન સ્વસ્થ રહેવા માટે ખૂબ ઓછું માનવામાં આવે છે,A person who is underweight is someone whose body weight is considered too low to be healthy.
When and how to use MPIN?,એમપિનનો ઉપયોગ ક્યારે અને કેવી રીતે કરવો?,When and how to use mpgpin?
Ensuring that complementary feeding improves over time,સુનિશ્ચિત કરવું કે પૂરક ખોરાકની માત્રા સમયની સાથે સુધરે છે,Ensuring that the amount of supplemental food improves over time.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (હેલ્થ ID) નો ઉપયોગ કરવો એ તમારા અને તમારા પરિવાર માટે સુરક્ષિત અને કાર્યક્ષમ ડિજિટલ હેલ્થ રેકોર્ડ બનાવવા તરફનું પ્રથમ પગલું છે.,Using ABHA (Healthgu ID) is the first step towards creating a secure and efficient digital health record for you and your family.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (અગાઉ હેલ્થ ID તરીકે ઓળખાતું) એ આયુષ્માન ભારત હેલ્થ એકાઉન્ટનું ટૂંકું નામ છે.,ABHA (formerly known as Health ID) is the acronym for Ayushman Bharat Health Account.
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"આંગણવાડી કાર્યકરો/આંગણવાડી કેન્દ્રોને ફક્ત નોડલ કક્ષાના અધિકારી દ્વારા ઉમેરી શકાય છે.વંશવેલોમાં ઉપરના ભાગમાં જણાવેલ કોઈપણ અધિકારી.રાષ્ટ્રીય કક્ષાનો વપરાશકર્તા રાજ્ય, જિલ્લા, પરિયોજના અને ખંડ કક્ષાના વપરાશકર્તા બનાવી શકે છે.રાજ્ય કક્ષાનો વપરાશકર્તા જિલ્લા, પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે.જિલ્લા કક્ષાનો વપરાશકર્તા પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે.પરિયોજના કક્ષાનો વપરાશકર્તા, ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે.","Anganwadi workers/Anganwadi centres can only be added by a noodle-level official.Any official mentioned above in the pedigrees.National level users can create state, district, project and room level users.State level users can create district, project and room level users.District level users can create project and room level users.Project level users can create room level users."
Where can I enquire about take home ration?,હોમ રાશન લેવા વિશે હું ક્યાં પૂછપરછ કરી શકું?,Where can I inquire about taking home ration?
We use the information we collect from all our services for the following purposes:,અમે અમારી બધી સેવાઓમાંથી અમે જે માહિતી એકત્રિત કરીએ છીએ તેનો ઉપયોગ અમે નીચેના હેતુઓ માટે કરીએ છીએઃ,We use the information we collect from all our services for the following purposes:
Identification & Referral of Sick Newborn,બિમાર નવજાત શિશુની ઓળખ અને રેફરલ સેવા,Identification and referral service for sick newborns
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. તૃતીય પક્ષ સિસ્ટમો દ્વારા પ્રદાન કરવામાં આવેલ ડેટાની ચોકસાઈ,XIV. Accuracy of data provided by third-party systems
Who is eligible for Take Home Ration?,ટેક હોમ રાશન માટે કોણ યોગ્ય છે?,Who is eligible for a Techgu Home Ration?
Supporting mothers with issues in Breastfeeding,સ્તનપાનને લગતી સમસ્યાઓ ધરાવતી માતાઓને મદદ કરવી,Helping mothers with breastfeeding problems
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","સૂચિત સિસ્ટમમાં બધા આંગણવાડી કેન્દ્રો, આંગણવાડી કામદારો અને લાભાર્થીઓને નિર્ધારિત સૂચકાંકો પર રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગને સક્ષમ બનાવવું જોઈએ.","All Anganwadi centres, Anganwadi workers and beneficiaries in the proposed system should be enabled to real-time monitoring and tracking of the identified indicators."
Above standards are defined as per given above mentioned age brackets,ઉપરોક્ત ધોરણો ઉપર દર્શાવેલ વય કૌંસ મુજબ વ્યાખ્યાયિત કરવામાં આવે છે,The above standards are defined according to the age bracket shown above.
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","જો કોઈ વ્યક્તિનું વજન ઓછું હોય, તો તેના શરીરને તંદુરસ્ત હાડકાં, ત્વચા અને વાળ બનાવવા માટે જરૂરી પોષક તત્વો ન મળી શકે","If a person is underweight, his body may not be able to obtain the nutrients needed to produce healthy bones, skin, and hair."
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,"સંબંધિત આંગણવાડી કાર્યકરના મોબાઇલ નંબર પર ઓટીપીની વિનંતી કરીને, તેમના દ્વારા એમપિન સેટ કરી શકાય છે.","By requesting an OTP to the mobile number of the concerned Anganwadi worker, they can set up an MPIN."
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","જો મોબાઇલ નંબર ડેટાબેસમાં પહેલેથી હાજર હશે, તો સંબંધિત આંગણવાડી વ્યક્તિ નોંધાયેલા મોબાઇલ નંબર પર 4 અંકનો ઓટીપી મેળવશે.","If the mobile number is already present in the database, the respective Anganwadi person will receive a 4-digit OTP to the registered mobile number."
"Post entering the OTP, AWW can easily set customized MPIN.","ઓટીપી દાખલ કર્યા પછી, આંગણવાડી કાર્યકર સરળતાથી કસ્ટમાઇઝ્ડ એમપિન સેટ કરી શકે છે.","After entering the OTP, the Anganwadi worker can easily set up a customized mpin."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","તે સહભાગી આરોગ્યસંભાળ રાખનારાઓ સાથે તમારી ક્રિયાપ્રતિક્રિયાને સક્ષમ કરે છે, અને તમને તમારા ડિજિટલ લેબ રિપોર્ટ્સ, પ્રિસ્ક્રિપ્શન્સ અને નિદાન ચકાસાયેલ આરોગ્યસંભાળ વ્યાવસાયિકો અને આરોગ્ય સેવા આપનારાઓ પાસેથી એકીકૃત રીતે પ્રાપ્ત કરવાની મંજૂરી આપે છે.","It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions, and diagnoses verified in a seamless manner from healthcare professionals and healthcare providers."
Our System provides API to Third – Party Sites that may collect your personal information.,અમારી સિસ્ટમ ત્રીજા પક્ષની સાઇટ્સને API પ્રદાન કરે છે જે તમારી વ્યક્તિગત માહિતી એકત્રિત કરી શકે છે.,Our system provides API to third-party sites that may collect your personal information.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,પોશન ટ્રેકર કોઈપણ રીતે આવી માહિતી અથવા તેમની પ્રાઇવસી પ્રથાઓ અથવા તે તૃતીય-પક્ષ સાઇટ્સની સામગ્રીની સુરક્ષા માટે જવાબદાર નથી.,PasionTracker is not responsible for protecting such information or their privacy practices or the content of those third-party sites in any way.
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,આ તૃતીય-પક્ષ સેવા પ્રદાતાઓ અને તૃતીય-પક્ષ સાઇટ્સની તમારી માહિતીના સંગ્રહ અને જાળવણીને સંચાલિત કરતી તેમની પોતાની પ્રાઇવસી પોલિસીઓ હોઈ શકે છે જેને તમે આધીન હોઈ શકો છો.,These third-party service providers and third-party sites may have their own privacy policies that govern the collection and maintenance of your information to which you may be subject.
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","આ પ્રાઇવસી પોલિસી આ તૃતીય-પક્ષ પ્રદાતાઓ અને તૃતીય-પક્ષ સાઇટ્સને પ્રદાન કરેલી, સંગ્રહિત અથવા ઉપયોગમાં લેવાતી કોઈપણ માહિતીને સંચાલિત કરતી નથી.","This Privacy Policy does not govern any information provided, stored or used by these third-party providers and third-party sites."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","અમે ભલામણ કરીએ છીએ કે જ્યારે તમે તૃતીય-પક્ષ સાઇટ દાખલ કરો, ત્યારે તમે થર્ડ પાર્ટી સાઇટની પ્રાઇવસી પોલિસી ની સમીક્ષા કરો કારણ કે તે તમારી માહિતીની સુરક્ષા સાથે સંબંધિત છે.","We recommend that when you access a third-party site, you review the privacy policy of the third-party site as it relates to the security of your information."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,તમે સંમત થાઓ છો અને સ્વીકારો છો કે શોધ પરિણામોમાં અથવા કોઈપણ તૃતીય-પક્ષ સાઇટ્સ દ્વારા પ્રકાશિત માહિતી માટે પોશન ટ્રેકર જવાબદાર રહેશે નહીં.,You agree and agree that the Pasion Tracker will not be responsible for information published in search results or by any third-party sites.
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","સાઇટની મુલાકાત લઈને અથવા તેનો ઉપયોગ કરીને, તમે સ્પષ્ટપણે આ શરતો સાથે સંમત થાઓ છો, જેમ કે સમય સમય પર અપડેટ કરવામાં આવે છે.","By visiting or using the site, you expressly agree to these terms and conditions, as updated from time to time."
"If you do not agree with any part of these terms, do not use the site.","જો તમે આ શરતોના કોઈપણ ભાગ સાથે સંમત નથી, તો સાઇટનો ઉપયોગ કરશો નહીં.","If you do not agree to any part of these terms, do not use the site."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,તમે કોઈપણ રીતે સાઇટનો ઉપયોગ કરી શકશો નહીં અને જો તમે બાઈન્ડિંગ કરાર બનાવવા માટે કાનૂની વયના ન હોવ તો તમે શરતોને સ્વીકારી શકશો નહીં.,"You will not be able to use the site in any way, and you will not be able to accept the terms unless you are of legal age to enter into a binding agreement."
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,બેસિલસ કેલ્મેટ ગ્યુરીન (BCG)ઓરલ પોલિયો રસી (OPV)-0 ડોઝ હેપેટાઇટિસ બી જન્મ માત્રા OPV-1 T,Basilus Calmetts Guerin (BCG)Oral polio vaccine (OPV)-0 dose of hepatitis B birth dose OPV-1 T
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",કલમ 1 હેઠળ એકત્રિત કરવામાં આવેલી માહિતીનો ઉપયોગ લાભાર્થીઓના સ્વાસ્થ્યની સુવિધાના હેતુ માટે કરવામાં આવશે.,The information collected under Section 1 will be used for the purpose of facilitating the health of the beneficiaries.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","અમે અમારા ઉત્પાદનો પ્રદાન કરીએ છીએ, જેમાં સિસ્ટમની માહિતી/ડેટા/ સામગ્રીઓ અને સામગ્રીઓને અપડેટ કરવા, સુરક્ષિત કરવા અને મુશ્કેલીનિવારણ તેમજ સપોર્ટ પ્રદાન કરવાનો સમાવેશ થાય છે.","We provide our products, including updating, protecting and providing troubleshooting as well as support for system information/data/materials and materials."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","જ્યારે તમે પોશન ટ્રેકર પર નોંધણી કરાવો છો, ત્યારે તમે જે મોબાઈલ નંબર સાથે નોંધણી કરી હતી તેનો ઉપયોગ ડેટાબેઝમાંથી તમારો રેકોર્ડ શોધવા માટે કરવામાં આવશે.","When you register on the Pasion Trackergu, the mobile number you registered with will be used to find your record from the database."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,આનો ઉપયોગ પોશન ટ્રેકર સિસ્ટમમાં નોંધાયેલા સ્વાસ્થ્યની સ્થિતિનું મૂલ્યાંકન કરવા માટે પણ થઈ શકે છે.,It can also be used to assess the health status of the posture tracker system.
Training on ICT Platform under POSHAN Abhiyaan,પોષણ અભિયાન હેઠળ ICT પ્લેટફોર્મ પર તાલીમ,Training on ICT platforms under the Nutrition Guidance campaign
"Know more about stunting, wasting and underweight","સ્ટંટિંગ, વેસ્ટેડ અને ઓછા વજન વિશે વધુ જાણો","Learn more about stunting, vests and lightweight."
What information to be added in AWC forms?,આંગણવાડી કેન્દ્ર ફોર્મમાં કઈ માહિતી ઉમેરવાની છે?,What information should be added to the Anggu Agganwadi Centre form?
How to revive your health if you are Moderately Wasted (MAM),જો તમે સાધારણ રીતે અશક્ત હોવ તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું (MAM),"If you are moderately disabled, how to revive your health (MAM)"
AWC Workers Registered In Last 30 Days,છેલ્લા 30 દિવસમાં એડબ્લ્યુસી કામદારો નોંધાયેલ,"In the last 30 days, there have been a number of registered employees of the WWC."
Click on above button to get this App,આ એપ્લિકેશન મેળવવા માટે ઉપરના બટન પર ક્લિક કરો,"To access this app, click on the button above."
Beneficiaries Registered In Last 30 Days,છેલ્લા 30 દિવસમાં નોંધાયેલા લાભાર્થીઓ,Beneficiaries registered in the last 30 days.
Specifications of Smart phone and Technical Compatibility Testing,સ્માર્ટ ફોનના સ્પેસિફિકેશન અને ટેકનિકલ સુસંગતતા પરીક્ષણ,The specifications and technical compatibility test of the smartphone is carried out.
Preparation During Pregnancy - For NewBorn Care & Family Planning,ગર્ભાવસ્થા દરમિયાન તૈયારી - નવજાત શિશુની સંભાળ અને કુટુંબ નિયોજન માટે,Preparation during pregnancy - for the care of newborns and family planning.
Stunting is the impaired growth and development that children experience from poor nutrition,સ્ટંટીંગ એ નબળી વૃદ્ધિ અને વિકાસ છે જેનો બાળકો નબળા પોષણથી અનુભવે છે,Stunting is a poor growth and development that children experience with poor nutrition.
Children in the age group of 3 years to 6 years,3 વર્ષથી 6 વર્ષની વયના બાળકો,Children between the ages of 3 and 6 years old
What is the eligibility of a beneficiary?,લાભાર્થીની લાયકાત શું છે?,What is the eligibility of the beneficiary?
Who are the target userbase of Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનના લક્ષ્ય વપરાશકર્તા આધાર કોણ છે?,Who is the target user base of the Nutrition Tracker app?
"It often indicates recent and severe weight loss, although it can also persist for a long time","તે ઘણીવાર તાજેતરના અને ગંભીર વજનમાં ઘટાડો સૂચવે છે, જો કે તે લાંબા સમય સુધી ચાલુ રહી શકે છે","It often indicates recent and severe weight loss, although it can continue for a longer period of time."
What is the minimum requirement to install Poshan Tracker App in mobile?,મોબાઈલમાં પોષણ ટ્રેકર એપ ઇન્સ્ટોલ કરવા માટે ન્યૂનતમ આવશ્યકતા શું છે?,What is the minimum requirement to install the Nutrition Tracker app on your mobile?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,તમે માત્ર દસ્તાવેજીકરણમાં વર્ણવેલ માધ્યમથી જ સાઇટને ઍક્સેસ કરશો (અથવા ઍક્સેસ કરવાનો પ્રયાસ કરશો) અને આ કરારના નિયમો અને શરતોનું પાલન કરશો.,You will only access (or attempt to access) the site through the means described in the documentation and will comply with the terms and conditions of this agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","તમે તમામ કેન્દ્રીય અને રાજ્ય કાયદાઓ, નિયમો અને નિયમોનું પાલન કરશો જે તમને અને સાઇટના તમારા ઉપયોગને લાગુ પડે છે અને કોઈપણ તૃતીય-પક્ષ અધિકારોને અસર કરે છે.","You will comply with all federal and state laws, regulations and regulations that apply to you and your use of the site and affect any third-party rights."
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.,In or by downloading the 'Posguhan Tracker' App from the Google Play Store.
The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.,"નીચે આપેલ સેવાની શરતો (""શરતો"") છે જે https://poshantracker.","The following are the terms of service (""Terms"") that are available at https://poshantracker.gu"
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in પર હોસ્ટ કરેલા પોશન ટ્રેકર પ્લેટફોર્મના તમારા ઉપયોગને નિયંત્રિત કરે છે, અને લિંક કરેલી બધી સંબંધિત સાઇટ્સ તેને, તેની પેટાકંપનીઓ અને આનુષંગિકો (સામૂહિક રીતે, ""સાઇટ"").","The Pasion Tracker hosted on PUSHON controls your use of the platform, and all related sites linked to it, its subsidiaries and affiliates (collectively, the ""site"")."
Clarification regarding Cost of Smart phones,સ્માર્ટ ફોનની કિંમત અંગે સ્પષ્ટતા,Clarification of the price of the smartphone
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,ઓરી ધરાવતી રસી (MCV)/ઓરી અને રૂબેલા (MR)-1જાપાનીઝ એન્સેફાલીટીસ (JE)-1**PCV-બૂસ્ટર,The vaccine containing urine (MCV)/urine and rubella (MR)-1 Japanese encephalitis (JE)-1**PCV-booster is used to treat the disease.
Mobile number need to be validated within a week,એક સપ્તાહમાં માન્યતા આપવા મોબાઈલ નંબરની જરૂર છે,We need a mobile number to validate within a week.
Currently a beneficiary can register by the help of an AWW,હાલમાં લાભાર્થી AWW ની મદદ દ્વારા નોંધણી કરાવી શકે છે,"Currently, the beneficiary can register with the help of AWW."
Awareness for Lactating Mother Complimentary Feeding for Children,સ્તનપાન કરાવતી માતાઓ માટે બાળકોના ઉપરી આહાર અંગે જાગૃતિ,Raising awareness of the baby's over-nutrition for breastfeeding mothers.
New Poshan Tracker App - CSC-SPV Nodal Person,નવી પોષણ ટ્રેકર એપ - CSC-SPV નોડલ પર્સન,The new nutrition tracker app - CSC-SPV nodal persona is being developed.
1.1. Information you provide to us.,1.1. તમે અમને પ્રદાન કરો છો તે માહિતી.,1.1.gu. information you provide to us.
How can one access Poshan Tracker Dashboard?,પોષણ ટ્રેકર ડેશબોર્ડને કેવી રીતે ચલાવી શકાય છે?,How can the nutrition tracker dashboard be run?
Prevention of Anemia in children and adolescents girls,બાળકો અને કિશોરીઓમાં એનિમિયાનું નિવારણ,Prevention of anemia in children and adolescents is a key factor.
Gangarampur Addl. I. C. D. S Project,ગંગારામપુર એડીડીએલ. આઈ. સી. ડી. એસ પ્રોજેક્ટ,Gangaarampur ADDL is an ICDS project.
Can a beneficiary register directly using application.,શું લાભાર્થી અરજીનો ઉપયોગ કરીને સીધી નોંધણી કરાવી શકે છે.,Whether the beneficiary can register directly using the application.
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,મહિલા અને બાળ વિકાસ મંત્રાલયે પોશન ટ્રેકર એપ્લિકેશન રદ કરી છે.,The Ministry of Women and Child Development has canceled the Push Tracker app.
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.","ધ્યેય એ છે કે તમામ સ્તરે અમલીકરણની અડચણોને મજબૂત કરવા પર કેન્દ્રિત, માતા અને બાળકના કુપોષણ સુધારવા માટેના પોષણ પ્રણાલીને મજબૂત બનાવવાની અભિગમને મજબૂત બનાવવી.","The goal is to strengthen the approach to strengthening the nutrition system to improve mother and child malnutrition, focusing on strengthening implementation barriers at all levels."
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.","પોશન ટ્રેકર કેન્દ્રિય ડેટા આર્કિટેક્ચરનો ઉપયોગ કરીને બનાવવામાં આવ્યું છે, જે અન્ય મંત્રાલયો અને પ્રોગ્રામ્સની ડિજિટલ તકનીકી સિસ્ટમો સાથે પણ ગોઠવે છે.","The Passion Tracker is built using a centralized data architecture, which also coordinates other ministries and programs with digital technology systems."
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.","સિસ્ટમ દરેક લાભાર્થીને ડિજિટલ કાર્ડ દ્વારા ડિજિટલ ઓળખ પ્રદાન કરે છે, અને તકનીકી પ્લેટફોર્મ સાથે ક callલ સેન્ટરના કન્વર્ઝનને મંજૂરી આપે છે.","The system provides each beneficiary with digital identity via a digital card, and allows the conversion of the call center with a technical platform."
The system generates automated alerts to the critical last-mile beneficiaries.,સિસ્ટમ નિર્ણાયક છેલ્લા માઇલ લાભાર્થીઓને સ્વચાલિત ચેતવણીઓ ઉત્પન્ન કરે છે.,The system generates automatic alerts to the beneficiaries of the critical last mile.
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.","તે લાભાર્થીઓ અને ફરજ બજાવનારાઓની રીઅલ ટાઇમ હાજરીના દસ્તાવેજીકરણ દ્વારા, ડિલિવરી સિસ્ટમનું કાર્યક્ષમ ડિટ કરવાની ખાતરી આપે છે.","It ensures the efficient detour of the delivery system, by documenting the real-time presence of beneficiaries and duty-payers."
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.","આવું મજબૂત ડિજિટલ ટેકનોલોજી પ્લેટફોર્મ અને મેનેજમેન્ટ ઇન્ફોર્મેશન સિસ્ટમ, અસરકારક રીતે સ્કેલ કરવામાં મિશનને મદદ કરશે, ત્યાં નોંધપાત્ર સકારાત્મક અસર ઉત્પન્ન અને દસ્તાવેજીકરણ કરશે.","Such a strong digital technology platform and management information system will help the mission to scale effectively, generate and document significant positive impact there."
Weight should be between 0.90 to 58,વજન 0.90 થી 58 વચ્ચે હોવી જોઈએ,The weight should be between 0.90 and 58 kg.
MPIN can be easily reset by any AWW/AWC user.,એમપિનને કોઈપણ વપરાશકર્તા જેમ કે આંગણવાડી કાર્યકર/ આંગણવાડી કેન્દ્રો દ્વારા સરળતાથી ફરીથી સેટ કરી શકાય છે.,MPIN can be easily reset by any user such as the Anganwadi Worker/Anganwadi Centres.
"You are required to click on Forgot MPIN, and enter your registered mobile number.",તમારે ફરગોટ એમપિન પર ક્લિક કરવાની જરૂર છે અને તમારો નોંધાયેલ મોબાઇલ નંબર દાખલ કરવો પડશે.,You need to click on the Fargot MPG and enter your registered mobile number.
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,તમે તમારા નોંધાયેલા મોબાઈલ નંબર પર ઓટીપી પ્રાપ્ત થશે અને તમે તમારો એમપિન સરળતાથી ફરીથી સેટ કરી શકો છો.,You will receive an OTPgu to your registered mobile number and you can easily reset your mpin.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,પોશન ટ્રેકર એ આંગણવાડી કાર્યકરને તેમના પ્રયત્નોના પ્રતિબિંબ સાથે સેવાઓની કાર્યક્ષમ વિતરણ માટે નોકરી-સહાય છે.,A Possion Tracker is a job-assisting tool for an Anganwadi worker to efficiently deliver services as reflected in their efforts.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,પોશાન અભિયાન હેઠળ તે એક મહત્વપૂર્ણ અને લાભાર્થી-કેન્દ્રિત સેવા વિતરણ એપ્લિકેશન છે જે વિશ્લેષણ સાથે વાસ્તવિક સમયના ડેટાને પ્રોત્સાહન આપશે,It is an important and beneficiary-centric service delivery application under the Posan Campaign that will promote real-time data with analysis.
Please enter valid Date of Birth,કૃપા કરીને માન્ય જન્મ તારીખ દાખલ કરો,Please enter a valid date of birth.
Who is eligible for additional supplementary food?,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે?,Who is eligible for supplemental nutrition?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","અમે તમને આવા ફેરફારો વિશે ખાસ જાણ કર્યા વિના કોઈપણ સમયે આ શરતોના કોઈપણ ભાગને બદલવા, સંશોધિત કરવા, ઉમેરવા અથવા દૂર કરવાનો બિનશરતી અધિકાર અનામત રાખીએ છીએ.","We reserve the unconditional right to change, modify, add or remove any part of these Terms at any time without specifically notifying you of such changes."
Any changes or updates will be effective immediately.,કોઈપણ ફેરફારો અથવા અપડેટ તરત જ અસરકારક રહેશે.,Any changes or updates will be effective immediately.
You take the responsibility to check these Terms of Use periodically for changes.,તમે ફેરફારો માટે સમયાંતરે આ ઉપયોગની શરતો તપાસવાની જવાબદારી લો છો.,You assume the responsibility of periodically checking these Terms of Use for changes.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,આવા પુનરાવર્તન પછી પ્લેટફોર્મનો તમારો સતત ઉપયોગ સંશોધિત શરતોની સ્વીકૃતિનું નિર્માણ કરશે.,"After such a review, your continued use of the platform will build acceptance of the revised terms."
How many different types of reports can be generated over Poshan Tracker Dashboard?,પોષણ ટ્રેકર ડેશબોર્ડ પર કેટલા વિવિધ પ્રકારનાં અહેવાલો ઉત્પન્ન થઈ શકે છે?,How many different types of reports can be generated on the nutrition tracker dashboard?
How to revive your health if you are Severely Wasted (SAM),જો તમે ગંભીર રીતે અશક્ત હોવ તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું (SAM),"If you are severely disabled, how to restore your health (SAM)"
"See assessment charts for Stunted, Wasted and Underweight parameters","સ્ટંટેડ, વેસ્ટેડ અને ઓછા વજનના પરિમાણો માટે આકારણી ચાર્ટ જુઓ","For stunted, worn, and lightweight dimensions, see the assessment chart."
