eng,as,mBART600M
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","পোষণ অভিযান ২ টি গভর্নমেন্ট অফ ইন্ডিযা'স ফ্ল্যাগশিপ প্রোগ্র্যাম তো ইম্প্রোভ নিউট্রিশনাল অউটকেস ফর চিলড্রেন, এডোলেসেন্টস, প্রেগন্যান্ট ওমেন এন্ড ল্যাকটেটিং মঠেরস বই লেভারেজিং টেকনোলজি, এ টার্গেটেড এপ্রোচ এন্ড কোনভার্জেন্স.","Pushana Mission 2 is the Government of India's flagship program to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers book Leveraging Technology, a targeted approach and convergence."
"The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc.","টি ইনিশিযেটিভ লেস এমফাসিস ও ক্রিযেটিং সিনেগ্য বেটোফেন ভারিযাস প্রগ্রাম্মেস ইন হেলথ, নিউট্রিশন, স্যানিটেশন সেক্টরস এটিকে.","T initiatives as well as the creation of Les Amphases and Synagogues Betophen Vriesas Programmes in Health, Nutrition, Sanitation and other sectors."
", to ensure efficiency and effective outcomes.",", তো ইন্সুরে এফিসিযেন্সি এন্ড এফেক্টিভ অউটকেস.",", so insure efficiency and effective outcomes."
along with status update once resolved,সমাধান কৰা হৈ পিছত স্থিতি আপডেট,The problem was resolved and later updated as Status.
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.","পোষণ ট্ৰেকাৰ চিষ্টেম, চিষ্টেমটোৰ সুৰক্ষা আৰু পৰিমাপনীযতাৰ বাবে, MWCD ৰ দ্বাৰা নিযোজিত অডিটৰ সকলৰ দ্বাৰা নিযমীযাকৈ অডিট কৰা হয।","The nutrient tracker system, for the safety and measurement of the system, is regularly audited by auditors assigned by MWCD."
The records may be used for such audits.,ৰেকৰ্ড সমূহ এনে অডিট সমূহৰ বাবে ব্যৱহাৰ কৰা যাব পাৰে।,The records can be used for audits.
Poshan Tracker adds new Resources on Website,পোশান ট্ৰেকাৰে ৱেবছাইট সুবিধাত নতুন সমল যোগ কৰে,Fashion tracker adds new content to the website feature.
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","পোষণ ট্ৰেকাৰৰ অধীনত প্ৰযুক্তি শিশুসকলৰ মাজত বাওনা হোৱা, পুষ্টিহীনতাত ভোগা, কম ওজনৰ বিস্তাৰ আৰু পুষ্টি সেৱা ডেলিভাৰীৰ অন্তিম পৰ্যাযৰ ট্ৰেকিংৰ চিনাক্তকৰণৰ ডাইনেমিক চিনাক্তকৰণৰ বাবে ব্যৱহাৰ কৰা হয","The technology under the Nutrition Tracker was used to dynamically identify tracking patterns among children, including malnutrition, low weight spread, and the final stage of nutrition service delivery."
The System also takes feedback about system performance and experience.,চিষ্টেমটোৱে চিষ্টেমৰ পাৰফৰ্মেঞ্চ আৰু অভিজ্ঞতাৰ বিষযে ফীডবেক গ্ৰহণ কৰে।,The system receives feedback on the performance and experience of the systems.
"Information on name, mobile number, date of registration and health status may be used for these purposes","নাম, মোবাইল নম্বৰ, পঞ্জীযনৰ তাৰিখ আৰু স্বাস্থ্যৰ স্থিতিৰ তথ্য এই উদ্দেশ্যে ব্যৱহাৰ হ'ব পাৰে।","Name, mobile number, date of registration and health status information may be used for this purpose."
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","যেতিযা আপুনি এটা একাউন্টৰ বাবে চাইন আপ কৰে তাক ধৰি লৈ, আপুনি আমাৰ সেৱা সমূহ ব্যৱহাৰ কৰোতে যোগান ধৰা কন্টেন্ট আৰু আন তথ্য সমূহ আমি সংগ্ৰহ কৰো।","As soon as you sign up for an account, we collect content and other information you provide when you use our services."
"You may, however, choose not to share personal data where providing the data is optional.","আপুনি হযতো, যেনেকৈযে নহওক, বযক্তিগত তথ্য শ্বেযাৰ নকৰিবলৈ বাচি ললব পাৰে য'ত তথ্য প্ৰদান কৰা বৈকল্পিক হয।","You may choose, however, not to share personal information where the information is provided as an alternative."
Tracking of services to the end beneficiary at a click of a button.,এটা বুটামৰ এটা ক্লিকত অন্তিম হিতাধিকাৰীসকললৈ সেৱাসমূহৰ ট্ৰেকিং।,It's a click of a button tracking services to the end-users.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","টেক হোম ৰেচন (THR) আৰু হ'ট কুকড মীল (HCM), নৱজাতক আৰু গৰ্ভৱতী মহিলাৰ বাবে টীকাকৰণৰ দৰে সেৱা সমূহ","Take home as well as services such as home ration (THR) and hot cooked meal (HCM), vaccination for newborns and pregnant women."
"New Poshan Tracker App (13 January, 2021)","নতুন পোষণ ট্ৰেকাৰ এপ (১৩ জানুৱাৰী, ২০২১)","The new Nutrition Tracker app (January 13, 2021) is also available."
Preventing illnesses to avert Malnutrition and Death,পুষ্টিৰ অভাৱ আৰু মৃত্যুক বাধা দিবলৈ অসুখক বাধা দিযা,Preventing malnutrition and death from preventing disease
Scan the QR Code to Download the App,এপটো ডাউনলোড কৰিবলৈ QR কোডটো স্কেন কৰক,Scan the QR code as well to download the app.
Pregnant women who received Take Home Ration (THR),গৰ্ভৱতী মহিলা যি টেক হোম ৰেচন (THR) লাভ কৰিছে,Pregnant women who have received a Take-Two Ration (THR)
General Awareness on SAM and MAM,SAM আৰু MAM-ৰ ওপৰত সাধাৰণ সজাগতা,General awareness of SAMas and MAMs
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","নহয, এপটোৱে এক বৈধ ইণ্টাৰনেট সংযোগ অবিহনে কাম নকৰে।","No, the app does not work without a valid internet connection."
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,এই সংস্থা সমূহে পোষণ ট্ৰেকাৰৰ সৈতে এই চৰ্তাৱলী সমূহক অন্তৰ্ভুক্ত কৰি বেআইনী কাৰ্যকলাপৰ প্ৰচাৰ বা তৃতীয পক্ষৰ অধিকাৰৰ উলংঘনক উৎসাহিত কৰিবলৈ বা পৃষ্ঠপোষকতা কৰিবলৈ API/ কোড-বিহীন ৱেবপেজ ইন্টিগ্ৰেচনৰ ব্যৱহাৰ নকৰে।,"These organizations do not use API/code-free webpage integration to promote or sponsor illegal activity or violations of third party rights, including these terms and conditions with the Nutrition Tracker."
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","গৰ্ভৱতী মহিলা, স্তন্যপান কৰোৱা মহিলা, 6 মাহৰ পৰা 3 বছৰৰ শিশু আৰু কিশোৰী।","Pregnant women, nursing women, infants and adolescents aged 6 months to 3 years."
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","নতুন পোষণ ট্ৰেকাৰ এপ : CSC-SPV ন'ডাল ব্যক্তি (০২ ফেব্ৰুৱাৰী, ২০২১)","New nutrition tracker apps: CSC-SPV is not a person (February 02, 2021)"
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,এগৰাকী AWW-যে তেওঁলোকৰ আধাৰ নম্বৰৰ ভিত্তিত এটা AWC-ৰ পৰা আন এটা AWC-লৈ এগৰাকী হিতাধিকাৰীক মাইগ্ৰেট কৰিবলৈ 'মাইগ্ৰেট বেনিফিচিযেৰী' বিকল্পটো ব্যৱহাৰ কৰিব পাৰে।।,An AWW - based on their Aadhaar number - can use the 'Migrated Beneficiaries' option to migrate a beneficiary from one AWC to another AWC.
A beneficiary is eligible for HCM for at least 21 days in a month.,এগৰাকী হিতাধিকাৰী এমাহত অতিকেমও 21 দিনৰ বাবে HCM-ৰ বাবে যোগ্যতা অৰ্জন কৰে।,"One of the beneficiaries, Mehat Ul-Kem, also qualified for HCM for 21 days."
ABHA (Health ID) and its Benefits,ABHA (হেল্থ আইডি) আৰু ইযাৰ সুবিধা,ABHA (Health ID) and e-reward benefits.
"We'ar sorry, the page you requested could not be found.","ওই অরে সরি, টি পেজ ইউ রেকুযেস্টেড কোল্ড নোট যে ফাউন্ড.","Oh, oh, sorry, but T Page You Requested Cold Notes that found."
Dadra & Nagar Haveli - Daman & Diu,দাদৰা আৰু নগৰ হাৱেলি - দমন আৰু দিউ,Dadra and Nagaras Haveli - Daman and Diu
Download Mobile App from Play Store,প্লে ষ্টোৰৰ পৰা মোবাইল এপ ডাউনলোড কৰক,Download the mobile app from the Playas Store.
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","ইযাৰ উপৰিও, যেতিযা আপুনি চিষ্টেমটোত আপোনাৰ একাউন্ট বা ইযাৰে সম্পৰ্কিত কোনো তথ্য সলনি বা প্ৰৱেশাধিকাৰ লাভ কৰে, আমি এটা সুৰক্ষিত চাৰ্ভাৰৰ ব্যৱহাৰ আগবঢাও।","In addition, whenever you change or gain access to any information related to your account or server in the system, I recommend using a secure server."
General Awareness on the Delivery of the child,শিশুক জন্ম দিযাৰ ওপৰত সাধাৰণ সজাগতা,General awareness of the birth of babies is a common awareness of the birth of babies.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","আমি আমাৰ সেৱা সমূহ অপাৰেট কৰিবলৈ ডাটা সমূহো ব্যৱহাৰ কৰো, য'ত আমাৰ প্ৰদৰ্শন বিশ্লেষণ কৰা, আমাৰ আইনগত বাধ্যবাধকতা সমূহ পূৰণ কৰা, আমাৰ কৰ্মশক্তি বিকশিত কৰা, আৰু গৱেষণা কৰা অন্তৰ্ভুক্ত থাকে।","We also use data to operate our services, including analyzing our performance, fulfilling our legal obligations, developing our workforce, and conducting research."
Where can I enquire about Hot Cooked Meal?,হ'ট কুকড মীলৰ বিষযে মই ক'ত খবৰ কৰিব পাৰো?,How much can I feed on hot-cooked meals?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","চাইটটোত হযতো আন ৱেবচাইটৰ লিংক সন্নিৱিষ্ট থাকিব পাৰে যাক হযতো আমাৰ দ্বাৰাা ক্ৰয কৰা, চোৱা চিতা কৰা বা পৰিচালনা কৰা নহ'ব পাৰে।","The site may contain links to other websites, but may not be purchased, maintained or operated by us."
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","তথ্য যে এই ৱেবচাইটসমূূহ লিং হৈ আছে, ই আমাৰ পৰা এই ৱেবচাইট সমূহৰ কোনো অনুমোদনক নুসূচায, যিহেতু আমাৰ এই ৱেবচাইট সমূহৰ ওপৰত কোনো নিযন্ত্ৰণ নাথাকে।","The information that links to these websites does not imply any authorization of these websites from us, as we have no control over these websites."
We are not responsible for these websites including any content or the privacy practices of these websites.,আমি এই ৱেবচাইট সমূহৰ কোনো কন্টেন্ট বা গোপনীযতাৰ অনুশীলনকে ধৰি এই ৱেবচাইট সমূহৰ বাবে দাযবদ্ধ নহয।,"I am not responsible for any content or privacy practices of these websites, including those relating to the content of these websites."
We strongly encourage you to familiarize yourself with the terms of use of these websites.,আমি এই ৱেবচাইট সমূহৰ ব্যৱহাৰৰ চৰ্তাৱলীৰ সৈতে আপোনাক নিজকে সুপৰিচিত কৰি তুলিবলৈ উৎসাহিত কৰো।,I encourage you to familiarize yourself with the terms of use of these websites.
Your use of these websites is at your own risk and peril.,এই ৱেবচাইট সমূহ আপুনি আপোনাৰ নিজৰ ৰিস্ক আৰু বিপদত পৰা শংকাৰ ওপৰত ব্যৱহাৰ কৰিব।,You will use these websites at your own risk and at the risk of panic attacks.
In how many languages AWW can enter the data while filling up the form?,প্ৰপত্ৰখন পূৰণ কৰোঁতে AWW বা AWCযে কিমানটা ভাষাত ডাটা প্ৰবিষ্ট কৰিব পাৰে?,"When filling out the form, how many languages can AWW or AWCas enter data?"
Children who are identified as deficit on nutrition are eligible for additional food supplements.,শিশু সকল যি পুষ্টিৰ অভাৱত ভোগা বুলি চিনাক্ত হৈছে তেওঁলোক অতিৰিক্ত খাদ্যৰ পৰিপূৰকৰ বাবে যোগ্য।,Children who are diagnosed as malnourished are eligible for supplemental nutrition.
An underweight person is a person whose body weight is considered too low to be healthy,এগৰাকী কম ওজনৰ লোক হৈছে এগৰাকী লোক যাৰ দেহৰ ওজন স্বাস্থ্যৱান হ'ব পৰাতকৈ বহু কম হিচাপে বিবেচনা কৰা হয,A low-weight person is a person whose body weight is considered to be much lower than it would be healthy to be.
When and how to use MPIN?,MPIN কেতিযা আৰু কেনেকৈ ব্যৱহাৰ কৰে?,When and how does MPIN be used?
Ensuring that complementary feeding improves over time,সুনিশ্চিত কৰা যে পৰিপূৰক খাদ্য প্ৰদান সমযৰ সৈতে উন্নত হৈছে,Ensure that supplements are improved over time.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (হেল্থ আইডি) ব্যৱহাৰ কৰাটো হৈছে আপোনাৰ আৰু আপোনাৰ পৰিযালৰ বাবে অধিক সুৰক্ষিত আৰু নিপুণ ডিজিটেল হেল্থ ৰেকৰ্ড প্ৰস্তুত কৰিবলৈ প্ৰথম পদক্ষেপ।।,Using ABHA (Health ID) is the first step to creating a more secure and competent digital health record for you and your family.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (আগতে হেল্থ আইডি হিচাপে জনা গৈছিল) হৈছে আযুষ্মান ভাৰত হেল্থ একাউন্টৰ সংক্ষিপ্ত ৰূপ।,ABHA (formerly known as Health ID) is the acronym for Ayushman Bharat Health Account.
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"AWW/AWCs সকলক কেৱল নোডেল পৰ্যাযৰ বিষযাই যোগ কৰিব পাৰে।পদানুক্ৰমত ওপৰৰ স্তৰত থকা যিকোনো ব্যক্তি।ৰাষ্ট্ৰীয পৰ্যাযৰ দৰে ব্যৱহাৰকাৰীযে ৰাজ্য, জিলা, প্ৰকল্প আৰু খণ্ড পৰ্যাযৰ ব্যৱহাৰকাৰী সৃষ্টি কৰিব পাৰে।ৰাজ্যিক পৰ্যাযৰ ব্যৱহাৰকাৰীযে জিলা, প্ৰকল্প আৰু খণ্ড পৰ্যাযৰ ব্যৱহাৰকাৰী সৃষ্টি কৰিব পাৰে, জিলা পৰ্যাযৰ ব্যৱহাৰকাৰীযে প্ৰকল্প আৰু খণ্ড পৰ্যাযৰ ব্যৱহাৰকাৰী সৃষ্টি কৰিব পাৰে, প্ৰকল্প পৰ্যাযৰ ব্যৱহাৰকাৰীযে খণ্ড স্তৰৰ user.ca সৃষ্টি কৰিব পাৰে।","AWW/AWCs can only add nodal-level items to all AWWs.Anyone at the top level of the assignment.User such as a national assignment that can create state, district, project, and sectoral assignment users.User of state assignment that can create district, project, and sectoral assignment users, user of district assignment that can create project and sectoral assignment users, user of project assignment user can create user.ca level."
Where can I enquire about take home ration?,টেক হোম ৰেচনৰ বিষযে মই ক'ত খবৰ কৰিব পাৰো?,How much can I know about the Tech House Ration?
We use the information we collect from all our services for the following purposes:,আমি তলত দিযা উদ্দেশ্য সমূহৰ বাবে আমাৰ সকলোবোৰ সেৱাৰ পৰা আমি সংগ্ৰহ কৰা তত্য ব্যৱহাৰ কৰোঃ,We use data collected from all of our services for the following purposes:
Identification & Referral of Sick Newborn,ৰুগীযা নৱজাতকৰ চিনাক্তকৰণ আৰু চিকিৎসাৰ বাবে প্ৰেৰণ,The motivation for the identification and treatment of newborn patients is the disease.
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. তৃতীয পক্ষৰ চিষ্টেমৰ দ্বাৰা যোগান ধৰা ডাটাৰ শুদ্ধতা,XIV. Accuracy of data provided by third-party systems
Who is eligible for Take Home Ration?,টেক হোম ৰেচনৰ বাবে কোনে যোগ্যতা অৰ্জন কৰে?,Who qualifies for the Techas Home Ration?
Supporting mothers with issues in Breastfeeding,স্তন্যপানৰ সমস্যাযুক্ত মাতৃসকলক সহায কৰা,Helping mothers with breastfeeding problems.
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","প্ৰস্তাৱিত প্ৰণালীটোৱে নিৰ্ধাৰিত অভিযুক্তসকলৰ ওপৰত সকলো AWC, AWW আৰু হিতাধিকাৰীৰ বাস্তৱ-সময নিৰীক্ষণ আৰু ট্ৰেকিং সক্ষম কৰিব লাগে।","The proposed system should enable real-time monitoring and tracking of all AWC, AWW and beneficiaries on identified defendants."
Above standards are defined as per given above mentioned age brackets,ওপৰৰ মান সমূহ উল্লেখিত বযসৰ ব্ৰেকেটৰ ওপৰত দিযা অনুসৰি সংজ্ঞাযিত হৈছে,The above values are defined according to the diation on the bracket of the specified age.
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","যদি এগৰাকী লোক কম ওজনৰ হয, তেওঁলোকৰ শৰীৰে স্বাস্থ্যৱান হাড, ছাল আৰু চুলি গঠন কৰিবলৈ ইযাক প্ৰযোজন হোৱা পুষ্টিকৰ সামগ্ৰী হযতো লাভ নকৰিব পাৰে","If a person is underweight, their body may not benefit from the nutrients produced to form healthy bones, skin, and hair."
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,MPIN সংশ্লিষ্ট অংগনৱাডী কৰ্মীযে তেওঁৰ মোবাইল নম্বৰৰ বিপৰীতে OTP অনুৰোধ কৰি ছেট কৰিব পাৰে।,MPIN is a related Anganwadi worker who can set up against his mobile number by requesting an OTP.
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","যদি ম'বাইল নম্বৰ ইতিমধ্যে ডাটাবেছত থাকে, সংশ্লিষ্ট অংগনৱাডী ব্যক্তিজনে পঞ্জীভুক্ত ম'বাইল নম্বৰত ৪ টা অংকৰ OTP প্ৰাপ্ত কৰিব।","If the mobile number is already in the database, the person concerned will receive a 4-digit OTP from the registered mobile number."
"Post entering the OTP, AWW can easily set customized MPIN.","OTP প্ৰবিষ্ট কৰাৰ পিছত, AWWযে সহজে অনুকূলিত MPIN ছেট কৰিব পাৰে।","Once the OTP is entered, AWW can easily set up an optimized MPIN as well."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ই অংশগ্ৰহণকাৰী স্বাস্থ্যসেৱা যোগানকাৰী সকলৰ সৈতে আপোনাৰ ভাৱ-বিনিময সক্ষম কৰি তোলে, আৰু আপোনাৰ ডিজিটেল লেব ৰিপোৰ্ট, প্ৰেচক্ৰিপচন আৰু ডাযেগনচিছ পৰীক্ষিত স্বাস্থ্যসেৱাৰ লোক আৰু স্বাস্থ্য সেৱা যোগানকাৰীৰ পৰা সুন্দৰভাৱে লাভ কৰিবলৈ সক্ষম কৰি তোলে।।","It enables you to exchange ideas with participating healthcare providers, and also allows you to get good results from your digital lab report, pre-recovery and diagnosis-tested healthcare people and healthcare providers."
Our System provides API to Third – Party Sites that may collect your personal information.,আমাৰ চিষ্টেমে তৃতীয পক্ষৰ চাইট সমূহলৈ API আগবঢায যি আপোনাৰ ব্যক্তিগত তথ্য সংগ্ৰহ কৰিব পাৰে।,Our system provides API access to third-party sites that may collect your personal information.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,পোষণ ট্ৰেকাৰ ককোনো পধ্যেই সেই তৃতীয - পক্ষৰ চাইট সমূহৰ এনে তথ্য বা সেইবোৰৰ গোপনীযতাৰ অনুশীলন বা কন্টেন্টৰ সুৰক্ষাৰ বাবে দাযবদ্ধ নহয।,In no way is the poll tracker liable to protect such information or their privacy practices or content from those third-party sites.
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,এই তৃতীয পক্ষ সেচা প্ৰদানকাৰী আৰু তৃতীয পক্ষৰ চাইট সমূহে হযতো ষ্ট'ৰেজৰ পৰিচালনা আৰু আপোনাৰ তথ্য সমূহ ধাৰণ কৰিবলৈ সেইবোৰৰ নিজা গোপনীযতাৰ নীতি থাকে যাৰ আপুনি অধীন হ'ব পাৰে।,"These third-party irrigation providers and third-party sites have their own privacy policies for managing storage and holding your information, which you may be subject to."
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","এই তৃতীয-পক্ষ প্ৰদানকাৰী আৰু তৃতীয পক্ষ চাইট সমূহৰ দ্বাৰা যোগান ধৰা, জমা কৰা, বা ব্যৱহাৰ কৰা যিকোনো তথ্য এই গোপনীযতাৰ নীতিযে পৰিচালিত নকৰে।","This third-party provider and any information provided, submitted, or used by these third-party sites is not governed by this privacy policy."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","আমি পৰামৰ্শ দিও যে যেতিযা আপুনি এটা তৃতীয পক্ষৰ চাইটত প্ৰৱেশ কৰে, আপুনি তৰতীীয পক্ষৰ চাইটৰ পুনৰীক্ষণ কৰক জিহেতু ই আপোনাৰ তথ্যৰ সুৰক্ষাৰে সম্পৰ্কিত।","I recommend that whenever you access a third-party site, you review the third-party site as it relates to the security of your information."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,আপুনি সন্মত আৰু স্বীকৃতি প্ৰদান কৰিছে যে চাৰ্ছ ৰিজাল্ট বা কোনো তৃতীয-পক্ষৰ চাইটৰ দ্বাৰা প্ৰকাশ কৰা তথ্যৰ বাবে পোষণ ট্ৰেকাৰ দাযবদ্ধ নহয।,You agree and acknowledge that the poll tracker will not be liable for any information posted by search results or any third-party site.
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,আপোনাৰ ৰেফাৰেঞ্চ আইডি (মোবাইল নম্বৰ) মাত্ৰ ওপৰৰ দফা 1 অনুসৰি SMS ৰ জৰিযতে আপোনাৰ সৈতে যোগাযোগ কৰিবলৈ আপোনাৰ ব্যক্তিগত তথ্যৰ সৈতে সহ-সম্পৰ্কিত হ'ব।,Your reference ID (mobile number) will only be co-linked with your personal information to contact you via SMS as per paragraph 1 above.
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","চাইটটোত ভিজিট কৰি বা ব্যৱহাৰ কৰি, আপুনি সমযে সমযে হোৱা আপডেট অনুসৰি, আপুনি এই চৰ্তাৱলী সমূহ নিশ্চিতভাৱে সন্মত হৈছে।","By visiting or using the site, as updated from time to time, you are definitely agreeing to these terms and conditions."
"If you do not agree with any part of these terms, do not use the site.","যদি আপুনি এই চৰ্তাৱলী সমূহৰ কোনো অংশৰ সৈতে সন্মত নহয, এই চাইটটো ব্যৱহাৰ নকৰিব।","If you do not agree to any part of these terms and conditions, do not use this site."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,যদি আপু এটা বাউণ্ডিং কন্ট্ৰেক্ট গঠন কৰিবলৈ আইনসন্মত বযসৰ নহয আপুনি হযতো চাইটটো যিকোনো ধৰণে ব্যৱহাৰ নকৰিব পাৰে বা হযতো চৰ্তাৱলী সমূহ মানি নলব পাৰে।,"If you are not of legal age to enter into a contract, you may not use the site in any way or you may not comply with the terms and conditions."
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,বেচিলাছ চেলমেট গুৱেৰিণ (BCG)অৰেল পোলিঅ' ভেকচিন (OPV)-0 ড'জ হেপাটাইটিছ B বাৰ্থ ড'জ OPV-1 T,Bachelor's degree in Chemistry from Guernsey (BCG)Oral polio vaccine (OPV)-0 doses for hepatitis B and birth doses for OPV-1 T
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","দফা 1 ৰ অধীনত সংগ্ৰহ কৰা তথ্য সমূহ, হিতাধিকাৰী সকলৰ স্বাস্থ্য সুচল কৰি তোলাৰ উদ্দেশ্যে ব্যৱহাৰ কৰা হ'ব।",The information collected under paragraph 1 will be used for the purpose of facilitating the health of beneficiaries.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","আমি আমাৰ প্ৰডাক্ট সমূহ যোগান ধৰো, য'ত চিষ্টেমটোৰ তথ্য/ডাটা/মেটেৰিযেল আৰু কন্টেন্ট সমূহ আপডেট, সুৰক্ষিত, আৰু ট্ৰাবুলশ্বুট কৰাৰ লগতে সহযোগিতা আগবঢোৱাও অন্তৰ্ভুক্ত থাকে।","We provide our products, including updating, securing, and troubleshooting system information/data/materials and content, as well as fostering collaboration."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","যেতিযা আপুনি পোষণ ট্ৰেকাৰত পঞ্জীযন কৰে, যি মোবাইল নম্বৰৰ সৈতে আপুনি পঞ্জীযন কৰে, তাক ডাটাবেছৰ পৰা আপোনাৰ ৰৰেকৰ্ড বিচাৰি উলিযাবলৈ ব্যৱহাৰ কৰা হ'ব।","As you register in the nutrition tracker, the mobile number you register with will be used to search for your records from the database."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,এইবোৰক পোষণ ট্ৰেকাৰ চিষ্টেমত ৰেকৰ্ড থকা অনুযাযী স্বাস্থ্যৰ ষ্টেটাছ মূল্যাযন কৰাত ব্যৱহাৰ কৰিব পাৰি।,These can be used to assess the status of eligible health status recorded in the nutrient tracker system.
Training on ICT Platform under POSHAN Abhiyaan,পোষণ অভিযানৰ অধীনত ICT প্লেটফৰ্মৰ ওপৰত প্ৰশিক্ষণ,Training on ICT platforms under the Pushhan Mission as well as training on the Pushhan Mission.
"Know more about stunting, wasting and underweight","চাপৰ, পুষ্টিহীনতা আৰু কম ওজনৰ বিষযে অধিক জানক","Learn more about stress, malnutrition and being underweight."
What information to be added in AWC forms?,AWC প্ৰপত্ৰত কি তথ্য যোগ কৰিব লাগিব?,Is there any information to be added to the AWC file?
How to revive your health if you are Moderately Wasted (MAM),যদি আপুনি মধ্যমীযাভাৱে পুষ্টিহীনতাত (MAM) ভুগিছে আপোনাৰ স্বাস্থ্য কেনেদৰে পুনৰুদ্ধাৰ কৰিব,"If you are suffering from moderate to severe malnutrition (MAM), how can you restore your health?"
AWC Workers Registered In Last 30 Days,যোৱা ৩০ দিনত এওকি ওযার্কার্স পঞ্জীযন কৰা হৈছে,Aokias Workers has been registered in the last 30 days.
Click on above button to get this App,ক্লিক ও টি এবোভ বাটন তো গেট ঠিক আপা,Click and click the abovas button so the gate is right up there.
Beneficiaries Registered In Last 30 Days,যোৱা ৩০ দিনত পঞ্জীযন কৰা হিতাধিকাৰী,Beneficiaries registered in the last 30 days.
Specifications of Smart phone and Technical Compatibility Testing,স্মাৰ্ট ফোনৰ বিস্তৃত বিৱৰণ আৰু টেকনিকেল কম্পেটিবিলিটীৰ পৰীক্ষণ,Detailed specifications of smartphones and technical compatibility testing.
Preparation During Pregnancy - For NewBorn Care & Family Planning,গৰ্ভধাৰণৰ সমযত প্ৰস্তুতি - নৱজাতকৰ যতন আৰু পৰিযাল পৰিকল্পনাৰ বাবে,Pregnancy preparation - for care and family planning of newborns.
Stunting is the impaired growth and development that children experience from poor nutrition,চাপৰ হোৱা হৈছে বাধাগ্ৰস্ত বৃদ্ধি আৰু বিকাশ যাক শিশুসকলে বেযা পুষ্টিৰ পৰা লাভ কৰে,Stress has been a barrier to the growth and development that children benefit from from poor nutrition.
Children in the age group of 3 years to 6 years,3 বছৰৰ পৰা 6 বছৰ সময সীমাৰ ভিতৰত শিশুসকল,Children between the ages of 3 and 6 years old are born with a periodicity of time.
Poshan Tracker Dashboard can be accessed by signing onto the dashboard.,পোষণ ট্ৰেকাৰ ডেশ্বব'ৰ্ড ডেশ্বব'ৰ্ডত ছাইনিং কৰি প্ৰৱেশ কৰিব পাৰি।,The nutrition tracker dashboard can be accessed by signing up to the dashboard.
