eng,sd,mBART600M
Dadra & Nagar Haveli - Daman & Diu,दादरा एं नगर हवेली - दमन एं दियू,Dadra An Nagar Mansion - Damhan and the Diyudsd
Download Mobile App from Play Store,प्ले स्टोर खों मोबाइल ऐप डाउनलोड कयो,The mobile app is downloaded from the Play Store.
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.",अउ असा ताखे सचेत करदा रईनदा से ताकि ता गलत उपयोग न कयो अंउ धोखाधडी खा बचया रहयो।,And so warn Reynda so that there is no misuse or fraud.
General Awareness on the Delivery of the child,वहींवारी जागरूकता बार खे पैदा करण जी,"At the same time, the awareness bar of Keshdjan Karan Ji is being raised."
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","असा हिन सूचना खे असांजी सर्विस जे लाए इस्तेमाल करण, एनेलाईज, प्रदर्शन, डेवलपमेंट, वर्क फोर्स,अंउ रिसर्च करण लाए।","Such information is provided by the Asanji Service which brings us usages, analysis, performance, development, workforce, and research."
Where can I enquire about Hot Cooked Meal?,छा मां पुछि ती सिघा गर्म ठयल रोटी जे बारे मे?,She asked her mom about the hot bread.
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","साइट में बे वेबसाइटुन जा लिंक थी सगंदा आहेन जैका असांजा पेंजा, रखरखाव या काम कंदन न थी सगंदा आहेन।","The site contained links to the Bay website and was always there, with no maintenance, maintenance or work being done."
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","माने कि ये वेबसाइटअ जुडैल आहेन, हिन्ह वेबसाइटुन खे केडो भी समर्थन जो इशारो नथ्था डियुं छोकरे इह वेबसाइटुन जे मथ्थां असांजो कोई भी हक्क काने।","Considering that these websites are linked, there is no support from any of them that would indicate that they are not being used by any of them."
We are not responsible for these websites including any content or the privacy practices of these websites.,अस्सा हिन् वेबसाइटुन जी कोई भी सामग्री या गोपनीयता प्रथायूँ सा गड्ड हिन् वेबसाइटुन लाये जिम्मेदार नायउँ।,We are not responsible for any content or privacy practices that are brought from our website.
We strongly encourage you to familiarize yourself with the terms of use of these websites.,अस्सां तवांखे हिन वेबसाइटुन जे इस्तेमाल जी शर्तूं सां परिचित करायन लाये मजबूती सां हंयारी ता डीयुं।,We have a website that provides us with the necessary information to make sure that we are familiar with the terms and conditions.
Your use of these websites is at your own risk and peril.,हिन् वेबसाइटुन जो तवान्जो इस्तेमाल तवांजे पेँजे जोखिम और फैसले जे मथ्थों आहे।,"From the website of Joe Tavansdjo, the use of unreasonable pencils is a risk and a decision that is unthinkable."
In how many languages AWW can enter the data while filling up the form?,फॉर्म भरण वक्त आंगनवाडी कम कंदड या आंगनवाडी मरकज केतरियुन बो॒लियुन में डाटा दाखिल करे सघ॒न था?,"Was the form being filled out at the time of the request to the Anganwadi Centre for Data Submission or to the Anganwadi Centre for Data Submission, Katriyun Bolyun?"
Children who are identified as deficit on nutrition are eligible for additional food supplements.,बार जेका कुपोषित आएन उवे अतिरिक्त पूरी रोटी जे योग्य आ एन।,The bar where the malnourished come to eat is an extra whole loaf of bread which is suitable for eating.
An underweight person is a person whose body weight is considered too low to be healthy,घट वजन वारो इन्सान उवो हुंदो आ जेंजो वजन डाडो घट हुजे सेहत सही हुजण लाए,"Weight loss has been a major factor in the rise and fall of men and women in the world, and the decline in weight has led to better health."
When and how to use MPIN?,एमपिन खे कद॒हिं एं कियें इस्तेमाल कजे?,How do you use your Mpin Khe sometimes?
Ensuring that complementary feeding improves over time,इहो पक्को करण कि टाइम सां इजाफे वारे खादे में सुधार थे,It also confirmed that the time zone had improved.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA हिक पेंरयो कदम ता ठांयु जेंखे इस्तेमाल करे असा सुरक्षित अंउ सुठो डिजिटल सिहत खे दाखिल तां कयुं पांजे अंउ पांजे परिवार लाए।,ABHA HICK PENRYO step by step to bring the family of the PANJES PANJES to a safe and secure digital instruction to use.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (पिहरया जेखे सिहत आईडी चईंदा हुया ) हिंजो पुरो नालो आयुष्मान भारत हेल्थ अकाउंट आहे।,ABHA (Pihraya Jeke Sit ID Chayinda Huya) is a Hindu Puro Nalo Ayushman Bharat health account.
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"आंगनवाडी कम कंदड/आंगनवाडी मरकज खे फकत नोडल सतह जे ऑफिसरनु पारां जोडे सघ॒जे थो.कोई बि जेको मथे दि॒नल उहदे में दि॒नल आहे.जियें त राष्ट्रीय सतह जो यूजर राज्य, जिल्ला, प्रोजेक्ट एं सेक्टर सतह जे यूजर खे क्रिएट करे सघे॒ थो.राज्य सतह जो जिल्ला, प्रोजेक्ट एं सेक्टर सतह जे यूजर खे क्रिएट करे सघे॒ थो.जिल्ला सतह जो यूजर प्रोजेक्ट एं सेक्टर सतह जे यूजर खे क्रिएट करे सघे॒ थो.प्रोजेक्ट सतह जो यूजर सेक्टर सतह जे यूजर खे क्रिएट करे सघे॒ थो.","Anganwadi lowest level/Anganwadi center is a flat node surface which is a surface of the user's feet attached to the user's feet.There is a level of the user's feet in the middle of the field.There is a national surface that is a user state, district, project area area that is created by the user.There are a few areas of the user's feet that are connected to the user's feet."
Where can I enquire about take home ration?,किथे वनी मा घर जे राशन लाए पुछि ती सिगा?,Where is the house where the ration brought by the forest owner will be taught?
We use the information we collect from all our services for the following purposes:,असांजी सर्विस द्वारा इकट्ठी सूचना खे असा कुछ हिन प्रकार सा इस्तेमाल कंदा आयुः,Some of the information collected by the Ashanti Service is used by the following:
Identification & Referral of Sick Newborn,बीमार जायल बार जी पहचान आऊं रेफरल,"Once you are sick, you can identify and refer to the hospital."
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. ट्रीं दुरी तरतीब द्वारा डिनायल डेटा जी दुस्र्स्ती,XIV. The dynamic data is stored in the G-shaped array by the three-dimensional array.
Who is eligible for Take Home Ration?,केर घर जो राशन वठण जे योग्य आ?,The house of the rational reader who deserves to come?
Supporting mothers with issues in Breastfeeding,ढुक्क डेयन में तकलीफ महसूस करण वारी माउन जी मदद करण,"Surely Deane is feeling pain in the back of the head, and Wary Moone is helping us out."
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","मंजूर कयल सिस्टम मुकरर कयल पैमाने ते सभिनी आंगनवाडी मरकजनु, आंगनवाडी कम कंदडनु एं बेनेफिशरयुन जी रियल टाइम निगरानी एं ट्रेकिंग करण जी इख्तियारी दीं॒दो.","The approved system has been implemented on a scale that all the Anganwadi centers, Anganwadi Comm Kandhanu An Beneficiary Union G Real-Time Monitoring An Tracking Karan G Option Dindu."
Above standards are defined as per given above mentioned age brackets,मथे डिनल उम्र बरेकेट मथे स्टेंडर्ड वारा,Mathe Dinal age for the backeet mathe standard wind
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","अगर माणु घट वजन वारो आ तो उनजे शरीर खे सही सा पोषण न मिलदो आऊं उनखे मजबूत हडडयु, वार,चमडी ठायण जी जरूरत पयीनदस","If humans lose weight, their bodies will not get proper nutrition and will need strong bones, war, skin and strength."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ईयो इनमे भाग वठण सा गड्-गड् सिहत जो ध्यान रखंण वारन सा गालाएणं जे लायक ठाईंदो आ अंउ असांखें डिजिटल लैब रिपोर्ट भी मिलंदी, मर्ज जी सुज्ञाणप करण जो तरीको मिलदो आहे सुठे अंउ काबिल सिहत जो ध्यान रखंण वारन खा।","Eyo inme participation in the reading of the good advice which is worth paying attention to, and the digital lab reports that are worth reading, merging the knowledge that is available to the students and the good advice which is worth paying attention to."
Our System provides API to Third – Party Sites that may collect your personal information.,असां API थरड पार्टी खे डिन्डा आयुन जेसा उवे तांजी पर्सनल सूचना कडि ता सिंघन।,Asan API third party kh Dinda Ayun Jesa Uve Tangi personal information is being developed.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,पोषण ट्रैकर ऐडी जानकारी या हुनजी गोपनीयता बुखारीण या हुन ट्रीं दुरिन जि साइटुन जे कॉन्टेंट जी हिफाजती लाये केडे भी तरह सां जिम्मेदार न आये।,Nutrition tracker adds information or hunji privacy bucharyan or hun trin durin ji site who brought the content to protect it did not come under any liability.
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,"हिन ट्रीं दुरिन जी सेवा डेयन वारा आऊं ट्रीं दुरिन जि साइटुन जी पेंजी गोपनीयता बुखारीण थी सगंदी आहेन जो तवान्जी जानकारी खे पाण वठ रखें आऊं हुनजी इख्तेयारी भी करे ती सगेन, जेंजा तवां अधीन थी सगंदा आयो।","Their tree is Durin Ji Service Daen Vara and tree is Durin Ji Siteun Ji Penge Privacy Fever Thy Saga is the one who keeps the Tawanji information and also Hunji Ikhtekarya also do the Sagen, Jinja Tawan was subject to the Saga came."
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.",तांजी हिय गोपनीयता नीति ट्रीं दुरिन खे न डिनि वेनदी अंउ उवे इस्तेमाल नथा करे सिघन पांजी साइड ते या सर्विस जे लाए।,Tanji Hi Privacy Policy Trein Durin Khe Na Dini Venadi Anud Usd Uway use not to use the Sighn Panji Side and or the service that you bring.
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.",असा ताखे बुधायण ता चायु त जेमल तां ट्रीं दुरिन जी साइड ते वेनदव त गोपनीयता नीति डिसी वठजो पांजी अकाउंट जी सुरक्षा लाए।,Asha Takhe Budhayan Ta Tsadeu and Jamal Tan Trin Durin G. Side and Vendev and Privacy Policy DC Vathjo Panji account G security brought.
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,तांखे हिय स्वीकृति करणी पईंनदी की तांजी विधल ट्रीं दुरिन जी साइड ते सूचना लाए असा जिम्मेदार न हुनदासे।,The copper approval authority is not responsible for bringing the information to the Durin G-Side of the Panjhi river.
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,मथ्थे डिनायल खंड 1 जे हिसाब सां एसएमएस जे तौर सां तवांसआं गालायन जे लाये तवानजी रिफरेन्स आईडी (मोबाइल नंबर) केवल तवान्जी निजी जानकारी सां गड-जुडैल हूंदी।,According to the DNIAL Vol. 1 which is the account of the SMS that the person sent to the galley which brought the Tawanji reference ID (mobile number) only Tawanji personal information is the personal information of the person.
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,बेकिलस केलमिटी गेरिन (BCG)ओरल पोलियो वैक्सीन (OPV)-0 डोस हेपाटिटिस बी बर्थ डोस OPV-1 T,Bacillus Calamity Gerin (BCG)Oral polio vaccine (OPV)-0 dose of hepatitis B and birth dose OPV-1 Tsd
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",खंड 1 जे तहत जमा करैल जानकारी जो इस्तेमाल हितकारिण जी सिहत खे सुख्यो ठायण जे मकसद लाये कयो वेंदो।,Section 1 of the J.C.R.R.C.R. provides information that is used to help the beneficiary to achieve the desired purpose.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","असा ताखे प्रोडक्ट डयण लाए,एप सर्विस जी अपडेट, सुविधा, सुरक्षा, डाटा, मटेरियल, कंटेंट अंउ गड गड सहारो भी डिनडा आयुन।","Such products as DSD brought in the app service update, feature, security, data, material, content and God's help also Dinda Ayun."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.",जेमल तां रजिस्टर कंदा आयो मोबाईल नम्बर सा तेमल तांजो मोबाईल नम्बर असा रजिस्टर कंदा आयु तांजो रिकार्ड रखण लाए।,Jamal Tan registers Kanda Ayyo mobile number Sa Tamal Tanjo mobile number Asa registers Kanda Ayyo Tanjo brought to keep the record.
These can also be used to assess the health status as recorded in the Poshan Tracker system.,हिनजो इस्तेमाल पोशन ट्रैकर बुखारीण में दर्ज सिहत जो स्तर जो अंदाजों लगायण लाये भि करे सगंदा आयुं।,Hinzo used the nutrient tracker fever to record the level of the nutrient that led to the estimation of the life cycle.
Training on ICT Platform under POSHAN Abhiyaan,पृशिक्षण करण ICT प्लेटफार्म ते पोषण अभियान जे हलदे,The SDSD is an ICT platform and nutrition campaign by J. Halde.
"Know more about stunting, wasting and underweight","स्टंटिंग, वेस्टिंग आऊं गठ वजन जे बारे में वधीक जाण्यो","Stunting, wasting, and gait weighing that is known to be a periodic occurrence."
What information to be added in AWC forms?,आंगनवाडी मरकज फॉर्म में कहिडी जा॒ण जोडी वञन घुरजे?,Where do you want to go in the form of a couple in the Anganwadi Markaz?
How to revive your health if you are Moderately Wasted (MAM),किंय वापस पाए ता सघु सिहत संतुलित विनायल ग्रोथ (MAM),The key is to get back the balanced vinyl growth (MAM) of the Shaghu Sidhat.
AWC Workers Registered In Last 30 Days,पोंयनु 30 दि॒हंनु में रजिस्टर थियल आंगनवाडी मरकज कारकुन,The Ponnayanu 30 Dhannu is registered in the local Anganwadi Markaz Karkun.
Click on above button to get this App,हिन एप खे हासिल करण जे लाये मथे दि॒नल बटण ते क्लिक कयो,"To get their app, which brings you the details, click the button and click on the button."
Beneficiaries Registered In Last 30 Days,पोंयनु 30 दि॒हंनु में रजिस्टर थियल आंगनवाडी मरकज,The Ponnayanu 30 Dhannu is registered with the Aganwadi Markaz.
Specifications of Smart phone and Technical Compatibility Testing,विनिर्देश स्मार्टफोन जो आऊं तकनिकी अनुकुलता जो परिक्षण करण,Specification smartphone that is technically compatible with the testing.
Preparation During Pregnancy - For NewBorn Care & Family Planning,पेटअ सां हुजैन मैल जी तैयारी - जायल बार जी देखभाल आऊं फॅमिली प्लानिंग जे लाये,Petah San Husain Malji preparation - Jail Barji care and family planning that brings him.
Stunting is the impaired growth and development that children experience from poor nutrition,स्टंट ग्रोथ आऊं डेवलपमेंट लाए सुठो न हुनदो आ जेसा बार कुपोषित रहजी वेदों आ,The stunt brought growth and development to the Sudhu Na Hunodu and Jesa Bar undernourished mysteries of Vedas and Vedas.
Children in the age group of 3 years to 6 years,बार देखा 3 सल खा 6 सालन जा आएन,I've seen 3 times in 6 years.
What is the eligibility of a beneficiary?,छा आए लाभकारी जी पात्रता?,What are the benefits of eligibility?
Who are the target userbase of Poshan Tracker App?,पोषण ट्रेकर एप जा मक्सदी वापराइंदड केर आहिन?,The nutrition tracker app is called Maxdi using the name Ker Ahn?
"It often indicates recent and severe weight loss, although it can also persist for a long time","इयो डिखाईंदो आ हाणे आऊं गंभीर घट वजन, ईयो दृढ संकल्प सा लम्बे टाईम मे पाए ता सघयु","I've been struggling with weight loss and serious weight loss, and I've made a commitment to stay active for a long time."
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाईल में पोषण ट्रेकर एप इंस्टाल करण जे लाए घटु में घटु घुरज छा आहे?,Installing a nutrition tracker app on your mobile that brings you a little bit of a crush on your body?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,तवां केवल दस्तावेजीकरण में डिनायल माध्यमन्न सां साइट ताईं पहुंच (या एक्सेस करण जी कोशिश) कंदो आऊं हिन अग्रीमेंट जे नियमन आऊं शरतुं जो पालन कंदो।,"You only need to document access (or attempt to access) to the site through the official media, and the agreements that regulate and comply with the rules and regulations."
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","तावान सभी केंद्रीय आऊं राज्य जे कानूनन, नियमन आऊं विनियमन जो पालन कंदो जो तवांजे आऊं साइट जे तवांजे इस्तेमाल जे मथ्थों लागू थेयंदा आहेन आऊं केडी भी ट्रीं दुरी जे हक्कण जे मथ्थों असर कंदी आहे।","To this end, all the central and state laws, regulations and regulations that comply with the laws, regulations and regulations of the country and the countries of the world are applicable and any other treaty that applies to the country and the country of origin is applicable."
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.,In or by downloading the 'Poshan Tracker' App from the Google Play Store.
Clarification regarding Cost of Smart phones,स्पष्ट करण स्मार्टफोन जो अघ,"Clearly, the smartphone that is the most popular is the Smartphone."
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,मिसलेस कनटेनिंग वेक्सिन(MCV)/मिसलेस आऊं रूबेला (MR)-1जापानिस इन्सेफेलाइटिस(JE)-1**PCV-बूस्टर,Missless containment vaccine (MCV)/missless and rubella (MR)-1Japanese encephalitis (JE)-1**PCV-booster
Mobile number need to be validated within a week,मोबाईल नम्बर जे साबित करणो पवंदो हिक हफिते में,The mobile number that proves that he is a man of the hour in the office.
Currently a beneficiary can register by the help of an AWW,हाणे जे लाए लाभकारी रजिस्ट्रेशन करे ता सघयु AWW जी मदद सा,Join AWW Gsd to help those who have brought benefits to register.
Awareness for Lactating Mother Complimentary Feeding for Children,जागरूकता हुजे मां मे बार खे छाति मा सुठे सा खिर पियाण जी,Awareness is raised in the mother me bar ke chati me suchte sa khir pyaan ji.
New Poshan Tracker App - CSC-SPV Nodal Person,नयो पोषण टे्कर एप- CSC-SPV नोडल माणु,The new nutrition tester app- CSC-SPV is a nodal atom.
1.1. Information you provide to us.,1.1. सूचना जेकि ता असाखे डिनव।,1.1. information that has been provided by TASSAKE DINV.
How can one access Poshan Tracker Dashboard?,पोषण ट्रेकर डेशबोर्ड ते कियें पहुंच्यो वञे?,Where did the nutrition tracker dashboard come from and what did it look like?
Prevention of Anemia in children and adolescents girls,नंडे बारण आऊं जवान छोकरिन में एनीमिया जी रोकथाम,Prevention of anemia in young children is not recommended for Nande Baran and young children.
Gangarampur Addl. I. C. D. S Project,गंगारामपुर धार  आई. सी. डी. ऐस. प्रोजेक्ट,Gangarampur Dharsd is an ICDS project.
Can a beneficiary register directly using application.,छा अप्लिकेशन खे डायरेक्टलि इस्तमाल करें फायदेमंद रजिस्ट्रेशन करे ता सचमुच।,"Use the application directly to make a beneficial registration, literally."
Weight should be between 0.90 to 58,वजन 0.90 खां 58 जे मंझ हुअणो खपे,Weight 0.90 kg 58 kg in weight is the average of the two men.
We own the intellectual property rights in the Site and Content.,अस्सां साइट आऊं सामग्री में बौद्धिक संपदा अधिकारन जा मालिक आऊं।,We own the intellectual property rights in our site and content.
We may change the Content and features of the Site at any time.,अस्सां कैडी भि मैल साइट जी सामग्री आऊं सुविधाउन खे बदले सगू था।,Assan Kaddi V Mail Site G content and facilities were provided in exchange for the Sago.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.","साइट ते डिस्प्ले थींदा पंजीकृत आऊं अपंजीकृत ट्रेडमार्क, लोगो आऊं सेवा चिह्न असांजा या असांजे लाइसेंसकर्ताउन जी मिलकियत आहेन।","The site and display are registered and unregistered trademarks, logos and service marks of the licensor who is not a licensor."
"You may not use our trademarks, logos, and service marks in any way without our prior written permission.","तवां असांजी पहना खां लिखैल इजाजत जे बिना केडे भी तरह सां असांजे ट्रेडमार्क, लोगो आऊं सेवा चिह्नन जो इस्तेमाल न करे सगंदा आयो।","You wear a pencil that is not allowed to use San San San San San San San San San San's trademark, logo and service mark."
Material featured on this website may be reproduced free of charge.,इन्ह वेबसाइट ते प्रदर्शित सामग्री खे निःशुल्क पुनः प्रस्तुत करे सगंदा आयो।,The website and the content displayed here are free to reproduce.
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.","जित्ते-किथे भी सामग्री प्रकाशित या बेयन खे जारी की वेंदी, स्रोत जे प्रमुखता सां मनी वेंदी।","Wherever the content is published or by the Byan Khed released, the source is mainly San Mani Vendi."
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","हालांकि, इन्ह सामग्री खे पुनः पेश करण जी इजाजत केडी भीएडी सामग्री ताईं विस्तारित न थींदी जैकी केडी ट्रीं दुरी जे कॉपीराइट जे रूप में पहचानन वेंदी आये।","However, this content is not extended to the reproduction of the content of the VAD, which is copyrighted and recognized as such."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,पोषण टे्कर हिक एप आ जे को आंगनवाडी कार्यकर्ता खे कम भी डिनडो आ ताकी उव पानी मेहनत सा तां ताई सर्विस डे सुठि।,The nutrition techer Hick app and Jko are Anganwadi activists who have worked hard to make a living by doing less than Dindo and Takki Uv Water Hard Sa Tsai Service Day.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,हियो हिक फायदेमंद आंगनवाडी कार्यकर्ता जी डिलीवरी सर्विस पहुंचाईं दो पोषण अभियान जे तहत,HIO HICK Beneficial Anganwadi worker GSD Delivery Service delivered two nutrition campaigns under which
Please enter valid Date of Birth,किरपा सही जन्म तारीख विजो,Please give the exact date of birth Vijosd.
Who is eligible for additional supplementary food?,केर अतिरिक्त पूरी रोटी जे योग्य आ?,What is the extra whole bread that is suitable for eating?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","अस्सां तवांखे ऐडे बद्लावन जे बारे में विशेष रूप सां बुदाये बगैर, केडे भी मैल हिन शरतुं जो कोई भि हिस्सों बदले, मटे, वधीक करण या हटायन जो हक्क पाण वठ रखूँ ता।","Assan Tavankhe Aide Bhalawan which without special knowledge, gives away any mail to anyone who changes, destroys, terminates or removes any parts that retain the right to use it."
Any changes or updates will be effective immediately.,केडो भी बदलाव तुरंत प्रभाव कारी थिंदो।,"Whatever the change, it will have an immediate impact."
You take the responsibility to check these Terms of Use periodically for changes.,तां परिवर्तन जे टाईम ते हिन शर्त खे डिसण जी जिम्मेदारी खणदव।,Changes in the time and conditions of the time are responsible.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,हिनअ तरह जे सुधार खां पोए प्लेटफार्म जो तवान्जो जारी इस्तेमाल बदलैल शर्तन लाये तवान्जी हामी भरण आहे।,"Like them, the platform that Tanzo continues to use is being upgraded to bring in new conditions."
How many different types of reports can be generated over Poshan Tracker Dashboard?,पोषण ट्रेकर डैशबोर्ड केतरनु नमूननु जूं रिपोरटुं कढी सघ॒बियूं आहिन?,How many samples of nutrition tracker dashboard are you willing to report?
How to revive your health if you are Severely Wasted (SAM),किंय वापस पाए ता सघु सिहत कठोरता सा विनायल ग्रोथ (SAM),The hardness of the vinyl growth (SAM) is not as strong as it was back then.
"See assessment charts for Stunted, Wasted and Underweight parameters","स्टंटेड, वेस्टेड आऊं गठ वजन जे प्रचालण जे लाये असेसमेंट चार्ट डिसो","Stunted, wasted and arthritic weight J operation J brings assessment chart disossd"
Resources for growth monitoring and general awareness,विधारे निगरानी ऐं आम जाणि लाई वसिला,The method of monitoring and monitoring of the common goods is very common.
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,आंगनवाडी कम कंदडन खे हिक आंगनवाडी मरकज में मौजूद जोडजक सां लागा॒पो रखन्दड जा॒ण दाखिल करणी पवंदी आहे.,The Anganwadi Kam Kanddan Khik is a joint venture in the Anganwadi Centre that is responsible for the admission of Sang Lagappo Rahindad Jan.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","जहिं में इमारत, बुनियादी सहूलियतुं , सुविधाऊं, सफाई, पीयण जो पाणी वगैरह शामिल आहे.","Where building, infrastructure, amenities, cleaning, drinking water, etc. are included."
Lactating mothers who received Take Home Ration (THR),ढुक्क डेयंन वारी माउन खे टेक होम राशन (THR) प्राप्त थेयो,I am sure that Dayanen Varri Maun Khe received a Tech Home Ration (THR) from Théo.
What is the eligibility of a beneficiary?,छा आए लाभकारी जी पात्रता?,What are the benefits of eligibility?
"No, Poshan Tracker is available only for Android version","न, पोषण ट्रेकर फकत ऐन्ड्रॉइड कौल ते मौजूद आहे.","No, the nutrition tracker is also available on the fucking Android Cowl."
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. मुआवजे आऊं देनदारी जी हद्द,XV. Compensation and liability expenses
Growth monitoring report for all health indicators,वाधारपणो निगरानी रिपोरट समुरे सिहत ड॒सुडिंदड लाई,The monitoring of the flooding report of the Samurai Sith D'Sudindindad to the
Take Home Ration (THR) given in last 30 days,पोंयनु 30 दीं॒हनु में दि॒नल घर खणी वञण जो राशनु (THR),The ponyanu 30 din'hanu in the daynal house mining and the josh ration (THR)
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,बारण खे स्टंटेड चईंनदासे अगर उनन जी लम्बाई उम्र जे लाए वधिक ब स्टेंडर्ड डेविएशन में त हेठ हुनदाWHO चाईल्ड ग्रोथ स्टेंडर्ड मिडियन में,Baran Khe Stunted Chindadase If the length of their lives is greater than the standard deviation then the standard deviation is higher than the standard deviation.
What is the purpose of Launching Poshan Tracker?,पोषण ट्रेकर खे शुरू करण जो मकसद छा आहे?,Starting a nutrition tracker that is intended for you?
"As a registered user, you have the right to access your profile at any time.",रजिस्टर्ड युजर हुजण जे नाते ता केमल भी प्रोफाइल खोले ता सिघो।,"As a registered user, he also opened a profile."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.",बदलाव सिर्फ पोषण टे्कर एप जे सिस्टम द्वारा ही थिंदा।,The change is only being pushed by the J System.
You cannot manage the communications that you receive from us or how you receive them.,"तवां असांखो काई भी जानकारी जी रहनुमाई या केडी जानकारी कीयं तवां वठ पहुंचन गुर्जे, हिनजो फैसलों नत्ता करे सगो।","You may also be asked to provide information or to provide information to the guardian, who can make their decisions."
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. कानून, ट्रीं दुरी जा हक्क आऊं सेवा जी ब्ईउँ शरतुं जी ताईबदारी","XIII. Law, the right to freedom of movement and freedom of movement, freedom of movement and freedom of movement."
"repeated infection, and inadequate psychosocial stimulation","घडी घडी इन्फेक्शन,आऊं ईनऐडयुकेट साइकोलॉजिकल सिम्युलेशन","Watch the clock infection, and the inadequate psychological simulation."
Beneficiary migration from one AWC to another AWC,फाईदोवठिंदड लडा॒यो वयो हिक AWC खां बे॒ AWC में,The fighters of the AWC age were also involved in the AWC.
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","पोषण अभियान हेठाँ आईसीटी प्लेटफॉर्म ते तालिम (02 फरवरी, 2021)","The Nutrition Campaign is an ICT platform and training (February 02, 2021)"
You may browse the Site without registering for an account.,तां खातो पंजीकरण करे बिना साइट ब्राउज करें ता सिंघो।,Browse the site without registering for a new account.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.",अगर ता साइट द्वारा डिनल सुविधा या सेवा खडदव तो ताखे मोबाईल नम्बर आऊं खाते सा पंजीकरण करणों पेन्दो।,"If the site is providing a service or a service, please note the mobile number and account of the registrant."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,तवान पेंजी व्यक्तिगत जानकारी आऊं पंजीकरण आऊं हिनअ जानकारी खे सुरक्षित रखण में नाकामयाब थियन जी वजह सां थियन वारी सभी गतिविधिन जी गोपनीयता ठाये रखण जे लाये पूरी तरह सां जिम्मेदार आयो।,Tawan Penge has failed to keep personal information and registration and personal information safe due to the fact that San Siddhan Vari kept all his activities confidential and brought him fully accountable.
