eng,pa,translation_text
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,ਪੋਸਣ ਟਰੈਕਰ ਪਰਿਭਾਸਿਤ ਸੂਚਕਾਂ 'ਤੇ ਸਾਰੇ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰਾਂ(AWCs) ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਅਸਲ-ਸਮੇਂ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਟਰੈਕਿੰਗ ਨੂੰ ਸਮਰੱਥ ਬਣਾਉਂਦਾ ਹੈ।,eng tracker enables real-time monitoring and tracking of all agnwadi centers (AWCs) and beneficiaries on defined indicators.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,ਇਹ ਕੇਂਦਰੀਕ੍ਰਿਤ ਡਾਟਾ ਆਰਕੀਟੈਕਚਰ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਬਣਾਇਆ ਗਿਆ ਹੈ ਜੋ ਦੂਜੇ ਮੰਤਰਾਲਿਆਂ ਅਤੇ ਪ੍ਰੋਗਰਾਮਾਂ ਦੇ ਡਿਜੀਟਲ ਤਕਨਾਲੋਜੀ ਪ੍ਰਣਾਲੀਆਂ ਨਾਲ ਵੀ ਮੇਲ ਖਾਂਦਾ ਹੈ।, This is created using a centralized database architecture that also matches the digital technology systems of other ministries and programs.
The public dashboard helps to impart transparency on services delivered to beneficiaries,ਪਬਲਿਕ ਡੈਸਬੋਰਡ ਲਾਭਪਾਤਰੀਆਂ ਨੂੰ ਦਿੱਤੀਆਂ ਜਾਣ ਵਾਲੀਆਂ ਸੇਵਾਵਾਂ 'ਤੇ ਪਾਰਦਰਸਤਾ ਪ੍ਰਦਾਨ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਦਾ ਹੈ,eng public dashboard helps to provide transparency on the services provided to the beneficiaries.
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,ਪੋਸਣ ਟਰੈਕਰ ਪੋਰਟਲ ਅਤੇ ਐਪ ਚੈਬੋਟ 'ਤੇ ਅਨੁਵਾਦ ਤੀਜੀ ਧਿਰ ਦੇ ਅਨੁਵਾਦਕਾਂ ਦੁਆਰਾ ਕੀਤੇ ਜਾਂਦੇ ਹਨ।,/Translate on the Nutrition Tracker portal and App Chabot are translated by third party translators.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","ਹਾਲਾਂਕਿ ਅਨੁਵਾਦ ਵਧੀਆ ਕੋਸਿਸ ਦੇ ਆਧਾਰ 'ਤੇ ਕੀਤੇ ਗਏ ਹਨ, ਪਰ ਕੁਝ ਹਿੱਸੇ ਗਲਤ ਹੋ ਸਕਦੇ ਹਨ।"," Although the translations are based on good cosp, some parts may be wrong."
Certain files and other items on the website cannot be translated.,ਵੈੱਬਸਾਈਟ 'ਤੇ ਕੁਝ ਫਾਈਲਾਂ ਅਤੇ ਹੋਰ ਆਈਟਮਾਂ ਦਾ ਅਨੁਵਾਦ ਨਹੀਂ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ।, Certain files and other items on the website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","ਇਸ ਤੋਂ ਇਲਾਵਾ, ਅਨੁਵਾਦ 'ਤੇ, ਭਾਸਾਵੀਂ ਰੁਕਾਵਟਾਂ ਦੇ ਕਾਰਨ, ਕੁਝ ਐਪਲੀਕੇਸਨਾਂ ਅਤੇ/ਜਾਂ ਸੇਵਾਵਾਂ ਉਮੀਦ ਅਨੁਸਾਰ ਕੰਮ ਨਹੀਂ ਕਰ ਸਕਦੀਆਂ।","eng, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diopresen, diop"
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","ਅਸੀਂ ਇਸ ਪੋਰਟਲ 'ਤੇ ਪ੍ਰਦਾਨ ਕੀਤੇ ਅਨੁਵਾਦਾਂ ਵਿੱਚ ਕਿਸੇ ਵੀ ਤਰੁੱਟੀ, ਭੁੱਲ ਜਾਂ ਅਸਪਸਟਤਾ ਨੂੰ ਸੁਧਾਰਨ ਲਈ ਲਗਾਤਾਰ ਕੰਮ ਕਰ ਰਹੇ ਹਾਂ।"," We are continuously working to correct any errors, forgeries or ambiguities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ਨੇ ਵਿਆਪਕ ਤੌਰ 'ਤੇ ਵੱਖ-ਵੱਖ ਨਸਲੀ ਪਿਛੋਕੜ ਅਤੇ ਸੱਭਿਆਚਾਰਕ ਦੇ (ਬ੍ਰਾਜੀਲ, ਘਾਨਾ, ਭਾਰਤ, ਨਾਰਵੇ, ਓਮਾਨ ਅਤੇ ਅਮਰੀਕਾ) ਲਗਭਗ 8500 ਬੱਚਿਆਂ ਤੋਂ ਪ੍ਰਾਇਮਰੀ ਵਿਕਾਸ ਅੰਕੜੇ ਅਤੇ ਸੰਬੰਧਿਤ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕੀਤੀ।","eng.org MGRS has extensively collected primary development data and related information from approximately 8500 children from various racial and cultural backgrounds (Brazil, Ghana, India, Norway, Oman and USA)"
Children of different age groups are monitored on monthly basis by AWWs.,ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (AWWs) ਦੁਆਰਾ ਵੱਖ-ਵੱਖ ਉਮਰ ਸਮੂਹਾਂ ਦੇ ਬੱਚਿਆਂ ਦੀ ਮਾਸਿਕ ਆਧਾਰ 'ਤੇ ਨਿਗਰਾਨੀ ਕੀਤੀ ਜਾਂਦੀ ਹੈ।,engwanwadi workers (AWWs) monitor children of different age groups on a monthly basis.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","ਸਿਹਤ ਸੂਚਕਾਂ ਜਿਵੇਂ ਕਿ ਅਵਿਕਸਿਤਟਾ, ਦੁਰਬਲਤਾ ਅਤੇ ਘੱਟ ਭਾਰ ਦਾ ਪ੍ਰਚਲਨ WHO ਦੇ ਮਾਪਦੰਡਾਂ ਅਨੁਸਾਰ ਮਾਪਿਆ ਜਾਂਦਾ ਹੈ।","eng, obesity, and low-weight prevalence are measured according to WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,ਨਿਯਮਤ ਵਾਧੇ ਦੀ ਨਿਗਰਾਨੀ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (AWWs) ਨੂੰ ਬੱਚਿਆਂ ਨੂੰ ਢੁਕਵੀਂ ਅਤੇ ਸਮੇਂ ਸਿਰ ਸਹਾਇਤਾ ਪ੍ਰਦਾਨ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਦੀ ਹੈ,enggawa workers (AWWs) to provide adequate and timely support to children.
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","ਕੁਪੋਸਣ ਨੂੰ ਰੋਕਣ ਲਈ ਬੱਚਿਆਂ ਵਿੱਚ ਰੁਕੇ ਹੋਏ ਵਾਧੇ, ਦੁਰਬਲਤਾ ਪ੍ਰਤੀ ਜਾਗਰੂਕਤਾ",engekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekek
Poshan Tracker adds new application features,ਪੋਸਣ ਟ੍ਰੈਕਰ ਵਿੱਚ ਨਵੀਂ ਐਪਲੀਕੇਸਨ ਵਿਸੇਸਤਾ ਜੁੜਦੀ ਹੈ, Nutrition tracker adds new application viscosity to the nutrition tracker.com adds new application viscosity to the nutrition tracker.com adds new application viscosity to the nutrition tracker.com adds new application viscosity to the nutrition tracker.com adds new application viscosity to the nutrition tracker.com adds new application viscosity to the nutrition tracker.com adds new application viscosity to the nutrition tracker.com adds new application viscosity to the nutrition tracker.com adds new application viscosity to the nutrition tracker
Making or Updating Home Visit Planner and Initiating home visits,ਹੋਮ ਵਿਜਿਟ ਪਲੈਨਰ ਬਣਾਉਣਾ ਜਾਂ ਅੱਪਡੇਟ ਕਰਨਾ ਅਤੇ ਘਰੇਲੂ ਮੁਲਾਕਾਤਾਂ ਦੀ ਸੁਰੂਆਤ ਕਰਨਾ, Create or update a home visit plan and start a home visit.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ਪੋਸਣ ਕੈਲਕੁਲੇਟਰ ਵਿਸਵ ਸਿਹਤ ਸੰਗਠਨ (ਡਬਲਿਊ ਐਚ ਓ) ਦੁਆਰਾ ਪਰਿਭਾਸਿਤ ਮਾਪਦੰਡਾਂ ਦੇ ਅਧਾਰ ਤੇ ਬੱਚੇ ਦੇ ਵਿਕਾਸ ਨੂੰ ਮਾਪਣ ਲਈ ਤਿਆਰ ਕੀਤਾ ਗਿਆ ਹੈ।, Nutrition Calculator is designed to measure a child's development based on the standards defined by the World Health Organization (WHO).
Migrated from one category to another,ਇੱਕ ਸ੍ਰੇਣੀ ਤੋਂ ਦੂਸਰੀ ਵਿੱਚ ਬਦਲਣਾ,eng.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa.pa
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ਇਹ ਆਮ ਤੌਰ 'ਤੇ ਉਦੋਂ ਵਾਪਰਦਾ ਹੈ ਜਦੋਂ ਕਿਸੇ ਵਿਅਕਤੀ ਨੇ ਉੱਚਿਤ ਗੁਣਵੱਤਾ ਅਤੇ ਮਾਤਰਾ ਦਾ ਭੋਜਨ ਨਹੀਂ ਲਿਆ ਹੁੰਦਾ ਹੈ ਅਤੇ/ਜਾਂ ਉਹਨਾਂ ਨੂੰ ਅਕਸਰ ਜਾਂ ਲੰਬੇ ਸਮੇਂ ਤੋਂ ਬਿਮਾਰੀਆਂ ਹੁੰਦੀਆਂ ਹਨ,engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
Malnutrition is one of the most important challenges facing contemporary India.,ਕੁਪੋਸਣ ਸਮਕਾਲੀ ਭਾਰਤ ਦੇ ਸਾਹਮਣੇ ਸਭ ਤੋਂ ਮਹੱਤਵਪੂਰਨ ਚੁਣੌਤੀਆਂ ਵਿੱਚੋਂ ਇੱਕ ਹੈ.,engekerjaan adalah salah satu tantangan paling penting yang dihadapi India saat ini.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,ਪੋਸਣ ਨੂੰ ਰਾਸਟਰੀ ਅਤੇ ਗਲੋਬਲ ਟਿਕਾ.,"eng'e, and global sustainability."
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.","ਵਿਕਾਸ ਟੀਚਿਆਂ ਦੀ ਪ੍ਰਾਪਤੀ ਲਈ ਕੇਂਦਰੀ ਮੰਨਿਆ ਜਾਂਦਾ ਹੈ. . ਰਤਾਂ ਰਤਾਂ ਅਤੇ ਬੱਚਿਆਂ ਲਈ ਕਮਿ ਬਚ ਨਿਟੀ ਵਿਚ ਮਾੜੀ ਸਿਹਤ ਅਤੇ ਗਰੀਬੀ ਦੇ ਅੰਤਰਜਾਮੀ ਚੱਕਰ ਨੂੰ ਜੀਵਿਤ, ਪ੍ਰਫੁੱਲਤ ਕਰਨ ਅਤੇ ਤੋੜਨ ਲਈ ਅਨੁਕੂਲ ਅਤੇ ਪੋਸਣਕਵੀਂ ਪੋਸਣ ਜਰੂਰੀ ਹੈ.","eng.org - The World Health Organization (WHO) is a global organization that promotes the development of children and young people. ... A healthy and nutritious diet is essential to survive, thrive and break the intersectional cycle of poor health and poverty in the world of childhood and children."
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ਪੋਸਣ ਅਭਿਆਨ, ਬੱਚਿਆਂ, ਕਿਸੋਰਾਂ, ਗਰਭਵਤੀ ਔਰਤਾਂ ਅਤੇ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਲਈ ਤਕਨਾਲੋਜੀ, ਇੱਕ ਨਿਸਾਨਾ ਪਹੁੰਚ ਅਤੇ ਇਕਸਾਰਤਾ ਦੁਆਰਾ ਲਾਭ ਪ੍ਰਾਪਤ ਕਰਨ ਦੇ ਪੋਸਣ ਸੰਬੰਧੀ ਨਤੀਜਿਆਂ ਵਿੱਚ ਸੁਧਾਰ ਲਿਆਉਣ ਲਈ ਭਾਰਤ ਦਾ ਮੁੱਖ ਪ੍ਰੋਗਰਾਮ ਹੈ ।",", The Nutrition Campaign, is India's flagship program to improve nutritional outcomes for children, teenagers, pregnant women and breastfeeding mothers, benefiting from technology, a targeted approach and consistency."
Hot Cooked Meal (HCM) given in last 30 days,ਪਿਛਲੇ 30 ਦਿਨਾਂ ਵਿੱਚ ਦਿੱਤਾ ਗਿਆ ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ (ਐਚਸੀਐਮ),engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,ਪੋਸਨ ਟਰੈਕਰ ਵਿੱਚ ਆਂਗਣਵਾੜੀ ਸੇਵਾ ਸਕੀਮਾਂ ਦੇ ਅੰਕੜੇ ਅਪਲੋਡ ਕਰਨਾ,engwanwadi service schemes data uploading in Pospaon tracker
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,ਪੋਸਨ ਟਰੈਕਰ ਆਖਰੀ-ਮੀਲ ਦੇ ਨਾਜੁਕ ਲਾਭਪਾਤਰੀਆਂ ਲਈ ਸਵੈਚਲਿਤ ਚੇਤਾਵਨੀਆਂ ਤਿਆਰ ਕਰਦਾ ਹੈ।, Poson Tracker generates automated alerts for the vulnerable beneficiaries of the last mile.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,ਇਹ ਲਾਭਪਾਤਰੀਆਂ ਅਤੇ ਡਿਊਟੀ ਧਾਰਕਾਂ ਦੀ ਅਸਲ ਸਮੇਂ ਦੀ ਹਾਜਰੀ ਦਾ ਪ੍ਰਸਤੁਤੀਕਰਨ ਕਰਕੇ ਡਿਲੀਵਰੀ ਪ੍ਰਣਾਲੀ ਦਾ ਕੁਸਲ ਆਡਿਟ ਵੀ ਯਕੀਨੀ ਬਣਾਉਂਦਾ ਹੈ।, It also ensures a cousyl audit of the delivery system by presenting real-time attendance of the beneficiaries and duty holders.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","ਇਹ ਪ੍ਰਬੰਧਨ ਸੂਚਨਾ ਪ੍ਰਣਾਲੀ ਪੋਸਣ ਪ੍ਰੋਗਰਾਮ ਨੂੰ ਕੁਸਲਤਾ ਨਾਲ ਸਕੇਲ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰੇਗੀ, ਇਸ ਤਰ੍ਹਾਂ ਸਕਾਰਾਤਮਕ ਪ੍ਰਭਾਵ ਪੈਦਾ ਕਰਨ ਅਤੇ ਦਸਤਾਵੇਜ ਬਣਾਉਣ ਵਿੱਚ","eng sistem informasi manajemenpa ini akan membantu menskali program gizi dengan terampil, sehingga menghasilkan kesan positif dan mendokumentasikan"
How can one Download Poshan Tracker App?,ਕੋਈ ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਕਿਵੇਂ ਡਾਊਨਲੋਡ ਕਰ ਸਕਦਾ ਹੈ?, How can a Nutrition Trackerpa App be downloaded?
"Clarification regarding Cost of Smart phones (03 June, 2021)","ਸਮਾਰਟ ਫੋਨਾਂ ਦੀ ਕੀਮਤ ਬਾਰੇ ਸਪਸਟੀਕਰਨ (03 ਜੂਨ, 2021)"," Clarification on the price of smartphones (pa 03, June 2021)"
along with status update once resolved,ਸਮੇਤ ਸਟੇਟਸ ਅਪਡੇਟ ਜਦੋਂ ਪ੍ਰਵਾਨਿਤ ਹੁੰਦਾ ਹੈ,eng status updated when approved
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.","ਸਿਸਟਮ ਦੀ ਸੁਰੱਖਿਆ ਅਤੇ ਸਕੇਲੇਬਿਲਟੀ ਲਈ, ਪੋਸਣ ਟਰੈਕਰ ਸਿਸਟਮ ਦਾ ਨਿਯਮਿਤ ਤੌਰ 'ਤੇ ਐਮਡਬਲਿਊਸੀਡੀ (MWCD) ਦੁਆਰਾ ਲੱਗੇ ਆਡੀਟਰਾਂ ਦੁਆਰਾ ਆਡਿਟ ਕੀਤਾ ਜਾਂਦਾ ਹੈ।","eng sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat, sistemat,"
The records may be used for such audits.,ਅਜਿਹੇ ਆਡਿਟ ਲਈ ਰਿਕਾਰਡ ਦੀ ਵਰਤੋਂ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ।, Records can be used for such audits.
Poshan Tracker adds new Resources on Website,ਪੋਸਣ ਟ੍ਰੈਕਰ ਵਿੱਚ ਨਵੀਂ ਵੈੱਬਸਾਈਟ ਉੱਤੇ ਸ੍ਰੋਤ ਵਿਸੇਸਤਾ ਜੁੜਦੀ ਹੈ,eng tracker adds source specificity to the new website
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","ਪੋਸਣ ਟਰੈਕਰ ਦੇ ਤਹਿਤ ਤਕਨਾਲੋਜੀ ਦਾ ਬੱਚਿਆਂ ਵਿੱਚ ਲਗਾਤਾਰ ਅਵਿਕਸਿਤਤਾ, ਦੁਰਬਲਤਾ, ਘੱਟ ਵਜਨ ਦੀ ਪਛਾਣ ਅਤੇ ਪੋਸਣ ਸੇਵਾ ਪ੍ਰਦਾਨ ਕਰਨ ਦੇ ਅਖੀਰ ਤੱਕ ਟਰੈਕਿੰਗ ਲਈ ਲਾਭ ਉਠਾਇਆ ਜਾ ਰਿਹਾ ਹੈ।"," Nutrition Tracker technology is being leveraged to continuously track children's developmental disabilities, vulnerabilities, low weight identification and end to end nutrition service delivery."
The System also takes feedback about system performance and experience.,"ਸਿਸਟਮ, ਸਿਸਟਮ ਦੀ ਕਾਰਗੁਜਾਰੀ ਅਤੇ ਅਨੁਭਵ ਬਾਰੇ ਆਡਿਟ ਵੀ ਕਰਦਾ ਹੈ।",.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.
"Information on name, mobile number, date of registration and health status may be used for these purposes","ਨਾਮ, ਮੋਬਾਈਲ ਨੰਬਰ, ਰਜਿਸਟ੍ਰੇਸਨ ਦੀ ਮਿਤੀ ਅਤੇ ਸਿਹਤ ਸਥਿਤੀ ਬਾਰੇ ਜਾਣਕਾਰੀ ਇਹਨਾਂ ਉਦੇਸਾਂ ਲਈ ਵਰਤੀ ਜਾ ਸਕਦੀ ਹੈ","eng, nomor telepon, tanggal pendaftaran, dan informasi status kesehatan dapat digunakan untuk tujuan ini."
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.",ਅਸੀਂ ਉਹ ਸਮੱਗਰੀ ਅਤੇ ਹੋਰ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰਦੇ ਹਾਂ ਜੋ ਤੁਸੀਂ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਨ ਲਈ ਪ੍ਰਦਾਨ ਕਰਦੇ ਹੋ ਇਸ ਵਿੱਚ ਤੁਹਾਡੇ ਦੁਆਰਾ ਖਾਤੇ ਲਈ ਸਾਈਨ ਅੱਪ ਕਰਨਾ ਵੀ ਸਾਮਲ ਹੈ।,"/We collect the material and other information you provide to use our services, including when you sign up for an account."
"You may, however, choose not to share personal data where providing the data is optional.","ਹਾਲਾਂਕਿ, ਜਿੱਥੇ ਅੰਕੜੇ ਪ੍ਰਦਾਨ ਕਰਨਾ ਵਿਕਲਪਿਕ ਹੈ ਤੁਸੀਂ ਨਿੱਜੀ ਅੰਕੜਿਆਂ ਨੂੰ ਸਾਂਝਾ ਨਾ ਕਰਨ ਦੀ ਚੋਣ ਕਰ ਸਕਦੇ ਹੋ।","eng, dimana data dissemination is optional, you can choose not to share personal data."
Tracking of services to the end beneficiary at a click of a button.,ਇੱਕ ਬਟਨ ਦੇ ਕਲਿੱਕ ਨਾਲ ਅੰਤਮ ਲਾਭਪਾਤਰੀ ਨੂੰ ਸੇਵਾਵਾਂ ਦੀ ਟ੍ਰੈਕਿੰਗ।, Tracking services to the end beneficiary with the click of a button.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","ਰਾਸਨ ਘਰ ਲਿਜਾਉ (THR) ਅਤੇ ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ (HCM), ਬੱਚਿਆਂ ਅਤੇ ਗਰਭਵਤੀ ਔਰਤਾਂ ਲਈ ਟੀਕਾਕਰਨ ਵਰਗੀਆਂ ਸੇਵਾਵਾਂ"," Rason home delivery (THR) and hot cooked food (HCM), vaccination for babies and pregnant women"
"New Poshan Tracker App (13 January, 2021)","ਨਵੀਂ ਪੋਸਣ ਟਰੈਕਰ ਐਪ (13 ਜਨਵਰੀ, 2021)"," The new Nutrition Trackerpa app (January 13, 2021) is a new nutrition tracker app."
Preventing illnesses to avert Malnutrition and Death,ਕੁਪੋਸਣ ਅਤੇ ਮੌਤ ਨੂੰ ਟਾਲਣ ਲਈ ਬਿਮਾਰੀਆਂ ਦੀ ਰੋਕਥਾਮ,eng.org - Prevention of disease to prevent constipation and death
Scan the QR Code to Download the App,ਐਪ ਡਾਊਨਲੋਡ ਕਰਨ ਲਈ ਕਿਊਆਰ ਕੋਡ ਨੂੰ ਸਕੈਨ ਕਰੋ, Scan QR code to download apppa
Pregnant women who received Take Home Ration (THR),ਰਾਸਨ ਘਰ ਲਿਜਾਉ (THR) ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੀਆਂ ਗਰਭਵਤੀ ਔਰਤਾਂ,eng ibu hamil yang mendapat racion home delivery (THR)
General Awareness on SAM and MAM,ਐੱਸਏਐਮ(SAM) ਅਤੇ ਐਮਏਐਮ (MAM)ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ,eng: general awareness of SAM and MAM
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.",ਕੋਈ ਵੀ ਐਪ ਵੈਧ ਇੰਟਰਨੈਟ ਕਨੈਕਸਨ ਤੋਂ ਬਿਨਾਂ ਕੰਮ ਨਹੀਂ ਕਰਦੀ ਹੈ।,eng app ga bisa tanpa koneksi internet yg valid.
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,ਇਹ ਸੰਸਥਾਵਾਂ ਪੋਸਣ ਟਰੈਕਰ ਨਾਲ ਇਹਨਾਂ ਸਰਤਾਂ ਸਮੇਤ ਗੈਰ ਕਾਨੂੰਨੀ ਗਤੀਵਿਧੀ ਜਾਂ ਤੀਜੀ-ਧਿਰ ਦੇ ਅਧਿਕਾਰਾਂ ਦੀ ਉਲੰਘਣਾ ਨੂੰ ਉਤਸਾਹਿਤ ਕਰਨ ਜਾਂ ਵਧਾਉਣ ਲਈ APIs/ ਨੋ-ਕੋਡ ਵੈਬਪੇਜ ਏਕੀਕਰਣ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰਨਗੀਆਂ।," These organizations will not use API/no-code webpage integration with Nutrition Tracker to promote or enhance illegal activity or third-party rights violation, including these servers."
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ਗਰਭਵਤੀ ਔਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ, 6 ਮਹੀਨੇ ਤੋਂ 3 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ ਅਤੇ ਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ।","engon, ibu hamil, bayi umur 6 bulan 3 tahun, dan remaja perempuan."
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","ਨਵੀਂ ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪਃ ਸੀਐਸਸੀ-ਐਸਪੀਵੀ ਨੋਡਲ ਵਿਅਕਤੀ (02 ਫਰਵਰੀ, 2021)",eng new nutrition tracker app: CSC-SPV nodal person (02 February 2021)
