eng,or,mBART600M
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,ବେଆଇନ କାର୍ଯ୍ୟକଳାପକୁ ପ୍ରୋତ୍ସାହନ ଦେବା ପାଇଁ କିମ୍ବା ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ସହିତ ଏହି ସର୍ତ୍ତଗୁଡିକ ସହିତ ତୃତୀୟ-ପକ୍ଷ ଅଧିକାରର ଉଲ୍ଲଂଘନକୁ ପ୍ରୋତ୍ସାହନ ଦେବା ପାଇଁ ଏହି ସଂସ୍ଥାଗୁଡିକ API / No-code ୱେବପୃଷ୍ଠା ସଂଯୋଗକୁ ବ୍ୟବହାର କରିବେ ନାହିଁ |,These entities will not use API/No-code web page connections to promote illegal activity or to promote violations of third-party rights with these Terms and Conditions with a page tracker.
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ଗର୍ଭବତୀ ମହିଳା, ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମା, 6 ମାସରୁ 3 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲା ଏବଂ କିଶୋର ବାଳିକା |","Pregnant women, nursing mothers, infants from 6 months to 3 years old and teenage girls."
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","ନୂଆ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ଃ CSC-SPV ନୋଡାଲ୍ ବ୍ୟକ୍ତି (02 ଫେବୃଆରୀ, 2021)","Or the new nutrition tracker app: CSC-SPV nodal person (February 02, 2021)"
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ଜଣେ AWW ଏକ ହିତାଧିକାରୀଙ୍କୁ ଗୋଟିଏ AWC ରୁ ଅନ୍ୟ AWC ଆଧାର ନମ୍ବର ଆଧାରରେ ସ୍ଥାନାନ୍ତର କରିବା ପାଇଁ 'ସ୍ଥାନାନ୍ତର ହିତାଧିକାରୀ' ବିକଳ୍ପ ବ୍ୟବହାର କରିପାରିବ |,An AWW or AWW can use the 'Transfer Beneficiary' option to transfer a beneficiary from one AWC to another based on AWC Aadhaar number.
A beneficiary is eligible for HCM for at least 21 days in a month.,ଜଣେ ହିତାଧିକାରୀ ଏକ ମାସରେ ଅତି କମ୍ ରେ 21 ଦିନ ପାଇଁ HCM ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,Or a beneficiary is eligible for HCM for at least 21 days a month.
ABHA (Health ID) and its Benefits,ABHA (ସ୍ୱାସ୍ଥ୍ୟ ID) ଏବଂ ଏହାର ଉପକାରିତା,ABorHA (Health ID) and its usefulness.
"We'ar sorry, the page you requested could not be found.","ଆମେ ଦୁ sorry ଖିତ, ଆପଣ ଅନୁରୋଧ କରିଥିବା ପୃଷ୍ଠା ମିଳିଲା ନାହିଁ |","We are sorry, but the page you requested did not appear."
Dadra & Nagar Haveli - Daman & Diu,ଦାଦ୍ରା ଏବଂ ନଗର ହାଭେଲି - ଦମାନ ଏବଂ ଦିଉ,Dadra and Nagar Haveli - Daman and Diu
Download Mobile App from Play Store,ପ୍ଲେ ଷ୍ଟୋରରୁ ମୋବାଇଲ୍ ଆପ୍ ଡାଉନଲୋଡ୍ କରନ୍ତୁ,Download the mobile app from the Playor Store.
General Awareness on the Delivery of the child,ଶିଶୁର ପ୍ରସବ ଉପରେ ସାଧାରଣ ସଚେତନତା,Or general awareness of childbirth.
Where can I enquire about Hot Cooked Meal?,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ ବିଷୟରେ ମୁଁ କେଉଁଠାରେ ପଚାରିବି?,Or where can I ask about hot food?
In how many languages AWW can enter the data while filling up the form?,ଫର୍ମ ପୂରଣ କରିବା ସମୟରେ ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ କିମ୍ୱା ଏଡବ୍ଲ୍ୟୁସି କେତେଗୋଟି ଭାଷାରେ ତଥ୍ୟ ପ୍ରବେଶ କରିପାରିବେ?,When filling out a form or how many languages can AWS or AWS access data in?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ପୁଷ୍ଟିକର ଖାଦ୍ୟର ଅଭାବ ବୋଲି ଚିହ୍ନିତ ପିଲାମାନେ ଅତିରିକ୍ତ ଖାଦ୍ୟ ସପ୍ଲିମେଣ୍ଟ ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,Children who are identified as malnourished are eligible for additional food supplements.
An underweight person is a person whose body weight is considered too low to be healthy,"ଜଣେ ଓଜନିଆ ବ୍ୟକ୍ତି ହେଉଛନ୍ତି ଜଣେ ବ୍ୟକ୍ତି, ଯାହାର ଶରୀରର ଓଜନ ସୁସ୍ଥ ରହିବା ପାଇଁ ଅତ୍ୟଧିକ କମ୍ ବୋଲି ବିବେଚନା କରାଯାଏ |",An overweight person is someone whose body weight is considered too low to be healthy.
When and how to use MPIN?,ଏମ୍ପିଆଇଏନ୍କୁ କେବେ ଏବଂ କିପରି ଭାବେ ବ୍ୟବହାର କରିବେ?,When and how to use the MPAN?
Ensuring that complementary feeding improves over time,ସୁନିଶ୍ଚିତ କରିବା ଯେ ସଂପନ୍ନ ଖାଦ୍ୟପେୟ ସମୟ ସହିତ ଉନ୍ନତି କରେ,Or making sure that the fortified diet improves over time.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (ସ୍ୱାସ୍ଥ୍ୟ ID) ବ୍ୟବହାର କରିବା ଆପଣଙ୍କ ଏବଂ ଆପଣଙ୍କ ପରିବାର ପାଇଁ ନିରାପଦ ଏବଂ ଦକ୍ଷ ଡିଜିଟାଲ୍ ସ୍ୱାସ୍ଥ୍ୟ ରେକର୍ଡ ସୃଷ୍ଟି କରିବାର ପ୍ରଥମ ପଦକ୍ଷେପ |,Using ABorHA (Health ID) is the first step towards creating a safe and efficient digital health record for you and your family.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (ପୂର୍ବରୁ ସ୍ୱାସ୍ଥ୍ୟ ID ଭାବରେ ଜଣାଶୁଣା) ଆୟୁଷ୍ମାନ ଭାରତ ସ୍ବାସ୍ଥ୍ୟ ଖାତା ପାଇଁ ଏକ ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ |,ABorHA (formerly known as Health ID) is an acronym for Ayushman Bharat Health Account.
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ / ଏଡବ୍ଲ୍ୟୁସିଙ୍କୁ କେବଳ ନୋଡାଲ୍ ସ୍ତରର ଅଧିକାରୀଙ୍କ ଦ୍ୱାରା ଯୋଡାଯାଇପାରିବ ।ଉପରୋକ୍ତ ପଦାନୁକ୍ରମରେ ଯେକୌଣସି ବ୍ୟକ୍ତି ।ଯେପରିକି ଜାତୀୟ ସ୍ତରର ବ୍ୟବହାରକାରୀ ରାଜ୍ୟ, ଜିଲ୍ଲା, ପ୍ରକଳ୍ପ ଏବଂ କ୍ଷେତ୍ର ସ୍ତରର ବ୍ୟବହାରକାରୀ ସୃଷ୍ଟି କରିପାରିବେ ।ରାଜ୍ୟ ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ଜିଲ୍ଲା, ପ୍ରକଳ୍ପ ଏବଂ କ୍ଷେତ୍ର ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ସୃଷ୍ଟି କରିପାରିବେ, ଜିଲ୍ଲା ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ପ୍ରକଳ୍ପ ଏବଂ କ୍ଷେତ୍ର ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ସୃଷ୍ଟି କରିପାରିବେ, ପ୍ରକଳ୍ପ ସ୍ତରର ବ୍ୟବହାରକାରୀ କ୍ଷେତ୍ର ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ସୃଷ୍ଟି କରିପାରିବେ ।","Or AWW/AWC can only be linked by nodal-level officials.Anyone in the above sub-sequence.such as a national user can create state, district, project and region-level users.State-level users can create district, project and region-level users, district-level user projects and region-level users, project-level users can create region-level users."
Where can I enquire about take home ration?,ଘରର ରାସନ ନେବା ବିଷୟରେ ମୁଁ କେଉଁଠାରେ ପଚାରିବି?,Or where can I ask about taking home ration?
We use the information we collect from all our services for the following purposes:,ଆମେ ଆମର ସମସ୍ତ ସେବାରୁ ସଂଗ୍ରହ କରୁଥିବା ସୂଚନାକୁ ନିମ୍ନଲିଖିତ ଉଦ୍ଦେଶ୍ୟରେ ବ୍ୟବହାର କରୁଃ,We use the information we collect from all our services or use the information we collect for the following purposes:
Identification & Referral of Sick Newborn,ଅସୁସ୍ଥ ନବଜାତ ଶିଶୁର ପରିଚୟ ଏବଂ ରେଫରାଲ୍,Identification and referral of a sick newborn child.
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. ତୃତୀୟ ପାର୍ଟି ସିଷ୍ଟମ ଦ୍ୱାରା ପ୍ରଦତ୍ତ ତଥ୍ୟର ସଂଶୋଧନ,XIV. Modification of data provided by third party systems.
Who is eligible for Take Home Ration?,ଘର ରାସନ ପାଇଁ କିଏ ଯୋଗ୍ୟ?,Who is eligible for a household ration?
Supporting mothers with issues in Breastfeeding,ସ୍ତନ୍ୟପାନରେ ସମସ୍ୟା ଥିବା ମା'ମାନଙ୍କୁ ସହାୟତା କରିବା,or to help mothers with breastfeeding problems.
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ପ୍ରସ୍ତାବିତ ପ୍ରଣାଳୀ ନିର୍ଦ୍ଦିଷ୍ଟ ସଙ୍କେତ ଉପରେ ସମସ୍ତ ଏଡବ୍ଲ୍ୟୁସି, ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ ଏବଂ ହିତାଧିକାରୀଙ୍କ ପ୍ରକୃତ ନୀରିକ୍ଷଣ ଏବଂ ଟ୍ରାକିଂକୁ ସକ୍ଷମ କରିବା ଉଚିତ ।","The proposed system should enable actual monitoring and tracking of all AWS, AWW, and beneficiaries on specific signals."
Above standards are defined as per given above mentioned age brackets,ଉପରୋକ୍ତ ମାନାଙ୍କ ଉପରେ ଦିଆଯାଇଥିବା ମାନାଙ୍କ ଉପରେ ଉପରୋକ୍ତ ମାନକକୁ ବ୍ୟାଖ୍ୟା କରାଯାଇଛି |,Or the above standard is defined by the above standards.
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","ଯଦି କୌଣସି ବ୍ୟକ୍ତିର ଓଜନ କମ୍ ଥାଏ, ତେବେ ସେମାନଙ୍କ ଶରୀର ସୁସ୍ଥ ହାଡ, ଚର୍ମ ଏବଂ କେଶ ଗଠନ ପାଇଁ ଆବଶ୍ୟକ ପୁଷ୍ଟିକର ଖାଦ୍ୟ ପାଇ ନପାରେ |","If a person is underweight, their body may not have access to the nutrients needed to build healthy bones, skin, and hair."
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,ସମ୍ପୃକ୍ତ ଅଙ୍ଗନୱାଡି କର୍ମୀଙ୍କ ଦ୍ୱାରା ମୋବାଇଲ୍ ନମ୍ବର ପାଇଁ ଓଟିପି ଅନୁରୋଧ କରି ଏମ୍ପିଆଇଏନ୍ ସେଟ୍ କରାଯାଇପାରିବ ।,The MPIN can be set by requesting an OTP for a mobile number by the concerned Anganwadi worker.
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","ଯଦି ଡାଟାବେସ୍ରେ ମୋବାଇଲ୍ ନମ୍ବର ପୂର୍ବରୁରହିଥାଏ, ସଂପୃକ୍ତ ଅଙ୍ଗନୱାଡି ବ୍ୟକ୍ତି ଜଣକ ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବରରେ 4 ଅଙ୍କ ବିଶିଷ୍ଟ ଏକ ଓଟିପି ପ୍ରାପ୍ତ କରିବେ ।","If the mobile number already exists in the database, the person concerned will receive a 4-digit OTP from the registered mobile number."
"Post entering the OTP, AWW can easily set customized MPIN.","ଓଟିପି ପ୍ରବେଶ କରିବା ପରେ, ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନେ ସହଜରେ କଷ୍ଟୋମାଇଜ୍ ଏମ୍ପିଆଇଏନ୍ ସେଟ୍ କରିପାରିବେ ।","Once the OTP is entered, AWWs can easily set customized MPINs."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ଏହା ଅଂଶଗ୍ରହଣକାରୀ ସ୍ୱାସ୍ଥ୍ୟସେବା ପ୍ରଦାନକାରୀଙ୍କ ସହିତ ଆପଣଙ୍କର ପାରସ୍ପରିକ କ୍ରିୟାକୁ ସକ୍ଷମ କରିଥାଏ ଏବଂ ଯାଞ୍ଚ ହୋଇଥିବା ସ୍ୱାସ୍ଥ୍ୟ ସେବା ବୃତ୍ତିଗତ ଏବଂ ସ୍ୱାସ୍ଥ୍ୟ ସେବା ପ୍ରଦାନକାରୀଙ୍କ ଠାରୁ ଆପଣଙ୍କର ଡିଜିଟାଲ୍ ଲ୍ୟାବ୍ ରିପୋର୍ଟ, ପ୍ରେସକ୍ରିପସନ୍ ଏବଂ ନିରାକରଣକୁ ନିରନ୍ତର ଭାବରେ ଗ୍ରହଣ କରିବାକୁ ଅନୁମତି ଦେଇଥାଏ |","It enables your interaction with participating healthcare providers and allows you to continuously receive your digital lab reports, prescriptions and prevention from verified healthcare professionals and healthcare providers."
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,ବାକିଲସ୍ କାଲମେଟ୍ ଗୁରେନ୍ (BCG)ଓରାଲ୍ ପୋଲିଓ ଟିକା (OPV) -0 ର ମାତ୍ରା ହେପାଟାଇଟିସ୍ ବି ଜନ୍ମ ମାତ୍ରା OPV-1 T,Bacillus calamine gueren (BCG) dose of oral polio vaccine (OPV) -0 dose of hepatitis B birth rate OPV-1 T
Training on ICT Platform under POSHAN Abhiyaan,ପୃଷ୍ଟିକର ଅଭିଯାନ ଅଧୀନରେ ICT ପ୍ଲାଟଫର୍ମ ଉପରେ ତାଲିମ,Training on ICT platforms under the Nutrior campaign
"Know more about stunting, wasting and underweight","ଷ୍ଟଣ୍ଟିଂ, ଅପଚୟ ଏବଂ କମ୍ ଓଜନ ବିଷୟରେ ଅଧିକ ଜାଣ |","Learn more about stunting, weight loss and weight loss."
What information to be added in AWC forms?,ଏଡବ୍ଲ୍ୟୁସି ଫର୍ମରେ କେଉଁ ସୂଚନା ଯୋଡାଯିବ?,What information will be added to the AWC form?
How to revive your health if you are Moderately Wasted (MAM),ଯଦି ତୁମେ ସାମାନ୍ୟ ନଷ୍ଟ ହୋଇଯାଅ (MAM),Or if you get slightly damaged (MAM)
AWC Workers Registered In Last 30 Days,AWC କର୍ମୀ ଗତ 30 ଦିନରେ ପଞ୍ଜିକୃତ,A worker who is registered as an AWC worker in the last 30 days.
Click on above button to get this App,ଏହି ଆପ୍ ପାଇବା ପାଇଁ ଉପରୋକ୍ତ ବଟନ୍ ଉପରେ କ୍ଲିକ୍ କରନ୍ତୁ,Or click on the button above to access this app.
Beneficiaries Registered In Last 30 Days,ହିତାଧିକାରୀମାନେ ଗତ 30 ଦିନରେ ପଞ୍ଜିକୃତ ହୋଇଥିଲେ,or beneficiaries were registered in the last 30 days.
Specifications of Smart phone and Technical Compatibility Testing,ସ୍ମାର୍ଟ ଫୋନ୍ ଏବଂ ଯାନ୍ତ୍ରିକ ସୁସଙ୍ଗତତା ପରୀକ୍ଷଣର ବିଶେଷତା,Or feature smartphones and mechanical compatibility testing.
Preparation During Pregnancy - For NewBorn Care & Family Planning,ଗର୍ଭଧାରଣ ସମୟରେ ପ୍ରସ୍ତୁତି - ନବଜାତ ଯତ୍ନ ଏବଂ ପରିବାର ଯୋଜନା ପାଇଁ,Or preparation for pregnancy - for newborn care and family planning.
Stunting is the impaired growth and development that children experience from poor nutrition,ଷ୍ଟଣ୍ଟିଂ ହେଉଛି ଦୁର୍ବଳ ଅଭିବୃଦ୍ଧି ଏବଂ ବିକାଶ ଯାହା ପିଲାମାନେ ଖରାପ ପୁଷ୍ଟିକର ଖାଦ୍ୟରୁ ଅନୁଭବ କରନ୍ତି |,Stunting is the weak growth and development that children experience from poor nutrition.
Children in the age group of 3 years to 6 years,3 ବର୍ଷରୁ 6 ବର୍ଷ ବୟସର ପିଲାମାନେ,Children between the ages of 3 and 6 years old.
Poshan Tracker Dashboard can be accessed by signing onto the dashboard.,ଦାସବୋର୍ଡରେ ସାଇନ୍ ଇନ୍ କରି ପୋଷନ୍ ଟ୍ରାକର୍ ଦାସବୋର୍ଡକୁ ବ୍ୟବହାର କରାଯାଇପାରିବ ।,The Nutrition Tracker dashboard can be used by signing in to the Dashboardor.
Dashboard can be accessed by clicking the link https://poshantracker.,ଲିଙ୍କ୍ https://poshantracker.in/admin ରେ କ୍ଲିକ୍ କରି ଦାସବୋର୍ଡକୁ ବ୍ୟବହାର କରାଯାଇପାରିବ ।,The dashboard can be used by clicking on the link https://poshantracker.in/admin.
"in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.","କେବଳ ଜାତୀୟ, ରାଜ୍ୟ, ଜିଲ୍ଲା, ପ୍ରକଳ୍ପ ଏବଂ କ୍ଷେତ୍ର ସ୍ତରରେ ମନୋନୀତ ନୋଡାଲ ସ୍ତରର ଅଧିକାରୀମାନଙ୍କୁ ଦାସବୋର୍ଡକୁ ବ୍ୟବହାର କରିବା ପାଇଁ ଏକ ସ୍ୱତନ୍ତ୍ର ପ୍ରମାଣପତ୍ର ପ୍ରଦାନ କରାଯାଇଥାଏ ।","Only officials of the nodale level selected at the national, state, district, project and regional levels are issued a special certificate for using the dashboard."
What is the eligibility of a beneficiary?,ଜଣେ ହିତାଧିକାରୀଙ୍କ ଯୋଗ୍ୟତା କ'ଣ?,Or what is the eligibility of a beneficiary?
Who are the target userbase of Poshan Tracker App?,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ର ଲକ୍ଷ୍ୟ ରଖିଥିବା ବ୍ୟବହାରକାରୀ କିଏ ଅଟନ୍ତି?,Who is the target user of the Nutrition Tracker Appor?
"It often indicates recent and severe weight loss, although it can also persist for a long time","ଏହା ପ୍ରାୟତ ସାମ୍ପ୍ରତିକ ଏବଂ ଗୁରୁତର ଓଜନ ହ୍ରାସକୁ ସୂଚାଇଥାଏ, ଯଦିଓ ଏହା ମଧ୍ୟ ଦୀର୍ଘ ସମୟ ପର୍ଯ୍ୟନ୍ତ ରହିପାରେ |","Or it often indicates current and serious weight loss, although it can also last for a long time."
What is the minimum requirement to install Poshan Tracker App in mobile?,ମୋବାଇଲରେ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଇନଷ୍ଟଲ୍ କରିବାର ସର୍ବନିମ୍ନ ଆବଶ୍ୟକତା କଣ କଣ ରହିଛି?,What is the minimum requirement to install a nutrition tracker app on a mobile?
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastor Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.,or by downloading the 'Poshan Tracker' App from the Google Play Store.
The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.,"ନିମ୍ନଲିଖିତଗୁଡିକ ହେଉଛି ସେବା ସର୍ତ୍ତାବଳୀ (""ସର୍ତ୍ତାବଳୀ"") ଯାହାକି  https://poshantracker.","or The following are the Terms of Service (""Terms"") which are available at https://poshantracker.com/"
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in ରେ ହୋଷ୍ଟ ହୋଇଥିବା ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ପ୍ଲାଟଫର୍ମର ବ୍ୟବହାରକୁ ନିୟନ୍ତ୍ରଣ କରେ | ଏହାକୁ, ଏହାର ସହାୟକ ଏବଂ ଅନୁବନ୍ଧିତ (ସାମୂହିକ ଭାବରେ, ""ସାଇଟ୍"") |","The content tracker, hosted on inor, controls the use of the platform, it, its support and its affiliates (collectively, the ""site"")."
Clarification regarding Cost of Smart phones,ସ୍ମାର୍ଟ ଫୋନର ମୂଲ୍ୟ ସମ୍ବନ୍ଧରେ ସ୍ପଷ୍ଟୀକରଣ,Or clarification regarding the price of a smartphone.
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,ମିଳିମିଳା ଧାରଣକାରୀ ଟିକା (MCV) / ମିଳିମିଳା ଏବଂ ରୁବେଲା (MR) -1ଜାପାନିଜ ଏନସେଫାଲାଇଟିସ୍ (JE) -1**PCV- ବୁଷ୍ଟର୍,or the mildew-containing vaccine (MCV) /mildew and rubella (MR) -1Japanese encephalitis (JE) -1**PCV-booster.
Mobile number need to be validated within a week,ଏକ ସପ୍ତାହ ମଧ୍ୟରେ ମୋବାଇଲ୍ ନମ୍ବର୍ ବୈଧ ହେବା ଆବଶ୍ୟକ,The mobile number must be valid within one week.
Currently a beneficiary can register by the help of an AWW,ବର୍ତ୍ତମାନ ଜଣେ ହିତାଧିକାରୀ AWW ସାହାଯ୍ୟରେ ପଞ୍ଜିକରଣ କରିପାରିବେ,Now a beneficiary can register with AWW or help from AWW.
Awareness for Lactating Mother Complimentary Feeding for Children,ପିଲାମାନଙ୍କ ପାଇଁ ମାତୃ ସ୍ତନ୍ୟପାନ କରାଇବା ପାଇଁ ସଚେତନତା,Or awareness for babies to be breastfed by mothers.
New Poshan Tracker App - CSC-SPV Nodal Person,ନୂତନ ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ଆପ୍ - CSC-SPV ନୋଡାଲ୍ ବ୍ୟକ୍ତି,Or the new Nutrition Tracker app - CSC-SPV nodal person - is coming to you.
1.1. Information you provide to us.,1.1. ଆପଣ ଆମକୁ ପ୍ରଦାନ କରୁଥିବା ସୂଚନା |,1.1.or the information you provide us with.
How can one access Poshan Tracker Dashboard?,ଜଣେ କିପରି ପୋଷନ୍ ଟ୍ରାକର୍ ଦାସବୋର୍ଡକୁ ବ୍ୟବହାର କରିପାରିବେ?,How can one use the nutrition tracker dashboard?
Prevention of Anemia in children and adolescents girls,ଶିଶୁ ଏବଂ କିଶୋର ବାଳିକାମାନଙ୍କରେ ରକ୍ତହୀନତା ରୋକିବା,Preventing anemia in infants and young girls
Gangarampur Addl. I. C. D. S Project,ଗଙ୍ଗାରାମପୁର ଆଡିସନାଲ୍  ଆଇ. ସି. ଡି. ଏସ୍ ପ୍ରକଳ୍ପ,Gangarampur is an additional ICDS project.
Can a beneficiary register directly using application.,ଆପ୍ଲିକେସନ୍ ବ୍ୟବହାର କରି ଜଣେ ହିତାଧିକାରୀ ସିଧାସଳଖ ପଞ୍ଜିକରଣ କରିପାରିବେ କି|,Using the app or a beneficiary can directly register whether or not to use the app.
Weight should be between 0.90 to 58,ଓଜନ 0.90 ରୁ 58 ମଧ୍ୟରେ ହେବା ଉଚିତ୍,Weight should be between 0.90 and 58 pounds.
MPIN can be easily reset by any AWW/AWC user.,ଯେକୌଣସି ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ / ଏଡବ୍ଲ୍ୟୁସି ବ୍ୟବହାରକାରୀଙ୍କ ଦ୍ୱାରା ଏମ୍ପିଆଇଏନ୍କୁ ସହଜରେ ପୁନଃସେଟ୍ କରାଯାଇପାରିବ ।,The MPIN can be easily reset by any AWS/AWC user.
"You are required to click on Forgot MPIN, and enter your registered mobile number.",ଆପମହ୍କୁ ଭୁଲିଯାଇଥିବା ଏମ୍ପିଆଇଏନ୍ ଉପରେ କ୍ଲିକ୍ କରିବାକୁ ଏବଂ ଆପଣଙ୍କର ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବର ପ୍ରବେଶ କରିବାକୁ ପଡିବ ।,Or you'll have to click on the forgotten MPIN and enter your registered mobile number.
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,ଆପଣ ନିଜର ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବରରେ ଓଟିପି ପାଇବେ ଏବଂ ଆପଣ ଏମ୍ପିଆଇଏନ୍କୁ ସହଜରେ ପୁନଃସେଟ୍ କରିପାରିବେ ।,Or you will receive an OTP to your registered mobile number and you can easily reset the MPIN.
Please enter valid Date of Birth,ଦୟାକରି ବୈଧ ଜନ୍ମ ତାରିଖ ପ୍ରବେଶ କରନ୍ତୁ,Please enter a valid date of birth.
Who is eligible for additional supplementary food?,ଅତିରିକ୍ତ ସପ୍ଲିମେଣ୍ଟାରୀ ଖାଦ୍ୟ ପାଇଁ କିଏ ଯୋଗ୍ୟ?,Or who is eligible for supplemental nutrition?
How many different types of reports can be generated over Poshan Tracker Dashboard?,ପୋଷନ୍ ଟ୍ରାକର୍ ଦାସବୋର୍ଡରେ କେତେ ପ୍ରକାରର ରିପୋର୍ଟ ପ୍ରସ୍ତୁତ କରାଯାଇପାରିବ?,How many reports can be created on the nutrition tracker dashboard?
How to revive your health if you are Severely Wasted (SAM),କିପରି ତୁମର ସ୍ୱାସ୍ଥ୍ୟକୁ ପୁନର୍ଜୀବିତ କରିବେଯଦି ତୁମେ ଗୁରୁତର ଭାବରେ ନଷ୍ଟ ହୋଇଯାଅ (SAM),Or how to revive your health if you are seriously damaged (SAM)
"See assessment charts for Stunted, Wasted and Underweight parameters","ଷ୍ଟଣ୍ଟେଡ୍, ନଷ୍ଟ ହୋଇଥିବା ଏବଂ ଓଜନ କମ ପାରାମିଟରଗୁଡିକ ପାଇଁ ମୂଲ୍ୟାଙ୍କନ ଚାର୍ଟ ଦେଖନ୍ତୁ |","For stunted, damaged, and weight-loss parameters, see the rating chart."
Resources for growth monitoring and general awareness,ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ଏବଂ ସାଧାରଣ ସଚେତନତା ପାଇଁ ସମ୍ବଳ,Or resources for growth monitoring and public awareness.
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନଙ୍କୁ ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ରରେ ଉପସ୍ଥିତ ଭିତ୍ତିଭୂମି ସମ୍ବନ୍ଧୀୟ ବିବରଣୀ ପ୍ରବେଶ କରିବାକୁ ପଡିବ ଏଥିରେ ସଂରଚନା, ମୌଳିକ ସୁବିଧା, ସୁବିଧା, ପରିମଳ ବ୍ୟବସ୍ଥା, ପାନୀୟ ଜଳ ଇତ୍ୟାଦି ଅନ୍ତର୍ଭୁକ୍ତ ।","AWWs must enter details of the infrastructure at a specific Anganwadi centre, including infrastructure, infrastructure, facilities, sanitation, drinking water, etc."
Lactating mothers who received Take Home Ration (THR),ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମାତାମାନେ ଯେଉଁମାନେ ଘର ରାସନ (THR) ଗ୍ରହଣ କରିଥିଲେ,or breastfeeding mothers who received a home ration (THR).
What is the eligibility of a beneficiary?,ଜଣେ ହିତାଧିକାରୀଙ୍କ ଯୋଗ୍ୟତା କ'ଣ?,Or what is the eligibility of a beneficiary?
