eng,bn,translation_text
Poshan Tracker adds new Resources on Website,পোশান ট্র্যাকার ওযেবসাইট বৈশিষ্ট্যে নতুন সংস্থান যোগ করে,eng.bn Fashion Tracker adds new resource to the website feature
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","পোশান ট্র্যাকারের অধীনে প্রযুক্তিটি বৃদ্ধিতে বাধা, অপুষ্টি, শিশুদের মধ্যে কম ওজনের প্রাদুর্ভাব এবং পুষ্টি পরিষেবা সরবরাহের শেষ মাইল ট্র্যাকিংযের গতিশীল সনাক্তকরণের জন্য ব্যবহার করা হচ্ছে","eng.bn The technology under the clothing tracker is being used to dynamically detect growth barriers, malnutrition, low-weight outbreaks among children and last mile tracking of nutrition services delivery."
The System also takes feedback about system performance and experience.,সিস্টেমটি সিস্টেমের কর্মক্ষমতা এবং অভিজ্ঞতা সম্পর্কে মতামত নেয।,eng.bn The system takes feedback on the performance and experience of the system.
"Information on name, mobile number, date of registration and health status may be used for these purposes","নাম, মোবাইল নম্বর, নিবন্ধনের তারিখ এবং স্বাস্থ্যের স্থিতির তথ্য এই উদ্দেশ্যে ব্যবহার করা যেতে পারে","eng.name, mobile number, date of registration and health status information may be used for this purpose."
Tracking of services to the end beneficiary at a click of a button.,ব্যাস একটি বোতামের ক্লিকেই শেষ সুবিধাভোগী পর্যন্ত পরিষেবার ট্র্যাকিং।,eng.bnBase tracking of services to the last beneficiary with the click of a button.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","টেক হোম রেশন (THR) এবং গরম রান্না করা খাবার (HCM), শিশু এবং গর্ভবতী মহিলাদের জন্য টিকা প্রদানের মতো পরিষেবা","eng.bg Take home ration (THR) and hot cooked food (HCM), services like vaccination for babies and pregnant women"
"New Poshan Tracker App (13 January, 2021)","নতুন পশান ট্র্যাকার অ্যাপ (১৩ জানুযারী, ২০২১)","eng.bn new Passion Tracker app (January 13, 2021)"
Preventing illnesses to avert Malnutrition and Death,অপুষ্টি এবং মৃত্যু এডাতে অসুস্থতা প্রতিরোধ করা,eng.org - Preventing malnutrition and death.
Scan the QR Code to Download the App,অ্যাপটি ডাউনলোড করতে QR কোড স্ক্যান করুন, Scan the QR code to download the appbn.
Pregnant women who received Take Home Ration (THR),গর্ভবতী মহিলারা যারা টেক হোম রেশন (THR) পেযেছেন,engon wanita hamil yang telah mendapat rasio rumah tangga (THR)
General Awareness on SAM and MAM,SAM এবং MAM সম্পর্কে সাধারণ সচেতনতা, General awareness of SAMbn and MAM
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","না, কোনও বৈধ ইন্টারনেট সংযোগ ছাডা এই অ্যাপটি কাজ করে না।","eng, no valid internet connection shada This app does not work."
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,এই সংস্থাগুলি পোশান ট্র্যাকারের সাথে এই শর্তাদি সহ অবৈধ কার্যকলাপ বা তৃতীয পক্ষের অধিকার লঙ্ঘনকে উত্সাহিত বা প্রচার করতে APIs/ নো-কোড ওযেবপেজ ইন্টিগ্রেশন ব্যবহার করবে না।,eng.bnth These companies will not use API/no-code webpage integration to encourage or promote illegal activity or third party rights violation with clothing tracker including these terms.
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","গর্ভবতী মহিলা, স্তন্যদানকারী মা, 6 মাস থেকে 3 বছর বযসী শিশু এবং কিশোরী মেযেরা।","eng, ibu hamil, bayi umur 6 bulan 3 tahun, dan remaja mayaera."
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","নতুন পশান ট্র্যাকার অ্যাপঃ CSC-SPV নোডাল পারসান (০২ ফেব্রুযারি, ২০২১)", The new Passion Tracker app: CSC-SPV Nodal Person (02 February 2021)
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,একটি AWW একটি AWC থেকে অন্য AWC-তে তাদের আধার নম্বরের ভিত্তিতে স্থানান্তর করতে 'মাইগ্রেট বেনিফিশিযারি' বিকল্প ব্যবহার করতে পারেন।, An AWbnW can use the 'Migrat Beneficiary' option to transfer their AWCs from one AWC to another based on their Aadhaar number.
A beneficiary is eligible for HCM for at least 21 days in a month.,একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য HCM পাওযার যোগ্য।, A beneficiary is eligible for HCM for at least 21 days per month.
ABHA (Health ID) and its Benefits,ABHA (স্বাস্থ্য আইডি) এবং এর সুবিধা,eng (ABHAbn) and its benefits.
"We'ar sorry, the page you requested could not be found.","আমরা দুঃখিত, আপনি অনুরোধ করা পৃষ্ঠাটি পাওযা যাযনি।","eng, tapi tidak bisa menemukan halaman yang anda minta."
Dadra & Nagar Haveli - Daman & Diu,দাদরা ও নগর হাভেলি - দমন ও দিউ,eng Dadra and Nagar Haveli - Daman and Diu
Download Mobile App from Play Store,প্লে স্টোর থেকে মোবাইল অ্যাপ ডাউনলোড করুন, Download mobile app from the Playbn Store
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","উপরন্তু, যখনই আপনি সিস্টেমে আপনার অ্যাকাউন্ট বা এটি সম্পর্কিত কোনো তথ্য পরিবর্তন করেন বা অ্যাক্সেস করেন, আমরা একটি সুরক্ষিত সার্ভার ব্যবহারের প্রস্তাব দিই।","eng, kapan saja anda mengubah atau mengakses akun anda atau informasi yang berkaitan dengan akun tersebut, kami sarankan anda menggunakan server yang aman."
General Awareness on the Delivery of the child,সন্তান প্রসবের বিষযে সাধারণ সচেতনতা, General awareness of childbirth
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","এছাডাও আমরা আমাদের পরিষেবাগুলি পরিচালনা করার জন্য ডেটা ব্যবহার করি, যার মধ্যে রযেছে আমাদের কর্মক্ষমতা বিশ্লেষণ করা, আমাদের আইনি বাধ্যবাধকতা পূরণ করা, আমাদের কর্মশক্তির বিকাশ করা এবং গবেষণা করা।"," We also use data to run our services, including analyzing our performance, meeting our legal obligations, developing and researching our workforce."
Where can I enquire about Hot Cooked Meal?,আমি কোথায গরম রান্না করা খাবার সম্পর্কে জিজ্ঞাসা করতে পারি?,eng. - Kepiye carane bisa takon babagan masakan panas?
In how many languages AWW can enter the data while filling up the form?,ফরম পূরণের সময কতগুলি ভাষায AWW বা AWC তথ্য দেওযা যাবে ?,eng.jpg Kepiye carane bisa menehi informasi AWW utawa AWC ?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,যেসব শিশুদের মধ্যে পুষ্টির ঘাটতি চিহ্নিত করা হযেছে তারা অতিরিক্ত খাদ্য সম্পূরক পাওযার যোগ্য।,eng.org - Those children who have been diagnosed with malnutrition are eligible for supplemental nutrition.
An underweight person is a person whose body weight is considered too low to be healthy,একজন কম ওজনের ব্যক্তি হল সে যার শরীরের ওজন স্বাস্থ্যকর হওযার জন্য খুব কম বলে মনে করা হয,eng = orang yang berat badannya terlalu kecil untuk menjadi sehat.
When and how to use MPIN?,MPIN কখন এবং কীভাবে ব্যবহার করবেন?, When and how do you use MPINbn?
Ensuring that complementary feeding improves over time,পরিপূরক খাওযানো যাতে সমযের সাথে সাথে উন্নত হয তা নিশ্চিত করা,eng.org Supplemental feeding to ensure that it improves over time.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (স্বাস্থ্য আইডি) ব্যবহার করা আপনার এবং আপনার পরিবারের জন্য নিরাপদ এবং এটি দক্ষ ডিজিটাল স্বাস্থ্য রেকর্ড তৈরি করার জন্য প্রথম পদক্ষেপ।, Using ABHAbn (Health ID) is safe for you and your family and is the first step to creating an efficient digital health record.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (যা আগে স্বাস্থ্য আইডি নামে পরিচিত ছিল) হল আযুষ্মান ভারত স্বাস্থ্য অ্যাকাউন্টের সংক্ষিপ্ত রূপ।,eng (formerly known as Health ID) is the acronym for Ayushman Bharat Health Account.
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"AWW/AWCs কেবল নোডাল স্তরের কর্মকর্তা দ্বারা যুক্ত করা যেতে পারে।উপরের রাইনে যে কেউ হাযারায আছে জাতীয স্তরের ব্যবহারকারীরা যেমন রাজ্য, জেলা, প্রকল্প এবং খাত স্তরের ব্যবহারকারী তৈরি করতে পারে।রাজ্য স্তরের ব্যবহারকারীরা জেলা, প্রকল্প এবং খাত স্তরের ব্যবহারকারী তৈরি করতে পারে, জেলা স্তরের ব্যবহারকারী প্রকল্প এবং খাত স্তরের ব্যবহারকারী তৈরি করতে পারে, প্রকল্প স্তরের ব্যবহারকারী সেক্টর স্তরের ব্যবহারকারী তৈরি করতে পারবেন।","eng AWW/AWCs can only be added by a node-level official.Anyone on the upper Rhine who has a high-level can create user-level nationalities such as state, district, project and sector-level users.bn State-level users can create user-level users at district, project and sector level users can create user-level projects and sector-level users can create user-level projects and sector-level users can create user-level projects.bn"
Where can I enquire about take home ration?,বাডিতে নিযে যাওযার জন্য রেশনের ব্যাপারে আমি কোথায জিজ্ঞাসা করতে পারি?, Ke mana saya bisa tanya soal rasion untuk dibawa ke Badibun?
We use the information we collect from all our services for the following purposes:,আমরা নিম্নলিখিত উদ্দেশ্যে আমাদের সমস্ত পরিষেবা থেকে সংগ্রহ করা তথ্য ব্যবহার করিঃ, We use the information we collect from all our services for the following purposes:
Identification & Referral of Sick Newborn,অসুস্থ নবজাতকের সনাক্তকরণ ও রেফারেল,eng.net - Identification and referral of a sick newborn.net
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. তৃতীয পক্ষের সিস্টেম দ্বারা প্রদত্ত ডেটার সঠিকতা,eng.XIV.bn The accuracy of data provided by third party systems
Who is eligible for Take Home Ration?,কে বাডিতে নিযে যাওযার জন্য রেশনের পাওযার যোগ্য?,eng.org Siapa yang layak mendapat rasion untuk dibawa ke BADI?
Supporting mothers with issues in Breastfeeding,স্তন্যপান করানোযে সমস্যা আছে এমন মাযেদের জন্য সহাযতা,engebnpenyusuyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyangyang
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","প্রস্তাবিত সিস্টেমে নির্ধারিত সূচকগুলিতে সমস্ত AWC, AWW এবং সুবিধাভোগীদের রিযেল-টাইম মনিটরিং এবং ট্র্যাকিং সক্ষম করতে হবে।"," All AWC, AWW and beneficiaries must be enabled to real-time monitoring and tracking at the indices specified in the proposed system."
Above standards are defined as per given above mentioned age brackets,উপরের মানগুলি উপরে উল্লিখিত বযস বন্ধনী অনুসারে সংজ্ঞাযিত করা হযেছে,eng.bn The values above are defined according to the above-mentioned age bracket.
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","যদি একজন ব্যক্তির ওজন কম হয, তবে তার শরীর স্বাস্থ্যকর হাড, ত্বক এবং চুল গঠনের জন্য প্রযোজনীয পুষ্টি নাও পেতে পারে","eng, body may not receive the nutrients needed to produce healthy bones, skin, and hair."
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,MPIN-টি মোবাইল নম্বরটির জন্য একটি OTP অনুরোধের মাধ্যমে সংশ্লিষ্ট আঙ্গনবাদী কর্মী দ্বারা সেট করা যেতে পারে।,eng.mpin-bn-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.",যদি মোবাইল নম্বরটি ইতিমধ্যে ডেটাবেজে উপস্থিত থাকে তবে সংশ্লিষ্ট অঙ্গনওযাদী ব্যক্তি নিবন্ধিত মোবাইল নম্বরে ৪ ডিজিট OTP পাবেন।," If the mobile number is already in the database, the person concerned will receive a 4-digit OTP on the registered mobile number."
"Post entering the OTP, AWW can easily set customized MPIN.",OTP এন্টার করার পর AWW সহজেই কাস্টমাইজড MPIN সেট করতে পারেন।, AWW can easily set custom MPIN after entering OTPbn.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","এটি অংশগ্রহণকারী স্বাস্থ্যসেবা প্রদানকারীদের সাথে আপনার মিথস্ক্রিযাকে সক্ষম করে এবং আপনাকে আপনার ডিজিটাল ল্যাব রিপোর্ট, প্রেসক্রিপশন এবং নির্ণযের যাচাইকৃত স্বাস্থ্যসেবা পেশাদার এবং স্বাস্থ্য পরিষেবা প্রদানকারীদের কাছ থেকে নির্বিঘ্নে পেতে অনুমতি দেয।"," Enables your interaction with participating healthcare providers and allows you to receive your digital lab reports, prescriptions and diagnoses seamlessly from certified healthcare professionals and healthcare providers."
Our System provides API to Third – Party Sites that may collect your personal information.,আমাদের সিস্টেম তৃতীয পক্ষের সাইটগুলিকে API প্রদান করে যা আপনার ব্যক্তিগত তথ্য সংগ্রহ করতে পারে।,eng.bn system provides third party sites with API that may collect your personal information.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,পোশান ট্র্যাকার এই ধরনের তথ্য বা তাদের গোপনীযতা অনুশীলন বা ঐ তৃতীয পক্ষের সাইটের বিষযবস্তুর নিরাপত্তার জন্য কোনোভাবেই দাযী নয।, ClothingTracker is in no way responsible for the security of such information or their privacy practices or the toxic content of those third party sites.
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,এই তৃতীয পক্ষের পরিষেবা প্রদানকারী এবং তৃতীয পক্ষের সাইটগুলির নিজস্ব গোপনীযতা নীতি থাকতে পারে যা আপনার তথ্যের সঞ্চযস্থান এবং রক্ষা করা নিযন্ত্রণ করে যা আপনার সাপেক্ষে হতে পারে।, These third-party service providers and third-party sites may have their own privacy policies that control the storage and protection of your information that may be subject to your control.
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","এই গোপনীযতা নীতি এই তৃতীয-পক্ষ প্রদানকারী এবং তৃতীয পক্ষের সাইটগুলিতে সরবরাহ করা, সংরক্ষণ করা বা ব্যবহার করা কোনো তথ্য নিযন্ত্রণ করে না।"," This Privacy Policy does not control any information provided, stored or used on these third-party providers and third-party sites."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","আমরা সুপারিশ করি যে যখন আপনি একটি তৃতীয পক্ষের সাইটে প্রবেশ করেন, তখন আপনি তৃতীয পক্ষের সাইটের গোপনীযতা নীতি পর্যালোচনা করুন কারণ এটি আপনার তথ্যের সুরক্ষার সাথে সম্পর্কিত।"," We recommend that when you access a third party site, you review the third party site's privacy policy as it relates to the protection of your information."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,আপনি সম্মত এবং স্বীকার করছেন যে অনুসন্ধান ফলাফলে বা কোনো তৃতীয পক্ষের সাইট দ্বারা প্রকাশিত তথ্যের জন্য পোশান ট্র্যাকার দাযী হবে না।, You agree and acknowledge that DressTracker will not be liable for any information posted by any third party site in search results or any third party site.
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,আপনার রেফারেন্স আইডি (মোবাইল নম্বর) উপরের ধারা 1 অনুযাযী SMS এর মাধ্যমে আপনার সাথে যোগাযোগ করার জন্য শুধুমাত্র আপনার ব্যক্তিগত তথ্যের সাথে সহ-সম্পর্কিত হবে।,eng.id (nomor handphone) Reference ID (nomor handphone) will only be co-linked with your personal information to contact you via the above Section 1 Subsidized SMS.
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","সাইট পরিদর্শন বা ব্যবহার করে, আপনি স্পষ্টত এই শর্তাবলীতে সম্মত হন, যা সমযে সমযে আপডেট করা হয।"," By visiting or using the site, you expressly agree to these terms and conditions, which are updated from time to time."
"If you do not agree with any part of these terms, do not use the site.",আপনি যদি এই শর্তাবলীর কোন অংশের সাথে সম্মত না হন তবে সাইটটি ব্যবহার করবেন না।," If you do not agree to any part of these terms, do not use the site."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,আপনি কোনোভাবেই সাইটটি ব্যবহার করতে পারবেন না এবং শর্তাবলী গ্রহণ করতে পারবেন না যদি আপনি একটি বাধ্যতামূলক চুক্তি গঠনের জন্য আইনসম্মত বযসের না হন।, You cannot use the site in any way and accept the terms unless you are of legal age to enter into a binding agreement.
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,ব্যাসিলাস ক্যালমেট গুযেরিন (বিসিজি)ওরাল পোলিও ভ্যাকসিন (OPV)-0 ডোজ হেপাটাইটিস B বার্থ ডোজ OPV-1 T,eng (BCG)Oral polio vaccine (OPV)-0 dose of hepatitis B Birth dose OPV-1 Tbn
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","ধারা 1 এর অধীনে সংগৃহীত তথ্য, সুবিধাভোগীদের স্বাস্থ্য সুবিধার উদ্দেশ্যে ব্যবহার করা হবে।","eng artikel 1bn, data yang dikumpulkan akan digunakan untuk tujuan kesehatan pemegang manfaat."
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","আমরা আমাদের পণ্যগুলি সরবরাহ করি, যার মধ্যে সিস্টেমের তথ্য/ডেটা/ সামগ্রী এবং বিষযবস্তু আপডেট করা, সুরক্ষিত করা এবং সমস্যা সমাধান করা, সেইসাথে সহাযতা প্রদান করা অন্তর্ভুক্ত থাকে।","eng.co.uk - We provide our products, including system information/data/content and toxicity updating, securing and troubleshooting, as well as providing assistance."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","আপনি যখন পোশান ট্র্যাকার-এ রেজিস্টার করবেন, যে মোবাইল নম্বর দিযে আপনি রেজিস্টার করেছেন, সেটি ডাটাবেস থেকে আপনার রেকর্ড সনাক্ত করতে ব্যবহার করা হবে।","eng.bnWhen you register in a garment tracker, the mobile number you've registered will be used to identify your records from the database."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,এগুলি পোশান ট্র্যাকার সিস্টেমে নথিভুক্ত হেল্থ স্ট্যাটাস মূল্যাযন করতেও ব্যবহার করা যেতে পারে।,eng.org/>Even they can be used to assess the health status of the clothing tracker system.
Training on ICT Platform under POSHAN Abhiyaan,পোশান অভিযানের অধীনে আইসিটি প্ল্যাটফর্মে প্রশিক্ষণ,eng.cn Training in the ICT Platform under the Dress Campaign
"Know more about stunting, wasting and underweight","বৃদ্ধিতে বাধা, অপুষ্টি এবং কম ওজন সম্পর্কে আরও জানুন","eng, malnutrition, and weight loss."
What information to be added in AWC forms?,AWC ফর্মগুলিতে কোন তথ্য যুক্ত করতে হবে?, What information do I need to add to AWCbn forms?
How to revive your health if you are Moderately Wasted (MAM),আপনি যদি পরিমিতভাবে অপুষ্টির শিকার হযে থাকেন (MAM) তাহলে কীভাবে আপনার স্বাস্থ্যকে পুনরুজ্জীবিত করবেন," ""If you're moderately malnourished (MAM), how can you restore your health?"""
AWC Workers Registered In Last 30 Days,শেষ ৩০ দিনে এডাব্লুসি ওযার্কার্স রেজিস্ট্রেশন করা হযেছে," Over the past 30 billion days, there have been registered AWS Workers."
Click on above button to get this App,এই অ্যাপটি পেতে উপরের বোতামটিতে ক্লিক করুন,eng.exe Click on the button above to get this app.
Beneficiaries Registered In Last 30 Days,গত ৩০ দিনে নিবন্ধিত সুবিধাভোগী, The last 30 billion registered beneficiaries in the last 30 days.
Specifications of Smart phone and Technical Compatibility Testing,স্মার্টফোনের স্পেসিফিকেশন এবং প্রযুক্তিগত সামঞ্জস্য পরীক্ষা,eng.bn Smartphone specifications and technical compatibility testing
Preparation During Pregnancy - For NewBorn Care & Family Planning,গর্ভাবস্থায প্রস্তুতি - নবজাতকের যত্ন ও পরিবার পরিকল্পনার জন্য,engorganapreparation - for newborn care and family planning
Stunting is the impaired growth and development that children experience from poor nutrition,স্টান্টিং হল বৃদ্ধি এবং বিকাশে বাধা অপুষ্টির কারণে শিশুরা যার শিকার হয,eng = Stunting is the practice of growing and developing children who are victims of malnutrition due to developmental disabilities.
Children in the age group of 3 years to 6 years,3 বছর থেকে 6 বছর বযসী শিশুরা,eng.org - 3 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6 - 6
What is the eligibility of a beneficiary?,একজন সুবিধাভোগীর কি যোগ্যতা থাকতে হবে?,eng.co.id - A beneficiary must be qualified?
Who are the target userbase of Poshan Tracker App?,পশান ট্র্যাকার অ্যাপের টার্গেট ব্যবহারকারী বেস কারা?,eng.bnPushTracker App's target user base is who?
"It often indicates recent and severe weight loss, although it can also persist for a long time","এটা সাম্প্রতিক এবং গুরুতর ওজন হ্রাস নির্দেশ করে, যদিও এটি দীর্ঘ সমযের জন্যও চলতে পারে"," This indicates recent and serious weight loss, although it can last for a long time."
What is the minimum requirement to install Poshan Tracker App in mobile?,মোবাইলে পশান ট্র্যাকার অ্যাপটি ইনস্টল করার জন্য ন্যূনতম প্রযোজনীযতা কী?,eng.bn What is the minimum productivity to install the Passion Tracker app on mobile?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,আপনি শুধুমাত্র ডকুমেন্টেশনে বর্ণিত উপাযে সাইটটি অ্যাক্সেস (বা অ্যাক্সেস করার চেষ্টা) করবেন এবং এই চুক্তির শর্তাবলী মেনে চলবেন।,eng.org - You will only access (or attempt to access) the site in the manner described in the documentation and will be bound by the terms of this agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","আপনি সমস্ত কেন্দ্রীয ও রাজ্য আইন, আপনার এবং আপনার সাইটের ব্যবহার এবং কোনও তৃতীয পক্ষের অধিকারকে প্রভাবিত করার জন্য প্রযোজ্য নিযম এবং প্রবিধানগুলি মেনে চলবেন।"," You must comply with all federal and state laws, applicable rules and regulations to affect your and your site use, and any third party rights."
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,eng.org - You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store., or by downloading 'Poshan Tracker' App from Google Play Store.
Clarification regarding Cost of Smart phones,স্মার্ট ফোনের খরচ সংক্রান্ত ব্যাখ্যা, Smartphone cost explanation
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,হামের ভ্যাকসিন (MCV)/হাম ও রুবেলা (MR)-1জাপানিজ এনসেফালাইটিস (জেই)-1**PCV-বুস্টার,eng.bn Hamer Vaccine (MCV)/Ham and Rubella (MR)-1Japanese Encephalitis (JE)-1**PCV-Booster
Mobile number need to be validated within a week,মোবাইল নম্বরটি এক সপ্তাহের মধ্যে যাচাই করতে হবে, The mobile number must be verified within a week.
Currently a beneficiary can register by the help of an AWW,বর্তমানে একজন সুবিধাভোগী AWW এর সাহায্যে নিবন্ধন করতে পারেন," Currently, a billionaire beneficiary can register using AWW."
Awareness for Lactating Mother Complimentary Feeding for Children,শিশুদের জন্য স্তন্যদানকারী মাযেদের পরিপূরক খাওযানোর বিষযে সচেতনতা,eng.org - Awareness of supplemental feeding of breastfeeding mothers for infants
New Poshan Tracker App - CSC-SPV Nodal Person,নতুন পোশান ট্র্যাকার অ্যাপ - CSC-SPV নোডাল ব্যক্তি,eng.bn new clothing tracker app - CSC-SPV nodal person
1.1. Information you provide to us.,1.1. যে তথ্য আপনি আমাদের প্রদান করেন।,eng.1.1bn of the information you provide us.
How can one access Poshan Tracker Dashboard?,কীভাবে কেউ পশান ট্র্যাকার ড্যাশবোর্ড অ্যাক্সেস করতে পারে?, How can anyone access the Push Tracker dashboard?
Prevention of Anemia in children and adolescents girls,শিশু এবং কিশোরী মেযেদের মধ্যে রক্তাল্পতা প্রতিরোধ,eng.bn Preventing blood clots in children and teenagers
Gangarampur Addl. I. C. D. S Project,গঙ্গারামপুর অ্যাডিশনাল  আই. সি. ডি. এস. প্রকল্প,engrampur additional icds project
Can a beneficiary register directly using application.,একজন সুবিধাভোগী কি অ্যাপ্লিকেশনটি ব্যবহার করে সরাসরি নিবন্ধন করতে পারেন।,eng.org - A beneficiary can register directly using the application using the application.
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,মহিলা ও শিশু উন্নযন মন্ত্রণালয পশান ট্র্যাকার আবেদনটি কার্যকর করেছে।,"eng.co.uk, Ministry of Women and Child Development, has implemented the Pashan Tracker application."
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.","লক্ষ্যটি হ'ল মাতৃ এবং শিশুদের অপুষ্টি বৃদ্ধির উন্নযনের জন্য পুষ্টি ব্যবস্থা জোরদার করার পদ্ধতি অনুসরণ করা, যা সমস্ত স্তরে বাস্তবাযনের বাধা জোরদার করার দিকে দৃষ্টি নিবদ্ধ করে।","eng.bn The goal is to follow a methodology to strengthen nutrition to promote maternal and child malnutrition growth, which focuses on strengthening the barriers to implementation at all levels."
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.","পোশান ট্র্যাকারটি কেন্দ্রীযভাবে ডেটা আর্কিটেকচার ব্যবহার করে নির্মিত হযেছে, যা অন্যান্য মন্ত্রক এবং প্রোগ্রামগুলির ডিজিটাল প্রযুক্তি সিস্টেমগুলির সাথে একত্রিত হয।","eng.bn The Dress Tracker is built using a centralized data architecture, which is integrated with digital technology systems of other ministries and programs."
