eng,hi,mBART600M
Where can I enquire about Hot Cooked Meal?,मैं गर्म पके हुए भोजन के बारे में कहाँ से पूछताछ कर सकता हूँ?,Where can I inquire about hot cooked food?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","इस साइट में अन्य वेबसाइटों के लिंक भी पाए जा सकते हैं जिनका स्वामित्व, रखरखाव या संचालन हमारे पास नहीं भी हो सकता है।","This site also contains links to other websites that we may not own, maintain or operate."
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","इसके पीछे का तथ्य यह है कि ये वेबसाइटें हमारी साइटों से जुडी हुई जरूर होती हैं, लेकिन इन वेबसाइटों पर हमारा कोई नियंत्रण नहीं होने के कारण, इन वेबसाइटों को हमारी ओर से किसी भी प्रकार का भी समर्थन प्राप्त नहीं होता है।","The reason behind this is that these websites are linked to our sites, but because we have no control over these websites, these websites do not receive any support from us."
We are not responsible for these websites including any content or the privacy practices of these websites.,हम इन वेबसाइटों की गोपनीय अभ्यासों या किसी भी प्रकार की सामग्री के लिए उत्तरदायी नहीं हैं।,We are not responsible for the confidentiality practices or content of these websites.
We strongly encourage you to familiarize yourself with the terms of use of these websites.,हम आपको इन वेबसाइटों के उपयोग की शर्तों से हमेशा अवगत रहने का अनुरोध करते हैं।,We urge you to always be aware of the terms of use of these websites.
Your use of these websites is at your own risk and peril.,इन वेबसाइटों का उपयोग आपके स्वयं के जोखिम उठाने पर निर्भर है।,The use of these websites is at your own risk.
In how many languages AWW can enter the data while filling up the form?,फॉर्म भरते समय एडब्ल्यूडब्ल्यू या एडब्ल्यूसी कितनी भाषाओं में डेटा दर्ज कर सकती है?,"When filling out a form, how many languages can the AWS or the AWSC enter data in?"
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।,Children identified as malnourished children are eligible for supplemental nutrition.
An underweight person is a person whose body weight is considered too low to be healthy,एक कम वजन वाला व्यक्ति वह व्यक्ति होता है जिसके शरीर का वजन स्वस्थ होने के लिए बहुत कम माना जाता है,A low-weight person is someone whose body weight is considered too low to be healthy.
When and how to use MPIN?,एमपीआईएन कब और कैसे इस्तेमाल करें?,When and how should I use MhiPIN?
Ensuring that complementary feeding improves over time,समय के साथ पूरक आधार की सुनिश्चिता करना,Ensuring that the supplementary base is maintained over time.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA के उपयोग द्वारा आपके और आपके परिवार के लिए (स्वास्थ्य पहचान पत्र) सुरक्षित और सक्षम डिजिटल स्वास्थ्य और अभिलेखों को संरक्षित करने की दिशा में उठाया गया पहला कदम है।,Using ABHI is the first step towards protecting safe and efficient digital health and records for you and your family.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (पहले स्वास्थ्य पहचान पत्र के नाम से जाना जाता था) आयुष्मान भारत का संक्षिप्त रूप है।,ABhi (formerly known as Health ID) is an acronym for Ayushman Bharat.
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"एडब्ल्यूडब्ल्यू / एडब्ल्यूसी को केवल नोडल स्तर के अधिकारी द्वारा जोडा जा सकता है।पदानुक्रम में ऊपर की ओर कोई भी।राष्ट्रीय स्तर के उपयोगकर्ता के रूप में राज्य, जिला, परियोजना और क्षेत्र स्तर उपयोगकर्ता बना सकते हैं।राज्य स्तर का उपयोगकर्ता जिला, परियोजना और क्षेत्र स्तर का उपयोगकर्ता बना सकता है, जिला स्तर का उपयोगकर्ता परियोजना और क्षेत्र स्तर का उपयोगकर्ता बना सकता है, परियोजना स्तर का उपयोगकर्ता क्षेत्र का उपयोगकर्ता बना सकता है।","HI AWW/AWC can only be added by a node-level official.Anyone upstream in the hierarchy.As a national user, state, district, project, and region-level users can create state, district, project, and region-level users.A state-level user can create a district, project, and region-level user, a district-level user can create a project and region-level user, a project-level user can create a user of the region."
Where can I enquire about take home ration?,मैं टेक होम राशन के बारे में कहाँ पूछ सकता हूँ?,Where can I ask about Tech Home Ration?
We use the information we collect from all our services for the following purposes:,हम अपनी सेवाओं द्वारा प्राप्त सूचनाओं के संग्रहण का उपयोग निम्नलिखित उद्देश्यों के लिए करते हैंः,We use the collection of information obtained through our services for the following purposes:
Identification & Referral of Sick Newborn,संदर्भित बीमार नवजात की पहचान,The identification of the sick newborn referred to is
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. तीसरे पक्ष के सिस्टम द्वारा प्रदत आँकडों की सत्यता,XIVhi. The veracity of statistics provided by third-party systems.
Who is eligible for Take Home Ration?,टेक होम राशन के लिए कौन पात्र है?,Who is eligible for Tech Home Ration?
Supporting mothers with issues in Breastfeeding,स्तनपान कराने में अक्षम महिलाओं के लिए सहायता प्रदान करने वाली माताएँ,Mothers who provide support for women with disabilities in breastfeeding.
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","प्रस्तावित प्रणाली को सभी एडब्ल्यूसी, एडब्ल्यू डब्ल्यू और लाभार्थियों को परिभाषित संकेतक पर वास्तविक समय की निगरानी और समझना सक्षम करना चाहिए।","The proposed system should enable real-time monitoring and understanding of all AWS, AWS and beneficiaries at the defined indicator."
Above standards are defined as per given above mentioned age brackets,कोष्ठक में दिए गए आयु अनुसार उपरोक्त मानक परिभाषित हैं,The above standards are defined according to the age given in the bracelet.
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","यदि कोई व्यक्ति कम वजन का है, तो हो सकता है कि उसके शरीर को स्वस्थ हड्डियों, त्वचा और बालों के निर्माण के लिए आवश्यक पोषक तत्व नहीं मिल रहे हों","If a person is underweight, his body may not be getting the nutrients needed to build healthy bones, skin, and hair."
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,एमपीआईएन को संबंधित आंगनवाडी कार्यकर्ता द्वारा अपने मोबाइल नंबर पर ओटीपी के लिए अनुरोध किया जा सकता है।,MPIN may be requested by the concerned Anganwadi worker for OTP on their mobile number.
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","यदि मोबाइल नंबर पहले से ही डेटाबेस में मौजूद है, तो संबंधित आंगनवाडी व्यक्ति को पंजीकृत मोबाइल नंबर पर 4 अंकों का ओटीपी प्राप्त होगा।","If the mobile number already exists in the database, the respective Anganwadi person will receive a 4-digit OTP on the registered mobile number."
"Post entering the OTP, AWW can easily set customized MPIN.","ओटीपी दर्ज करने के बाद, एडब्ल्यूडब्ल्यू आसानी से अनुकूलित एमपीआईएन निर्धारित कर सकता है।","After entering the OTP, the WW can easily set a custom MPIN."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","यह आपके स्वास्थ्य प्रदाता के साथ आपको व्यवहार्य कुशल बनाता है, और आपको सत्यापित स्वास्थ्य पेशवरों और स्वास्थ्य प्रदाताओं से मूल रूप से डिजिटल स्वास्थ्य अभिलेखों, पर्चियों एवं निदानों को प्राप्त करने की अनुमति प्रदान करता है।","This makes you viably efficient with your healthcare provider, and allows you to access digital health records, prescriptions, and diagnoses in the original form from verified healthcare professionals and healthcare providers."
Our System provides API to Third – Party Sites that may collect your personal information.,"हमारी प्रणाली तृतीय-पक्ष की साइटों को API प्रदान करती है, जो आपकी व्यक्तिगत सूचना को एकत्र कर सकती है।","Our system provides API to third-party sites, which may collect your personal information."
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,"पोषण ट्रैकर, ऐसी सूचना या उनकी गोपनीयता अभ्यासों या उन तृतीय-पक्ष के साइटों की सामग्री की सुरक्षा के लिए किसी भी प्रकार से उत्तरदायी नहीं है।",Nutrition Tracker is not responsible for the protection of such information or their privacy practices or the content of those third-party sites in any way.
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,"इस तीसरे-पक्ष की सेवा प्रदाताओं और तृतीय-पक्ष की साइटों की अपनी गोपनीयता नीतियाँ हो सकती हैं, जो आपकी सूचना के संग्रहण और प्रतिधारण को नियंत्रित करती हैं, जिसके आप अधीन हो सकते हैं।","These third-party service providers and third-party sites may have their own privacy policies, which govern the collection and retention of your information, to which you may be subject."
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","यह गोपनीयता नीति इन तीसरे-पक्ष के प्रदाताओं और तीसरे-पक्ष की साइटों द्वारा प्रदत, संग्रहीत या उपयोग की जाने वाली किसी भी सूचना को नियंत्रित नहीं करती है।","This Privacy Policy does not govern any information provided, stored or used by these third-party providers and third-party sites."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","हम अनुशंसा करते हैं कि किसी तीसरे-पक्ष की साइट में प्रवेश करने से पहले आप उस तीसरे पक्ष के साइट की गोपनीयता नीति की समीक्षा कर लें, क्योंकि यह आपकी सूचना की सुरक्षा से संबंधित है।","We recommend that you review the privacy policy of that third party site before accessing a third-party site, as it concerns the security of your information."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,आप पोशन ट्रैकर खोज परिणामों में या किसी तीसरे पक्ष की साइट द्वारा प्रकाशित सूचना के लिए उत्तरदायी नहीं होने वाले मामलें में अपनी सहमति और स्वीकृति दोनों प्रदान करते हैं।,APPHI POSITION TRACKER provides both its consent and approval in cases where it is not responsible for information published in search results or by a third party site.
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,उपरोक्त खंड 1 के अनुसार SMS के माध्यम से आपसे संवाद करने के लिए आपकी संदर्भित आईडी (मोबाइल नंबर) केवल आपकी व्यक्तिगत सूचना के साथ सह-संबंधित होगी।,"According to Section 1 above, the ID (mobile number) you refer to to communicate with you via SMS will only be co-related with your personal information."
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","हमारी साइट पर आकर इसका उपयोग करने का सामान्य अर्थ यह निकाला जाता है कि, आप हमारे द्वारा सामयिक आधार पर किए जाने वाले अद्यतन से संबंधित शर्तों के प्रति अपनी सहमति व्यक्त करते हैं।","The general meaning of visiting our site and using it is derived from the fact that, you agree to the terms and conditions relating to the update we make on a periodic basis."
"If you do not agree with any part of these terms, do not use the site.","यदि आप इन शर्तों के किन्हीं भाग से सहमत नहीं हैं, तो कृपया, इस साइट का उपयोग न करें।","If you do not agree to any part of these terms, please do not use this site."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,"यदि आप अनुबंध के लिए आवश्यक कानूनी पात्रता पूरी नहीं करते हैं, तो आप हमारी साइट या इससे संबंधित किसी शर्त का उपयोग नहीं कर सकते हैं।","If you do not meet the legal eligibility requirements for the contract, you may not use our site or any terms related to it."
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,बेसिलस कैलमेट गुएरिन (BCG)ओरलपोलियो टीकाकरण (OPV)-0 डोज जन्म के समय हेपेटाइटिस B का OPV-1 का डोज,Bacillus Calmetin Guerin (BCG)Oralpolio vaccination (OPV)-0 dose at birth of the OPV-1 dose of hepatitis B at birth
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",लाभार्थियों के स्वास्थ्य को सुविधाजनक बनाने के उद्देश्य से खंड 1 के तहत एकत्र की गई सूचना का उपयोग किया जाता है।,The information collected under Section 1 is used to facilitate the health of beneficiaries.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","हम अपने उत्पाद में सिस्टम की सूचना/आँकडा/सामग्री और सामग्री को अपडेट करना, सुरक्षित करना और समस्या के निवारण आदि के साथ-साथ सहायता प्रदान करना भी शामिल है।","We include system information/statistics/content and content in our product to update, secure and troubleshoot, etc., as well as provide assistance."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","जब आप पोशन ट्रैकर पर पंजीकरण करते हैं, तो जिस मोबाइल नंबर से आपने पंजीकरण किया है, उसका उपयोग डेटाबेस से आपके रिकॉर्ड का पता लगाने के लिए किया जाता है।","When you register on a Position Tracker, the mobile number you registered with is used to track your records from the database."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,इनका उपयोग पोशन ट्रैकर प्रणाली में दर्ज स्वास्थ्य स्थिति का आकलन करने के लिए भी किया जा सकता है।,They can also be used to assess the health status recorded in the nutrition tracker system.
Training on ICT Platform under POSHAN Abhiyaan,पोषण अभियान के तहत ICT प्लैटफार्म पर प्रशिक्षण,Training on ICThi platform under the Nutrition Campaign
"Know more about stunting, wasting and underweight","स्टंटिंग, वेस्टिंग और कम वजन के बारे में और अधिक जाने","Learn more about stunting, wasting, and weight loss."
What information to be added in AWC forms?,एडब्ल्यूसी फॉर्म में कौन सी जानकारी जोडी जानी चाहिए?,What information should be added to the AHIC form?
How to revive your health if you are Moderately Wasted (MAM),"यदि आप मध्यम रूप से बीमार (एमएएम) हैं, तो अपने स्वास्थ्य को पुनर्जीवित कैसे करें","If you are moderately ill (MAM), how can you restore your health?"
AWC Workers Registered In Last 30 Days,AWC कार्यकर्ता पिछले 30 दिनों में पंजीकृत है,AhiWC worker has been registered in the last 30 days.
Click on above button to get this App,इस ऐप को प्राप्त करने के लिए उपरोक्त बटन पर क्लिक करें,"To access this app, click on the button above."
Beneficiaries Registered In Last 30 Days,लाभार्थी अंतिम 30 दिनों में पंजीकृत हैं,The beneficiaries of the scheme have been registered in the last 30 days.
Specifications of Smart phone and Technical Compatibility Testing,स्मार्ट फोन के विनिर्देश और तकनीकी संगतता परीक्षण,Specification and technical compatibility testing of smart phones
Preparation During Pregnancy - For NewBorn Care & Family Planning,गर्भावस्था के दौरान की जाने वाली तैयारी- नवजातों की देखभाल और परिवार नियोजन के संदर्भ में,Preparations during pregnancy- in terms of caring for newborns and family planning.
Stunting is the impaired growth and development that children experience from poor nutrition,"बौनापन बिगडा हुआ विकास और वृद्धि है, जो बच्चे में खराब पोषण के कारण होता है","Dwarfism is impaired growth and development, caused by poor nutrition in the baby."
Children in the age group of 3 years to 6 years,3-6 वर्ष तक की आयु वाले बच्चे,Children from 3-6 years of age
What is the eligibility of a beneficiary?,लाभार्थी की पात्रता क्या है?,What is the eligibility of the beneficiary?
Who are the target userbase of Poshan Tracker App?,पोषण ट्रैकर ऐप के टारगेट यूजरबेस कौन हैं?,Who is the target user base of the Nutrition Tracker app?
"It often indicates recent and severe weight loss, although it can also persist for a long time","यह अक्सर तात्कालिक और गंभीर वजन घटाने का संकेत देता है, हालाँकि, यह लंबे समय तक भी बना रह सकता है","It often indicates immediate and severe weight loss, however, it can persist for a long time."
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाइल में पोषण ट्रैकर ऐप इंस्टॉल करने के लिए न्यूनतम आवश्यकता क्या है?,What is the minimum requirement to install Nutrition Trackerhi app on mobile?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,आप साइट तक केवल दस्तावेजों में वर्णित माध्यमों से पहुँच (या एक्सेस करने का प्रयास) प्राप्त कर सकेंगे एवं इस अनुबंध के नियमों और शर्तों का पालन भी करेंगे।,You will only be able to access (or attempt to access) the site through the means described in the documents and you will also comply with the terms and conditions of this agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","आप आपके साइटों के उपयोग पर लागू होने वाले या किसी भी तीसरे पक्ष के अधिकारों को प्रभावित करने वाले सभी केंद्रीय एवं राज्य कानूनों, नियमों और विनियमों का पालन करेंगे।","You will comply with all applicable federal and state laws, regulations and regulations that apply to your use of the sites or affect the rights of any third party."
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.,In or by downloading the 'Poshi Tracker' App from the Google Play Store.
Clarification regarding Cost of Smart phones,स्मार्ट फोन की लागत के संदर्भ में स्पष्टीकरण,Explanation in terms of the cost of a smart phone
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,खसरा युक्त टीका (MCV) / खसरा और रूबेला (MR) -1जापानी इंसेफेलाइटिस (JE)-1**PCV-बूस्टर,The measles-containing vaccine (MCV) / measles and rubella (MR) -1Japanese encephalitis (JE)-1**PCV-booster
Mobile number need to be validated within a week,मोबाइल नंबर को एक सप्ताह के अंदर सत्यापित करने की आवश्यकता है,The mobile number needs to be verified within a week.
Currently a beneficiary can register by the help of an AWW,"वर्तमान में, एक लाभार्थी आँगनवाडी कार्यकर्ता की सहायता से पंजीकरण करा सकता है","Currently, a beneficiary can register with the help of an Ahanganiwadi worker."
Awareness for Lactating Mother Complimentary Feeding for Children,बच्चों को स्तनपान कराने वाली महिलाओं के पूरक आहार के बारे में जागरूकता,Raising awareness about dietary supplements for women who are breastfeeding their babies
New Poshan Tracker App - CSC-SPV Nodal Person,नया पोषण ट्रैकर एप्प-CSC-SPV नोडल व्यक्ति,The new nutrition tracker apphi-CSC-SPV is a nodal person.
1.1. Information you provide to us.,1.1. आपके द्वारा प्रदत सूचना।,1.1.hi Information provided by you.
How can one access Poshan Tracker Dashboard?,पोषण ट्रैकर डैशबोर्ड तक कोई कैसे पहुंच सकता है?,How can anyone access the nutrition tracker dashboard?
Prevention of Anemia in children and adolescents girls,बच्चों और किशोरियों में होने वाली रक्त की कमी से बचाव,It is a prevention of blood loss in children and adolescents.
Gangarampur Addl. I. C. D. S Project,गंगारामपुर अडिशनल  आईसीडीएस परियोजना,Gangairampur is the Additional ICDS project.
Can a beneficiary register directly using application.,क्या कोई लाभार्थी आवेदन के उपयोग द्वारा सीधे पंजीकरण कर सकता है।,Can a beneficiary register directly by using the application?
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,महिला और बाल विकास मंत्रालय ने पोषण ट्रैकर एप्लिकेशन को शुरू किया है।,The Ministry of Women and Child Development has launched the Nutrition Tracker app.
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.","लक्ष्य पोषण प्रणाली का पालन करना है जो मातृ और बच्चे के पोषण में सुधार के लिए दृष्टिकोण को मजबूत कर रही है, सभी स्तरों पर कार्यान्वयन बाधाओं को मजबूत करने पर ध्यान केंद्रित किया गया है।","The goal is to follow a nutrition system that is strengthening the approach to improving maternal and child nutrition, focusing on strengthening implementation barriers at all levels."
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.","पोषण ट्रैकर को केंद्रीकृत डेटा आर्किटेक्चर का उपयोग करके बनाया गया है, जो अन्य मंत्रालयों और कार्यक्रमों की डिजिटल प्रौद्योगिकी प्रणालियों के साथ भी संरेखित करता है।","The Nutrition Tracker is designed using a centralized data architecture, which also aligns other ministries and programs with digital technology systems."
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.","सिस्टम डिजिटल कार्ड के माध्यम से प्रत्येक लाभार्थी को एक डिजिटल पहचान प्रदान करता है, और प्रौद्योगिकी मंच के साथ कॉल सेंटर के अभिसरण की अनुमति देता है।","The system provides each beneficiary with a digital identity through a digital card, and allows the convergence of the call center with the technology platform."
The system generates automated alerts to the critical last-mile beneficiaries.,सिस्टम महत्वपूर्ण अंतिम-मील लाभार्थियों के लिए स्वचालित अलर्ट उत्पन्न करता है।,The system generates automatic alerts for the important final-mile beneficiaries.
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.",यह लाभार्थियों और ड्यूटी बियरर की वास्तविक समय उपस्थिति का दस्तावेजीकरण करके वितरण प्रणाली की कुशल ऑडिट सुनिश्चित करता है।,It ensures efficient auditing of the distribution system by documenting the real-time presence of the beneficiaries and the duty bearer.
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.","इस तरह के एक मजबूत डिजिटल प्रौद्योगिकी मंच और प्रबंधन सूचना प्रणाली, मिशन को कुशलतापूर्वक पैमाने पर लाने में मदद करेगी, जिससे महत्वपूर्ण सकारात्मक प्रभाव उत्पन्न और दस्तावेज होगा।","Such a strong digital technology platform and management information system will help to scale the mission efficiently, generating significant positive impact and documenting."
Weight should be between 0.90 to 58,वजन 0.90 सँ 58 केर बीच होयबाक चाही,The weight should be between 0.90 and 58 kg.
We own the intellectual property rights in the Site and Content.,हमारे पास बौद्धिक संपदा अधिकारों के तहत साइट और उसकी सामग्री का स्वामित्व प्राप्त है।,We own the site and its content under intellectual property rights.
We may change the Content and features of the Site at any time.,हम किसी भी समय साइट की सामग्री और सुविधाओं में परिवर्तन कर सकते हैं।,We may change the content and features of the site at any time.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.","इस साइट पर प्रदर्शित पंजीकृत और अपंजीकृत ट्रेडमार्क, प्रतीक चिह्न और सेवा चिह्न हमारे या हमारे लाइसेंसकर्ताओं के स्वामित्व के अधीन है।","The registered and unregistered trademarks, tokens and service tokens displayed on this site are subject to our ownership or that of our licensors."
"You may not use our trademarks, logos, and service marks in any way without our prior written permission.","आप हमारी पूर्व लिखित अनुमति के बिना किसी भी प्रकार से अपने ट्रेडमार्क, प्रतीक चिह्नों और सेवा चिह्नों का उपयोग नहीं कर सकते हैं।","You may not use your trademarks, tokens and service tokens in any way without our prior written permission."
Material featured on this website may be reproduced free of charge.,इस वेबसाइट पर प्रदर्शित सामग्री को बिना किसी अतिरिक्त शुल्क के पुनः प्रस्तुत किया जा सकता है।,The content displayed on this website can be reproduced without any additional charge.
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.",किसी भी प्रकाशित या दूसरों को निर्गत की जा सामग्री के स्रोत को प्रमुखता से स्वीकार किया जाना चाहिए।,The source of any published or otherwise released material should be taken with a high priority.
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","हालाँकि, किसी तीसरे पक्ष के कॉपीराइट के रूप में पहचाने जाने वाली सामग्री को पुनः पेश करने की अनुमति किसी भी सामग्री तक विस्तारित नहीं होगी।","However, permission to reproduce content identified as copyrighted by a third party will not extend to any content."
MPIN can be easily reset by any AWW/AWC user.,एमपीआईएन को किसी भी एडब्ल्यूडब्ल्यू / एडब्ल्यूसी उपयोगकर्ता द्वारा आसानी से दोबारा निर्धारित किया जा सकता है।,The MHIPIN can be easily reset by any AWW/AWC user.
"You are required to click on Forgot MPIN, and enter your registered mobile number.","आपको भूल गए एमपीआईएन पर क्लिक करना होगा, और अपना पंजीकृत मोबाइल नंबर दर्ज करना होगा।","You'll need to click on the forgotten MPIN, and enter your registered mobile number."
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,आपको अपने पंजीकृत मोबाइल नंबर पर ओटीपी प्राप्त होगा और आप अपने एमपीआईएन को आसानी से दोबारा निर्धारित कर सकते हैं।,You will receive an OTP to your registered mobile number and you can easily reset your MPIN.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,पोषण ट्रैकर को आँगनवाडी कार्यकर्ताओं के उत्तम सेवा वितरण के साथ कार्यों के बेहतर प्रदर्शन के लिए प्रदान किया गया है।,The Ahangwani workers have been provided with the AHI Nutrition Tracker to better perform tasks with better service delivery.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,यह पोषण अभियान के तहत महत्वपूर्ण और लाभार्थी केन्द्रित सेवा वितरण एप्लिकेशन है जो वास्तविक समयावधि के साथ विश्लेषण को भी प्रोत्साहित करेगा।,It is an important and beneficiary-focused service delivery application under the Nutrition Campaign which will also encourage real-time analysis.
Please enter valid Date of Birth,"कृपया, मान्य जन्मतिथि दर्ज करें",Please enter a valid date of birth.
Who is eligible for additional supplementary food?,अतिरिक्त पूरक आहार के लिए कौन पात्र है?,Who is eligible for supplemental nutrition?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.",हम आपको बिना बताए साइट के किसी भी भाग को संलग्न करने या हटाने या उसमें सशर्त परिवर्तन या संशोधन करने से संबंधित अधिकार को सुरक्षित रखते हैं।,We reserve the right to attach or remove any part of the site or to make conditional changes or amendments to it without informing you.
Any changes or updates will be effective immediately.,किसी भी प्रकार के परिवर्तन और अद्यतन को त्वरित रूप से प्रभावशाली माना जाएगा।,Any changes and updates will be considered effective immediately.
You take the responsibility to check these Terms of Use periodically for changes.,यह आपका उत्तरदायित्व है कि आप सामयिक आधार पर शर्तों के उपयोग में होने वाले परिवर्तनों की जाँच करते रहें।,It is your responsibility to keep checking for changes in the use of the Terms on a periodic basis.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,हमारी साइट के पुनरीक्षण के बाद आपके द्वारा उसका निरंतर उपयोग हमारी संशोधित शर्तों के प्रति आपकी स्वीकृति को प्रदर्शित करता है।,Your continued use of our site after reviewing it shows your acceptance of our revised terms.
How many different types of reports can be generated over Poshan Tracker Dashboard?,पोषण ट्रैकर डैशबोर्ड पर कितने विभिन्न प्रकार के अभिलेख उत्पन्न की जा सकती हैं?,How many different types of records can be generated on the nutrition tracker dashboard?
How to revive your health if you are Severely Wasted (SAM),"यदि आप गंभीर रूप से बीमार हो गए हैं, तो अपने स्वास्थ्य को पुनर्जीवित (एसएएम) कैसे करें","If you have become seriously ill, how to revive your health (SAHI)"
"See assessment charts for Stunted, Wasted and Underweight parameters","स्टंटेड, वेस्टेड और कम वजन से संबंधित मापदंडों के लिए मूल्यांकन तालिका देखें","For parameters related to stunted, wasted, and light weight, see the evaluation table."
Resources for growth monitoring and general awareness,विकास निगरानी और सामान्य जागरूकता के लिए संसाधन,resources for development monitoring and general awareness.
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,एडब्ल्यूडब्ल्यू एक विशेष आंगनवाडी केंद्र में मौजूद बुनियादी ढांचे से संबंधित विवरण दर्ज करने के लिए आवश्यक हैं।,AWHIs are required to enter details related to the infrastructure that exists in a particular Anganwadi Centre.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","इसमें संरचना, बुनियादी सुविधाएं, सुख-सुविधाएँ, स्वच्छता, पेयजल आदि शामिल हैं।","These include infrastructure, infrastructure, amenities, sanitation, drinking water, etc."
Lactating mothers who received Take Home Ration (THR),स्तनपान कराने वाली माताओं को प्राप्त होने वाला टेक होम राशन (THR),Tech home ration (THR) for breastfeeding mothers.
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.",इस गोपनियता नीति के अनुसार पोषण ट्रैकर बिना किसी विशिष्ट शर्त और अधिसूचना के किसी भी भाग को संलग्न करने या हटाने या उसमें परिवर्तन या संशोधन करने से संबंधित अधिकार को सुरक्षित रखता है।,"According to this Privacy Policy, Nutrition Tracker reserves the right to attach or remove, or modify or amend any part of the notice without any specific conditions and notice."
Any changes or updates will be effective immediately.,किसी भी प्रकार के परिवर्तन और अद्यतन को त्वरित रूप से प्रभावशाली माना जाएगा।,Any changes and updates will be considered effective immediately.
You should review this Privacy Policy regularly for changes.,आपको इस गोपनियता नीति में परिवर्तन करने हेतु नियमित अंतराल पर पुनरीक्षित करना चाहिए।,You should review this Privacy Policy at regular intervals to make changes.
