eng,ur,mBART600M
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA ( شناختی کارڈ ) کا استعمال آپ اور آپ کے خاندان کے لیے محفوظ اور موثر ڈیجیٹل ہیلتھ ریکارڈ بنانے کی طرف پہلا قدم ہے ۔,Using ABurHA (ID card) is the first step towards creating a safe and effective digital health record for you and your family.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA ( پہلے ہیلتھ آئی ڈی کے نام سے جانا جاتا تھا) آیوشمان بھارت ہیلتھ اکاؤنٹ کا مخفف ہے ۔,ABur ABHA (formerly known as Health ID) is an acronym for Ayushman Bharat Health Account.
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,AWW/ AWCs پر صرف نوڈل سطح کےآفیسر کے ذریعہ ہی شامل ہوا جا سکتا ہےایسا شخص جو حسب مراتب سے بالاتر ہو قومی سطح کے استعمال کرنے والے ہی بناسکتے ہیںریاست ضلع پروجیکٹ اورخطوں کی سطح کے استعمال کرنے والے پروجیکٹ کی سطح کے استعمال کرنے والے خطوں کی سطح پر بنا سکتے ہیں,"AWWs/AWCs can only be joined by a noodle-level officer, a person who is above the ranking can only be created by national level users state district project users and regions using project level users can build at project level users regions."
Where can I enquire about take home ration?,میں گھر پر راشن لے جانے کے بارے میں کہاں پوچھ سکتا ہوں,Where can I ask about taking home the ration?
Hot Cooked Meal (HCM) given in last 7 days,گرم پکا ہوا کھانا ( ایچ سی ایم ) پچھلے سات دنوں میں دیا گیا,Ur Hot cooked food (HCM) served in the last seven days.
"You can contact the representatives at the following places -Rural Areas: AWCs, Primary schools, Panchayat, Home, PHCUrban Areas: AWCs, Camps by employer at SEZ etc.",آپ درج ذیل مقامات پر نمائندوں سے رابطہ کر سکتے ہیں ۔,You can contact the representatives at the following locations.
We use the information we collect from all our services for the following purposes:,ہم اپنی تمام سروسز سے جمع کردہ معلومات کو درج ذیل مقاصد کے لیے استعمال کرتے ہیں,We use the information we collect from all our services for the following purposes:
Identification & Referral of Sick Newborn,بیمار نومولود کی شناخت اور حوالہ,Identification and referral of a sick newborn
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,XIV. فریق ثالث کے نظام کے ذریعے فراہم کردہ ڈیٹا کی درستگی,XIVur. Accuracy of data provided by third party systems.
Who is eligible for Take Home Ration?,ٹیک ہوم راشن کے لیے کون اہل ہے,Who is eligible for the Tech Home Ration?
Supporting mothers with issues in Breastfeeding,دودھ پلانے کے مسائل میں مبتلا ماؤں کی مدد کرنا,ur helping mothers with breastfeeding problems.
What is the purpose of this Campaign?,اس مہم کا مقصد کیا ہے,What is the purpose of this campaign?
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.",مجوزہ نظام کو طے شدہ اشارے پر تمام AWCs ، AWWs اور مستفید افراد کی اصل وقت کی نگرانی اور ان سے باخبر رہنے کے قابل بنانا چاہئے ۔,"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries at a predetermined rate."
— Select An Anganwadi Center —,- ایک آنگن واڑی مرکز کا انتخاب کریں -,-ur Choose an Anganwadi Centre -
Above standards are defined as per given above mentioned age brackets,مذکورہ بالا عمر بریکٹ کے مطابق اوپر کے معیارات کی وضاحت کی گئی ہے ۔,The above standards are defined according to the above age brackets.
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair",اگر کسی شخص کا وزن کم ہے ،تو اس کے جسم کو صحت مند ہڈیوں ، جلد اور بالوں کی تعمیر کے لیے ضروری غذائی اجزاء نہیں مل رہے ہوں گے ۔,"If a person is underweight, his body will not be able to get the nutrients needed to build healthy bones, skin and hair."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.",یہ شرکت کرنے والے صحت کی دیکھ بھال فراہم کرنے والوں کے ساتھ آپ کے تعامل کو قابل بناتا ہے ،اور آپ کو تصدیق شدہ صحت کی دیکھ بھال کے پیشہ ور افراد اور صحت کی خدمات فراہم کرنے والوں سے بغیر کسی رکاوٹ کے اپنی ڈیجیٹل لیب کی رپورٹس ، نسخے اور تشخیص حاصل کرنے کی اجازت دیتا ہے ۔,"This enables you to interact with participating healthcare providers, and allows you to get reports, prescriptions and diagnoses of your own digital lab without interruption from certified healthcare professionals and healthcare providers."
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,بیسیلس کالمیٹ گورین ( بی سی جی ) اورل پولیو ویکسین ( OPV)-0 خوراک ہیپاٹائٹس بی پیدائشی خوراک OPV-1 T,Basil's Calmetin Gourine (BCG) Oral Polio Vaccine (OPV)-0 dose of hepatitis B Birthday dose of OPV-1 T
Take Home Ration (THR) given in last 7 days,پچھلے سات دنوں میں دیا گیا گھر راشن ( ٹی ایچ آر ) لے جائیں,Take home the ration (THR) given in the last seven days.
Training on ICT Platform under POSHAN Abhiyaan,غذائیت مہم کے تحت یکات پلیٹ فارم پر تربیت,Training on the Yakat platform under the Nutrition Campaign of Yakurur
"Know more about stunting, wasting and underweight",سٹنٹنگ ، ضائع کرنے اور کم وزن کے بارے میں مزید جانیں ۔,"Learn more about stunting, weight loss and weight loss."
What information to be added in AWC forms?,AWC میں کونی معلومات درکار ہوتی ہیں,What information is required in our AWC?
How to revive your health if you are Moderately Wasted (MAM),اگر آپ اعتدال پسند ضائع ( MAM) ہیں تو اپنی صحت کو کیسے زندہ کریں ۔,"If you are a moderate amnesiac (MAM), how do you restore your health?"
AWC Workers Registered In Last 30 Days,AWC عاملین آخری 30 دنوں میں رجسٹرڈ ہے,Our AWC workers have been registered in the last 30 days.
Click on above button to get this App,اس ایپ کو حاصل کرنے کے لئے اوپر والے بٹن پر کلک کریں,"To access this app, click on the button above."
Beneficiaries Registered In Last 30 Days,فائدہ اٹھانے والوں نے گذشتہ 30 دنوں میں اندراج کیا,The beneficiaries of the scheme have registered in the last 30 days.
Specifications of Smart phone and Technical Compatibility Testing,سمارٹ فون اور تکنیکی مطابقت کی جانچ کی تفصیلات,Smartphone and technical compatibility test details
Preparation During Pregnancy - For NewBorn Care & Family Planning,حمل کے دوران تیاری - نوزائیدہ کی دیکھ بھال کے لیے,Preparation during pregnancy - for the care of the newborn baby.
Contact health centre for Lactating Mother,دودھ پلانے والی ماں کے لیے مرکز صحت سے رابطہ کریں ۔,Contact the health center for breastfeeding mothers.
Stunting is the impaired growth and development that children experience from poor nutrition,سٹنٹنگ ایک خراب نشوونما اور نشوونما ہے جس کا تجربہ بچوں کو ناقص غذائیت سے ہوتا ہے ۔,Sturning is a poor growth and development that is experienced by children with malnutrition.
Children in the age group of 3 years to 6 years,تین سال سے چھ سال کی عمر کے بچے,We have children between the ages of three and six years old.
What is the eligibility of a beneficiary?,فائدہ اٹھانے والے کی اہلیت کیا ہے,ur What is the qualification of the beneficiary?
Who are the target userbase of Poshan Tracker App?,پوشن ٹریکر اپلی کیشن کے مطلوبہ مستعمل بنیادی طور پر کون ہوں گے,The intended users of the Pushur Tracker app will be primarily who will be the intended users.
"It often indicates recent and severe weight loss, although it can also persist for a long time",یہ اکثر حالیہ اور شدید وزن میں کمی کی نشاندہی کرتا ہے ،حالانکہ یہ طویل عرصے تک برقرار رہ سکتا ہے ۔,"It often indicates recent and severe weight loss, although it can be sustained for a long time."
What is the minimum requirement to install Poshan Tracker App in mobile?,پوشن ٹریکر اپلیکیشن کو موبائل میں انسٹال کرنے کی کماز کم ضرورت کیا ہے,What is the minimum requirement for installing the Pushur Tracker app in mobile?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,آپ صرف دستاویز میں بیان کردہ ذرائع سے سائٹ تک رسائی ( یا رسائی کی کوشش ) کریں گے اور اس معاہدے کی شرائط و ضوابط کی تعمیل کریں گے ۔,You will only access (or attempt to access) the site from the sources specified in the document and will comply with the terms and conditions of this agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.",آپ تمام مرکزی اور ریاستی قوانین ، آپ پر لاگو ہونے والے قواعد و ضوابط اور سائٹ کے آپ کے استعمال اور کسی بھی فریق ثالث کے حقوق کو متاثر کرنے کی تعمیل کریں گے ۔,"You will comply with all federal and state laws, regulations and regulations applicable to you and your use of the site and affecting the rights of any third party."
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,آپ ویب سائٹ https:// poshantracker. in کے ذریعے یا ' نیوٹریشن ٹریکر ' ڈاؤن لوڈ کرکے صحت مند لڑکا لڑکی کے مقابلے میں حصہ لے سکتے ہیں ۔,You can participate in the healthy boy-girl competition by visiting the website https://poshantracker.in or downloading the Nutrition Tracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,گوگل پلے اسٹور سے ایپ ۔,Ur app from the Google Play Store.
Please find the following steps to Login-Step 1- Open the Poshan Tracker Application on your MobileStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,لاگ ان کرنے کے لیے براہ کرم درج ذیل مراحل تلاش کریں - مرحلہ نمبر 1- Open the Poshan Tracker Application on your Mobile مرحلہ 2- اپنا رجسٹرڈ موبائل نمبر درج کریں اور 4 ہندسوں کا MPIN پہلے سے سیٹ کریں ۔,"To log in, please find the following steps - step 1- Open the Poshan Tracker Application on your Mobile step 2- Enter your registered mobile number and set the 4-digit MPIN in advance."
It is an initiative to mobilise and sensitize the community on the value of nutrition and identifying the health of children from 0-6 years.,یہ 0-6 سال کی عمر کے بچوں کی غذائیت اور صحت کی اہمیت کے بارے میں کمیونٹی کو منظم اور حساس بنانے کا ایک اقدام ہے ۔,This is an initiative to organize and make the community more sensitive to the importance of nutrition and health for children aged 0-6 years.
Clarification regarding Cost of Smart phones,سمارٹ فون کی قیمت کے بارے میں وضاحت,A description of the price of the smartphone.
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,خسرہ پر مشتمل ویکسین ( MCV)/ خسرہ اور روبیلا ( MR)-1 جاپانی انسیفلائٹس ( JE)-1** PCV- بوسٹر,Ur Loss-containing vaccine (MCV)/Loss and Rubella (MR)-1 Japanese encephalitis (JE)-1** PCV-booster
Mobile number need to be validated within a week,ایک ہفتے کے اندر موبائل نمبر کی توثیق کرنے کی ضرورت ہے ۔,The mobile number must be verified within a week.
Currently a beneficiary can register by the help of an AWW,فی الحال ایک مستفید کنندہ AWW کی مدد سے رجسٹر کر سکتا ہے ۔,"Currently, a beneficiary can register with the help of AWW."
Awareness for Lactating Mother Complimentary Feeding for Children,دودھ پلانے والی ماں بچوں کے لیے مفت خوراک کے لیے آگاہی,Ur breastfeeding moms awareness for free food for babies.
New Poshan Tracker App - CSC-SPV Nodal Person,نئی پوشن ٹریکر ایپ - CSC- SPV نوڈل پرسن,The new Passion Tracker app - CSC-SPV noodle person - is also available.
1.1. Information you provide to us.,1.1. وہ معلومات جو آپ ہمیں فراہم کرتے ہیں ۔,1.1 The information you provide us with.
How can one access Poshan Tracker Dashboard?,پوشن ٹریکر ڈیش بورڈ تک کوئی کیسے پہنچ سکتا ہے,How can anyone reach the Dashboard of the Pushur Tracker?
Prevention of Anemia in children and adolescents girls,بچوں اور نوعمر لڑکیوں میں خون کی کمی کی روک تھام,It helps prevent anemia in children and teenage girls.
Gangarampur Addl. I. C. D. S Project,گنگا رام پور اڈیشنل آئی سی ڈی ایس پروجیکٹ,Gangaur Rampur is an additional ICDS project.
Can a beneficiary register directly using application.,کیا فائدہ اٹھانے والا درخواست کا استعمال کرکے براہ راست رجسٹر ہوسکتا ہے ۔,Can the beneficiary register directly using the application?
Swastha Balak Balika Spardha is a nationwide movement to promote the value of nutrition.,سوستھ بال بالیکا سپارش غذائیت کی قدر کو فروغ دینے کے لیے ایک ملک گیر تحریک ہے ۔,Sushur Balykh Sparsh is a nationwide movement to promote nutritional value.
This campaign will run from 08th- 14th January 2022 across India.,یہ مہم پورے ہندوستان میں 08-14 جنوری 2022 تک چلے گی ۔,"This campaign will run from January 08-14, 2022 across India."
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,وزارت برائے خواتین اور بچوں کی ترقی نے پوشن ٹریکر کی درخواست نافذ کردی ہے ۔,The Ministry of Women and Child Development has implemented the application for the Pushin Tracker.
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.",اس کا مقصد یہ ہے کہ ہر سطح پر عمل درآمد کی رکاوٹوں کو مضبوط بنانے پر توجہ دینے والے زچہ و بچہ کی کمی کو بہتر بنانے کے لئے غذائیت کے نظام کو تقویت بخشیں ۔,"The goal of this is to strengthen the nutrition system to improve the infant and child shortage, focusing on strengthening implementation barriers at all levels."
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.",پوشن ٹریکر مرکزی اعداد و شمار کے فن تعمیر کا استعمال کرتے ہوئے بنایا گیا ہے جو دیگر وزارتوں اور پروگراموں کے ڈیجیٹل ٹیکنالوجی سسٹم کے ساتھ بھی موافق ہے ۔,Pushur Pushun Tracker is built using a central data architecture that is also compatible with the digital technology systems of other ministries and programs.
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.",یہ نظام ہر فائدہ اٹھانے والے کو ڈیجیٹل کارڈ کے ذریعہ ڈیجیٹل شناخت فراہم کرتا ہے اور ٹکنالوجی پلیٹ فارم کے ساتھ کال سینٹر میں تبدیلی کی اجازت دیتا ہے ۔,This system provides each beneficiary with digital identity via a digital card and allows for change in call center with a technology platform.
The system generates automated alerts to the critical last-mile beneficiaries.,یہ نظام آخری میل کے اہم فائدہ اٹھانے والوں کو خودکار الرٹس تیار کرتا ہے ۔,This system produces automatic alerts to the main beneficiaries of the last mile.
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.",یہ فائدہ اٹھانے والوں اور ڈیوٹی اٹھانے والوں کی اصل وقت حاضری کی دستاویزات کے ذریعے ترسیل کے نظام کی موثر آڈٹ کو بھی یقینی بناتا ہے ۔,It also ensures an efficient audit of the delivery system through real-time attendance documents of the beneficiaries and the duty-takers.
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.",اس طرح کا ایک مضبوط ڈیجیٹل ٹکنالوجی پلیٹ فارم اور انتظامی انفارمیشن سسٹم مشن کو موثر انداز میں پیمانے میں مدد فراہم کرے گا جس سے اہم مثبت اثرات مرتب اور دستاویزات کی جاسکتی ہے ۔,"Such a strong digital technology platform and administrative information system will help to scale the mission efficiently, allowing for significant positive impacts and documentation."
How to Login for Swastha Balak Balika Spardha through Website?,ویب سائٹ کے ذریعے صحت مند لڑکا لڑکی کے مقابلے کے لیے کیسے لاگ ان کیا جائے ؟,How to log in to a healthy boy's girl's competition through the website of the website?
"Click on Add Child, post login and fill the required details displayed on the screen.",ایڈ چائلڈ پر کلک کریں ، لاگ ان پوسٹ کریں اور اسکرین پر ظاہر ہونے والی مطلوبہ تفصیلات کو پر کریں ۔,"Click on Adur Child, log in and post and fill in the required details that appear on the screen."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,پوشن ٹریکر آنگن واڑی ورکر کو خدمات کی موثر فراہمی کے ساتھ ساتھ ان کی کوششوں کی عکاسی کرنے کے لیے ایک جاب ایڈ ہے ۔,Pushur Pushin Tracker is a job aid to help ensure the efficient delivery of services to the Anganwadi worker as well as to reflect their efforts.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,یہ پوشن ابھیان کے تحت ایک اہم اور فائدہ اٹھانے والے پر مبنی سروس ڈیلیوری ایپلی کیشن ہے جو تجزیات کے ساتھ حقیقی وقت کے ڈیٹا کو فروغ دے گی ۔,It is an important and beneficial service delivery application under Pusan Abhiyan that will promote real-time data with analytics.
Please enter valid Date of Birth,براہ کرم درست تاریخ پیدائش درج کریں ۔,Please enter the exact date of birth.
Who is eligible for additional supplementary food?,اضافی اضافی خوراک کے لیے کون اہل ہے,Who is eligible for the supplementary supplementary dosage?
Contact health centre for Pregnant Woman,حاملہ خواتین کے لیے مرکز صحت سے رابطہ کریں ۔,Contact the Health Center for Pregnant Women.
How many different types of reports can be generated over Poshan Tracker Dashboard?,پوشن ٹریکر ڈیش بورڈ سے کتنی اقسام کی رپورٹیں بر آمد کی جا سکتی ہیں,How many types of reports can be imported from the Dashboard of the Pushur Tracker Tracker?
How to revive your health if you are Severely Wasted (SAM),اگر آپ شدید طور پر ضائع ہوئے ہیں( SAM) تو اپنی صحت کو کیسے زندہ کریں ۔,If you are seriously lost (SAM) how can you restore your health?
AWC Vaccination given in last 30 days,AWC ویکسینیشن پچھلے تیس دنوں میں دی گئی ۔,Our AWC vaccination was given in the last thirty days.
"See assessment charts for Stunted, Wasted and Underweight parameters",اسٹنٹڈ ، ویسٹڈ اور کم وزن کے پیرامیٹرز کے لیے تشخیصی چارٹ دیکھیں,"For the parameters of stunted, vested and low weight, see the diagnostic chart."
Resources for growth monitoring and general awareness,ترقی کی نگرانی اور عمومی آگاہی کے لیے وسائل,We have resources for monitoring and raising public awareness of development.
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,AWW میں موجودہ بنیادی ڈھانچے کے متعلق معلومات درج کرنا درکار ہوتی ہے,AWurW requires you to enter information about existing infrastructure.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.",اس میں بنیادی عمارت ، بنیادی سہولیات صفائی اور صاف پینے کا پانی وغیرہ شامل ہیں,"This includes basic building, basic facilities for cleaning and drinking water, etc."
Lactating mothers who received Take Home Ration (THR),دودھ پلانے والی مائیں جنہوں نے ٹیک ہوم راشن ( THR) حاصل کیا,"""Mother-to-be breastfeeding mothers who received a Tech Home Ration (THR)"
Registration of Child 6 months to 3 years,چھ ماہ سے تین سال تک کے بچے کی رجسٹریشن,Registration of children from six months to three years of age.
What is the eligibility of a beneficiary?,فائدہ اٹھانے والے کی اہلیت کیا ہے,ur What is the qualification of the beneficiary?
"No, Poshan Tracker is available only for Android version",جی نہیں ، پوشن ٹریکر صرف اینڈروائیڈ کے ورژن میں ہی دستیاب ہے,"Yes, yes, the Push Tracker is only available in the Android version."
 XV. INDEMNITY AND LIMITATION OF LIABILITY,XV. معاوضہ اور ذمہ داری کی حد,XVur. Compensation and limitation of liability
Growth monitoring report for all health indicators,صحت کے تمام اشاریوں کے لیے گروتھ مانیٹرنگ رپورٹ,growth monitoring report for all health indicators.
Take Home Ration (THR) given in last 30 days,گذشتہ 30 دنوں میں دیئے گئے ہوم راشن ( THR) لیں,Take home ration (THR) given in the last 30 days.
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,بچوں کو اسٹنٹڈ کے طور پر بیان کیا جاتا ہے اگر ان کی عمر کے لحاظ سے قد WHO چائلڈ گروتھ اسٹینڈرڈ میڈین سے دو معیاری انحراف سے زیادہ ہے ۔,Stunted children are defined as having a height of more than two standard deviations from the WHO Child Growth Standard.
What is the purpose of Launching Poshan Tracker?,پوشن ٹریکر کی ابتدا کا مقصد کیا ہے,What is the purpose of the origin of the Pushur Pusan Tracker?
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE",XIII. قانون ، فریق ثالث کے حقوق ، اور سروس کی دیگر شرائط کے ساتھ تعمیل,"XIIIur. compliance with the law, third party rights, and other terms of service."
"repeated infection, and inadequate psychosocial stimulation",بار بار انفیکشن اور ناکافی نفسیاتی محرک,Recurrent infections and insufficient psychological stimulation.
Beneficiary migration from one AWC to another AWC,فائدہ اٹھانے والوں کی ایک AWC سے دوسری AWC میں منتقلی,The transfer of beneficiaries from one AWC to another AWC.
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)",ICT پلیٹ فارم پر تربیت پوشن ابھیان کے تحت (02 فروری 2021),Training on the ICTur platform under Pushn Abhiyan (02 February 2021)
Registration of Child 3 years to 6 years,تین سال سے چھ سال تک کے بچے کی رجسٹریشن,Registration of children from three to six years of age.
"I do not have the measuring device, whom to contact in order to measure the height & weight of the child?",میرے پاس پیمائش کرنے والا آلہ نہیں ہے ،اپنے بچے کے قد اور وزن کی پیمائش کے لیے کس سے رابطہ کروں ؟,"If I don't have a measuring instrument, who should I contact to measure my child's height and weight?"
When is the Swastha Balak Balika Spardha happening?,صحت مند لڑکوں کی لڑکیوں کا مقابلہ کب منعقد ہو رہا ہے,When is the Healthy Boys Girls Competition taking place?
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,پوشن ٹریکر اپلیکیشن بارہ (22 ) مختلف زبانوں میں دستیاب ہےمختلف زبانوں میں دستیاب ہےانگریزیہندیگجراتیپنجابیمراٹھیبنگلہکنڑتملتیلگوملیالماڑیہاسامی NepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,The Pushin Tracker app is available in twelve (22) different languages available in different languages English HindiGujaratiPunjabiMaraadhiBingla and HindiTamilGumliMariaAnam NepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.",مجوزہ نظام کو مقررہ اشارے پر تمام AWCs AWWs اور مستفید افراد کی اصل وقت کی نگرانی اور ان سے باخبر رہنے کے قابل بنانا چاہئے ۔,The proposed system should enable real-time monitoring and tracking of all AWWs and AWWs and beneficiaries at a fixed indicator.
How to Login in Poshan Tracker App?,پوشن ٹریکر اپلی کیشن پر کس طرح لاگ ان کریں ؟,How to log in to the Pushur Tracker app?
Height and weight of child has not been measured,بچے کے قد اور وزن کی پیمائش نہیں کی گئی ہے,The child's height and weight have not been measured.
How to Login on Swastha Balak Balika Spardha through Application?,درخواست کے ذریعے صحت مند لڑکا لڑکی کے مقابلے میں لاگ ان کیسے کریں ؟,How can a healthy boy compare to a girl by logging in via the appur?
Calculator to measure the child growth based on the WHO Child Growth Standards.,WHO چائلڈ گروتھ اسٹینڈرڈز کی بنیاد پر بچوں کی نشوونما کی پیمائش کرنے کے لیے کیلکولیٹر ۔,Calculator to measure child development based on WHO Child Growth Standards.
TAKE HOME RATION (THR) GIVEN TODAY,آج دی گئی ہوم راشن ( THR) لیں,Take home the home ration (THR) given today.
A beneficiary is eligible for THR for at least 21 days in a month.,ایک فائدہ اٹھانے والا ایک مہینے میں کم از کم اکیس دن کے لئے ٹی ایچ آر کا اہل ہے ۔,A beneficiary of a TUR is eligible for a THR for at least twenty-one days a month.
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,III. شرائط میں مستقبل کی تبدیلیوں سے متعلق نوٹس :,IIIur. Notices of future changes to the terms:
Planning And Organising Community Based Events At AWC,AWC میں کمیونٹی کی بنیاد پر تقریبات کی منصوبہ بندی اور انعقاد,Planning and holding community-based events at our AWC
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,لاگ ان کرنے کے لیے براہ کرم ان مراحل پر عمل کریں ۔,"To log in, please follow these steps."
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,مرحلہ نمبر 1- نیوٹریشن ٹریکر ویب سائٹ پر کلک کریں https:// poshantracker. in مرحلہ 2- اپنا رجسٹرڈ موبائل نمبر درج کریں اور 4 ہندسوں کا MPIN پہلے سے سیٹ کریں ۔,Step 1- Click on the Nutrition Tracker website https://poshantracker.in Step 2- Enter your registered mobile number and set the 4-digit MPIN in advance.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,AWWS اپلیکیشن کو کیسے سائن اپ کریں اگر یہ موبائل نمبر کے ذریعہ رجسٹر نہ ہو تا ہو ؟,How do I sign up for the AWur AWWS app if it is not registered via mobile number?
Poshan Tracker adds new Reports feature,پوشن ٹریکر نے رپورٹس کا نیا فیچر شامل کیا ۔,Pushur Pushun Tracker has added a new feature for reports.
General Awareness about preventing illness in Children,بچوں میں بیماری سے بچاؤ کے بارے میں عمومی آگاہی,Our goal is to raise awareness about childhood prevention in children.
2. HOW WE USE PERSONAL INFORMATION,2. ہم ذاتی معلومات کو کس طرح استعمال کرتے ہیں ۔,ur 2. how we use personal information.
Please provide your mobile number and a ticket number.,براہ کرم اپنا موبائل نمبر اور ٹکٹ نمبر فراہم کریں ۔,Please provide your mobile number and ticket number.
Please contact your respective Anganwadi worker.,براہ کرم اپنی متعلقہ آنگن واڑی ورکر سے رابطہ کریں ۔,Urd please contact your relevant Anganwadi worker.
SAM Children under 5 years who received Supplementary Nutrition,SAM 5 سال سے کم عمر کے بچے جنہوں نے سپلیمنٹری نیوٹریشن حاصل کی ۔,SAMur children under 5 years of age who have received supplementary nutrition.
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1 پینٹا ویلنٹ -1 روٹا وائرس ویکسین ( RVV)-1 غیر فعال پولیو ویکسین ( fIPV)-1 کی جزوی خوراکنیوموکوکل کنجوگیٹ ویکسین ( PCV) -1,OPV-1 PentaValent -1 Rota Virus Vaccine (RVV)-1 is a partial dose of the inactive poliovaccine (fIPV)-1 pneumocol conjugate vaccine (PCV) -1
How to contact Poshan Tracker Team?,پوشان ٹریکر ٹیم سے کیسے رابطہ کریں ؟,How do I contact the Pushur Tracker team?
Take Home Ration (THR) Given Today,آج دی گئی ہوم راشن ( THR) لیں,Take home the home ration (THR) given today.
How many different forms are there in Poshan Tracker App?,پوشن ٹریکر اپلیکیشن پر مختلف کتنی قسم کے فارم دستیاب ہیں,There are several different types of forms available on the Pushur Tracker app.
There are 7 different types of forms for beneficiaries.,پوشن ٹریکر اپلیکیشن پر مختلف 7 قسم کے فارم دستیاب ہیں ۔,There are 7 different types of forms available on the Pushur Tracker app.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),دودھ پلانے والی مائیںحاملہ خواتینبچے 0-6 ماہبچے 6 ماہ سے 3 سالبچے 3 سال سے 6 سالنوعمر دوشیزہ (11 سال -19 سال,Nurse-breastfeeding mothers pregnant womenchildren 0-6 monthschildren 6 months to 3 yearschildren 3 years to 6 yearschildren 11 years to 19 years
Shibpur I C D S Project,شب پور آئی سی ڈی ایس پرویکٹ,The Shaboorpur ICDS project is being implemented.
Hot Cooked Meal (HCM) given today,گرم پکا ہوا کھانا ( ایچ سی ایم ) آج دیا گیا,Ur Hot cooked food (HCM) was served today.
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home",حالیہ ایک یا تین مہینوں میں ، مستفید کے گھر کا کسی بھی آنگن واڑی کارکن نے دورہ نہیں کیا ہے,"In the last one or three months, no yard worker has visited the beneficiary's home."
Please enter Weight greater than 0.49 and less than 40.01,براہ کرم 0.49 سے زیادہ اور 40.01 سے کم وزن درج کریں ۔,Please enter weights greater than 0.49 and less than 40.01.
You can register with your mobile number directly through the website https://poshantracker.in or by downloading the Poshan Tracker App.,آپ ویب سائٹ https:// poshantracker. in پر اپنے موبائل نمبر سے براہ راست رجسٹر کرسکتے ہیں یا پوشن ٹریکر ایپ ڈاؤن لوڈ کرکے ۔,You can register directly from your mobile number on the website https://poshantracker.in or by downloading the Pushn Tracker app.
