eng,te
In How many languages the Poshan Tracker App is available?,పోషణ్ ట్రాకర్ యాప్ ఎన్ని భాషలలో అందుబాటులో ఉంది?
BUDGE BUDGE - I,బడ్జ్ బడ్జ్ - I
AWWs are requested to enter their mobile numbers in the Login screen.,AWW లు తమ మొబైల్ నంబర్లను లాగిన్ స్క్రీన్లో నమోదు చేయాలని అభ్యర్థిస్తున్నాం.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","మీ రిజిస్టర్డ్ మొబైల్ నంబర్ పోస్ట్కు OTP పంపబడుతుంది, దీనికి మీరు MPIN ని కూడా సెట్ చేయాలి."
About Poshan Tracker,పోషణ్ ట్రాకర్ గురించి
Adilabad - Telangana,ఆదిలాబాద్ - తెలంగాణ
CHINSURAH-MOGRA ICDS PROJECT,చిన్సురా-మోగ్రా ఐసిడిఎస్ ప్రాజెక్ట్
Ravang Rural Project,రావంగ్ రూరల్ ప్రాజెక్ట్
Kakdwip ICDS Project,కాక్డ్విప్ ఐసిడిఎస్ ప్రాజెక్ట్
Request for Home Visit,గృహ సందర్శన కోసం అభ్యర్థన
AWW Position Filled,AWW పొజిషన్ నింపబడింది
East Khasi Hills,తూర్పు ఖాసీ కొండలు
Chakchaka Icds Project Sorbhog,చకచకా ఐసిడిఎస్ ప్రాజెక్ట్ సొర్బోగ్
EGRA-II ICDS PROJECT,ఎగ్రా-II ఐసిడిఎస్ ప్రాజెక్ట్
Mirzapur City 1,మీర్జాపూర్ సిటీ 1
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,తట్టు కలిగిన వ్యాక్సిన్ (MCV)/MR-2JE-2**డిఫ్తీరియాపెర్టుసిస్ & టెటనస్ (DPT)-బూస్టర్-1OPV - బూస్టర్
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,"పోషణ్ ట్రాకర్, నిర్వచిత సూచికలపై అన్ని అంగన్ వాడీ కేంద్రాలు మరియు లబ్ధిదారుల యొక్క రియల్ టైమ్ మానిటరింగ్ మరియు ట్రాకింగ్ కు దోహదపడుతుంది."
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,"ఇది సెంట్రలైజ్డ్ డేటా ఆర్కిటెక్చర్ ఉపయోగించి నిర్మించబడింది, ఇది ఇతర మంత్రిత్వ శాఖలు మరియు కార్యక్రమాల యొక్క డిజిటల్ టెక్నాలజీ వ్యవస్థలతో సమలేఖనం చేస్తుంది."
"The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","అంగన్ వాడీ కేంద్రం (AWC) యొక్క కార్యకలాపాలు, అంగన్ వాడీ వర్కర్ ల (AWWs) యొక్క సేవా డెలివరీలు మరియు గర్భిణీ స్త్రీలు, పాలిచ్చే తల్లులు మరియు పిల్లలకు పూర్తి లబ్ధిదారుని యాజమాన్యం యొక్క 360 డిగ్రీల వీక్షణను అందించడం దీని లక్ష్యం."
The public dashboard helps to impart transparency on services delivered to beneficiaries,లబ్ధిదారులకు అందించే సేవలపై పారదర్శకతను అందించడానికి పబ్లిక్ డ్యాష్ బోర్డ్ సహాయపడుతుంది
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,పోషణ్ ట్రాకర్ పోర్టల్ మరియు యాప్ చాబోట్ పై అనువాదాలు తృతీయపక్ష అనువాదకుల ద్వారా చేయబడతాయి.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","అనువాదాలు ఉత్తమ ప్రయత్న ప్రాతిపదికన చేయబడినప్పటికీ, కొన్ని భాగాలు తప్పుగా ఉండవచ్చు."
Certain files and other items on the website cannot be translated.,వెబ్ సైట్ లోని నిర్దిష్ట ఫైళ్లు మరియు ఇతర అంశాలను అనువదించడం సాధ్యం కాదు.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","దీనికి అదనంగా, అనువాదంపై, భాషా అడ్డంకుల కారణంగా, కొన్ని అప్లికేషన్ లు మరియు/లేదా సర్వీసులు ఆశించిన విధంగా పనిచేయకపోవచ్చు."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","ఈ పోర్టల్ పై ఇవ్వబడ్డ అనువాదాల్లో ఏవైనా దోషాలు, మినహాయింపులు లేదా అస్పష్టతలను సరిదిద్దడం కొరకు మేం నిరంతరం పనిచేస్తున్నాం."
AWH Position Filled,AWH పొజిషన్ నింపబడింది
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS విస్తృతంగా విభిన్న జాతి నేపథ్యాలు మరియు సాంస్కృతిక సెట్టింగ్ లు (బ్రెజిల్, ఘనా, భారతదేశం, నార్వే, ఒమన్ మరియు USA) నుండి సుమారు 8500 మంది పిల్లల నుండి ప్రాథమిక ఎదుగుదల డేటా మరియు సంబంధిత సమాచారాన్ని సేకరించింది"
Ratua - I Addl.,రాటువా - I అడిష్నల్.
Please enter Height,దయచేసి ఎత్తును నమోదు చేయండి
Harda Gramin 2,హర్దా గ్రామీణ్ 2
Children of different age groups are monitored on monthly basis by AWWs.,విభిన్న వయస్సు గ్రూపుల పిల్లలు AWWల ద్వారా నెలవారీగా పర్యవేక్షించబడతారు.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","స్టంటింగ్, వేస్టింగ్ మరియు తక్కువ బరువు ప్రాబల్యం వంటి ఆరోగ్య సూచికలు WHO ప్రమాణాలకు అనుగుణంగా లెక్కించబడతాయి."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,క్రమం తప్పకుండా ఎదుగుదలను పరీక్షించడం వల్ల AWWలు పిల్లలకు సరైన మరియు సకాలంలో సాయం అందించడం కొరకుసాయపడతాయి
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","పిల్లల కొరకు అవగాహన ఎదుగుదల, పిల్లల్లో పోషకాహార లోపాన్ని నిరోధించడం కొరకు వృధా చేయడం"
Create a New Ticket,కొత్త టికెట్ సృష్టించండి
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","సైట్ మరియు మొత్తం డేటా, టెక్స్ట్, డిజైన్ లు, పేజీలు, ప్రింట్ స్క్రీన్ లు, ఇమేజ్ లు, ఆర్ట్ వర్క్, ఛాయాచిత్రాలు, ఆడియో మరియు వీడియో క్లిప్ లు, HTML కోడ్, సోర్స్ కోడ్, లేదా సైట్ లో నివసించే లేదా వీక్షించదగిన లేదా మరోవిధంగా కనుగొనబడే సాఫ్ట్ వేర్, మరియు సైట్ నుంచి బుక్ చేయబడ్డ పాల్గొనేవారు అందరూ, (సమిష్టిగా, ""కంటెంట్""గా పేర్కొంటారు) మహిళా మరియు శిశు అభివృద్ధి మంత్రిత్వ శాఖ మరియు వారి అధీకృత సర్వీస్ ప్రొవైడర్ ల స్వంతం."
Jaleswar Icds Project,జలేశ్వర్ ఐసిడి ప్రాజెక్ట్
Poshan Tracker adds new application features,పోషన్ ట్రాకర్ కొత్త అప్లికేషన్ ఫీచర్లను జోడిస్తుంది
Making or Updating Home Visit Planner and Initiating home visits,హోమ్ విజిట్ ప్లానర్ చేయడం లేదా అప్ డేట్ చేయడం మరియు ఇంటి సందర్శనలను ప్రారంభించడం
Uraiyur    Project-1,ఉరైయూర్ ప్రాజెక్ట్-1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ప్రపంచ ఆరోగ్య సంస్థ (WHO) ద్వారా నిర్వచించబడ్డ ప్రమాణాల ఆధారంగా బిడ్డ ఎదుగుదలను లెక్కించడం కొరకు పోషణ్ కాలిక్యులేటర్ తాయారు చేసారు
Asthampatti (Sal Pro 1),అస్తంపట్టి (సాల్ ప్రో 1)
Migrated from one category to another,ఒక వర్గం నుండి మరొక వర్గానికి మారి వచ్చారు
Icds Parappa Additional,ఐసిడిఎస్ పరప్ప అడిష్నల్
Binpur - I Adl.,బిన్పూర్ - I ఎడిఎల్
Wasting (Weight for Height)-,వృధా (ఎత్తు కొరకు బరువు)-
Soreng Rural Project,సోరెంగ్ రూరల్ ప్రాజెక్ట్
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ఒక వ్యక్తికి తగినంత నాణ్యత మరియు పరిమాణంలో ఆహారం లేనప్పుడు మరియు/లేదా వారికి తరచుగా లేదా దీర్ఘకాలిక అస్వస్థతలు ఉన్నప్పుడు ఇది సాధారణంగా సంభవిస్తుంది
Dinhata - I Addl,దిన్హటా - I అడిష్నల్
Mohgaon - R,మొహగావ్ - ఆర్
Malnutrition is one of the most important challenges facing contemporary India.,సమకాలీన భారతదేశం ఎదుర్కొంటున్న అతి ముఖ్యమైన సవాళ్లలో పోషకాహార లోపం ఒకటి.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,జాతీయ మరియు గ్లోబల్ సస్టైనబుల్ డెవలప్మెంట్ లక్ష్యాల సాధనకు పోషకాహారం కేంద్రంగా గుర్తించబడింది.
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.","సమాజంలో పేలవమైన ఆరోగ్యం మరియు పేదరికం యొక్క మధ్యంతర చక్రాన్ని మనుగడ సాగించడానికి, వృద్ధి చెందడానికి మరియు విచ్ఛిన్నం చేయడానికి స్త్రీలు మరియు పిల్లలు సరైన మరియు తగిన పోషకాహారం అవసరం."
"The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.","పోషకాహార లోపం యొక్క కారణాలు తక్కువ వయస్సు గల పిల్లలు మరియు పెద్దలకు కారణమవుతాయి, పేదరికం, తక్కువ స్థాయి స్త్రీ అక్షరాస్యత, పరిశుభ్రమైన తాగునీరు, పారిశుధ్యం మరియు పరిశుభ్రత, తల్లి లక్షణాలు, సరిపోని నివారణ మరియు నివారణ ఆరోగ్య సంరక్షణ, తల్లి, గృహ మరియు సమాజ వనరులు మరియు మహిళా సాధికారత."
Check Ticket Status,టికెట్ స్టేటస్ చెక్ చేయండి
Panskura- II ICDS,పన్స్కురా- II ఐసిడిఎస్
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","సాంకేతిక పరిజ్ఞానం, లక్ష్యంగా ఉన్న విధానం మరియు కలయిక ద్వారా పిల్లలు, కౌమారదశలు, గర్భిణీ స్త్రీలు మరియు పాలిచ్చే తల్లులకు పోషక ఫలితాలను మెరుగుపరిచేందుకు భారతదేశం యొక్క ప్రధాన కార్యక్రమం పోషన్ అభియాన్."
Reference data not available.,రిఫరెన్స్ డేటా లభ్యం కావడం లేదు.
Hot Cooked Meal (HCM) given in last 30 days,గత 30 రోజుల్లో వేడిగా వండి ఇవ్వబడిన భోజనం (హెచ్ సిఎమ్)
English Bazar Adl,ఇంగ్లీష్ బజార్ ఎడిఎల్
"Dhalpukhuri Icds Project, Hojai.","ధాల్పుఖురి ఐసిడిఎస్ ప్రాజెక్ట్, హోజై."
Underweight (Weight for Age)-,తక్కువ బరువు (వయస్సు కొరకు బరువు)-
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,పోషణ్ ట్రాకర్ లో అంగన్ వాడీ సేవా పథకాల డేటాను అప్ లోడ్ చేయడం
On the Map,మ్యాప్లో
Prayagraj City 2,ప్రయాగ్రాజ్ సిటీ 2
Poshan Tracker Process Flow,పోషణ్ ట్రాకర్ ప్రాసెస్ ఫ్లో
New Khar Santacruz,న్యూ ఖార్ శాంతాక్రూజ్
Enter Date of Birth,పుట్టిన తేదీని నమోదు చేయండి
0 months to 5 years,0 నెలల నుంచి 5 సంవత్సరాల వరకు
Delhi Project 1,ఢిల్లీ ప్రాజెక్ట్ 1
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,పోషణ్ ట్రాకర్ కీలకమైన చివరి మైలు లబ్ధిదారులకు ఆటోమేటెడ్ అలర్ట్ లను జనరేట్ చేస్తుంది.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,లబ్ధిదారులు మరియు డ్యూటీ బేరర్ ల యొక్క రియల్ టైమ్ హాజరును డాక్యుమెంట్ చేయడం ద్వారా డెలివరీ సిస్టమ్ యొక్క సమర్థవంతమైన ఆడిట్ ని కూడా ఇది ధృవీకరిస్తుంది.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","ఈ మేనేజ్ మెంట్ ఇన్ఫర్మేషన్ సిస్టమ్ న్యూట్రిషన్ ప్రోగ్రామ్ ని సమర్థవంతంగా స్కేల్ చేయడానికి సహాయపడుతుంది, తద్వారా సానుకూల ప్రభావాన్ని జనరేట్ చేస్తుంది మరియు డాక్యుమెంట్ చేస్తుంది"
How can one Download Poshan Tracker App?,పోషన్ ట్రాకర్ యాప్ ని ఎలా డౌన్లోడ్ చేసుకోవచ్చు?
AWC Opening and AWW behaviour,AWC ఓపెనింగ్ మరియు AWW ప్రవర్తన
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","చట్టపరమైన అభ్యర్థన, సమన్లు లేదా ఇతర చట్టపరమైన ప్రక్రియకు ప్రతిస్పందనగా మేము మీ సమాచారాన్ని ప్రాప్యత చేయవచ్చు, సంరక్షించవచ్చు మరియు భాగస్వామ్యం చేయవచ్చు లేదా (1) మోసం లేదా చట్టవ్యతిరేక కార్యకలాపాలకు సంబంధించి పరిశోధించడానికి, నిరోధించడానికి లేదా చర్య తీసుకోవడానికి లేదా ప్రభుత్వ అమలు సంస్థలకు సహాయపడటానికి బహిర్గతం సహేతుకంగా అవసరమని మాకు మంచి నమ్మకం ఉంటే; (2) మీతో మా ఒప్పందాలను అమలు చేయడం; (3) ఏదైనా తృతీయపక్ష క్లెయింలు లేదా ఆరోపణలకు విరుద్ధంగా మనల్ని మనం పరిశోధించుకోవడం మరియు సమర్థించుకోవడం; (4) మా సేవల భద్రత లేదా సమగ్రతను సంరక్షించడం (ఇలాంటి బెదిరింపులను ఎదుర్కొంటున్న కంపెనీలతో భాగస్వామ్యం చేయడం వంటివి); లేదా (5) ఎవరైనా వ్యక్తి యొక్క హక్కులు మరియు భద్రతను ఉపయోగించడం లేదా సంరక్షించడం."
Binpur - Ii,బిన్పూర్ - Ii
Available in 12 different languages,12 వేర్వేరు భాషలలో లభిస్తుంది
"Clarification regarding Cost of Smart phones (03 June, 2021)","స్మార్ట్ ఫోన్ల ధరల స్పష్టత (03 జూన్, 2021)"
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc., to ensure efficiency and effective outcomes.","సాంకేతిక పరిజ్ఞానం, లక్ష్యంగా ఉన్న విధానం మరియు కలయిక ద్వారా పిల్లలు, కౌమారదశలు, గర్భిణీ స్త్రీలు మరియు పాలిచ్చే తల్లులకు పోషక ఫలితాలను మెరుగుపరిచేందుకు పోషాన్ అభియాన్ భారత ప్రభుత్వ ప్రధాన కార్యక్రమం.ఆరోగ్యం, పోషణ, పారిశుద్ధ్య రంగాలు మొదలైన వాటిలో వివిధ కార్యక్రమాల మధ్య సినర్జీని సృష్టించడం, సామర్థ్యం మరియు సమర్థవంతమైన ఫలితాలను నిర్ధారించడానికి ఈ చొరవ ప్రాధాన్యత ఇస్తుంది."
Observing Breastfeeding In Newborn Babies,నవజాత శిశువులలో స్తన్యం ఇవ్వడం గమనించడం
Dzongu Tribal Project,డ్జొంగు గిరిజన ప్రాజెక్ట్
Gadchiroli - Maharashtra,గాడ్చిరోలి - మహారాష్ట్ర
New Hanuman Nagar,న్యూ హనుమాన్ నగర్
West Jaintia Hills,పశ్చిమ జయంతియా కొండలు
BARUIPUR Addl.,బరూయిపూర్ అడిష్నల్.
ICDS PROJECT,ఐసిడిఎస్ ప్రాజెక్ట్
Raghunathganj - I Addl.,రఘునాథ్గంజ్ - I అడిష్నల్
Cooch Behar I Addl,కూచ్ బెహర్ I అడిష్నల్
along with status update once resolved,ఒకసారి పరిష్కరించబడిన స్థితి నవీకరణతో పాటు
Shar Slum Akbarpur,షార్ స్లమ్ అక్బర్పూర్
Sheopur - Madhya Pradesh,షియోపూర్ - మధ్యప్రదేశ్
Tehatta 1 Addl,టెహట్టా 1 ఎడిష్నల్
East Jaintia Hills,తూర్పు జయంతియా కొండలు
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","భద్రతా ప్రయోజనాల కోసం లేదా మా సేవా నిబంధనల యొక్క సంభావ్య మోసం లేదా ఇతర ఉల్లంఘనలు మరియు/లేదా మా సభ్యులు, సందర్శకులు లేదా ఇతరులకు హాని కలిగించే ప్రయత్నాలను నిరోధించడానికి లేదా పరిశోధించడానికి మేము మీ డేటాను (మీ కమ్యూనికేషన్ లతో సహా) ఉపయోగిస్తాము."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",సిస్టమ్ యొక్క భద్రత మరియు స్కేలబిలిటీ కొరకు MWCD ద్వారా నియమించబడ్డ ఆడిటర్ ల ద్వారా పోషణ్ ట్రాకర్ సిస్టమ్ రెగ్యులర్ గా ఆడిట్ చేయబడుతుంది.
The records may be used for such audits.,అటువంటి ఆడిట్ ల కొరకు రికార్డులను ఉపయోగించవచ్చు.
Chinsurah Mogra Addl.,చిన్సురా మోగ్రా అడిష్నల్.
Mohan Lal Ganj,మోహన్ లాల్ గంజ్
Mira Bhayandar Virar,మీరా భయందర్ విరార్
Poshan Tracker adds new Resources on Website,పోషన్ ట్రాకర్ వెబ్సైట్ ఫీచర్లో కొత్త వనరులను జోడిస్తుంది
Please Enter Valid Mobile Number,దయచేసి సరైన మొబైల్ నెంబరు నమోదు చేయండి
Suti II Addl,సుతి II అడిష్నల్
Home Visit Alerts,హోమ్ విజిట్ అలర్ట్ లు
How to use Poshan Calculator?,పోషణ కాలిక్యులేటర్ ను ఎలా ఉపయోగించాలి?
"If this is your first time contacting us or you've lost the ticket number, please open a new ticket","ఒకవేళ మీరు మమ్మల్ని సంప్రదించడం ఇదే మొదటిసారి అయితే లేదా మీరు టిక్కెట్ నెంబరును పోగొట్టుకున్నట్లయితే, దయచేసి కొత్త టిక్కెట్ ని తెరవండి"
Beneficiary record becoming inactive,లబ్ధిదారుని రికార్డు నిష్క్రియంగా మారుతోంది
2.4. Security and Audit.,2.4. సెక్యూరిటీ మరియు ఆడిట్.
Firozabad City 1,ఫిరోజాబాద్ సిటీ 1
Theni - Urban,తేని - అర్బన్
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.","'పోషణ్ ట్రాకర్' అనేది ఒక మొబైల్ ఆధారిత అప్లికేషన్, ఇది భారత ప్రభుత్వ మహిళా మరియు శిశు అభివృద్ధి మంత్రిత్వ శాఖ, నేషనల్ ఇ-గవర్నెన్స్ డివిజన్ (ఎన్ఇజిడి), మైగోవ్ ద్వారా 2021 మార్చి 1 న ఒక ముఖ్యమైన పరిపాలనా సాధనంగా విడుదల చేసింది."
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","పోషణ్ ట్రాకర్ కింద సాంకేతిక పరిజ్ఞానం పిల్లలలో ఎదుగుదల, వృధా, తక్కువ బరువు ప్రాబల్యం యొక్క సరైన గుర్తింపు మరియు న్యూట్రిషన్ సర్వీస్ డెలివరీ యొక్క లాస్ట్ మైల్ ట్రాకింగ్ కొరకు పరపతి చేయబడుతోంది"
Dadra & Nagar Haveli,దాద్రా మరియు నగర్ హవేలి
Habibpur Addl.,హబీబ్పూర్ అడిష్నల్.
2,2
Icds Tirur Addl,ఐసిడిఎస్ తిరుర్ అడిష్నల్
Raipur-  Karchulian-2,రాయ్పూర్- కార్చులియన్-2
The System also takes feedback about system performance and experience.,సిస్టమ్ పనితీరు మరియు అనుభవం గురించి కూడా సిస్టమ్ ఫీడ్ బ్యాక్ తీసుకుంటుంది.
"Information on name, mobile number, date of registration and health status may be used for these purposes","పేరు, మొబైల్ నెంబరు, రిజిస్ట్రేషన్ తేదీ మరియు ఆరోగ్య స్థితిపై సమాచారాన్ని ఈ ప్రయోజనాల కొరకు ఉపయోగించవచ్చు"
Medchal - Malkajigiri,మేడ్చల్ మల్కాజ్గిరి
Poshan Tracker App,పోషణ్ ట్రాకర్ యాప్
Aspirational Districts Program,ఆకాంక్షాత్మక జిల్లాల కార్యక్రమం
Kultali Addl.ICDS Project,కుల్తాలీ అడిష్నల్ ఐసిడిఎస్ ప్రాజెక్ట్
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","మీరు ఖాతాకు సైన్ అప్ చేసినప్పుడు సహా, మీరు మా సేవలను ఉపయోగించినప్పుడు మీరు అందించే కంటెంట్ మరియు ఇతర సమాచారాన్ని మేము సేకరిస్తాము."
"This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.","దీనిలో ఇవి ఉండవచ్చు- (i) పేరు (ii) మొబైల్ నెంబరు (iii) పుట్టిన తేదీ (iv) లింగం (v) బిడ్డ పేరు (vi) ఆధార్ నెంబరు (vii) చిరునామామీకు ఒక ప్రొడక్ట్ లేదా ఫీచర్ ని అందించడానికి అవసరమైన డేటాను అందించరాదని మీరు ఎంచుకున్నట్లయితే, మీరు ఆ ప్రొడక్ట్ లేదా ఫీచర్ ని ఉపయోగించలేరు."
"You may, however, choose not to share personal data where providing the data is optional.","అయితే, డేటాను అందించడం ఐచ్ఛికంగా ఉన్న చోట వ్యక్తిగత డేటాను భాగస్వామ్యం చేయరాదని మీరు ఎంచుకోవచ్చు."
Tracking of services to the end beneficiary at a click of a button.,ఒక బటన్ క్లిక్ చేయడం ద్వారా తుది లబ్ధిదారునికి సేవలను ట్రాక్ చేయడం.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","టేక్ హోమ్ రేషన్ (THR) మరియు హాట్ వండిన భోజనం (HCM), శిశువులు మరియు గర్భిణీ స్త్రీలకు వ్యాక్సినేషన్ వంటి సేవలు"
Enter Weight in kilogram,బరువును కిలోగ్రామ్ లో నమోదు చేయండి
Garbeta - I Adl.,గార్బెటా - I ఎడిఎల్
Lakhimpur Kheri City,లఖింపూర్ ఖేరీ సిటీ
"New Poshan Tracker App (13 January, 2021)","కొత్త పోషన్ ట్రాకర్ యాప్ (13 జనవరి, 2021)"
Preventing illnesses to avert Malnutrition and Death,పోషకాహార లోపం మరియు మరణాన్ని నివారించడానికి అస్వస్థతలను నిరోధించడం
Ketugram - II,కేతుగ్రామం - II
Jamuria - II,జమురియా - II
Pachim Mangaldai Icds Project,పాచిమ్ మంగళ్దాయి ఐసిడిఎస్ ప్రాజెక్ట్
Chandrakona - I,చంద్రకోన - I
N & M Andaman,ఉత్తర మరియు మధ్య అండమాన్
Scan the QR Code to Download the App,యాప్ డౌన్ లోడ్ చేసుకోవడం కొరకు QR కోడ్ స్కాన్ చేయండి
North 24 Parganas,ఉత్తర 24 పరగణాలు
UJJAIN - U,ఉజ్జయిన్ - యు
Pregnant women who received Take Home Ration (THR),టేక్ హోమ్ రేషన్ (THR) అందుకున్న గర్భిణీ స్త్రీలు
Icds Kasrgod Addl,ఐసిడిఎస్ కాసర్గోడ్ అడిష్నల్
Please enter valid Height,దయచేసి సరైన ఎత్తును నమోదు చేయండి
How one can add AWW/AWCs?,AWW/AWC ను ఎలా జోడించవచ్చు?
Khatra - I,ఖత్రా - I
West Khasi Hills,పశ్చిమ ఖాసీ కొండలు
Growth Monitoring Assessment Charts,గ్రోత్ మానిటరింగ్ అసెస్ మెంట్ ఛార్టులు
Memari - I,మెమారి - I
Raiganj (R) Addl.,రాయ్గంజ్ (ఆర్) అడిష్నల్
Assessment of growth in children,పిల్లల్లో ఎదుగుదలను మదింపు చేయడం
South West Khasi Hills,నైరుతి ఖాసీ కొండలు
Request for Take Home Ration,ఇంటికి తీసుకువెళ్ళే రేషన్ కోసం అభ్యర్థన
CANNING II MAIN,క్యానింగ్ II మెయిన్
Siliguri (U) ICDS PROJECT,సిలిగురి (యు) ఐసిడిఎస్ ప్రాజెక్ట్
General Awareness on SAM and MAM, ఎస్. ఎ. ఎం మరియు ఎం. ఎ. ఎం పై సాధారణ అవగాహన
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.",తగిన ఇంటర్నెట్ కనెక్షన్ లేకుండా ఏ యాప్ పనిచేయదు.
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India.","అధీకృత సంస్థలు భారత ప్రభుత్వం ద్వారా ఏర్పాటు చేయబడ్డ అన్ని వర్తించే చట్టాలు, రెగ్యులేషన్ లు, పాలసీలు మరియు తృతీయపక్ష హక్కులకు (డేటా లేదా సాఫ్ట్ వేర్, గోప్యత మరియు స్థానిక చట్టాల యొక్క దిగుమతి లేదా ఎగుమతికి సంబంధించిన ఏవైనా చట్టాలతో సహా మరియు పరిమితి లేకుండా) కట్టుబడి ఉంటాయి."
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,పోషణ్ ట్రాకర్ తో ఈ నిబంధనలతో సహా చట్టవ్యతిరేక కార్యకలాపం లేదా తృతీయపక్ష హక్కుల ఉల్లంఘనను సంహరించడానికి లేదా ప్రోత్సహించడానికి ఈ సంస్థలు APIలు/నో-కోడ్ వెబ్ పేజీ ఇంటిగ్రేషన్ ను ఉపయోగించవు.
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","గర్భిణీ స్త్రీలు, పాలిచ్చే తల్లులు, 6 నెలల నుండి 3 సంవత్సరాల వరకు పిల్లలు మరియు కౌమార బాలికలు."
6. DATA SECURITY,6. డేటా భద్రత
South Salmara Mankachar,దక్షిణ సల్మారా మంకాచార్
0 months to 6 years,0 నెలల నుంచి 6 సంవత్సరాల వరకు
CHECK TICKET STATUS,టికెట్ స్టేటస్ చెక్ చేయండి
Icds Kanhangad Addl,ఐసిడిఎస్ కన్హంగాడ్ అడిష్నల్
CDPO Ghatkopar Urban,సిడిపిఒ ఘట్కోపర్ అర్బన్
Target / Total no.,టార్గెట్/మొత్తం నెంబరు.
of,యొక్క
Enter Email Address,ఇ- మెయిల్ అడ్రస్ నమోదు చేయండి
Dholpur - Rajasthan,ధోల్పూర్ - రాజస్థాన్
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","కొత్త పోషన్ ట్రాకర్ యాప్ః CSC-SPV నోడల్ వ్యక్తి (02 ఫిబ్రవరి, 2021)"
Udam Singh Nagar,ఉధమ్ సింగ్ నగర్
