eng,pa
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","ਇਸ ਤੋਂ ਇਲਾਵਾ, ਅਨੁਵਾਦ 'ਤੇ, ਭਾਸਾਵੀਂ ਰੁਕਾਵਟਾਂ ਦੇ ਕਾਰਨ, ਕੁਝ ਐਪਲੀਕੇਸਨਾਂ ਅਤੇ/ਜਾਂ ਸੇਵਾਵਾਂ ਉਮੀਦ ਅਨੁਸਾਰ ਕੰਮ ਨਹੀਂ ਕਰ ਸਕਦੀਆਂ।"
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","ਅਸੀਂ ਇਸ ਪੋਰਟਲ 'ਤੇ ਪ੍ਰਦਾਨ ਕੀਤੇ ਅਨੁਵਾਦਾਂ ਵਿੱਚ ਕਿਸੇ ਵੀ ਤਰੁੱਟੀ, ਭੁੱਲ ਜਾਂ ਅਸਪਸਟਤਾ ਨੂੰ ਸੁਧਾਰਨ ਲਈ ਲਗਾਤਾਰ ਕੰਮ ਕਰ ਰਹੇ ਹਾਂ।"
AWH Position Filled,ਏਡਬਲਿਊਐਚ ਅਹੁਦਾ ਭਰਿਆ
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ਨੇ ਵਿਆਪਕ ਤੌਰ 'ਤੇ ਵੱਖ-ਵੱਖ ਨਸਲੀ ਪਿਛੋਕੜ ਅਤੇ ਸੱਭਿਆਚਾਰਕ ਦੇ (ਬ੍ਰਾਜੀਲ, ਘਾਨਾ, ਭਾਰਤ, ਨਾਰਵੇ, ਓਮਾਨ ਅਤੇ ਅਮਰੀਕਾ) ਲਗਭਗ 8500 ਬੱਚਿਆਂ ਤੋਂ ਪ੍ਰਾਇਮਰੀ ਵਿਕਾਸ ਅੰਕੜੇ ਅਤੇ ਸੰਬੰਧਿਤ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕੀਤੀ।"
Ratua - I Addl.,ਰਤੁਆ - I ਏਡੀਡੀਐਲ.
Please enter Height,ਕਿਰਪਾ ਕਰਕੇ ਉਚਾਈ ਦਰਜ ਕਰੋ
Harda Gramin 2,ਹਰਦਾ ਪੇਂਡੂ 2
Children of different age groups are monitored on monthly basis by AWWs.,ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (AWWs) ਦੁਆਰਾ ਵੱਖ-ਵੱਖ ਉਮਰ ਸਮੂਹਾਂ ਦੇ ਬੱਚਿਆਂ ਦੀ ਮਾਸਿਕ ਆਧਾਰ 'ਤੇ ਨਿਗਰਾਨੀ ਕੀਤੀ ਜਾਂਦੀ ਹੈ।
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","ਸਿਹਤ ਸੂਚਕਾਂ ਜਿਵੇਂ ਕਿ ਅਵਿਕਸਿਤਟਾ, ਦੁਰਬਲਤਾ ਅਤੇ ਘੱਟ ਭਾਰ ਦਾ ਪ੍ਰਚਲਨ WHO ਦੇ ਮਾਪਦੰਡਾਂ ਅਨੁਸਾਰ ਮਾਪਿਆ ਜਾਂਦਾ ਹੈ।"
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,ਨਿਯਮਤ ਵਾਧੇ ਦੀ ਨਿਗਰਾਨੀ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (AWWs) ਨੂੰ ਬੱਚਿਆਂ ਨੂੰ ਢੁਕਵੀਂ ਅਤੇ ਸਮੇਂ ਸਿਰ ਸਹਾਇਤਾ ਪ੍ਰਦਾਨ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਦੀ ਹੈ
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","ਕੁਪੋਸਣ ਨੂੰ ਰੋਕਣ ਲਈ ਬੱਚਿਆਂ ਵਿੱਚ ਰੁਕੇ ਹੋਏ ਵਾਧੇ, ਦੁਰਬਲਤਾ ਪ੍ਰਤੀ ਜਾਗਰੂਕਤਾ"
Create a New Ticket,ਇੱਕ ਨਵੀਂ ਟਿਕਟ ਬਣਾਓ
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","ਸਾਈਟ ਅਤੇ ਸਾਰਾ ਡਾਟਾ, ਲਿਖਤ, ਡਿਜਾਈਨ, ਪੰਨੇ, ਪ੍ਰਿੰਟ ਸਕ੍ਰੀਨ, ਚਿੱਤਰ, ਆਰਟਵਰਕ, ਫੋਟੋਆਂ, ਆਡੀਓ ਅਤੇ ਵੀਡੀਓ ਕਲਿੱਪ, HTML ਕੋਡ, ਸਰੋਤ ਕੋਡ, ਜਾਂ ਸੌਫਟਵੇਅਰ ਜੋ ਸਾਈਟ 'ਤੇ ਹਨ ਜਾਂ ਦੇਖਣਯੋਗ ਜਾਂ ਹੋਰ ਖੋਜਣ ਯੋਗ ਹਨ, ਅਤੇ ਸਾਈਟ ਤੋਂ ਬੁੱਕ ਕੀਤੇ ਸਾਰੇ ਭਾਗੀਦਾਰ, (ਸਮੂਹਿਕ ਤੌਰ 'ਤੇ, ""ਸਮੱਗਰੀ"" ਕਿਹਾ ਜਾਂਦਾ ਹੈ) ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲੇ ਅਤੇ ਉਹਨਾਂ ਦੇ ਅਧਿਕਾਰਤ ਸੇਵਾ ਪ੍ਰਦਾਤਾਵਾਂ ਦੀ ਮਲਕੀਅਤ ਹੈ।"
Jaleswar Icds Project,ਜਲੇਸਵਰ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Poshan Tracker adds new application features,ਪੋਸਣ ਟ੍ਰੈਕਰ ਵਿੱਚ ਨਵੀਂ ਐਪਲੀਕੇਸਨ ਵਿਸੇਸਤਾ ਜੁੜਦੀ ਹੈ
Making or Updating Home Visit Planner and Initiating home visits,ਹੋਮ ਵਿਜਿਟ ਪਲੈਨਰ ਬਣਾਉਣਾ ਜਾਂ ਅੱਪਡੇਟ ਕਰਨਾ ਅਤੇ ਘਰੇਲੂ ਮੁਲਾਕਾਤਾਂ ਦੀ ਸੁਰੂਆਤ ਕਰਨਾ
Uraiyur    Project-1,ਉਰੈਯੁਰ ਪ੍ਰੋਜੈਕਟ-1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ਪੋਸਣ ਕੈਲਕੁਲੇਟਰ ਵਿਸਵ ਸਿਹਤ ਸੰਗਠਨ (ਡਬਲਿਊ ਐਚ ਓ) ਦੁਆਰਾ ਪਰਿਭਾਸਿਤ ਮਾਪਦੰਡਾਂ ਦੇ ਅਧਾਰ ਤੇ ਬੱਚੇ ਦੇ ਵਿਕਾਸ ਨੂੰ ਮਾਪਣ ਲਈ ਤਿਆਰ ਕੀਤਾ ਗਿਆ ਹੈ।
Asthampatti (Sal Pro 1),ਅਸਥਮਪੱਤੀ (ਸਾਲ ਪ੍ਰੋ 1)
Migrated from one category to another,ਇੱਕ ਸ੍ਰੇਣੀ ਤੋਂ ਦੂਸਰੀ ਵਿੱਚ ਬਦਲਣਾ
Icds Parappa Additional,ਆਈਸੀਡੀਐਸ ਪਰੱਪਾ ਵਧੀਕ
Binpur - I Adl.,ਬਿਨਪੁਰ - I ਏਡੀਐਲ.
Wasting (Weight for Height)-,ਦੁਰਬਲਤਾ (ਕੱਦ ਅਨੁਸਾਰ ਵਜਨ)-
Soreng Rural Project,ਸੋਰੇਂਗ ਪੇਂਡੂ ਪ੍ਰੋਜੈਕਟ
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ਇਹ ਆਮ ਤੌਰ 'ਤੇ ਉਦੋਂ ਵਾਪਰਦਾ ਹੈ ਜਦੋਂ ਕਿਸੇ ਵਿਅਕਤੀ ਨੇ ਉੱਚਿਤ ਗੁਣਵੱਤਾ ਅਤੇ ਮਾਤਰਾ ਦਾ ਭੋਜਨ ਨਹੀਂ ਲਿਆ ਹੁੰਦਾ ਹੈ ਅਤੇ/ਜਾਂ ਉਹਨਾਂ ਨੂੰ ਅਕਸਰ ਜਾਂ ਲੰਬੇ ਸਮੇਂ ਤੋਂ ਬਿਮਾਰੀਆਂ ਹੁੰਦੀਆਂ ਹਨ
Dinhata - I Addl,ਦਿਨਹਾਟਾ - I ਏਡੀਡੀਐਲ
Mohgaon - R,ਮੋਹਗਾਂਵ- ਆਰ
Malnutrition is one of the most important challenges facing contemporary India.,ਕੁਪੋਸਣ ਸਮਕਾਲੀ ਭਾਰਤ ਦੇ ਸਾਹਮਣੇ ਸਭ ਤੋਂ ਮਹੱਤਵਪੂਰਨ ਚੁਣੌਤੀਆਂ ਵਿੱਚੋਂ ਇੱਕ ਹੈ.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,ਪੋਸਣ ਨੂੰ ਰਾਸਟਰੀ ਅਤੇ ਗਲੋਬਲ ਟਿਕਾ.
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.","ਵਿਕਾਸ ਟੀਚਿਆਂ ਦੀ ਪ੍ਰਾਪਤੀ ਲਈ ਕੇਂਦਰੀ ਮੰਨਿਆ ਜਾਂਦਾ ਹੈ. . ਰਤਾਂ ਰਤਾਂ ਅਤੇ ਬੱਚਿਆਂ ਲਈ ਕਮਿ ਬਚ ਨਿਟੀ ਵਿਚ ਮਾੜੀ ਸਿਹਤ ਅਤੇ ਗਰੀਬੀ ਦੇ ਅੰਤਰਜਾਮੀ ਚੱਕਰ ਨੂੰ ਜੀਵਿਤ, ਪ੍ਰਫੁੱਲਤ ਕਰਨ ਅਤੇ ਤੋੜਨ ਲਈ ਅਨੁਕੂਲ ਅਤੇ ਪੋਸਣਕਵੀਂ ਪੋਸਣ ਜਰੂਰੀ ਹੈ."
"The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.","ਕੁਪੋਸਣ ਦੇ ਬੁਨਿਆਦੀ ਕਾਰਨ ਜੋ ਘੱਟ ਬੱਚਿਆਂ ਅਤੇ ਬਾਲਗਾਂ ਦੇ ਨਤੀਜੇ ਵਜੋਂ ਹੁੰਦੇ ਹਨ, ਉਹ ਬਹੁਪੱਖੀ ਅਤੇ ਆਰਥਿਕ ਅਤੇ ਸਮਾਜਿਕ ਕਾਰਨਾਂ ਵਿੱਚ ਜੜ੍ਹ ਹਨ ਜਿਵੇਂ ਕਿ ਗਰੀਬੀ, ਰਤ ਦੀ ਸਾਖਰਤਾ ਦੇ ਹੇਠਲੇ ਪੱਧਰ, ਪੀਣ ਵਾਲੇ ਸਾਫ ਪਾਣੀ ਦੀ ਪਹੁੰਚ ਦੀ ਘਾਟ, ਸਵੱਛਤਾ ਅਤੇ ਸਫਾਈ, ਜਣੇਪਾ ਦੀਆਂ ਵਿਸੇਸਤਾਵਾਂ, ਨਾਕਾਫੀ ਇਲਾਜ ਅਤੇ ਰੋਕਥਾਮ ਵਾਲੀ ਸਿਹਤ ਸੰਭਾਲ, ਜੱਚਾ, ਘਰੇਲੂ ਅਤੇ ਕਮਿਨਿਟੀ ਸਰੋਤ ਅਤੇ empਰਤ ਸਸਕਤੀਕਰਣ."
Check Ticket Status,ਟਿਕਟ ਸਥਿਤੀ ਦੀ ਜਾਂਚ ਕਰੋ
Panskura- II ICDS,ਪੰਸਕੁਰਾ- II ਆਈਸੀਡੀਐਸ
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ਪੋਸਣ ਅਭਿਆਨ, ਬੱਚਿਆਂ, ਕਿਸੋਰਾਂ, ਗਰਭਵਤੀ ਔਰਤਾਂ ਅਤੇ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਲਈ ਤਕਨਾਲੋਜੀ, ਇੱਕ ਨਿਸਾਨਾ ਪਹੁੰਚ ਅਤੇ ਇਕਸਾਰਤਾ ਦੁਆਰਾ ਲਾਭ ਪ੍ਰਾਪਤ ਕਰਨ ਦੇ ਪੋਸਣ ਸੰਬੰਧੀ ਨਤੀਜਿਆਂ ਵਿੱਚ ਸੁਧਾਰ ਲਿਆਉਣ ਲਈ ਭਾਰਤ ਦਾ ਮੁੱਖ ਪ੍ਰੋਗਰਾਮ ਹੈ ।"
Reference data not available.,ਸੰਬੰਧਿਤ ਅੰਕੜੇ ਉਪਲਬਧ ਨਹੀਂ ਹਨ।
Hot Cooked Meal (HCM) given in last 30 days,ਪਿਛਲੇ 30 ਦਿਨਾਂ ਵਿੱਚ ਦਿੱਤਾ ਗਿਆ ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ (ਐਚਸੀਐਮ)
English Bazar Adl,ਅੰਗਰੇਜੀ ਬਾਜਾਰ ਏਡੀਐਲ
"Dhalpukhuri Icds Project, Hojai.","ਢਾਲਪੁਖੁਰੀ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ, ਹੋਜਾਈ।"
Underweight (Weight for Age)-,ਘੱਟ ਭਾਰ (ਉਮਰ ਅਨੁਸਾਰ ਭਾਰ)
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,ਪੋਸਨ ਟਰੈਕਰ ਵਿੱਚ ਆਂਗਣਵਾੜੀ ਸੇਵਾ ਸਕੀਮਾਂ ਦੇ ਅੰਕੜੇ ਅਪਲੋਡ ਕਰਨਾ
On the Map,ਨਕਸੇ 'ਤੇ
Prayagraj City 2,ਪ੍ਰਯਾਗਰਾਜ ਸਹਿਰ 2
Poshan Tracker Process Flow,ਪੋਸਨ ਟ੍ਰੈਕਰ ਪ੍ਰਕਿਰਿਆ ਦਾ ਪ੍ਰਵਾਹ
New Khar Santacruz,ਨਿਊ ਖਾਰ ਸੈਂਟਾਕਰੂਜ
Enter Date of Birth,ਜਨਮ ਮਿਤੀ ਦਰਜ ਕਰੋ
0 months to 5 years,0 ਮਹੀਨੇ ਤੋਂ 5 ਸਾਲ
Delhi Project 1,ਦਿੱਲੀ ਪ੍ਰੋਜੈਕਟ 1
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,ਪੋਸਨ ਟਰੈਕਰ ਆਖਰੀ-ਮੀਲ ਦੇ ਨਾਜੁਕ ਲਾਭਪਾਤਰੀਆਂ ਲਈ ਸਵੈਚਲਿਤ ਚੇਤਾਵਨੀਆਂ ਤਿਆਰ ਕਰਦਾ ਹੈ।
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,ਇਹ ਲਾਭਪਾਤਰੀਆਂ ਅਤੇ ਡਿਊਟੀ ਧਾਰਕਾਂ ਦੀ ਅਸਲ ਸਮੇਂ ਦੀ ਹਾਜਰੀ ਦਾ ਪ੍ਰਸਤੁਤੀਕਰਨ ਕਰਕੇ ਡਿਲੀਵਰੀ ਪ੍ਰਣਾਲੀ ਦਾ ਕੁਸਲ ਆਡਿਟ ਵੀ ਯਕੀਨੀ ਬਣਾਉਂਦਾ ਹੈ।
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","ਇਹ ਪ੍ਰਬੰਧਨ ਸੂਚਨਾ ਪ੍ਰਣਾਲੀ ਪੋਸਣ ਪ੍ਰੋਗਰਾਮ ਨੂੰ ਕੁਸਲਤਾ ਨਾਲ ਸਕੇਲ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰੇਗੀ, ਇਸ ਤਰ੍ਹਾਂ ਸਕਾਰਾਤਮਕ ਪ੍ਰਭਾਵ ਪੈਦਾ ਕਰਨ ਅਤੇ ਦਸਤਾਵੇਜ ਬਣਾਉਣ ਵਿੱਚ"
How can one Download Poshan Tracker App?,ਕੋਈ ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਕਿਵੇਂ ਡਾਊਨਲੋਡ ਕਰ ਸਕਦਾ ਹੈ?
AWC Opening and AWW behaviour,AWC ਓਪਨਿੰਗ ਅਤੇ AWW ਵਿਵਹਾਰ
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","ਅਸੀਂ ਕਿਸੇ ਕਾਨੂੰਨੀ ਬੇਨਤੀ, ਸੰਮਨ, ਜਾਂ ਹੋਰ ਕਾਨੂੰਨੀ ਪ੍ਰਕਿਰਿਆ ਦੇ ਜਵਾਬ ਵਿੱਚ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਸੁਰੱਖਿਅਤ ਅਤੇ ਸਾਂਝੀ ਕਰ ਸਕਦੇ ਹਾਂ ਜਾਂ ਜੇਕਰ ਸਾਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਵਿਸਵਾਸ ਹੈ ਕਿ (1) ਧੋਖਾਧੜੀ ਜਾਂ ਗੈਰ-ਕਾਨੂੰਨੀ ਗਤੀਵਿਧੀਆਂ ਦੀ ਜਾਂਚ, ਰੋਕਥਾਮ ਜਾਂ ਕਾਰਵਾਈ ਕਰਨ ਲਈ ਖੁਲਾਸਾ ਕਰਨਾ ਉਚਿਤ ਤੌਰ 'ਤੇ ਜਰੂਰੀ ਹੈ।ਜਾਂ ਸਰਕਾਰੀ ਲਾਗੂ ਕਰਨ ਵਾਲੀਆਂ ਏਜੰਸੀਆਂ ਦੀ ਮਦਦ ਕਰਨ ਲਈ; (2) ਤੁਹਾਡੇ ਨਾਲ ਸਾਡੇ ਲਾਗੂ ਹੋਏ ਸਮਝੌਤੇ ਤਹਿਤ; (3) ਕਿਸੇ ਵੀ ਤੀਜੀ-ਧਿਰ ਦੇ ਦਾਅਵਿਆਂ ਜਾਂ ਦੋਸਾਂ ਦੇ ਵਿਰੁੱਧ ਆਪਣੀ ਜਾਂਚ ਅਤੇ ਬਚਾਅ ਲਈ; (4) ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਸੁਰੱਖਿਆ ਜਾਂ ਅਖੰਡਤਾ ਦੀ ਰੱਖਿਆ ਲਈ (ਜਿਵੇਂ ਕਿ ਸਮਾਨ ਖਤਰਿਆਂ ਦਾ ਸਾਹਮਣਾ ਕਰ ਰਹੀਆਂ ਕੰਪਨੀਆਂ ਨਾਲ ਸਾਂਝਾ ਕਰਕੇ); ਜਾਂ (5) ਕਿਸੇ ਵਿਅਕਤੀ ਦੇ ਅਧਿਕਾਰਾਂ ਅਤੇ ਸੁਰੱਖਿਆ ਦੀ ਵਰਤੋਂ ਜਾਂ ਸੁਰੱਖਿਆ ਕਰਨਾ।"
Binpur - Ii,ਬਿਨਪੁਰ - I
Available in 12 different languages,12 ਵੱਖ-ਵੱਖ ਭਾਸਾਵਾਂ ਵਿੱਚ ਉਪਲਬਧ ਹੈ
"Clarification regarding Cost of Smart phones (03 June, 2021)","ਸਮਾਰਟ ਫੋਨਾਂ ਦੀ ਕੀਮਤ ਬਾਰੇ ਸਪਸਟੀਕਰਨ (03 ਜੂਨ, 2021)"
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc., to ensure efficiency and effective outcomes.","ਪੋਸਣ ਅਭਿਆਨ ਭਾਰਤ ਸਰਕਾਰ ਦਾ ਪ੍ਰੋਗ੍ਰਾਮ ਪ੍ਰੋਗਰਾਮ ਹੈ ਜੋ ਬੱਚਿਆਂ, ਕਿਸੋਰਾਂ, ਗਰਭਵਤੀ andਰਤਾਂ ਅਤੇ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਲਈ ਪੌਸਟਿਕ ਨਤੀਜਿਆਂ ਵਿਚ ਲਾਭ ਉਠਾਉਣ ਲਈ ਟੈਕਨੋਲੋਜੀ, ਇਕ ਨਿਸਾਨਾ ਪਹੁੰਚ ਅਤੇ ਇਕਸਾਰਤਾ ਦੁਆਰਾ ਸੁਧਾਰ ਕਰ ਰਿਹਾ ਹੈ.ਪਹਿਲਕਦਮੀ, ਕੁਸਲਤਾ ਅਤੇ ਪ੍ਰਭਾਵਸਾਲੀ ਨਤੀਜਿਆਂ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ ਸਿਹਤ, ਪੋਸਣ, ਸੈਨੀਟੇਸਨ ਸੈਕਟਰਾਂ ਆਦਿ ਵਿਚ ਵੱਖ ਵੱਖ ਪ੍ਰੋਗਰਾਮਾਂ ਵਿਚ ਤਾਲਮੇਲ ਪੈਦਾ ਕਰਨ 'ਤੇ ਜੋਰ ਦਿੰਦੀ ਹੈ."
Observing Breastfeeding In Newborn Babies,ਨਵਜੰਮੇ ਬੱਚਿਆਂ ਲਈ ਛਾਤੀ ਦੇ ਦੁੱਧ ਦਾ ਨਿਰੀਖਣ
Dzongu Tribal Project,ਜੋਂਗੂ ਕਬਾਇਲੀ ਪ੍ਰੋਜੈਕਟ
Gadchiroli - Maharashtra,ਗਡਚਿਰੌਲੀ - ਮਹਾਰਾਸਟਰ
New Hanuman Nagar,ਨਿਊ ਹਨੂੰਮਾਨ ਨਗਰ
West Jaintia Hills,ਪੱਛਮੀ ਜੈੱਟੀਆ ਪਹਾੜੀਆਂ
BARUIPUR Addl.ICDS PROJECT,ਬਰੂਈਪੁਰ ਏਡੀਡੀਐਲ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Raghunathganj - I Addl.,ਰਘੁਨਾਥਗੰਜ - I ਏਡੀਡੀਐਲ.
Cooch Behar I Addl,ਕੂਚ ਬਿਹਾਰ I ਏਡੀਡੀਐਲ
along with status update once resolved,ਸਮੇਤ ਸਟੇਟਸ ਅਪਡੇਟ ਜਦੋਂ ਪ੍ਰਵਾਨਿਤ ਹੁੰਦਾ ਹੈ
Shar Slum Akbarpur,ਸਾਰ ਝੁੱਗੀ ਅਕਬਰਪੁਰ
Sheopur - Madhya Pradesh,ਸੀਓਪੁਰ - ਮੱਧ ਪ੍ਰਦੇਸ
Tehatta 1 Addl,ਤੇਹੱਟਾ 1 ਏਡੀਡੀਐਲ
East Jaintia Hills,ਪੂਰਬੀ ਜੈਂਤੀਆ ਪਹਾੜੀਆਂ
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","ਅਸੀਂ ਸੁਰੱਖਿਆ ਉਦੇਸਾਂ ਲਈ ਜਾਂ ਸਾਡੀ ਸੇਵਾ ਦੀਆਂ ਸਰਤਾਂ ਅਤੇ/ਜਾਂ ਸਾਡੇ ਮੈਂਬਰਾਂ, ਮਹਿਮਾਨਾਂ ਜਾਂ ਹੋਰਾਂ ਨੂੰ ਨੁਕਸਾਨ ਪਹੁੰਚਾਉਣ ਦੀਆਂ ਕੋਸਿਸਾਂ ਦੀ ਸੰਭਾਵੀ ਧੋਖਾਧੜੀ ਜਾਂ ਹੋਰ ਉਲੰਘਣਾਵਾਂ ਨੂੰ ਰੋਕਣ ਜਾਂ ਜਾਂਚ ਕਰਨ ਲਈ ਤੁਹਾਡੇ ਅੰਕੜਿਆਂ (ਤੁਹਾਡੇ ਸੰਚਾਰਾਂ ਸਮੇਤ) ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ।"
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.","ਸਿਸਟਮ ਦੀ ਸੁਰੱਖਿਆ ਅਤੇ ਸਕੇਲੇਬਿਲਟੀ ਲਈ, ਪੋਸਣ ਟਰੈਕਰ ਸਿਸਟਮ ਦਾ ਨਿਯਮਿਤ ਤੌਰ 'ਤੇ ਐਮਡਬਲਿਊਸੀਡੀ (MWCD) ਦੁਆਰਾ ਲੱਗੇ ਆਡੀਟਰਾਂ ਦੁਆਰਾ ਆਡਿਟ ਕੀਤਾ ਜਾਂਦਾ ਹੈ।"
The records may be used for such audits.,ਅਜਿਹੇ ਆਡਿਟ ਲਈ ਰਿਕਾਰਡ ਦੀ ਵਰਤੋਂ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ।
Chinsurah Mogra Addl.,ਚਿਨਸੂਰਾ ਮੋਗਰਾ ਏਡੀਡੀਐਲ.
Mohan Lal Ganj,ਮੋਹਨ ਲਾਲ ਗੰਜ
Mira Bhayandar Virar,ਮੀਰਾ ਭਾਯੰਦਰ ਵਿਰਾਰ
Poshan Tracker adds new Resources on Website,ਪੋਸਣ ਟ੍ਰੈਕਰ ਵਿੱਚ ਨਵੀਂ ਵੈੱਬਸਾਈਟ ਉੱਤੇ ਸ੍ਰੋਤ ਵਿਸੇਸਤਾ ਜੁੜਦੀ ਹੈ
Please Enter Valid Mobile Number,ਕਿਰਪਾ ਕਰਕੇ ਉਚਿਤ ਮੋਬਾਈਲ ਨੰਬਰ ਦਰਜ ਕਰੋ
Suti II Addl,ਸੂਤੀ II ਏਡੀਡੀਐਲ
Home Visit Alerts,ਹੋਮ ਵਿਜਿਟ ਅਲਰਟ
How to use Poshan Calculator?,ਪੋਸਨ ਕੈਲਕੁਲੇਟਰ ਦੀ ਵਰਤੋਂ ਕਿਵੇਂ ਕਰੀਏ?
Beneficiary record becoming inactive,ਲਾਭਪਾਤਰੀ ਰਿਕਾਰਡ ਦਾ ਅਕਿਰਿਆਸੀਲ ਹੋਣਾ
2.4. Security and Audit.,2.4. ਸੁਰੱਖਿਆ ਅਤੇ ਆਡਿਟ(ਪ੍ਰਤੀ ਪੁਸਟੀ)।
Firozabad City 1,ਫਿਰੋਜਾਬਾਦ ਸਹਿਰ 1
Theni - Urban,ਤੇਨਿ - ਸਹਿਰੀ
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.","ਪੋਸਣ ਟਰੈਕਰ' ਇੱਕ ਮੋਬਾਈਲ ਅਧਾਰਤ ਐਪਲੀਕੇਸਨ ਹੈ ਜੋ ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲੇ, ਭਾਰਤ ਸਰਕਾਰ ਦੁਆਰਾ 1 ਮਾਰਚ 2021 ਨੂੰ ਨੈਸਨਲ ਈ-ਗਵਰਨੈਂਸ ਡਿਵੀਜਨ (NeGD), MyGov ਦੁਆਰਾ ਇੱਕ ਮਹੱਤਵਪੂਰਨ ਗਵਰਨੈਂਸ ਟੂਲ ਵਜੋਂ ਸੁਰੂ ਕੀਤੀ ਗਈ ਹੈ।"
