eng,or
Ratua - I Addl.,ରତୁଆ - I ଆଡିସନାଲ୍
Please enter Height,ଦୟାକରି ଉଚ୍ଚତା ପ୍ରବେଶ କରନ୍ତୁ |
Harda Gramin 2,ହାର୍ଡା ଗ୍ରାମୀଣ 2
"Children of different age groups are monitored on monthly basis by AWWs.Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.Regular growth monitoring helps AWWs to provide relevant and timely assistance to children","ବିଭିନ୍ନ ବୟସ ବର୍ଗର ପିଲାମାନଙ୍କୁ ମାସିକ AWW ଦ୍ୱାରା ତଦାରଖ କରାଯାଏ | WHO ମାନାଙ୍କ ଅନୁଯାୟୀ ଚମତ୍କାର, ଅପଚୟ ଏବଂ ଓଜନ କମ୍ ପ୍ରାଦୁର୍ଭାବ ପରି ସ୍ୱାସ୍ଥ୍ୟ ସୂଚକ ମାପ କରାଯାଏ | ନିୟମିତ ଅଭିବୃଦ୍ଧି ମନିଟରିଂ AWW ପିଲାମାନଙ୍କୁ ପ୍ରାସଙ୍ଗିକ ଏବଂ ସମୟାନୁବର୍ତ୍ତୀ ସହାୟତା ଯୋଗାଇବାରେ ସାହାଯ୍ୟ କରେ |"
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","ପିଲାମାନଙ୍କ ପାଇଁ ସଚେତନତା, ପିଲାମାନଙ୍କଠାରେ ପୁଷ୍ଟିହୀନତାକୁ ରୋକିବା ପାଇଁ ଅପଚୟ"
Create a New Ticket,ଏକ ନୂତନ ଟିକେଟ୍ ସୃଷ୍ଟି କରନ୍ତୁ
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","ସାଇଟ୍ ଏବଂ ସମସ୍ତ ତଥ୍ୟ, ପାଠ୍ୟ, ଡିଜାଇନ୍, ପୃଷ୍ଠା, ପ୍ରିଣ୍ଟ୍ ସ୍କ୍ରିନ୍, ପ୍ରତିଛବି, ଚିତ୍ରକଳା, ଫଟୋଗ୍ରାଫ୍, ଅଡିଓ ଏବଂ ଭିଡିଓ କ୍ଲିପ୍ସ, HTML କୋଡ୍, ଉତ୍ସ କୋଡ୍, କିମ୍ବା ସଫ୍ଟୱେୟାର ଯାହା ସାଇଟରେ ରହିଥାଏ କିମ୍ବା ଦୃଶ୍ୟମାନ ହୁଏ କିମ୍ବା ଅନ୍ୟ ଆବିଷ୍କାର ହୁଏ, ଏବଂ ସମସ୍ତ ଅଂଶଗ୍ରହଣକାରୀ ବୁକ୍ ହୋଇଗଲେ | ସାଇଟରୁ, (ସାମୂହିକ ଭାବରେ, ""ବିଷୟବସ୍ତୁ"" କୁହାଯାଏ) ମହିଳା ଏବଂ ଶିଶୁ ବିକାଶ ମନ୍ତ୍ରଣାଳୟ ଏବଂ ସେମାନଙ୍କର ପ୍ରାଧିକୃତ ସେବା ପ୍ରଦାନକାରୀଙ୍କ ମାଲିକାନା |"
Jaleswar Icds Project,ଜଳେଶ୍ୱର ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
Poshan Tracker adds new application features,ପୋଷଣ ଟ୍ରାକର୍ ନୂତନ ଆପ୍ଲିକେସନ୍ ବୈଶିଷ୍ଟ୍ୟଗୁଡିକ ଯୋଡିଥାଏ
Making or Updating Home Visit Planner and Initiating home visits,ଘର ପରିଦର୍ଶନ ଯୋଜନା ପ୍ରସ୍ତୁତ କରିବା କିମ୍ବା ଅଦ୍ୟତନ କରିବା ଏବଂ ଘର ପରିଦର୍ଶନ ଆରମ୍ଭ କରିବା
Uraiyur    Project-1,ଉରିୟୁର ପ୍ରୋଜେକ୍ଟ-1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ବିଶ୍ୱ ସ୍ୱାସ୍ଥ୍ୟ ସଂଗଠନ (WHO) ଦ୍ୱାରା ବ୍ୟାଖ୍ୟା କରାଯାଇଥିବା ମାନାଙ୍କ ଉପରେ ଆଧାର କରି ଶିଶୁର ଅଭିବୃଦ୍ଧି ମାପିବା ପାଇଁ ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର ଡିଜାଇନ୍ କରାଯାଇଛି
Asthampatti (Sal Pro 1),ଅସ୍ତମପାଟି (ସାଲ୍ ପ୍ରୋ 1)
Migrated from one category to another,ଗୋଟିଏ ବର୍ଗରୁ ଅନ୍ୟ ବର୍ଗକୁ ସ୍ଥାନାନ୍ତରିତ ହୋଇଛି
Icds Parappa Additional,ଆଇସିଡିଏସ୍ ପରପ୍ପା ଆଡିସନାଲ୍
Binpur - I Adl.,ବିନପୁର - I ଆଡିସନାଲ୍
Wasting (Weight for Height)-,ନଷ୍ଟ (ଉଚ୍ଚତା ପାଇଁ ଓଜନ) -
Soreng Rural Project,ସୋରେଙ୍ଗ ଗ୍ରାମୀଣ ପ୍ରକଳ୍ପ
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ଏହା ସାଧାରଣତ ଘଟେ ଯେତେବେଳେ ଜଣେ ବ୍ୟକ୍ତିର ପର୍ଯ୍ୟାପ୍ତ ଗୁଣ ଏବଂ ପରିମାଣର ଖାଦ୍ୟ ନଥାଏ ଏବଂ / କିମ୍ବା ସେମାନଙ୍କର ବାରମ୍ବାର କିମ୍ବା ଦୀର୍ଘସ୍ଥାୟୀ ରୋଗ ହୋଇଥାଏ |
Dinhata - I Addl,ଦିନହତା - I ଆଡିସନାଲ୍
Mohgaon - R,ମୋହଗାଓଁ - ଆର
"Malnutrition is one of the most important challenges facing contemporary India.Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.","ପୁଷ୍ଟିହୀନତା ସମସାମୟିକ ଭାରତ ସାମ୍ନା କରୁଥିବା ଅନ୍ୟତମ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଆହ୍ .ାନ | ଜାତୀୟ ଏବଂ ଗ୍ଲୋବାଲ୍ ସ୍ଥାୟୀ ବିକାଶ ଲକ୍ଷ୍ୟ ହାସଲ ପାଇଁ ପୁଷ୍ଟିକର କେନ୍ଦ୍ରୀୟ ଭାବରେ ସ୍ୱୀକୃତିପ୍ରାପ୍ତ | ମହିଳା ଏବଂ ଶିଶୁମାନେ ବଞ୍ଚିବା, ବିବା ଏବଂ ସମାଜରେ ଖରାପ ସ୍ୱାସ୍ଥ୍ୟ ଏବଂ ଦାରିଦ୍ରର ଆନ୍ତ ଜାତୀୟ ଚକ୍ରକୁ ଭାଙ୍ଗିବା ପାଇଁ ସର୍ବୋତ୍ତମ ଏବଂ ଉପଯୁକ୍ତ ପୁଷ୍ଟିକର ଖାଦ୍ୟ ଜରୁରୀ | ପୁଷ୍ଟିହୀନତାର ମୂଳ କାରଣ ଯାହା ଅଣସଂରକ୍ଷିତ ଶିଶୁ ଏବଂ ବୟସ୍କଙ୍କ ଦ୍, ାରା ବହୁମୁଖୀ ଏବଂ ମୂଳ ଏବଂ ଅର୍ଥନ ତିକ ତଥା ସାମାଜିକ କାରଣ ଯେପରିକି ଦାରିଦ୍ର, ନିମ୍ନ ସ୍ତରର ମହିଳା ସାକ୍ଷରତା, ବିଶୁଦ୍ଧ ପାନୀୟ ଜଳର ଅଭାବ, ପରିମଳ ଏବଂ ସ୍ୱଚ୍ଛତା, ମାତୃ ଗୁଣ, ପର୍ଯ୍ୟାପ୍ତ ଉପଶମକାରୀ ଏବଂ ପ୍ରତିଷେଧକ ସ୍ୱାସ୍ଥ୍ୟ ସେବା, ମାତୃ, ଘର ଏବଂ ସମ୍ପ୍ରଦାୟ ସମ୍ବଳ ଏବଂ ମହିଳା ସଶକ୍ତିକରଣ |"
Panskura- II ICDS,ପାନସ୍କୁରା- II ଆଇସିଡିଏସ୍
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ଶିଶୁ, କିଶୋର, ଗର୍ଭବତୀମାନଙ୍କ ପାଇଁ ପୁଷ୍ଟିକର ପରିଣାମକୁ ସୁଦୃଢ କରିବା ପାଇଁ ପୋଷନ୍ ଅଭିଆନ୍ ହେଉଛି ଭାରତର ଏକ ପ୍ରମୂଖ କାର୍ଯ୍ୟକ୍ରମ ।"
Reference data not available.,ପ୍ରସଙ୍ଗ ତଥ୍ୟ ଉପଲବ୍ଧ ନାହିଁ |
Hot Cooked Meal (HCM) given in last 30 days,ବିଗତ 30 ଦିନ ମଧ୍ୟରେ ଦିଆଯାଇଥିବା ଗରମ ଭୋଜନ (HCM)
English Bazar Adl,ଇଂଲିଶ ବଜାର ଆଡିସନାଲ୍
"Dhalpukhuri Icds Project, Hojai.","ଧଲପୁଖୁରୀ ଇକ୍ସପ୍ରୋଜେକ୍ଟ, ହୋଜାଇ।"
Underweight (Weight for Age)-,ଓଜନ କମ (ବୟସ ପାଇଁ ଓଜନ) -
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,ପୃଷ୍ଟିକର ଟ୍ରାକରରେ ଅଙ୍ଗନୱାଡି ସେବା ଯୋଜନା ଗୁଡିକର ଡାଟା ଅପଲୋଡ୍
On the Map,ମାନଚିତ୍ରରେ
Prayagraj City 2,ପ୍ରୟାଗରାଜ ସିଟି 2
Poshan Tracker Process Flow,ପୋଷଣ ଟ୍ରାକର୍ ପ୍ରକ୍ରିୟା ପ୍ରବାହ
New Khar Santacruz,ନୂତନ ଖାର ସାଣ୍ଟାକ୍ରୁଜ୍
Enter Date of Birth,ଜନ୍ମ ତାରିଖ ପ୍ରବେଶ କରନ୍ତୁ |
0 months to 5 years,0 ମାସରୁ 5 ବର୍ଷ |
Delhi Project 1,ଦିଲ୍ଲୀ ପ୍ରକଳ୍ପ 1
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ଜଟିଳ ଶେଷ ମାଇଲ୍ ହିତାଧିକାରୀଙ୍କ ପାଇଁ ସ୍ୱୟଂଚାଳିତ ଆଲର୍ଟ ସୃଷ୍ଟି କରେ | ଏହା ହିତାଧିକାରୀ ଏବଂ ଡ୍ୟୁଟି ବହନକାରୀଙ୍କ ପ୍ରକୃତ ସମୟ ଉପସ୍ଥାନକୁ ଦଲିଲ କରି ବିତରଣ ପ୍ରଣାଳୀର ଦକ୍ଷ ଅଡିଟ୍ ସୁନିଶ୍ଚିତ କରେ | ଏହି ପରିଚାଳନା ସୂଚନା ପ୍ରଣାଳୀ ପୁଷ୍ଟିକର ପ୍ରୋଗ୍ରାମକୁ ଦକ୍ଷତାର ସହିତ ମାପିବାରେ ସାହାଯ୍ୟ କରିବ, ଯାହାଦ୍ୱାରା ସକରାତ୍ମକ ପ୍ରଭାବ ସୃଷ୍ଟି ଏବଂ ଡକ୍ୟୁମେଣ୍ଟ୍ ହେବ |"
How can one Download Poshan Tracker App?,ଜଣେ କିପରି ଭାବେ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଡାଉନଲୋଡ୍ କରିପାରିବେ?
AWC Opening and AWW behaviour,AWC ଖୋଲିବା ଏବଂ AWW ଆଚରଣ
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","ଏକ ଆଇନଗତ ଅନୁରୋଧ, ଉପପୋନ୍, କିମ୍ବା ଅନ୍ୟାନ୍ୟ ଆଇନଗତ ପ୍ରକ୍ରିୟାର ଉତ୍ତରରେ ଆମେ ଆପଣଙ୍କର ସୂଚନାକୁ ପ୍ରବେଶ, ସଂରକ୍ଷଣ ଏବଂ ଅଂଶୀଦାର କରିପାରିବା କିମ୍ବା ଯଦି ଆମର ଏକ ଭଲ ବିଶ୍ୱାସ ଅଛି ଯେ (1) ଠକେଇ କିମ୍ବା ବେଆଇନ କାର୍ଯ୍ୟକଳାପ ସମ୍ବନ୍ଧରେ ଅନୁସନ୍ଧାନ, ପ୍ରତିରୋଧ କିମ୍ବା କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ଗ୍ରହଣ କରିବା ଆବଶ୍ୟକ ଅଟେ | କିମ୍ବା ସରକାରୀ କାର୍ଯ୍ୟକାରିଣୀ ସଂସ୍ଥାକୁ ସାହାଯ୍ୟ କରିବା; (2) ଆପଣଙ୍କ ସହିତ ଆମର ଚୁକ୍ତିନାମାକୁ କାର୍ଯ୍ୟକାରୀ କରିବା; (3) କୌଣସି ତୃତୀୟ-ପକ୍ଷ ଦାବି କିମ୍ବା ଅଭିଯୋଗ ବିରୁଦ୍ଧରେ ନିଜକୁ ଅନୁସନ୍ଧାନ ଏବଂ ରକ୍ଷା କରିବା; (4) ଆମର ସେବାଗୁଡିକର ସୁରକ୍ଷା କିମ୍ବା ଅଖଣ୍ଡତା ରକ୍ଷା କରନ୍ତୁ (ଯେପରିକି ସମାନ ବିପଦର ସମ୍ମୁଖୀନ ହେଉଥିବା କମ୍ପାନୀଗୁଡିକ ସହିତ ଅଂଶୀଦାର କରି); କିମ୍ବା (5) କୌଣସି ବ୍ୟକ୍ତିର ଅଧିକାର ଏବଂ ନିରାପତ୍ତାକୁ ବ୍ୟାୟାମ କିମ୍ବା ସୁରକ୍ଷା କରନ୍ତୁ |"
Binpur - Ii,ବିନପୁର - II
Available in 12 different languages,12 ଟି ବିଭିନ୍ନ ଭାଷାରେ ଉପଲବ୍ଧ
"Clarification regarding Cost of Smart phones (03 June, 2021)","ସ୍ମାର୍ଟ ଫୋନର ମୂଲ୍ୟ ବିଷୟରେ ସ୍ପଷ୍ଟୀକରଣ (03 ଜୁନ୍, 2021)"
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc., to ensure efficiency and effective outcomes.","ଶିଶୁ, କିଶୋର, ଗର୍ଭବତୀ ମହିଳା ଏବଂ ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମା'ଙ୍କ ପାଇଁ ପୁଷ୍ଟିକର ଫଳାଫଳକୁ ସୁଦୃ to  କରିବା ପାଇଁ ପୋଶନ୍ ଅଭିଆନ୍ ହେଉଛି ଭାରତର ସରକାରଙ୍କ ଫ୍ଲାଗସିପ୍ କାର୍ଯ୍ୟକ୍ରମ, ଏକ ଲକ୍ଷ୍ୟ ଧାର୍ଯ୍ୟ ଆଭିମୁଖ୍ୟ ଏବଂ ସମ୍ମିଶ୍ରଣ | ଦକ୍ଷତା ଏବଂ ପ୍ରଭାବଶାଳୀ ଫଳାଫଳ ନିଶ୍ଚିତ କରିବାକୁ ସ୍ୱାସ୍ଥ୍ୟ, ପୁଷ୍ଟିକର, ପରିମଳ କ୍ଷେତ୍ର ଇତ୍ୟାଦି ବିଭିନ୍ନ କାର୍ଯ୍ୟକ୍ରମ ମଧ୍ୟରେ ସମନ୍ୱୟ ସୃଷ୍ଟି କରିବାକୁ ଏହି ପଦକ୍ଷେପ ଉପରେ ଗୁରୁତ୍ୱ ଦିଆଯାଇଛି |"
Observing Breastfeeding In Newborn Babies,ନବଜାତ ଶିଶୁମାନଙ୍କଠାରେ ସ୍ତନ୍ୟପାନ ଉପରେ ନଜର ରଖିବା
Dzongu Tribal Project,ଡିଜୋଙ୍ଗୁ ଆଦିବାସୀ ପ୍ରକଳ୍ପ
Gadchiroli - Maharashtra,ଗଢଚିରୋଲୀ - ମହାରାଷ୍ଟ୍ର
New Hanuman Nagar,ନୂତନ ହନୁମାନ ନଗର
West Jaintia Hills,ପଶ୍ଚିମ ଜୟଁତିଆ ପାହାଡ
BARUIPUR Addl.ICDS PROJECT,ବାରୁଇପୁର ଆଡିସନାଲ୍ ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
Raghunathganj - I Addl.,ରଘୁନାଥଗଞ୍ଜ - I ଆଡିସନାଲ୍
Cooch Behar I Addl,କୁଚ୍ ବିହାର I ଆଡିସନାଲ୍
along with status update once resolved,ଥରେ ସମାଧାନ ହେବା ପରେ ସ୍ଥିତି ଅପଡେଟ୍ ସହ
Shar Slum Akbarpur,ଶାର ବସ୍ତି ଆକବରପୁର
Sheopur - Madhya Pradesh,ଶ୍ୟୋପୁର - ମଧ୍ୟପ୍ରଦେଶ
Tehatta 1 Addl,ତେହଟ୍ଟା 1 ଆଡିସନାଲ୍
East Jaintia Hills,ପୂର୍ବ ଜୟଁତିଆ ପାହାଡ
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.The records may be used for such audits.","ସୁରକ୍ଷା ଉଦ୍ଦେଶ୍ୟରେ କିମ୍ବା ଆମର ସେବା ସର୍ତ୍ତାବଳୀର ସମ୍ଭାବ୍ୟ ଠକେଇ କିମ୍ବା / କିମ୍ବା ଆମର ସଦସ୍ୟ, ପରିଦର୍ଶକ କିମ୍ବା ଅନ୍ୟମାନଙ୍କୁ କ୍ଷତି ପହଞ୍ଚାଇବାକୁ ଚେଷ୍ଟା କରିବା ପାଇଁ ଆମେ ଆପଣଙ୍କର ତଥ୍ୟକୁ (ଆପଣଙ୍କର ଯୋଗାଯୋଗକୁ ଅନ୍ତର୍ଭୂକ୍ତ କରି) ବ୍ୟବହାର କରୁ |ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ସିଷ୍ଟମ୍ ନିୟମିତ ଭାବରେ MWCD ଦ୍ୱାରା ନିୟୋଜିତ ଅଡିଟରଙ୍କ ଦ୍ବାରା ସିଷ୍ଟମର ସୁରକ୍ଷା ଏବଂ ମାପନୀୟତା ପାଇଁ ଅଡିଟ୍ କରାଯାଏ | ଏହିପରି ଅଡିଟ୍ ପାଇଁ ରେକର୍ଡଗୁଡିକ ବ୍ୟବହୃତ ହୋଇପାରେ |"
Chinsurah Mogra Addl.,ଚିନ୍ସୁରା ମୋଗ୍ରା ଆଡିସନାଲ୍
Mohan Lal Ganj,ମୋହନ ଲାଲ ଗଞ୍ଜ
Mira Bhayandar Virar,ମୀରା ଭାୟାନ୍ଦର ବିରାର
Poshan Tracker adds new Resources on Website,ପୋଷଣ ଟ୍ରାକର୍ ୱେବସାଇଟ୍ ବୈଶିଷ୍ଟ୍ୟରେ ନୂତନ ଉତ୍ସ ଯୋଡିଥାଏ
Please Enter Valid Mobile Number,ଦୟାକରି ବୈଧ ମୋବାଇଲ୍ ନମ୍ବର ପ୍ରବେଶ କରନ୍ତୁ
Suti II Addl,ସୁତି II ଆଡିସନାଲ୍
Home Visit Alerts,ଗୃହ ପରିଦର୍ଶନ ଆଲର୍ଟ |
How to use Poshan Calculator?,ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର କିପରି ବ୍ୟବହାର କରିବେ?
"If this is your first time contacting us or you've lost the ticket number, please open a new ticket","ଯଦି ଏହା ଆମର ପ୍ରଥମ ଥର ଆମ ସହିତ ଯୋଗାଯୋଗ କରେ କିମ୍ବା ଆପଣ ଟିକେଟ୍ ନମ୍ବର ହରାଇଛନ୍ତି, ଦୟାକରି ଏକ ନୂତନ ଟିକେଟ୍ ଖୋଲନ୍ତୁ"
Beneficiary record becoming inactive,ହିତାଧିକାରୀ ରେକର୍ଡ ନିଷ୍କ୍ରିୟ ହେବା
2.4. Security and Audit.,2.4. ସୁରକ୍ଷା ଏବଂ ଅଡିଟ୍ |
Firozabad City 1,ଫିରୋଜାବାଦ ସିଟି 1
Theni - Urban,ଥେନି - ସହରୀ
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.","'ପୋଶାନ୍ ଟ୍ରାକର୍' ହେଉଛି ଏକ ମୋବାଇଲ୍ ଆଧାରିତ ପ୍ରୟୋଗ ଯାହାକି ମହିଳା ଏବଂ ଶିଶୁ ବିକାଶ ମନ୍ତ୍ରଣାଳୟ, ଭାରତ ସରକାରଙ୍କ ଦ୍ବାରା 1 ମାର୍ଚ୍ଚ 2021 ରେ ନ୍ୟାସନାଲ ଇ-ଗଭର୍ନାନ୍ସ ଡିଭିଜନ୍ (ନେଜିଡି) ମାଧ୍ୟମରେ ମାଇଗୋଭ୍ ଏକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଶାସନ ଉପକରଣ ଭାବରେ ଗଡାଯାଇଛି।"
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","ପୋଶାନ୍ ଟ୍ରାକର୍ ଅନ୍ତର୍ଗତ ଟେକ୍ନୋଲୋଜିକୁ ଷ୍ଟଣ୍ଟିଂ, ଅପଚୟ, ପିଲାମାନଙ୍କ ମଧ୍ୟରେ କମ୍ ଓଜନ ପ୍ରାଦୁର୍ଭାବ ଏବଂ ପୁଷ୍ଟିକର ସେବା ବିତରଣର ଶେଷ ମାଇଲ୍ ଟ୍ରାକିଂର ଗତିଶୀଳ ଚିହ୍ନଟ ପାଇଁ ବ୍ୟବହାର କରାଯାଉଛି |"
Dadra & Nagar Haveli,ଦାଦ୍ରା ଏବଂ ନାଗର ହାଭେଳି
Habibpur Addl.2,ହବିବପୁର ଆଡିସନାଲ୍ 2
Icds Tirur Addl,ଆଇସିଡିଏସ ତିରୁର ଆଡିସନାଲ୍
Raipur-  Karchulian-2,ରାୟପୁର- କାର୍ଚୁଲିଆନ୍ -2
"The System also takes feedback about system performance and experience.Information on name, mobile number, date of registration and health status may be used for these purposes","ସିଷ୍ଟମ୍ କାର୍ଯ୍ୟଦକ୍ଷତା ଏବଂ ଅଭିଜ୍ଞତା ବିଷୟରେ ମତାମତ ମଧ୍ୟ ନେଇଥାଏ | ଏହି ଉଦ୍ଦେଶ୍ୟରେ ନାମ, ମୋବାଇଲ୍ ନମ୍ବର, ପଞ୍ଜୀକରଣ ତାରିଖ ଏବଂ ସ୍ୱାସ୍ଥ୍ୟ ସ୍ଥିତି ବିଷୟରେ ସୂଚନା ବ୍ୟବହୃତ ହୋଇପାରେ |"
Medchal - Malkajigiri,ମେଡଚଲ ମାଲ୍କଜଗିରୀ
Poshan Tracker App,ପୁଷ୍ଟିକର ଟ୍ରାକର୍ ଆପ୍
Aspirational Districts Program,ଆକାଂକ୍ଷା ଜିଲ୍ଲା କାର୍ଯ୍ୟକ୍ରମ
Kultali Addl.ICDS Project,କୁଲ୍ତାଲି ଆଡିସନାଲ୍ ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.You may, however, choose not to share personal data where providing the data is optional.","ଯେତେବେଳେ ଆପଣ ଆମର ସେବା ବ୍ୟବହାର କରନ୍ତି, ସେତେବେଳେ ଆପଣ ପ୍ରଦାନ କରୁଥିବା ବିଷୟବସ୍ତୁ ଏବଂ ଅନ୍ୟାନ୍ୟ ସୂଚନା ସଂଗ୍ରହ କରିଥାଉ, ଯେତେବେଳେ ଆପଣ ଏକ ଆକାଉଣ୍ଟ୍ ପାଇଁ ସାଇନ୍ ଅପ୍ କରନ୍ତି | ଏହା ଅନ୍ତର୍ଭୁକ୍ତ କରିପାରେ- (i) ନାମ (ii) ମୋବାଇଲ୍ ନମ୍ବର (iii) ଜନ୍ମ ତାରିଖ (iv) ଲିଙ୍ଗ (v) ଶିଶୁର ନାମ (vi) ଆଧାର ନମ୍ବର (vii) ଠିକଣାଯଦି ଆପଣ ତଥ୍ୟ ପ୍ରଦାନ ନକରିବାକୁ ବାଛିଛନ୍ତି ଯାହା ଆପଣଙ୍କୁ ଏକ ଉତ୍ପାଦ କିମ୍ବା ବୈଶିଷ୍ଟ୍ୟ ଯୋଗାଇବା ପାଇଁ ଆବଶ୍ୟକ, ଆପଣ ସେହି ଉତ୍ପାଦ କିମ୍ବା ବୈଶିଷ୍ଟ୍ୟ ବ୍ୟବହାର କରିପାରିବେ ନାହିଁ | ଆପଣ, ତଥାପି, ବ୍ୟକ୍ତିଗତ ତଥ୍ୟ ଅଂଶୀଦାର ନକରିବାକୁ ବାଛିପାରିବେ ଯେଉଁଠାରେ ତଥ୍ୟ ପ୍ରଦାନ ଇଚ୍ଛାଧୀନ ଅଟେ |"
Tracking of services to the end beneficiary at a click of a button.,ଏକ ବଟନ୍ କ୍ଲିକ୍ କରି ଶେଷ ହିତାଧିକାରୀଙ୍କୁ ସେବାଗୁଡିକର ଟ୍ରାକିଂ କର।
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","ଘରର ରାସନ ନିଅ (THR) ଏବଂ ରନ୍ଧା ଖାଦ୍ୟ (HCM), ଶିଶୁ ଏବଂ ଗର୍ଭବତୀ ମହିଳାଙ୍କ ପାଇଁ ଟୀକାକରଣ ପରି ସେବାଗୁଡିକ |"
Enter Weight in kilogram,କିଲୋଗ୍ରାମରେ ଓଜନ ପ୍ରବେଶ କରନ୍ତୁ |
Garbeta - I Adl.,ଗରବେଟା - I ଆଡିସନାଲ୍
Lakhimpur Kheri City,ଲଖିମପୁର ଖେରୀ ସିଟି
"New Poshan Tracker App (13 January, 2021)","ନୂତନ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ (13 ଜାନୁଆରୀ, 2021)"
Preventing illnesses to avert Malnutrition and Death,ପୁଷ୍ଟିହୀନତା ଏବଂ ମୃତ୍ୟୁକୁ ରୋକିବା ପାଇଁ ରୋଗକୁ ରୋକିବା
Ketugram - II,କେତୁଗ୍ରାମ - II
Jamuria - II,ଜାମୁରିଆ - II
Pachim Mangaldai Icds Project,ପଚିମ୍ ମଙ୍ଗଲଡାଇ ଇକ୍ସ ପ୍ରୋଜେକ୍ଟ
Chandrakona - I,ଚନ୍ଦ୍ରକୋଁ - I
N & M Andaman,ଉତ୍ତର ଏବଂ ମଧ୍ୟ ଅଣ୍ଡାମାନ
Scan the QR Code to Download the App,ଆପ୍ ଡାଉନଲୋଡ୍ କରିବାକୁ QR କୋଡ୍ ସ୍କାନ୍ କରନ୍ତୁ
North 24 Parganas,ଉତ୍ତର 24 ପରଗନା
UJJAIN - U,ଉଜ୍ଜୈନ - ୟୁ
Pregnant women who received Take Home Ration (THR),ଗର୍ଭବତୀ ମହିଳାମାନେ ଯେଉଁମାନେ ଘର ରାସନ (THR) ଗ୍ରହଣ କରିଥିଲେ
Icds Kasrgod Addl,ଆଇସିଡିଏସ୍ କାସରଗୋଡ୍ ଆଡିସନାଲ୍
Please enter valid Height,ଦୟାକରି ବୈଧ ଉଚ୍ଚତା ପ୍ରବେଶ କରନ୍ତୁ |
