eng,ml
Turvihal - Kannatagi,തുർവിഹൽ - കന്നതാഗി
Anganwadi Worker Training,അംഗൻവാടി പ്രവർത്തകരുടെ പരീശീലനം
St Thomas Mount,സെന്റ് തോമസ് മൌണ്ട്
Please Select Beneficiary Category,ദയവായി ബെനിഫിഷ്യറി വിഭാഗം തിരഞ്ഞെടുക്കുക
Purbasthali - II,പുർബസ്ഥലി - II
3.2. Legal Disclosures.,3.2. നിയമപരമായ വെളിപ്പെടുത്തലുകൾ.
Is poshan trackers app available over Apple I Store also?,ആപ്പിൾ ഐ സ്റ്റോറിലും പോഷൻ ട്രാക്ക് ആപ്ലിക്കേഷൻ ലഭ്യമാണോ?
Number of records becoming inactive and number of records migrating from one category to another,"പ്രവർത്തനരഹിതമാകുന്ന റെക്കോർഡുകളുടെ എണ്ണം, ഒരു വിഭാഗത്തിൽ നിന്നും മറ്റൊന്നിലേക്ക് മാറുന്ന റെക്കോർഡുകളുടെ എണ്ണം"
Purulia - I,പുരുലിയ - I
In How many languages the Poshan Tracker App is available?,പോഷാൻ ട്രാക്കർ ആപ്പ് എത്ര ഭാഷകളിൽ ലഭ്യമാണ്?
BUDGE BUDGE - I,ബഡ്ജ് ബഡ്ജ് - I
AWWs are requested to enter their mobile numbers in the Login screen.,എഒപ്പംഒപ്പം- കൾ അവരുടെ മൊബൈൽ നമ്പറുകൾ ലോഗിൻ സ്ക്രീനിൽ നൽകാൻ അഭ്യർത്ഥിക്കുന്നു.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പറിലേക്ക് ഒരു ഒടിപി അയയ്ക്കും, നിങ്ങൾക്കാവശ്യമുള്ള പോസ്റ്റും നിങ്ങളുടെ എംപിഎൻ സജ്ജമാക്കുക."
About Poshan Tracker,പോഷൻ ട്രാക്കറിനെക്കുറിച്ച്
Adilabad - Telangana,ആദിലാബാദ് - തെലങ്കാന
CHINSURAH-MOGRA ICDS PROJECT,ചിൻസൂറ-മൊഗ്ര ഐസിഡിഎസ് പ്രോജക്ട്
Ravang Rural Project,റവാങ് ഗ്രാമീണ പ്രോജക്ട്
Kakdwip ICDS Project,കാക്ദ്വീപ് ഐസിഡിഎസ് പ്രോജക്ട്
Request for Home Visit,ഗൃഹസന്ദർശത്തിനുള്ള അഭ്യർത്ഥന
AWW Position Filled,AWW സ്ഥാനം നിറഞ്ഞു
East Khasi Hills,കിഴക്കൻ ഖാസി കുന്നുകൾ
Chakchaka Icds Project Sorbhog,ചക്ചക ഐസിഡിഎസ് പ്രോജക്ട് സോർഭോഗ്
EGRA-II ICDS PROJECT,എഗ്ര-II ഐസിഡിഎസ് പ്രോജക്ട്
Mirzapur City 1,മിർസാപൂർ സിറ്റി 1
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,അഞ്ചാംപനി അടങ്ങിയ വാക്സിൻ (MCV)/MR-2JE-2**ഡിഫ്തീരിയപെർട്ടുസിസ് & ടെറ്റനസ് (DPT)-ബൂസ്റ്റർ-1OPV -ബൂസ്റ്റർ
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,നിർവചിക്കപ്പെട്ട സൂചകങ്ങളിൽ എല്ലാ AWC-കളുടെയും ഗുണഭോക്താക്കളുടെയും തത്സമയ നിരീക്ഷണവും ട്രാക്കിംഗും പോഷൻ ട്രാക്കർ പ്രാപ്തമാക്കുന്നു.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,"കേന്ദ്രീകൃത ഡാറ്റ ആർക്കിടെക്ചർ ഉപയോഗിച്ചാണ് ഇത് നിർമ്മിച്ചിരിക്കുന്നത്, അത് മറ്റ് മന്ത്രാലയങ്ങളുടെയും പ്രോഗ്രാമുകളുടെയും ഡിജിറ്റൽ സാങ്കേതിക സംവിധാനങ്ങളുമായി വിന്യസിക്കുന്നു."
"The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","അങ്കണവാടികളുടെ (എഡബ്ല്യുസി) പ്രവർത്തനങ്ങളുടെ 360 ഡിഗ്രി വീക്ഷണം, അങ്കണവാടി വർക്കർമാരുടെ (എഡബ്ല്യുഡബ്ല്യു) സേവനങ്ങൾ, ഗർഭിണികൾക്കും മുലയൂട്ടുന്ന അമ്മമാർക്കും കുട്ടികൾക്കും പൂർണ്ണമായ ഗുണഭോക്തൃ മാനേജ്മെന്റ് നൽകുക എന്നിവയാണ് ലക്ഷ്യം."
The public dashboard helps to impart transparency on services delivered to beneficiaries,ഗുണഭോക്താക്കൾക്ക് നൽകുന്ന സേവനങ്ങളിൽ സുതാര്യത നൽകാൻ പൊതു ഡാഷ്ബോർഡ് സഹായിക്കുന്നു
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,പോഷൻ ട്രാക്കർ പോർട്ടലിലെയും ആപ്പ് ചാബോട്ടിലെയും വിവർത്തനങ്ങൾ മൂന്നാം കക്ഷി വിവർത്തകരാണ് ചെയ്യുന്നത്.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","വിവർത്തനങ്ങൾ മികച്ച പ്രയത്നത്തിന്റെ അടിസ്ഥാനത്തിലാണെങ്കിലും, ചില ഭാഗങ്ങൾ തെറ്റായിരിക്കാം."
Certain files and other items on the website cannot be translated.,വെബ്സൈറ്റിലെ ചില ഫയലുകളും മറ്റ് ഇനങ്ങളും വിവർത്തനം ചെയ്യാൻ കഴിയില്ല.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","കൂടാതെ, പരിഭാഷയിൽ, ഭാഷാ തടസ്സങ്ങൾ കാരണം ചില ആപ്ലിക്കേഷനുകളും കൂടാതെ/അല്ലെങ്കിൽ സേവനങ്ങളും പ്രതീക്ഷിച്ച പോലെ പ്രവർത്തിച്ചേക്കില്ല."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.",ഈ പോർട്ടലിൽ നൽകിയിരിക്കുന്ന വിവർത്തനങ്ങളിലെ തെറ്റുകളോ ഒഴിവാക്കലുകളോ അവ്യക്തതകളോ തിരുത്താൻ ഞങ്ങൾ നിരന്തരം പ്രവർത്തിക്കുന്നു.
AWH Position Filled,AWH സ്ഥാനം നിറഞ്ഞു
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","വിവിധ വംശീയ പശ്ചാത്തലങ്ങളിൽ നിന്നും സാംസ്കാരിക പശ്ചാത്തലങ്ങളിൽ നിന്നുമുള്ള (ബ്രസീൽ, ഘാന, ഇന്ത്യ, നോർവേ, ഒമാൻ, യുഎസ്എ) ഏകദേശം 8500 കുട്ടികളിൽ നിന്ന് പ്രാഥമിക വളർച്ചാ വിവരങ്ങളും അനുബന്ധ വിവരങ്ങളും MGRS ശേഖരിച്ചു"
Ratua - I Addl.,റതുവ - I എഡിഡിഎൽ.
Please enter Height,ദയവായി ഉയരം നൽകുക
Harda Gramin 2,ഹർദ ഗ്രാമിൻ 2
Children of different age groups are monitored on monthly basis by AWWs.,വിവിധ പ്രായത്തിലുള്ള കുട്ടികളെ AWW-കൾ പ്രതിമാസം നിരീക്ഷിക്കുന്നു.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","ആരോഗ്യ സൂചകങ്ങളായ മുരടിപ്പ്, ക്ഷീണം, ഭാരക്കുറവ് എന്നിവയുടെ വ്യാപനം ലോകാരോഗ്യ സംഘടനയുടെ മാനദണ്ഡങ്ങൾക്കനുസരിച്ചാണ് അളക്കുന്നത്."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,ക്രമമായ വളർച്ചാ നിരീക്ഷണം കുട്ടികൾക്ക് പ്രസക്തവും സമയബന്ധിതവുമായ സഹായം നൽകാൻ AWW-കളെ സഹായിക്കുന്നു
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","കുട്ടികളിലെ പോഷകാഹാരക്കുറവ് തടയാൻ കുട്ടികൾക്കുള്ള ബോധവൽക്കരണം മുരടിപ്പ്, പാഴാക്കൽ"
Create a New Ticket,ഒരു പുതിയ ടിക്കറ്റ് സൃഷ്ടിക്കുക
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","സൈറ്റും എല്ലാ ഡാറ്റയും, ടെക്സ്റ്റ്, ഡിസൈനുകൾ, പേജുകൾ, പ്രിന്റ് സ്ക്രീനുകൾ, ചിത്രങ്ങൾ, കലാസൃഷ്ടികൾ, ഫോട്ടോഗ്രാഫുകൾ, ഓഡിയോ, വീഡിയോ ക്ലിപ്പുകൾ, HTML കോഡ്, സോഴ്സ് കോഡ്, അല്ലെങ്കിൽ സൈറ്റിൽ താമസിക്കുന്നതോ കാണാവുന്നതോ കണ്ടെത്താവുന്നതോ ആയ സോഫ്റ്റ്വെയർ, കൂടാതെ ബുക്ക് ചെയ്ത എല്ലാ പങ്കാളികളും സൈറ്റിൽ നിന്നുള്ള, (മൊത്തമായി, ""ഉള്ളടക്കം"" എന്ന് വിളിക്കപ്പെടുന്നു) വനിതാ ശിശു വികസന മന്ത്രാലയത്തിന്റെയും അവരുടെ അംഗീകൃത സേവന ദാതാക്കളുടെയും ഉടമസ്ഥതയിലുള്ളതാണ്."
Jaleswar Icds Project,ജലേശ്വര് ഐസിഡിഎസ് പ്രോജക്ട്
Poshan Tracker adds new application features,പോഷൺട്രാക്കർ പുതിയ ആപ്ലിക്കേഷൻ ഫീച്ചറുകൾ ചേർക്കുന്നു
Making or Updating Home Visit Planner and Initiating home visits,ഹോം വിസിറ്റ് പ്ലാനർ ഉണ്ടാക്കുകയോ അപ്ഡേറ്റ് ചെയ്യുകയോ ഹോം സന്ദർശനങ്ങൾ ആരംഭിക്കുകയോ ചെയ്യുക
Uraiyur    Project-1,ഉറയൂർ പ്രോജക്ട്-1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ലോകാരോഗ്യ സംഘടന (ഡബ്ല്യുഎച്ച്ഒ) നിർവചിച്ചിരിക്കുന്ന മാനദണ്ഡങ്ങളെ അടിസ്ഥാനമാക്കി കുട്ടിയുടെ വളർച്ച അളക്കുന്നതിനാണ് പോഷൻ കാൽക്കുലേറ്റർ രൂപകൽപ്പന ചെയ്തിരിക്കുന്നത്
Asthampatti (Sal Pro 1),അസ്തംപട്ടി (സാൽ പ്രോ 1)
Migrated from one category to another,ഒരു വിഭാഗത്തിൽ നിന്നും മറ്റൊന്നിലേക്ക് മാറി
Icds Parappa Additional,ഐസിഡിഎസ് പരപ്പ അഡീഷണൽ
Binpur - I Adl.,ബിൻപൂർ - I എഡിഎൽ.
Wasting (Weight for Height)-,പാഴാക്കൽ (ഉയരത്തിന് ഭാരം)-
Soreng Rural Project,സോറെംഗ് ഗ്രാമീണ പ്രോജക്ട്
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ഒരു വ്യക്തിക്ക് വേണ്ടത്ര ഗുണനിലവാരവും അളവും ഉള്ള ഭക്ഷണം ഇല്ലെങ്കിൽ കൂടാതെ/അല്ലെങ്കിൽ അവർക്ക് ഇടയ്ക്കിടെ അല്ലെങ്കിൽ നീണ്ടുനിൽക്കുന്ന അസുഖങ്ങൾ ഉണ്ടാകുമ്പോഴാണ് ഇത് സാധാരണയായി സംഭവിക്കുന്നത്
Dinhata - I Addl,ദിൻഹത - I   എഡിഡിഎൽ
Mohgaon - R,മൊഹ്ഗാവ് - ആർ
Malnutrition is one of the most important challenges facing contemporary India.,സമകാലിക ഇന്ത്യ നേരിടുന്ന ഏറ്റവും പ്രധാനപ്പെട്ട വെല്ലുവിളിയാണ് പോഷകാഹാരക്കുറവ്.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,"ദേശീയ, ആഗോള സുസ്ഥിര വികസന ലക്ഷ്യങ്ങളുടെ നേട്ടത്തിന്റെ കേന്ദ്രമായി പോഷകാഹാരം അംഗീകരിക്കപ്പെട്ടിരിക്കുന്നു."
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.",സമൂഹത്തിലെ മോശം ആരോഗ്യത്തിൻറെയും ദാരിദ്ര്യത്തിൻറെയും അന്തർജനന ചക്രം അതിജീവിക്കാനും അഭിവൃദ്ധി പ്രാപിക്കാനും തകർക്കാനും സ്ത്രീകൾക്കും കുട്ടികൾക്കും ഒപ്റ്റിമലും ഉചിതമായ പോഷകാഹാരവും ആവശ്യമാണ്.
"The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.","പോഷകാഹാരക്കുറവിന്റെ അടിസ്ഥാന കാരണങ്ങൾ ദാരിദ്ര്യം, സ്ത്രീ സാക്ഷരതയുടെ അളവ്, ശുദ്ധമായ കുടിവെള്ളത്തിന്റെ ലഭ്യതക്കുറവ്, ശുചിത്വവും ശുചിത്വവും, മാതൃ സ്വഭാവ സവിശേഷതകൾ, അപര്യാപ്തമായ രോഗശമനം, പ്രതിരോധ ആരോഗ്യ സംരക്ഷണം, മാതൃ, ഗാർഹിക, കമ്മ്യൂണിറ്റി വിഭവങ്ങൾ, സ്ത്രീ ശാക്തീകരണം."
Check Ticket Status,ടിക്കറ്റ് സ്റ്റാറ്റസ് പരിശോധിക്കുക
Panskura- II ICDS,പാൻസ്കുര- II ഐ. സി. ഡി. എസ്
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",കുട്ടികൾക്കും ക o മാരക്കാർക്കും മുൻഗണനകൾക്കുമുള്ള പോഷക ഫലങ്ങൾ മെച്ചപ്പെടുത്തുന്നതിനുള്ള ഇന്ത്യയുടെ മുൻനിര പദ്ധതിയാണ് പോഷൻ അഭിയാൻ.
Reference data not available.,റഫറൻസ് ഡാറ്റ ലഭ്യമല്ല.
Hot Cooked Meal (HCM) given in last 30 days,കഴിഞ്ഞ 30 ദിവസത്തിനുള്ളിൽ നൽകിയ ചൂടുള്ള വേവിച്ച ഭക്ഷണം (HCM)
English Bazar Adl,ഇംഗ്ലീഷ് ബസാർ എഡിഎൽ
"Dhalpukhuri Icds Project, Hojai.","ധൽപുഖുരി ഐസിഡിഎസ് പ്രോജക്ട്, ഹോജായ്."
Underweight (Weight for Age)-,ഭാരക്കുറവ് (പ്രായത്തിനനുസരിച്ചുള്ള ഭാരം)-
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,അങ്കണവാടി സേവന പദ്ധതികളുടെ ഡാറ്റ പോഷൻ ട്രാക്കറിൽ അപ്ലോഡ് ചെയ്യുന്നു
On the Map,ഭൂപടത്തിൽ
Prayagraj City 2,പ്രയാഗ്രാജ് സിറ്റി 2
Poshan Tracker Process Flow,പോഷൻ ട്രാക്കർ പ്രോസസ് ഫ്ലോ
New Khar Santacruz,പുതിയ ഖാർ സാന്താക്രൂസ്
Enter Date of Birth,ജനനത്തീയതി നൽകുക
0 months to 5 years,0 മാസം മുതൽ 5 വർഷം വരെ
Delhi Project 1,ഡൽഹി പ്രോജക്ട് 1
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","നിർണ്ണായകമായ അവസാന മൈൽ ഗുണഭോക്താക്കൾക്ക് പോഷൻ ട്രാക്കർ ഓട്ടോമേറ്റഡ് അലേർട്ടുകൾ സൃഷ്ടിക്കുന്നു.ഗുണഭോക്താക്കളുടെയും ഡ്യൂട്ടി വഹിക്കുന്നവരുടെയും തത്സമയ ഹാജർ രേഖപ്പെടുത്തുന്നതിലൂടെ ഡെലിവറി സംവിധാനത്തിന്റെ കാര്യക്ഷമമായ ഓഡിറ്റും ഇത് ഉറപ്പാക്കുന്നു. . ഈ മാനേജ്മെന്റ് ഇൻഫർമേഷൻ സിസ്റ്റം പോഷകാഹാര പരിപാടിയെ കാര്യക്ഷമമായി സ്കെയിൽ ചെയ്യാൻ സഹായിക്കും, അതുവഴി നല്ല സ്വാധീനം സൃഷ്ടിക്കുകയും രേഖപ്പെടുത്തുകയും ചെയ്യും"
How can one Download Poshan Tracker App?,ഒരാൾക്ക് എങ്ങനെ പോഷാൻ ട്രാക്കർ എ. പി. പി ഡൌൺലോഡുചെയ്യാനാകും?
AWC Opening and AWW behaviour,AWC ഓപ്പണിംഗും AWW പെരുമാറ്റവും
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.",ഒരു നിയമപരമായ അഭ്യർത്ഥനയ്ക്കോ സബ്പോണയ്ക്കോ മറ്റ് നിയമപരമായ പ്രക്രിയയ്ക്കോ മറുപടിയായി ഞങ്ങൾ നിങ്ങളുടെ വിവരങ്ങൾ ആക്സസ് ചെയ്യാനും സംരക്ഷിക്കാനും പങ്കിടാനും കഴിയും അല്ലെങ്കിൽ (1) വഞ്ചന അല്ലെങ്കിൽ നിയമവിരുദ്ധ പ്രവർത്തനങ്ങളെക്കുറിച്ച് അന്വേഷിക്കാനോ തടയാനോ നടപടിയെടുക്കാനോ വെളിപ്പെടുത്തൽ ആവശ്യമാണെന്ന് ഞങ്ങൾക്ക് നല്ല വിശ്വാസമുണ്ടെങ്കിൽ അല്ലെങ്കിൽ സർക്കാർ നിർവ്വഹണ ഏജൻസികളെ സഹായിക്കാൻ; (2) നിങ്ങളുമായുള്ള ഞങ്ങളുടെ കരാറുകൾ നടപ്പിലാക്കുക; (3) ഏതെങ്കിലും മൂന്നാം കക്ഷി ക്ലെയിമുകൾ അല്ലെങ്കിൽ ആരോപണങ്ങൾക്കെതിരെ സ്വയം അന്വേഷിക്കുകയും പ്രതിരോധിക്കുകയും ചെയ്യുക; (4) ഞങ്ങളുടെ സേവനങ്ങളുടെ സുരക്ഷയോ സമഗ്രതയോ സംരക്ഷിക്കുക (സമാന ഭീഷണികൾ നേരിടുന്ന കമ്പനികളുമായി പങ്കിടുന്നത് പോലെ); അല്ലെങ്കിൽ (5) ഏതെങ്കിലും വ്യക്തിയുടെ അവകാശങ്ങളും സുരക്ഷയും പ്രയോഗിക്കുകയോ സംരക്ഷിക്കുകയോ ചെയ്യുക.
Binpur - Ii,ബിൻപൂർ - II
Available in 12 different languages,12 വ്യത്യസ്ത ഭാഷകളിൽ ലഭ്യമാണ്
"Clarification regarding Cost of Smart phones (03 June, 2021)","സ്മാർട്ട് ഫോണുകളുടെ വില സംബന്ധിച്ച വിശദീകരണം (03 ജൂൺ, 2021)"
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc., to ensure efficiency and effective outcomes.","സാങ്കേതികവിദ്യ, ലക്ഷ്യമിട്ട സമീപനം, ഒത്തുചേരൽ എന്നിവയിലൂടെ കുട്ടികൾ, ക o മാരക്കാർ, ഗർഭിണികൾ, മുലയൂട്ടുന്ന അമ്മമാർ എന്നിവരുടെ പോഷകാഹാര ഫലങ്ങൾ മെച്ചപ്പെടുത്തുന്നതിനുള്ള ഇന്ത്യാ ഗവൺമെന്റിന്റെ പ്രധാന പദ്ധതിയാണ് പോഷൻ അഭിയാൻ.ആരോഗ്യം, പോഷകാഹാരം, ശുചിത്വ മേഖലകൾ എന്നിവയിലെ വിവിധ പരിപാടികൾക്കിടയിൽ സിനർജി സൃഷ്ടിക്കുന്നതിനും കാര്യക്ഷമതയും ഫലപ്രദവുമായ ഫലങ്ങൾ ഉറപ്പാക്കുന്നതിന് ഈ സംരംഭം ന്നൽ നൽകുന്നു."
Observing Breastfeeding In Newborn Babies,നവജാത ശിശുക്കളിൽ മുലയൂട്ടൽ നിരീക്ഷിക്കുന്നു
Dzongu Tribal Project,സോംഗു ആദിവാസി പ്രോജക്ട്
Gadchiroli - Maharashtra,ഗാഡ്ചിരോലി - മഹാരാഷ്ട്ര
New Hanuman Nagar,പുതിയ ഹനുമാൻ നഗർ
West Jaintia Hills,വെസ്റ്റ് ജയന്തിയ ഹിൽസ്
BARUIPUR Addl.,ബറൂയ്പൂർ എഡിഡിഎൽ.
ICDS PROJECT,ഐസിഡിഎസ് പ്രോജക്ട്
Raghunathganj - I Addl.,രഘുനാഥ്ഗഞ്ച് - I എഡിഡിഎൽ.
Cooch Behar I Addl,കൂച്ച് ബെഹാർ I എഡിഡിഎൽ
along with status update once resolved,പരിഹരിച്ചു കഴിഞ്ഞാൽ സ്റ്റാറ്റസ് അപ്ഡേറ്റ് ചെയ്യണം
Shar Slum Akbarpur,ഷാർ ചേരി അക്ബർപൂർ
Sheopur - Madhya Pradesh,ഷിയോപൂർ - മധ്യപ്രദേശ്
Tehatta 1 Addl,തെഹട്ട 1 അഡീഷണൽ
East Jaintia Hills,ഈസ്റ്റ് ജയന്തിയ ഹിൽസ്
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.",സുരക്ഷാ ആവശ്യങ്ങൾക്കായി അല്ലെങ്കിൽ ഞങ്ങളുടെ സേവന നിബന്ധനകളുടെ കൂടാതെ/അല്ലെങ്കിൽ ഞങ്ങളുടെ അംഗങ്ങളെയോ സന്ദർശകരേയോ മറ്റുള്ളവരെയോ ഉപദ്രവിക്കാനുള്ള ശ്രമങ്ങൾ തടയാനോ അല്ലെങ്കിൽ സാധ്യമായ വഞ്ചനയോ മറ്റ് ലംഘനങ്ങളോ തടയാനോ അന്വേഷിക്കാനോ ഞങ്ങൾ നിങ്ങളുടെ ഡാറ്റ (നിങ്ങളുടെ ആശയവിനിമയങ്ങൾ ഉൾപ്പെടെ) ഉപയോഗിക്കുന്നു.
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",സിസ്റ്റത്തിന്റെ സുരക്ഷയ്ക്കും സ്കേലബിളിറ്റിക്കുമായി എംഡബ്ല്യുസിഡി ഏർപ്പെട്ടിരിക്കുന്ന ഓഡിറ്റർമാരാൽ പോഷൻ ട്രാക്കർ സിസ്റ്റം പതിവായി ഓഡിറ്റ് ചെയ്യപ്പെടുന്നു.
The records may be used for such audits.,അത്തരം ഓഡിറ്റുകൾക്ക് രേഖകൾ ഉപയോഗിക്കാം.
Chinsurah Mogra Addl.,ചിൻസുറ മൊഗ്ര എഡിഡിഎൽ.
Mohan Lal Ganj,മോഹൻലാൽ ഗഞ്ച്
Mira Bhayandar Virar,മീരാ ഭയന്ദർ വിരാർ
Poshan Tracker adds new Resources on Website,പോഷൺട്രക്കർ വെബ്സൈറ്റിൽ പുതിയ ഉറവിടങ്ങൾ ചേർക്കുന്നു
Please Enter Valid Mobile Number,ദയവായി സാധുവായ മൊബൈൽ നമ്പർ നൽകുക
Suti II Addl,സുതി II എഡിഡിഎൽ
Home Visit Alerts,ഹോം വിസിറ്റ് അലേർട്ടുകൾ
How to use Poshan Calculator?,പോഷൻ കാൽക്കുലേറ്റർ എങ്ങനെ ഉപയോഗിക്കാം?
"If this is your first time contacting us or you've lost the ticket number, please open a new ticket","നിങ്ങൾ ആദ്യമായി ഞങ്ങളെ ബന്ധപ്പെടുകയോ ടിക്കറ്റ് നമ്പർ നഷ്ടപ്പെടുകയോ ചെയ്താൽ, ദയവായി ഒരു പുതിയ ടിക്കറ്റ് തുറക്കുക"
Beneficiary record becoming inactive,ഗുണഭോക്താവിൻറെ വിവരങ്ങൾ പ്രവർത്തനരഹിതമാകുന്നു
2.4. Security and Audit.,2.4. സുരക്ഷയും ഓഡിറ്റും.
Firozabad City 1,ഫിറോസാബാദ് സിറ്റി 1
Theni - Urban,തേനി - നഗരം
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.","2021 മാർച്ച് 1-ന് ഇന്ത്യൻ ഗവൺമെന്റിന്റെ വനിതാ-ശിശു വികസന മന്ത്രാലയം, MyGov എന്ന നാഷണൽ ഇ-ഗവേണൻസ് ഡിവിഷൻ വഴി ഒരു പ്രധാന ഭരണ ഉപകരണമായി പുറത്തിറക്കിയ മൊബൈൽ അധിഷ്ഠിത ആപ്ലിക്കേഷനാണ് 'പോഷൻ ട്രാക്കർ' (NeGD)."
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","കുട്ടികൾക്കിടയിലെ വളർച്ച മുരടിപ്പ്, ക്ഷീണം, ഭാരക്കുറവ് എന്നിവയുടെ ചലനാത്മകമായ തിരിച്ചറിയൽ, പോഷകാഹാര സേവന വിതരണത്തിന്റെ അവസാന മൈൽ ട്രാക്കിംഗ് എന്നിവയ്ക്കായി പോഷൻ ട്രാക്കറിന് കീഴിലുള്ള സാങ്കേതികവിദ്യ പ്രയോജനപ്പെടുത്തുന്നു"
Dadra & Nagar Haveli,ദാദ്ര നഗർ ഹവേലി
Habibpur Addl.,ഹബീബ്പൂർ എഡിഡിഎൽ.
2,2
Icds Tirur Addl,ഐസിഡിഎസ് തിരൂർ എഡിഡിഎൽ
Raipur-  Karchulian-2,റായ്പൂർ- കാർച്ചുലിയൻ-2
The System also takes feedback about system performance and experience.,സിസ്റ്റം പ്രകടനത്തെക്കുറിച്ചും അനുഭവത്തെക്കുറിച്ചും സിസ്റ്റം ഫീഡ്ബാക്ക് എടുക്കുന്നു.
"Information on name, mobile number, date of registration and health status may be used for these purposes","പേര്, മൊബൈൽ നമ്പർ, രജിസ്ട്രേഷൻ തീയതി, ആരോഗ്യ നില എന്നിവയെ കുറിച്ചുള്ള വിവരങ്ങൾ ഈ ആവശ്യങ്ങൾക്ക് ഉപയോഗിക്കാം"
Medchal - Malkajigiri,മേച്ചൽ മൽക്കാജ്ഗിരി
Poshan Tracker App,പോഷൻ ട്രാക്കർ ആപ്പ്
Aspirational Districts Program,അഭിലാഷ ജില്ലകളുടെ പ്രോഗ്രാം
Kultali Addl.,കുൽതാലി എഡിഡിഎൽ.
ICDS Project,ഐസിഡിഎസ് പ്രോജക്ട്
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.",നിങ്ങൾ ഒരു അക്കൌണ്ടിനായി സൈൻ അപ്പ് ചെയ്യുമ്പോൾ ഉൾപ്പെടെ ഞങ്ങളുടെ സേവനങ്ങൾ ഉപയോഗിക്കുമ്പോൾ നിങ്ങൾ നൽകുന്ന ഉള്ളടക്കവും മറ്റ് വിവരങ്ങളും ഞങ്ങൾ ശേഖരിക്കുന്നു.
