eng,gu
"The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","ઉદ્દેશ્ય આંગણવાડી કેન્દ્ર (AWC) ની પ્રવૃત્તિઓ, આંગણવાડી કાર્યકરો (AWWs) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી વ્યવસ્થાપનનો 360-ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે."
The public dashboard helps to impart transparency on services delivered to beneficiaries,સાર્વજનિક ડેશબોર્ડ લાભાર્થીઓને આપવામાં આવતી સેવાઓમાં પારદર્શિતા લાવવામાં મદદ કરે છે
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,પોશન ટ્રેકર પોર્ટલ અને એપ ચાબોટ પરના અનુવાદો તૃતીય પક્ષ અનુવાદકો દ્વારા કરવામાં આવે છે.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","જ્યારે અનુવાદો શ્રેષ્ઠ પ્રયાસના આધારે કરવામાં આવે છે, ત્યારે કેટલાક ભાગો ખોટા હોઈ શકે છે."
Certain files and other items on the website cannot be translated.,વેબસાઇટ પરની અમુક ફાઇલો અને અન્ય વસ્તુઓનું ભાષાંતર કરી શકાતું નથી.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","વધુમાં, ભાષાંતર પર, કેટલીક એપ્લિકેશનો અને/અથવા સેવાઓ ભાષા અવરોધોને લીધે, અપેક્ષા મુજબ કાર્ય કરી શકશે નહીં."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","અમે આ પોર્ટલ પર પ્રદાન કરવામાં આવેલ અનુવાદોમાં કોઈપણ ભૂલો, ભૂલો અથવા અસ્પષ્ટતાઓને સુધારવા માટે સતત કામ કરી રહ્યા છીએ."
AWH Position Filled,AWH પદ ભરેલ
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS એ વ્યાપકપણે વિવિધ વંશીય પૃષ્ઠભૂમિ અને સાંસ્કૃતિક સેટિંગ્સ (બ્રાઝિલ, ઘાના, ભારત, નોર્વે, ઓમાન અને યુએસએ) ના આશરે 8500 બાળકો પાસેથી પ્રાથમિક વૃદ્ધિ ડેટા અને સંબંધિત માહિતી એકત્રિત કરી"
Ratua - I Addl.,રતુઆ-એલ એડીડીએલ.
Please enter Height,કૃપા કરીને ઊંચાઈ દાખલ કરો
Harda Gramin 2,હર્દા ગ્રામીણ 2
Children of different age groups are monitored on monthly basis by AWWs.,AWWs દ્વારા વિવિધ વય જૂથોના બાળકોનું માસિક ધોરણે નિરીક્ષણ કરવામાં આવે છે.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","સ્વાસ્થ્ય સૂચકાંકો જેમ કે સ્ટંટિંગ, વેસ્ટિંગ અને ઓછા વજનનો વ્યાપ WHO ના ધોરણો મુજબ માપવામાં આવે છે."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,નિયમિત વૃદ્ધિની દેખરેખ AWW ને બાળકોને સંબંધિત અને સમયસર સહાય પૂરી પાડવામાં મદદ કરે છે
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","બાળકોમાં કુપોષણને રોકવા માટે બાળકોના સ્ટંટિંગ, વેસ્ટિંગ અંગે જાગૃતિ"
Create a New Ticket,નવી ટિકિટ બનાવો
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","સાઇટ અને તમામ ડેટા, ટેક્સ્ટ, ડિઝાઇન, પૃષ્ઠો, પ્રિન્ટ સ્ક્રીન, છબીઓ, આર્ટવર્ક, ફોટોગ્રાફ્સ, ઑડિઓ અને વિડિયો ક્લિપ્સ, HTML કોડ, સ્રોત કોડ, અથવા સૉફ્ટવેર કે જે સાઇટ પર રહે છે અથવા જોઈ શકાય છે અથવા અન્યથા શોધી શકાય છે, અને બધા સહભાગીઓ બુક થયા છે.સાઇટ પરથી, (સામૂહિક રીતે, ""માહિતી"" તરીકે ઓળખવામાં આવે છે) મહિલા અને બાળ વિકાસ મંત્રાલય અને તેમના અધિકૃત સેવા પ્રદાતાઓની માલિકીની છે."
Jaleswar Icds Project,જલેવર આઈસીડીએસ પ્રોજેક્ટ
Poshan Tracker adds new application features,પોષણ ટ્રેકર નવા એપ્લિકેશનની વિશેષતા ઉમેરી
Making or Updating Home Visit Planner and Initiating home visits,ગૃહ મુલાકાતનું આયોજન બનાવવું અથવા અપડેટ કરવું અને ગૃહ મુલાકાત શરૂ કરવી
Uraiyur    Project-1,ઉરૈયુર પ્રોજેક્ટ-1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),વર્લ્ડ હેલ્થ ઓર્ગનાઈઝેશન(WHO) દ્વારા નિર્ધારિત ધોરણોના આધારે બાળકના વિકાસને માપવા માટે પોષણ કેલ્ક્યુલેટર ની રચના કરવામાં આવેલ છે
Asthampatti (Sal Pro 1),અસ્થમપટ્ટી (સાલ પ્રો 1)
Migrated from one category to another,એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થયેલ
Icds Parappa Additional,આઈસીડીએસ પરાપ્પા એડિશનલ
Binpur - I Adl.,બિનપુર-I એડીએલ.
Wasting (Weight for Height)-,બગાડ (ઉંચાઈ માટે વજન)-
Soreng Rural Project,રેંગ રુરલ પ્રોજેક્ટ
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,તે સામાન્ય રીતે ત્યારે થાય છે જ્યારે વ્યક્તિએ પર્યાપ્ત ગુણવત્તા અને માત્રામાં ખોરાક ન લીધો હોય અને/અથવા તેને વારંવાર અથવા લાંબા સમય સુધી બીમારીઓ હોય
Dinhata - I Addl,દિનહાટ-I એડીડીએલ
Mohgaon - R,મોહગાંવ-આર
"Malnutrition is one of the most important challenges facing contemporary India.Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.","કુપોષણ એ સમકાલીન ભારત સામેનો સૌથી મહત્વપૂર્ણ પડકારો છે.રાષ્ટ્રીય અને વૈશ્વિક ટકાઉ વિકાસ લક્ષ્યોની સિદ્ધિ માટે પોષણ એ કેન્દ્ર તરીકે સ્વીકાર્યું છે.મહિલાઓ અને બાળકોને સમુદાયમાં નબળા આરોગ્ય અને ગરીબીના આંતરરાષ્ટ્રીય ચક્રને ટકાવી રાખવા, ખીલવવા અને તોડવા માટે શ્રેષ્ઠ અને યોગ્ય પોષણ જરૂરી છે.કુપોષણના અંતર્ગત કારણો કે જેનાથી બાળકો અને પુખ્ત વયના લોકો પરિણમે છે, તે આર્થિક અને સામાજિક પરિબળો જેવા કે ગરીબી, સ્ત્રી સાક્ષરતાના નિમ્ન સ્તર, પીવાના શુધ્ધ પાણીની પહોંચનો અભાવ, સ્વચ્છતા અને સ્વચ્છતા, માતૃત્વની લાક્ષણિકતાઓ, અપૂરતા રોગનિવારક અને અસ્પષ્ટતા જેવા મૂળિયાં છે.નિવારક આરોગ્ય સંભાળ, માતા, ઘરગથ્થુ અને સમુદાય સંસાધનો અને મહિલા સશક્તિકરણ."
Check Ticket Status,ટિકિટ સ્ટેટસ તપાસો
Panskura- II ICDS,પનસકુરા-II આઈસીડીએસ
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","બાળકો, કિશોરો, સગર્ભાઓ માટેના પોષક પરિણામોને સુધારવા માટે, પોશણ અભિયાન એ ભારતનો મુખ્ય કાર્યક્રમ છે."
Reference data not available.,સંદર્ભ ડેટા ઉપલબ્ધ નથી.
Hot Cooked Meal (HCM) given in last 30 days,પાછલા 30 દિવસમા દેવામા આવેલ ગરમ રાંધેલ ભોજન (HCM)
English Bazar Adl,ઈગ્લિશ બજાર એડીએલ
"Dhalpukhuri Icds Project, Hojai.","ધલપુખુરી આઈસીડીએસ પ્રોજેક્ટ, હોજાઈ."
Underweight (Weight for Age)-,ઓછું વજન (ઉંમર માટે વજન)-
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,પોષણ ટ્રેકરમાં આંગણવાડી સેવાઓને લગતી યોજનાઓના ડેટા અપલોડ કરવો
On the Map,નકશા ઉપર
Prayagraj City 2,પ્રયાગરાજ શહેર 2
Poshan Tracker Process Flow,પોષણ ટ્રેકર પ્રક્રિયા પ્રવાહ
New Khar Santacruz,ન્યુ ખાર સાંતાક્રુઝ
Enter Date of Birth,જન્મ તારીખ દાખલ કરો
0 months to 5 years,0 મહિનાથી 5 વર્ષ
Delhi Project 1,દિલ્હી પ્રોજેક્ટ 1
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,પોશન ટ્રેકર છેલ્લા માઈલના મહત્ત્વના લાભાર્થીઓને સ્વયંસંચાલિત ચેતવણીઓ જનરેટ કરે છે.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,તે લાભાર્થીઓ અને ફરજ ધારકોની વાસ્તવિક સમયની હાજરીનું દસ્તાવેજીકરણ કરીને ડિલિવરી સિસ્ટમનું કાર્યક્ષમ ઓડિટ પણ સુનિશ્ચિત કરે છે.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","આ વ્યવસ્થાપન માહિતી પ્રણાલી પોષણ કાર્યક્રમને કાર્યક્ષમ રીતે માપવામાં મદદ કરશે, જેનાથી હકારાત્મક અસર પેદા થશે અને તેનું દસ્તાવેજીકરણ થશે"
How can one Download Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશન કેવી રીતે ડાઉનલોડ કરી શકાય છે?
AWC Opening and AWW behaviour,AWC ખુલ્લુ મુકવું અને AWW ની વર્તણૂંક
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","અમે કાનૂની વિનંતી, સબપોના અથવા અન્ય કાનૂની પ્રક્રિયાના જવાબમાં તમારી માહિતીને ઍક્સેસ, સાચવી અને શેર કરી શકીએ છીએ અથવા જો અમને સદ્ભાવનાથી વિશ્વાસ હોય કે (1) છેતરપિંડી અથવા ગેરકાયદેસર પ્રવૃત્તિઓ અંગે તપાસ, અટકાવવા અથવા પગલાં લેવા માટે જાહેરાત વ્યાજબી રીતે જરૂરી છે.અથવા સરકારી અમલીકરણ એજન્સીઓને મદદ કરવા; (2) તમારી સાથેના અમારા કરારો લાગુ કરો; (3) કોઈપણ તૃતીય-પક્ષના દાવાઓ અથવા આરોપો સામે તપાસ કરો અને પોતાનો બચાવ કરો; (4) અમારી સેવાઓની સુરક્ષા અથવા અખંડિતતાનું રક્ષણ કરો (જેમ કે સમાન જોખમોનો સામનો કરતી કંપનીઓ સાથે શેર કરીને); અથવા (5) કોઈપણ વ્યક્તિના અધિકારો અને સલામતીનો ઉપયોગ કરવો અથવા તેનું રક્ષણ કરવું."
Binpur - Ii,બિનપુર-II
Available in 12 different languages,12 વિવિધ ભાષાઓમાં ઉપલબ્ધ છે
"Clarification regarding Cost of Smart phones (03 June, 2021)","સ્માર્ટ ફોનની કિંમત અંગે સ્પષ્ટતા (03 જૂન, 2021)"
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc., to ensure efficiency and effective outcomes.","પોશન અભિયાન એ ભારત સરકારનો મુખ્ય કાર્યક્રમ છે, જેમાં બાળકો, કિશોરો, સગર્ભા સ્ત્રીઓ અને સ્તનપાન કરાવતી માતા માટે પોષણ પરિણામ સુધારવા માટેનો છે, જેમાં ટેક્નોલજી, લક્ષિત અભિગમ અને કન્વર્ઝન દ્વારા લાભ મેળવી શકાય છે.કાર્યક્ષમતા અને અસરકારક પરિણામો સુનિશ્ચિત કરવા આ પહેલ આરોગ્ય, પોષણ, સ્વચ્છતા ક્ષેત્રો વગેરેના વિવિધ કાર્યક્રમો વચ્ચે સુમેળ બનાવવા પર ભાર મૂકે છે."
Observing Breastfeeding In Newborn Babies,નવજાત શિશુમાં સ્તનપાનનું અવલોકન
Dzongu Tribal Project,ડઝોંગુ ટ્રાઈબલ પ્રોજેક્ટ
Gadchiroli - Maharashtra,ગડચિરોલી - મહારાષ્ટ્ર
New Hanuman Nagar,ન્યુ હનુમાન નગર
West Jaintia Hills,વેસ્ટ જૈંટીયા હિલ્સ
BARUIPUR Addl.,બારુઈપુર એડીડીએલ.
ICDS PROJECT,આઈસીડીએસ પ્રોજેક્ટ
Raghunathganj - I Addl.,રઘુનાથગંજ-I એડીડીએલ.
Cooch Behar I Addl,કૂચ બિહાર I એડીડીએલ
along with status update once resolved,એક વખત ઉકેલ મેળવી લેવામાં આવે એટલે સ્ટેટસ અપડેટેડ
Shar Slum Akbarpur,શર સ્લુમ અકબરપુર
Sheopur - Madhya Pradesh,શીઓપુર - મધ્યપ્રદેશ
Tehatta 1 Addl,તેહાટ્ટા 1 એડીડીએલ
East Jaintia Hills,પૂર્વ જૈંટીયા હિલ્સ
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","અમે તમારા ડેટાનો ઉપયોગ (તમારા સંદેશાવ્યવહાર સહિત) સુરક્ષા હેતુઓ માટે અથવા સંભવિત છેતરપિંડી અથવા અમારી સેવાની શરતોના અન્ય ઉલ્લંઘનો અને/અથવા અમારા સભ્યો, મુલાકાતીઓ અથવા અન્ય લોકોને નુકસાન પહોંચાડવાના પ્રયાસોને રોકવા અથવા તપાસ કરવા માટે કરીએ છીએ."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",સિસ્ટમની સુરક્ષા અને માપનીયતા માટે MWCD દ્વારા રોકાયેલા ઓડિટર્સ દ્વારા પોશન ટ્રેકર સિસ્ટમનું નિયમિતપણે ઓડિટ કરવામાં આવે છે.
The records may be used for such audits.,આવા ઓડિટ માટે રેકોર્ડનો ઉપયોગ થઈ શકે છે.
Chinsurah Mogra Addl.,ચિનસુરાહ મોગ્રા એડીડીએલ.
Mohan Lal Ganj,મોહન લાલ ગંજ
Mira Bhayandar Virar,મિરા ભાયન્દર વિરાર
Poshan Tracker adds new Resources on Website,વેબસાઈટની વિશેષતા અંગે પોષણ ટ્રેકર નવા સંશાધનો ઉમેરે છે
Please Enter Valid Mobile Number,કૃપા કરીને માન્ય મોબાઇલ નંબર દાખલ કરો
Suti II Addl,સુતી II અદલ
Home Visit Alerts,હોમ વિઝિટ એલર્ટ
How to use Poshan Calculator?,પોષણ કેલ્ક્યુલેટરનો ઉપયોગ કેવી રીતે કરવો?
Beneficiary record becoming inactive,લાભાર્થીને લગતો રેકોર્ડ નિષ્ક્રીય બની રહ્યો છે
2.4. Security and Audit.,2.4. સુરક્ષા અને ઓડિટ.
Firozabad City 1,ફિરોઝાબાદ સિટી 1
Theni - Urban,થેની-શહેર
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.","'પોશન ટ્રેકર' એ મોબાઈલ આધારિત એપ્લિકેશન છે જે 1લી માર્ચ 2021ના રોજ ભારત સરકારના મહિલા અને બાળ વિકાસ મંત્રાલય દ્વારા નેશનલ ઈ-ગવર્નન્સ ડિવિઝન (NeGD), MyGov દ્વારા એક મહત્વપૂર્ણ ગવર્નન્સ ટૂલ તરીકે બહાર પાડવામાં આવી છે."
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","પોશાન ટ્રેકર હેઠળની ટેક્નોલોજીનો ઉપયોગ બાળકોમાં સ્ટંટિંગ, વેડિંગ, ઓછા વજનની ગતિશીલ ઓળખ અને પોશાન સેવા વિતરણના છેલ્લા માઇલ ટ્રેકિંગ માટે કરવામાં આવે છે"
Dadra & Nagar Haveli,દાદરા અને નગર હવેલી
Habibpur Addl.,હબિબપુર એડીડીએલ.
2,2
Icds Tirur Addl,આઈસીડીએસ તિરુર એડીડીએલ
Raipur-  Karchulian-2,રાયપુર-કરચુલીયન-2
The System also takes feedback about system performance and experience.,સિસ્ટમ સિસ્ટમની કામગીરી અને અનુભવ વિશે પ્રતિસાદ પણ લે છે.
"Information on name, mobile number, date of registration and health status may be used for these purposes","આ હેતુઓ માટે નામ, મોબાઇલ નંબર, નોંધણીની તારીખ અને આરોગ્યની સ્થિતિ વિશેની માહિતીનો ઉપયોગ કરી શકાય છે"
Medchal - Malkajigiri,મેડચલ મલકાજગિરિ
Poshan Tracker App,પોશન ટ્રેકર એપ
Aspirational Districts Program,મહત્વાકાંક્ષી જિલ્લા કાર્યક્રમ
Kultali Addl.,કુલતાલી એડીડીએલ.
ICDS Project,આઈસીડીએસ પ્રોજેક્ટ
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","જ્યારે તમે અમારી સેવાઓનો ઉપયોગ કરો છો ત્યારે અમે સામગ્રી અને અન્ય માહિતી એકત્રિત કરીએ છીએ, જેમાં તમે એકાઉન્ટ માટે સાઇન અપ કરો ત્યારે પણ સમાવેશ થાય છે."
"This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.","આમાં શામેલ હોઈ શકે છે- (i) નામ (ii) મોબાઈલ નંબર (iii) જન્મ તારીખ (iv) લિંગ (v) બાળકનું નામ (vi) આધાર નંબર (vii) સરનામુંજો તમે ઉત્પાદન અથવા સુવિધા પ્રદાન કરવા માટે જરૂરી ડેટા પ્રદાન ન કરવાનું પસંદ કરો છો, તો તમે તે ઉત્પાદન અથવા સુવિધાનો ઉપયોગ કરી શકતા નથી."
"You may, however, choose not to share personal data where providing the data is optional.","જો કે, તમે વ્યક્તિગત ડેટા શેર ન કરવાનું પસંદ કરી શકો છો જ્યાં ડેટા આપવો વૈકલ્પિક હોય."
Tracking of services to the end beneficiary at a click of a button.,એક બટનના ક્લિક પર અંતિમ લાભાર્થી સુધીની સેવાઓનું ટ્રેકિંગ.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","ટેક હોમ રાશન (THR) અને હોટ કૂક મીલ(HCM), શિશુઓ અને સગર્ભા સ્ત્રીઓ માટે રસીકરણ જેવી સેવાઓ"
Enter Weight in kilogram,કિલોગ્રામમાં વજન દાખલ કરો
Garbeta - I Adl.,ગરબેટા-I એડીએલ.
Lakhimpur Kheri City,લખીમપુર ખેરી શહેર
"New Poshan Tracker App (13 January, 2021)","નવી પોશણ ટ્રેકર એપ્લિકેશન (13 જાન્યુઆરી, 2021)"
Preventing illnesses to avert Malnutrition and Death,કુપોષણ અને મૃત્યુને ટાળવા માટે બિમારીઓને અટકાવવી
Ketugram - II,કેતુગ્રામ-II
Jamuria - II,જામુરીયા-II
Pachim Mangaldai Icds Project,પચીમ મંગલદાયી આઈસીડીએસ પ્રોજેક્ટ
Chandrakona - I,ચંદ્રકોના-I
N & M Andaman,ઉત્તર અને મધ્ય અંદમાન
Scan the QR Code to Download the App,એપ ડાઉનલોડ કરવા માટે QR કોડ સ્કેન કરો
North 24 Parganas,ઉત્તર ૨૪ પરગના
UJJAIN - U,ઉજ્જૈન-યુ
Pregnant women who received Take Home Ration (THR),ટેક હોમ રાશન (THR) મેળવનાર સગર્ભા સ્ત્રીઓ
Icds Kasrgod Addl,આઈસીડીએસ કાસરગોડ એડીડીએલ
Please enter valid Height,કૃપા કરીને માન્ય ઊંચાઈ દાખલ કરો
How one can add AWW/AWCs?,આંગણવાડી કાર્યકરોને/આંગણવાડી કેન્દ્રોને કેવી રીતે ઉમેરી શકાય છે?
Khatra - I,ખાત્રા-I
West Khasi Hills,પશ્ચિમ ખાસી હિલ્સ
Growth Monitoring Assessment Charts,ગ્રોથ મોનિટરિંગ એસેસમેન્ટ ચાર્ટ
Memari - I,મેમરી-I
Raiganj (R) Addl.,રાઈગંજ (આર) એડીડીએલ.
Assessment of growth in children,બાળકોમાં વૃદ્ધિનું મૂલ્યાંકન
South West Khasi Hills,દક્ષિણ પશ્ચિમ ખાસી હિલ્સ
Request for Take Home Ration,હોમ રેશન લઈ જવા માટે વિનંતી
CANNING II MAIN,કેનિંગ II મેઈન
Siliguri (U) ICDS PROJECT,સિલિગુરી (U) આઈસીડીએસ પ્રોજેક્ટ
General Awareness on SAM and MAM,SAM અને MAM પર સામાન્ય જાગૃતિ
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","ના, એપ્લિકેશન માન્ય ઇન્ટરનેટ કનેક્શન વિના કાર્ય કરશે નહીં."
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India.","અધિકૃત સંસ્થાઓ ભારત સરકાર દ્વારા સ્થાપિત તમામ લાગુ કાયદાઓ, નિયમન, નીતિઓ અને તૃતીય-પક્ષ અધિકારો (જેમાં અને મર્યાદા વિના, ડેટા અથવા સૉફ્ટવેરની આયાત અથવા નિકાસ સંબંધિત કોઈપણ કાયદાઓ, પ્રાઇવસી અને સ્થાનિક કાયદાઓ સહિત) નું પાલન કરશે."
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,આ સંસ્થાઓ પોશન ટ્રેકર સાથેની આ શરતો સહિતની ગેરકાયદેસર પ્રવૃત્તિ અથવા તૃતીય-પક્ષ અધિકારોના ઉલ્લંઘનને પ્રોત્સાહિત કરવા અથવા પ્રોત્સાહન આપવા APIs/ નો-કોડ વેબપેજ એકીકરણનો ઉપયોગ કરશે નહીં.
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ, 6 મહિનાથી 3 વર્ષ સુધીના બાળકો અને કિશોરીઓ."
6. DATA SECURITY,6. ડેટા સુરક્ષા
South Salmara Mankachar,દક્ષિણ સલમારા મન્કાચાર
0 months to 6 years,0 મહિનાથી 6 વર્ષ
CHECK TICKET STATUS,ટિકિટની સ્થિતિ તપાસો
Icds Kanhangad Addl,આઈસીડીએસ કાન્હાગડ એડીડીએલ
CDPO Ghatkopar Urban,સીડીપીઓ ઘાટકોપર શહેર
Target / Total no.,લક્ષ્યાંક / કુલ નં.
of,ના
Enter Email Address,ઈમેલ એડ્રેસ દાખલ કરો
Dholpur - Rajasthan,ધોલપુર - રાજસ્થાન
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","નવી પોશણ ટ્રેકર એપ્લિકેશનઃ સીએસસી-એસપીવી નોડલ વ્યક્તિ (02 ફેબ્રુઆરી, 2021)"
Udam Singh Nagar,ઉધમસિંહ નાગર
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW લાભાર્થીને તેમના આધાર નંબરના આધારે એક AWCમાંથી બીજા AWCમાં સ્થાનાંતરિત કરવા માટે 'માઇગ્રેટ બેનિફિશરી' વિકલ્પનો ઉપયોગ કરી શકે છે.
Narot Jaimal Singh,નરોત જૈમલ સિંઘ
Balasore Sadar I,બાલાસોર સદર I
General Awareness for Pregnancy,ગર્ભાવસ્થા માટે સામાન્ય જાગૃતિ
Fatehpur - 84,ફતેહપુર-84
A beneficiary is eligible for HCM for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે HCM માટે પાત્ર છે.
Alipurduar - II Addl.,અલીપુરદુઅર-II એડીડીએલ.
ABHA (Health ID) and its Benefits,ABHA (હેલ્થ ID) અને તેના ફાયદા
Jorebunglow Sukiapokhri Adl,જોરેબંગ્લો સુકીયાપોખરી એડીએલ
"We'ar sorry, the page you requested could not be found.","માફ કરશો, તમે વિનંતી કરેલ પૃષ્ઠ શોધી શકાયું નથી."
Rani Ki Sarai,રાણી કી સરાઈ
Project Ii Saibaba Colony,પ્રોજેક્ટ li સાઈબાબા કોલોની
Who is a beneficiary?,લાભાર્થી કોણ છે?
Dadra & Nagar Haveli - Daman & Diu,દાદા અને નગર હવેલી - માન અને ડીયુ
Download Mobile App from Play Store,પ્લે સ્ટોર પરથી મોબાઈલ એપ ડાઉનલોડ કરો
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws.Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","પોશાન ટ્રેકર પ્લેટફોર્મ તમારી પ્રાઇવસી અને વ્યક્તિગત માહિતીને નુકસાન, દુરુપયોગ, અનધિકૃત ઍક્સેસ, જાહેરાત, વિનાશ અને લાગુ કાયદાઓના પાલનમાં માહિતીના ફેરફારથી સુરક્ષિત કરવા માટે વાજબી સુરક્ષા પગલાં અને સલામતી ધરાવે છે.વધુમાં, જ્યારે પણ તમે સિસ્ટમ પર તમારું એકાઉન્ટ અથવા તેને લગતી કોઈપણ માહિતી બદલો છો અથવા ઍક્સેસ કરો છો, ત્યારે અમે સુરક્ષિત સર્વરનો ઉપયોગ ઓફર કરીએ છીએ.તે વધુ સ્પષ્ટ કરવામાં આવે છે કે જ્યાં સુધી તમે સિસ્ટમને ઍક્સેસ કરો છો અને/અથવા તેનો ઉપયોગ કરો છો (પ્રત્યક્ષ અથવા પરોક્ષ રીતે), તે સુનિશ્ચિત કરવાની જવાબદારી તમારી છે કે તમે, દરેક સમયે, તમારા અંતે, પૂરતા ભૌતિક, સંચાલકીય અને તકનીકી સુરક્ષાઓ લેશો., તમારા ડેટાની અખંડિતતા અને સુરક્ષાને જાળવવા માટે જેમાં તમારી વ્યક્તિગત માહિતીનો સમાવેશ થાય છે અને તે તેના સુધી મર્યાદિત રહેશે નહીં."
General Awareness on the Delivery of the child,બાળકના જન્મ અંગે સામાન્ય જાગૃતિ
General Awareness on Anaemia,એનિમિયા પર સામાન્ય જાગૃતિ
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","અમે અમારી સેવાઓનું સંચાલન કરવા માટે પણ ડેટાનો ઉપયોગ કરીએ છીએ, જેમાં અમારી કામગીરીનું પૃથ્થકરણ, અમારી કાનૂની જવાબદારીઓ પૂરી કરવી, અમારા કાર્યબળને વિકસાવવા અને સંશોધન કરવાનો સમાવેશ થાય છે."
