eng,ta
1.2. Information from use of services.,1.2. சேவைகளின் பயன்பாட்டிலிருந்து தகவல்.
Please contact your respective Anganwadi Centre.,உங்கள் அங்கன்வாடி மையத்தைத் தொடர்பு கொள்ளவும்.
Chanchal - II,சஞ்சல் - II
State Video Conference,மாநில காணொளி மாநாடு
Uttar Bastar Kanker,உத்தர பஸ்தர் காங்கர்
"Jatinga Valley Icds Project, Mahur","ஜடிங்கா பள்ளத்தாக்கு ஐ. சி. டி. எஸ். புராஜக்ட், மஹூர்"
Ratua - II,ரதுவா - II
6m - 3y,6 மாதம் - 3 வருடம்
Kushi Nagar City,குஷி நகர் நகரம்
Take Home Ration,வீட்டு ரேஷன் எடுத்துக் கொள்ளுங்கள்
Raina - I,ரெய்னா- I
Chandrakona - II,சந்திரகோணா - II
Mohgaon - T,மோஹ்காவ்ன் - டி
12 Digit Number,12 இலக்க எண்
About Reference tables,குறிப்பு அட்டவணைகள் பற்றி
GOBARDANGA I. C. D. S PROJECT(U),கோபர்தங்கா ஐ. சி. டி. எஸ். புராஜக்ட்(யு)
Please fill in the form below to create a new ticket.,புதிய டிக்கெட்டை உருவாக்க கீழே உள்ள படிவத்தை நிரப்பவும்.
Anganwadi Worker will reach out to you within 48 hours.,அங்கன்வாடி பணியாளர் 48 மணி நேரத்திற்குள் உங்களைத் தொடர்புகொள்வார்.
Goregaon East (U),கோரேகான் கிழக்கு (யு)
RISHRA-KONNAGAR(U) ICDS PROJECT,ரிஷ்ரா-கொன்னாகர்(யு) ஐ. சி. டி. எஸ். புராஜக்ட்
Default language selection,இயல்பான மொழித் தேர்வு
Your request is received.Please note down the ticket number for future reference.,உங்கள் கோரிக்கை வரப்பெற்றது எதிர்காலக் குறிப்புக்காக தயவு செய்து டிக்கட் எண்ணைக் குறித்துக் கொள்ளவும்
Please enter Ticket Number,தயவு செய்து டிக்கட் எண்ணை உள்ளிடவும்
We believe in building doers.Poshan Tracker is a project of Ministry of Women and Child Development.Digital India Corporation is the technical partner of MoWCD.Poshan Tracker focuses on eradication of malnutrition from India.It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,"செயல்புரிபவர்களை உருவாக்குவதில் நாங்கள் நம்பிக்கை கொண்டுள்ளோம் போஷன் டிராக்கர் மகளிர் மற்றும் சிறுவர் முன்னேற்ற அமைச்சகத்தின் திட்டமாகும் டிஜிடல் இந்தியா கார்ப்பரேஷன் MoWCD.-இன் தொழில்நுட்பக் கூட்டாளியாகும் இந்தியாவிலுருந்து ஊட்டச்சத்துக் குறைவை அறவே ஒழிப்பதில் போஷன் டிராக்கர் கவனம் செலுத்துகிறது.அது போஷன் அபியானின் கீழ் சேவை வழங்குதலைக் கண்காணிப்பதற்கும், மேன்மைப்படுத்தவதற்குமான ஒரு மெகானிசமாகச் செயல்படுகிறது."
Turvihal - Kannatagi,துர்விழல் - கன்னடகி
Anganwadi Worker Training,அங்கண்வாடி ஊழியர் பயிற்சி
St Thomas Mount,செயின்ட் தாமஸ் மவுண்ட்
Please Select Beneficiary Category,தயவுசெய்து பயனாளி வகையைத் தேர்ந்தெடுக்கவும்
Purbasthali - II,புர்பஸ்தாலி- II
3.2. Legal Disclosures.,3.2. சட்ட வெளிப்பாடுகள்.
Is poshan trackers app available over Apple I Store also?,ஆப்பிள் ஐ ஸ்டோரிலும் போஷன் டிராக்ஸ் பயன்பாடு கிடைக்குமா?
Number of records becoming inactive and number of records migrating from one category to another,செயலற்றவையாக ஆகிக் கொண்டிருக்கும் பதிவுகளின் எண்ணிக்கை மற்றும் ஒரு வகையிலிருந்து இன்னொன்றுக்கு மாறும் பதிவுகளின் எண்ணிக்கை
Purulia - I,புருலியா - I
In How many languages the Poshan Tracker App is available?,போஷன் டிராக்கர் பயன்பாடு எத்தனை மொழிகளில் கிடைக்கிறது?
BUDGE BUDGE - I,பட்ஜ் பட்ஜ் - I
AWWs are requested to enter their mobile numbers in the Login screen.,அங்கன்வாடி ஊழியர்கள் உள்நுழைவுத் திரையில் தங்கள் மொபைல் எண்களை உள்ளிடுமாறு கேட்டுகொள்ளப்படுகின்றனர்.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","உங்கள் பதிவுசெய்யப்பட்ட மொபைல் எண்ணுக்கு ஒரு OTP அனுப்பப்படும்,அதற்கு பிறகு உங்கள் எம்பின் ஐ அமைக்கவும்."
About Poshan Tracker,போஷன் டிராக்கர் பற்றி
Adilabad - Telangana,ஆதிலாபாத் - தெலுங்கானா
CHINSURAH-MOGRA ICDS PROJECT,சின்சுரா-மோக்ரா ஐ. சி. டி. எஸ். புராஜக்ட்
Ravang Rural Project,ரவாங் கிராமப்புற திட்டம்
Kakdwip ICDS Project,காக்த்வீப் ஐ. சி. டி. எஸ். புராஜக்ட்
Request for Home Visit,வீட்டுக்கு வர வேண்டும் என்ற கோரிக்கை
AWW Position Filled,AWW பதவி நிரப்பப்பட்டது
East Khasi Hills,கிழக்கு காசி மலைகள்
Chakchaka Icds Project Sorbhog,சக்சகா ஐ. சி. டி. எஸ். புராஜக்ட் ஸார்பாக்
EGRA-II ICDS PROJECT,எக்ரா -II ஐ. சி. டி. எஸ். புராஜக்ட்
Mirzapur City 1,மிர்ஸாபூர் நகரம் 1
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,தட்டம்மை கொண்ட தடுப்பூசி (MCV)/MR-2JE-2**தொண்டை அடைப்பான் நோய்பெர்டுசிஸ் & டெட்டனஸ் (DPT)-பூஸ்டர்-1OPV - பூஸ்டர்
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,போஷன் டிராக்கர் ஆனது அனைத்து AWCகள் மற்றும் பயனாளிகளின் நிகழ்நேர கண்காணிப்பு மற்றும் வரையறுக்கப்பட்ட குறிகாட்டிகளில் கண்காணிப்பதை செயல்படுத்துகிறது.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,இது மற்ற அமைச்சகங்கள் மற்றும் திட்டங்களின் டிஜிட்டல் தொழில்நுட்ப அமைப்புகளுடன் இணைந்த மையப்படுத்தப்பட்ட தரவு கட்டமைப்பைப் பயன்படுத்தி கட்டமைக்கப்பட்டுள்ளது.
"The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","அங்கன்வாடி மையத்தின் (AWC) செயல்பாடுகள், அங்கன்வாடி பணியாளர்களின் (AWWs) சேவை வழங்கல்கள் மற்றும் கர்ப்பிணிப் பெண்கள், பாலூட்டும் தாய்மார்கள் மற்றும் குழந்தைகளுக்கான முழுமையான பயனாளிகள் மேலாண்மை ஆகியவற்றின் 360 டிகிரி பார்வையை வழங்குவதே இதன் நோக்கமாகும்."
The public dashboard helps to impart transparency on services delivered to beneficiaries,public dashboard பயனாளிகளுக்கு வழங்கப்படும் சேவைகளில் வெளிப்படைத்தன்மையை வழங்க உதவுகிறது
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,போஷன் டிராக்கர் போர்ட்டல் & ஆப் சாட்போட் இல் மொழிபெயர்ப்புகள் மூன்றாம் தரப்பு மொழிபெயர்ப்பாளர்களால் செய்யப்படுகின்றன.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","மொழிபெயர்ப்புகள் சிறந்த முயற்சியின் அடிப்படையில் செய்யப்பட்டாலும், சில பகுதிகள் தவறாக இருக்கலாம்."
Certain files and other items on the website cannot be translated.,இணையதளத்தில் உள்ள சில கோப்புகள் மற்றும் பிற உருப்படிகளை மொழிபெயர்க்க முடியாது.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","கூடுதலாக, மொழிபெயர்ப்பில், மொழி தடைகள் காரணமாக, சில பயன்பாடுகள் அல்லது சேவைகள் மொழி தடைகள் காரணமாக எதிர்பார்த்தபடி செயல்படாமல் போகலாம்."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","இந்த போர்ட்டலில் வழங்கப்பட்டுள்ள மொழிபெயர்ப்புகளில் ஏதேனும் பிழைகள், தவறுகள் அல்லது தெளிவின்மைகள் இருந்தால் அவற்றைத் திருத்துவதற்கு நாங்கள் தொடர்ந்து பணியாற்றி வருகிறோம்."
AWH Position Filled,AWH பதவி நிரப்பப்பட்டது
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ஆனது பல்வேறு இனப் பின்னணிகள் மற்றும் கலாச்சார அமைப்புகளைச் சேர்ந்த (பிரேசில், கானா, இந்தியா, நார்வே, ஓமன் மற்றும் அமெரிக்கா) சுமார் 8500 குழந்தைகளிடமிருந்து முதன்மை வளர்ச்சித் தரவு மற்றும் தொடர்புடைய தகவல்களைச் சேகரித்தது"
Ratua - I Addl.,ரதுவா - I அடிஷனல்
Please enter Height,தயவுசெய்து உயரத்தை உள்ளிடவும்
Harda Gramin 2,ஹர்தா கிராமின் 2
Children of different age groups are monitored on monthly basis by AWWs.,வெவ்வேறு வயது குழந்தைகள் AWW களால் மாதாந்திர அடிப்படையில் கண்காணிக்கப்படுகிறார்கள்.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","உடல் வளர்ச்சி குன்றிய நிலை, உடல் தேய்மானம் மற்றும் எடை குறைவாக இருப்பது போன்ற சுகாதார குறிகாட்டிகள் WHO தரத்தின்படி அளவிடப்படுகிறது."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,வளர்ச்சி கண்காணிப்பு AWW கள் குழந்தைகளுக்கு பொருத்தமான மற்றும் சரியான நேரத்தில் உதவி வழங்க உதவுகிறது
"Awareness for Children Stunting, Wasting to prevent malnutrition in children",குழந்தைகளின் வளர்ச்சி குன்றியிருப்பதற்கான விழிப்புணர்வு மற்றும் குழந்தைகளின் ஊட்டச்சத்து குறைபாட்டை தடுப்பதற்கான விழிப்புணர்வு
Create a New Ticket,புதிய டிக்கெட்டை உருவாக்கவும்
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","தளம் மற்றும் அனைத்து தரவு, உரை, வடிவமைப்புகள், பக்கங்கள், அச்சுத் திரைகள், படங்கள், கலைப்படைப்புகள், புகைப்படங்கள், ஆடியோ மற்றும் வீடியோ கிளிப்புகள், HTML குறியீடு, மூலக் குறியீடு அல்லது தளத்தில் வசிக்கும் அல்லது பார்க்கக்கூடிய அல்லது வேறுவிதமாகக் கண்டறியக்கூடிய மென்பொருள், மற்றும் தளத்தில் இருந்து முன்பதிவு செய்துள்ள அனைத்து பங்கேற்பாளர்களும், (ஒட்டுமொத்தமாக, ""உள்ளடக்கம்"" என அழைக்கப்படுகிறது) பெண்கள் மற்றும் குழந்தைகள் மேம்பாட்டு அமைச்சகம் மற்றும் அவர்களின் அங்கீகரிக்கப்பட்ட சேவை வழங்குநர்களுக்கு சொந்தமானது."
Jaleswar Icds Project,ஜலேஸ்வர் ஐ. சி. டி. எஸ். புராஜக்ட்
Poshan Tracker adds new application features,ரோஷன் டிராக்கர் புதிய பயன்பாடு அம்சங்களைச் சேர்க்கிறது
Making or Updating Home Visit Planner and Initiating home visits,ஹோம் விசிட் பிளானரை உருவாக்குதல் அல்லது புதுப்பித்தல் மற்றும் வீட்டுச் சந்திப்புகளைத் தொடங்குதல்
Uraiyur    Project-1,உறையூர் புராஜக்ட்-1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),உலக சுகாதார அமைப்பு (WHO) வரையறுத்துள்ள தரநிலைகளின் அடிப்படையில் குழந்தையின் வளர்ச்சியை அளவிடும் வகையில் போஷன் கால்குலேட்டர் வடிவமைக்கப்பட்டுள்ளது
Asthampatti (Sal Pro 1),அஸ்தம்பட்டி (சால் ப்ரோ 1)
Migrated from one category to another,ஒரு பிரிவிலிருந்து இன்னொன்றுக்கு மாறி இருக்கிறார்
Icds Parappa Additional, ஐ. சி. டி. எஸ். பரப்பா அடிஷனல்
Binpur - I Adl.,பின்பூர்- I அடிஷனல்
Wasting (Weight for Height)-,விரயம் (உயரத்திற்க்கான எடை)-
Soreng Rural Project,சோரெங் கிராமப்புற திட்டம்
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,"ஒரு நபர் நல்ல தரமான மற்றும் போதுமான அளவு உணவை உட்கொள்ளாதபோதும், அடிக்கடி உடல்நிலை சரியில்லாமல் போவதும் அல்லது நீண்ட கால நோய்களை கொண்டிருக்கும்போதும் இது பொதுவாக நிகழ்கிறது"
Dinhata - I Addl,தின்ஹடா - I அடிஷனல்
Mohgaon - R,மோஹ்காவ்ன் - ஆர்
"Malnutrition is one of the most important challenges facing contemporary India.Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.","சமகால இந்தியா எதிர்கொள்ளும் மிக முக்கியமான சவால்களில் ஒன்று ஊட்டச்சத்து குறைபாடு.தேசிய மற்றும் உலகளாவிய நிலையான அபிவிருத்தி இலக்குகளை அடைவதற்கு ஊட்டச்சத்து மையமாக ஏற்றுக்கொள்ளப்படுகிறது.சமூகத்தில் மோசமான உடல்நலம் மற்றும் வறுமை ஆகியவற்றின் இடைநிலை சுழற்சியை பெண்கள் மற்றும் குழந்தைகள் உயிர்வாழவும், செழிக்கவும், உடைக்கவும் உகந்த மற்றும் பொருத்தமான ஊட்டச்சத்து அவசியம்.குறைவான குழந்தைகள் மற்றும் பெரியவர்களுக்கு விளைவிக்கும் ஊட்டச்சத்துக் குறைபாட்டின் அடிப்படைக் காரணங்கள், வறுமை, குறைந்த அளவிலான பெண் கல்வியறிவு, சுத்தமான குடிநீர் கிடைக்காதது, சுகாதாரம் மற்றும் சுகாதாரம், தாய்வழி பண்புகள், போதிய நோய் தீர்க்கும் மற்றும் போன்ற பொருளாதார மற்றும் சமூக காரணிகளில் பன்முகத்தன்மை கொண்டவை மற்றும் வேரூன்றியுள்ளன.தடுப்பு சுகாதார பராமரிப்பு, தாய்வழி, வீட்டு மற்றும் சமூக வளங்கள் மற்றும் பெண்கள் அதிகாரம்."
Check Ticket Status,டிக்கெட் நிலையை சரிபார்க்கவும்
Panskura- II ICDS,பன்ஸ்குரா- II ஐ. சி. டி. எஸ்.
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","போஷன் அபியான் என்பது குழந்தைகள், இளம் பருவத்தினர், முன்னுரிமைக்கான ஊட்டச்சத்து விளைவுகளை மேம்படுத்துவதற்கான இந்தியாவின் முதன்மை திட்டமாகும்."
Reference data not available.,குறிப்பு தரவு கிடைக்கவில்லை.
Hot Cooked Meal (HCM) given in last 30 days,கடந்த 30 நாட்களில் வழங்கப்பட்ட சூடான சமைத்த உணவு (HCM)
English Bazar Adl,இங்கிலிஷ் பஜார் அடிஷனல்
"Dhalpukhuri Icds Project, Hojai.","தல்புகுரி ஐ. சி. டி. எஸ். புராஜக்ட், ஹோஜாய்."
Underweight (Weight for Age)-,குறைந்த எடை (வயதுக்கு ஏற்ற எடை)-
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,போஷன் டிராக்கரில் அங்கன்வாடி சேவைகள் திட்டங்களின் தரவைப் பதிவேற்றுதல்
On the Map,மேப்பில்
Prayagraj City 2,பிரயாக்ராஜ் நகரம் 1
Poshan Tracker Process Flow,போஷன் டிராக்கர் செயல்முறை ஓட்டம்
New Khar Santacruz,நியூ கார் சாந்தாகுரூஸ்
Enter Date of Birth,பிறந்த தேதியை உள்ளிடவும்
0 months to 5 years,0 மாதங்கள் முதல் 5 வயது வரை
Delhi Project 1,டெல்லி புராஜக்ட் 1
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,போஷன் டிராக்கர் ஆனது முக்கியமான கடைசி மைல் பயனாளிகளுக்கு தானியங்கி விழிப்பூட்டல்களை உருவாக்குகிறது.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,பயனாளிகள் மற்றும் கடமை தாங்குபவர்களின் உண்மையான நேர வருகையை ஆவணப்படுத்துவதன் மூலம் திறமையான தணிக்கையையும் இது உறுதி செய்கிறது.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","இந்த மேலாண்மை தகவல் அமைப்பு ஊட்டச்சத்து திட்டத்தை திறம்பட அளவிடுவதற்கும், நேர்மறையான தாக்கத்தை உருவாக்கி ஆவணப்படுத்துவதற்கும் உதவும்"
How can one Download Poshan Tracker App?,போஷன் டிராக்கர் அபிபி ஐ எவ்வாறு பதிவிறக்கம் செய்யலாம்?
AWC Opening and AWW behaviour,AWC திறப்பு மற்றும் AWW நடத்தை
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","சட்டக் கோரிக்கை, சப்போனா அல்லது பிற சட்டச் செயல்முறைகளுக்குப் பதிலளிக்கும் வகையில் உங்கள் தகவலை நாங்கள் அணுகலாம், பாதுகாத்துப் பகிரலாம் அல்லது (1) மோசடி அல்லது சட்டவிரோத நடவடிக்கைகள் குறித்து விசாரணை, தடுக்க அல்லது நடவடிக்கை எடுப்பதற்கு வெளிப்படுத்துதல் நியாயமானதே அவசியம் என்று எங்களுக்கு நல்ல நம்பிக்கை இருந்தால் அல்லது அரசாங்க அமலாக்க நிறுவனங்களுக்கு உதவுதல்; (2) உங்களுடன் எங்கள் ஒப்பந்தங்களைச் செயல்படுத்துதல்; (3) எந்த மூன்றாம் தரப்பு உரிமைகோரல்கள் அல்லது குற்றச்சாட்டுகளுக்கு எதிராக நம்மை நாமே விசாரித்து பாதுகாத்துக்கொள்ளவும்; (4) எங்கள் சேவைகளின் பாதுகாப்பு அல்லது ஒருமைப்பாட்டைப் பாதுகாத்தல் (அத்தகைய அச்சுறுத்தல்களை எதிர்கொள்ளும் நிறுவனங்களுடன் பகிர்ந்து கொள்வது போன்றவை); அல்லது (5) எந்தவொரு நபரின் உரிமைகள் மற்றும் பாதுகாப்பைப் பயன்படுத்துதல் அல்லது பாதுகாத்தல்."
Binpur - Ii,பின்பூர் - II
Available in 12 different languages,12 வெவ்வேறு மொழிகளில் கிடைக்கிறது
"Clarification regarding Cost of Smart phones (03 June, 2021)","ஸ்மார்ட் போன்களின் விலை தொடர்பான தெளிவுபடுத்தல் (03 ஜூன், 2021)"
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc., to ensure efficiency and effective outcomes.","குழந்தைகள், இளம் பருவத்தினர், கர்ப்பிணிப் பெண்கள் மற்றும் பாலூட்டும் தாய்மார்களுக்கான ஊட்டச்சத்து விளைவுகளை தொழில்நுட்பம், இலக்கு அணுகுமுறை மற்றும் ஒன்றிணைத்தல் ஆகியவற்றின் மூலம் மேம்படுத்துவதற்கான இந்திய அரசின் முதன்மை திட்டம்தான் போஷான் அபியான்.உடல்நலம், ஊட்டச்சத்து, சுகாதாரத் துறைகள் போன்ற பல்வேறு திட்டங்களுக்கிடையில் சினெர்ஜியை உருவாக்குவதற்கும், செயல்திறன் மற்றும் பயனுள்ள விளைவுகளை உறுதி செய்வதற்கும் இந்த முயற்சி முக்கியத்துவம் அளிக்கிறது."
Observing Breastfeeding In Newborn Babies,புதிதாகப் பிறந்த குழந்தைகளில் தாய்ப்பால் கொடுப்பதைக் கவனித்தல்
Dzongu Tribal Project,சோங்கு பழங்குடியினர் திட்டம்
Gadchiroli - Maharashtra,கட்சிரோலி - மகாராஷ்டிரா
New Hanuman Nagar,நியூ ஹனுமான் நகர்
West Jaintia Hills,மேற்கு ஜெயந்தியா ஹில்ஸ்
BARUIPUR Addl.ICDS PROJECT,பருய்பூர் அடிஷனல் ஐ. சி. டி. எஸ். புராஜக்ட்
Raghunathganj - I Addl.,ரகுநாத்கஞ்ஜ் - I அடிஷனல்
Cooch Behar I Addl,கூச்பெஹார் I அடிஷனல்
along with status update once resolved,நிலை புதுப்பித்தலுடன் சேர்த்து ஒருமுறை தீர்க்கப்பட்டது
Shar Slum Akbarpur,ஷால் ஸ்லம் அக்பர்பூர்
Sheopur - Madhya Pradesh,ஷியோபூர் - மத்தியப் பிரதேசம்
Tehatta 1 Addl,டெஹட்டா 1 அடிஷனல்
East Jaintia Hills,கிழக்கு ஜெயின்டியா ஹில்ஸ்
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","பாதுகாப்பு நோக்கங்களுக்காக அல்லது சாத்தியமான மோசடி அல்லது எங்கள் சேவை விதிமுறைகளின் பிற மீறல்கள் மற்றும் எங்கள் உறுப்பினர்கள், பார்வையாளர்கள் அல்லது பிறருக்கு தீங்கு விளைவிக்கும் முயற்சிகளைத் தடுக்க அல்லது விசாரிக்க உங்கள் தரவை (உங்கள் தகவல்தொடர்புகள் உட்பட) பயன்படுத்துகிறோம்."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.","போஷன் டிராக்கர் அமைப்பு, அமைப்பின் பாதுகாப்பு மற்றும் அளவிடுதல் ஆகியவற்றிற்காக, MWCD ஆல் ஈடுபட்டுள்ள தணிக்கையாளர்களால் தொடர்ந்து தணிக்கை செய்யப்படுகிறது."
The records may be used for such audits.,அத்தகைய தணிக்கைகளுக்கு பதிவுகள் பயன்படுத்தப்படலாம்.
Chinsurah Mogra Addl.,சின்சுரா மோக்ரா அடிஷனல்
Mohan Lal Ganj,மோஹன்லால் கஞ்ஜ்
Mira Bhayandar Virar,மீரா பையந்தர் விரார்
Poshan Tracker adds new Resources on Website,ரோஷன் இணையதள அம்சத்தில் புதிய வளங்களைச் சேர்க்கிறது
Please Enter Valid Mobile Number,சரியான மொபைல் எண்ணை உள்ளிடவும்
Suti II Addl,சுதி II அடிஷனல்
Home Visit Alerts,வீட்டு விசிட் எச்சரிக்கைகள்
How to use Poshan Calculator?,போஷன் கால்குலேட்டரை எவ்வாறு பயன்படுத்துவது?
"If this is your first time contacting us or you've lost the ticket number, please open a new ticket","நீங்கள் எங்களைத் தொடர்புகொள்வது இதுவே முதல் முறை என்றால் அல்லது டிக்கெட் நம்பரைத் தொலைத்துவிட்டால், தயவுசெய்து புதிய டிக்கெட்டைத் திறக்கவும்"
Beneficiary record becoming inactive,பயனானாளர் பதிவு செயலற்றதாக ஆகிக் கொண்டிருக்கிறது
2.4. Security and Audit.,2.4. பாதுகாப்பு மற்றும் தணிக்கை.
Firozabad City 1,ஃபிரோஸ்பாத் நகரம் 1
Theni - Urban,தேனி - அர்பன்
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.","போஷன் டிராக்கர்' என்பது மொபைல் பயன்பாடு ஆகும், இது இந்திய அரசின் பெண்கள் மற்றும் குழந்தைகள் மேம்பாட்டு அமைச்சகத்தால் 1 மார்ச் 2021 அன்று தேசிய மின் ஆளுமைப் பிரிவு (NeGD), MyGov மூலம் ஒரு முக்கியமான ஆளுகைக் கருவியாக வெளியிடப்பட்டது."
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","போஷான் டிராக்கரின் கீழ் உள்ள தொழில்நுட்பம், குழந்தைகளிடையே வளர்ச்சி குன்றிய நிலை, உடல் எடை குறைதல், உடல் எடை குறைவாக இருப்பது மற்றும் ஊட்டச்சத்து சேவை விநியோகத்தின் கடைசி மைல் கண்காணிப்பு போன்றவற்றின் ஆற்றல்மிக்க அடையாளத்திற்காக பயன்படுத்தப்படுகிறது"
Dadra & Nagar Haveli,தாத்ரா மற்றும் நகர் ஹவேலி
Habibpur Addl.2,ஹபிப்பூர் அடிஷனல் 2
Icds Tirur Addl, ஐ. சி. டி. எஸ். திரூர் அடிஷனல்
Raipur-  Karchulian-2,ராய்ப்பூர்- கார்சூலியன்-2
The System also takes feedback about system performance and experience.,கணினி செயல்திறன் மற்றும் அனுபவம் பற்றிய கருத்துக்களையும் கணினி எடுத்துக்கொள்கிறது.
"Information on name, mobile number, date of registration and health status may be used for these purposes","இந்த நோக்கங்களுக்காக பெயர், மொபைல் எண், பதிவு செய்யப்பட்ட தேதி மற்றும் சுகாதார நிலை பற்றிய தகவல்கள் பயன்படுத்தப்படலாம்"
Medchal - Malkajigiri,மேட்சல் மல்கஜ்கிரி
Poshan Tracker App,போஷன் டிராக்கர் ஆப்
Aspirational Districts Program,ஆர்வமுள்ள மாவட்டங்கள் திட்டம்
Kultali Addl.ICDS Project,குல்தாலி அடிஷனல் ஐ. சி. டி. எஸ். புராஜக்ட்
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","நீங்கள் எங்கள் சேவைகளைப் பயன்படுத்தும் போது நீங்கள் வழங்கும் உள்ளடக்கம் மற்றும் பிற தகவல்களை நாங்கள் சேகரிக்கிறோம், நீங்கள் கணக்கில் பதிவு செய்வது உட்பட."
"This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.","இதில் அடங்கும்- (i) பெயர் (ii) மொபைல் எண் (iii) பிறந்த தேதி (iv) பாலினம் (v) குழந்தையின் பெயர் (vi) ஆதார் எண் (vii) முகவரிஒரு தயாரிப்பு அல்லது அம்சத்தை உங்களுக்கு வழங்கத் தேவையான தரவை வழங்க வேண்டாம் என நீங்கள் தேர்வுசெய்தால், அந்த தயாரிப்பு அல்லது அம்சத்தை நீங்கள் பயன்படுத்த முடியாது."
"You may, however, choose not to share personal data where providing the data is optional.","இருப்பினும், தரவை வழங்குவது விருப்பமானதாக இருந்தால், தனிப்பட்ட தரவைப் பகிர வேண்டாம் என்று நீங்கள் தேர்வு செய்யலாம்."
Tracking of services to the end beneficiary at a click of a button.,ஒரு பொத்தானைக் கிளிக் செய்வதன் மூலம் பயனாளிக்கான சேவைகளைக் கண்காணித்தல்.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","டேக் ஹோம் ரேஷன் (THR) மற்றும் சூடான சமைத்த உணவு (HCM), கைக்குழந்தைகள் மற்றும் கர்ப்பிணிப் பெண்களுக்கு தடுப்பூசி போடுதல் போன்ற சேவைகள்"
Enter Weight in kilogram,எடையை கிலோகிராமில் உள்ளிடவும்
Garbeta - I Adl.,கர்பேடா - I அடிஷனல்
Lakhimpur Kheri City,லக்ஷ்மிபூர் கேர் நகரம்
"New Poshan Tracker App (13 January, 2021)","புதிய போஷன் டிராக்கர் பயன்பாடு (13 ஜனவரி, 2021)"
Preventing illnesses to avert Malnutrition and Death,ஊட்டச்சத்து குறைபாடு மற்றும் மரணத்தைத் தவிர்க்க நோய்களைத் தடுக்கிறது
