eng,sd
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","हिनजे अलावा, अनुवाद ते, कुछ एप्लिकेशन आऊं /या सेवाउन भाषा जी तकलीफुन जी वजह सां अपेक्षित रूप सां कम् न थी सगंदो आहे।"
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","अस्सां हिन्ह पोर्टल ते मिलंदड जे लाये अनुवादन में केडी भि गलती, चूक या अस्पष्टता खे सुधारन जे लाये लगातार कम कयूं ता।"
AWH Position Filled,AWH पद भरी वयो
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS इकट्ठा कंदो आ प्राइमरी ग्रोथ डेटा आऊं उनका संबंधि जानकारयु आसपास 8500 बारण जा देखा अलग अलग तरीके सा पलयल आऊं रहते वारा आएन (ब्राजीलl, घाना, इंडिया, नोरवे, ओमन आऊं USA)"
Ratua - I Addl.,रातुआ - I धार
Please enter Height,किरपा लम्बाई भरयो
Harda Gramin 2,हरदा गो॒ठाणो 2
Children of different age groups are monitored on monthly basis by AWWs.,AWW द्वारा अलग अलग उम्र जे बारन जी महीने दर महीने जांच की वेंदी।
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","स्टंटिंग, वेस्टिंग आऊं गट्ठ वजन हुजण, इह सिहत जा लच्छण खे डब्ल्यूएचओ जे मअयारिन जे हीसाब सां माप्यो वेंदो आहे।"
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,टाइम टाइम जी जांच AWW जे कम् कंदननङ खे बारन जी सही आऊं सही टाइम ते मदद करण में कम् में ईअन्दी आहे
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","जागरूकता बारण मे कुपोषण, स्टंट,विनयाण खा बचण लाए"
Create a New Ticket,नई टिकेट ठाहयो
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","चित्र,कलाकत्रीयु,तस्वीर,आडियो आऊं विडियो क्लिप,HTML कोड, स्त्रोत कोड या साफ्टवेयर देखो साइट ते रयीनदो आ,या खोजें भी सिंघउता,आऊं सभी प्रतिभागि साइट ता चुनयावेनदा,महिलाउ आऊं बार विकास मंत्रालय आऊं हुनजे अधिकरत सेवा प्रदाता जे हाजिर मे आयुं।"
Jaleswar Icds Project,जलेश्वर आई. सी. डि. ऐस. प्रोजेक्ट
Poshan Tracker adds new application features,पोशॉन ट्रेकर गंढी आहे नई ऐपलिकेशन कारगुजारी
Making or Updating Home Visit Planner and Initiating home visits,होम विजिट प्लानर ठायण या अपडेट करण आऊं होम विजिट शुरू करण
Uraiyur    Project-1,उरआयूर प्रोजेक्ट-1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),पोषण कैलकुलेटर खे विश्व स्वास्थ्य संगठन (डब्ल्यूएचओ) जे सबब सां वस्फ पैमाइशअ जी बुनियाद ते बारण जी वाध खे मापण जे लाये डिजाइन कायो वयो आहे
Asthampatti (Sal Pro 1),असथामपाट्टी (साल प्रो 1)
Migrated from one category to another,बिक विभाग खां बे॒ ते लडणु
Icds Parappa Additional, आइ. सी. डी. ऐस. पाराप्पा ऐडिशनल
Binpur - I Adl.,बीनपुर - I धार
Wasting (Weight for Height)-,विनयाएण (वजन लम्बाई लाए)-
Soreng Rural Project,सोरेंग गो॒ठाणी प्रोजेक्ट
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,इयो तेमल थीनदो आ जेमल माणु वठ सुठी तरह सा रोटी न हुजे आऊं/या माणु चंगे टाईम खा केडि बिमारी खा गुजर दो हुजे
Dinhata - I Addl,दीनहाटा - I धार
Mohgaon - R,मोहगाउं - आर
Malnutrition is one of the most important challenges facing contemporary India.,हम असर भारत जिन अहम ललकारूनु खे मुंह दे॒इ रह्यो आहे उन्ह्नुमां कुपोषण हिक आहे.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,"पोषण खे, राष्ट्रीय एं आलमी पायेदार तरकीअ जे मकसदनु खे हासिल करण जे लाये मुख्य ग॒णयो वेंदों आहे."
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.","मायनुं एं बारनु खे बिरादरीअ में बचण, वधण वीझण एं कमजोर सिहत एं गरीबीअ जी बिन अलाकुमी सिरिशते खे टोडण जे लाये सही एं मुकमल पोषण जरूरी आहे."
"The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.","कुपोषण जा लिकियल कारण जहिं जे करे घट कद वारा बार एं नौजवान घणा आहिन एं आर्थिक एं सामाजिक सबबनु ते असर कन था, जियें त गरीबी, मायूँनु में तालीम जो घट सतह, पीयण जे साफ पाणीअ ताईं पहुँच में कमी, सफाई एं इल्म तंदुरुस्ती, मादरी खासियतूँ, घट इलाज एं बचाउ चिकित्सा, घरेलू एं  बिरादरी में मादरी जा वसीला एं मायूँनु जी बा-इख्तियारी"
Check Ticket Status,टिकेट जी स्थिति खे जाचण
Panskura- II ICDS,पांशकुडा- II आई. सी. डी. ऐस.
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","बारनु, नौजवाननु , गर्भ वंतयूनु जे खोराकी नतीजन खे सुधारण जे लाए, पोषण अभियान भारत जो मुख्य प्रोग्राम आहे."
Reference data not available.,संदर्भ डेटा उपलब्ध काने।
Hot Cooked Meal (HCM) given in last 30 days,पोंयनु 30 दीं॒हनु में दि॒नल गरम रधलु खाधो (HCM)
English Bazar Adl,अंग्रेजी बजार धार
"Dhalpukhuri Icds Project, Hojai.","धालपुकारी आई. सी. डि. ऐस. प्रोजेक्ट, होजय"
Underweight (Weight for Age)-,घट वजन(वजन उम्र लाए)-
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,डेटा विजण आंगनवाडी सर्विस योजना जो पोषण टे्कर ते
On the Map,नक्शे ते
Prayagraj City 2,प्रयागराज शहरी 2
Poshan Tracker Process Flow,पोशन ट्रेक कंदडु अमलु जो वहिकिरो
New Khar Santacruz,नयू खार सेंटाक्रुज
Enter Date of Birth,जन्म तारीख भ्रमों
0 months to 5 years,0 महिनन खा 5 सालन ताई
Delhi Project 1,दिल्ली प्रोजेकट 1
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,पोषण टे्कर एप जो अलर्ट डयण बार जे वधण लाए।
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,हिन जो सुखों सिस्टम सा ड्युटी डयण आऊं डिलीवरी सही टाईम ते डयण।
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact",हिन जो मेनेजमेंट सिस्टम जो बुधाएण नयुटरीशन प्रोग्राम जे बारे मे जेबा कि वधण में जाम सुठो असर डिसण ईंदो आ
How can one Download Poshan Tracker App?,पोषण एप खे कियें डाउनलोड करे सघ॒जे थो?
AWC Opening and AWW behaviour,AWC ओपनिंग आऊं AWW व्यवहार
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","अस्सां कानूनी अनुरोध, सम्मन, या बी कानूनी प्रक्रिया जे जवाब में तवान्जी जानकारी खे एक्सेस, संरक्षित आऊं साझा करे सगंदा आयुं या अगर असांखे हिक सही विश्वास आहे कि प्रकटीकरण उचित रूप सां जरूरी आहे (1) धोखाधडी या अवैध गतिविधिइन जे संबंध में जांच, रोकथाम या कार्रवाई करण या सरकारी प्रवर्तन एजेंसिइन जी मदद करण जे लाये; (2) तवांसां गड्ड असांजे समझौतन कहे लागू करण; (3) केडी ट्रीं दुरी जा दावा या आरोपन जी जांच करण आऊं हुनखां बचाव करण; (4) असाँजी सेवाउन जी सुरक्षा या अखंडता जी रक्षा करण (जियँ समान खतरन जो सामनो करण वारी कंपनिन सा साथ बाटण); या (5) केडे माणुन जे हक्क आऊं सुरक्षा जो इस्तेमाल या रक्षा करण।"
Binpur - Ii,बीनपुर - II
Available in 12 different languages,अलग॒ -अलग॒ 12 बो॒लियुन में मौजूद
"Clarification regarding Cost of Smart phones (03 June, 2021)","वजाहत असमारट फोन्ज जी कीमत बाबति (03 जूनि ,2021)"
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","टेक्नॉलजी, मक्सदी नजरियो एं मेलाप मेलाप जी ताकत सां बा॒रनु, नौजवाननु, गर्भ वंतयूनु जे खोराकी नतीजन खे सुधारण जे लाए, पोषण अभियान भारत जो मुख्य प्रोग्राम आहे."
"The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc.","टेक्नॉलजी, मक्सदी नजरियो एं मेलाप मेलाप जी ताकत सां बा॒रनु, नौजवाननु, गर्भ वंतयूनु जे खोराकी नतीजन खे सुधारण जे लाए, पोषण अभियान भारत जो मुख्य प्रोग्राम आहे."
", to ensure efficiency and effective outcomes.","हीय पहल  नतीजनु जे असर एं कारकिरदगी जी पक करण जे लाए सिहत, पोषण, सफाई जे हिसनजे अलग॒ अलग॒ प्रोग्रामनु जे विचमें  समझोतो पैदा करण ते जोर दि॒ये थो."
Observing Breastfeeding In Newborn Babies,जायल बारण खे ढुक्क डेयन जो महसूल
Dzongu Tribal Project,जोनगु ट्राईबल प्रोजेक्ट
Gadchiroli - Maharashtra,गडचिरोली - महाराष्ट्र
New Hanuman Nagar,नयू हमुनाम नगर
West Jaintia Hills,ओभर जैंतिया टेकरियू
BARUIPUR Addl.ICDS PROJECT,हारुइपुर धार आई. सी. डी. ऐस. प्रोजेक्ट
Raghunathganj - I Addl.,रघुनाथगंज - I धार
Cooch Behar I Addl,कुचबिहार I धार
along with status update once resolved,हालत जे वादारपणे जे सुधो हेकारे निपटाणे जे बैदि
Shar Slum Akbarpur,शेर स्लम अखबरपुर
Sheopur - Madhya Pradesh,शियोपुर - मध्य प्रदेश
Tehatta 1 Addl,तेहाटा 1 धार
East Jaintia Hills,ओभर जैंतिया टेकरियू
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.",असा तांजी इन्फोर्मेशन खे भी रिकार्ड कंदा आयु ताकि केडे भी धोखे खा बची सिघयु जेको टर्म एंड कंडीशन जे खिलाफ आ।
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",बुखारिण जि हिफाजती आऊं नापण जी लाइकियत जे लाये MWCD द्वारा नियुक्त कइल लेखापरीक्षकण द्वारा पोषण ट्रैकर बुखारिण जो टाइम टाइम ते ऑडिट कियो वेंदो आहे।
The records may be used for such audits.,रिकार्ड तांजे जो परिक्षण थींदो आ।
Chinsurah Mogra Addl.,छीनसुराह मोग्रा धार
Mohan Lal Ganj,मोहन लाल गंज
Mira Bhayandar Virar,मीरा भायानदार वीरार
Poshan Tracker adds new Resources on Website,पोशॉन ट्रेकर गंढियो आहे नयो वसिलो वेबसाईट कारगुरीअ ते
Please Enter Valid Mobile Number,किरपा सही मोबाईल नम्बर भरयो
Suti II Addl,सुती II धार
Home Visit Alerts,होम विजिट अलर्ट
How to use Poshan Calculator?,पोषण कैलकुलेटर जो इस्तेमाल कीयं कयूं?
Beneficiary record becoming inactive,फाईदोवठिंदड रेकार्डअणसुजाग था थिंदा वञिनि
2.4. Security and Audit.,2.4. सुरक्षा अंउ अंकेक्षण
Firozabad City 1,फिरोजाबाद शहरी 1
Theni - Urban,थेनि - शहरी
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.","'पोशन ट्रैकर' हिक मोबाईल में हलण वारो एप आहे जेको 1 मार्च 2021 ते राष्ट्रीय ई-गवर्नेंस डिवीजन (NeGD), MyGov जे जरिये सां हिक अहिम हुकूमती टूल जे रूप में हिंदुस्तान सरकार जे मिनिस्ट्री ऑफ वुमन आऊं चाईल्ड द्वारा कडयु वयो आहे।"
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","पोषण टे्कर एप जी जे कि टेक्नोलॉजी आ उनका इयो पतों पयीन्दो आ कि बार स्टंटेड, घट वजन, वेस्टेड आ या न उनन ताई सही पोषण पहुंचे तो या न"
Dadra & Nagar Haveli,दादरा एं नगर हवेली
Habibpur Addl.2,हबिबपुर धार 2
Icds Tirur Addl, आई. सी. डी. ऐस. तीरुर धार
Raipur-  Karchulian-2,रायपुर- कारछुलियां-2
The System also takes feedback about system performance and experience.,सिस्टम फिडबेक भी वणंदो आ सर्विस अंउ अनुभव लाए।
"Information on name, mobile number, date of registration and health status may be used for these purposes","सूचना जिंय नालो, मोबाईल नम्बर, रजिस्ट्रेशन जी तारीख,सेहत जो स्टेटस हियो तांजो अनुभव वठण लाए थिंदो आ"
Medchal - Malkajigiri,मेडचाल -मलकाजिगिरी
Poshan Tracker App,पोषण टे्कर एप
Aspirational Districts Program,आकांक्षी जिला कार्यक्रम
Kultali Addl.ICDS Project,कुलटाली धार आई. सी. डी. ऐस. प्रोजेक्ट
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","असाने कंटैंट अंउ सूचना ईककठी कईसे जे कि ताने असाखे डिनव सूचना असांजि सर्विस खे वापरे, अंउ जेमल तां अकाउंट खोलंदा आयो।"
"This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.",जेमे शामिल आ- (i) नालो (ii) मोबाईल नम्बर (iii) जन्म तारीख (iv) जेंडर (v)बार जो नालो (vi) आधार नंबर(vii) पतोअगर तां डाटा डयण जो आप्शन नथा चुनयो त ता प्रोडक्ट अंउ फिचर नथा इस्तेमाल करें सिघो।
"You may, however, choose not to share personal data where providing the data is optional.",तां तेमल डाटा शायद नथा भरे सिघो जेमल लिखयल हुजे डाटा आप्शनल आ।
Tracking of services to the end beneficiary at a click of a button.,सर्विस डिसण आऊं आखरी में लाभकारी बटण ते क्लिक करण।
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","सर्विस जिंय टैक होम राशन (THR) आऊं हाट कुक मिल (HCM), टिकाकरण बारण आऊं पेटअ वारी माई जो"
Enter Weight in kilogram,वजन खे किलोग्राम में भरयो
Garbeta - I Adl.,गारबेटा - I धार
Lakhimpur Kheri City,लखिमपुर खेरी शहरी
"New Poshan Tracker App (13 January, 2021)","नईं पोषण ट्रेकर एप (13 जनवरी, 2021)"
Preventing illnesses to avert Malnutrition and Death,कुपोषण आऊं मौत खे खत्म करण जे लाये बीमारिन्न जी रोकथाम
Ketugram - II,केतुग्राम - II
Jamuria - II,झामुरीया - II
Pachim Mangaldai Icds Project,पश्चिम मानगालदाई आई. सी. डि. ऐस. प्रोजेक्ट
Chandrakona - I,चांद्राकोना - I
N & M Andaman,उतर एं मरकजी अंडमान
Scan the QR Code to Download the App,ऐप डाउनलोड करण जे लाये क्यूआर कोड खे स्कैन कयो
North 24 Parganas,उतर 24 परग॒णा
UJJAIN - U,उजैन - यू
Pregnant women who received Take Home Ration (THR),टेक होम राशन (THR) प्राप्त करण वारी पेटअ वारी माइयुं
Icds Kasrgod Addl, आई. सी. डी. ऐस. करसगोड धार
Please enter valid Height,किरपा सही लम्बाई भरयो
How one can add AWW/AWCs?,आंगनवाडी कम कंदड/आंगनवाडी मरकज खे कियें जोडे सघ॒जे थो?
Khatra - I,खतरा - I
West Khasi Hills,ओभर खासी टेकरियू
Growth Monitoring Assessment Charts,वाध निगरानी महसूल चार्ट
Memari - I,मेमारी - I
Raiganj (R) Addl.,रायगंज (आर) धार
Assessment of growth in children,बारण में वाध जो महसूल
South West Khasi Hills,दखण ओभर गारो टेकरियू
Request for Take Home Ration,राशन घर खणो जी आछ
CANNING II MAIN,केनिंग II मोल
Siliguri (U) ICDS PROJECT,सालीगुडी (यू) आई. सी. डी. ऐस. प्राजेक्ट
General Awareness on SAM and MAM,वहींवारी जागरूकता SAM आऊं MAM जी
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","न, ही एप सही इंटरनेट कनेक्शन खां सिवाय कम न कंदी."
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India.","अख्तियारी डिनायल संसथानअ भारत सरकार द्वारा काइम करैल सभी लागू कानूनअ, विनियम, नीतियूँ आऊं ट्रीं दुरी जा हक्क (जैमे आऊं बिना काई बंदिश जे, डेटा या सॉफ्टवेयर, गोपनीयता आऊं स्थानीय कानूनन जे आवत या जावत सां संबंधित कोई भी कानून) जो पालन कंदीयुं।"
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,इह संसथाऊं पोशन ट्रैकर सां गड्ड हिन् शरतुं सहित अवैध गतिविधि या ट्रीं दुरी जे हक्कन जे उल्लंघन खे हयांरी डेयन या बढावो डेयन जे लाये एपीआई/नो-कोड वेबपेज एकीकरण जो इस्तेमाल न कंदीयूँ।
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","पेटअ वारी माई, ढुक्क डेयन माई, बार 6 महिनन खा 3 साल ताई आऊं किशोरी छोकरूयु।"
6. DATA SECURITY,6. डेटा सुरक्षा
South Salmara Mankachar,द॒खण सलमारा मंकचर
0 months to 6 years,0 महिनन खा 6 सालन ताई
CHECK TICKET STATUS,टिकेट जी स्थिति खे जाचण
Icds Kanhangad Addl, आई. सी. डी. ऐस. कानहनगढ धार
CDPO Ghatkopar Urban,सीडीपीओ घाटकोपर शहरी
Target / Total no.of,लक्ष्य / कुल संख्या
Enter Email Address,ईमेल सरनामो दाखिल कयो
Dholpur - Rajasthan,धोलपूर - राजस्थान
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","नईं पोषण ट्रेकर एप : सीएससी-एसपीवी नोडल शख्स (02 फरवरी, 2021)"
Udam Singh Nagar,उधम सिंह नगर
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,छा AWW खे माइग्रेंट लाभकारी आप्शन इस्तमाल करे ता सघयु ताकी माइग्रेंट लाभकारी हिकAWC खा बे AWC खे डई सघयु आधार नंबर जे द्वारा।
Narot Jaimal Singh,नारोट जयमाल सिंह
Balasore Sadar I,बालासोर सदर I
General Awareness for Pregnancy,वहींवारी जागरूकता गर्भावस्था जी
Fatehpur - 84,फतेहिपुर - 84
A beneficiary is eligible for HCM for at least 21 days in a month.,हिक लाभकारी योग्य आए HCM लाए घट में घट महिने जे 21 डियन लाए।
Alipurduar - II Addl.,अलीपुरद्वार - II धार
ABHA (Health ID) and its Benefits,ABHA (तंदुरुस्ती आईडी) आऊं हुनजा फायदा
Jorebunglow Sukiapokhri Adl,जोरेबंगलो सुकियाकोखरी धार
"We'ar sorry, the page you requested could not be found.",असां माजरत कयूं था।जहिं पेज जे लाए तवहाँ वेंती कई उहो मिली न सघियो.
Rani Ki Sarai,रानी जी सराई
Project Ii Saibaba Colony,प्रोजेक्च II साईबाबा कालोनी
Who is a beneficiary?,केर आ फायदेमंद?
Dadra & Nagar Haveli - Daman & Diu,दादरा एं नगर हवेली - दमन एं दियू
Download Mobile App from Play Store,प्ले स्टोर खों मोबाइल ऐप डाउनलोड कयो
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws.","पोशन ट्रैकर प्लेटफॉर्म में तवान्जी निजी आऊं जाती जानकारी खे नुकसान, गलत इस्तेमाल, बिना इजाजत जे आक्सेस, इलहाम, तबाही आऊं लागू कानूनन जे पालन में जानकारी जे बदलाव सां बचन जे लाये वाजिब होशियार पैमाना आऊं सुरक्षा जी तरकीबूं आहेन।"
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.",अउ असा ताखे सचेत करदा रईनदा से ताकि ता गलत उपयोग न कयो अंउ धोखाधडी खा बचया रहयो।
"It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","इहो साफ तौर सां बुदायो तो वने कि जैस ताईं तवां सिस्टम (सिद्दे या परोक्षतः रूप सां ) जो इस्तेमाल आऊं/या इस्तेमाल कयो ता, इहो पक्को करण जि जिम्मेदारी आहे कि तावान पेंजे दर्जे ते हर गढी मुनासिब भौतिक, प्रबंधकीय आऊं तकनीकी हिफाजती जा उपाय कंदो, पेंजी डेटा जी अखंडता आऊं हिफाजती ठाये रखण जे लाये जैमे तावानजी निजी जानकारी शामिल हूंदी आऊं हुन ताई सीमित न हूंदी।"
General Awareness on the Delivery of the child,वहींवारी जागरूकता बार खे पैदा करण जी
General Awareness on Anaemia,वहींवारी जागरूकता एनीमिया जी
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","असा हिन सूचना खे असांजी सर्विस जे लाए इस्तेमाल करण, एनेलाईज, प्रदर्शन, डेवलपमेंट, वर्क फोर्स,अंउ रिसर्च करण लाए।"
We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.,अस्सां सिस्टम में सुधार जे लाये आऊं सिस्टम जे नियमन जे लाये संयोग सां थेयन वारी या मदद करण वारे सभी कम्मन जे लाये आऊं नई तकनीकुन आऊं सेवाउन खे वधाईन लाये आऊं डेयन जे लाये कुछ जरूरी कार्रवाई करण जे लाये जानकारी जो इस्तेमाल करे ता सगूं।
South Salmara Mancachar,द॒खण सलमारा मांकचर
Where can I enquire about Hot Cooked Meal?,छा मां पुछि ती सिघा गर्म ठयल रोटी जे बारे मे?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","साइट में बे वेबसाइटुन जा लिंक थी सगंदा आहेन जैका असांजा पेंजा, रखरखाव या काम कंदन न थी सगंदा आहेन।"
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","माने कि ये वेबसाइटअ जुडैल आहेन, हिन्ह वेबसाइटुन खे केडो भी समर्थन जो इशारो नथ्था डियुं छोकरे इह वेबसाइटुन जे मथ्थां असांजो कोई भी हक्क काने।"
We are not responsible for these websites including any content or the privacy practices of these websites.,अस्सा हिन् वेबसाइटुन जी कोई भी सामग्री या गोपनीयता प्रथायूँ सा गड्ड हिन् वेबसाइटुन लाये जिम्मेदार नायउँ।
We strongly encourage you to familiarize yourself with the terms of use of these websites.,अस्सां तवांखे हिन वेबसाइटुन जे इस्तेमाल जी शर्तूं सां परिचित करायन लाये मजबूती सां हंयारी ता डीयुं।
Your use of these websites is at your own risk and peril.,हिन् वेबसाइटुन जो तवान्जो इस्तेमाल तवांजे पेँजे जोखिम और फैसले जे मथ्थों आहे।
"It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","इहो पक्को करण जरूरी आहे कि सावधानी बरतण जे लाये पूरी तरह सां तवान्जे मथ्था निर्भर आहे कि तवान्जे वजफ सां चूंडयल लिंक या तवान्जे वजफ सां डाउनलोड थैल कोई भी सॉफ्टवेयर वायरस, वर्म्स, ट्रोजन हॉर्स, दोष, डेट बम, टाइम बम,आऊं ब्या अ कंप्यूटर प्रोग्रामिंग रूटीन सां मुक्त आहेन, जैका नुक्सान पहुंचायेंन जे स्वभाव जा आहेन।"
TITAGARH (U) ICDS PROJECT,टीटागड (यू) आई. सी. डी. ऐस. प्रोजेक्ट
Singtam Rural Project,सींगताम गो॒ठाणी प्रोजेक्ट
In how many languages AWW can enter the data while filling up the form?,फॉर्म भरण वक्त आंगनवाडी कम कंदड या आंगनवाडी मरकज केतरियुन बो॒लियुन में डाटा दाखिल करे सघ॒न था?
Purnia East Urban,पुरनिया ओल्हि शहरी
Children who are identified as deficit on nutrition are eligible for additional food supplements.,बार जेका कुपोषित आएन उवे अतिरिक्त पूरी रोटी जे योग्य आ एन।
An underweight person is a person whose body weight is considered too low to be healthy,घट वजन वारो इन्सान उवो हुंदो आ जेंजो वजन डाडो घट हुजे सेहत सही हुजण लाए
Balasore Sadar II,बालासोर सदर II
Project 1 Selvapuram,प्रोजेक्ट 1 सेलवापुरम
East Golaghat Icds,ओभिंदो गोलाघाट आई. सी. डि. ऐस.
Gangarampur ICDS Project,गंगारामपुर आई. सी. डी. ऐस. प्रोजेक्ट
Please enter Mobile Number,महर्बानी करे मोबाईल नम्बर दाखिल कयो
Rewa - R,रेवा - आर
South West Garo Hills,दखण ओभर गारो टेकरियू
When and how to use MPIN?,एमपिन खे कद॒हिं एं कियें इस्तेमाल कजे?
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e. g. bugs).","अस्सां तवानखे रजिस्ट्रेशन जे बारे में बुदायेंन जे लाये तावांजे रजिस्टर्ड मोबाइल नंबर ते एसएमएस भी मोकलिंदा आयुं, अस्सां तवान्जी जानकारी जो इस्तेमाल तवानखे जवाब डेयन जे लाये भी कंदा आयुं जेडी मैल तवां असांसां गदजणदा आयो आऊं जांच करण जे लाये, शिकायतुन जो जवाब डेयन जे लाये आऊं हुनन जा हल्ल कडन जे लाये आऊं सेवा जे मुद्दन (जियँ बग) लाये।"
Ensuring that complementary feeding improves over time,इहो पक्को करण कि टाइम सां इजाफे वारे खादे में सुधार थे
Memari - I Addl.,मेमारी - I धार
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA हिक पेंरयो कदम ता ठांयु जेंखे इस्तेमाल करे असा सुरक्षित अंउ सुठो डिजिटल सिहत खे दाखिल तां कयुं पांजे अंउ पांजे परिवार लाए।
NALHATI-I A ICDS PROJECT (NGO),नालहाटी-I ऐ आई. सी. डी. ऐस. प्रोजेट (ऐन. जी. ओ)
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (पिहरया जेखे सिहत आईडी चईंदा हुया ) हिंजो पुरो नालो आयुष्मान भारत हेल्थ अकाउंट आहे।
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"आंगनवाडी कम कंदड/आंगनवाडी मरकज खे फकत नोडल सतह जे ऑफिसरनु पारां जोडे सघ॒जे थो.कोई बि जेको मथे दि॒नल उहदे में दि॒नल आहे.जियें त राष्ट्रीय सतह जो यूजर राज्य, जिल्ला, प्रोजेक्ट एं सेक्टर सतह जे यूजर खे क्रिएट करे सघे॒ थो.राज्य सतह जो जिल्ला, प्रोजेक्ट एं सेक्टर सतह जे यूजर खे क्रिएट करे सघे॒ थो.जिल्ला सतह जो यूजर प्रोजेक्ट एं सेक्टर सतह जे यूजर खे क्रिएट करे सघे॒ थो.प्रोजेक्ट सतह जो यूजर सेक्टर सतह जे यूजर खे क्रिएट करे सघे॒ थो."
