eng,mr
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","खुंटणे, अशक्तपणा आणि कमी वजनाचे प्रमाण यासारखे आरोग्य निर्देशक डब्ल्यूएचओ मानकांनुसार मोजले जातात."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,नियमित वाढीचे निरीक्षण केल्याने अंगणवाडी सेविका ला मुलांना संबंधित आणि वेळेवर सहाय्य प्रदान करण्यात मदत होते
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","मुलांमधील कुपोषण टाळण्यासाठी बुटकेपणा, लूकडेपणा याबाबत जनजागृती"
Create a New Ticket,नवीन तिकीट तयार करा
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","साइट आणि सर्व डेटा, मजकूर, डिझाइन, पृष्ठे, प्रिंट स्क्रीन, प्रतिमा, कलाकृती, छायाचित्रे, ऑडिओ आणि व्हिडिओ क्लिप, एचटीएमएल कोड, स्त्रोत कोड किंवा सॉफ्टवेअर जे साइटवर राहतात किंवा पाहण्यायोग्य आहेत किंवा अन्यथा शोधण्यायोग्य आहेत आणि सर्व सहभागी बुक केले आहेत साइटवरून, (एकत्रितपणे, ""सामग्री"" म्हणून ओळखले जाते) महिला आणि बाल विकास मंत्रालय आणि त्यांच्या अधिकृत सेवा प्रदात्यांच्या मालकीचे आहेत."
Jaleswar Icds Project,जलेश्वर आयसीडीएस प्रकल्प
Poshan Tracker adds new application features,पोशन ट्रॅकर नवीन ऍप्लिकेशन वैशिष्ट्ये जोडत आहे
Making or Updating Home Visit Planner and Initiating home visits,गृह- भेटीचे नियोजन बनवणे किंवा अपडेट करणे आणि गृह- भेटी सुरू करणे
Uraiyur    Project-1,उरायूर प्रकल्प-1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),पोषण कॅल्क्युलेटर हे मुलांची वाढ मोजण्यासाठी डिझाइन केलेले आहे जे जागतिक आरोग्य संघटनेने (डब्ल्यूएचओ) परिभाषित केलेल्या मानकांच्या आधारे मूल्यमापन करते
Asthampatti (Sal Pro 1),अस्थमपट्टी (साल प्रो 1)
Migrated from one category to another,एका श्रेणीतून दुसर्यात स्थलांतरित झाले
Icds Parappa Additional,आयसीडीएस परप्पा अतिरिक्त
Binpur - I Adl.,बिनपूर - I अतिरिक्त
Wasting (Weight for Height)-,लूकडेपणा (उंचीनुसार वजन)-
Soreng Rural Project,सोरेंग ग्रामीण प्रकल्प
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,हे सहसा तेव्हा होते जेव्हा एखाद्या व्यक्तीने पुरेशा दर्जाचे आणि प्रमाणात अन्न घेतले नसते आणि/किंवा त्यांना वारंवार किंवा दीर्घकाळापर्यंत आजार होत असतात
Dinhata - I Addl,दिनहाटा - I अतिरिक्त
Mohgaon - R,मोहगाव - आर
"Malnutrition is one of the most important challenges facing contemporary India.Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.","कुपोषण हे समकालीन भारतासमोर असलेले सर्वात महत्वाचे आव्हान आहे.राष्ट्रीय आणि जागतिक शाश्वत विकास उद्दीष्टांच्या कर्तृत्वाचे पोषण हे केंद्र म्हणून मान्य केले जाते.स्त्रिया व मुले टिकून राहू शकतील, भरभराट व्हावीत आणि समाजातील गरीब आरोग्य आणि दारिद्र्य या आंतरजन्माच्या चक्रात तोडण्यासाठी इष्टतम आणि योग्य पोषण आवश्यक आहे.कुपोषणाची मूलभूत कारणे ज्यामुळे अल्पसंख्याक मुले आणि प्रौढांना त्रास होतो, गरिबी, महिला साक्षरतेची निम्न पातळी, स्वच्छ पिण्याच्या पाण्याची कमतरता, स्वच्छता आणि स्वच्छता, मातृ वैशिष्ठ्ये, अपुरा उपचारात्मक आणि अशक्तपणा यासारख्या आर्थिक आणि सामाजिक कारणांमध्ये ती बहुमुखी आणि मूळ आहे.प्रतिबंधात्मक आरोग्य सेवा, माता, घरगुती आणि समुदाय संसाधने आणि महिला सबलीकरण."
Check Ticket Status,तिकीट स्थिती तपासा
Panskura- II ICDS,पांसकुरा- II आयसीडीएस
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","मुले, किशोरवयीन मुले, गर्भवती महिला आणि स्तनपान करणार्या मातांना तंत्रज्ञानाचा लाभ देऊन, लक्ष्यित दृष्टिकोन आणि अभिसरण देऊन पौष्टिक परिणाम सुधारण्यासाठी पोषण अभियान हा भारताचा प्रमुख कार्यक्रम आहे."
Reference data not available.,संदर्भ डेटा उपलब्ध नाही.
Hot Cooked Meal (HCM) given in last 30 days,मागील ३० दिवसात दिलेली गरम शिजवलेले भोजन (एचसीएम)
English Bazar Adl,इंग्रजी बाजार अतिरिक्त
"Dhalpukhuri Icds Project, Hojai.","धालपुखुरी आयसीडीएस प्रकल्प, होजई."
Underweight (Weight for Age)-,कमी वजन (वयानुसार वजन)-
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,पोषण ट्रॅकरमध्ये अंगणवाडी सेवा योजनांचा डेटा अपलोड करणे
On the Map,नकाशावर
Prayagraj City 2,प्रयागराज शहर 2
Poshan Tracker Process Flow,पोषण ट्रेकर प्रकिया प्रवाह
New Khar Santacruz,नवीन खार सांताक्रूझ
Enter Date of Birth,जन्मतारीख प्रविष्ट करा
0 months to 5 years,0 महिने ते 5 वर्षे
Delhi Project 1,दिल्ली प्रकल्प 1
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,पोषण ट्रॅकर शेवटच्या टप्प्यातील गंभीर लाभार्थ्यांना स्वयंचलित सूचना व्युत्पन्न करतो.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,हे लाभार्थी आणि कर्तव्य धारकांच्या वास्तविक वेळेच्या उपस्थितीचे दस्तऐवजीकरण करून वितरण प्रणालीचे कार्यक्षम ऑडिट देखील सुनिश्चित करते.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","ही व्यवस्थापन माहिती प्रणाली पोषण कार्यक्रमास कार्यक्षमतेने मापन करण्यास मदत करेल, ज्यामुळे सकारात्मक प्रभाव निर्माण आणि दस्तऐवजीकरण होईल"
How can one Download Poshan Tracker App?,आपण पोशन ट्रॅकर अॅप डाउनलोड कसे करू शकतो?
AWC Opening and AWW behaviour,अंगणवाडी केंद्र उघडणे आणि अंगणवाडी सेविका वर्तन
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","कायदेशीर विनंती, सबपोना किंवा इतर कायदेशीर प्रक्रियेला प्रतिसाद म्हणून आम्ही तुमची माहिती ऍक्सेस करू शकतो, जतन करू शकतो आणि शेअर करू शकतो किंवा (1) फसवणूक किंवा बेकायदेशीर क्रियाकलापांबद्दल चौकशी, प्रतिबंध किंवा कारवाई करण्यासाठी खुलासा करणे वाजवीपणे आवश्यक आहे असा सद्भावनापूर्ण विश्वास असल्यास किंवा सरकारी अंमलबजावणी संस्थांना मदत करण्यासाठी; (2) तुमच्यासोबतचे आमचे करार लागू करा; (3) कोणत्याही तृतीय-पक्षाच्या दाव्यांविरुद्ध किंवा आरोपांविरुद्ध तपास करा आणि स्वतःचा बचाव करा; (4) आमच्या सेवांच्या सुरक्षिततेचे किंवा अखंडतेचे रक्षण करा (जसे की अशाच प्रकारच्या धोक्यांचा सामना करणार्या कंपन्यांशी शेअर करून); किंवा (5) कोणत्याही व्यक्तीचे अधिकार आणि सुरक्षितता वापरणे किंवा त्यांचे संरक्षण करणे."
Binpur - Ii,बिनपूर - II
Available in 12 different languages,१२ वेगवेगळ्या भाषांमध्ये उपलब्ध
"Clarification regarding Cost of Smart phones (03 June, 2021)","स्मार्ट फोनच्या किंमतीबाबात स्पष्टीकरण (03 जून, 2021)"
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc., to ensure efficiency and effective outcomes.","पोषण अभियान हा भारत सरकारचा प्रमुख कार्यक्रम आहे ज्यात मुले, किशोरवयीन मुले, गर्भवती महिला आणि स्तनपान करणार्या मातांना तंत्रज्ञानाचा लाभ देऊन, लक्ष्यित दृष्टिकोन आणि अभिसरण देऊन पौष्टिक परिणाम सुधारता येतील.कार्यक्षमता आणि परिणामकारक परिणाम सुनिश्चित करण्यासाठी आरोग्य, पोषण, स्वच्छता क्षेत्र इ. मधील विविध कार्यक्रमांमधील तालमेल तयार करण्यावर या उपक्रमावर भर देण्यात आला आहे."
Observing Breastfeeding In Newborn Babies,नवजात मुलांमध्ये स्तनपानाचे निरीक्षण करणे
Dzongu Tribal Project,झोंगू आदिवासी प्रकल्प
Gadchiroli - Maharashtra,गडचिरोली - महाराष्ट्र
New Hanuman Nagar,न्यू हनुमान नगर
West Jaintia Hills,वेस्ट जैंटिया हिल्स
BARUIPUR Addl.,बारुईपूर अतिरिक्त.
ICDS PROJECT,आयसीडीएस प्रकल्प
Raghunathganj - I Addl.,रघुनाथगंज - I अतिरिक्त.
Cooch Behar I Addl,कूच बिहार I अतिरिक्त
along with status update once resolved,निराकरण झाल्यानंतर स्थिती अपडेट सह
Shar Slum Akbarpur,शार झोपडपट्टी अकबरपूर
Sheopur - Madhya Pradesh,श्योपुर - मध्य प्रदेश
Tehatta 1 Addl,तेहट्टा 1 अतिरिक्त
East Jaintia Hills,पूर्व जेंटिया हिल्स
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","आम्ही तुमचा डेटा (तुमच्या संप्रेषणांसह) सुरक्षिततेच्या उद्देशांसाठी वापरतो किंवा संभाव्य फसवणूक किंवा आमच्या सेवा अटींचे इतर उल्लंघन आणि/किंवा आमचे सदस्य, अभ्यागत किंवा इतरांना हानी पोहोचवण्याचा प्रयत्न रोखण्यासाठी किंवा तपासण्यासाठी करतो."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",प्रणालीच्या सुरक्षितता आणि मापनक्षमतेसाठी पोषण ट्रॅकर प्रणालीचे नियमितपणे एमडब्ल्यूसीडीद्वारे गुंतलेल्या ऑडिटर्सद्वारे ऑडिट केले जाते.
The records may be used for such audits.,अशा ऑडिटसाठी नोंदी वापरल्या जाऊ शकतात.
Chinsurah Mogra Addl.,चिनसुरा मोगरा अतिरिक्त.
Mohan Lal Ganj,मोहन लाल गंज
Mira Bhayandar Virar,मीरा भाईंदर विरार
Poshan Tracker adds new Resources on Website,पॉशन ट्रॅकर वेबसाइट वैशिष्ट्यावर नवीन संसाधने जोडते
Please Enter Valid Mobile Number,कृपया वैध मोबाईल क्रमांक प्रविष्ट करा
Suti II Addl,सुती IIअतिरिक्त
Home Visit Alerts,घर -भेटीचे अलर्ट
How to use Poshan Calculator?,पोषण कॅल्क्युलेटर कसे वापरावे?
Beneficiary record becoming inactive,लाभार्थी रेकॉर्ड निष्क्रिय होत आहे
2.4. Security and Audit.,2.4. सुरक्षा आणि ऑडिट.
Firozabad City 1,फिरोजाबाद शहर 1
Theni - Urban,थेणी - शहरी
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.","पोषण ट्रॅकर' हे मोबाईलवर आधारित ऍप्लिकेशन आहे जे भारत सरकारच्या महिला आणि बाल विकास मंत्रालयाने 1 मार्च 2021 रोजी नॅशनल ई-गव्हर्नन्स डिव्हिजन (NeGD), MyGov मार्फत एक महत्त्वाचे प्रशासन साधन म्हणून आणले आहे."
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","मुलांमध्ये खुंटणे, अशक्तपणा, कमी वजनाचे प्रमाण आणि पोषण सेवा वितरणाचा शेवटचा माइल ट्रॅकिंग यासाठी पोषण ट्रॅकर अंतर्गत तंत्रज्ञानाचा वापर केला जात आहे"
Dadra & Nagar Haveli,दादरा आणि नगर हवेली
Habibpur Addl.,हबीबपूर अतिरिक्त.
2,2
Icds Tirur Addl,आयसीडीएस तिरुर अतिरिक्त
Raipur-  Karchulian-2,रायपूर- करचुलियन-2
The System also takes feedback about system performance and experience.,ही यंत्रणा व्यवस्थेचे कार्यप्रदर्शन आणि अनुभवाबद्दल फीडबॅक देखील घेते.
"Information on name, mobile number, date of registration and health status may be used for these purposes","या उद्देशांसाठी नाव, मोबाईल नंबर, नोंदणीची तारीख आणि आरोग्य स्थिती यावरील माहिती वापरली जाऊ शकते"
Medchal - Malkajigiri,मेधाचल मलकाजगिरी
Poshan Tracker App,पोषण ट्रॅकर एप
Aspirational Districts Program,आकांक्षी जिल्हा कार्यक्रम
Kultali Addl.,कुलटाळी अतिरिक्त.
ICDS Project,आयसीडीएस प्रकल्प
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","तुम्ही आमच्या सेवा वापरता तेव्हा तुम्ही दिलेली सामग्री आणि इतर माहिती आम्ही गोळा करतो, ज्यामध्ये तुम्ही खात्यासाठी साइन अप करता तेव्हा."
"This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.","यात समाविष्ट असू शकते- (i) नाव (ii) मोबाईल नंबर (iii) जन्मतारीख (iv) लिंग (v) मुलाचे नाव (vi) आधार क्रमांक (vii) पत्तातुम्हाला उत्पादन किंवा वैशिष्ट्य प्रदान करण्यासाठी आवश्यक असलेला डेटा न देणे तुम्ही निवडल्यास, तुम्ही ते उत्पादन किंवा वैशिष्ट्य वापरू शकत नाही."
"You may, however, choose not to share personal data where providing the data is optional.","तथापि, तुम्ही वैयक्तिक डेटा शेअर न करणे निवडू शकता जेथे डेटा प्रदान करणे पर्यायी आहे."
Tracking of services to the end beneficiary at a click of a button.,एका बटणाच्या क्लिकवर अंतिम लाभार्थीपर्यंत सेवांचा पाठपुरवठा करणे.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","होम रेशन(टीएचआर) आणि गरम शिजवलेले जेवण (एचसीएम), नवजात बालकांसाठी आणि गर्भवती महिलांसाठी लसीकरण यासारख्या सेवा"
Enter Weight in kilogram,किलोग्रॅममध्ये वजन प्रविष्ट करा
Garbeta - I Adl.,गरबेटा - Iअतिरिक्त
Lakhimpur Kheri City,लखीमपूर खेरी शहर
"New Poshan Tracker App (13 January, 2021)","नवीन पोषण ट्रॅकर अॅप (१३ जानेवारी, २०२१)"
Preventing illnesses to avert Malnutrition and Death,कुपोषण आणि मृत्यू टाळण्यासाठी आजारांना प्रतिबंध करणे
Ketugram - II,केतुग्राम - II
Jamuria - II,जमुरिया - II
Pachim Mangaldai Icds Project,पचिम मंगलदाई आयसीडीएस प्रकल्प
Chandrakona - I,चंद्रकोना - I
N & M Andaman,उत्तर आणि मध्य अंदमान
Scan the QR Code to Download the App,एप डाउनलोड करण्यासाठी क्यूआर कोड स्कॅन करा
North 24 Parganas,उत्तर २४ परगना
UJJAIN - U,उज्जैन - यू
Pregnant women who received Take Home Ration (THR),होम रेशन(टीएचआर) मिळालेल्या गर्भवती महिला
Icds Kasrgod Addl,Icds कासरगोड अतिरिक्त
Please enter valid Height,कृपया वैध उंची प्रविष्ट करा
How one can add AWW/AWCs?,एखादा एडब्ल्यूडब्ल्यू / एडब्ल्यूसी कसा जोडू शकतो ?
Khatra - I,खत्रा - I
West Khasi Hills,पश्चिम खासी हिल्स
Growth Monitoring Assessment Charts,ग्रोथ मॉनिटरिंग असेसमेंट चार्ट
Memari - I,मेमारी - I
Raiganj (R) Addl.,रायगंज (आर) अतिरिक्त.
Assessment of growth in children,मुलांच्या वाढीचे मूल्यांकन
South West Khasi Hills,दक्षिण पश्चिम खासी हिल्स
Request for Take Home Ration,टेक होम रेशनसाठी विनंती
CANNING II MAIN,कॅनिंग दुसरा मुख्य
Siliguri (U) ICDS PROJECT,सिलीगुडी (यु)आयसीडीएस प्रकल्प
General Awareness on SAM and MAM,गंभीर तीव्र कुपोषण आणि मध्यम तीव्र कुपोषण वर सामान्य जागरूकता
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.",वैध इंटरनेट कनेक्शनशिवाय अॅप कार्य करत नाही.
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India.","अधिकृत संस्था भारत सरकारने स्थापित केलेले सर्व लागू कायदे, नियमन, धोरणे आणि तृतीय-पक्ष अधिकारांचे पालन करतील (यासह आणि मर्यादेशिवाय, डेटा किंवा सॉफ्टवेअरची आयात किंवा निर्यात, गोपनीयता आणि स्थानिक कायद्यांबाबतचे कोणतेही कायदे)."
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,पॉशन ट्रॅकरसह या अटींसह बेकायदेशीर क्रियाकलाप किंवा तृतीय-पक्ष अधिकारांचे उल्लंघन करण्यास प्रोत्साहन देण्यासाठी या संस्था एपीआय/ नो-कोड वेबपृष्ठ एकत्रीकरण वापरणार नाहीत.
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","गरोदर महिला, स्तनपान करणार्या माता, 6 महिने ते 3 वर्षे वयोगटातील मुले आणि किशोरवयीन मुली."
6. DATA SECURITY,6. डेटा सुरक्षा
South Salmara Mankachar,दक्षिण सल्मारा मंकाचार
0 months to 6 years,0 महिने ते 6 वर्षे
CHECK TICKET STATUS,तिकीट स्थिती तपासा
Icds Kanhangad Addl,आयसीडीएस कन्हनगड अतिरिक्त
CDPO Ghatkopar Urban,सीडीपीओ घाटकोपर अर्बन
Target / Total no.,लक्ष्य / एकूण क्र.
of,च्या
Enter Email Address,ईमेल पत्ता प्रविष्ट करा
Dholpur - Rajasthan,धौलपूर - राजस्थान
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","नवीन पोषण ट्रॅकर अॅपः सीएससी-एसपीव्ही नोडल व्यक्ती (०२ फेब्रुवारी, २०२१)"
Udam Singh Nagar,उधमसिंह नगर
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,एक अंगणवाडी सेविका लाभार्थी एका अंगणवाडी केंद्र मधून दुसर्या अंगणवाडी केंद्र मध्ये त्यांच्या आधार क्रमांकाच्या आधारे स्थलांतरित करण्यासाठी 'माइग्रेट लाभार्थी' पर्याय वापरू शकतो.
Narot Jaimal Singh,नरोट जयमल सिंग
Balasore Sadar I,बालासोर सदर आय
General Awareness for Pregnancy,गरोदरपणा विषयी सामान्य जागरूकता
Fatehpur - 84,फतेहपूर - 84
A beneficiary is eligible for HCM for at least 21 days in a month.,एक लाभार्थी एका महिन्यात किमान 21 दिवस एचसीएम साठी पात्र असतो.
Alipurduar - II Addl.,अलीपुरद्वार - II अतिरिक्त
ABHA (Health ID) and its Benefits,एबीएचए (आरोग्य आयडी) आणि त्याचे फायदे
Jorebunglow Sukiapokhri Adl,जोरेबंगलो सुकियापोखरी अतिरिक्त
"We'ar sorry, the page you requested could not be found.","आम्ही दिलगीर आहोत, आपण विनंती केलेले पृष्ठ आढळू शकले नाही."
Rani Ki Sarai,राणी की सराई
Project Ii Saibaba Colony,प्रकल्प II साईबाबा कॉलनी
Who is a beneficiary?,लाभार्थी कोण आहे?
Dadra & Nagar Haveli - Daman & Diu,दादरा आणि नगर हवेली - दमण आणि दीव
Download Mobile App from Play Store,प्ले स्टोअर वरून मोबाईल एप डाउनलोड करा
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws.Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","पोषण ट्रॅकर प्लॅटफॉर्ममध्ये तुमची गोपनीयता आणि वैयक्तिक माहितीचे नुकसान, गैरवापर, अनधिकृत प्रवेश, प्रकटीकरण, नाश आणि लागू कायद्यांचे पालन करून माहितीमध्ये फेरफार यापासून संरक्षण करण्यासाठी वाजवी सुरक्षा उपाय आणि सुरक्षा उपाय आहेत.पुढे, जेव्हाही तुम्ही सिस्टीमवरील तुमचे खाते किंवा त्यासंबंधी कोणतीही माहिती बदलता किंवा ऍक्सेस करता तेव्हा आम्ही सुरक्षित सर्व्हर वापरण्याची ऑफर देतो.हे पुढे स्पष्ट करण्यात आले आहे की, जोपर्यंत तुम्ही प्रणालीमध्ये प्रवेश करता आणि/किंवा वापरता (प्रत्यक्ष किंवा अप्रत्यक्षपणे), तुम्ही हे सुनिश्चित करण्याचे बंधन तुमच्याकडे आहे की, तुम्ही, तुमच्या शेवटी, पुरेशा भौतिक, व्यवस्थापकीय आणि तांत्रिक सुरक्षेचे पालन कराल., तुमच्या डेटाची अखंडता आणि सुरक्षितता जपण्यासाठी ज्यामध्ये तुमची वैयक्तिक माहिती समाविष्ट असेल आणि ती मर्यादित नसेल."
General Awareness on the Delivery of the child,्रसूतीबद्दल आणि बाळाच्या जन्माबद्दल सामान्य जागरूकता
General Awareness on Anaemia,रक्तशायाबद्दल सामान्य जागरूकता
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","आम्ही आमच्या सेवा ऑपरेट करण्यासाठी देखील डेटा वापरतो, ज्यामध्ये आमच्या कार्यप्रदर्शनाचे विश्लेषण करणे, आमच्या कायदेशीर दायित्वांची पूर्तता करणे, आमचे कार्यबल विकसित करणे आणि संशोधन करणे समाविष्ट आहे."
We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.,प्रणालीच्या सुधारणेसाठी आणि प्रणालीच्या तरतुदीशी संबंधित सर्व आनुषंगिक किंवा सहायक कृतींसाठी आणि नवीन तंत्रज्ञान आणि सेवा विकसित आणि प्रदान करण्यासाठी आम्ही काही आवश्यक ऑपरेशन करण्यासाठी देखील माहिती वापरू शकतो.
South Salmara Mancachar,दक्षिण साल्मारा मंचाचार
Where can I enquire about Hot Cooked Meal?,मी गरम शिजवलेल्या जेवणाबद्दल कुठे चौकशी करू शकतो?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.We are not responsible for these websites including any content or the privacy practices of these websites.We strongly encourage you to familiarize yourself with the terms of use of these websites.Your use of these websites is at your own risk and peril.It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","साइटमध्ये इतर वेबसाइट्सचे लिंक्स असू शकतात ज्या कदाचित आमच्या मालकीच्या, देखरेखीच्या किंवा आमच्याद्वारे चालवल्या जाणार नाहीत.या वेबसाइट्स लिंक्ड आहेत हे तथ्य, आमच्याकडून या वेबसाइट्सचे कोणतेही समर्थन सूचित करत नाही, कारण या वेबसाइट्सवर आमचे कोणतेही नियंत्रण आहे.आम्ही या वेबसाइट्ससाठी कोणतीही सामग्री किंवा या वेबसाइट्सच्या गोपनीयता पद्धतींसह जबाबदार नाही.या वेबसाइट्सच्या वापराच्या अटींशी परिचित होण्यासाठी आम्ही तुम्हाला जोरदार प्रोत्साहन देतो.या वेबसाइट्सचा तुमचा वापर तुमच्या स्वतःच्या जोखमीवर आणि धोक्यात आहे.तुम्ही निवडलेल्या लिंक्स किंवा तुम्ही डाउनलोड करू शकणारे कोणतेही सॉफ्टवेअर व्हायरस, वर्म्स, ट्रोजन हॉर्स, दोष, डेट बॉम्ब, टाईम बॉम्ब आणि इतर किंवा इतर संगणक प्रोग्रामिंग दिनचर्यापासून मुक्त आहेत याची खात्री करण्यासाठी आवश्यक ती खबरदारी घेणे केवळ तुमच्यावर अवलंबून आहे.विध्वंसक स्वभावाचे"
TITAGARH (U) ICDS PROJECT,टिटागढ (यु) आयसीडीएस प्रकल्प
Singtam Rural Project,सिंगतम ग्रामीण प्रकल्प
In how many languages AWW can enter the data while filling up the form?,फॉर्म भरताना किती भाषांमध्ये एडब्ल्यूडब्ल्यू किंवा एडब्ल्यूसी डेटा प्रविष्ट करू शकतात?
Purnia East Urban,पूर्णिया पूर्व शहरी
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषणाची कमतरता म्हणून ओळखली जाणारी मुले अतिरिक्त आहार पूरक आहारांसाठी पात्र आहेत.
An underweight person is a person whose body weight is considered too low to be healthy,कमी वजनाची व्यक्ती अशी व्यक्ती असते ज्यांचे शरीराचे वजन निरोगी होण्यासाठी खूप कमी मानले जाते
Balasore Sadar II,बालासोर सदर II
Project 1 Selvapuram,प्रकल्प 1 सेल्वापुरम
East Golaghat Icds,पूर्व गोलाघाट आयसीडीएस
Gangarampur ICDS Project,गंगारामपूर आयसीडीएस प्रकल्प
Please enter Mobile Number,कृपया मोबाईल क्रमांक प्रविष्ट करा
Rewa - R,रेवा - आर
South West Garo Hills,दक्षिण पश्चिम गॅरो हिल्स
When and how to use MPIN?,एमपीन कधी आणि कसा वापरावा?
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e. g. bugs).","आम्ही तुमच्या नोंदणीकृत मोबाइल नंबरवर तुम्हाला नोंदणीबद्दल सूचना देण्यासाठी एसएमएस देखील पाठवतो, तुम्ही आमच्याशी संपर्क साधता तेव्हा तुम्हाला प्रतिसाद देण्यासाठी आणि तक्रारींची तपासणी करण्यासाठी, प्रतिसाद देण्यासाठी आणि सेवा समस्यांसाठी (उदा.बग) आम्ही तुमची माहिती वापरतो."
Ensuring that complementary feeding improves over time,कालांतराने पूरक आहार सुधारत आहे याची खात्री करणे
Memari - I Addl.,मेमारी - I अतिरिक्त
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,एबीएचए (आरोग्य आयडी) याचा वापर हे तुमच्यासाठी आणि तुमच्या कुटुंबासाठी सुरक्षित आणि कार्यक्षम डिजिटल आरोग्य नोंदी तयार करण्याच्या दिशेने पहिले पाऊल आहे.
NALHATI-I A ICDS PROJECT (NGO),नल्हाटी-1 एक आयसीडीएस प्रकल्प (एनजीओ)
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,एबीएचए (पूर्वी आरोग्य आयडी म्हणून ओळखले जाणारे) हे आयुष्मान भारत आरोग्य खात्याचे संक्षिप्त रूप आहे.
