eng,ur
Please contact your respective Anganwadi Centre.,براہ کرم اپنے متعلقہ آنگن واڑی سنٹر سے رابطہ کریں ۔
Chanchal - II,چنچل - II
State Video Conference,ریاستی ویڈیو کانفرنس
Uttar Bastar Kanker,شمالی بستر کنکر
"Jatinga Valley Icds Project, Mahur",جرنگا ویلی آئی سی ڈی ایس پروجیکٹ ، ماہور
Ratua - II,رٹوا - II
6m - 3y,6 ماہ 3- سال
Kushi Nagar City,کشی نگر سٹی
Take Home Ration,گھر کا راشن لیں ۔
How can I get the Certificate?,میں سرٹیفکیٹ کیسے حاصل کرسکتا ہوں
Raina - I,رینا - I
Chandrakona - II,چندرا کونا - II
Mohgaon - T,موہ گاؤں
12 Digit Number,بارہ ہندسوں کا نمبر
About Reference tables,حوالہ جدولوں کے بارے میں ۔
GOBARDANGA I. C. D. S PROJECT(U),گوبر ڈانگہ -1 آئی سی ڈی ایس پروجیکٹ ( اربن )
Please fill in the form below to create a new ticket.,نیا ٹکٹ بنانے کے لیے براہ کرم نیچے دیئے گئے فارم کو پر کریں ۔
Anganwadi Worker will reach out to you within 48 hours.,آنگن واڑی ورکر 48 گھنٹے کے اندر آپ سے رابطہ کرے گی ۔
Goregaon East (U),گورے گاؤں ایسٹ
RISHRA-KONNAGAR(U) ICDS PROJECT,رشڑا کون نگر ( یو ) آئی سی ڈی ایس پروجیکٹ
Default language selection,پہلے سے طے شدہ زبان کا انتخاب
Your request is received.,آپ کی درخواست موصول ہوئی ہے ۔
Please note down the ticket number for future reference.,براہ کرم مستقبل کے حوالے کے لیے ٹکٹ نمبر نوٹ کریں ۔
Scan to Download App for Android only,صرف اینڈرائیڈ کے لیے ایپ ڈاؤن لوڈ کرنے کے لیے اسکین کریں ۔
Please enter Ticket Number,براہ کرم ٹکٹ نمبر درج کریں ۔
We believe in building doers.,ہم کام کرنے والوں کو بنانے میں یقین رکھتے ہیں ۔
Poshan Tracker is a project of Ministry of Women and Child Development.,پوشن ٹریکر وزرات برائے خواتین و ترقی اطفال کا ایک پروجیکٹ ہے ۔
Digital India Corporation is the technical partner of MoWCD.,ڈیجیٹل انڈیا ، کارپوریشن وزرات برائے خواتین و ترقی اطفال کا تکنیکی شریک ہے ۔
Poshan Tracker focuses on eradication of malnutrition from India.,پوشن ٹریکر بھارت سے ناقص غذائیت کو جڑ سے اکھاڑ پھینکنے پر اپنی توجہ مرکوز کرتا ہے ۔
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,یہ پوشن ابھیان کے تحت خدمات کی فراہمی کی نگرانی کرنے اور اس میں بہتری لانے کے ایک میکانزم کے طور پر کام کرتا ہے ۔
Turvihal - Kannatagi,تھروہیل ۔کنّتا گیری
Select a Help Topic,مدد کا موضوع منتخب کریں
Anganwadi Worker Training,آنگن واڑی ورکرز کی تربیت
St Thomas Mount,اینٹ ٹامس ماؤنٹ
Additional Supplementary food not received,اضافی سپلیمنٹری خوراک موصول نہیں ہوئی ۔
Please Select Beneficiary Category,براہ کرم فائدہ اٹھانے والے زمرے کا انتخاب کریں
Purbasthali - II,پوربستھلی - II
3.2. Legal Disclosures.,3.2. قانونی انکشافات ۔
Is poshan trackers app available over Apple I Store also?,کیا پوشن ٹریکر اپلیکیشن اپیل I اسٹور پر بھی دستئیاب ہے
Number of records becoming inactive and number of records migrating from one category to another,غیر فعال ہونے والے ریکارڈز کی تعداد اور ایک زمرے سے دوسرے میں منتقل ہونے والے ریکارڈز کی تعداد
Purulia - I,پرولیا - I
In How many languages the Poshan Tracker App is available?,پوشن ٹریکر اپلیکیشن کتنی زبانوں میں دستیاب ہے
BUDGE BUDGE - I,بج بج - I
AWWs are requested to enter their mobile numbers in the Login screen.,AWWs سے درخواست ہے کہ وہ اپنا موبائل نمبر اپنے لاگ ان اسکرین پر شامل کریں ایک OTP ان کے رجسٹرڈ شدہ موبائل پر بھیجا جائے گا ۔
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",پھر اس کے بعد آپ کو MPIN. سیٹ کرنے کی ضرورت درپیش ہوگی
About Poshan Tracker,پوشن ٹریکر کے بارے میں
Adilabad - Telangana,عادل آباد ۔
Maximum 4 children can be registered using one mobile number.,ایک موبائل نمبر کے ذریعے زیادہ سے زیادہ 4 بچوں کو رجسٹر کیا جا سکتا ہے ۔
CHINSURAH-MOGRA ICDS PROJECT,چنسورا موگرا آئی سی ی ایس پروجیکٹ
Ravang Rural Project,پاوانگ رورل پروجیکٹ
Kakdwip ICDS Project,کاک دویپ آئی سی ڈی ایس پروجیکٹ
Request for Home Visit,گھریلو دورے کی درخواست
AWW Position Filled,AWW کی پوزیشن بھر گئی ۔
Registration of New Born Baby,نوزائیدہ بچے کی رجسٹریشن
East Khasi Hills,مشرقی کھاسی پہاڑیاں
Chakchaka Icds Project Sorbhog,چکچکا آئی سی ڈی ایس پروجیکٹ سور بھوگ
EGRA-II ICDS PROJECT,ایگرا - II آی سی ڈی ایس
Mirzapur City 1,مرزا پور سٹی - 1
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,خسرہ پر مشتمل ویکسین ( MCV)/ MR-2JE-2** خناقپرٹیوسس اور ٹیٹنس ( DPT) - بوسٹر -1OPV - بوسٹر
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,پوشن ٹریکر تمام AWCs اور استفادہ کنندگان کی متعین اشارے پر حقیقی وقت کی نگرانی اور ٹریکنگ کے قابل بناتا ہے ۔
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,یہ سنٹرلائزڈ ڈیٹا آرکیٹیکچر کا استعمال کرتے ہوئے بنایا گیا ہے جو دوسری وزارتوں اور پروگراموں کے ڈیجیٹل ٹکنالوجی کے نظام کے ساتھ بھی مطابقت رکھتا ہے ۔
"The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.",اس کا مقصد آنگن واڑی سینٹر ( AWC) کی سرگرمیوں ، آنگن واڑی ورکرز ( AWWs) کی خدمات کی فراہمی اور حاملہ خواتین ، دودھ پلانے والی ماؤں اور بچوں کے لیے مکمل مستفید ہونے والے انتظامات کا 360 ڈگری منظر فراہم کرنا ہے ۔
The public dashboard helps to impart transparency on services delivered to beneficiaries,عوامی ڈیش بورڈ
"Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.While the translations are done on a best effort basis, some of the parts may be incorrect.Certain files and other items on the website cannot be translated.In addition, on translation, some applications and/or services may not function as expected, due to language barriers.We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.",پوشن ٹریکر پورٹل اور ایپ چیٹ بوٹ پر ترجمے تیسرے فریق کے مترجم کرتے ہیں ۔اگرچہ ترجمے بہترین کوشش کی بنیاد پر کیے گئے ہیں ،لیکن کچھ حصے غلط ہو سکتے ہیں ۔ویب سائٹ پر موجود بعض فائلوں اور دیگر اشیاء کا ترجمہ نہیں کیا جا سکتا ۔اس کے علاوہ ، ترجمہ پر ، زبان کی رکاوٹوں کی وجہ سے ، کچھ ایپلیکیشنز اور / یا خدمات توقع کے مطابق کام نہیں کر سکتیں ۔ہم اس پورٹل پر فراہم کردہ تراجم میں کسی بھی غلطی ، کوتاہی یا ابہام کو دور کرنے کے لیے مسلسل کام کر رہے ہیں ۔
AWH Position Filled,AWH پوزیشن بھری گئی ۔
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)",ایم جی آر ایس نے بڑے پیمانے پر مختلف نسلی پس منظر اور ثقافتی ترتیبات ( برازیل ، گھانا ، ہندوستان ، ناروے ، عمان اور امریکہ ) کے تقریبا 8500 بچوں سے ابتدائی نمو کے اعداد و شمار اور متعلقہ معلومات اکٹھی کیں ۔
Ratua - I Addl.,رٹوا - I اڈیشنل
Please enter Height,براہ کرم اونچائی درج کریں ۔
Harda Gramin 2,ہردا گرامین 2
Children of different age groups are monitored on monthly basis by AWWs.,AWWs کے ذریعے مختلف عمر کے بچوں کی ماہانہ بنیادوں پر نگرانی کی جاتی ہے ۔
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.",صحت کے اشارے جیسے سٹنٹنگ ، ویسٹنگ اور کم وزن کا پھیلاؤ ڈبلیو ایچ او کے معیارات کے مطابق ماپا جاتا ہے ۔
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,باقاعدگی سے ترقی کی نگرانی بچوں کو متعلقہ اور بروقت مدد فراہم کرنے میں AWWs کی مدد کرتی ہے ۔
"Awareness for Children Stunting, Wasting to prevent malnutrition in children",بچوں میں غذائیت کی کمی کو روکنے کے لیے بچوں کو سٹنٹنگ ، ضائع کرنے کے لیے آگاہی
Create a New Ticket,ایک نیا ٹکٹ بنائیں
Please enter valid Name,براہ کرم درست نام درج کریں ۔
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.",سائٹ اور تمام ڈیٹا ، ٹیکسٹ ، ڈیزائن ، صفحات ، پرنٹ اسکرینز ، تصاویر ، آرٹ ورک ، تصاویر ، آڈیو اور ویڈیو کلپس ، ایچ ٹی ایم ایل کوڈ ، سورس کوڈ ، یا سافٹ ویئر جو سائٹ پر موجود ہیں یا دیکھنے کے قابل ہیں یا بصورت دیگر دریافت کیے جا سکتے ہیں ،اور تمام شرکاء بک کرائے گئے ہیں ۔سائٹ سے ، ( مجموعی طور پر ، مواد کے طور پر کہا جاتا ہے) خواتین اور بچوں کی ترقی کی وزارت اور ان کے مجاز خدمات فراہم کنندگان کی ملکیت ہے ۔
Jaleswar Icds Project,جلیسور آئی سی د ایس پروجیکٹ
Poshan Tracker adds new application features,پوشن ٹریکر ایپلیکیشن کی نئی خصوصیات شامل کرتا ہے ۔
Making or Updating Home Visit Planner and Initiating home visits,اور گھر کے دورے شروع کرنا گھر کا دورہمنصوبہ ساز بنانا یا اپ ڈیٹ کرنا
Uraiyur    Project-1,اورا یور پروجیکٹ 1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),پوشن کیلکولیٹر ورلڈ ہیلتھ آرگنائزیشن ( ڈبلیو ایچ او ) کے بیان کردہ معیارات کی بنیاد پر بچے کی نشوونما کی پیمائش کے لئے ڈیزائن کیا گیا ہے ۔
Asthampatti (Sal Pro 1),آستھم پٹّی ( سال پرو 1)
Migrated from one category to another,ایک زمرے سے دوسرے زمرے میں منتقل ہوئے ۔
Icds Parappa Additional,آی سی ڈ ایس پارپّا اڈیشنل
Binpur - I Adl.,بین پور - I اڈیشنل
Wasting (Weight for Height)-,ضائع کرنا ( اونچائی کا وزن ) -۔
Soreng Rural Project,سورینگ رورل پروجیکٹ
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,یہ عام طور پر اس وقت ہوتا ہےجب کسی شخص نے مناسب معیار اور مقدار کا کھانا نہیں کھایا ہوتا ہے اور / یا اسے اکثر یا طویل بیماریاں ہوتی ہیں ۔
Dinhata - I Addl,دن ہٹہ - I اڈیشنل
Mohgaon - R,موہ گاؤں رورل
"Malnutrition is one of the most important challenges facing contemporary India.Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.",معاصر ہندوستان کو درپیش سب سے اہم چیلنجوں میں سے ایک ہے ۔قومی اور عالمی مضبوط ترقیاتی اہداف کے حصول کے لئے غذائیت کو مرکزی حیثیت سے تسلیم کیا گیا ہے ۔معاشرے میں صحت اور غربت کے ناقابل تسخیر سائیکل کو توڑنے اور زندہ رہنے کے لئے خواتین اور بچوں کے لئے بہترین اور مناسب تغذیہ ضروری ہے ۔غذائیت کی بنیادی وجوہات جن کے نتیجہ میں غریب بچوں اور بڑوں کا نتیجہ امراض ہوتے ہیںوہ کثیر جہتی اور معاشی اور معاشرتی عوامل کی جڑیں ہیںجیسے خواتین کی ناخواندگی وغربت کی نچلی سطح تک ، پینے کے صاف پانی ، صفائی اور حفظان صحت ، زچگی کی خوبیوں کی عدم فراہمی ناکافی عارضہ اور بچاؤ والی صحت کی نگہداشت زچہ خانہ اور معاشرتی وسائل اور خواتین کو بااختیار بنانا ۔
Check Ticket Status,ٹکٹ کی حیثیت چیک کریں ۔
Panskura- II ICDS,پنسکورا - II آئی سی ڈی ایس
Registration of Adolescent Girl,نوعمر لڑکی کی رجسٹریشن
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",پوشن ابھیان بھارت کا ایک اہم منصوبہ ہے جو بچوں نوعمروں کے لئے غذاسے متعلق نتائج کی اصلاح کرتا ہے
Reference data not available.,حوالہ ڈیٹا دستیاب نہیں ہے ۔
Hot Cooked Meal (HCM) given in last 30 days,پچھلے 30 دنوں میں دیا گیا گرما گرم کھانا ( HCM)
English Bazar Adl,انگلش بازار اڈیشنل
This campaign will run from 08th to 14th Jan 2022.The Registration begins from 22nd Dec 2021 till 14th Jan 2022.,یہ مہم 08 سے 14 جنوری 2022 تک چلے گی ۔رجسٹریشن 22 دسمبر 2021 سے 14 جنوری 2022 تک شروع ہوتی ہے ۔
"Dhalpukhuri Icds Project, Hojai.",دھل پوکھری آئی سی ڈی ایس پروجیکٹ ، ھوجئی
a) 0-2 Years to be measured by AWW/ Agency Representativeb) 2 Years - 6 Years to be measured by AWW/Agency Representative/Self,a) 0-2 سال جیسا کہ آنگن واڑی ورکر / ایجنسی کے نمائندے کے ذریعہ ماپا جاتا ہے ۔b) 2 سال - 6 سال آنگن واڑی ورکر / ایجنسی کے نمائندے / خود کے ذریعہ ناپے جائیں گے ۔
Underweight (Weight for Age)-,کم وزن ( عمر کے لئے وزن ) -
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,پوشن ٹریکر میں آنگن واڑی خدمات کی اسکیموں کا ڈیٹا اپ لوڈ کرنا
On the Map,نقشہ پر
Prayagraj City 2,پریاگ راج سٹی 2
Poshan Tracker Process Flow,پوشن ٹریکر عملی بہاؤ
"Those children who are not identified as Healthy, will not be eligible for the certificate.A Child who is identified as Normal Child, as per WHO category considering Age, Height and Weight of the Child.A Normal Child is called as the Healthy Child",جن بچوں کی شناخت صحت مند کے طور پر نہیں ہوئی ہےوہ سرٹیفکیٹ کے اہل نہیں ہوں گے ۔ایک بچہ جس کی شناخت ڈبلیو ایچ او کے زمرے کے مطابق بچے کی عمر ، قد اور وزن کو دیکھتے ہوئے ایک عام بچے کے طور پر کی جاتی ہے ۔ایک عام بچہ صحت مند بچہ کہلاتا ہے ۔
New Khar Santacruz,نیو کھار سانتا کروز
Enter Date of Birth,تاریخ پیدائش درج کریں ۔
0 months to 5 years,0 ماہ سے 5 سال ۔
Delhi Project 1,دہلی پروجیکٹ 1
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact",پوشن ٹریکر آخری میل سے فائدہ اٹھانے والوں کے لیے خودکار الرٹس تیار کرتا ہے ۔یہ مستفید ہونے والوں اور ڈیوٹی بیئررز کی حقیقی وقت میں حاضری کی دستاویز کرکے ترسیل کے نظام کے موثر آڈٹ کو بھی یقینی بناتا ہے ۔یہ مینجمنٹ انفارمیشن سسٹم نیوٹریشن پروگرام کو مؤثر طریقے سے پیمانے میں مدد کرے گا ،اس طرح مثبت اثرات پیدا کرنے اور دستاویز کرنے میں
How can one Download Poshan Tracker App?,کوئی شخص پوشن ٹریکر اپلیکیشن کیسے ڈاون لوڈ کر سکتا ہے
Children from 0-6 years of age are eligible for this campaign.,0-6 سال کی عمر کے بچے اس مہم کے لیے اہل ہیں ۔
AWC Opening and AWW behaviour,AWC افتتاحی اور AWW سلوک
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.",ہم کسی قانونی درخواست ، عرضی ، یا دیگر قانونی عمل کے جواب میں آپ کی معلومات تک رسائی ، محفوظ اور اشتراک کر سکتے ہیں یا اگر ہمیں نیک نیتی کا یقین ہے کہ انکشاف (1) دھوکہ دہی یا غیر قانونی سرگرمیوں کی تحقیقات ، روک تھام یا کارروائی کرنے کے لیے معقول حد تک ضروری ہے ۔یا حکومت نافذ کرنے والے اداروں کی مدد کرنا ؛ (2) آپ کے ساتھ ہمارے معاہدوں کو نافذ کریں ۔(3) کسی بھی فریق ثالث کے دعووں یا الزامات کے خلاف تحقیقات اور اپنا دفاع کریں ۔(4) ہماری خدمات کی سلامتی یا سالمیت کی حفاظت کریں ( جیسے کہ ایک جیسے خطرات کا سامنا کرنے والی کمپنیوں کے ساتھ اشتراک کرکے )؛ یا (5) کسی بھی شخص کے حقوق اور حفاظت کا استعمال یا تحفظ ۔
Binpur - Ii,بین پور - II
Available in 12 different languages,12 مختلف زبانوں میں دستیاب ہے
"Clarification regarding Cost of Smart phones (03 June, 2021)","سمارٹ فونز کی قیمت کے بارے میں وضاحت (03 جون , 2021)"
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",پوشن مہم حکومت ہند کا علمبردار پروگرام ہے جو بچوں کو نو عمر کے حامل حاملہ خواتین اور دودھ پلانے والی ماؤں کے لئے غذائیت کے نتائج کو بہتر بنانے کے لئے ٹکنالوجی کو ہدف بنا کر استعمال کر سکتے ہیں ۔
"The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc.",اس اقدام کے تحت صحت اور تغذیہ سے متعلق صفائی ستھرائی شعبوں وغیرہ میں مختلف پروگراموں کے مابین ہم آہنگی پیدا کرنے پر زور دیا گیا ہے
", to ensure efficiency and effective outcomes.",تاکہ کارکردگی اور موثر نتائج کو یقینی بنایا جاسکے ۔
Observing Breastfeeding In Newborn Babies,نوزائیدہ بچوں میں دودھ پلانے کا مشاہدہ
Dzongu Tribal Project,زونگو ٹرائیبل پروجیکٹ
Gadchiroli - Maharashtra,گڈچرولی - مہاراسٹرا
New Hanuman Nagar,نیو ھنومان نگر
West Jaintia Hills,مغربی جینتیہ پہاڑیاں
BARUIPUR Addl.ICDS PROJECT,باروئی پور اڈیشنل آئی سی ڈی ایس پروجیکٹ
Raghunathganj - I Addl.,رگھوناتھ گنج - I اڈیشنل
Cooch Behar I Addl,کوچ بہار I اڈیشنل
along with status update once resolved,حل ہونے کے بعد اسٹیٹس اپ ڈیٹ کے ساتھ
Shar Slum Akbarpur,رسلم اکبرپور
Sheopur - Madhya Pradesh,شیوپور - مدھیہ پردیش
Tehatta 1 Addl,تیہٹّہ - 1 اڈیشنل
East Jaintia Hills,مشرقی جینتیہ پہاڑیاں
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.",ہم آپ کا ڈیٹا ( بشمول آپ کے مواصلات ) کو حفاظتی مقاصد کے لیے استعمال کرتے ہیں یا ممکنہ دھوکہ دہی یا ہماری سروس کی شرائط کی دیگر خلاف ورزیوں اور / یا ہمارے اراکین ، مہمانوں یا دوسروں کو نقصان پہنچانے کی کوششوں کو روکنے یا تفتیش کرنے کے لیے استعمال کرتے ہیں ۔
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",پوشن ٹریکر سسٹم کا باقاعدگی سے نظام کی حفاظت اور اسکیل ایبلٹی کے لیے MWCD کے ذریعے مصروف آڈیٹرز کے ذریعے آڈٹ کیا جاتا ہے ۔
The records may be used for such audits.,ریکارڈ کو اس طرح کے آڈٹ کے لیے استعمال کیا جا سکتا ہے ۔
Chinsurah Mogra Addl.,چنسورا موگرا ا ڈیشنل
Mohan Lal Ganj,موہن لال گنج
Mira Bhayandar Virar,میرا بھینڈر ویرار
Poshan Tracker adds new Resources on Website,پوشن ٹریکر نے ویب سائٹ کی خصوصیت پر نئے وسائل کا اضافہ کیا ہے ۔
Please Enter Valid Mobile Number,براہ کرم درست موبائل نمبر درج کریں
How many Children can be registered?,کتنے بچے رجسٹر کر سکتے ہیں
Suti II Addl,سوتی II اڈیشنل
Home Visit Alerts,ہوم وزٹ الرٹس
How to use Poshan Calculator?,پوشن کیلکولیٹر کا استعمال کیسے کریں ۔
Beneficiary record becoming inactive,فائدہ اٹھانے والوں کا ریکارڈ غیر فعال ہو رہا ہے ۔
2.4. Security and Audit.,2.4. سیکیورٹی اور آڈٹ ۔
Firozabad City 1,فیروزآباد سٹی 1
Theni - Urban,تھینی اربن
Why I did not get the Certificate?,مجھے سرٹیفکیٹ کیوں نہیں ملا ؟
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery",' پوشن ٹریکر ' ایک موبائل پر مبنی ایپلی کیشن ہےجسے خواتین اور بچوں کی ترقی کی وزارت ، حکومت ہند نے یکم مارچ 2021 کو نیشنل ای - گورننس ڈویژن ( NeGD)، مائی گورنمنٹ کے ذریعے ایک اہم گورننس ٹول کے طور پر شروع کیا ہے ۔پوشن ٹریکر کے تحت ٹکنالوجی کا استعمال بچوں میں سٹنٹنگ ، ضائع ہونے ، کم وزن کے پھیلاؤ کی متحرک شناخت اور غذائیت کی خدمات کی فراہمی کے آخری میل پر نظر رکھنے کے لیے کیا جا رہا ہے ۔
Dadra & Nagar Haveli,دادرا اور نگر حویلی
Habibpur Addl.2,حبیب پور اڈیشنل 2
Icds Tirur Addl,آی سی ڈی ایس تیور اڈیشنل
I am unable to  install  ‘Poshan Tracker’ android app,میں ' نیوٹریشن ٹریکر ' اینڈرائیڈ ایپ انسٹال کرنے سے قاصر ہوں ۔
Raipur-  Karchulian-2,رائے پور کرچھولیاں 2
The System also takes feedback about system performance and experience.,سسٹم سسٹم کی کارکردگی اور تجربے کے بارے میں بھی رائے لیتا ہے ۔
"Information on name, mobile number, date of registration and health status may be used for these purposes",نام ، موبائل نمبر ، رجسٹریشن کی تاریخ اور صحت کی حیثیت سے متعلق معلومات ان مقاصد کے لیے استعمال کی جا سکتی ہیں ۔
Medchal - Malkajigiri,میڈچل ۔
Poshan Tracker App,پوشن ٹریکر ایپ
Aspirational Districts Program,خواہش مند اضلاع پروگرام
Kultali Addl.ICDS Project,کلتالی اڈیشنل آئی سی ڈی ایس پروجیکٹ
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.You may, however, choose not to share personal data where providing the data is optional.",ہم وہ مواد اور دیگر معلومات جمع کرتے ہیں جو آپ فراہم کرتے ہیںجب آپ ہماری سروسز استعمال کرتے ہیں ،بشمول جب آپ کسی اکاؤنٹ کے لیے سائن اپ کرتے ہیں ۔اس میں شامل ہوسکتا ہے- ( i) نام ( ii) موبائل نمبر ( iii) تاریخ پیدائش ( iv) جنس ( v) بچے کا نام ( vi) آدھار نمبر ( vii) پتہاگر آپ ڈیٹا فراہم نہ کرنے کا انتخاب کرتے ہیں جو آپ کو پروڈکٹ یا فیچر فراہم کرنے کے لیے درکار ہے ،تو آپ اس پروڈکٹ یا فیچر کو استعمال نہیں کر سکتے ۔تاہم ، آپ ذاتی ڈیٹا کا اشتراک نہ کرنے کا انتخاب کر سکتے ہیںجہاں ڈیٹا فراہم کرنا اختیاری ہو ۔
Tracking of services to the end beneficiary at a click of a button.,ایک بٹن کے ایک کلک پر آخری فائدہ اٹھانے والے تک خدمات کا سراغ لگانا ۔
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women",ٹیک ہوم راشن ( THR) اور گرم پکا ہوا کھانا ( HCM)، شیر خوار بچوں اور حاملہ خواتین کے لیے ویکسینیشن جیسی خدمات
Enter Weight in kilogram,کلوگرام میں وزن درج کریں ۔
Garbeta - I Adl.,گار بیٹا - I اڈیشنل
Lakhimpur Kheri City,لکھیم پور کھیری سٹی
"New Poshan Tracker App (13 January, 2021)",جدید پوشن ٹریئکر اپلی کیشن :(13 جنوری 2021)
Preventing illnesses to avert Malnutrition and Death,غذائی قلت اور موت سے بچنے کے لیے بیماریوں سے بچاؤ
Ketugram - II,کیٹو گرام - II
Jamuria - II,جموریا - II
Pachim Mangaldai Icds Project,پاچم منگلدئی آئی سی ڈی ایس پروجیکٹ
Chandrakona - I,چندرا کونا - I
N & M Andaman,این اینڈ ایم اند مان
Scan the QR Code to Download the App,ایپ ڈاؤن لوڈ کرنے کے لیے کیو آر کوڈ اسکین کریں ۔
North 24 Parganas,شمالی 24 پرگنا
UJJAIN - U,اجّین اربن
Try to reset your MPIN.,اپنا MPIN دوبارہ ترتیب دینے کی کوشش کریں ۔
Make sure you are registered with this mobile no.,یقینی بنائیں کہ آپ اس موبائل نمبر کے ساتھ رجسٹرڈ ہیں ۔
Pregnant women who received Take Home Ration (THR),حاملہ خواتین جنہوں نے ٹیک ہوم راشن ( THR) حاصل کیا
Icds Kasrgod Addl,آئی سی ڈی ایس کاسر گوڈ ڈیشنل
Please enter valid Height,براہ کرم درست اونچائی درج کریں ۔
How one can add AWW/AWCs?,AWW/ AWCs کوئی کس طرح شامل ہوسکتا ہے
How to Add a Child for the first time?,پہلی بار بچے کو کیسے شامل کریں ؟
Khatra - I,کھٹرا - I
West Khasi Hills,مغربی کھاسی پہاڑیاں
Growth Monitoring Assessment Charts,گروتھ مانیٹرنگ اسسمنٹ چارٹس
Memari - I,میماری - I
Raiganj (R) Addl.,رائے گنج رورل اڈیشنل
Assessment of growth in children,بچوں میں نشوونما کا اندازہ
South West Khasi Hills,جنوب مغربی کھاسی پہاڑیاں
Request for Take Home Ration,گھر لے جانے والے راشن کی درخواست
CANNING II MAIN,کیننگ - II مین
Siliguri (U) ICDS PROJECT,سلّی گوڑی ( و ) آئی سی ڈی ایس پروجیکٹ
General Awareness on SAM and MAM,SAM اور MAM پر عمومی آگاہی
Your android app version should be above version 6.0.,آپ کے Android ایپ کا ورژن 6.0 سے اوپر ہونا چاہیے ۔
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.",جی نہیں ، پوشن ٹریکر اپلی کیشن بغیر انٹرنیٹ رابطے کے فعال نہیں ہوگا ۔
