eng,kn
"The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","ಅಂಗನವಾಡಿ ಕೇಂದ್ರಗಳ (AWC), ಅಂಗನವಾಡಿ ಕಾರ್ಯಕರ್ತೆಯರ(AWW) ಸೇವಾ ವಿತರಣೆ ಮತ್ತು ಗರ್ಭಿಣಿಯರು, ಬಾಣಂತಿಯರು ಮತ್ತು ಮಕ್ಕಳ ಸಂಪೂರ್ಣ ಫಲಾನುಭವಿ ನಿರ್ವಹಣೆಯ 360-ಡಿಗ್ರಿ ವೀಕ್ಷಣೆಯನ್ನು ಒದಗಿಸುವ ಗುರಿಯನ್ನು ಇದು ಹೊಂದಿದೆ."
The public dashboard helps to impart transparency on services delivered to beneficiaries,ಸಾರ್ವಜನಿಕ ಡ್ಯಾಶ್ಬೋರ್ಡ್ ಫಲಾನುಭವಿಗಳಿಗೆ ನೀಡುವ ಸೇವೆಗಳಲ್ಲಿ ಪಾರದರ್ಶಕತೆಯನ್ನು ಒದಗಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ಪೋರ್ಟಲ್ ಮತ್ತು ಚಾಬೊಟ್ ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಥರ್ಡ್ ಪಾರ್ಟಿ ಅನುವಾದಕರು ಅನುವಾದಿಸಿದ್ದಾರೆ.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","ಅನುವಾದಗಳನ್ನು ಅತ್ಯುತ್ತಮ ಪ್ರಯತ್ನದ ಆಧಾರದ ಮೇಲೆ ಮಾಡಲಾಗಿದ್ದರೂ, ಕೆಲವು ಭಾಗಗಳು ತಪ್ಪಾಗಿರಬಹುದು."
Certain files and other items on the website cannot be translated.,ವೆಬ್ಸೈಟ್ನಲ್ಲಿರುವ ಕೆಲವು ಫೈಲ್ಗಳು ಮತ್ತು ಇತರ ಐಟಂಗಳನ್ನು ಅನುವಾದಿಸಲಾಗುವುದಿಲ್ಲ.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","ಹೆಚ್ಚುವರಿಯಾಗಿ, ಅನುವಾದದ ನಂತರ, ಭಾಷೆಯ ನಿರ್ಬಂಧಗಳ ಕಾರಣದಿಂದಾಗಿ ಕೆಲವು ಅಪ್ಲಿಕೇಶನ್ಗಳು ಮತ್ತು/ಅಥವಾ ಸೇವೆಗಳು ನಿರೀಕ್ಷೆಯಂತೆ ಕಾರ್ಯನಿರ್ವಹಿಸುವುದಿಲ್ಲ."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","ಈ ಪೋರ್ಟಲ್ನಲ್ಲಿ ಒದಗಿಸಲಾದ ಅನುವಾದಗಳಲ್ಲಿನ ಯಾವುದೇ ದೋಷಗಳು, ಲೋಪಗಳು ಅಥವಾ ಅಸ್ಪಷ್ಟತೆಗಳನ್ನು ಸರಿಪಡಿಸಲು ನಾವು ನಿರಂತರವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿದ್ದೇವೆ."
AWH Position Filled,AWH ಹುದ್ದೆ ಭರ್ತಿಯಾಗಿದೆ
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ವಿವಿಧ ಜನಾಂಗೀಯ ಹಿನ್ನೆಲೆಗಳು ಮತ್ತು ಸಾಂಸ್ಕೃತಿಕ ಸೆಟ್ಟಿಂಗ್ಗಳಿಂದ (ಬ್ರೆಜಿಲ್, ಘಾನಾ, ಭಾರತ, ನಾರ್ವೆ, ಓಮನ್ ಮತ್ತು USA) ಸುಮಾರು 8500 ಮಕ್ಕಳಿಂದ ಪ್ರಾಥಮಿಕ ಬೆಳವಣಿಗೆಯ ಡೇಟಾ ಮತ್ತು ಸಂಬಂಧಿತ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸಿದೆ"
Ratua - I Addl.,ರಟುವಾ - I ಹೆಚ್ಚುವರಿ
Please enter Height,ದಯವಿಟ್ಟು ಎತ್ತರವನ್ನು ನಮೂದಿಸಿ
Harda Gramin 2,ಹರ್ದಾ ಗ್ರಾಮೀಣ 2
Children of different age groups are monitored on monthly basis by AWWs.,ವಿವಿಧ ವಯೋಮಾನದ ಮಕ್ಕಳನ್ನು AWW ಮಾಸಿಕವಾಗಿ ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡುತ್ತಾರೆ.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","ಕುಂಠಿತವಾಗುವಿಕೆ, ಕ್ಷೀಣಿಸುವಿಕೆ ಮತ್ತು ಕಡಿಮೆ ತೂಕದಂತಹ ಆರೋಗ್ಯ ಸೂಚಕಗಳನ್ನು WHO ಮಾನದಂಡಗಳ ಪ್ರಕಾರ ಅಳೆಯಲಾಗುತ್ತದೆ."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,"ನಿಯಮಿತ ಬೆಳವಣಿಗೆಯ ಮೇಲ್ವಿಚಾರಣೆಯು AWW, ಮಕ್ಕಳಿಗೆ ಸೂಕ್ತ ಮತ್ತು ಸಮಯೋಚಿತ ಸಹಾಯವನ್ನು ಒದಗಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ"
"Awareness for Children Stunting, Wasting to prevent malnutrition in children",ಮಕ್ಕಳಲ್ಲಿನ ಅಪೌಷ್ಟಿಕತೆ ತಡೆಗಟ್ಟಲು ಕುಂಠಿತ ಸ್ಥಿತಿಯ ಬಗ್ಗೆ ಜಾಗೃತಿ
Create a New Ticket,ಹೊಸ ಟಿಕೆಟ್ ರಚಿಸಿ
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","ಸೈಟ್ ಮತ್ತು ಎಲ್ಲಾ ಡೇಟಾ, ಪಠ್ಯ, ವಿನ್ಯಾಸಗಳು, ಪುಟಗಳು, ಮುದ್ರಣ ಪರದೆಗಳು, ಚಿತ್ರಗಳು, ಕಲಾಕೃತಿಗಳು, ಛಾಯಾಚಿತ್ರಗಳು, ಆಡಿಯೊ ಮತ್ತು ವೀಡಿಯೊ ಕ್ಲಿಪ್ಗಳು, HTML ಕೋಡ್, ಮೂಲ ಕೋಡ್, ಅಥವಾ ಸೈಟ್ನಲ್ಲಿ ಇರುವ ಅಥವಾ ವೀಕ್ಷಿಸಬಹುದಾದ ಅಥವಾ ಹುಡುಕಬಹುದಾದ ಸಾಫ್ಟ್ವೇರ್, ಮತ್ತು ಸೈಟ್ ಮೂಲಕ ಬುಕ್ ಮಾಡಲಾದ ಎಲ್ಲಾ ಭಾಗಿದಾರರು (ಒಟ್ಟಾರೆಯಾಗಿ, ""ಪರಿವಿಡಿ"" ಎಂದು ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ) ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯ ಮತ್ತು ಅವರ ಅಧಿಕೃತ ಸೇವಾ ಪೂರೈಕೆದಾರರ ಒಡೆತನದಲ್ಲಿದೆ."
Jaleswar Icds Project,ಜಲೇಶ್ವರ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
Poshan Tracker adds new application features,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಹೊಸ ಅಪ್ಲಿಕೇಶನ್ ವೈಶಿಷ್ಟ್ಯಗಳನ್ನು ಸೇರಿಸುತ್ತದೆ
Making or Updating Home Visit Planner and Initiating home visits,ಮನೆ ಭೇಟಿ ಯೋಜಕವನ್ನು ರಚಿಸಸುವುದು ಅಥವಾ ನವೀಕರಿಸುವುದು ಮತ್ತು ಮನೆ ಭೇಟಿಯನ್ನು ಪ್ರಾರಂಭಿಸುವುದು
Uraiyur    Project-1,ಉರೈಯೂರ್ ಯೋಜನೆ-1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ಪೋಷನ್ ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಅನ್ನು ವಿಶ್ವ ಆರೋಗ್ಯ(WHO) ಸಂಸ್ಥೆ ನಿಗದಿಪಡಿಸಿದ ಮಾನದಂಡದ ಪ್ರಕಾರ ಮಗುವಿನ ಬೆಳವಣಿಗೆಯನ್ನು ಅಳೆಯಲು ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ
Asthampatti (Sal Pro 1),ಅಸ್ತಂಪಟ್ಟಿ (ಸಾಲ್ ಪ್ರೊ 1)
Migrated from one category to another,ಒಂದು ವರ್ಗದಿಂದ ಇನ್ನೊಂದು ವರ್ಗಕ್ಕೆ ವಲಸೆ ಹೋಗಿದ್ದಾರೆ
Icds Parappa Additional,ಐಸಿಡಿಎಸ್ ಪರಪ್ಪ ಹೆಚ್ಚುವರಿ
Binpur - I Adl.,ಬಿನ್ಪುರ್ - I ಹೆಚ್ಚುವರಿ
Wasting (Weight for Height)-,ವೆಸ್ಟಿಂಗ್ (ಎತ್ತರಕ್ಕೆ ತಕ್ಕಂತೆ  ತೂಕ)-
Soreng Rural Project,ಸೊರೆಂಗ್ ಗ್ರಾಮೀಣ ಯೋಜನೆ
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ಒಬ್ಬ ವ್ಯಕ್ತಿಯು ಸಾಕಷ್ಟು ಗುಣಮಟ್ಟದ ಮತ್ತು ಪ್ರಮಾಣದ ಆಹಾರವನ್ನು ಸೇವಿಸದಿದ್ದಾಗ ಮತ್ತು/ಅಥವಾ ಅವರು ಮರುಕಳಿಸುವ ಅಥವಾ ದೀರ್ಘಕಾಲದ ಅನಾರೋಗ್ಯವನ್ನು ಹೊಂದಿರುವಾಗ ಇದು ಸಾಮಾನ್ಯವಾಗಿ ಸಂಭವಿಸುತ್ತದೆ
Dinhata - I Addl,ದಿನ್ಹಾಟಾ - I ಹೆಚ್ಚುವರಿ
Mohgaon - R,ಮೊಹಗಾಂವ್ - ಆರ್
Malnutrition is one of the most important challenges facing contemporary India.,ಸಮಕಾಲೀನ ಭಾರತ ಎದುರಿಸುತ್ತಿರುವ ಪ್ರಮುಖ ಸವಾಲುಗಳಲ್ಲಿ ಅಪೌಷ್ಟಿಕತೆ ಒಂದು.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,ಪೌಷ್ಠಿಕಾಂಶವನ್ನು ರಾಷ್ಟ್ರೀಯ ಮತ್ತು ಜಾಗತಿಕ ಸುಸ್ಥಿರ ಅಭಿವೃದ್ಧಿ ಗುರಿಗಳ ಸಾಧನೆಗೆ ಕೇಂದ್ರವೆಂದು ಒಪ್ಪಿಕೊಳ್ಳಲಾಗಿದೆ.
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.","ಸಮುದಾಯದಲ್ಲಿ ಕಳಪೆ ಆರೋಗ್ಯ ಮತ್ತು ಬಡತನದ ಅಂತರಜನಾಂಗೀಯ ಚಕ್ರವನ್ನು ಬದುಕಲು, ಅಭಿವೃದ್ಧಿ ಹೊಂದಲು ಮತ್ತು ಮುರಿಯಲು ಮಹಿಳೆಯರು ಮತ್ತು ಮಕ್ಕಳು ಅತ್ಯುತ್ತಮ ಮತ್ತು ಸೂಕ್ತವಾದ ಪೋಷಣೆ ಅಗತ್ಯ."
"The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.","ಅಪೌಷ್ಟಿಕತೆಯ ಮೂಲ ಕಾರಣಗಳು ಕಡಿಮೆಗೊಳಿಸಿದ ಮಕ್ಕಳು ಮತ್ತು ವಯಸ್ಕರಿಗೆ ಕಾರಣವಾಗುತ್ತವೆ, ಆರ್ಥಿಕ ಮತ್ತು ಸಾಮಾಜಿಕ ಅಂಶಗಳಾದ ಬಡತನ, ಕಡಿಮೆ ಮಟ್ಟದ ಸ್ತ್ರೀ ಸಾಕ್ಷರತೆ, ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಪ್ರವೇಶದ ಕೊರತೆ, ನೈರ್ಮಲ್ಯ ಮತ್ತು ನೈರ್ಮಲ್ಯ, ತಾಯಿಯ ಗುಣಲಕ್ಷಣಗಳು, ಅಸಮರ್ಪಕ ರೋಗನಿರೋಧಕ ಮತ್ತು ತಡೆಗಟ್ಟುವ ಆರೋಗ್ಯ ರಕ್ಷಣೆ, ತಾಯಿಯ, ಮನೆಯ ಮತ್ತು ಸಮುದಾಯ ಸಂಪನ್ಮೂಲಗಳು ಮತ್ತು ಮಹಿಳಾ ಸಬಲೀಕರಣ."
Check Ticket Status,ಟಿಕೆಟ್ ಸ್ಥಿತಿಯನ್ನು ಪರಿಶೀಲಿಸಿ
Panskura- II ICDS,ಪಂಸ್ಕುರಾ- II ಐಸಿಡಿಎಸ್
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ಪೋಷಣ್ ಅಭ್ಯಾನ್ ಭಾರತದಲ್ಲಿ, ಮಕ್ಕಳ, ಹದಿಹರೆಯದವರ, ಗರ್ಭ್ಹಿಣಿಯರ ಹಾಗೂ ಹಾಲುಣಿಸುವ ತಾಯಂದಿರ ಪೋಷಣೆಯ ಫಲಿತಾಂಶವನ್ನು ಸುಧಾರಿಸಲು, ತಾಂತ್ರಿಕವಾಗಿ, ಒಂದು ಉದ್ದೇಶಿತ ವಿಧಾನ ಹಾಗೂ ಒಮ್ಮುಖದಿಂದ ಪ್ರಾರಂಭಿಸಿದ ಒಂದು ಪ್ರಮುಖ ಕಾರ್ಯಕ್ರಮ."
Reference data not available.,ಉಲ್ಲೇಖ ಡೇಟಾ ಲಭ್ಯವಿರುವುದಿಲ್ಲ.
Hot Cooked Meal (HCM) given in last 30 days,ಕಳೆದ ೩೦ ದಿನಗಳಲ್ಲಿ ಕೊಟ್ಟ ಬೇಯಿಸಿದ ಬಿಸಿಯೂಟ(ಎಚ್. ಸಿ. ಎಮ್)
English Bazar Adl,ಇಂಗ್ಲೀಷ್ ಬಜಾರ್ ಹೆಚ್ಚುವರಿ
"Dhalpukhuri Icds Project, Hojai.","ಧಲ್ಪುಖುರಿ Icds ಯೋಜನೆ, ಹೊಜೈ."
Underweight (Weight for Age)-,ಕಡಿಮೆ ತೂಕ (ವಯಸ್ಸಿಗೆ ತಕ್ಕಂತೆ  ತೂಕ) -
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ನಲ್ಲಿ ಅಂಗನವಾಡಿ ಸೇವಾ ಯೋಜನೆಗಳ ಡೇಟಾವನ್ನು ಅಪ್ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ
On the Map,ನಕ್ಷೆ ಮೇಲೆ
Prayagraj City 2,ಪ್ರಯಾಗರಾಜ್ ನಗರ 2
Poshan Tracker Process Flow,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಪ್ರಕ್ರಿಯೆಯ ಹರಿವು
New Khar Santacruz,ಹೊಸ ಖಾರ್ ಸಾಂತಾಕ್ರೂಜ್
Enter Date of Birth,ಹುಟ್ಟಿದ ದಿನಾಂಕವನ್ನು ಆಯ್ಕೆ ಮಾಡಿ ನಮೂದಿಸಿ
0 months to 5 years,0 ತಿಂಗಳಿಂದ 5 ವರ್ಷಗಳವರೆಗೆ
Delhi Project 1,ದೆಹಲಿ ಯೋಜನೆ 1
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಆ್ಯಪ್   ಫಲಾನುಭವಿಗಳಿಗೆ ಸ್ವಯಂಚಾಲಿತ ಸೂಚನೆಗಳನ್ನು ನೀಡುತ್ತದೆ.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,ಇದು ಫಲಾನುಭವಿಗಳು ಮತ್ತು ಕರ್ತವ್ಯ ಹೊಂದಿರುವವರ ನೈಜ ಸಮಯದ ಹಾಜರಾತಿಯನ್ನು ದಾಖಲಿಸುವ ಮೂಲಕ ವಿತರಣಾ ವ್ಯವಸ್ಥೆಯ ಸಮರ್ಥ ಲೆಕ್ಕಪರಿಶೋಧನೆಯನ್ನು ಖಚಿತಪಡಿಸುತ್ತದೆ.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","ಈ ನಿರ್ವಹಣಾ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆಯು ಪೌಷ್ಠಿಕಾಂಶ ಕಾರ್ಯಕ್ರಮವನ್ನು ಪರಿಣಾಮಕಾರಿಯಾಗಿ ಅಳೆಯುವಲ್ಲಿ ಸಹಾಯ ಮಾಡುತ್ತದೆ, ಇದರಿಂದ ಧನಾತ್ಮಕ ಪರಿಣಾಮವನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ ಮತ್ತು ದಾಖಲಿಸುತ್ತದೆ"
How can one Download Poshan Tracker App?,ಪೋಷಣ್ ತ್ರ್ಯಾಕರ್ ಆಪ್ಪನ್ನು ಹೇಗೆ ಡೌನ್ಲೋಡ್ ಮಾಡಬಹುದು?
AWC Opening and AWW behaviour,AWC ಉದ್ಘಾಟನೆ ಹಾಗೂ AWW ವರ್ತನೆ
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","ಕಾನೂನು ವಿನಂತಿ, ಸಬ್ಪೋನಾ ಅಥವಾ ಇತರ ಕಾನೂನು ಪ್ರಕ್ರಿಯೆಗೆ ಪ್ರತಿಕ್ರಿಯೆಯಾಗಿ ಅಥವಾ (1) ವಂಚನೆ ಅಥವಾ ಕಾನೂನುಬಾಹಿರ ಚಟುವಟಿಕೆಗಳಿಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ತನಿಖೆ ಮಾಡಲು ಅಥವಾ ಸರ್ಕಾರಿ ಜಾರಿ ಸಂಸ್ಥೆಗಳಿಗೆ ಸಹಾಯ ಮಾಡಲು; (2) ನಿಮ್ಮೊಂದಿಗೆ ನಮ್ಮ ಒಪ್ಪಂದಗಳನ್ನು ಜಾರಿಗೊಳಿಸಲು; (3) ಯಾವುದೇ ಮೂರನೇ ವ್ಯಕ್ತಿಯ ಹಕ್ಕುಗಳು ಅಥವಾ ಆರೋಪಗಳನ್ನು ತನಿಖೆ ಮಾಡಲು ಮತ್ತು ನಮ್ಮನ್ನು ನಾವು ರಕ್ಷಿಸಿಕೊಳ್ಳಲು; (4) ನಮ್ಮ ಸೇವೆಗಳ ಭದ್ರತೆ ಅಥವಾ ಸಮಗ್ರತೆಯನ್ನು ರಕ್ಷಿಸಿಕೊಳ್ಳಲು (ಉದಾಹರಣೆಗೆ ಇದೇ ರೀತಿಯ ಬೆದರಿಕೆಗಳನ್ನು ಎದುರಿಸುತ್ತಿರುವ ಕಂಪನಿಗಳೊಂದಿಗೆ ಹಂಚಿಕೊಳ್ಳುವುದು); ಅಥವಾ (5) ಯಾವುದೇ ವ್ಯಕ್ತಿಯ ಹಕ್ಕುಗಳು ಮತ್ತು ಸುರಕ್ಷತೆಯನ್ನು ಚಲಾಯಿಸಲು ಅಥವಾ ರಕ್ಷಿಸಲು ನಾವು ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ಪಡೆಯಬಹುದು, ಸಂರಕ್ಷಿಸಬಹುದು ಮತ್ತು ಹಂಚಿಕೊಳ್ಳಬಹುದು."
Binpur - Ii,ಬಿನ್ಪುರ್ - Ii
Available in 12 different languages,೧೨ ವಿವಿಧ ಭಾಷೆಗಳಲ್ಲಿ ಲಭ್ಯವಿದೆ
"Clarification regarding Cost of Smart phones (03 June, 2021)","ಸ್ಮಾರ್ಟ್ ಫೋನ್ ಬೆಲೆಯ ಕುರಿತು ಸ್ಲಷ್ಟೀಕರಣ (೦೩ ಜೂನ್, ೨೦೨೧)"
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc., to ensure efficiency and effective outcomes.","ಮಕ್ಕಳು, ಹದಿಹರೆಯದವರು, ಗರ್ಭಿಣಿಯರು ಮತ್ತು ಹಾಲುಣಿಸುವ ತಾಯಂದಿರಿಗೆ ತಂತ್ರಜ್ಞಾನ, ಉದ್ದೇಶಿತ ವಿಧಾನ ಮತ್ತು ಒಮ್ಮುಖದ ಮೂಲಕ ಪೌಷ್ಠಿಕಾಂಶದ ಫಲಿತಾಂಶಗಳನ್ನು ಸುಧಾರಿಸುವ ಪೋಶನ್ ಅಭಿಯಾನ್ ಭಾರತ ಸರ್ಕಾರದ ಪ್ರಮುಖ ಕಾರ್ಯಕ್ರಮವಾಗಿದೆ.ಆರೋಗ್ಯ, ಪೋಷಣೆ, ನೈರ್ಮಲ್ಯ ಕ್ಷೇತ್ರಗಳು ಇತ್ಯಾದಿಗಳಲ್ಲಿನ ವಿವಿಧ ಕಾರ್ಯಕ್ರಮಗಳ ನಡುವೆ ಸಿನರ್ಜಿ ಸೃಷ್ಟಿಸಲು ಈ ಉಪಕ್ರಮವು ಮಹತ್ವ ನೀಡುತ್ತದೆ, ದಕ್ಷತೆ ಮತ್ತು ಪರಿಣಾಮಕಾರಿ ಫಲಿತಾಂಶಗಳನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಲು."
Observing Breastfeeding In Newborn Babies,ನವಜಾತ ಶಿಶುಗಳಲ್ಲಿ ಸ್ತನ್ಯಾಪಾನವನ್ನು ಗಮನಿಸುವುದು
Dzongu Tribal Project,ಜೊಂಗು ಬುಡಕಟ್ಟು ಯೋಜನೆ
Gadchiroli - Maharashtra,ಗಡ್ಚಿರೋಲಿ - ಮಹಾರಾಷ್ಟ್ರ
New Hanuman Nagar,ಹೊಸ ಹನುಮಾನ್ ನಗರ
West Jaintia Hills,ಪಶ್ಚಿಮ ಜೈನ್ತಿಯಾ ಹಿಲ್ಸ್
BARUIPUR Addl.ICDS PROJECT,ಬರುಯಿಪುರ ಹೆಚ್ಚುವರಿ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
Raghunathganj - I Addl.,ರಘುನಾಥಗಂಜ್ - I ಹೆಚ್ಚುವರಿ.
Cooch Behar I Addl,ಕೋಚ್ ಬಿಹಾರ್ I ಹೆಚ್ಚುವರಿ
along with status update once resolved,ಒಮ್ಮೆ ಪರಿಹರಿಸಿದ ಸ್ಥಿತಿಯ ನವೀಕರಣದೊಂದಿಗೆ
Shar Slum Akbarpur,ಶಾರ್ ಸ್ಲಂ ಅಕ್ಬರ್ಪುರ
Sheopur - Madhya Pradesh,ಶಿಯೋಪುರ್ - ಮಧ್ಯಪ್ರದೇಶ
Tehatta 1 Addl,ತೆಹಟ್ಟಾ 1 ಹೆಚ್ಚುವರಿ
East Jaintia Hills,ಪೂರ್ವ ಜೈನ್ತಿಯಾ ಹಿಲ್ಸ್
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","ಭದ್ರತಾ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಅಥವಾ ಸಂಭಾವ್ಯ ವಂಚನೆ ಅಥವಾ ನಮ್ಮ ಸೇವಾ ನಿಯಮಗಳ ಇತರ ಉಲ್ಲಂಘನೆಗಳನ್ನು ಮತ್ತು/ಅಥವಾ ನಮ್ಮ ಸದಸ್ಯರು, ಸಂದರ್ಶಕರು ಅಥವಾ ಇತರರಿಗೆ ಹಾನಿಯನ್ನು ತಡೆಯುವ ಅಥವಾ ತನಿಖೆ ಮಾಡುವ ಪ್ರಯತ್ನಗಳಿಗಾಗಿ ನಾವು ನಿಮ್ಮ ಡೇಟಾವನ್ನು (ನಿಮ್ಮ ಸಂವಹನಗಳನ್ನು ಒಳಗೊಂಡಂತೆ) ಬಳಸುತ್ತೇವೆ."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.","ಪೋಷನ್ ಟ್ರಾಕರ್ ಸಿಸ್ಟಮ್ ಅನ್ನು, ಸಿಸ್ಟಮ್ ನ ಸುರಕ್ಷತೆ ಮತ್ತು ಸ್ಕೇಲೇಬಿಲಿಟಿಗಾಗಿ ಎಂಡಬ್ಲ್ಯೂ ಸಿಡಿ ಇಂದ ತೊಡಗಿಸಲ್ಪಟ್ಟ ಆಡಿಟರ್ ಗಳಿಂದ ನಿಯಮಿತವಾಗಿ ಆಡಿಟ್ ಮಾಡಲಾಗುತ್ತದೆ."
The records may be used for such audits.,ದಾಖಲೆಗಳನ್ನು ಅಂತಹ ಆಡಿಟ್ ಗಳಿಗೆ ಬಳಸಬಹುದು.
Chinsurah Mogra Addl.,ಚಿನ್ಸೂರಾ ಮೊಗ್ರಾ ಹೆಚ್ಚುವರಿ
Mohan Lal Ganj,ಮೋಹನ್ ಲಾಲ್ ಗಂಜ್
Mira Bhayandar Virar,ಮೀರಾ ಭಯಂದರ್ ವಿರಾರ್
Poshan Tracker adds new Resources on Website,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ವೆಬ್ಸೈಟ್ ವೈಶಿಷ್ಟ್ಯದಲ್ಲಿ ಹೊಸ ಸಂಪನ್ಮೂಲಗಳನ್ನು ಸೇರಿಸುತ್ತದೆ
Please Enter Valid Mobile Number,ದಯವಿಟ್ಟು ಸೂಕ್ತವಾದ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ
Suti II Addl,ಸುತಿ II ಹೆಚ್ಚುವರಿ
Home Visit Alerts,ಮನೆ ಭೇಟಿ ಸೂಚನೆಗಳು
How to use Poshan Calculator?,ಪೋಷನ್ ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಅನ್ನು ಹೇಗೆ ಬಳಸುವುದು?
Beneficiary record becoming inactive,ಫಲಾನುಭವಿ ದಾಖಲೆ ನಿಷ್ಕ್ರಿಯವಾಗುತ್ತಿದೆ
2.4. Security and Audit.,2.4. ಸುರಕ್ಷತೆ ಮತ್ತು ಆಡಿಟ್.
Firozabad City 1,ಫಿರೋಜಾಬಾದ್ ನಗರ 1
Theni - Urban,ತೇಣಿ - ನಗರ
