eng,ne
Certain files and other items on the website cannot be translated.,वेबसाइटमा रहेका निश्चित फाइलहरू र अन्य वस्तुहरू अनुवाद गर्न सकिँदैन।
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","थप रूपमा, अनुवादमा, केही अनुप्रयोगहरू र/वा सेवाहरूले भाषा अवरोधहरूको कारणले अपेक्षित रूपमा काम नगर्न सक्छन्।"
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","हामी यस पोर्टलमा प्रदान गरिएका अनुवादहरूमा कुनै त्रुटि, भूल वा अस्पष्टताहरू सुधार गर्न निरन्तर काम गरिरहेका छौं।"
AWH Position Filled,एडब्ल्यूएच पद भरियो
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","एमजीआरएस ले व्यापक रूपमा विभिन्न जातीय पृष्ठभूमि र सांस्कृतिक सेटिङहरू (ब्राजिल, घाना, भारत, नर्वे, ओमान र यूएसए) बाट लगभग 8500 बालबालिकाहरूबाट प्राथमिक वृद्धि डेटा र सम्बन्धित जानकारी सङ्कलन गरेको छ।"
Ratua - I Addl.,रतुआ - I अतिरिक्त
Please enter Height,कृपया उचाइ प्रविष्ट गर्नुहोस्
Harda Gramin 2,हरदा ग्रामीण 2
Children of different age groups are monitored on monthly basis by AWWs.,विभिन्न उमेर समूहका बालबालिकालाई एडब्ल्यूडब्ल्यूहरु द्वारा मासिक रूपमा अनुगमन गरिन्छ।
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","डब्लुएचओको मापदण्ड अनुसार स्वास्थ्य परिसूचकहरू जस्तै स्टन्टिङ, बर्बादी र कम तौलको प्रचलन मापन गरिन्छ।"
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,नियमित वृद्धि अनुगमनले एडब्ल्यूडब्ल्यूहरु लाई बच्चाहरूलाई सान्दर्भिक र समयमै सहायता प्रदान गर्न मद्दत गर्छ
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","बच्चाहरूमा कुपोषण रोक्न को लागी अविकसित बच्चाहरू, बर्बादका लागी जागरूकता"
Create a New Ticket,नयाँ टिकट सिर्जना गर्नुहोस्
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","साइट र सबै डेटा, पाठ, डिजाइन, पृष्ठहरू, प्रिन्ट स्क्रिनहरू, छविहरू, कलाकृतिहरू, तस्विरहरू, अडियो र भिडियो क्लिपहरू, एचटीएमएल कोड, स्रोत कोड, वा सफ्टवेयर जुन साइटमा अवस्थित वा हेर्न सकिने वा अन्यथा पत्ता लगाउन सकिन्छ, र सबै सहभागीहरू साइट बाट बुक गरिएका छन्, (सामूहिक रूपमा, ""सामग्री"" भनिन्छ) महिला र बाल विकास मन्त्रालय र तिनीहरूका अधिकृत सेवा प्रदायकहरूको स्वामित्वमा छन्।"
Jaleswar Icds Project,जलेश्वर आईसीडीएस परियोजना
Poshan Tracker adds new application features,पोशन ट्र्याकर (Poshan Tracker) ले नयाँ अनुप्रयोग सुविधाहरू थप्छ
Making or Updating Home Visit Planner and Initiating home visits,गृह भ्रमण योजनाकार बनाउने वा अद्यावधिक गर्ने र गृह भ्रमणहरू सुरु गर्ने
Uraiyur    Project-1,उरैयुर परियोजना-1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),पोशन क्याल्कुलेटर विश्व स्वास्थ्य संगठन (डब्ल्यूएचओ) द्वारा व्याख्या मापदण्ड आधारित बच्चाको वृद्धि मापन गर्न डिजाइन हो।
Asthampatti (Sal Pro 1),अस्थमपट्टी (साल प्रो 1)
Migrated from one category to another,एक श्रेणीबाट अर्को श्रेणीमा सरेको छ
Icds Parappa Additional,आईसीडीएस परप्पा अतिरिक्त
Binpur - I Adl.,बिनपुर - I एडीएल.
Wasting (Weight for Height)-,बर्बाद (उचाइको लागि वजन) -
Soreng Rural Project,सोरेङ ग्रामीण परियोजना
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,यो सामान्यतया तब हुन्छ जब एउटा व्यक्तिले पर्याप्त गुणस्तर र मात्राको खाना खाएको छैन र/वा उसलाई बारम्बार वा लामो समयसम्म रोग लागेको छ।
Dinhata - I Addl,दिनहाटा - I अतिरिक्त
Mohgaon - R,मोहगाउँ - आर
Malnutrition is one of the most important challenges facing contemporary India.,कुपोषण समकालीन भारतले सामना गर्ने सबैभन्दा महत्त्वपूर्ण चुनौती मध्ये एक हो।
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,पोषण राष्ट्रिय र वैश्विक दिगो विकास लक्ष्यहरूको उपलब्धिको केन्द्रीय मानिन्छ।
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.",महिला र बालबालिकाका लागि बाँच्नका लागि इष्टतम र उपयुक्त पोषण आवश्यक छ फल फलाउन र समुदायमा गरिब स्वास्थ्य र गरीबीको बीचको चक्र तोड्न।
"The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.",कुपोषणको अन्तर्निहित कारणहरू जसले न्यून बच्चाहरू र वयस्कहरूको नतिजा बहुपक्षीय र जडित छन् आर्थिक र सामाजिक कारकहरू जस्तै गरिबीको न्यून स्तर महिला साक्षरताको पहुँचको अभाव र सरसफाइ मातृ विशेषताहरू अपर्याप्त उपचारात्मक र रोकथाम स्वास्थ्य देखभाल मातृ परिवार र समुदाय संसाधन र महिला सशक्तिकरण।
Check Ticket Status,टिकट स्थिति जाँच गर्नुहोस्
Panskura- II ICDS,पांसकुरा- II आईसीडीएस
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण अभियान भनेको बच्चा, किशोरकिशोरी, गर्भिणीहरूका लागि पोषण परिणामहरू सुधार गर्ने भारतको प्रमुख कार्यक्रम हो।"
Reference data not available.,सन्दर्भ तथ्याङ्क उपलब्ध छैन।
English Bazar Adl,इंग्लिस बजार एडीएल
"Dhalpukhuri Icds Project, Hojai.","ढालपुखुरी आईसीडीएस परियोजना, होजाई।"
Underweight (Weight for Age)-,कम तौल (उमेरको लागि वजन)
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,पोशन ट्र्याकरमा आंगनवाडी सेवाहरूको योजना को डेटा अपलोड गर्दै
On the Map,नक्सामा
Prayagraj City 2,प्रयागराज शहर 2
Poshan Tracker Process Flow,पोषण ट्रयाकर प्रक्रिया प्रवाह
New Khar Santacruz,नयाँ खार सान्ताक्रुज
Enter Date of Birth,जन्म मिति प्रविष्ट गर्नुहोस्
0 months to 5 years,0 महिना देखि 5 वर्ष सम्म
Delhi Project 1,दिल्ली परियोजना 1
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,पोशन ट्र्याकरले महत्वपूर्ण अन्तिम-माइल लाभार्थीहरूलाई स्वचालित सतर्कहरू उत्पन्न गर्दछ।
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,यसले लाभार्थी र कर्तव्य वाहकहरूको वास्तविक समय उपस्थिति कागजात गरेर वितरण प्रणालीको कुशल लेखापरीक्षण पनि सुनिश्चित गर्दछ।
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","यस व्यवस्थापन सूचना प्रणालीले पोषण कार्यक्रमलाई प्रभावकारी रूपमा मापन गर्न मद्दत गर्नेछ, जसले गर्दा सकारात्मक प्रभावहरू उत्पन्न गर्न र दस्तावेजीकरण गर्न।"
How can one Download Poshan Tracker App?,कसैले पोषण ट्र्याकर एप कसरी डाउनलोड गर्न सक्छन्?
AWC Opening and AWW behaviour,AWC उद्घाटन र AWW व्यवहार
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","हामी कानूनी अनुरोध, सबपोना, वा अन्य कानूनी प्रक्रियाको प्रतिक्रियामा तपाईंको जानकारी पहुँच गर्न, संरक्षण गर्न र साझेदारी गर्न सक्छौं वा यदि खुलासा (1) जालसाजी वा गैरकानूनी गतिविधिहरू वा सरकारी प्रवर्तन एजेन्सीहरूलाई सहयोग गर्नको लागि अनुसन्धान, रोक्न वा कारबाही गर्ने; (2) तपाईंसँग हाम्रा सम्झौताहरू लागू गर्नुहोस्; (3) कुनै पनि तेस्रो-पक्ष दावी वा आरोपहरू विरुद्ध आफूलाई अनुसन्धान र रक्षा गर्नुहोस्; (4) हाम्रा सेवाहरूको सुरक्षा वा अखण्डताको रक्षा गर्नुहोस् (जस्तै समान खतराहरूको सामना गरिरहेका कम्पनीहरूसँग साझेदारी गरेर); वा (5) कुनै पनि व्यक्तिको अधिकार र सुरक्षाको प्रयोग वा संरक्षण गर्ने।"
Binpur - Ii,बिनपुर - II
Available in 12 different languages,१२ विभिन्न भाषाहरूमा उपलब्ध छ
"Clarification regarding Cost of Smart phones (03 June, 2021)","स्मार्ट फोनहरूका मुल्यको बारेमा स्पष्टीकरण (०३ जून, २०२१)"
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc., to ensure efficiency and effective outcomes.",पोषण अभियान भारत सरकारको प्रमुख कार्यक्रम हो जुन किशोर किशोरी गर्भवती महिला र स्तनपान गराउने आमाहरूका लागि पौष्टिक नतिजामा सुधार गरी टेक्नोलोजीको उपयोग गरेर लक्षित दृष्टिकोण र अभिसरण हो।पहलले दक्षता र प्रभावकारी परिणामहरू सुनिश्चित गर्न स्वास्थ्य पोषण सरसफाई क्षेत्रहरू आदिमा विभिन्न कार्यक्रमहरूबिच समन्वय सिर्जनामा   जोड दिएको छ।
Observing Breastfeeding In Newborn Babies,नवजात शिशुहरूमा स्तनपान अवलोकन गर्दै
Dzongu Tribal Project,जोङगु आदिवासी परियोजना
Gadchiroli - Maharashtra,गडचिरोली - महाराष्ट्र
New Hanuman Nagar,नयाँ हनुमान नगर
West Jaintia Hills,पश्चिम जयन्तिया हिल्स
BARUIPUR Addl.ICDS PROJECT,बरुइपुर अतिरिक्त आईसीडीएस परियोजना
Raghunathganj - I Addl.,रघुनाथराजगंज - I अतिरिक्त
Cooch Behar I Addl,कूच बिहार I अतिरिक्त
along with status update once resolved,एक पटक समाधान भएपछि अद्यावधिक स्थितिमा आउने
Shar Slum Akbarpur,शार स्लम अकबरपुर
Sheopur - Madhya Pradesh,श्योपुर - मध्य प्रदेश
Tehatta 1 Addl,तेहट्टा 1 अतिरिक्त
East Jaintia Hills,पूर्वी जयन्तिया हिल्स
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","हामी सुरक्षा उद्देश्यका लागि वा सम्भावित धोखाधडी वा हाम्रा सेवा सर्तहरू र/वा हाम्रा सदस्यहरू, आगन्तुकहरू वा अरूलाई हानि गर्ने प्रयासहरूको अन्य उल्लङ्घनहरू रोक्न वा अनुसन्धान गर्न तपाईंको डाटा (तपाईंको सञ्चार सहित) प्रयोग गर्छौं।"
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",प्रणालीको सुरक्षा र स्केलेबिलिटीको लागि एमडब्ल्यूसीडी द्वारा संलग्न लेखा परीक्षकहरूद्वारा पोशन ट्र्याकर प्रणाली नियमित रूपमा लेखा परीक्षण गरिन्छ।
The records may be used for such audits.,त्यस्ता लेखापरीक्षणका लागि अभिलेखहरू प्रयोग गर्न सकिन्छ।
Chinsurah Mogra Addl.,चिनसुरह मोगरा अतिरिक्त
Mohan Lal Ganj,मोहनलाल गंज
Mira Bhayandar Virar,मीरा भायंदर विरार
Poshan Tracker adds new Resources on Website,पोशन ट्र्याकर ले वेबसाइट सुविधामा नयाँ स्रोतहरू थप्छ
Please Enter Valid Mobile Number,कृपया मान्य मोबाइल संख्या प्रविष्ट गर्नुहोस्
Suti II Addl,सुती II अतिरिक्त
Home Visit Alerts,गृह भ्रमण सतर्कहरू
How to use Poshan Calculator?,पोशन क्याल्कुलेटर कसरी प्रयोग गर्ने?
Beneficiary record becoming inactive,लाभार्थीको रेकर्ड निष्क्रिय हुँदैछ
2.4. Security and Audit.,2.4. सुरक्षा र लेखा परीक्षण।
Firozabad City 1,फिरोजाबाद शहर 1
Theni - Urban,थेनी - शहरी
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.","'पोशन ट्र्याकर' एउटा मोबाइल आधारित एप्लिकेसन हो जुन महिला तथा बाल विकास मन्त्रालय, भारत सरकारको 1 मार्च 2021 मा राष्ट्रिय ई-गभर्नेन्स डिभिजन (एनईजीडी), MyGov मार्फत एउटा महत्त्वपूर्ण शासन उपकरणको रूपमा रोल आउट गरिएको हो।"
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","पोशन ट्रयाकर अन्तर्गतको प्रविधिलाई बालबालिकामा स्टन्टिङ, बर्बादी, कम तौलको प्रचलन र पोषण सेवा वितरणको अन्तिम माइल ट्र्याकिङको गतिशील पहिचानको लागि प्रयोग गरिएको छ।"
Dadra & Nagar Haveli,दादरा र नगर हवेली
Habibpur Addl.2,हबिबपुर अतिरिक्त 2
Icds Tirur Addl,आईसीडीएस तिरुर अतिरिक्त
Raipur-  Karchulian-2,रायपुर- कर्चुलियन-2
The System also takes feedback about system performance and experience.,प्रणालीले प्रणाली प्रदर्शन र अनुभवको बारेमा प्रतिक्रिया पनि लिन्छ।
"Information on name, mobile number, date of registration and health status may be used for these purposes","नाम, मोबाइल नम्बर, दर्ता मिति र स्वास्थ्य स्थिति जानकारी यी उद्देश्यका लागि प्रयोग गर्न सकिन्छ"
Medchal - Malkajigiri,मेदचाल-मलकाजीगिरी
Poshan Tracker App,पोशन ट्रयाकर एप
Aspirational Districts Program,आकांक्षी जिल्ला कार्यक्रम
Kultali Addl.ICDS Project,कुलतली अतिरिक्त आईसीडीएस परियोजना
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.",तपाईंले खाताको लागि साइन अप गर्दा लगायत तपाईंले हाम्रा सेवाहरू प्रयोग गर्दा तपाईंले उपलब्ध गराउनुहुने सामग्री र अन्य जानकारी हामी सङ्कलन गर्छौं।
"This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.","यसमा समावेश हुन सक्छ- (i) नाम (ii) मोबाइल नम्बर (iii) जन्म मिति (iv) लिङ्ग (v) बच्चाको नाम (vi) आधार नम्बर (vii) ठेगानायदि तपाइँ डेटा प्रदान नगर्ने छनौट गर्नुहुन्छ जुन तपाइँलाई उत्पादन वा सुविधा प्रदान गर्न आवश्यक छ, तपाइँ त्यो उत्पादन वा सुविधा प्रयोग गर्न सक्नुहुन्न।"
"You may, however, choose not to share personal data where providing the data is optional.","तथापि, तपाईले व्यक्तिगत डेटा साझेदारी नगर्ने छनौट गर्न सक्नुहुन्छ जहाँ डेटा उपलब्ध गराउने वैकल्पिक छ।"
Tracking of services to the end beneficiary at a click of a button.,एक बटनको क्लिकमा अन्तिम लाभार्थीलाई सेवाहरूको ट्र्याकिङ।
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","घरको राशन लिनुहोस् (टीएचआर) र तातो पकाएको खाना (एचसीएम), शिशुहरू र गर्भवती महिलाहरूको लागि खोप जस्ता सेवाहरू"
Enter Weight in kilogram,किलोग्राम मा तौल प्रविष्ट गर्नुहोस्
Garbeta - I Adl.,Garbeta - I एडीएल
Lakhimpur Kheri City,लखिमपुर खिरी नगर
"New Poshan Tracker App (13 January, 2021)","नयाँ पोषण ट्र्याकर एप (१३ जनवरी, २०२१)"
Preventing illnesses to avert Malnutrition and Death,कुपोषण र मृत्युबाट बच्नको लागि रोगहरू रोक्न
Ketugram - II,केतुग्राम - II
Jamuria - II,जमुरिया - II
Pachim Mangaldai Icds Project,पचिम मंगलदोई आईसीडीएस परियोजना
Chandrakona - I,चन्द्रकोना - I
N & M Andaman,एन एवं एम अंडमान
Scan the QR Code to Download the App,एप डाउनलोड गर्न क्यूआर कोड स्क्यान गर्नुहोस्
North 24 Parganas,उत्तर २४ परगना
UJJAIN - U,उज्जैन-यू
Pregnant women who received Take Home Ration (THR),घरको राशन लिनुहोस् (टीएचआर) प्राप्त गर्ने गर्भवती महिलाहरू
Icds Kasrgod Addl,आईसीडीएस कासरगोड अतिरिक्त
Please enter valid Height,कृपया मान्य उचाइ प्रविष्ट गर्नुहोस्
How one can add AWW/AWCs?,कसैले AWW / AWC कसरी थप्न सक्छ?
Khatra - I,खत्रा - I
West Khasi Hills,पश्चिम खासी हिल्स
Growth Monitoring Assessment Charts,वृद्धि अनुगमन मूल्याङकन मानचित्रहरु
Memari - I,मेमारी - I
Raiganj (R) Addl.,रायगंज (आर) अतिरिक्त
Assessment of growth in children,बच्चाहरु मा वृद्धि को मूल्यांकन
South West Khasi Hills,दक्षिण पश्चिम खासी हिल्स
Request for Take Home Ration,घर लिएर जाने रासनका लागि अनुरोध गर्नुहोस्
CANNING II MAIN,क्यानिङ II मुख्य
Siliguri (U) ICDS PROJECT,सिलगढी (यु) आईसीडीएस परियोजना
General Awareness on SAM and MAM,एसएएम र एमएएम सामान्य जागरूकता
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","सकिँदैन, कुनै पनि एपलाई मान्य इन्टरनेट जडानबिना चलाउन सकिँदैन।"
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India.","अधिकृत संस्थाहरूले भारत सरकारद्वारा स्थापित सबै लागू कानून, नियमन, नीतिहरू र तेस्रो-पक्ष अधिकारहरू (अवरोध बिना, डेटा वा सफ्टवेयरको आयात वा निर्यात, गोपनीयता, र स्थानीय कानूनहरू सम्बन्धी कुनै पनि कानूनहरू सहित) पालना गर्नेछन्।"
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,यी सङ्गठनहरूले एपीआई/ नो-कोड वेबपेज एकीकरण प्रयोग गर्दैनन् गैरकानूनी गतिविधि वा तेस्रो-पक्ष अधिकारहरूको उल्लङ्घनलाई प्रोत्साहित गर्न वा पोशन ट्र्याकरसँग यी सर्तहरू सहित।
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","गर्भवती महिला, स्तनपान गराउने आमाहरू, 6 महिनादेखि 3 वर्षसम्मका बालबालिका र किशोरी केटीहरु।"
6. DATA SECURITY,6. डाटा सुरक्षा
South Salmara Mankachar,दक्षिण सालमारा मनकाचार
0 months to 6 years,0 महिना देखि 6 वर्ष सम्म
CHECK TICKET STATUS,टिकट स्थिति जाँच गर्नुहोस्
Icds Kanhangad Addl,आईसीडीएस कन्हानगड अतिरिक्त
CDPO Ghatkopar Urban,सीडीपीओ घाटकोपर शहरी
Target / Total no.,लक्ष्य / कुल नं.
of,को
Enter Email Address,इमेल ठेगाना प्रविष्ट गर्नुहोस्
Dholpur - Rajasthan,ढोलपुर - राजस्थान
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","नयाँ पोषण ट्र्याकर एपः CSC-SPV नोडल व्यक्ति (०२ फेब्रुअरी, २०२१)"
Udam Singh Nagar,उदमसिंह नगर
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,एउटा एडब्ल्यूडब्ल्यू ले आधार संख्याको आधारमा एउटा एडब्ल्यूसी बाट अर्को एडब्ल्यूसी मा लाभार्थी स्थानान्तरण गर्न 'स्थानान्तरण लाभार्थी' विकल्प प्रयोग गर्न सक्छ।
Narot Jaimal Singh,नरोट जयमल सिंह
Balasore Sadar I,बालेश्वर सदर I
General Awareness for Pregnancy,गर्भावस्थाको लागि सामान्य जागरूकता
Fatehpur - 84,फतेहपुर- 84
A beneficiary is eligible for HCM for at least 21 days in a month.,एउटा लाभार्थी एक महिनामा कम्तिमा 21 दिनको लागि एचसीएम को लागी योग्य हुन्छ।
Alipurduar - II Addl.,अलिपुरद्वार - II अतिरिक्त
ABHA (Health ID) and its Benefits,एबीएचए (स्वास्थ्य आईडी) र यसका फाइदाहरू
Jorebunglow Sukiapokhri Adl,जोरबंगलो सुकियापोखरी एडीएल
"We'ar sorry, the page you requested could not be found.",हामी क्षमाप्रार्थी छौं तपाईंले अनुरोध गर्नुभएको पृष्ठ भेटिएन।
Rani Ki Sarai,रानी की सराई
Project Ii Saibaba Colony,परियोजना II साईबाबा कालोनी
Who is a beneficiary?,लाभार्थी को हो?
Dadra & Nagar Haveli - Daman & Diu,दादरा र नगर हवेली - दमन र दीव
Download Mobile App from Play Store,प्ले स्टोरबाट मोबाइल एप डाउनलोड गर्नुहोस्
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws.","पोशन ट्रयाकर मंच मा तपाईंको गोपनीयता र व्यक्तिगत जानकारीलाई हानि, दुरुपयोग, अनाधिकृत पहुँच, खुलासा, विनाश, र लागू कानूनहरूको अनुपालनमा जानकारीको परिवर्तनबाट जोगाउन उचित सुरक्षा उपायहरू र सुरक्षाहरू छन्।"
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","यसबाहेक, जब तपाइँ प्रणालीमा तपाइँको खाता वा यससँग सम्बन्धित कुनै जानकारी परिवर्तन गर्नुहुन्छ वा पहुँच गर्नुहुन्छ, हामी सुरक्षित सर्भरको प्रयोग प्रस्ताव गर्दछौं।"
"It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","यो थप स्पष्ट गरिएको छ कि तपाईले प्रणाली (प्रत्यक्ष वा अप्रत्यक्ष रूपमा) पहुँच र/वा प्रयोग गर्दासम्म, तपाइँको व्यक्तिगत जानकारी सम्मिलित र सीमित नहुने तपाइँको डाटाको अखण्डता र सुरक्षालाई जोगाउनको लागि तपाइँले, जहिले पनि, पर्याप्त भौतिक, व्यवस्थापकीय, र प्राविधिक सुरक्षाहरू लिनेछ भन्ने सुनिश्चित गर्ने दायित्व।"
General Awareness on the Delivery of the child,बच्चाको डेलिभरीमा सामान्य जागरूकता
General Awareness on Anaemia,रक्तअल्पता मा सामान्य जागरूकता
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","हामी हाम्रा सेवाहरू सञ्चालन गर्नका लागि पनि डाटा प्रयोग गर्छौं, जसमा हाम्रो कार्यसम्पादनको विश्लेषण, हाम्रा कानुनी दायित्वहरू पूरा गर्ने, हाम्रो कार्यबलको विकास गर्ने र अनुसन्धान गर्ने समावेश छ।"
We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.,हामीले प्रणालीको सुधारको लागि निश्चित आवश्यक कार्यहरू गर्न र प्रणालीको प्रावधानसँग सम्बन्धित सबै कार्यहरू र नयाँ प्रविधिहरू र सेवाहरूको विकास र उपलब्ध गराउनका लागि पनि जानकारी प्रयोग गर्न सक्छौं।
South Salmara Mancachar,दक्षिण साल्मारा मन्चाचार
Where can I enquire about Hot Cooked Meal?,तातो पकाएको खानाको बारेमा मैले कहाँ सोधपुछ गर्न सक्छु?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","साइटले अन्य वेबसाइटहरूको लिङ्कहरू समावेश गर्न सक्छ जुन हाम्रो स्वामित्व, मर्मत, वा सञ्चालन हुन सक्दैन।"
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","यी वेबसाइटहरू लिङ्क गरिएको तथ्यले यी वेबसाइटहरूको कुनै पनि समर्थनलाई हामीबाट संकेत गर्दैन, किनकि हामीसँग यी वेबसाइटहरूमा कुनै नियन्त्रण छ।"
We are not responsible for these websites including any content or the privacy practices of these websites.,हामी यी वेबसाइटहरूको लागि कुनै पनि सामग्री वा यी वेबसाइटहरूको गोपनीयता अभ्यासहरू सहित जिम्मेवार छैनौं।
We strongly encourage you to familiarize yourself with the terms of use of these websites.,हामी तपाईंलाई यी वेबसाइटहरूको प्रयोगका सर्तहरूसँग परिचित हुन दृढताका साथ प्रोत्साहन दिन्छौं।
Your use of these websites is at your own risk and peril.,यी वेबसाइटहरूको तपाईंको प्रयोग तपाईंको आफ्नै जोखिम र खतरामा छ।
"It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","तपाईंले चयन गर्नुभएको लिङ्कहरू वा तपाईंले डाउनलोड गर्न सक्ने कुनै पनि सफ्टवेयर भाइरस, वर्म, ट्रोजन घोडा, दोष, मिति बम, टाइम बम, र अन्य वा अन्य कम्प्युटर प्रोग्रामिंग दिनचर्याहरू रहित जुन विनाशकारी प्रकृतिको हो भनी सुनिश्चित गर्नको लागि आवश्यक सावधानीहरू अपनाउनु मात्र तपाईंमा निर्भर छ।"
TITAGARH (U) ICDS PROJECT,तितागढ (यु) आईसीडीएस परियोजना
Singtam Rural Project,सिंगताम ग्रामीण परियोजना
In how many languages AWW can enter the data while filling up the form?,AWW वा AWC ले फारम भर्दा कति भाषाहरूमा डाटा प्रविष्ट गर्न सक्छन्?
Purnia East Urban,पूर्णिया पूर्व शहरी
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषणमा कमीको रूपमा पहिचान गरिएका बालबालिकाहरू थप खाद्य पूरकहरूका लागि योग्य छन्।
An underweight person is a person whose body weight is considered too low to be healthy,कम तौल भएको व्यक्ति एउटा व्यक्ति हो जसको शरीरको तौल स्वस्थ हुनको लागि धेरै कम मानिन्छ
Balasore Sadar II,बालेश्वर सदर II
Project 1 Selvapuram,परियोजना 1 सेल्वापुरम
East Golaghat Icds,पूर्वी गोलाघाट आईसीडीएस
Gangarampur ICDS Project,गंगारामपुर आईसीडीएस परियोजना
Please enter Mobile Number,कृपया मोबाइल नम्बर प्रविष्ट गर्नुहोस्
Rewa - R,रेवा - आर
South West Garo Hills,दक्षिण पश्चिम गारो हिल्स
When and how to use MPIN?,MPIN कहिले र कसरी प्रयोग गर्ने?
