eng,hi
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","बच्चों में कुपोषण को रोकने के लिए स्टंटिंग, वेस्टिंग के प्रति जागरुकता"
Create a New Ticket,एक नया टिकट बनाएँ
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","यह साइट और सभी आँकडे, संदेश, बनावट, पृष्ठ, प्रिंट स्क्रीन(मुद्रण चित्रपट), चित्र, कलाकृति, तस्वीरें, ऑडियो और वीडियो क्लिप, HTML कोड, स्रोत कोड, या सॉफ्टवेयर जो बुक किए गए सभी प्रतिभागी साइटों पर देखने योग्य या अन्यथा शोध करने योग्य होते हैं या रहते हैं, (सामूहिक रूप से, ""सामग्री"" कहा जाता है) महिला और बाल विकास मंत्रालय और उनके अधिकृत सेवा प्रदाताओं के स्वामित्व के अंतर्गत आते हैं।"
Jaleswar Icds Project,जलेश्वर आईसीडीएस परियोजना
Poshan Tracker adds new application features,पोषण ट्रैकर ने नई एप्लिकेशन फीचर जोडा है
Making or Updating Home Visit Planner and Initiating home visits,देखभाल कर्ता की गृह यात्रा संबंधी योजनाओं का निर्माण करना और उन्हें अद्यतित करते रहना
Uraiyur    Project-1,उरईयूर परियोजना-1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),विश्व स्वास्थ्य संगठन द्वारा परिभाषित मानकों के आधार पर बच्चों के विकास को मापने के लिए पोषण मापक का निर्माण किया गया।
Asthampatti (Sal Pro 1),अष्टमपट्टी (साल प्रो 1)
Migrated from one category to another,एक श्रेणी से दूसरी श्रेणी में स्थानांतरण
Icds Parappa Additional,आईसीडीएस परप्पा अडिशनल
Binpur - I Adl.,बिनपुर - ।अडिशनल
Wasting (Weight for Height)-,वेस्टिंग(ऊँचाई के लिए वजन)
Soreng Rural Project,सोरेंग ग्रामीण परियोजना
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,यह आमतौर पर तब होता है जब किसी व्यक्ति ने पर्याप्त गुणवत्ता और मात्रा का भोजन नहीं किया होता है और/या उन्हें बार-बार या लंबी बीमारी होती है
Dinhata - I Addl,दिनहाता - I अडिशनल
Mohgaon - R,मोहगाँव - आर
"Malnutrition is one of the most important challenges facing contemporary India.Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.","कुपोषण समकालीन भारत के सामने सबसे महत्वपूर्ण चुनौतियों में से एक है।राष्ट्रीय और वैश्विक सतत विकास लक्ष्यों की प्राप्ति के लिए पोषण को केंद्रीय माना जाता है।इष्टतम और उचित पोषण महिलाओं और बच्चों के लिए जीवित रहने, पनपने और समुदाय में खराब स्वास्थ्य और गरीबी के अंतरजनपदीय चक्र को तोडने के लिए आवश्यक है।कुपोषण के अंतर्निहित कारण, जिनके परिणामस्वरूप बच्चों और वयस्कों में अस्थिरता होती है, वे आर्थिक और सामाजिक कारकों जैसे गरीबी, महिला साक्षरता के निम्न स्तर, स्वच्छ पेयजल, स्वच्छता और स्वच्छता की पहुंच का अभाव, मातृ विशेषताओं, अपर्याप्त उपचारात्मक और में बहुपक्षीय और निहित हैं।निवारक स्वास्थ्य देखभाल, मातृ, घरेलू और सामुदायिक संसाधन और महिला सशक्तिकरण।"
Check Ticket Status,टिकट की स्थिति जांचें
Panskura- II ICDS,पंसकुरा- II आईसीडीएस
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण अभियान, एक लक्षित दृष्टिकोण और अभिसरण द्वारा बच्चों, किशोरों, गर्भवती महिलाओं और स्तनपान कराने वाली माताओं के लिए पोषण संबंधी परिणामों में सुधार करने के लिए भारत का प्रमुख कार्यक्रम है।"
Reference data not available.,संदर्भित आँकडा उपलब्ध नहीं है।
Hot Cooked Meal (HCM) given in last 30 days,पिछले 30 दिनों में दिया गया गर्म पकाया हुआ भोजन (एचसीएम)
English Bazar Adl,अंग्रेजी बाजार अडिशनल
"Dhalpukhuri Icds Project, Hojai.","ढलपुखुरी आईसीडीएस परियोजना, होजई।"
Underweight (Weight for Age)-,कम वजन वाले बच्चे(आयु के लिए वजन)
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,पोषण ट्रैकर में आँगनवाडी सेवा योजनाओं के आँकडे को अपलोड करना
On the Map,मानचित्र पर
Prayagraj City 2,प्रयागराज शहर 2
Poshan Tracker Process Flow,पोषण ट्रैकर प्रक्रिया प्रवाह
New Khar Santacruz,न्यू खार सांताक्रूज
Enter Date of Birth,जन्म तिथि दर्ज करें
0 months to 5 years,0 माह से 5 वर्ष तक
Delhi Project 1,दिल्ली परियोजना 1
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,पोषण ट्रैकर लाभार्थियों के महत्वपूर्ण स्व-चालित संकेतकों का निर्माण करता है।
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,यह लाभार्थियों और कर्तव्य धारकों की वास्तविक सामयिक उपस्थिति का दस्तावेजीकरण करके वितरण प्रणाली की कुशल लेखा परीक्षा की भी सुनिश्चितता करता है।
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact",यह प्रबंधन सूचना प्रणाली पोषण कार्यक्रम और उससे संबंधित दस्तावेजीकरण की कुशलता से वृद्धि करते हुए सकारात्मक प्रभाव को उत्पन्न करने में सहायता करेगी।
How can one Download Poshan Tracker App?,पोषण ट्रैकर ऐप को कैसे डाउनलोड किया जा सकता है?
AWC Opening and AWW behaviour,आंगनवाडी केंद्र(AWC) खोलना और आंगनवाडी कार्यकर्ता (AWW) व्यवहार
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","हम किसी भी कानूनी अनुरोध के उत्तर में आपकी सूचना तक पहुँच प्राप्त कर सकते हैं, संरक्षित कर सकते हैं या फिर इसे साझा भी कर सकते हैं इस विश्वास के साथ कि कानूनी प्रक्रिया में ऐसा प्रकटीकरण करना निम्नलिखित कारणों से अनिवार्य है (1) किसी धोखाधडी या गैर-कानूनी गतिविधियों के संबंध में सरकारी एजेंसियों द्वारा किया जा रहे अन्वेषण, बचाव या कानूनी कारवाई के संदर्भ में सहायता प्रदान करके; (2) अपने अनुबंधों को अपने द्वारा लागू करने में; (3) किसी भी तीसरे पक्ष के द्वारा किए गए दावे या दोषारोपण के संदर्भ में जाँच और स्वयं का बचाव करने में; (4) हमारी सेवा की सुरक्षा और एकीकृता को बनाए रखने में (जैसेकि- कंपनी के साझा अपने खतरों को साझा करके) या (5) किसी भी व्यक्ति की सुरक्षा और अधिकारों के अभ्यास के बचाव में।"
Binpur - Ii,बिनपुर - II
Available in 12 different languages,12 विभिन्न भाषाओं में उपलब्ध है
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc., to ensure efficiency and effective outcomes.","पोषण अभियान, बच्चों, किशोरों, गर्भवती महिलाओं और स्तनपान कराने वाली माताओं द्वारा प्रौद्योगिकी, एक लक्षित दृष्टिकोण और अभिसरण के लिए पोषण परिणामों में सुधार करने के लिए भारत सरकार का प्रमुख कार्यक्रम है।यह पहल स्वास्थ्य, पोषण, स्वच्छता क्षेत्रों आदि में विभिन्न कार्यक्रमों के बीच तालमेल बनाने पर जोर देती है, ताकि दक्षता और प्रभावी परिणामों को सुनिश्चित किया जा सके।"
Observing Breastfeeding In Newborn Babies,नवजात शिशुओं के स्तनपान संबंधी मामलों पर ध्यान देना
Dzongu Tribal Project,द्जोंगू जनजातीय परियोजना
Gadchiroli - Maharashtra,गडचिरोली - महाराष्ट्र
New Hanuman Nagar,न्यू हनुमान नगर
West Jaintia Hills,पश्चिम जैंतिया हिल्स
BARUIPUR Addl.ICDS PROJECT,बरुईपुर अडिशनल आईसीडीएस परियोजना
Raghunathganj - I Addl.,रघुनाथगंज - I अडिशनल
Cooch Behar I Addl,कूचबिहार I अडिशनल
along with status update once resolved,एक बार हल हो जाने पर स्थिति अपडेट के साथ
Shar Slum Akbarpur,शर स्लम अकबरपुर
Sheopur - Madhya Pradesh,श्योपुर - मध्य प्रदेश
Tehatta 1 Addl,तेहट्टा 1 अडिशनल
East Jaintia Hills,पूर्व जैंतिआ हिल्स
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","हम आपके आँकडों (आपके संचार सहित) का उपयोग सुरक्षा उद्देश्यों के लिए या संभावित धोखाधडी या हमारी सेवा की शर्तों या अन्य उल्लंघनों को रोकने या जाँच करने और/या हमारे सदस्यों, आगंतुकों या अन्य को नुकसान से बचाने के प्रयासों के लिए करते हैं।"
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",इस प्रणाली की सुरक्षा और मापनीयता के लिए MWCD द्वारा नियुक्त लेखापरीक्षकों द्वारा पोषण ट्रैकर प्रणाली का नियमित रूप से लेखा-परीक्षण किया जाता है।
The records may be used for such audits.,ऐसे लेखा-परीक्षण के लिए अभिलेखों का उपयोग किया जा सकता है।
Chinsurah Mogra Addl.,चिनसुराह मोगरा अडिशनल
Mohan Lal Ganj,मोहन लाल गंजो
Mira Bhayandar Virar,मीरा भयंदर विरारी
Poshan Tracker adds new Resources on Website,पोषण ट्रैकर ने वेबसाइट सुविधा पर नई संसाधन जोडा है
Please Enter Valid Mobile Number,कृपया मान्य मोबाइल नंबर दर्ज करें
Suti II Addl,सुति II अडिशनल
Home Visit Alerts,गृह-यात्रा संकेतक
How to use Poshan Calculator?,पोषण मापक का उपयोग कैसे करें?
Beneficiary record becoming inactive,निष्क्रिय हो रहा लाभार्थी का रिकॉर्ड
2.4. Security and Audit.,2.4. सुरक्षा और लेखा-परीक्षा।
Firozabad City 1,फिरोजाबाद शहर 1
Theni - Urban,थेनी - शहरी
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.","1 मार्च 2021 को राष्ट्रीय e-शासन विभाग के महिल एवं बाल विकास मंत्रालय, भारत द्वारा सरकार एप्प एक मोबाइल आधारित आवेदन ""पोषण ट्रैकर"" का पदार्पण मेरी सरकार नामक एक महत्वपूर्ण टूल के माध्यम से किया गया।"
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","पोषण ट्रैकर के तहत प्रौद्यौगिकी का उपयोग स्टंटिंग, वेस्टिंग, कम वजन वाले बच्चों की पहचान और पोषण सेवा के वितरण को गतिशील पहचान देने में किया जा सकता है।"
Dadra & Nagar Haveli,दादरा और नगर हवेली
Habibpur Addl.2,हबीबपुर अडिशनल 2
Icds Tirur Addl,आईसीडीएस तिरूर अडिशनल
Raipur-  Karchulian-2,रायपुर-करचुलियन-2
The System also takes feedback about system performance and experience.,"सिस्टम, सिस्टम प्रदर्शन और अनुभव के बारे में भी प्रतिक्रिया प्राप्त करता है।"
"Information on name, mobile number, date of registration and health status may be used for these purposes","इन उद्देश्यों के लिए नाम, मोबाइल नंबर, पंजीकरण की तारीख और स्वास्थ्य की स्थिति की सूचना का उपयोग किया जा सकता है।"
Medchal - Malkajigiri,मेडचल मल्कजगिरी
Poshan Tracker App,पोषण ट्रैकर एप्प
Aspirational Districts Program,महत्वकांक्षी जिला कार्यक्रम
Kultali Addl.ICDS Project,कुलताली अडिशनल आईसीडीएस परियोजना
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","जब आप किसी खाते के लिए साइन अप करते हैं, तो हम उस सामग्री और अन्य सूचना को भी एकत्र करते हैं, जो आप हमारी सेवाओं का उपयोग करते समय हमें प्रदान करते हैं।"
"This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.","इनमें शामिल हो सकते हैं- (i) नाम (ii) मोबाइल नंबर (iii) जन्म तिथि (iv) लिंग (v) बच्चे का नाम (vi) आधार संख्या (vii) पतायदि आप किसी उत्पाद या सुविधा को प्राप्त करने के लिए आवश्यक आँकडा प्रदान करना नहीं पसंद करते हैं, तो आप उस उत्पाद या सुविधा का उपयोग भी नहीं कर सकते हैं।"
"You may, however, choose not to share personal data where providing the data is optional.","हालाँकि, आप जहाँ डेटा प्रदान करना वैकल्पिक है वहाँ व्यक्तिगत आँकडों को साझा नहीं करने वाले विकल्प का चयन कर सकते हैं।"
Tracking of services to the end beneficiary at a click of a button.,एक बटन के क्लिक द्वारा लाभार्थी के साथ-साथ सेवाओं की अंतिम रूप से ट्रैकिंग करना।
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","टेक होम राशन, हॉट कुक्ड मील, गर्भवती महिलाओं और बच्चों के टीकाकरण जैसी सेवाएँ-"
Enter Weight in kilogram,किलोग्राम में वजन दर्ज करें
Garbeta - I Adl.,गरबेटा - I अडिशनल
Lakhimpur Kheri City,लखीमपुर खीरी शहर
Preventing illnesses to avert Malnutrition and Death,कुपोषण और मृत्यु पर रोक के संदर्भ में बीमारियों से बचाव
Ketugram - II,केतुग्राम - II
Jamuria - II,जमुरिया - II
Pachim Mangaldai Icds Project,पचिम मंगलदाई आईसीडीएस परियोजना
Chandrakona - I,चंद्रकोना - I
N & M Andaman,उत्तर और मध्य अंडमान
Scan the QR Code to Download the App,एप्प को डाउनलोड करने के लिए QR कोड को स्कैन करें
North 24 Parganas,उत्तर 24 परगना
UJJAIN - U,उज्जैन - यू
Pregnant women who received Take Home Ration (THR),टेक होम राशन (THR) प्राप्त करने वाली गर्भवती महिलाएँ
Icds Kasrgod Addl,आईसीडीएस कासरगोड अडिशनल
Please enter valid Height,"कृपया, मान्य ऊँचाई दर्ज करें"
How one can add AWW/AWCs?,कोई एडब्ल्यूडब्ल्यू / एडब्ल्यूसी कैसे जोड सकता है?
Khatra - I,खतरा - I
West Khasi Hills,पश्चिम खासी हिल्स
Growth Monitoring Assessment Charts,विकास निगरानी मूल्यांकन तालिका
Memari - I,मेमारी - I
Raiganj (R) Addl.,रायगंज (आर) अडिशनल
Assessment of growth in children,बच्चों में विकास का मूल्यांकन
South West Khasi Hills,दक्षिण पश्चिम खासी हिल्स
Request for Take Home Ration,घर का राशन लेने का निवेदन
CANNING II MAIN,कैनिंग II मेन
Siliguri (U) ICDS PROJECT,सिलीगुडी (यू) आईसीडीएस परियोजना
General Awareness on SAM and MAM,SAM और MAM पर सामान्य जागरूकता
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.",कोई भी ऐप वैध इंटरनेट कनेक्शन के बिना काम नहीं करती है।
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India.","किसी भी प्रकार का अधिकृत संगठन भारत सरकार द्वारा स्थापित सभी लागू कानूनों, विनियमों, नीतियों और तीसरे पक्ष के अधिकारों (जिसमें बिना किसी सीमा के, डेटा या सॉफ्टवेयर, गोपनीयता और स्थानीय कानूनों के आयात या निर्यात से संबंधित किसी भी कानून) का पालन करेंगे।"
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,ये संगठन पोशन ट्रैकर के साथ इन शर्तों सहित अवैध गतिविधि या तीसरे पक्ष के अधिकारों के उल्लंघन को प्रोत्साहित करने या बढावा देने के लिए API/नो-कोड वेबपेज के एकीकरण का उपयोग नहीं करेंगे।
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","गर्भवती महिलाएँ, स्तनपान कराने वाली माताएँ, 6 महीने से 3 वर्ष तक के बच्चे और किशोर लडकियाँ।"
6. DATA SECURITY,6. आँकडों की सुरक्षा
South Salmara Mankachar,दक्षिण सलमार मनकचर
0 months to 6 years,0 माह से 6 वर्ष तक
CHECK TICKET STATUS,टिकट की स्थिति जांचें
Icds Kanhangad Addl,आईसीडीएस कान्हांगड अडिशनल
CDPO Ghatkopar Urban,सीडीपीओ घाटकोपर शहरी
Target / Total no.,लक्ष्य / कुल संख्या.
of,का
Enter Email Address,ईमेल पता प्रविष्ट करू
Dholpur - Rajasthan,धौलपुर - राजस्थान
Udam Singh Nagar,उधम सिंह नगर
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,एक आँगनवाडी कार्यकर्ता अपनी आधार संख्या के आधार पर किसी लाभार्थी को एक आँगनवाडी केंद्र से दूसरे आँगनवाडी केंद्र में स्थानांतरित करने के लिए 'माइग्रेट लाभार्थी' के विकल्प का उपयोग कर सकता है।
Narot Jaimal Singh,नरोट जयमल सिंह
Balasore Sadar I,बालासोर सदर प्रथम
General Awareness for Pregnancy,गर्भावस्था पर सामान्य जागरूकता
Fatehpur - 84,फतेहपुर - 84
A beneficiary is eligible for HCM for at least 21 days in a month.,एक लाभार्थी महीने में कम से कम 21 दिनों के लिए HCM के लिए पात्र है।
Alipurduar - II Addl.,अलीपुरद्वार - II अडिशनल
ABHA (Health ID) and its Benefits,ABHA (स्वास्थ्य पहचान पत्र) और इसके लाभ
Jorebunglow Sukiapokhri Adl,जोरेबंगलो सुकियापोखरी अडिशनल
"We'ar sorry, the page you requested could not be found.","क्षमा करें, आपके द्वारा अनुरोधित पृष्ठ नहीं मिल सका।"
Rani Ki Sarai,रानी की सराय
Project Ii Saibaba Colony,प्रोजेक्ट II साईबाबा कॉलोनी
Who is a beneficiary?,लाभार्थी कौन है?
Dadra & Nagar Haveli - Daman & Diu,दादरा और नगर हवेली-दमन और दीव
Download Mobile App from Play Store,प्ले स्टोर से मोबाइल एप्प डाउनलोड करें
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws.","पोषण ट्रैकर में कम कीमत पर बहुत सारे सुरक्षात्मक उपाय हैं जो आपकी निजी सूचना के गलत तरीके से उपयोग, अनाधिकार पहुँच, प्रकटीकरण, परिवर्तन को लागू कानूनों के आधार पर बचाव करेगी।"
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","इसके अलावा, जब कभी भी आप सिस्टम पर अपने खातों या इससे संबंधित सूचनाओं को तक पहुँच प्राप्त करने या परिवर्तित करने की कोशिश करेंगे तो हम आपको एक सुरक्षित सर्वर का उपयोग करने का अवसर प्रदान करेंगे।"
"It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","इसमें आगे यह स्पष्ट किया गया है कि जब कभी भी आप सिस्टम तक (प्रत्यक्ष या अप्रत्यक्ष रूप से) पहुँच प्राप्त करेंगे तो आपको अपनी ओर से अपने आँकडों की एकीकरण और संरक्षण करने के लिए पर्याप्त भौतिकीय, प्रबंधकीय, तकनीकी सुरक्षा आदि की सामयिक आधार पर सुनिश्चितता करनी होगी जो आपकी निजी सूचना तक सीमित नहीं रहेगी।"
General Awareness on the Delivery of the child,बच्चे के प्रसव पर सामान्य जागरूकता
General Awareness on Anaemia,एनीमिया पर सामान्य जागरूकता
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","हम अपनी सेवाओं को संचालित करने के लिए भी आँकडों का उपयोग करते हैं, जिसमें हमारे प्रदर्शन का विश्लेषण करना, हमारे कानूनी दायित्वों को पूरा करना, हमारे कार्यबल का विकास करना और शोध करना शामिल है।"
We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.,हम सिस्टम में सुधार के लिए और सिस्टम के प्रावधान के लिए प्रासंगिक या सहायक सभी कार्यों के लिए और नई तकनीकों और सेवाओं को विकसित करने और संचालन के लिए कुछ आवश्यक सूचना का उपयोग कर सकते हैं।
Where can I enquire about Hot Cooked Meal?,मैं गर्म पके हुए भोजन के बारे में कहाँ से पूछताछ कर सकता हूँ?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","इस साइट में अन्य वेबसाइटों के लिंक भी पाए जा सकते हैं जिनका स्वामित्व, रखरखाव या संचालन हमारे पास नहीं भी हो सकता है।"
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","इसके पीछे का तथ्य यह है कि ये वेबसाइटें हमारी साइटों से जुडी हुई जरूर होती हैं, लेकिन इन वेबसाइटों पर हमारा कोई नियंत्रण नहीं होने के कारण, इन वेबसाइटों को हमारी ओर से किसी भी प्रकार का भी समर्थन प्राप्त नहीं होता है।"
We are not responsible for these websites including any content or the privacy practices of these websites.,हम इन वेबसाइटों की गोपनीय अभ्यासों या किसी भी प्रकार की सामग्री के लिए उत्तरदायी नहीं हैं।
We strongly encourage you to familiarize yourself with the terms of use of these websites.,हम आपको इन वेबसाइटों के उपयोग की शर्तों से हमेशा अवगत रहने का अनुरोध करते हैं।
Your use of these websites is at your own risk and peril.,इन वेबसाइटों का उपयोग आपके स्वयं के जोखिम उठाने पर निर्भर है।
"It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","इस बात की सुनिश्चितता और आवश्यक सावधानी बरतना पूरी तरह से आप पर निर्भर है, क्योंकि, आपके द्वारा चुने गए लिंक या आपके द्वारा डाउनलोड किया जा सकने वाला कोई भी दैनिक सॉफ्टवेयर वायरस, वर्म्स, ट्रोजन हॉर्स, दोष, डेट बम, टाइम बम या अन्य कंप्यूटर प्रोग्रामिंग विनाशकारी प्रकृति का होता है।"
TITAGARH (U) ICDS PROJECT,टीटागढ (यू) आईसीडीएस परियोजना
Singtam Rural Project,सिंगतम ग्रामीण परियोजना
In how many languages AWW can enter the data while filling up the form?,फॉर्म भरते समय एडब्ल्यूडब्ल्यू या एडब्ल्यूसी कितनी भाषाओं में डेटा दर्ज कर सकती है?
Purnia East Urban,पूर्णिया ईस्ट शहरी
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।
An underweight person is a person whose body weight is considered too low to be healthy,एक कम वजन वाला व्यक्ति वह व्यक्ति होता है जिसके शरीर का वजन स्वस्थ होने के लिए बहुत कम माना जाता है
Balasore Sadar II,बालासोर सदर II
Project 1 Selvapuram,परियोजना 1 सेल्वापुरम
East Golaghat Icds,पूर्वी गोलाघाट आई. सी. डी. एस
Gangarampur ICDS Project,गंगारामपुर आईसीडीएस परियोजना
Please enter Mobile Number,कृपाकए मोबाइल नंबर प्रविष्ट करू
Rewa - R,रीवा - आर
South West Garo Hills,दक्षिण पश्चिम गारो हिल्स
When and how to use MPIN?,एमपीआईएन कब और कैसे इस्तेमाल करें?
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e. g. bugs).","हम आपको पंजीकरण के बारे में सचेत करने के लिए आपके पंजीकृत मोबाइल नंबर पर SMS भी भेजते हैं, जब आप हमसे संपर्क करते हैं, तो हम आपकी सूचना का उपयोग आपकी शिकायतों का समाधान और उत्तर प्रदान करने जैसी सेवा संबंधी मामलों के लिए भी करते हैं।"
Ensuring that complementary feeding improves over time,समय के साथ पूरक आधार की सुनिश्चिता करना
Memari - I Addl.,मेमारी - I अडिशनल
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA के उपयोग द्वारा आपके और आपके परिवार के लिए (स्वास्थ्य पहचान पत्र) सुरक्षित और सक्षम डिजिटल स्वास्थ्य और अभिलेखों को संरक्षित करने की दिशा में उठाया गया पहला कदम है।
NALHATI-I A ICDS PROJECT (NGO),नलहाटी-I एक आईसीडीएस परियोजना (एनजीओ)
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (पहले स्वास्थ्य पहचान पत्र के नाम से जाना जाता था) आयुष्मान भारत का संक्षिप्त रूप है।
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"एडब्ल्यूडब्ल्यू / एडब्ल्यूसी को केवल नोडल स्तर के अधिकारी द्वारा जोडा जा सकता है।पदानुक्रम में ऊपर की ओर कोई भी।राष्ट्रीय स्तर के उपयोगकर्ता के रूप में राज्य, जिला, परियोजना और क्षेत्र स्तर उपयोगकर्ता बना सकते हैं।राज्य स्तर का उपयोगकर्ता जिला, परियोजना और क्षेत्र स्तर का उपयोगकर्ता बना सकता है, जिला स्तर का उपयोगकर्ता परियोजना और क्षेत्र स्तर का उपयोगकर्ता बना सकता है, परियोजना स्तर का उपयोगकर्ता क्षेत्र का उपयोगकर्ता बना सकता है।"
Please enter valid DOB,"कृपया, मान्य जन्म तिथि दर्ज करें"
Raghunathganj - II Addl.,रघुनाथगंज - II अडिशनल
Where can I enquire about take home ration?,मैं टेक होम राशन के बारे में कहाँ पूछ सकता हूँ?
Kaying - Payum,कायिंग - पायुम
Hot Cooked Meal,हॉट कूक्ड मील
ATTENDANCE OF CHILDREN TODAY,बच्चों की पढाई का ध्यान
How Poshan Tracker Works,पोषण ट्रैकर कैसे काम करता है
Upper Dibang Valley,ऊपरी दिबांग घाटी
 R. K. Nagar,आरके नगर
South Bungtlang ICDS Project,साउथ बुंगटलांग आईसीडीएस परियोजना
We use the information we collect from all our services for the following purposes:,हम अपनी सेवाओं द्वारा प्राप्त सूचनाओं के संग्रहण का उपयोग निम्नलिखित उद्देश्यों के लिए करते हैंः
Identification & Referral of Sick Newborn,संदर्भित बीमार नवजात की पहचान
Sant Kabir Nagar,संत कबीर नगर
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. तीसरे पक्ष के सिस्टम द्वारा प्रदत आँकडों की सत्यता
Beneficiary concerns accessibility to AWW,लाभार्थी AWW चिंता अभिगम्यता
