eng,bn
About Poshan Tracker,পোশান ট্র্যাকার সম্পর্কে
Adilabad - Telangana,আদিলাবাদ - তেলেঙ্গানা
CHINSURAH-MOGRA ICDS PROJECT,চুঁচুডা-মগরা আইসিডিএস প্রকল্প
Ravang Rural Project,রাভাং গ্রামীণ প্রকল্প
Kakdwip ICDS Project,কাকদ্বীপ আইসিডিএস প্রকল্প
Request for Home Visit,হোম ভিজিটের জন্য অনুরোধ করুন
AWW Position Filled,AWW পদ পূরণ
East Khasi Hills,পূর্ব খাসি পাহাড
Chakchaka Icds Project Sorbhog,চাকচাকা আইসিডিএস প্রকল্প সোরভোগ
EGRA-II ICDS PROJECT,এগ্রা - II আইসিডিএস প্রকল্প
Mirzapur City 1,মির্জাপুর সিটি 1
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,হামের ভ্যাকসিন (MCV)/MR-2JE-2**ডিপথিরিযাপারটুসিস এবং টিটেনাস্ (DPT)-বুস্টার-1OPV - বুস্টার
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,পোশান ট্র্যাকার সমস্ত AWC এবং সংজ্ঞাযিত সূচকে সুবিধাভোগীদের রিযেল-টাইম পর্যবেক্ষণ এবং ট্র্যাকিং সক্ষম করে।
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,এটি কেন্দ্রীভূত ডেটা আর্কিটেকচার ব্যবহার করে তৈরি করা হযেছে যা অন্যান্য মন্ত্রণালয এবং প্রোগ্রামগুলির ডিজিটাল প্রযুক্তি সিস্টেমের সাথে সারিবদ্ধ।
"The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","উদ্দেশ্য হল অঙ্গনওযাডি কেন্দ্রের (AWC), অঙ্গনওযাডি কর্মীদের (AWWs) পরিষেবা প্রদান এবং গর্ভবতী মহিলাদের, স্তন্যদানকারী মা এবং শিশুদের জন্য সম্পূর্ণ সুবিধাভোগী ব্যবস্থাপনার 360-ডিগ্রি ভিউ প্রদান করা।"
The public dashboard helps to impart transparency on services delivered to beneficiaries,পাবলিক ড্যাশবোর্ড সুবিধাভোগীদের প্রদান করা পরিষেবাগুলিতে স্বচ্ছতা প্রদানে সহাযতা করে
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,পোশান ট্র্যাকার পোর্টাল এবং অ্যাপ চ্যাটবটের অনুবাদগুলি তৃতীয পক্ষের অনুবাদকদের দ্বারা করা হয।
"While the translations are done on a best effort basis, some of the parts may be incorrect.","যদিও অনুবাদগুলি সর্বোত্তম প্রচেষ্টার ভিত্তিতে করা হয, তবে কিছু অংশ ভুল হতে পারে।"
Certain files and other items on the website cannot be translated.,ওযেবসাইটের কিছু ফাইল এবং অন্যান্য আইটেম অনুবাদ করা যাবে না।
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","উপরন্তু, অনুবাদ করলে, কিছু অ্যাপ্লিকেশন এবং/অথবা পরিষেবাগুলি প্রত্যাশিতভাবে কাজ নাও করতে পারে, ভাষার বাধার কারণে।"
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","এই পোর্টালে প্রদত্ত অনুবাদগুলিতে যেকোন ত্রুটি, বাদ পডা বা অস্পষ্টতা সংশোধন করার জন্য আমরা ক্রমাগত কাজ করছি।"
AWH Position Filled,AWH পদ পূরণ
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ব্যাপকভাবে বিভিন্ন জাতিগত পটভূমি এবং সাংস্কৃতিক সেটিং (ব্রাজিল, ঘানা, ভারত, নরওযে, ওমান এবং মার্কিন যুক্তরাষ্ট্র) থেকে আনুমানিক 8500 শিশুর প্রাথমিক বৃদ্ধির তথ্য এবং সম্পর্কিত তথ্য সংগ্রহ করেছে।"
Ratua - I Addl.,রাতুযা - I আমি অ্যাডিশনাল
Please enter Height,অনুগ্রহ করে উচ্চতা লিখুন
Harda Gramin 2,হার্ডা গ্রামিন 2
Children of different age groups are monitored on monthly basis by AWWs.,AWWs দ্বারা মাসিক ভিত্তিতে বিভিন্ন বযসের শিশুদের পর্যবেক্ষণ করা হয।
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","স্বাস্থ্য সূচক যেমন স্টান্টিং, ওযেস্টিং এবং কম ওজনের প্রাদুর্ভাব WHO-এর মান অনুযাযী পরিমাপ করা হয।"
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,নিযমিত বৃদ্ধি পর্যবেক্ষণ AWW-কে শিশুদের প্রাসঙ্গিক এবং সমযমত সহাযতা প্রদান করতে সাহায্য করে
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","শিশুদের মধ্যে অপুষ্টি প্রতিরোধে শিশুদের বৃদ্ধিতে বাধা, অপুষ্টির ব্যাপারে সচেতনতা"
Create a New Ticket,একটি নতুন টিকিট তৈরি করুন
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","সাইটটি এবং সমস্ত ডেটা, টেক্সট, ডিজাইন, পেজ, প্রিন্ট স্ক্রিন, ছবি, আর্টওযার্ক, ফটোগ্রাফ, অডিও এবং ভিডিও ক্লিপ, এইচটিএমএল কোড, সোর্স কোড, বা সফ্টওয্যার যা সাইটে থাকে বা দেখা যায বা খুজে পাওযা যায, এবং যে সমস্ত অংশগ্রহণকারীদের সাইট থেকে বুক করা হযেছে, (সম্মিলিতভাবে, ""বিষযবস্তু"" হিসাবে অভিহিত) তারা মহিলা ও শিশু উন্নযন মন্ত্রণালয এবং তাদের অনুমোদিত পরিষেবা প্রদানকারীদের মালিকানাধীন।"
Jaleswar Icds Project,জালেওযার আইসিডিএস প্রকল্প
Poshan Tracker adds new application features,পোশান ট্র্যাকার নতুন অ্যাপ্লিকেশন বৈশিষ্ট্য যোগ করে
Making or Updating Home Visit Planner and Initiating home visits,হোম ভিজিট প্ল্যানার তৈরি বা আপডেট করা এবং হোম ভিজিট শুরু করা
Uraiyur    Project-1,উরাইউর প্রকল্প-1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),পোশান ক্যালকুলেটর বিশ্ব স্বাস্থ্য সংস্থা (WHO) দ্বারা সংজ্ঞাযিত মানগুলির উপর ভিত্তি করে শিশুদের বৃদ্ধি পরিমাপ করার জন্য ডিজাইন করা হযেছে।
Asthampatti (Sal Pro 1),অস্থমপট্টি (সাল প্রো 1)
Migrated from one category to another,এক শ্রেণী থেকে অন্য শ্রেণীতে স্থানান্তরিত হযেছে
Icds Parappa Additional,আইসিডিএস পারাপ্পা অ্যাডিশনাল
Binpur - I Adl.,বিনপুর - I অ্যাডিশনাল
Wasting (Weight for Height)-,অপুষ্টি(উচ্চতা অনুযাযী ওজন)-
Soreng Rural Project,সোরেং গ্রামীণ প্রকল্প
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,এটি সাধারণত তখনই ঘটে যখন একজন ব্যক্তি পর্যাপ্ত মানের এবং পরিমাণে খাবার না পায এবং/অথবা সে ঘন ঘন অসুস্থ হযে পরে বা দীর্ঘস্থাযী অসুস্থতা থাকে
Dinhata - I Addl,দিনহাটা - I অ্যাডিশনাল
Mohgaon - R,মোহগাঁও - আর
"Malnutrition is one of the most important challenges facing contemporary India.Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.","সমসামযিক ভারতে অপুষ্টি একটি অন্যতম গুরুত্বপূর্ণ চ্যালেঞ্জ পুষ্টি জাতীয এবং বৈশ্বিক টেকসই উন্নযন লক্ষ্য অর্জনের কেন্দ্রীয হিসাবে স্বীকৃত।মহিলাদের এবং শিশুদের সমাজে দরিদ্র স্বাস্থ্য ও দারিদ্র্যের আন্তঃজাগতিক চক্রকে বেঁচে থাকার, উন্নতি করতে এবং ভাঙার জন্য সর্বোত্তম এবং উপযুক্ত পুষ্টি প্রযোজনীয।অপুষ্টির অন্তর্নিহিত কারণগুলি যার ফলে শিশুরা এবং প্রাপ্তবযস্কদের বর্ধিত হয, দারিদ্র্য, মহিলা শিক্ষার স্বল্প মাত্রা, পরিষ্কার পানীয জলের অ্যাক্সেসের অভাব, স্যানিটেশন এবং স্বাস্থ্যবিধি, মাতৃ বৈশিষ্ট্য, অপর্যাপ্ত নিরামযের মতো অর্থনৈতিক ও সামাজিক কারণগুলিতে বহুবিচিত্র এবং মূল রযেছে প্রতিরোধমূলক স্বাস্থ্যসেবা, মাতৃ, গৃহস্থালী এবং সম্প্রদাযের সংস্থান এবং মহিলা ক্ষমতাযন।"
Panskura- II ICDS,পাঁশকুডা - II আইসিডিএস
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","পশান অভিযান হ'ল শিশু, কিশোর, গর্ভবতীদের পুষ্টির ফলাফল উন্নত করার জন্য ভারতের এক নিজস্ব কর্মসূচি।"
Reference data not available.,রেফারেন্স তথ্য উপলব্ধ নেই।
Hot Cooked Meal (HCM) given in last 30 days,গত ৩০ দিনের মধ্যে দেওযা গরম রান্না করা খাবার (এইচসিএম)
English Bazar Adl,ইংলিশ বাজার অ্যাডিশনাল
"Dhalpukhuri Icds Project, Hojai.","ধলপুখুরি আইসিডিএস প্রকল্প, হোজাই।"
Underweight (Weight for Age)-,কম ওজন (বযসের অনুযাযী ওজন)-
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,পোশান ট্র্যাকারে অঙ্গনওযাডি পরিষেবা প্রকল্পের ডেটা আপলোড করা
On the Map,মানচিত্রে
Prayagraj City 2,প্রযাগরাজ শহর 2
Terms of Service,পরিষেবা পাওযার শর্ত
Poshan Tracker Process Flow,পশান ট্র্যাকার প্রক্রিযা প্রবাহ
New Khar Santacruz,নতুন খর স্যান্টাক্রুজ
Enter Date of Birth,জন্মের তারিখ লিখুন
0 months to 5 years,0 মাস থেকে 5 বছর
Delhi Project 1,দিল্লি প্রকল্প 1
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,পোশান ট্র্যাকার শেষ-মাইলের গুরুত্বপূর্ণ সুবিধাভোগীদের জন্য স্বযংক্রিয অ্যালার্ট তৈরী করে।
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,এটি সুবিধাভোগী এবং দাযিত্ব বহনকারীদের রিযেল-টাইম উপস্থিতি নথিভুক্ত করে বিতরণ ব্যবস্থার একটি দক্ষ নিরীক্ষা নিশ্চিত করে।
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","এই ম্যানেজমেন্ট ইনফরমেশন সিস্টেম পুষ্টি প্রোগ্রামকে দক্ষতার সাথে মাপতে সাহায্য করবে, যার ফলে একটি ইতিবাচক প্রভাব তৈরি এবং নথিভুক্ত করবে"
How can one Download Poshan Tracker App?,কীভাবে একজন পশান ট্র্যাকার অ্যাপ্লিকেশন ডাউনলোড করতে পারেন?
AWC Opening and AWW behaviour,এডাব্লুসি (AWC) খোলা এবং এডাব্লুডাব্লু (AWW)-এর আচরণ
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","আমরা একটি আইনি অনুরোধ, সপিনা, বা অন্যান্য আইনি প্রক্রিযার প্রতিক্রিযা হিসাবে আপনার তথ্য অ্যাক্সেস করতে, সংরক্ষণ করতে এবং শেযার করতে পারি বা যদি আমরা বিশ্বাস করি যে প্রকাশটি (1) জালিযাতি বা বেআইনি কার্যকলাপের বিষযে তদন্ত, প্রতিরোধ বা ব্যবস্থা নেওযার জন্য যুক্তিসঙ্গতভাবে প্রযোজনীয।বা সরকারী প্রযোগকারী সংস্থাগুলিকে সহাযতা করা; (2) আপনার সাথে আমাদের চুক্তি কার্যকর করা; (3) কোনো তৃতীয পক্ষের দাবি বা অভিযোগের বিরুদ্ধে তদন্ত এবং আত্মরক্ষা করা; (4) আমাদের পরিষেবাগুলির নিরাপত্তা বা অখণ্ডতা রক্ষা করা (যেমন একই ধরনের থ্রেটের সম্মুখীন কোম্পানিগুলির সাথে ভাগ করে নেওযার মাধ্যমে); অথবা (5) যে কোনো ব্যক্তির অধিকার ও নিরাপত্তা প্রযোগ বা রক্ষা করা।"
Binpur - Ii,বিনপুর - I
Available in 12 different languages,১২ টি বিভিন্ন ভাষায উপলভ্য
"Clarification regarding Cost of Smart phones (03 June, 2021)","স্মার্ট ফোনের দাম সম্পর্কে ব্যাখ্যা (০৩ জুন, ২০২১)"
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc., to ensure efficiency and effective outcomes.","শিশু, কৈশোর, গর্ভবতী মহিলা এবং স্তন্যদানকারী মাযেদের প্রযুক্তি উন্নযনের মাধ্যমে পুষ্টির ফলাফল উন্নত করার লক্ষ্যে পশান অভিযান হ'ল ভারত সরকারের একটি কর্মসূচী, লক্ষ্যযুক্ত দৃষ্টিভঙ্গি এবং একীকরণ।দক্ষতা এবং কার্যকর ফলাফল নিশ্চিত করতে স্বাস্থ্য, পুষ্টি, স্যানিটেশন সেক্টর ইত্যাদির বিভিন্ন কর্মসূচির মধ্যে সমন্বয তৈরি করার উপর এই উদ্যোগের উপর জোর দেওযা হযেছে।"
Observing Breastfeeding In Newborn Babies,নবজাতক শিশুদের বুকের দুধ খাওযানো পর্যবেক্ষণ করা
Dzongu Tribal Project,জংগু উপজাতি প্রকল্প
Gadchiroli - Maharashtra,গাডচিরলি - মহারাষ্ট্র
New Hanuman Nagar,নিউ হনুমান নগর
West Jaintia Hills,পশ্চিম জৈন্তিযা পাহাড
BARUIPUR Addl.ICDS PROJECT,বারুইপুর অ্যাডিশনাল আইসিডিএস প্রকল্প
Raghunathganj - I Addl.,রঘুনাথগঞ্জ - I অ্যাডিশনাল
Cooch Behar I Addl,কোচবিহার I অ্যাডিশনাল
along with status update once resolved,স্ট্যাটাস আপডেট সহ একবার সমাধান করা হযে গেছে
Shar Slum Akbarpur,শার বস্তি আকবরপুর
Sheopur - Madhya Pradesh,শিউপুর - মধ্য প্রদেশ
Tehatta 1 Addl,তেহাট্টা 1 অ্যাডিশনাল
East Jaintia Hills,পূর্ব জৈন্তিযা পাহাড
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","আমরা নিরাপত্তার উদ্দেশ্যে বা আমাদের পরিষেবার শর্তাবলী এবং/অথবা আমাদের সদস্য, দর্শক বা অন্যদের ক্ষতি করার প্রচেষ্টার সম্ভাব্য জালিযাতি বা অন্যান্য লঙ্ঘন প্রতিরোধ বা তদন্ত করার জন্য আপনার ডেটা (আপনার যোগাযোগ সহ) ব্যবহার করি।"
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",সিস্টেমের নিরাপত্তা এবং মাপযোগ্যতার জন্য MWCD দ্বারা নিযুক্ত অডিটরদের দ্বারা পোশান ট্র্যাকার সিস্টেমটি নিযমিতভাবে নিরীক্ষিত হয।
The records may be used for such audits.,এই ধরনের নিরীক্ষার জন্য রেকর্ড ব্যবহার করা যেতে পারে।
Chinsurah Mogra Addl.,চুনসুরা মোগডা অ্যাডিশনাল
Mohan Lal Ganj,মোহন লাল গঞ্জ
Mira Bhayandar Virar,মীরা ভাযন্দর বীরার
Poshan Tracker adds new Resources on Website,পোশান ট্র্যাকার ওযেবসাইট বৈশিষ্ট্যে নতুন সংস্থান যোগ করে
Please Enter Valid Mobile Number,অনুগ্রহ করে বৈধ মোবাইল নম্বর লিখুন
Suti II Addl,সুটি II অ্যাডিশনাল
Home Visit Alerts,হোম ভিজিট সতর্কতা
How to use Poshan Calculator?,পোষান ক্যালকুলেটর কিভাবে ব্যবহার করবেন?
Beneficiary record becoming inactive,সুবিধাভোগী রেকর্ড নিষ্ক্রিয হযে যাচ্ছে
2.4. Security and Audit.,2.4. নিরাপত্তা এবং নিরীক্ষা।
Firozabad City 1,ফিরোজাবাদ সিটি 1
Theni - Urban,থেনি - আরবান
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.","'পোশান ট্র্যাকার' হল একটি মোবাইল ভিত্তিক অ্যাপ্লিকেশন, যা ভারত সরকারের মহিলা ও শিশু উন্নযন মন্ত্রক, 1লা মার্চ 2021 থেকে ন্যাশনাল ই-গভর্নেন্স ডিভিশন (NeGD), MyGov-এর মাধ্যমে একটি গুরুত্বপূর্ণ গভর্নেন্স টুল হিসাবে চালু করেছে।"
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","পোশান ট্র্যাকারের অধীনে প্রযুক্তিটি বৃদ্ধিতে বাধা, অপুষ্টি, শিশুদের মধ্যে কম ওজনের প্রাদুর্ভাব এবং পুষ্টি পরিষেবা সরবরাহের শেষ মাইল ট্র্যাকিংযের গতিশীল সনাক্তকরণের জন্য ব্যবহার করা হচ্ছে"
Dadra & Nagar Haveli,দাদরা ও নগর হাভেলি
Habibpur Addl.2,হাবিবপুর অ্যাডিশনাল 2
Icds Tirur Addl,আইসিডিএস তিরুর অ্যাডিশনাল
Raipur-  Karchulian-2,রাযপুর- কারচুলিযান -2
The System also takes feedback about system performance and experience.,সিস্টেমটি সিস্টেমের কর্মক্ষমতা এবং অভিজ্ঞতা সম্পর্কে মতামত নেয।
"Information on name, mobile number, date of registration and health status may be used for these purposes","নাম, মোবাইল নম্বর, নিবন্ধনের তারিখ এবং স্বাস্থ্যের স্থিতির তথ্য এই উদ্দেশ্যে ব্যবহার করা যেতে পারে"
Medchal - Malkajigiri,মেডচাল মালকাজগিরি
Poshan Tracker App,পোশান ট্র্যাকার অ্যাপ
Aspirational Districts Program,অ্যাসপিরেশনাল ডিসট্রিক্ট প্রোগ্রাম
Kultali Addl.,কুলতলী অ্যাড.
ICDS Project,আইসিডিএস প্রকল্প
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.You may, however, choose not to share personal data where providing the data is optional.","আপনি যখন আমাদের পরিষেবাগুলি ব্যবহার করেন, এবং আপনি যখন একটি অ্যাকাউন্টের জন্য সাইন আপ করেন তখন আমরা আপনার দ্বারা প্রদান করা বিষয এবং অন্যান্য তথ্য সংগ্রহ করি।এতে অন্তর্ভুক্ত থাকতে পারে- (i) নাম (ii) মোবাইল নম্বর (iii) জন্ম তারিখ (iv) লিঙ্গ (v) সন্তানের নাম (vi) আধার নম্বর (vii) ঠিকানাআপনি যদি এমন ডেটা প্রদান না করেন যা আপনাকে একটি পণ্য বা বৈশিষ্ট্য সরবরাহ করার জন্য প্রযোজনীয, আপনি সেই পণ্য বা বৈশিষ্ট্যটি ব্যবহার করতে পারবেন না।তবে, আপনি ব্যক্তিগত ডেটা ভাগ না করার বিকল্প বেছে নিতে পারেন যেখানে ডেটা প্রদান করা ঐচ্ছিক।।"
Tracking of services to the end beneficiary at a click of a button.,ব্যাস একটি বোতামের ক্লিকেই শেষ সুবিধাভোগী পর্যন্ত পরিষেবার ট্র্যাকিং।
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","টেক হোম রেশন (THR) এবং গরম রান্না করা খাবার (HCM), শিশু এবং গর্ভবতী মহিলাদের জন্য টিকা প্রদানের মতো পরিষেবা"
Enter Weight in kilogram,কিলোগ্রামে ওজন লিখুন
Garbeta - I Adl.,গডবেতা - I অ্যাডিশনাল
Lakhimpur Kheri City,লখিমপুর খেরি সিটি
"New Poshan Tracker App (13 January, 2021)","নতুন পশান ট্র্যাকার অ্যাপ (১৩ জানুযারী, ২০২১)"
Preventing illnesses to avert Malnutrition and Death,অপুষ্টি এবং মৃত্যু এডাতে অসুস্থতা প্রতিরোধ করা
Ketugram - II,কেতুগ্রাম - II
Jamuria - II,জামুরিযা - II
Pachim Mangaldai Icds Project,পাচিম মঙ্গালদাই আইসিডিএস প্রকল্প
Chandrakona - I,চন্দ্রকোনা - I
N & M Andaman,উত্তর ও মধ্য আন্দামান
Scan the QR Code to Download the App,অ্যাপটি ডাউনলোড করতে QR কোড স্ক্যান করুন
North 24 Parganas,উত্তর ২৪ পরগনা
UJJAIN - U,উজ্জযিনী - ইউ
Pregnant women who received Take Home Ration (THR),গর্ভবতী মহিলারা যারা টেক হোম রেশন (THR) পেযেছেন
Icds Kasrgod Addl,আইসিডিএস কাসারগোড অ্যাডিশনাল
Please enter valid Height,বৈধ উচ্চতা লিখুন
How one can add AWW/AWCs?,কীভাবে কেউ AWW/AWCs যুক্ত করতে পারে?
Khatra - I,খাতরা - I
West Khasi Hills,পশ্চিম খাসি পাহাড
Growth Monitoring Assessment Charts,গ্রোথ মনিটরি করার জন্য অ্যাসেসমেন্ট চার্ট
Memari - I,মেমারি - I
Raiganj (R) Addl.,রাযগঞ্জ (আর.) অ্যাডিশনাল
Assessment of growth in children,শিশুদের বৃদ্ধির মূল্যাযন
South West Khasi Hills,দক্ষিণ পশ্চিম খাসি পাহাড
Request for Take Home Ration,টেক হোম রেশনের জন্য অনুরোধ করুন
CANNING II MAIN,ক্যানিং II মেইন
Siliguri (U) ICDS PROJECT,শিলিগুডি (ইউ) আইসিডিএস প্রকল্প
General Awareness on SAM and MAM,SAM এবং MAM সম্পর্কে সাধারণ সচেতনতা
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","না, কোনও বৈধ ইন্টারনেট সংযোগ ছাডা এই অ্যাপটি কাজ করে না।"
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India.","অনুমোদিত সংস্থাগুলি ভারত সরকার দ্বারা প্রতিষ্ঠিত সমস্ত প্রযোজ্য আইন, প্রবিধান, নীতি এবং তৃতীয পক্ষের অধিকারগুলি (সহ এবং সীমাবদ্ধতা ছাডাই, ডেটা বা সফ্টওয্যার আমদানি বা রপ্তানি সংক্রান্ত কোনো আইন, গোপনীযতা এবং স্থানীয আইন) মেনে চলবে।"
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,এই সংস্থাগুলি পোশান ট্র্যাকারের সাথে এই শর্তাদি সহ অবৈধ কার্যকলাপ বা তৃতীয পক্ষের অধিকার লঙ্ঘনকে উত্সাহিত বা প্রচার করতে APIs/ নো-কোড ওযেবপেজ ইন্টিগ্রেশন ব্যবহার করবে না।
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","গর্ভবতী মহিলা, স্তন্যদানকারী মা, 6 মাস থেকে 3 বছর বযসী শিশু এবং কিশোরী মেযেরা।"
6. DATA SECURITY,6. তথ্য নিরাপত্তা
South Salmara Mankachar,দক্ষিণ সালমারা মানকচর
0 months to 6 years,0 মাস থেকে 6 বছর
CHECK TICKET STATUS,টিকেট স্ট্যাটাস চেক করুন
Icds Kanhangad Addl,আইসিডিএস কানহানগড অ্যাডিশনাল
CDPO Ghatkopar Urban,সিডিপিও ঘাটকোপার আরবান
Target / Total no.of,লক্ষ্য / মোট নং এর
Enter Email Address,ইমেইল অ্যাড্রেস লিখুন
Dholpur - Rajasthan,ঢোলপুর - রাজস্থান
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","নতুন পশান ট্র্যাকার অ্যাপঃ CSC-SPV নোডাল পারসান (০২ ফেব্রুযারি, ২০২১)"
Udam Singh Nagar,উধম সিং নগর
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,একটি AWW একটি AWC থেকে অন্য AWC-তে তাদের আধার নম্বরের ভিত্তিতে স্থানান্তর করতে 'মাইগ্রেট বেনিফিশিযারি' বিকল্প ব্যবহার করতে পারেন।
Narot Jaimal Singh,নরোট জযমাল সিং
Balasore Sadar I,বালাসোর সদর I
General Awareness for Pregnancy,গর্ভাবস্থার জন্য সাধারণ সচেতনতা
Fatehpur - 84,ফতেহপুর - 84
A beneficiary is eligible for HCM for at least 21 days in a month.,একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য HCM পাওযার যোগ্য।
Alipurduar - II Addl.,আলিপুরদুযার - II অ্যাডিশনাল
ABHA (Health ID) and its Benefits,ABHA (স্বাস্থ্য আইডি) এবং এর সুবিধা
Jorebunglow Sukiapokhri Adl,জোরবাংলো সুকিযাপোখরি অ্যাডিশনাল
"We'ar sorry, the page you requested could not be found.","আমরা দুঃখিত, আপনি অনুরোধ করা পৃষ্ঠাটি পাওযা যাযনি।"
Rani Ki Sarai,রানি কি সারাই
Project Ii Saibaba Colony,প্রকল্প II সাইবাবা কলোনী
Who is a beneficiary?,একজন সুবিধাভোগী কে?
Dadra & Nagar Haveli - Daman & Diu,দাদরা ও নগর হাভেলি - দমন ও দিউ
Download Mobile App from Play Store,প্লে স্টোর থেকে মোবাইল অ্যাপ ডাউনলোড করুন
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws.","আপনার গোপনীযতা এবং ব্যক্তিগত তথ্যের ক্ষতি, অপব্যবহার, অননুমোদিত অ্যাক্সেস, প্রকাশ, নিপাত এবং প্রযোজ্য আইন মেনে তথ্যের পরিবর্তন থেকে রক্ষা করার জন্য পোশান ট্র্যাকার প্ল্যাটফর্মে যুক্তিসঙ্গত নিরাপত্তা ব্যবস্থা এবং সুরক্ষা ব্যবস্থা রযেছে।"
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","উপরন্তু, যখনই আপনি সিস্টেমে আপনার অ্যাকাউন্ট বা এটি সম্পর্কিত কোনো তথ্য পরিবর্তন করেন বা অ্যাক্সেস করেন, আমরা একটি সুরক্ষিত সার্ভার ব্যবহারের প্রস্তাব দিই।"
