eng,as
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,ইযাক কেন্দ্ৰীকৃত ডাটা আৰ্কিটেকচাৰ ব্যৱহাৰ কৰি সাজি উলিওৱা হয যি আন মন্ত্ৰালয আৰু প্ৰগ্ৰাম সমূহৰ ডিজিটেল প্ৰযুক্তি চিষ্টেমৰ সৈতে সমৰৈখিক হয।
"The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","উদ্দেশ্য হৈছে অংগনৱাডী কেন্দ্ৰ সমূহৰ (AWC) কাৰ্য-কলাপ, অংগনৱাডী কৰ্মী (AWW) সকলে আগবঢোৱা সেৱা আৰু গৰ্ভৱতী মহলা, দুগ্ধপান কৰোৱা মাতৃ আৰু শিশুসকলৰ বাবে সম্পূৰ্ণ হিতাধিকাৰী ব্যৱস্থাপনাৰ এটা 360-ডিগ্ৰী অৱলোকন আগবঢোৱা।"
The public dashboard helps to impart transparency on services delivered to beneficiaries,ৰাজহুৱা ডেশ্ববোৰ্ডে হিতাধিকাৰীসকললৈ আগবঢোৱা সেৱা সমূহৰ ওপৰত স্বচ্চতা প্ৰদান কৰাত সহায কৰে
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,পোষণ ট্ৰেকাৰ পৰ্টেল আৰু এপ চাটব'টৰ অনুবাদ তৃতীয পক্ষ অনুবাদকৰ দ্বাৰা সম্পন্ন হয।
"While the translations are done on a best effort basis, some of the parts may be incorrect.","যদিও অনুবাদ সমূহ সৰ্বোত্তম প্ৰযাসেৰে সম্পন্ন কৰা হয, কিছু অংশ অশুদ্ধও হৈ ৰব পাৰে।"
Certain files and other items on the website cannot be translated.,ৱেবচাইটটোৰ কিছুমান ফাইল বা আন সামগ্ৰী অনুবাদ কৰিব পৰা নাযায।
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","ইযাৰ উপৰি, অনুবাদত, কিছুমান এপ্লিকেচন আৰু/বা সেৱাই ভাষাৰ অন্তৰাযৰ ফলত, আশানুৰূপ ভাৱে কাম নকৰিব পাৰে।"
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","আমি এই পৰ্টেলত আগবঢোৱা অনুবাদ সমূহত যিকোনো ত্ৰুটি, বাদ পৰা তথ্য, বা অন্য সম্ভাৱনা সংশোধন কৰিবলৈ অবিৰত কাম কৰি আছো।"
AWH Position Filled,AWH পজিচন পূৰ হৈছে
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS-যে ব্যাপক ৰূপত বিভিন্ন নৃগোষ্ঠীগত পটভূমি আৰু সাংস্কৃতিক পৃষ্ঠভূমিৰ (ব্ৰাজিল, ঘানা, ভাৰত, নৰৱে, ওমন আৰু USA) পৰা প্ৰায 8500 গৰাকী শিশুৰ পৰা প্ৰাথমিক বিকাশত তথ্য আৰু সম্পৰ্কিত তথ্য সংগ্ৰহ কৰিছিল।"
Ratua - I Addl.,ৰতুৱা - I এডল।
Please enter Height,অনুগ্ৰহ কৰি উচ্চতা প্ৰদান কৰক
Harda Gramin 2,হৰদা গ্ৰামীণ 2
Children of different age groups are monitored on monthly basis by AWWs.,বিভিন্ন বযসৰ শিশু সকল মাহেকীযা ভিত্তিত AWW সকলৰ দ্বাৰা নিৰীক্ষিত হয।
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","বাওনা হোৱা, পুষ্টিহীনতাত ভোগা আৰু কম ওজনৰ বিস্তাৰৰ দৰে স্বাস্থ্যজনিত সূচক সমূহ WHO মান অনুসৰি জোখা হয।"
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,নিযমীযা বৃদ্ধিৰ নিৰীক্ষণে AWW সকলক শিশুসকললৈ প্ৰাসংগিক আৰু সমযমতে সহযোগিতা আগবঢোৱাত সহায কৰে
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","শিশুসকলৰ মাজত শিশু বাওনা হোৱা, বিষমপপুষ্টিক বাধা দিবলৈ পুষ্টিহীনতাৰ বাবে সজাগতা"
Create a New Ticket,এটা নতুন টিকট প্ৰস্তুত কৰক
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","চাইটটো আৰু সকলোবোৰ ডাটা, টেক্সট, ডিজাইন, পেজ, প্ৰিণ্ট স্ক্ৰীণ, ইমেজ, আৰ্টৱৰ্ক, ফটোগ্ৰাফ, অডিঅ' আৰু ভিডিঅ' ক্লিপ, HTML কোড, চোৰ্চ কোড, বা চফ্টৱেৰ যি চাইটটোত থাকিব পৰা বা চাব পৰা বা অন্যথা আৱিস্কাৰযোগ্য হয, আৰু সকলো অংশগ্ৰহণকাৰী চাইটটোৰ পৰা বুক হয, (সামগ্ৰিকভাৱে, ""কন্টেন্ট"" হিচাপে নাম দিযা হয) মহিলা আৰু শিশু বিকাশ মন্ত্ৰালয আৰু তেওঁলোকৰ অনুমোদিত সৱা প্ৰদানকাৰীসকলৰ দ্বাৰা স্বত্বাধীন হয।"
Jaleswar Icds Project,জলেশ্বৰ আইচডিএছ প্ৰকল্প
Poshan Tracker adds new application features,পোশান ট্ৰেকাৰে নতুন এপ্লিকেচন সুবিধা যোগ কৰে
Making or Updating Home Visit Planner and Initiating home visits,হোম ভিজিটৰ প্লেনাৰ প্ৰস্তুত কৰা বা আপডেট কৰা আৰু হোপ ভিজিটৰ সূচনা কৰা
Uraiyur    Project-1,উৰিযাযুৰ প্ৰকল্প-1
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),পোষণ কেলকুলেটৰ বিশ্ব স্বাস্থ্য সংস্থা (WHO) ৰ দ্বাৰা নিৰ্ধাৰিত মানৰ ওপৰত ভিত্তি কৰি শিশুৰ বিকাশ জুখিবলৈ সাজি উলিওৱা হৈছে
Asthampatti (Sal Pro 1),অষ্টমপট্টি (চাল প্ৰো 1)
Migrated from one category to another,এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা হৈছে
Icds Parappa Additional,আইচিডিএছ পাৰাপ্পা অতিৰিক্ত
Binpur - I Adl.,বিনপুৰ - I এডল।
Wasting (Weight for Height)-,পুষ্টিহীনতা (উচ্চতাৰ বাবে ওজন)
Soreng Rural Project,চোৰেং গ্ৰাম্য প্ৰকল্প
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ই সাধাৰণতে তেতিযা সংঘটিত হয যেতিযা এগৰাকী লোকে পৰ্যাপ্ত মানদণ্ডৰ আৰু পৰিমাণৰ খাদ্য লাভ নকৰে আৰু/বা তেওঁলোকৰ ঘনাই হৈ থকা বা দীিৰ্গাযিত ৰোগ হয
Dinhata - I Addl,দিনহাটা - I এডল
Mohgaon - R,মহগাঁও - আৰ
Malnutrition is one of the most important challenges facing contemporary India.,মালনিউট্রিশন ২ ওযান অফ টি মোস্ট ইম্পরট্যান্ট চ্যালেঞ্জেস ফাকিং কনটেম্পোরারি ইন্ডিযা.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,নিউট্রিশন ২ অকনোলেজড এস সেন্ট্রাল তো টি অ্যাচিভমেন্ট অফ ন্যাশনাল এন্ড গ্লোবাল সুস্টাইনাবলে ডেভেলপমেন্ট গোলস.
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.","অপটিমাম এন্ড অপপ্রোপ্রিযেতে নিউট্রিশন ২ এসএনটিযাল ফর ওমেন এন্ড চিলড্রেন তো সুরভিভে, থ্রিভে এন্ড ব্র্যাক ইন্টারগেনেরাশনাল সাইকেল অফ পুওর হেলথ এন্ড পভার্টি ইন টি কমিউনিটি."
"The underlying causes of malnutrition that results in undersized children and adults, are multifaceted and rooted in economic and social factors such as poverty, low levels of female literacy, lack of access to clean drinking water, sanitation and hygiene, maternal characteristics, inadequate curative and preventive health care, maternal, household and community resources and women empowerment.","টি উন্ডারলাযিং কাউসেস অফ মালনিউট্রিশন ্থাৎ রেজাল্টস ইন উন্দেরসিজেড চিলড্রেন এন্ড এডাল্টস, অরে মাল্টিফাসেটেড এন্ড রুটেড ইন ইকোনমিক এন্ড সোশ্যাল ফ্যাক্টর্স সুচ এস পভার্টি, লো লেভেলস অফ ফিমেল লিটারেসি, লাক অফ এক্সেস তো ক্লিন ড্রিংকিং ওযাটার, স্যানিটেশন এন্ড হাইজিন, ম্যাটার্নাল চর্যাক্টরিসটিক্স, ইনডকোযাতে কুরাটিভ এন্ড প্রিভেন্টিভ হেলথ কেযার, ম্যাটার্নাল, হৌসেহোল্ড এন্ড কমিউনিটি রিসোর্সেস এন্ড ওমেন এমপাওযারমেন্ট."
Check Ticket Status,টিকটৰ ষ্টেটাছ পৰীক্ষা কৰক
Panskura- II ICDS,পান্সকুৰা- II আইচিডিএছ
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","শিশু, বযঃসন্ধিকাল, গৰ্ভাৱস্থাৰ বাবে পুষ্টিৰ ফলাফল উন্নত কৰাৰ বাবে পোষণ অভিযান হৈছে ভাৰতৰ মুখ্য কাৰ্যসূচী।"
Reference data not available.,ৰেফাৰেঞ্চ ডাটা উপলব্ধ নহয।
Hot Cooked Meal (HCM) given in last 30 days,হট কুকড মীল (এইচচিএম) শেষৰ ৩০ দিনত দিযা হয
English Bazar Adl,ইংৰাজী বজাৰ আডল
"Dhalpukhuri Icds Project, Hojai.","ধলপুখুৰী আইচিডিএছ প্ৰকল্প, হোজাই।"
Underweight (Weight for Age)-,কম ওজন (বযসৰ বাবে ওজন)-
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,পোষণ ট্ৰেকাৰত অংগনৱাডী সেৱাসমূহৰ আঁচনি সমূহৰ ডাটা আপলোড হৈ আছে
On the Map,মানচিত্ৰত
Prayagraj City 2,প্ৰযাগৰাজ চহৰ 2
Poshan Tracker Process Flow,পোচন ট্ৰেকাৰ প্ৰক্ৰিযা প্ৰবাহ
New Khar Santacruz,নতুন খাৰ চান্টাক্ৰুজ
Enter Date of Birth,জন্মৰ তাৰিখ প্ৰদান কৰক
0 months to 5 years,0 মাহৰ পৰা 5 বছৰ
Delhi Project 1,দিল্লী প্ৰকল্প 1
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,পোষণ ট্ৰেকাৰে গুৰুত্বপূৰ্ণ অন্তিম পৰ্যাযৰ হিতাধিকাৰীসকললৈ অটোমেটেড এলাৰ্ট উৎপাদন কৰে।
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,ই হিতাধিকাৰী আৰু ডিউটি কৰা সকলৰ বাস্তৱ সমযৰ উপস্থিতি নথিভুক্ত কৰাৰ দ্বাৰা ডেলিভাৰী চিষ্টেমৰ নিপুণ অডিট সুনিশ্চিত কৰে।
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","এই মেনেজমেন্ট ইনফৰ্মেচন চিষ্টেমে নিপুণভাৱে জোখ লোৱাত, এনেদৰে ধনাত্মক প্ৰভাৱ উৎপন্ন কৰি আৰু নথিভুক্ত কৰি পৰিপুষ্টিৰ অনুষ্ঠানক সহায কৰিব"
How can one Download Poshan Tracker App?,পোষণ ট্ৰেকাৰ এপ কেনেকৈ ডাউনলোড কৰিব পাৰি?
AWC Opening and AWW behaviour,AWC খোলা আৰু AWW আচৰণ
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","আমি হযতো এটা আইনগত অনুৰোধ, চমন বা আন কোনো আইনগত প্ৰক্ৰিযাৰ সঁহাৰিত আপোনাৰ তথ্যৰ প্ৰৱেশাধিকাৰ লাভ, সঞ্চয আৰু ভাগবতৰা কৰিব পাৰো বা যদি আমাৰ এটা ভাল বিশ্বাস থাকে যে প্ৰকাশ কৰা যুক্তিসংগতভাৱে প্ৰযোজনীয হয (1) প্ৰৱঞ্চনা বা বেআইনী কাৰ্যকলাপৰ সন্দৰ্ভত তদন্ত, বাধা বা ব্যৱস্থা গ্ৰহণ কৰা বা চৰকাৰী বলৱৎকাৰী সংস্থাক সহায কৰিবলৈ; (2) আপোনাৰ সৈতে আমাৰ চুক্তি কাৰ্যকৰী কৰে; (3) যিকোনো তৃতীয পক্ষৰ দাবী বা অভিযোগৰ বিৰিদ্ধে তদন্ত বা আত্মপক্ষ সমৰ্থন কৰে; (4) আমাৰ সেৱা সমূহৰ (একেধৰণৰ ভাবুকিৰ সন্মুখীন হোৱা কোম্পেনীবোৰৰ সৈতে ভাগ-বতৰা কৰি) সুৰক্ষা বা অখণ্ডতাক সুৰক্ষা দিযা; বা (5) কোনো লোকৰ অধিকাৰ আৰু নিৰাপত্তা অনুশীলন বা সুৰক্ষিত কৰা।"
Binpur - Ii,বিনপুৰ - II
Available in 12 different languages,অভাযলাবলে ইন ১২ ডিফারেন্ট লাঙ্গুযেজেস
"Clarification regarding Cost of Smart phones (03 June, 2021)","স্মাৰ্ট ফোনৰ ব্যয সম্পৰ্কে স্পষ্টীকৰণ (০৩ জুন, ২০২১)"
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","পোষণ অভিযান ২ টি গভর্নমেন্ট অফ ইন্ডিযা'স ফ্ল্যাগশিপ প্রোগ্র্যাম তো ইম্প্রোভ নিউট্রিশনাল অউটকেস ফর চিলড্রেন, এডোলেসেন্টস, প্রেগন্যান্ট ওমেন এন্ড ল্যাকটেটিং মঠেরস বই লেভারেজিং টেকনোলজি, এ টার্গেটেড এপ্রোচ এন্ড কোনভার্জেন্স."
"The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc.","টি ইনিশিযেটিভ লেস এমফাসিস ও ক্রিযেটিং সিনেগ্য বেটোফেন ভারিযাস প্রগ্রাম্মেস ইন হেলথ, নিউট্রিশন, স্যানিটেশন সেক্টরস এটিকে."
", to ensure efficiency and effective outcomes.",", তো ইন্সুরে এফিসিযেন্সি এন্ড এফেক্টিভ অউটকেস."
Observing Breastfeeding In Newborn Babies,নৱজাতক সকলৰ মাজত স্তন্যপানৰ নিৰীক্ষণ
Dzongu Tribal Project,ডিজংগু জনজাতীয প্ৰকল্প
Gadchiroli - Maharashtra,গাডচিৰলি - মহাৰাষ্ট্ৰ
New Hanuman Nagar,নতুন হনুমান নগৰ
West Jaintia Hills,পশ্চিম জযন্তীযা হিলছ
BARUIPUR Addl.,বাৰুইপুৰ এডল।
ICDS PROJECT,আইচিডিএছ প্ৰকল্প
Raghunathganj - I Addl.,ৰঘুনাথগঞ্জ - I এডল।
Cooch Behar I Addl,কুচবিহাৰ আই এডল
along with status update once resolved,সমাধান কৰা হৈ পিছত স্থিতি আপডেট
Shar Slum Akbarpur,শৰ বস্তি আকবৰপুৰ
Sheopur - Madhya Pradesh,শিওপুৰ - মধ্য প্ৰদেশ
Tehatta 1 Addl,তেহত্তা 1 এডল
East Jaintia Hills,পূৱ জযন্তীযা হিলছ
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.",আমি আপোনাৰ ডাটা (আপোনাৰ যোগাযোগকে ধৰি) সুৰক্ষাৰ উদ্দেশ্যে বা সম্ভাৱ্য প্ৰৱঞ্চনা বা আমাৰ সেৱাৰ চৰ্তাৱলীৰ অন্যান্য উলংঘনত আৰু/বা আমাৰ সদস্যসকলৰ ক্ষতিৰ প্ৰযাসত বাধা প্ৰদান কৰিবলৈ বা অনুসন্ধান কৰিবলৈ ব্যৱহাৰ কৰো।
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.","পোষণ ট্ৰেকাৰ চিষ্টেম, চিষ্টেমটোৰ সুৰক্ষা আৰু পৰিমাপনীযতাৰ বাবে, MWCD ৰ দ্বাৰা নিযোজিত অডিটৰ সকলৰ দ্বাৰা নিযমীযাকৈ অডিট কৰা হয।"
The records may be used for such audits.,ৰেকৰ্ড সমূহ এনে অডিট সমূহৰ বাবে ব্যৱহাৰ কৰা যাব পাৰে।
Chinsurah Mogra Addl.,চিনচুৰা মোগ্ৰা এডল।
Mohan Lal Ganj,মোহন লাল গঞ্জ
Mira Bhayandar Virar,মীৰা ভাযান্দৰ বিৰাৰ
Poshan Tracker adds new Resources on Website,পোশান ট্ৰেকাৰে ৱেবছাইট সুবিধাত নতুন সমল যোগ কৰে
Please Enter Valid Mobile Number,অনুগ্ৰহ কৰি বৈধ মোবাইল নম্বৰ প্ৰদান কৰক
Suti II Addl,চুতি II আড্ডল
Home Visit Alerts,হোম ভিজিটৰ এলাৰ্ট
How to use Poshan Calculator?,পোষণ কেলকুলেটৰ কেনেদৰে ব্যৱহাৰ কৰিব লাগে?
Beneficiary record becoming inactive,বেনিফিচাৰীৰ ৰেকৰ্ড নিষ্ক্ৰিয হোৱা
2.4. Security and Audit.,2.4. সুৰক্ষা আৰু অডিট।
Firozabad City 1,ফিৰোজাবাদ চিটি 1
Theni - Urban,থেনি - নগৰীযা
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.","'পোষণ ট্ৰেকাৰ' হৈছে 1 মাৰ্চ 2021 তাৰিখে মহিলা আৰু শিশু বিকাশ মন্ত্ৰালয, ভাৰত চৰকাৰৰ দ্বাৰা, ৰাষ্ট্ৰীয ই-শাসন ডিভিজন (NeGD), MyGov ৰ জৰিযতে এটা গুৰুত্বপূৰ্ণ শাসনৰ সঁজুলি হিচাপে প্ৰচলিত কৰা এটা মোবাইল ভিত্তিক এপ্লিকেচন।"
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","পোষণ ট্ৰেকাৰৰ অধীনত প্ৰযুক্তি শিশুসকলৰ মাজত বাওনা হোৱা, পুষ্টিহীনতাত ভোগা, কম ওজনৰ বিস্তাৰ আৰু পুষ্টি সেৱা ডেলিভাৰীৰ অন্তিম পৰ্যাযৰ ট্ৰেকিংৰ চিনাক্তকৰণৰ ডাইনেমিক চিনাক্তকৰণৰ বাবে ব্যৱহাৰ কৰা হয"
Dadra & Nagar Haveli,দাদৰা আৰু নগৰ হাভেলী
Habibpur Addl.,হাবিবপুৰ আড্ডল।
2,2
Icds Tirur Addl,আইচিডিএছ টিৰুৰ এডল
Raipur-  Karchulian-2,ৰাযপুৰ- কাৰচুলিযান-2
The System also takes feedback about system performance and experience.,চিষ্টেমটোৱে চিষ্টেমৰ পাৰফৰ্মেঞ্চ আৰু অভিজ্ঞতাৰ বিষযে ফীডবেক গ্ৰহণ কৰে।
"Information on name, mobile number, date of registration and health status may be used for these purposes","নাম, মোবাইল নম্বৰ, পঞ্জীযনৰ তাৰিখ আৰু স্বাস্থ্যৰ স্থিতিৰ তথ্য এই উদ্দেশ্যে ব্যৱহাৰ হ'ব পাৰে।"
Medchal - Malkajigiri,মেডচাল মলকাজজিৰি
Poshan Tracker App,পোষণ ট্ৰেকাৰ এপ
Aspirational Districts Program,উচ্চাকাংক্ষামূলক জিলা প্ৰগ্ৰাম
Kultali Addl.,কুলতালি আড্ডল।
ICDS Project,আইচিডিএছ প্ৰকল্প
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","যেতিযা আপুনি এটা একাউন্টৰ বাবে চাইন আপ কৰে তাক ধৰি লৈ, আপুনি আমাৰ সেৱা সমূহ ব্যৱহাৰ কৰোতে যোগান ধৰা কন্টেন্ট আৰু আন তথ্য সমূহ আমি সংগ্ৰহ কৰো।"
"This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.","ইযাত অন্তৰ্ভুক্ত থাকিব পাৰে - (i) নাম (ii) মোবাইল নম্বৰ (iii) জন্মৰ তাৰিখ (iv)লিংগ (v) শিশুৰ নাম (vi) আধাৰ নম্বৰ (vii) ঠিকনাযদি আপুনি তথ্য প্ৰদান কৰিবলৈ বাচি নলয যিটো আপোানক এটা প্ৰডাক্ট বা বৈশিষ্ট্য আগবঢাবলৈ প্ৰযোজনীয, আপুনি সেই প্ৰডাক্ট বা বৈশিষ্ট্যটো ব্যৱহাৰ কৰিব নোৱাৰে।"
"You may, however, choose not to share personal data where providing the data is optional.","আপুনি হযতো, যেনেকৈযে নহওক, বযক্তিগত তথ্য শ্বেযাৰ নকৰিবলৈ বাচি ললব পাৰে য'ত তথ্য প্ৰদান কৰা বৈকল্পিক হয।"
Tracking of services to the end beneficiary at a click of a button.,এটা বুটামৰ এটা ক্লিকত অন্তিম হিতাধিকাৰীসকললৈ সেৱাসমূহৰ ট্ৰেকিং।
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","টেক হোম ৰেচন (THR) আৰু হ'ট কুকড মীল (HCM), নৱজাতক আৰু গৰ্ভৱতী মহিলাৰ বাবে টীকাকৰণৰ দৰে সেৱা সমূহ"
Enter Weight in kilogram,ওজন কিলোগ্ৰামত প্ৰদান কৰক
Garbeta - I Adl.,গাৰ্বেটা - I এডল।
Lakhimpur Kheri City,লখিমপুৰ খেৰী চহৰ
"New Poshan Tracker App (13 January, 2021)","নতুন পোষণ ট্ৰেকাৰ এপ (১৩ জানুৱাৰী, ২০২১)"
Preventing illnesses to avert Malnutrition and Death,পুষ্টিৰ অভাৱ আৰু মৃত্যুক বাধা দিবলৈ অসুখক বাধা দিযা
Ketugram - II,কেতুগ্ৰাম - II
Jamuria - II,জামুৰিযা - II
Pachim Mangaldai Icds Project,পাচিম মঙ্গলদৈ আইচিডিএছ প্ৰকল্প
Chandrakona - I,চন্দ্ৰকোনা - I
N & M Andaman,উত্তৰ আৰু মধ্য আন্দামান
Scan the QR Code to Download the App,এপটো ডাউনলোড কৰিবলৈ QR কোডটো স্কেন কৰক
North 24 Parganas,উত্তৰ ২৪ পৰগানা
UJJAIN - U,উজ্জযিনী - ইউ
Pregnant women who received Take Home Ration (THR),গৰ্ভৱতী মহিলা যি টেক হোম ৰেচন (THR) লাভ কৰিছে
Icds Kasrgod Addl,আইচিডিএছ কাচৰগড এডল
Please enter valid Height,অনুগ্ৰহ কৰি বৈধ উচ্চতা প্ৰদান কৰক
How one can add AWW/AWCs?,কোনো এজনে কেনেকৈ AWW/AWCs যোগ কৰিব পাৰে?
Khatra - I,খাটৰা - I
West Khasi Hills,পশ্চিম খাচি হিলছ
Growth Monitoring Assessment Charts,বিকাশ নিৰীক্ষণকাৰী মূল্যাযনৰ তালিকা
Memari - I,মেমাৰী - I
Raiganj (R) Addl.,ৰাযগঞ্জ (আৰ) এডল।
Assessment of growth in children,শিশুসকলৰ মাজত বিকাশৰ মূল্যাযন
South West Khasi Hills,দক্ষিণ পশ্চিম খাচি হিলছ
Request for Take Home Ration,ঘৰলৈ ৰেচন লোৱাৰ বাবে অনুৰোধ
CANNING II MAIN,কেনিং II মেইন
Siliguri (U) ICDS PROJECT,শিলিগুৰি (ইউ) আইচিডিএছ প্ৰকল্প
General Awareness on SAM and MAM,SAM আৰু MAM-ৰ ওপৰত সাধাৰণ সজাগতা
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","নহয, এপটোৱে এক বৈধ ইণ্টাৰনেট সংযোগ অবিহনে কাম নকৰে।"
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India.","কৰ্তৃত্বপ্ৰাপ্ত সংস্থা সমূহে ভাৰত চৰকাৰৰ দ্বাৰা প্ৰতিষ্ঠিত সকলো প্ৰযোজ্য আইন, বিধি, নীতি আৰু তৃতীযয পক্ষৰ অধিকাৰৰ (ডাটা বা চফ্টৱেৰৰ আমদানি বা ৰপ্তানি, গোপনীযতা, আৰু স্থানীয আইনৰ সন্দৰ্ভত কোনো আইন, অন্তৰ্ভুক্ত কৰি আৰু সীমাৱদ্ধতা অবিিহনে) সৈতে সন্মতি প্ৰকাশ কৰে।"
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,এই সংস্থা সমূহে পোষণ ট্ৰেকাৰৰ সৈতে এই চৰ্তাৱলী সমূহক অন্তৰ্ভুক্ত কৰি বেআইনী কাৰ্যকলাপৰ প্ৰচাৰ বা তৃতীয পক্ষৰ অধিকাৰৰ উলংঘনক উৎসাহিত কৰিবলৈ বা পৃষ্ঠপোষকতা কৰিবলৈ API/ কোড-বিহীন ৱেবপেজ ইন্টিগ্ৰেচনৰ ব্যৱহাৰ নকৰে।
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","গৰ্ভৱতী মহিলা, স্তন্যপান কৰোৱা মহিলা, 6 মাহৰ পৰা 3 বছৰৰ শিশু আৰু কিশোৰী।"
6. DATA SECURITY,6. তথ্য সুৰক্ষা
South Salmara Mankachar,দক্ষিণ শলমাৰা মানকাছাৰ
0 months to 6 years,0 মাহৰ পৰা 6 বছৰ
CHECK TICKET STATUS,টিকটৰ ষ্টেটাছ পৰীক্ষা কৰক
Icds Kanhangad Addl,আইচিডিএছ কানহাঙ্গাদ এডল
CDPO Ghatkopar Urban,চিডিপিঅ ঘাটকোপাৰ নগৰীযা
Target / Total no.of,টাৰ্গেট/ মুঠ নং
Enter Email Address,ই-মেইল ঠিকনা প্ৰবিষ্ট কৰক
Dholpur - Rajasthan,ধোলপুৰ - ৰাষ্টস্থান
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","নতুন পোষণ ট্ৰেকাৰ এপ : CSC-SPV ন'ডাল ব্যক্তি (০২ ফেব্ৰুৱাৰী, ২০২১)"
Udam Singh Nagar,উধাম সিং নগৰ
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,এগৰাকী AWW-যে তেওঁলোকৰ আধাৰ নম্বৰৰ ভিত্তিত এটা AWC-ৰ পৰা আন এটা AWC-লৈ এগৰাকী হিতাধিকাৰীক মাইগ্ৰেট কৰিবলৈ 'মাইগ্ৰেট বেনিফিচিযেৰী' বিকল্পটো ব্যৱহাৰ কৰিব পাৰে।।
Narot Jaimal Singh,নাৰোত জযমল সিং
Balasore Sadar I,বালাচোৰ সদৰ I
General Awareness for Pregnancy,গৰ্ভধাৰণৰ বাবে সাধাৰণ সজাগতা
Fatehpur - 84,ফতেহপুৰ - ৮4
A beneficiary is eligible for HCM for at least 21 days in a month.,এগৰাকী হিতাধিকাৰী এমাহত অতিকেমও 21 দিনৰ বাবে HCM-ৰ বাবে যোগ্যতা অৰ্জন কৰে।
Alipurduar - II Addl.,আলিপুৰদুৱাৰ - II এডল।
ABHA (Health ID) and its Benefits,ABHA (হেল্থ আইডি) আৰু ইযাৰ সুবিধা
Jorebunglow Sukiapokhri Adl,জোৰেবুংলো চুকিযাপোখৰি আদল
