eng,bn,indic_trans_translated
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,একটি AWW একটি AWC থেকে অন্য AWC-তে তাদের আধার নম্বরের ভিত্তিতে স্থানান্তর করতে 'মাইগ্রেট বেনিফিশিযারি' বিকল্প ব্যবহার করতে পারেন।,An AWW can use the 'Migrate Beneficiary' option to move from one AWC to another based on their Aadhaar number.
A beneficiary is eligible for HCM for at least 21 days in a month.,একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য HCM পাওযার যোগ্য।,A beneficiary is eligible for HCM for at least 21 days in a month.
ABHA (Health ID) and its Benefits,ABHA (স্বাস্থ্য আইডি) এবং এর সুবিধা,ABHA (Health ID) and its benefits
"We'ar sorry, the page you requested could not be found.","আমরা দুঃখিত, আপনি অনুরোধ করা পৃষ্ঠাটি পাওযা যাযনি।","We are sorry, the page you requested could not be found."
Dadra & Nagar Haveli - Daman & Diu,দাদরা ও নগর হাভেলি - দমন ও দিউ,Dadra and Nagar Haveli - Daman & Diu
Download Mobile App from Play Store,প্লে স্টোর থেকে মোবাইল অ্যাপ ডাউনলোড করুন,Download the app from the Play Store
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","উপরন্তু, যখনই আপনি সিস্টেমে আপনার অ্যাকাউন্ট বা এটি সম্পর্কিত কোনো তথ্য পরিবর্তন করেন বা অ্যাক্সেস করেন, আমরা একটি সুরক্ষিত সার্ভার ব্যবহারের প্রস্তাব দিই।","In addition, whenever you change or access your account or information related to it on the system, we offer to use a secure server."
General Awareness on the Delivery of the child,সন্তান প্রসবের বিষযে সাধারণ সচেতনতা,General Awareness on Childbirth
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","এছাডাও আমরা আমাদের পরিষেবাগুলি পরিচালনা করার জন্য ডেটা ব্যবহার করি, যার মধ্যে রযেছে আমাদের কর্মক্ষমতা বিশ্লেষণ করা, আমাদের আইনি বাধ্যবাধকতা পূরণ করা, আমাদের কর্মশক্তির বিকাশ করা এবং গবেষণা করা।","We also use data to manage our services, which includes analysing our performance, meeting our legal obligations, developing our workforce and doing research."
Where can I enquire about Hot Cooked Meal?,আমি কোথায গরম রান্না করা খাবার সম্পর্কে জিজ্ঞাসা করতে পারি?,Where can I ask about hot cooked food?
In how many languages AWW can enter the data while filling up the form?,ফরম পূরণের সময কতগুলি ভাষায AWW বা AWC তথ্য দেওযা যাবে ?,How many languages AWW or AWC information can be provided at the time of filling the form?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,যেসব শিশুদের মধ্যে পুষ্টির ঘাটতি চিহ্নিত করা হযেছে তারা অতিরিক্ত খাদ্য সম্পূরক পাওযার যোগ্য।,Children who are found to be undernourished are eligible for supplementary nutrition.
An underweight person is a person whose body weight is considered too low to be healthy,একজন কম ওজনের ব্যক্তি হল সে যার শরীরের ওজন স্বাস্থ্যকর হওযার জন্য খুব কম বলে মনে করা হয,A underweight person is someone whose body weight is considered too low to be healthy
When and how to use MPIN?,MPIN কখন এবং কীভাবে ব্যবহার করবেন?,When and how to use MPIN?
Ensuring that complementary feeding improves over time,পরিপূরক খাওযানো যাতে সমযের সাথে সাথে উন্নত হয তা নিশ্চিত করা,Ensure that the complementary feeding improves over time
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (স্বাস্থ্য আইডি) ব্যবহার করা আপনার এবং আপনার পরিবারের জন্য নিরাপদ এবং এটি দক্ষ ডিজিটাল স্বাস্থ্য রেকর্ড তৈরি করার জন্য প্রথম পদক্ষেপ।,Using ABHA (Health ID) is safe for you and your family and is the first step towards creating an efficient digital health record.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (যা আগে স্বাস্থ্য আইডি নামে পরিচিত ছিল) হল আযুষ্মান ভারত স্বাস্থ্য অ্যাকাউন্টের সংক্ষিপ্ত রূপ।,ABHA (formerly known as Health ID) is an acronym for Ayushman Bharat Health Account.
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"AWW/AWCs কেবল নোডাল স্তরের কর্মকর্তা দ্বারা যুক্ত করা যেতে পারে।উপরের রাইনে যে কেউ হাযারায আছে জাতীয স্তরের ব্যবহারকারীরা যেমন রাজ্য, জেলা, প্রকল্প এবং খাত স্তরের ব্যবহারকারী তৈরি করতে পারে।রাজ্য স্তরের ব্যবহারকারীরা জেলা, প্রকল্প এবং খাত স্তরের ব্যবহারকারী তৈরি করতে পারে, জেলা স্তরের ব্যবহারকারী প্রকল্প এবং খাত স্তরের ব্যবহারকারী তৈরি করতে পারে, প্রকল্প স্তরের ব্যবহারকারী সেক্টর স্তরের ব্যবহারকারী তৈরি করতে পারবেন।","AWWs / AWCs can be connected only by a nodal level officer. The above rayon can be created by any national level user such as state, district, project and sector level user. State level user can create district, project and sector level user, district level user can create project and sector level user, project level user can create sector level user."
Where can I enquire about take home ration?,বাডিতে নিযে যাওযার জন্য রেশনের ব্যাপারে আমি কোথায জিজ্ঞাসা করতে পারি?,Where can I ask for ration to go to Buddy?
We use the information we collect from all our services for the following purposes:,আমরা নিম্নলিখিত উদ্দেশ্যে আমাদের সমস্ত পরিষেবা থেকে সংগ্রহ করা তথ্য ব্যবহার করিঃ,We use the data collected from all our services for the following purposes:
Identification & Referral of Sick Newborn,অসুস্থ নবজাতকের সনাক্তকরণ ও রেফারেল,Identification and Referral of Sick Newborn
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. তৃতীয পক্ষের সিস্টেম দ্বারা প্রদত্ত ডেটার সঠিকতা,XIV. accuracy of data provided by third party systems
Who is eligible for Take Home Ration?,কে বাডিতে নিযে যাওযার জন্য রেশনের পাওযার যোগ্য?,Who is eligible for ration to go to Buddy?
Supporting mothers with issues in Breastfeeding,স্তন্যপান করানোযে সমস্যা আছে এমন মাযেদের জন্য সহাযতা,Help for Mothers With Lactating Mothers
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","প্রস্তাবিত সিস্টেমে নির্ধারিত সূচকগুলিতে সমস্ত AWC, AWW এবং সুবিধাভোগীদের রিযেল-টাইম মনিটরিং এবং ট্র্যাকিং সক্ষম করতে হবে।","Real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the indicators to be specified in the proposed system."
Above standards are defined as per given above mentioned age brackets,উপরের মানগুলি উপরে উল্লিখিত বযস বন্ধনী অনুসারে সংজ্ঞাযিত করা হযেছে,The above values are defined in parentheses above
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","যদি একজন ব্যক্তির ওজন কম হয, তবে তার শরীর স্বাস্থ্যকর হাড, ত্বক এবং চুল গঠনের জন্য প্রযোজনীয পুষ্টি নাও পেতে পারে","If a person is underweight, his body may not get the nourishment it needs to build healthy bones, skin and hair"
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,MPIN-টি মোবাইল নম্বরটির জন্য একটি OTP অনুরোধের মাধ্যমে সংশ্লিষ্ট আঙ্গনবাদী কর্মী দ্বারা সেট করা যেতে পারে।,The MPIN can be set by the concerned Angawadi worker through an OTP request for the mobile number.
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.",যদি মোবাইল নম্বরটি ইতিমধ্যে ডেটাবেজে উপস্থিত থাকে তবে সংশ্লিষ্ট অঙ্গনওযাদী ব্যক্তি নিবন্ধিত মোবাইল নম্বরে ৪ ডিজিট OTP পাবেন।,"In case the mobile number is already available in the database, the concerned Anganwadi worker will get a 4-digit OTP on the registered mobile number."
"Post entering the OTP, AWW can easily set customized MPIN.",OTP এন্টার করার পর AWW সহজেই কাস্টমাইজড MPIN সেট করতে পারেন।,"After entering the OTP, AWW can easily set the customized MPIN."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","এটি অংশগ্রহণকারী স্বাস্থ্যসেবা প্রদানকারীদের সাথে আপনার মিথস্ক্রিযাকে সক্ষম করে এবং আপনাকে আপনার ডিজিটাল ল্যাব রিপোর্ট, প্রেসক্রিপশন এবং নির্ণযের যাচাইকৃত স্বাস্থ্যসেবা পেশাদার এবং স্বাস্থ্য পরিষেবা প্রদানকারীদের কাছ থেকে নির্বিঘ্নে পেতে অনুমতি দেয।","It enables your interaction with participating healthcare providers and allows you to receive your digital lab reports, prescriptions, and decision verified healthcare professionals and health care providers seamlessly."
Our System provides API to Third – Party Sites that may collect your personal information.,আমাদের সিস্টেম তৃতীয পক্ষের সাইটগুলিকে API প্রদান করে যা আপনার ব্যক্তিগত তথ্য সংগ্রহ করতে পারে।,Our system provides third party sites with APIs that can collect your personal information.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,পোশান ট্র্যাকার এই ধরনের তথ্য বা তাদের গোপনীযতা অনুশীলন বা ঐ তৃতীয পক্ষের সাইটের বিষযবস্তুর নিরাপত্তার জন্য কোনোভাবেই দাযী নয।,Poshan Tracker is in no way responsible for the security of such information or their privacy practices or content on third party sites.
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,এই তৃতীয পক্ষের পরিষেবা প্রদানকারী এবং তৃতীয পক্ষের সাইটগুলির নিজস্ব গোপনীযতা নীতি থাকতে পারে যা আপনার তথ্যের সঞ্চযস্থান এবং রক্ষা করা নিযন্ত্রণ করে যা আপনার সাপেক্ষে হতে পারে।,This third party service provider and third party sites may have their own privacy policy which controls the storage and protection of your information which may be relevant to you.
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","এই গোপনীযতা নীতি এই তৃতীয-পক্ষ প্রদানকারী এবং তৃতীয পক্ষের সাইটগুলিতে সরবরাহ করা, সংরক্ষণ করা বা ব্যবহার করা কোনো তথ্য নিযন্ত্রণ করে না।","This Privacy Policy does not control any information supplied, stored or used by third party providers and third party sites."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","আমরা সুপারিশ করি যে যখন আপনি একটি তৃতীয পক্ষের সাইটে প্রবেশ করেন, তখন আপনি তৃতীয পক্ষের সাইটের গোপনীযতা নীতি পর্যালোচনা করুন কারণ এটি আপনার তথ্যের সুরক্ষার সাথে সম্পর্কিত।","We recommend that when you log into a third party site, you review the privacy policy of third party sites because this is related to your data security."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,আপনি সম্মত এবং স্বীকার করছেন যে অনুসন্ধান ফলাফলে বা কোনো তৃতীয পক্ষের সাইট দ্বারা প্রকাশিত তথ্যের জন্য পোশান ট্র্যাকার দাযী হবে না।,You agree and agree that Poshan Tracker will not be liable for the search results or information published by any third party site.
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,আপনার রেফারেন্স আইডি (মোবাইল নম্বর) উপরের ধারা 1 অনুযাযী SMS এর মাধ্যমে আপনার সাথে যোগাযোগ করার জন্য শুধুমাত্র আপনার ব্যক্তিগত তথ্যের সাথে সহ-সম্পর্কিত হবে।,Your reference ID (mobile number) will be correlated with your personal information only to communicate with you through SMS as per Clause 1 above.
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","সাইট পরিদর্শন বা ব্যবহার করে, আপনি স্পষ্টত এই শর্তাবলীতে সম্মত হন, যা সমযে সমযে আপডেট করা হয।","By visiting or using the site, you clearly agree to these conditions, which are updated from time to time."
"If you do not agree with any part of these terms, do not use the site.",আপনি যদি এই শর্তাবলীর কোন অংশের সাথে সম্মত না হন তবে সাইটটি ব্যবহার করবেন না।,"If you do not agree with any of these terms and conditions, do not use the site."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,আপনি কোনোভাবেই সাইটটি ব্যবহার করতে পারবেন না এবং শর্তাবলী গ্রহণ করতে পারবেন না যদি আপনি একটি বাধ্যতামূলক চুক্তি গঠনের জন্য আইনসম্মত বযসের না হন।,You will not be able to access the site in any way and accept the terms and conditions if you are not legally entitled to form a binding agreement.
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,ব্যাসিলাস ক্যালমেট গুযেরিন (বিসিজি)ওরাল পোলিও ভ্যাকসিন (OPV)-0 ডোজ হেপাটাইটিস B বার্থ ডোজ OPV-1 T,Bacillus Calmett Guerin (BCG) Oral Polio Vaccine (OPV) - 0 Dose Hepatitis B Birth Dose OPV-1 T
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","ধারা 1 এর অধীনে সংগৃহীত তথ্য, সুবিধাভোগীদের স্বাস্থ্য সুবিধার উদ্দেশ্যে ব্যবহার করা হবে।",The data collected under Section 1 shall be used for the purposes of health of the beneficiaries.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","আমরা আমাদের পণ্যগুলি সরবরাহ করি, যার মধ্যে সিস্টেমের তথ্য/ডেটা/ সামগ্রী এবং বিষযবস্তু আপডেট করা, সুরক্ষিত করা এবং সমস্যা সমাধান করা, সেইসাথে সহাযতা প্রদান করা অন্তর্ভুক্ত থাকে।","We provide our products, which include updating, securing and troubleshooting the system information / data / content and content, as well as providing support."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","আপনি যখন পোশান ট্র্যাকার-এ রেজিস্টার করবেন, যে মোবাইল নম্বর দিযে আপনি রেজিস্টার করেছেন, সেটি ডাটাবেস থেকে আপনার রেকর্ড সনাক্ত করতে ব্যবহার করা হবে।","When you register with the Poshan Tracker, the mobile number you register with will be used to identify your records from the database."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,এগুলি পোশান ট্র্যাকার সিস্টেমে নথিভুক্ত হেল্থ স্ট্যাটাস মূল্যাযন করতেও ব্যবহার করা যেতে পারে।,These can also be used to evaluate the health status recorded in the Poshan Tracker System.
Training on ICT Platform under POSHAN Abhiyaan,পোশান অভিযানের অধীনে আইসিটি প্ল্যাটফর্মে প্রশিক্ষণ,Training on ICT Platform under POSHAN Abhiyaan
"Know more about stunting, wasting and underweight","বৃদ্ধিতে বাধা, অপুষ্টি এবং কম ওজন সম্পর্কে আরও জানুন","Learn more about Obstacles to Growth, Malnutrition and Low Weight"
What information to be added in AWC forms?,AWC ফর্মগুলিতে কোন তথ্য যুক্ত করতে হবে?,What information should be included in the AWC forms?
How to revive your health if you are Moderately Wasted (MAM),আপনি যদি পরিমিতভাবে অপুষ্টির শিকার হযে থাকেন (MAM) তাহলে কীভাবে আপনার স্বাস্থ্যকে পুনরুজ্জীবিত করবেন,How to Revive Your Health if You Are Malnourished (MAM)
AWC Workers Registered In Last 30 Days,শেষ ৩০ দিনে এডাব্লুসি ওযার্কার্স রেজিস্ট্রেশন করা হযেছে,AWC Workers Registered in Last 30 Days
Click on above button to get this App,এই অ্যাপটি পেতে উপরের বোতামটিতে ক্লিক করুন,Click here to download the app
Beneficiaries Registered In Last 30 Days,গত ৩০ দিনে নিবন্ধিত সুবিধাভোগী,Registered beneficiaries in last 30 days
Specifications of Smart phone and Technical Compatibility Testing,স্মার্টফোনের স্পেসিফিকেশন এবং প্রযুক্তিগত সামঞ্জস্য পরীক্ষা,Check for smartphone specifications and technical compatibility
Preparation During Pregnancy - For NewBorn Care & Family Planning,গর্ভাবস্থায প্রস্তুতি - নবজাতকের যত্ন ও পরিবার পরিকল্পনার জন্য,Pregnancy Preparedness for Newborn Care and Family Planning
Stunting is the impaired growth and development that children experience from poor nutrition,স্টান্টিং হল বৃদ্ধি এবং বিকাশে বাধা অপুষ্টির কারণে শিশুরা যার শিকার হয,Stunting is the stunting of children due to stunting their growth and development
Children in the age group of 3 years to 6 years,3 বছর থেকে 6 বছর বযসী শিশুরা,Children aged 3 to 6 years
What is the eligibility of a beneficiary?,একজন সুবিধাভোগীর কি যোগ্যতা থাকতে হবে?,What is the eligibility of a beneficiary?
Who are the target userbase of Poshan Tracker App?,পশান ট্র্যাকার অ্যাপের টার্গেট ব্যবহারকারী বেস কারা?,Who is the target user base of the Passion Tracker app?
"It often indicates recent and severe weight loss, although it can also persist for a long time","এটা সাম্প্রতিক এবং গুরুতর ওজন হ্রাস নির্দেশ করে, যদিও এটি দীর্ঘ সমযের জন্যও চলতে পারে","This indicates recent and severe weight loss, though it may persist for longer periods of time"
What is the minimum requirement to install Poshan Tracker App in mobile?,মোবাইলে পশান ট্র্যাকার অ্যাপটি ইনস্টল করার জন্য ন্যূনতম প্রযোজনীযতা কী?,What is the minimum applicability to install the Pashan Tracker app on mobile?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,আপনি শুধুমাত্র ডকুমেন্টেশনে বর্ণিত উপাযে সাইটটি অ্যাক্সেস (বা অ্যাক্সেস করার চেষ্টা) করবেন এবং এই চুক্তির শর্তাবলী মেনে চলবেন।,You will only access the site (or try to access it) in the means specified in the documentation and comply with the terms and conditions of the agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","আপনি সমস্ত কেন্দ্রীয ও রাজ্য আইন, আপনার এবং আপনার সাইটের ব্যবহার এবং কোনও তৃতীয পক্ষের অধিকারকে প্রভাবিত করার জন্য প্রযোজ্য নিযম এবং প্রবিধানগুলি মেনে চলবেন।","You will abide by all Central and State laws, rules and regulations applicable to you and your use of the site and to any third party rights."
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https: / / poshantracker.org.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.,In or by downloading 'Poshan Tracker' App from Google Play Store
Clarification regarding Cost of Smart phones,স্মার্ট ফোনের খরচ সংক্রান্ত ব্যাখ্যা,Clarification on Cost of Smartphone
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,হামের ভ্যাকসিন (MCV)/হাম ও রুবেলা (MR)-1জাপানিজ এনসেফালাইটিস (জেই)-1**PCV-বুস্টার,Ham Vaccine (MCV) / Ham and Rubella (MR) -1 Japanese Encephalitis (JE) -1 * PCV-Booster
Mobile number need to be validated within a week,মোবাইল নম্বরটি এক সপ্তাহের মধ্যে যাচাই করতে হবে,Mobile number to be verified within a week
Currently a beneficiary can register by the help of an AWW,বর্তমানে একজন সুবিধাভোগী AWW এর সাহায্যে নিবন্ধন করতে পারেন,"Currently, a beneficiary can register with AWW"
Awareness for Lactating Mother Complimentary Feeding for Children,শিশুদের জন্য স্তন্যদানকারী মাযেদের পরিপূরক খাওযানোর বিষযে সচেতনতা,Awareness on supplementary feeding for lactating mothers
New Poshan Tracker App - CSC-SPV Nodal Person,নতুন পোশান ট্র্যাকার অ্যাপ - CSC-SPV নোডাল ব্যক্তি,New Poshan Tracker App - CSC - SPV Nodal Person
1.1. Information you provide to us.,1.1. যে তথ্য আপনি আমাদের প্রদান করেন।,1.1 The information that you give us.
How can one access Poshan Tracker Dashboard?,কীভাবে কেউ পশান ট্র্যাকার ড্যাশবোর্ড অ্যাক্সেস করতে পারে?,How can one access the Passion Tracker Dashboard?
Prevention of Anemia in children and adolescents girls,শিশু এবং কিশোরী মেযেদের মধ্যে রক্তাল্পতা প্রতিরোধ,Prevention of anaemia in children and adolescents
Gangarampur Addl. I. C. D. S Project,গঙ্গারামপুর অ্যাডিশনাল  আই. সি. ডি. এস. প্রকল্প,Gangarampur Additional ICDS Project
Can a beneficiary register directly using application.,একজন সুবিধাভোগী কি অ্যাপ্লিকেশনটি ব্যবহার করে সরাসরি নিবন্ধন করতে পারেন।,A beneficiary can register directly using the app.
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,মহিলা ও শিশু উন্নযন মন্ত্রণালয পশান ট্র্যাকার আবেদনটি কার্যকর করেছে।,The Ministry of Women and Child Development has implemented the Pashan Tracker application.
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.","লক্ষ্যটি হ'ল মাতৃ এবং শিশুদের অপুষ্টি বৃদ্ধির উন্নযনের জন্য পুষ্টি ব্যবস্থা জোরদার করার পদ্ধতি অনুসরণ করা, যা সমস্ত স্তরে বাস্তবাযনের বাধা জোরদার করার দিকে দৃষ্টি নিবদ্ধ করে।","The goal is to follow the approach of strengthening nutrition systems to improve maternal and child malnutrition, which focuses on strengthening behavioural barriers at all levels."
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.","পোশান ট্র্যাকারটি কেন্দ্রীযভাবে ডেটা আর্কিটেকচার ব্যবহার করে নির্মিত হযেছে, যা অন্যান্য মন্ত্রক এবং প্রোগ্রামগুলির ডিজিটাল প্রযুক্তি সিস্টেমগুলির সাথে একত্রিত হয।","The POSHAN tracker is built using data architecture centrally, which integrates with digital technology systems of other ministries and programs."
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.",সিস্টেমটি প্রতিটি উপকারভোগীকে ডিজিটাল কার্ডের মাধ্যমে একটি ডিজিটাল পরিচয সরবরাহ করে এবং প্রযুক্তি প্ল্যাটফর্মের মাধ্যমে কল সেন্টারের রূপান্তরকে অনুমতি দেয।,The system provides a digital identity to each beneficiary through digital cards and allows conversion of call centre through technology platform.
The system generates automated alerts to the critical last-mile beneficiaries.,সিস্টেমটি সমালোচনামূলকভাবে শেষ মাইল সুবিধাভোগীদের জন্য স্বযংক্রিয সতর্কতা তৈরি করে।,The system generates automated alerts for critical last-mile beneficiaries.
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.",এটি সুবিধাভোগী ও দাযিত্বশীলদের সত্যিকারের উপস্থিতি দলিল করে ডেলিভারি সিস্টেমের দক্ষ নিরীক্ষণ নিশ্চিত করে।,It ensures efficient monitoring of the delivery system by documenting the actual presence of beneficiaries and stakeholders.
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.","এই জাতীয একটি শক্তিশালী ডিজিটাল প্রযুক্তি প্ল্যাটফর্ম এবং পরিচালনা তথ্য সিস্টেম মিশনটিকে দক্ষতার সাথে স্কেল করতে সহাযতা করবে, যার ফলে উল্লেখযোগ্য ইতিবাচক প্রভাব উত্পন্ন এবং ডকুমেন্টিং করা সম্ভব।","This national will help to efficiently scale up a robust digital technology platform and management information system Mission, thereby generating significant positive impact and enabling documentation."
Weight should be between 0.90 to 58,ওজন 0.90 থেকে 58-এর মধ্যে হওযা উচিত,Weight should be between 0.90 to 58
We own the intellectual property rights in the Site and Content.,সাইট এবং বিষযবস্তুর বৌদ্ধিক সম্পত্তির উপর আমাদের অধিকার রযেছে।,We have the right to intellectual property of sites and content.
We may change the Content and features of the Site at any time.,আমরা যে কোনো সময সাইটের বিষযবস্তু এবং বৈশিষ্ট্য পরিবর্তন করতে পারি।,We can change the contents and properties of the site at any time.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.","সাইটে প্রদর্শিত নিবন্ধিত এবং অনিবন্ধিত ট্রেডমার্ক, লোগো এবং পরিষেবা চিহ্নগুলি আমাদের বা আমাদের লাইসেন্সকারীদের মালিকানাধীন।","Registered and unregistered trademarks, logos and service marks displayed on the site are owned by us or our licensees."
"You may not use our trademarks, logos, and service marks in any way without our prior written permission.","আপনি আমাদের পূর্ব লিখিত অনুমতি ছাডা কোনোভাবেই আপনার ট্রেডমার্ক, লোগো এবং পরিষেবা চিহ্ন ব্যবহার করতে পারবেন না।","You will not be able to use your trademark, logo and service logo without our prior written permission."
Material featured on this website may be reproduced free of charge.,এই ওযেবসাইটে বৈশিষ্ট্যযুক্ত উপাদান বিনামূল্যে পুনরুৎপাদন করা যেতে পারে।,The material can be reproduced free of cost on the website.
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.","যেখানেই উপাদানটি প্রকাশ করা হবে বা অন্যদের কাছে জারি করা হবে, উৎসটি অবশ্যই স্পষ্টভাবে স্বীকার করতে হবে।","Wherever the material is disclosed or issued to others, the source must be clearly acknowledged."
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","যাইহোক, এই উপাদানটি পুনরুত্পাদন করার অনুমতি এমন কোনও উপাদানে প্রসারিত হবে না যা তৃতীয পক্ষের কপিরাইট হিসাবে চিহ্নিত করা যেতে পারে।","However, permission to reproduce this material will not extend to any material that can be identified as third party copyright."
MPIN can be easily reset by any AWW/AWC user.,MPIN যে কোনও AWW/AWC ব্যবহারকারী সহজেই রিসেট করতে পারে।,MPIN can be easily reset by any AWW / AWC user.
"You are required to click on Forgot MPIN, and enter your registered mobile number.",আপনাকে ভুলে যাওযা MPIN- এ ক্লিক করতে হবে এবং আপনার নিবন্ধিত মোবাইল নম্বর লিখতে হবে।,Click on forgot MPIN and enter your registered mobile number.
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,আপনি আপনার নিবন্ধিত মোবাইল নম্বরে পাবেন এবং OTP পাবেন এবং আপনি খুব সহজেই আপনার MPIN পুনরায সেট করতে পারবেন।,You will get the OTP on your registered mobile number and you will be able to reset your MPIN very easily.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,পোশান ট্র্যাকার হল অঙ্গনওযাডি কর্মীদের তাদের প্রচেষ্টার প্রতিফলন সহ দক্ষতার সাথে পরিষেবা প্রদানের জন্য একটি জব এড।,Poshan Tracker is a job ad for Anganwadi workers to serve them efficiently along with reflecting their efforts.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,এটি পোশান অভিযানের অধীনে একটি গুরুত্বপূর্ণ এবং সুবিধাভোগী-কেন্দ্রিক পরিষেবা সরবরাহের অ্যাপ্লিকেশন যা বিশ্লেষণ করে রিযেল টাইম ডেটা প্রোমোট করবে,It is an important and beneficiary-centric service delivery application under POSHAN Abhiyaan which will analyze and promote real time data
Please enter valid Date of Birth,অনুগ্রহ করে বৈধ জন্ম তারিখ লিখুন,Please enter a valid date of birth
Who is eligible for additional supplementary food?,কে অতিরিক্ত সম্পূরক খাদ্য পাওযার যোগ্য?,Who is eligible for additional supplementary food?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","আমরা এই ধরনের পরিবর্তনগুলি সম্পর্কে আপনাকে নির্দিষ্টভাবে অবহিত না করে যেকোন সমযে এই শর্তাবলীর যেকোনো অংশ পরিবর্তন, সংশোধন, যোগ বা অপসারণ করার নিঃশর্ত অধিকার সংরক্ষণ করি।","We reserve the unconditional right to alter, amend, add or remove any part of these conditions at any time without specifically informing you of such changes."
Any changes or updates will be effective immediately.,যেকোনো পরিবর্তন বা আপডেট অবিলম্বে কার্যকর হবে।,Any changes or updates will come into effect immediately.
You take the responsibility to check these Terms of Use periodically for changes.,আপনি পরিবর্তনের জন্য পর্যাযক্রমে এই ব্যবহারের শর্তাবলী চেক করার দাযিত্ব নেন।,You take responsibility for periodically checking the Terms of Reference for the change.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,এই ধরনের পুনর্বিবেচনার পর আপনার ক্রমাগত এই প্ল্যাটফর্মের ব্যবহার পরিবর্তিত শর্তাবলীর স্বীকৃতি গঠন করবে।,"After such a review, your continued use of this platform will form an acknowledgement of the changed terms."
How many different types of reports can be generated over Poshan Tracker Dashboard?,পশান ট্র্যাকার ড্যাশবোর্ডের মাধ্যমে কতগুলি বিভিন্ন ধরণের প্রতিবেদন তৈরি করা যায?,How many different types of reports can be generated through the Pashan Tracker Dashboard?
