eng,ta,indic_trans_translated
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","இல்லை, சரியான இணைய இணைப்பு இல்லாமல் பயன்பாடு செயல்படாது.","No, the application will not work without a proper internet connection."
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,இந்த நிறுவனங்கள் போஷன் டிராக்கர் உடன் இந்த விதிமுறைகள் உட்பட சட்டவிரோத செயல்பாடு அல்லது மூன்றாம் தரப்பு உரிமைகளை மீறுவதை ஊக்குவிக்க APIகள்/குறியீடு இல்லாத வலைப்பக்க ஒருங்கிணைப்பைப் பயன்படுத்தாது.,These entities will not use API / non-coded web page integration with POSHAN tracker to promote illegal activity or violation of third party rights including these provisions.
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","கர்ப்பிணிப் பெண்கள், பாலூட்டும் தாய்மார்கள், 6 மாதங்கள் முதல் 3 வயது வரையிலான குழந்தைகள் மற்றும் பருவப் பெண்கள்.","Pregnant women, lactating mothers, children in the age group of 6 months to 3 years and adolescent girls."
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","புதிய போஷன் டிராக்கர் பயன்பாடுஃ சி. எஸ். சி-எஸ். பி. வி நோடல் நபர் (02 பிப்ரவரி, 2021)",Use of New POSHAN Tracker: CSC-SPV Nodal Person (02 February 2021)
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW ஆனது ஒரு பயனாளியை அவர்களின் ஆதார் எண்ணின் அடிப்படையில் ஒரு AWC இலிருந்து மற்றொரு AWC க்கு நகர்த்துவதற்கு 'Migrate Beneficiary' விருப்பத்தைப் பயன்படுத்தலாம்.,AWW can use the 'Migrate Beneficiary' option to move a beneficiary from one AWC to another based on their Aadhaar number.
A beneficiary is eligible for HCM for at least 21 days in a month.,ஒரு பயனாளி ஒரு மாதத்தில் குறைந்தது 21 நாட்களுக்கு HCM க்கு தகுதியுடையவர்.,A beneficiary is eligible for HCM for at least 21 days in a month.
ABHA (Health ID) and its Benefits,ABHA (ஹெல்த் ஐடி) மற்றும் அதன் நன்மைகள்,ABHA (Health ID) and its benefits
"We'ar sorry, the page you requested could not be found.","மன்னிக்கவும், நீங்கள் கோரிய பக்கத்தைக் கண்டுபிடிக்க முடியவில்லை.","Sorry, the page you requested could not be found."
Dadra & Nagar Haveli - Daman & Diu,தாத்ரா மற்றும் நாகர் அவெலி - தமன் மற்றும் டையூ,Dadra and Nagar Haveli Daman and Diu
Download Mobile App from Play Store,Play Store இலிருந்து மொபைல் பயன்பாட்டைப் பதிவிறக்கவும்,Download the app from the Play Store
General Awareness on the Delivery of the child,குழந்தை பிரசவம் பற்றிய பொது விழிப்புணர்வு,Public Awareness on Childbirth
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","எங்கள் சேவைகளை இயக்கவும் தரவைப் பயன்படுத்துகிறோம், இதில் எங்கள் செயல்திறனைப் பகுப்பாய்வு செய்தல், எங்கள் சட்டப்பூர்வ கடமைகளை நிறைவேற்றுதல், எங்கள் பணியாளர்களை மேம்படுத்துதல் மற்றும் ஆராய்ச்சி செய்தல் ஆகியவை அடங்கும்.","We are also using data to run our services, which includes analysing our performance, fulfilling our legal obligations, upgrading our staff and doing research."
Where can I enquire about Hot Cooked Meal?,சூடான சமைத்த உணவைப் பற்றி நான் எங்கே கேட்கலாம்?,Where can I ask about hot cooked food?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","தளத்தில் எங்களுக்குச் சொந்தமான, பராமரிக்கப்படாத அல்லது இயக்கப்படாத பிற இணையதளங்களுக்கான இணைப்புகள் இருக்கலாம்.","The site may have links to other websites that we own, are not maintained or are not operated."
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","இந்த இணையதளங்கள் இணைக்கப்பட்டிருப்பது, இந்த இணையதளங்களின் மீது எங்களிடம் எந்தக் கட்டுப்பாடும் இல்லாததால், இந்த இணையதளங்களுக்கு எங்களிடமிருந்து எந்த ஒப்புதலும் இல்லை.",The integration of these websites is not approved by us as we do not have any control over these websites.
We are not responsible for these websites including any content or the privacy practices of these websites.,எந்தவொரு உள்ளடக்கம் அல்லது இந்த வலைத்தளங்களின் தனியுரிமை நடைமுறைகள் உட்பட இந்த வலைத்தளங்களுக்கு நாங்கள் பொறுப்பல்ல.,"We are not responsible for these websites, including any content or privacy practices of these websites."
We strongly encourage you to familiarize yourself with the terms of use of these websites.,இந்த வலைத்தளங்களின் பயன்பாட்டு விதிமுறைகளுடன் உங்களைப் பழக்கப்படுத்திக்கொள்ள நாங்கள் கடுமையாக ஊக்குவிக்கிறோம்.,We strongly encourage you to get used to the Terms of Use of these websites.
Your use of these websites is at your own risk and peril.,இந்த இணையதளங்களைப் பயன்படுத்துவது உங்கள் சொந்த ஆபத்தில் உள்ளது.,Using these websites is at your own risk.
In how many languages AWW can enter the data while filling up the form?,படிவத்தை நிரப்பும்போது அடபிள்யூடபிள்யூ அல்லது அடபிள்யூசி எத்தனை மொழிகளில் தரவை உள்ளிடலாம்?,How many languages can AWW or AWC enter data while filling up the form?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ஊட்டச்சத்து குறைபாடு உள்ள குழந்தைகள் கூடுதல் உணவுப் பொருட்களுக்கு தகுதியுடையவர்கள்.,Malnourished children are entitled to additional food items.
An underweight person is a person whose body weight is considered too low to be healthy,சாதாரண நபரின் எடையை விட உடல் எடை குறைவாக இருக்கும் நபர் எடை குறைந்தவராக கருதப்படுகிறார்,A person who is underweight is considered underweight
When and how to use MPIN?,"எம்பின் ஐ எப்போது,   எப்படிப் பயன்படுத்துவது?",How and when to use it?
Ensuring that complementary feeding improves over time,காலப்போக்கில் துணை உணவு மேம்படுவதை உறுதி செய்தல்,Ensuring timely upgradation of supplements.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,உங்களுக்கும் உங்கள் குடும்பத்துக்கும் பாதுகாப்பான மற்றும் திறமையான டிஜிட்டல் ஹெல்த் ரெக்கார்டுகளை உருவாக்குவதற்கான முதல் படி ABHA (ஹெல்த் ஐடி) ஐப் பயன்படுத்துவது தான்.,Use of ABHA (Health ID) is the first step towards creating safe and efficient digital health records for yourself and your family.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (முன்பு ஹெல்த் ஐடி என அறியப்பட்டது) என்பது ஆயுஷ்மான் பாரத் ஹெல்த் அக்கவுண்ட் என்பதன் சுருக்கமாகும்.,ABHA stands for Ayushman Bharat Health Account.
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"அடபிள்யூடபிள்யூ / அடபிள்யூசி களை நோடல் நிலை அதிகாரியால் மட்டுமே சேர்க்க முடியும்.வரிசைக்கு மேலே உள்ள எவரும்.தேசிய அளவிலான பயனர் மாநில, மாவட்டம், திட்டம் மற்றும் துறை அளவிலான பயனர்களை உருவாக்க முடியும்.மாநில அளவிலான பயனர் மாவட்ட, திட்ட மற்றும் துறை அளவிலான பயனர்களை உருவாக்க முடியும், மாவட்ட அளவிலான பயனர் திட்ட மற்றும் துறை மட்ட பயனரை உருவாக்க முடியும், திட்ட அளவிலான பயனர் துறை அளவிலான பயனர்.காவை உருவாக்க முடியும்.","The AWCs / AWCs can be added only by the Nodal Officer. anyone above the line can create the users at the state, district, project and sector level at the national level, the user at the state level can create the users at the district, project and sector level, the user at the district level can create the user at the project and sector level, the user at the project level can create the user at the department level and the user at the project level can create the user at the project level."
Where can I enquire about take home ration?,வீட்டிற்கு எடுத்துச் செல்லும் ரேஷன் பற்றி நான் எங்கே கேட்கலாம்?,Where can I ask about home delivery of ration?
We use the information we collect from all our services for the following purposes:,எங்கள் எல்லா சேவைகளிலிருந்தும் நாங்கள் சேகரிக்கும் தகவலை பின்வரும் நோக்கங்களுக்காகப் பயன்படுத்துகிறோம்ஃ,We use the information we collect from all our services for the following purposes:
Identification & Referral of Sick Newborn,உடம்பு சரியில்லாத புதிதாகப் பிறந்த குழந்தையை அடையாளம் கண்டு பரிந்துரைத்தல்,Identification and Recommendation of Sick Newborn
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. மூன்றாம் தரப்பு அமைப்புகளால் வழங்கப்பட்ட தரவுகளின் சரியான தன்மை,XIV. Accuracy of data provided by third party organizations
Who is eligible for Take Home Ration?,வீட்டுக்கு ரேஷன் எடுத்துச் செல்ல யார் தகுதியானவர்?,Who is eligible to take home ration
Supporting mothers with issues in Breastfeeding,தாய்ப்பால் கொடுப்பதில் சிக்கல் உள்ள தாய்மார்களுக்கு ஆதரவு அளித்தல்,Support to Mothers who are in difficulty in breastfeeding
Above standards are defined as per given above mentioned age brackets,மேலே குறிப்பிடப்பட்ட தரநிலைகள் வயது வரம்புகளின்படி வரையறுக்கப்பட்டுள்ளன,The above-mentioned standards are defined in terms of age
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","ஒரு நபர் எடை குறைவாக இருந்தால், ஆரோக்கியமான எலும்புகள், தோல் மற்றும் முடியை உருவாக்க தேவையான ஊட்டச்சத்துக்கள் அவரது உடலுக்கு கிடைக்காமல் போயிருக்கலாம்","If a person is underweight, his or her body may be deprived of the nutrition needed for healthy bones, skin and hair"
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,அந்தந்த அங்கன்வாடி ஊழியரால் அவரது / அவள் மொபைல் எண்ணுக்கு எதிராக OTP கோருவதன் மூலம் எம்பின் ஐ அமைக்கலாம்.,The MP can be set up by the concerned Anganwadi worker by requesting OTP against his / her mobile number.
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","மொபைல் எண் ஏற்கனவே தரவுத்தளத்தில் இருந்தால், அந்தந்த அங்கன்வாடி நபர் பதிவு செய்யப்பட்ட மொபைல் எண்ணில் 4 இலக்க OTP ஐப் பெறுவார்.","If the mobile number is already in the database, the concerned Anganwadi worker will receive a 4-digit OTP on the registered mobile number"
"Post entering the OTP, AWW can easily set customized MPIN.","OTP க்குள் நுழைந்த பின், அங்கன்வாடி ஊழியர்கள் தனிப்பயனாக்கப்பட்ட எம்பின் ஐ எளிதாக அமைக்க முடியும்.","Once the OTP is entered, the Anganwadi workers will be able to set up a customized MPIN."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","இது சுகாதார வழங்குநர்களுடன் உங்கள் தொடர்புகளை செயல்படுத்துகிறது, மேலும் சுகாதார நிபுணர்கள் மற்றும் சுகாதார சேவை வழங்குநர்களிடமிருந்து உங்கள் டிஜிட்டல் ஆய்வக அறிக்கைகள், மருந்துச்சீட்டுகள் மற்றும் நோயறிதல் ஆகியவற்றை தடையின்றி பெற அனுமதிக்கிறது.","It executes your contacts with health providers, and allows you to seamlessly access your digital lab reports, medicine bills and diagnostics from health experts and health care providers."
Our System provides API to Third – Party Sites that may collect your personal information.,உங்கள் தனிப்பட்ட தகவல்களைச் சேகரிக்கக்கூடிய மூன்றாம் தரப்பு தளங்களுக்கு எங்கள் அமைப்பு API ஐ வழங்குகிறது.,Our system provides API to third-party sites that can collect your personal information.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,அத்தகைய தகவல் அல்லது அவர்களின் தனியுரிமை நடைமுறைகள் அல்லது அந்த மூன்றாம் தரப்பு தளங்களின் உள்ளடக்கத்திற்கு போஷன் டிராக்கர் எந்த வகையிலும் பொறுப்பாக இல்லை.,POSHAN tracker is in no way responsible for such information or their privacy practices or the content of those third party sites.
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,இந்த மூன்றாம் தரப்பு சேவை வழங்குநர்கள் மற்றும் மூன்றாம் தரப்பு தளங்கள் நீங்கள் உட்பட்ட உங்கள் தகவலைச் சேமித்து வைத்திருத்தல் ஆகியவற்றை நிர்வகிக்கும் தங்கள் தனியுரிமைக் கொள்கைகளைக் கொண்டிருக்கலாம்.,These third party service providers and third party sites may have their own privacy policies governing the storage of your information including you.
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","இந்தத் தனியுரிமைக் கொள்கையானது, இந்த மூன்றாம் தரப்பு வழங்குநர்கள் மற்றும் மூன்றாம் தரப்பு தளங்களுக்கு வழங்கப்படும், சேமித்து வைத்திருக்கும் அல்லது பயன்படுத்தப்படும் எந்தத் தகவலையும் நிர்வகிக்காது.","The Privacy Policy does not deal with any information provided, stored or used by third party providers and third party platforms."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","நீங்கள் மூன்றாம் தரப்பு தளத்தை உள்ளிடும்போது, உங்கள் தகவலைப் பாதுகாப்பது தொடர்பான மூன்றாம் தரப்பு தளத்தின் தனியுரிமைக் கொள்கையை மதிப்பாய்வு செய்யுமாறு பரிந்துரைக்கிறோம்.","When you enter a third party site, we recommend you review the privacy policy of a third party site related to protecting your information."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,தேடல் முடிவுகளிலோ அல்லது எந்த மூன்றாம் தரப்பு தளங்களிலோ வெளியிடப்படும் தகவல்களுக்கு போஷன் டிராக்கர் பொறுப்பேற்காது என்பதை நீங்கள் ஒப்புக்கொள்கிறீர்கள்.,You agree that POSHAN tracker will not be responsible for the information published in search results or any third party websites.
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,மேலே உள்ள பிரிவு 1 இன் படி SMS மூலம் உங்களுடன் தொடர்புகொள்வதற்காக உங்கள் குறிப்பு ஐடி (மொபைல் எண்) உங்கள் தனிப்பட்ட தகவலுடன் மட்டுமே தொடர்புடையதாக இருக்கும்.,"As per section 1 above, your reference ID (mobile number) will be linked to your personal information only for communicating with you through SMS."
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","தளத்தைப் பார்வையிடுவதன் மூலம் அல்லது பயன்படுத்துவதன் மூலம், அவ்வப்போது புதுப்பிக்கப்படும் இந்த விதிமுறைகளை நீங்கள் வெளிப்படையாக ஒப்புக்கொள்கிறீர்கள்.","You openly agree to these regulations, which are updated from time to time, by visiting or using the site"
"If you do not agree with any part of these terms, do not use the site.","இந்த விதிமுறைகளில் ஏதேனும் ஒரு பகுதியை நீங்கள் ஏற்கவில்லை என்றால், தளத்தைப் பயன்படுத்த வேண்டாம்.","If you do not agree to any of these terms and conditions, do not use the site."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,நீங்கள் எந்த வகையிலும் தளத்தைப் பயன்படுத்தக்கூடாது மற்றும் பிணைப்பு ஒப்பந்தத்தை உருவாக்குவதற்கு நீங்கள் சட்டப்பூர்வ வயதுடையவராக இல்லாவிட்டால் விதிமுறைகளை ஏற்க முடியாது.,You must not use the platform in any way and cannot accept the terms unless you are of legal age to create a binding agreement.
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,பேசிலஸ் கால்மெட் குரின் (BCG)வாய்வழி போலியோ தடுப்பூசி (OPV)-0 அளவு ஹெபடைடிஸ் பி பிறப்பு டோஸ் OPV-1 T,Bacillus Calmed Corine (BCG) Oral Polio Vaccine (OPV) - 0 Measles Hepatitis B Birth Dose OPV-1 T
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","பிரிவு 1-ன் கீழ் சேகரிக்கப்பட்ட தகவல்கள், பயனாளிகளின் ஆரோக்கியத்தை எளிதாக்கும் நோக்கத்திற்காகப் பயன்படுத்தப்படும்.",The information collected under Section 1 will be used for the purpose of facilitating the health of the beneficiaries.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","கணினியின் தகவல்/தரவு/ பொருட்கள் மற்றும் உள்ளடக்கங்களை புதுப்பித்தல், பாதுகாத்தல் மற்றும் சரிசெய்தல் மற்றும் ஆதரவை வழங்குதல் உள்ளிட்ட எங்கள் தயாரிப்புகளை நாங்கள் வழங்குகிறோம்.","We offer our products including updating, preserving and repairing the information / data / products and contents of the system and providing support."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","நீங்கள் போஷன் டிராக்கர் இல் பதிவு செய்யும் போது, நீங்கள் பதிவு செய்த மொபைல் எண், தரவுத்தளத்திலிருந்து உங்கள் பதிவைக் கண்டறிய பயன்படுத்தப்படும்.","While you register with POSHAN tracker, your registered mobile number will be used to track your registration from the database."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,போஷன் டிராக்கர் அமைப்பில் பதிவு செய்யப்பட்டுள்ள சுகாதார நிலையை மதிப்பிடவும் இவை பயன்படுத்தப்படலாம்.,These can also be used to assess the health status recorded in the POSHAN tracker system.
Training on ICT Platform under POSHAN Abhiyaan,போஷன் அபியான் கீழ் ICT பிளாட்ஃபார்மில் பயிற்சி,Training on ICT Platform under POSHAN Abhiyaan
"Know more about stunting, wasting and underweight","வளர்ச்சி குன்றிய நிலை, ஊட்டச்சத்து குறைபாடு மற்றும் எடை குறைவு பற்றி மேலும் அறிக","Learn more about stunting, undernutrition and weight loss"
What information to be added in AWC forms?,அடபிள்யூசி படிவங்களில் என்ன தகவல் சேர்க்கப்பட வேண்டும்?,What information should be included in the WCC forms?
How to revive your health if you are Moderately Wasted (MAM),நீங்கள் மிதமான ஊட்டச்சத்து குறைபாடு உள்ளவராக இருந்தால் (MAM) உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது,"If you are moderately undernourished (MAM), how to restore your health"
AWC Workers Registered In Last 30 Days,கடந்த 30 நாட்களில் AWC தொழிலாளர்கள் பதிவு செய்யப்பட்டது,AWC Workers Registered in Last 30 Days
Click on above button to get this App,இந்த பயன்பாட்டைப் பெற மேலே உள்ள பொத்தானைக் கிளிக் செய்க,Click on the button above to avail this service.
Beneficiaries Registered In Last 30 Days,கடந்த 30 நாட்களில் பதிவு செய்யப்பட்ட பயனாளிகள்,Number of Beneficiaries Registered in Last 30 Days
Specifications of Smart phone and Technical Compatibility Testing,ஸ்மார்ட் ஃபோனின் விவரக்குறிப்புகள் மற்றும் தொழில்நுட்ப இணக்கத்தன்மை சோதனை,Smartphone specifications and technology compatibility test
Preparation During Pregnancy - For NewBorn Care & Family Planning,கர்ப்ப காலத்தில் தயாரித்தல் - புதிதாகப் பிறந்த குழந்தை பராமரிப்பு மற்றும் குடும்பக் கட்டுப்பாடு,Preparation of Pregnancy - Newborn Care and Family Planning
Stunting is the impaired growth and development that children experience from poor nutrition,வளர்ச்சி குன்றிய நிலை என்பது குழந்தைகளின் மோசமான ஊட்டச்சத்தால் ஏற்படும் வளர்ச்சி குறைதல் ஆகும்,Malnutrition is the cause of stunting in children
Children in the age group of 3 years to 6 years,3 வயது முதல் 6 வயது வரை இருக்கும் குழந்தைகள்,Children in the age group of 3 to 6 years
What is the eligibility of a beneficiary?,ஒரு பயனாளியின் தகுதி என்ன?,What is the eligibility of a beneficiary?
Who are the target userbase of Poshan Tracker App?,போஷன் டிராக்கர் பயன்பாட்டின் இலக்கு பயனர் தளம் யார்?,Who is the target user platform for the POSHAN tracker application?
"It often indicates recent and severe weight loss, although it can also persist for a long time","இது பெரும்பாலும் சமீபத்திய மற்றும் கடுமையான எடை இழப்பைக் குறிக்கிறது, இருப்பினும் இது நீண்ட காலத்திற்கு நீடிக்கும்","This often refers to recent and severe weight loss, although it will last for a long time"
What is the minimum requirement to install Poshan Tracker App in mobile?,போஷன் டிராக்கர் பயன்பாட்டை மொபைலில் நிறுவ குறைந்தபட்ச தேவை என்ன?,What is the minimum requirement to install POSHAN tracker on mobile?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,ஆவணத்தில் விவரிக்கப்பட்டுள்ள வழிமுறைகளின் மூலம் மட்டுமே நீங்கள் தளத்தை அணுகுவீர்கள் (அல்லது அணுக முயற்சிப்பீர்கள்) மேலும் இந்த ஒப்பந்தத்தின் விதிமுறைகள் மற்றும் நிபந்தனைகளுக்கு இணங்குவீர்கள்.,You will be able to access (or attempt to access) the site only through the procedures described in the document and comply with the terms and conditions of the agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","எந்த மூன்றாம் தரப்பு உரிமைகளையும் பாதிக்காமல் உங்களுக்கும் உங்கள் தளத்தைப் பயன்படுத்துவதற்கும் பொருந்தக்கூடிய அனைத்து மத்திய மற்றும் மாநில சட்டங்கள், விதிகள் மற்றும் ஒழுங்குமுறைகளுக்கு நீங்கள் இணங்குவீர்கள்.","You will comply with all Central and State laws, rules and regulations applicable to you and to the use of your platform without affecting the rights of any third party"
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balka Spardha by registering through the website https: / / poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.,In or by downloading 'Poshan Tracker' App from Google Play Store.
The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.,பின்வருபவை https://poshantracker.,The following are available at https: / / poshantracker.
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in இல் ஹோஸ்ட் செய்யப்பட்ட போஷன் டிராக்கர் பிளாட்ஃபார்ம் மற்றும் இணைக்கப்பட்ட அனைத்து தளங்களும் அதன் நிறுவனங்கள் மற்றும் துணை நிறுவனங்கள் (ஒட்டுமொத்தமாக, ""தளம்"") உங்கள் பயன்பாட்டை நிர்வகிக்கும் சேவை விதிமுறைகள் (""விதிமுறைகள்"").","POSHAN tracker platform hosted on and all the sites connected to it, its companies and subsidiaries (collectively, the site) are the service rules (Regulations) that govern your use."
Clarification regarding Cost of Smart phones,ஸ்மார்ட் போன்களின் விலை பற்றிய விளக்கம்,Clarification on prices of smartphones
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,தட்டம்மை கொண்ட தடுப்பூசி (MCV)/தட்டம்மை & ரூபெல்லா (MR)-1ஜப்பானிய மூளைக்காய்ச்சல்(JE)-1**PCV-பூஸ்டர்,Measles Vaccine (MCV) / Measles & Rubella (MR) -1 Japanese Encephalitis (JE) -1 * PCV-Booster
Mobile number need to be validated within a week,கைபேசி எண் ஒரு வாரத்துக்குள் சரிபார்க்கப்பட வேண்டும்,Mobile number to be verified within a week
Currently a beneficiary can register by the help of an AWW,தற்போது ஒரு பயனாளி AWW இன் உதவியுடன் பதிவு செய்யலாம்,Now a user can register with the help of AWW
Awareness for Lactating Mother Complimentary Feeding for Children,பாலூட்டும் தாய்மார்களுக்கான விழிப்புணர்வு மற்றும் குழந்தைகளுக்கு துணை உணவு வழங்குதல் குறித்த விழிப்புணர்வு,Awareness for Lactating Mothers and Supplementary Nutrition to Children
New Poshan Tracker App - CSC-SPV Nodal Person,புதிய போஷன் டிராக்கர் ஆப் - CSC-SPV நோடல் நபர்,New POSHAN Tracker of CSC - SPV Nodal Person
1.1. Information you provide to us.,1.1. நீங்கள் எங்களுக்கு வழங்கும் தகவல்.,1.1. Information you provide us.
How can one access Poshan Tracker Dashboard?,போஷன் டிராக்கர் டாஷ்போர்டை ஒருவர் எவ்வாறு அணுக முடியும்?,How to access POSHAN Tracker Dashboard
Prevention of Anemia in children and adolescents girls,குழந்தைகள் மற்றும் இளம்பெண்களில் இரத்த சோகை தடுப்பு,Prevention of Anaemia in Children and Young Girls
Gangarampur Addl. I. C. D. S Project,கங்க்ராம்பூர் அடிஷனல்  ஐ. சி. டி. எஸ். புராஜக்ட்,Gangarampur Additional ICDS Project
Can a beneficiary register directly using application.,ஒரு பயனாளி விண்ணப்பத்தைப் பயன்படுத்தி நேரடியாகப் பதிவு செய்ய முடியுமா.,Can a beneficiary register directly using the application?
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,போஷன் டிராக்கர் விண்ணப்பத்தை பெண்கள் மற்றும் குழந்தைகள் மேம்பாட்டு அமைச்சகம் வெளியிட்டுள்ளது.,Ministry of Women and Child Development has released the application form for POSHAN Tracker
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.","தாய் மற்றும் குழந்தை ஊட்டச்சத்து குறைபாட்டை மேம்படுத்துவதற்கான ஊட்டச்சத்து முறைகளை வலுப்படுத்தும் அணுகுமுறையைப் பின்பற்றுவதே இதன் குறிக்கோள், அனைத்து மட்டங்களிலும் செயல்படுத்தல் சிக்கல்களை வலுப்படுத்துவதில் கவனம் செலுத்துகிறது.","The goal is to follow the approach of strengthening nutrition systems to improve maternal and child nutrition outcomes, focusing on strengthening implementation bottlenecks at all levels."
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.","போஷன் டிராக்கர் மையப்படுத்தப்பட்ட தரவுக் கட்டமைப்பைப் பயன்படுத்தி கட்டப்பட்டுள்ளது, இது மற்ற அமைச்சகங்கள் மற்றும் திட்டங்களின் டிஜிட்டல் தொழில்நுட்ப அமைப்புகளுடன் இணைகிறது.",POSHAN tracker is built using centralized data infrastructure which connects with digital technology systems of other ministries and schemes.
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.","இந்த அமைப்பு ஒவ்வொரு பயனாளிக்கும் ஒரு டிஜிட்டல் அட்டை மூலம் டிஜிட்டல் அடையாளத்தை வழங்குகிறது, மேலும் தொழில்நுட்ப மையத்துடன் கால் சென்டரை இணைக்க அனுமதிக்கிறது.",This system provides digital identity to every beneficiary through a digital card and allows call centre to be connected with the technology centre.
The system generates automated alerts to the critical last-mile beneficiaries.,முக்கியமான கடைசி மைல் பயனாளிகளுக்கு கணினி தானியங்கி விழிப்பூட்டல்களை உருவாக்குகிறது.,The critical last mile generates automated alerts for the beneficiaries.
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.",பயனாளிகள் மற்றும் கடமையாளர்களின் நிகழ்நேர வருகையை ஆவணப்படுத்துவதன் மூலம் விநியோக முறையின் திறமையான தணிக்கை இது உறுதி செய்கிறது.,It ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and stakeholders.
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.","இத்தகைய வலுவான டிஜிட்டல் தொழில்நுட்ப தளம் மற்றும் மேலாண்மை தகவல் அமைப்பு, பணியை திறம்பட அளவிட உதவும், இதன் மூலம் குறிப்பிடத்தக்க நேர்மறையான தாக்கத்தை உருவாக்கி ஆவணப்படுத்துகிறது.",Such a strong digital technology platform and management information system will help to effectively measure the performance of the work thus creating and documenting a significant positive impact.
Weight should be between 0.90 to 58,எடை 0.90-க்கும் 58-க்கும் இடையே இருக்க வேண்டும்,Weight should be between 0.90 and 58
MPIN can be easily reset by any AWW/AWC user.,எந்த அடபிள்யூடபிள்யூ / அடபிள்யூசி பயனரால் எம்பின் ஐ எளிதாக மீட்டமைக்க முடியும்.,Any AWC / AWC user can easily restore the MP.
"You are required to click on Forgot MPIN, and enter your registered mobile number.","மறந்துவிட்ட எம்பின் ஐக் கிளிக் செய்து, உங்கள் பதிவுசெய்த மொபைல் எண்ணை உள்ளிடவும்.",Click on forgot MP and enter your registered mobile number
