eng,hi,indic_trans_translated
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","इस साइट में अन्य वेबसाइटों के लिंक भी पाए जा सकते हैं जिनका स्वामित्व, रखरखाव या संचालन हमारे पास नहीं भी हो सकता है।","This site may also contain links to other websites which we may not own, maintain or operate."
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","इसके पीछे का तथ्य यह है कि ये वेबसाइटें हमारी साइटों से जुडी हुई जरूर होती हैं, लेकिन इन वेबसाइटों पर हमारा कोई नियंत्रण नहीं होने के कारण, इन वेबसाइटों को हमारी ओर से किसी भी प्रकार का भी समर्थन प्राप्त नहीं होता है।","The fact behind this is that these websites are definitely linked to our websites but since we do not have any control over these websites, these websites do not get any support from us."
We are not responsible for these websites including any content or the privacy practices of these websites.,हम इन वेबसाइटों की गोपनीय अभ्यासों या किसी भी प्रकार की सामग्री के लिए उत्तरदायी नहीं हैं।,We are not responsible for any classified exercises or content on these websites.
We strongly encourage you to familiarize yourself with the terms of use of these websites.,हम आपको इन वेबसाइटों के उपयोग की शर्तों से हमेशा अवगत रहने का अनुरोध करते हैं।,We request you to always be aware of the terms of use of these websites.
Your use of these websites is at your own risk and peril.,इन वेबसाइटों का उपयोग आपके स्वयं के जोखिम उठाने पर निर्भर है।,The use of these websites depends on your own risk.
In how many languages AWW can enter the data while filling up the form?,फॉर्म भरते समय एडब्ल्यूडब्ल्यू या एडब्ल्यूसी कितनी भाषाओं में डेटा दर्ज कर सकती है?,How many languages AWW or AWC can enter data at the time of filling the form?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।,Children identified as malnourished children are eligible for additional supplementary diet.
An underweight person is a person whose body weight is considered too low to be healthy,एक कम वजन वाला व्यक्ति वह व्यक्ति होता है जिसके शरीर का वजन स्वस्थ होने के लिए बहुत कम माना जाता है,A underweight person is someone whose body weight is considered too low to be healthy
When and how to use MPIN?,एमपीआईएन कब और कैसे इस्तेमाल करें?,When and how to use MPIN?
Ensuring that complementary feeding improves over time,समय के साथ पूरक आधार की सुनिश्चिता करना,Ensuring Supplementary Basis over time
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA के उपयोग द्वारा आपके और आपके परिवार के लिए (स्वास्थ्य पहचान पत्र) सुरक्षित और सक्षम डिजिटल स्वास्थ्य और अभिलेखों को संरक्षित करने की दिशा में उठाया गया पहला कदम है।,The use of ABHA is the first step towards preserving safe and efficient digital health and records for you and your family.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (पहले स्वास्थ्य पहचान पत्र के नाम से जाना जाता था) आयुष्मान भारत का संक्षिप्त रूप है।,ABHA (formerly known as Health ID Card) is an acronym for Ayushman Bharat.
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"एडब्ल्यूडब्ल्यू / एडब्ल्यूसी को केवल नोडल स्तर के अधिकारी द्वारा जोडा जा सकता है।पदानुक्रम में ऊपर की ओर कोई भी।राष्ट्रीय स्तर के उपयोगकर्ता के रूप में राज्य, जिला, परियोजना और क्षेत्र स्तर उपयोगकर्ता बना सकते हैं।राज्य स्तर का उपयोगकर्ता जिला, परियोजना और क्षेत्र स्तर का उपयोगकर्ता बना सकता है, जिला स्तर का उपयोगकर्ता परियोजना और क्षेत्र स्तर का उपयोगकर्ता बना सकता है, परियोजना स्तर का उपयोगकर्ता क्षेत्र का उपयोगकर्ता बना सकता है।","The AWW / AWC can be connected only by a nodal level officer, anyone up in the hierarchy can create state, district, project and area level users as national level users, state level user can become district, project and area level user, district level user can become project and area level user, project level user can become area user."
Where can I enquire about take home ration?,मैं टेक होम राशन के बारे में कहाँ पूछ सकता हूँ?,Where can I ask about Take Home Ration?
We use the information we collect from all our services for the following purposes:,हम अपनी सेवाओं द्वारा प्राप्त सूचनाओं के संग्रहण का उपयोग निम्नलिखित उद्देश्यों के लिए करते हैंः,We use the information collected by our services for the following purposes:
Identification & Referral of Sick Newborn,संदर्भित बीमार नवजात की पहचान,Referenced Identification of Sick Newborn
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. तीसरे पक्ष के सिस्टम द्वारा प्रदत आँकडों की सत्यता,XIV. Authenticity of data provided by third party system
Who is eligible for Take Home Ration?,टेक होम राशन के लिए कौन पात्र है?,Who is eligible for Take Home Ration?
Supporting mothers with issues in Breastfeeding,स्तनपान कराने में अक्षम महिलाओं के लिए सहायता प्रदान करने वाली माताएँ,Mothers who provide assistance to lactating women
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","प्रस्तावित प्रणाली को सभी एडब्ल्यूसी, एडब्ल्यू डब्ल्यू और लाभार्थियों को परिभाषित संकेतक पर वास्तविक समय की निगरानी और समझना सक्षम करना चाहिए।","The proposed system should enable real time monitoring and understanding of all AWCs, AWWs and beneficiaries on defined indicators."
Above standards are defined as per given above mentioned age brackets,कोष्ठक में दिए गए आयु अनुसार उपरोक्त मानक परिभाषित हैं,The above criteria are defined in terms of age given in parentheses
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","यदि कोई व्यक्ति कम वजन का है, तो हो सकता है कि उसके शरीर को स्वस्थ हड्डियों, त्वचा और बालों के निर्माण के लिए आवश्यक पोषक तत्व नहीं मिल रहे हों","If a person is underweight, his body may not be getting the necessary nutrients to build healthy bones, skin and hair"
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,एमपीआईएन को संबंधित आंगनवाडी कार्यकर्ता द्वारा अपने मोबाइल नंबर पर ओटीपी के लिए अनुरोध किया जा सकता है।,The MPIN can be requested for OTP by the concerned Anganwadi worker on his mobile number.
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","यदि मोबाइल नंबर पहले से ही डेटाबेस में मौजूद है, तो संबंधित आंगनवाडी व्यक्ति को पंजीकृत मोबाइल नंबर पर 4 अंकों का ओटीपी प्राप्त होगा।","If the mobile number is already present in the database, the concerned Anganwadi person will receive a 4-digit OTP on the registered mobile number."
"Post entering the OTP, AWW can easily set customized MPIN.","ओटीपी दर्ज करने के बाद, एडब्ल्यूडब्ल्यू आसानी से अनुकूलित एमपीआईएन निर्धारित कर सकता है।","After entering OTP, AWW can easily determine the adaptive MPIN."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","यह आपके स्वास्थ्य प्रदाता के साथ आपको व्यवहार्य कुशल बनाता है, और आपको सत्यापित स्वास्थ्य पेशवरों और स्वास्थ्य प्रदाताओं से मूल रूप से डिजिटल स्वास्थ्य अभिलेखों, पर्चियों एवं निदानों को प्राप्त करने की अनुमति प्रदान करता है।","It makes you practically efficient with your health provider, and allows you to get basically digital health records, slips and diagnostics from verified health professionals and health providers."
Our System provides API to Third – Party Sites that may collect your personal information.,"हमारी प्रणाली तृतीय-पक्ष की साइटों को API प्रदान करती है, जो आपकी व्यक्तिगत सूचना को एकत्र कर सकती है।",Our system provides APIs to third-party sites that can collect your personal information.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,"पोषण ट्रैकर, ऐसी सूचना या उनकी गोपनीयता अभ्यासों या उन तृतीय-पक्ष के साइटों की सामग्री की सुरक्षा के लिए किसी भी प्रकार से उत्तरदायी नहीं है।",Nutrition trackers are in no way responsible for protecting such information or their privacy practices or content of those third-party sites.
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,"इस तीसरे-पक्ष की सेवा प्रदाताओं और तृतीय-पक्ष की साइटों की अपनी गोपनीयता नीतियाँ हो सकती हैं, जो आपकी सूचना के संग्रहण और प्रतिधारण को नियंत्रित करती हैं, जिसके आप अधीन हो सकते हैं।","This third party service providers and third party sites may have their own privacy policies, which control the collection and retention of your information, to which you may be subjected."
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","यह गोपनीयता नीति इन तीसरे-पक्ष के प्रदाताओं और तीसरे-पक्ष की साइटों द्वारा प्रदत, संग्रहीत या उपयोग की जाने वाली किसी भी सूचना को नियंत्रित नहीं करती है।","This privacy policy does not control any information provided, stored or used by these third party providers and third party sites."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","हम अनुशंसा करते हैं कि किसी तीसरे-पक्ष की साइट में प्रवेश करने से पहले आप उस तीसरे पक्ष के साइट की गोपनीयता नीति की समीक्षा कर लें, क्योंकि यह आपकी सूचना की सुरक्षा से संबंधित है।","We recommend that you review the privacy policy of a third party site before entering a third party site, as it relates to the protection of your information."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,आप पोशन ट्रैकर खोज परिणामों में या किसी तीसरे पक्ष की साइट द्वारा प्रकाशित सूचना के लिए उत्तरदायी नहीं होने वाले मामलें में अपनी सहमति और स्वीकृति दोनों प्रदान करते हैं।,You provide both consent and acceptance in the Potion Tracker search results or in cases not liable for the information published by a third party site.
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,उपरोक्त खंड 1 के अनुसार SMS के माध्यम से आपसे संवाद करने के लिए आपकी संदर्भित आईडी (मोबाइल नंबर) केवल आपकी व्यक्तिगत सूचना के साथ सह-संबंधित होगी।,"As per Clause 1 above, your reference ID (mobile number) will be correlated with your personal information only for communicating with you through SMS."
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","हमारी साइट पर आकर इसका उपयोग करने का सामान्य अर्थ यह निकाला जाता है कि, आप हमारे द्वारा सामयिक आधार पर किए जाने वाले अद्यतन से संबंधित शर्तों के प्रति अपनी सहमति व्यक्त करते हैं।",The general meaning of using it on our site is that you agree to the terms and conditions related to the update that we do on a timely basis.
"If you do not agree with any part of these terms, do not use the site.","यदि आप इन शर्तों के किन्हीं भाग से सहमत नहीं हैं, तो कृपया, इस साइट का उपयोग न करें।","If you do not agree with any of these terms and conditions, please do not use this site."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,"यदि आप अनुबंध के लिए आवश्यक कानूनी पात्रता पूरी नहीं करते हैं, तो आप हमारी साइट या इससे संबंधित किसी शर्त का उपयोग नहीं कर सकते हैं।","If you do not meet the legal eligibility requirement for the contract, you cannot use our site or any conditions related to it."
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,बेसिलस कैलमेट गुएरिन (BCG)ओरलपोलियो टीकाकरण (OPV)-0 डोज जन्म के समय हेपेटाइटिस B का OPV-1 का डोज,Bacillus Calmate Guerin (BCG) Oral Polio Vaccination (OPV) - 0 dose of Hepatitis B OPV-1 at birth
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",लाभार्थियों के स्वास्थ्य को सुविधाजनक बनाने के उद्देश्य से खंड 1 के तहत एकत्र की गई सूचना का उपयोग किया जाता है।,The information collected under Section 1 is used for the purpose of facilitating the health of the beneficiaries.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","हम अपने उत्पाद में सिस्टम की सूचना/आँकडा/सामग्री और सामग्री को अपडेट करना, सुरक्षित करना और समस्या के निवारण आदि के साथ-साथ सहायता प्रदान करना भी शामिल है।","We also include updating, securing and troubleshooting the information / data / materials and materials of the system in our product."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","जब आप पोशन ट्रैकर पर पंजीकरण करते हैं, तो जिस मोबाइल नंबर से आपने पंजीकरण किया है, उसका उपयोग डेटाबेस से आपके रिकॉर्ड का पता लगाने के लिए किया जाता है।","When you register on the Poshan Tracker, the mobile number from which you have registered is used to locate your records from the database."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,इनका उपयोग पोशन ट्रैकर प्रणाली में दर्ज स्वास्थ्य स्थिति का आकलन करने के लिए भी किया जा सकता है।,These can also be used to assess the health status recorded in the POSHAN tracker system.
Training on ICT Platform under POSHAN Abhiyaan,पोषण अभियान के तहत ICT प्लैटफार्म पर प्रशिक्षण,Training on ICT Platform under POSHAN Abhiyaan
"Know more about stunting, wasting and underweight","स्टंटिंग, वेस्टिंग और कम वजन के बारे में और अधिक जाने","Learn more about stunting, wasting and underweight"
What information to be added in AWC forms?,एडब्ल्यूसी फॉर्म में कौन सी जानकारी जोडी जानी चाहिए?,What information should be added to the AWC form?
How to revive your health if you are Moderately Wasted (MAM),"यदि आप मध्यम रूप से बीमार (एमएएम) हैं, तो अपने स्वास्थ्य को पुनर्जीवित कैसे करें","If you are moderately ill (MAM), how to revive your health"
AWC Workers Registered In Last 30 Days,AWC कार्यकर्ता पिछले 30 दिनों में पंजीकृत है,AWC workers have been registered in the last 30 days
Click on above button to get this App,इस ऐप को प्राप्त करने के लिए उपरोक्त बटन पर क्लिक करें,Click on the above button to download the app
Beneficiaries Registered In Last 30 Days,लाभार्थी अंतिम 30 दिनों में पंजीकृत हैं,Beneficiaries are registered in last 30 days
Specifications of Smart phone and Technical Compatibility Testing,स्मार्ट फोन के विनिर्देश और तकनीकी संगतता परीक्षण,Specification and Technical Compatibility Testing of Smart Phones
Preparation During Pregnancy - For NewBorn Care & Family Planning,गर्भावस्था के दौरान की जाने वाली तैयारी- नवजातों की देखभाल और परिवार नियोजन के संदर्भ में,PREPARATION DURING PREPARATION OF PREGNANCY CARE AND FAMILY PLANNING
Stunting is the impaired growth and development that children experience from poor nutrition,"बौनापन बिगडा हुआ विकास और वृद्धि है, जो बच्चे में खराब पोषण के कारण होता है",dwarfism is stunted growth and development due to poor nutrition in the child
Children in the age group of 3 years to 6 years,3-6 वर्ष तक की आयु वाले बच्चे,Children in the age group of 3-6 years
What is the eligibility of a beneficiary?,लाभार्थी की पात्रता क्या है?,What is the eligibility of the beneficiary?
Who are the target userbase of Poshan Tracker App?,पोषण ट्रैकर ऐप के टारगेट यूजरबेस कौन हैं?,Who are the target users of the POSHAN Tracker App?
"It often indicates recent and severe weight loss, although it can also persist for a long time","यह अक्सर तात्कालिक और गंभीर वजन घटाने का संकेत देता है, हालाँकि, यह लंबे समय तक भी बना रह सकता है","This often indicates immediate and severe weight loss, however, it may also persist for a long time"
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाइल में पोषण ट्रैकर ऐप इंस्टॉल करने के लिए न्यूनतम आवश्यकता क्या है?,What is the minimum requirement to install the POSHAN Tracker App in mobile?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,आप साइट तक केवल दस्तावेजों में वर्णित माध्यमों से पहुँच (या एक्सेस करने का प्रयास) प्राप्त कर सकेंगे एवं इस अनुबंध के नियमों और शर्तों का पालन भी करेंगे।,You will be able to access the site only through the means mentioned in the documents and will also comply with the terms and conditions of the agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","आप आपके साइटों के उपयोग पर लागू होने वाले या किसी भी तीसरे पक्ष के अधिकारों को प्रभावित करने वाले सभी केंद्रीय एवं राज्य कानूनों, नियमों और विनियमों का पालन करेंगे।","You will comply with all Central and State laws, rules and regulations applicable to the use of your sites or affecting the rights of any third party."
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balka Spardha by registering through the website https: / / poshantracker.org.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.,The app can be downloaded from Google Play Store.
Clarification regarding Cost of Smart phones,स्मार्ट फोन की लागत के संदर्भ में स्पष्टीकरण,Clarification in respect of Cost of Smartphones
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,खसरा युक्त टीका (MCV) / खसरा और रूबेला (MR) -1जापानी इंसेफेलाइटिस (JE)-1**PCV-बूस्टर,Measles Contaminated Vaccines (MCV) / Measles and Rubella (MR) -1 Japanese Encephalitis (JE) -1 * PCV-Booster
Mobile number need to be validated within a week,मोबाइल नंबर को एक सप्ताह के अंदर सत्यापित करने की आवश्यकता है,The mobile number needs to be verified within a week
Currently a beneficiary can register by the help of an AWW,"वर्तमान में, एक लाभार्थी आँगनवाडी कार्यकर्ता की सहायता से पंजीकरण करा सकता है","At present, a beneficiary can register with the help of an anganwadi worker"
Awareness for Lactating Mother Complimentary Feeding for Children,बच्चों को स्तनपान कराने वाली महिलाओं के पूरक आहार के बारे में जागरूकता,Awareness on Supplementary Nutrition of Women who breastfeed their children
New Poshan Tracker App - CSC-SPV Nodal Person,नया पोषण ट्रैकर एप्प-CSC-SPV नोडल व्यक्ति,New POSHAN Tracker App - CSC - SPV Nodal Person
1.1. Information you provide to us.,1.1. आपके द्वारा प्रदत सूचना।,1.1. Information provided by you.
How can one access Poshan Tracker Dashboard?,पोषण ट्रैकर डैशबोर्ड तक कोई कैसे पहुंच सकता है?,How can one access the nutrition tracker dashboard?
Prevention of Anemia in children and adolescents girls,बच्चों और किशोरियों में होने वाली रक्त की कमी से बचाव,Prevention of anaemia in children and adolescents
Gangarampur Addl. I. C. D. S Project,गंगारामपुर अडिशनल  आईसीडीएस परियोजना,Gangarampur Additional ICDS Project
Can a beneficiary register directly using application.,क्या कोई लाभार्थी आवेदन के उपयोग द्वारा सीधे पंजीकरण कर सकता है।,Can a beneficiary register directly using the application?
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,महिला और बाल विकास मंत्रालय ने पोषण ट्रैकर एप्लिकेशन को शुरू किया है।,The Ministry of Women and Child Development has launched the Poshan Tracker application.
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.","लक्ष्य पोषण प्रणाली का पालन करना है जो मातृ और बच्चे के पोषण में सुधार के लिए दृष्टिकोण को मजबूत कर रही है, सभी स्तरों पर कार्यान्वयन बाधाओं को मजबूत करने पर ध्यान केंद्रित किया गया है।","The goal is to follow the nutrition system that is strengthening the approach for improving maternal and child nutrition, with focus on strengthening implementation bottlenecks at all levels."
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.","पोषण ट्रैकर को केंद्रीकृत डेटा आर्किटेक्चर का उपयोग करके बनाया गया है, जो अन्य मंत्रालयों और कार्यक्रमों की डिजिटल प्रौद्योगिकी प्रणालियों के साथ भी संरेखित करता है।",POSHAN tracker is built using centralized data architecture which aligns with digital technology systems of other ministries and programmes as well.
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.","सिस्टम डिजिटल कार्ड के माध्यम से प्रत्येक लाभार्थी को एक डिजिटल पहचान प्रदान करता है, और प्रौद्योगिकी मंच के साथ कॉल सेंटर के अभिसरण की अनुमति देता है।","The system provides a digital identity to each beneficiary through digital card, and allows convergence of call centre with technology platform."
The system generates automated alerts to the critical last-mile beneficiaries.,सिस्टम महत्वपूर्ण अंतिम-मील लाभार्थियों के लिए स्वचालित अलर्ट उत्पन्न करता है।,The system generates automated alerts for critical last-mile beneficiaries.
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.",यह लाभार्थियों और ड्यूटी बियरर की वास्तविक समय उपस्थिति का दस्तावेजीकरण करके वितरण प्रणाली की कुशल ऑडिट सुनिश्चित करता है।,It ensures efficient audit of the distribution system by documenting the real time presence of the beneficiaries and the duty bearer.
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.","इस तरह के एक मजबूत डिजिटल प्रौद्योगिकी मंच और प्रबंधन सूचना प्रणाली, मिशन को कुशलतापूर्वक पैमाने पर लाने में मदद करेगी, जिससे महत्वपूर्ण सकारात्मक प्रभाव उत्पन्न और दस्तावेज होगा।",Such a strong digital technology platform and management information system will help to efficiently scale the mission leading to significant positive impact and documentation.
Weight should be between 0.90 to 58,वजन 0.90 सँ 58 केर बीच होयबाक चाही,Weighed 0.90 to 58 Kg
We own the intellectual property rights in the Site and Content.,हमारे पास बौद्धिक संपदा अधिकारों के तहत साइट और उसकी सामग्री का स्वामित्व प्राप्त है।,We have ownership of the site and its contents under intellectual property rights.
We may change the Content and features of the Site at any time.,हम किसी भी समय साइट की सामग्री और सुविधाओं में परिवर्तन कर सकते हैं।,We can change the content and features of the site at any time.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.","इस साइट पर प्रदर्शित पंजीकृत और अपंजीकृत ट्रेडमार्क, प्रतीक चिह्न और सेवा चिह्न हमारे या हमारे लाइसेंसकर्ताओं के स्वामित्व के अधीन है।","Registered and unregistered trademarks, logo and service marks displayed on this site are owned by us or our licensees."
"You may not use our trademarks, logos, and service marks in any way without our prior written permission.","आप हमारी पूर्व लिखित अनुमति के बिना किसी भी प्रकार से अपने ट्रेडमार्क, प्रतीक चिह्नों और सेवा चिह्नों का उपयोग नहीं कर सकते हैं।","You cannot use your trademarks, insignia and service marks in any manner without our prior written permission."
Material featured on this website may be reproduced free of charge.,इस वेबसाइट पर प्रदर्शित सामग्री को बिना किसी अतिरिक्त शुल्क के पुनः प्रस्तुत किया जा सकता है।,The content displayed on this website can be reproduced without any additional charges.
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.",किसी भी प्रकाशित या दूसरों को निर्गत की जा सामग्री के स्रोत को प्रमुखता से स्वीकार किया जाना चाहिए।,The source of any published material or material to be released to others should be accepted prominently.
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","हालाँकि, किसी तीसरे पक्ष के कॉपीराइट के रूप में पहचाने जाने वाली सामग्री को पुनः पेश करने की अनुमति किसी भी सामग्री तक विस्तारित नहीं होगी।","However, reproduction of material identified as copyrighted by a third party will not be allowed to extend to any content."
MPIN can be easily reset by any AWW/AWC user.,एमपीआईएन को किसी भी एडब्ल्यूडब्ल्यू / एडब्ल्यूसी उपयोगकर्ता द्वारा आसानी से दोबारा निर्धारित किया जा सकता है।,MPIN can be easily reset by any AWW / AWC user.
"You are required to click on Forgot MPIN, and enter your registered mobile number.","आपको भूल गए एमपीआईएन पर क्लिक करना होगा, और अपना पंजीकृत मोबाइल नंबर दर्ज करना होगा।","You have to click on the forgot MPIN, and enter your registered mobile number."
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,आपको अपने पंजीकृत मोबाइल नंबर पर ओटीपी प्राप्त होगा और आप अपने एमपीआईएन को आसानी से दोबारा निर्धारित कर सकते हैं।,You will get OTP on your registered mobile number and you can easily reset your MPIN.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,पोषण ट्रैकर को आँगनवाडी कार्यकर्ताओं के उत्तम सेवा वितरण के साथ कार्यों के बेहतर प्रदर्शन के लिए प्रदान किया गया है।,POSHAN tracker has been awarded for better performance of works along with excellent service delivery to Anganwadi workers.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,यह पोषण अभियान के तहत महत्वपूर्ण और लाभार्थी केन्द्रित सेवा वितरण एप्लिकेशन है जो वास्तविक समयावधि के साथ विश्लेषण को भी प्रोत्साहित करेगा।,It is an important and beneficiary centric service delivery application under POSHAN Abhiyaan which will also promote real-time analytics.
Please enter valid Date of Birth,"कृपया, मान्य जन्मतिथि दर्ज करें",Please enter valid date of birth
Who is eligible for additional supplementary food?,अतिरिक्त पूरक आहार के लिए कौन पात्र है?,Who is eligible for additional supplementary diet?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.",हम आपको बिना बताए साइट के किसी भी भाग को संलग्न करने या हटाने या उसमें सशर्त परिवर्तन या संशोधन करने से संबंधित अधिकार को सुरक्षित रखते हैं।,We reserve the right to attach or remove or modify any part of the site without your knowledge.
Any changes or updates will be effective immediately.,किसी भी प्रकार के परिवर्तन और अद्यतन को त्वरित रूप से प्रभावशाली माना जाएगा।,Any change and update will be treated as effective immediately.
You take the responsibility to check these Terms of Use periodically for changes.,यह आपका उत्तरदायित्व है कि आप सामयिक आधार पर शर्तों के उपयोग में होने वाले परिवर्तनों की जाँच करते रहें।,It is your responsibility to keep track of the changes in the use of the conditions on a periodic basis.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,हमारी साइट के पुनरीक्षण के बाद आपके द्वारा उसका निरंतर उपयोग हमारी संशोधित शर्तों के प्रति आपकी स्वीकृति को प्रदर्शित करता है।,Your continued use of our site after its revision demonstrates your acceptance of our revised Terms of Reference.
How many different types of reports can be generated over Poshan Tracker Dashboard?,पोषण ट्रैकर डैशबोर्ड पर कितने विभिन्न प्रकार के अभिलेख उत्पन्न की जा सकती हैं?,How many different types of records can be generated on the nutrition tracker dashboard?
How to revive your health if you are Severely Wasted (SAM),"यदि आप गंभीर रूप से बीमार हो गए हैं, तो अपने स्वास्थ्य को पुनर्जीवित (एसएएम) कैसे करें","If you are seriously ill, how to revive your health (SAM)"
"See assessment charts for Stunted, Wasted and Underweight parameters","स्टंटेड, वेस्टेड और कम वजन से संबंधित मापदंडों के लिए मूल्यांकन तालिका देखें","See the evaluation table for parameters related to stained, wasted and underweight"
Resources for growth monitoring and general awareness,विकास निगरानी और सामान्य जागरूकता के लिए संसाधन,Resources for Development Monitoring and General Awareness
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,एडब्ल्यूडब्ल्यू एक विशेष आंगनवाडी केंद्र में मौजूद बुनियादी ढांचे से संबंधित विवरण दर्ज करने के लिए आवश्यक हैं।,AWWs are required to enter the details related to the infrastructure available in a particular Anganwadi Centre.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","इसमें संरचना, बुनियादी सुविधाएं, सुख-सुविधाएँ, स्वच्छता, पेयजल आदि शामिल हैं।","This includes infrastructure, basic amenities, amenities, sanitation, drinking water etc."
Lactating mothers who received Take Home Ration (THR),स्तनपान कराने वाली माताओं को प्राप्त होने वाला टेक होम राशन (THR),Take Home Ration (THR) to Lactating Mothers
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.",इस गोपनियता नीति के अनुसार पोषण ट्रैकर बिना किसी विशिष्ट शर्त और अधिसूचना के किसी भी भाग को संलग्न करने या हटाने या उसमें परिवर्तन या संशोधन करने से संबंधित अधिकार को सुरक्षित रखता है।,"As per this Privacy Policy, the POSHAN tracker reserves the right to attach or remove or alter or modify any part thereof without any specified conditions and notification."
Any changes or updates will be effective immediately.,किसी भी प्रकार के परिवर्तन और अद्यतन को त्वरित रूप से प्रभावशाली माना जाएगा।,Any change and update will be treated as effective immediately.
You should review this Privacy Policy regularly for changes.,आपको इस गोपनियता नीति में परिवर्तन करने हेतु नियमित अंतराल पर पुनरीक्षित करना चाहिए।,You should revise this privacy policy at regular intervals to make changes.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.",इस गोपनियता नीति में किसी भी महत्वपूर्ण परिवर्तन को हम सामान्यतः सभी उपयोगकर्ताओं को कम व्यवसायिक कीमतों पर सूचना प्रणाली के माध्यम से पहुँचाने का प्रयास करते हैं।,We generally try to convey any significant change in this Privacy Policy to all users through the information system at low commercial prices.
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","हालाँकि, एक सिस्टम का उपयोगकर्ता होने के नाते, आपको गोपनियता नीति में किए गए परिवर्तनों को नियमित रूप से देखते रहना चाहिए।","However, being a user of a system, you should regularly observe the changes made in the privacy policy."
