eng,or,indic_trans_translated
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,ବେଆଇନ କାର୍ଯ୍ୟକଳାପକୁ ପ୍ରୋତ୍ସାହନ ଦେବା ପାଇଁ କିମ୍ବା ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ସହିତ ଏହି ସର୍ତ୍ତଗୁଡିକ ସହିତ ତୃତୀୟ-ପକ୍ଷ ଅଧିକାରର ଉଲ୍ଲଂଘନକୁ ପ୍ରୋତ୍ସାହନ ଦେବା ପାଇଁ ଏହି ସଂସ୍ଥାଗୁଡିକ API / No-code ୱେବପୃଷ୍ଠା ସଂଯୋଗକୁ ବ୍ୟବହାର କରିବେ ନାହିଁ |,These entities shall not use the API / no-code webpage connection to promote unlawful activities or to promote third party rights violation with these conditions with a background tracker.
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ଗର୍ଭବତୀ ମହିଳା, ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମା, 6 ମାସରୁ 3 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲା ଏବଂ କିଶୋର ବାଳିକା |","Pregnant women, lactating mothers, children between the age of 6 months and 3 years and adolescent girls."
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","ନୂଆ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ଃ CSC-SPV ନୋଡାଲ୍ ବ୍ୟକ୍ତି (02 ଫେବୃଆରୀ, 2021)","New Position Tracker App: CSC-SPV Nodal Person (02 February, 2021)"
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ଜଣେ AWW ଏକ ହିତାଧିକାରୀଙ୍କୁ ଗୋଟିଏ AWC ରୁ ଅନ୍ୟ AWC ଆଧାର ନମ୍ବର ଆଧାରରେ ସ୍ଥାନାନ୍ତର କରିବା ପାଇଁ 'ସ୍ଥାନାନ୍ତର ହିତାଧିକାରୀ' ବିକଳ୍ପ ବ୍ୟବହାର କରିପାରିବ |,An AWW can use the 'Transfer Beneficiary' option to transfer one beneficiary from one AWC to another based on the AWC Aadhaar number.
A beneficiary is eligible for HCM for at least 21 days in a month.,ଜଣେ ହିତାଧିକାରୀ ଏକ ମାସରେ ଅତି କମ୍ ରେ 21 ଦିନ ପାଇଁ HCM ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,A beneficiary is eligible for HCM for a minimum period of 21 days in a month.
ABHA (Health ID) and its Benefits,ABHA (ସ୍ୱାସ୍ଥ୍ୟ ID) ଏବଂ ଏହାର ଉପକାରିତା,ABHA (Health ID) and its benefits
"We'ar sorry, the page you requested could not be found.","ଆମେ ଦୁ sorry ଖିତ, ଆପଣ ଅନୁରୋଧ କରିଥିବା ପୃଷ୍ଠା ମିଳିଲା ନାହିଁ |","We are sorry, the page you requested could not be found."
Dadra & Nagar Haveli - Daman & Diu,ଦାଦ୍ରା ଏବଂ ନଗର ହାଭେଲି - ଦମାନ ଏବଂ ଦିଉ,Dadra and Nagar Haveli Daman and Diu
Download Mobile App from Play Store,ପ୍ଲେ ଷ୍ଟୋରରୁ ମୋବାଇଲ୍ ଆପ୍ ଡାଉନଲୋଡ୍ କରନ୍ତୁ,Download the app from the Play Store
General Awareness on the Delivery of the child,ଶିଶୁର ପ୍ରସବ ଉପରେ ସାଧାରଣ ସଚେତନତା,Awareness on child labour
Where can I enquire about Hot Cooked Meal?,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ ବିଷୟରେ ମୁଁ କେଉଁଠାରେ ପଚାରିବି?,Where can I ask about hot cooked food?
In how many languages AWW can enter the data while filling up the form?,ଫର୍ମ ପୂରଣ କରିବା ସମୟରେ ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ କିମ୍ୱା ଏଡବ୍ଲ୍ୟୁସି କେତେଗୋଟି ଭାଷାରେ ତଥ୍ୟ ପ୍ରବେଶ କରିପାରିବେ?,How many languages will AWWs or AWWs be able to enter the data at the time of filling up the form
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ପୁଷ୍ଟିକର ଖାଦ୍ୟର ଅଭାବ ବୋଲି ଚିହ୍ନିତ ପିଲାମାନେ ଅତିରିକ୍ତ ଖାଦ୍ୟ ସପ୍ଲିମେଣ୍ଟ ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,Children identified as deficient in nutrition are eligible for additional food supplements.
An underweight person is a person whose body weight is considered too low to be healthy,"ଜଣେ ଓଜନିଆ ବ୍ୟକ୍ତି ହେଉଛନ୍ତି ଜଣେ ବ୍ୟକ୍ତି, ଯାହାର ଶରୀରର ଓଜନ ସୁସ୍ଥ ରହିବା ପାଇଁ ଅତ୍ୟଧିକ କମ୍ ବୋଲି ବିବେଚନା କରାଯାଏ |",A person who is overweight is considered to be too underweight to be healthy.
