eng,kn,indic_trans_translated
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ವಿವಿಧ ಜನಾಂಗೀಯ ಹಿನ್ನೆಲೆಗಳು ಮತ್ತು ಸಾಂಸ್ಕೃತಿಕ ಸೆಟ್ಟಿಂಗ್ಗಳಿಂದ (ಬ್ರೆಜಿಲ್, ಘಾನಾ, ಭಾರತ, ನಾರ್ವೆ, ಓಮನ್ ಮತ್ತು USA) ಸುಮಾರು 8500 ಮಕ್ಕಳಿಂದ ಪ್ರಾಥಮಿಕ ಬೆಳವಣಿಗೆಯ ಡೇಟಾ ಮತ್ತು ಸಂಬಂಧಿತ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸಿದೆ","MGRS has collected primary growth data and related information from around 8500 children from various ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and USA)"
Children of different age groups are monitored on monthly basis by AWWs.,ವಿವಿಧ ವಯೋಮಾನದ ಮಕ್ಕಳನ್ನು AWW ಮಾಸಿಕವಾಗಿ ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡುತ್ತಾರೆ.,AWW monitors children of various ages on a monthly basis.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","ಕುಂಠಿತವಾಗುವಿಕೆ, ಕ್ಷೀಣಿಸುವಿಕೆ ಮತ್ತು ಕಡಿಮೆ ತೂಕದಂತಹ ಆರೋಗ್ಯ ಸೂಚಕಗಳನ್ನು WHO ಮಾನದಂಡಗಳ ಪ್ರಕಾರ ಅಳೆಯಲಾಗುತ್ತದೆ.","Health indicators such as fainting, depletion and underweight are measured according to WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,"ನಿಯಮಿತ ಬೆಳವಣಿಗೆಯ ಮೇಲ್ವಿಚಾರಣೆಯು AWW, ಮಕ್ಕಳಿಗೆ ಸೂಕ್ತ ಮತ್ತು ಸಮಯೋಚಿತ ಸಹಾಯವನ್ನು ಒದಗಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ",Regular growth monitoring will help AWW to provide appropriate and timely support to children
"Awareness for Children Stunting, Wasting to prevent malnutrition in children",ಮಕ್ಕಳಲ್ಲಿನ ಅಪೌಷ್ಟಿಕತೆ ತಡೆಗಟ್ಟಲು ಕುಂಠಿತ ಸ್ಥಿತಿಯ ಬಗ್ಗೆ ಜಾಗೃತಿ,Awareness on Malnutrition among children
Poshan Tracker adds new application features,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಹೊಸ ಅಪ್ಲಿಕೇಶನ್ ವೈಶಿಷ್ಟ್ಯಗಳನ್ನು ಸೇರಿಸುತ್ತದೆ,The Potion Tracker adds new app features
Making or Updating Home Visit Planner and Initiating home visits,ಮನೆ ಭೇಟಿ ಯೋಜಕವನ್ನು ರಚಿಸಸುವುದು ಅಥವಾ ನವೀಕರಿಸುವುದು ಮತ್ತು ಮನೆ ಭೇಟಿಯನ್ನು ಪ್ರಾರಂಭಿಸುವುದು,Create or renew a home visit plan and start a home visit
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ಪೋಷನ್ ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಅನ್ನು ವಿಶ್ವ ಆರೋಗ್ಯ(WHO) ಸಂಸ್ಥೆ ನಿಗದಿಪಡಿಸಿದ ಮಾನದಂಡದ ಪ್ರಕಾರ ಮಗುವಿನ ಬೆಳವಣಿಗೆಯನ್ನು ಅಳೆಯಲು ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ,The nutrition calculator is designed to measure the growth of a child as per the criteria set by the World Health Organization (WHO)
Migrated from one category to another,ಒಂದು ವರ್ಗದಿಂದ ಇನ್ನೊಂದು ವರ್ಗಕ್ಕೆ ವಲಸೆ ಹೋಗಿದ್ದಾರೆ,Migration from one class to another
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ಒಬ್ಬ ವ್ಯಕ್ತಿಯು ಸಾಕಷ್ಟು ಗುಣಮಟ್ಟದ ಮತ್ತು ಪ್ರಮಾಣದ ಆಹಾರವನ್ನು ಸೇವಿಸದಿದ್ದಾಗ ಮತ್ತು/ಅಥವಾ ಅವರು ಮರುಕಳಿಸುವ ಅಥವಾ ದೀರ್ಘಕಾಲದ ಅನಾರೋಗ್ಯವನ್ನು ಹೊಂದಿರುವಾಗ ಇದು ಸಾಮಾನ್ಯವಾಗಿ ಸಂಭವಿಸುತ್ತದೆ,It usually occurs when a person does not consume enough quality and quantity of food and / or they have recurrent or chronic illness
Malnutrition is one of the most important challenges facing contemporary India.,ಸಮಕಾಲೀನ ಭಾರತ ಎದುರಿಸುತ್ತಿರುವ ಪ್ರಮುಖ ಸವಾಲುಗಳಲ್ಲಿ ಅಪೌಷ್ಟಿಕತೆ ಒಂದು.,Malnutrition is one of the major challenges facing contemporary India
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,ಪೌಷ್ಠಿಕಾಂಶವನ್ನು ರಾಷ್ಟ್ರೀಯ ಮತ್ತು ಜಾಗತಿಕ ಸುಸ್ಥಿರ ಅಭಿವೃದ್ಧಿ ಗುರಿಗಳ ಸಾಧನೆಗೆ ಕೇಂದ್ರವೆಂದು ಒಪ್ಪಿಕೊಳ್ಳಲಾಗಿದೆ.,Nutrition has been recognized as central to achieving national and global Sustainable Development Goals.
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.","ಸಮುದಾಯದಲ್ಲಿ ಕಳಪೆ ಆರೋಗ್ಯ ಮತ್ತು ಬಡತನದ ಅಂತರಜನಾಂಗೀಯ ಚಕ್ರವನ್ನು ಬದುಕಲು, ಅಭಿವೃದ್ಧಿ ಹೊಂದಲು ಮತ್ತು ಮುರಿಯಲು ಮಹಿಳೆಯರು ಮತ್ತು ಮಕ್ಕಳು ಅತ್ಯುತ್ತಮ ಮತ್ತು ಸೂಕ್ತವಾದ ಪೋಷಣೆ ಅಗತ್ಯ.","Women and children need the best and proper nutrition to survive, thrive and break the inter-caste cycle of poor health and poverty in the community."
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ಪೋಷಣ್ ಅಭ್ಯಾನ್ ಭಾರತದಲ್ಲಿ, ಮಕ್ಕಳ, ಹದಿಹರೆಯದವರ, ಗರ್ಭ್ಹಿಣಿಯರ ಹಾಗೂ ಹಾಲುಣಿಸುವ ತಾಯಂದಿರ ಪೋಷಣೆಯ ಫಲಿತಾಂಶವನ್ನು ಸುಧಾರಿಸಲು, ತಾಂತ್ರಿಕವಾಗಿ, ಒಂದು ಉದ್ದೇಶಿತ ವಿಧಾನ ಹಾಗೂ ಒಮ್ಮುಖದಿಂದ ಪ್ರಾರಂಭಿಸಿದ ಒಂದು ಪ್ರಮುಖ ಕಾರ್ಯಕ್ರಮ.","POSHAN ABHIYAN is a flagship programme in India that aims to improve the nutritional outcomes of children, adolescents, pregnant women and lactating mothers through a targeted approach and convergence."
Hot Cooked Meal (HCM) given in last 30 days,ಕಳೆದ ೩೦ ದಿನಗಳಲ್ಲಿ ಕೊಟ್ಟ ಬೇಯಿಸಿದ ಬಿಸಿಯೂಟ(ಎಚ್. ಸಿ. ಎಮ್),Hot cooked meals (HCM) served during last 30 days
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ನಲ್ಲಿ ಅಂಗನವಾಡಿ ಸೇವಾ ಯೋಜನೆಗಳ ಡೇಟಾವನ್ನು ಅಪ್ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ,Data of Anganwadi Services Schemes being uploaded on Poshan Tracker
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಆ್ಯಪ್   ಫಲಾನುಭವಿಗಳಿಗೆ ಸ್ವಯಂಚಾಲಿತ ಸೂಚನೆಗಳನ್ನು ನೀಡುತ್ತದೆ.,The POSHAN Tracker app provides automated instructions to the beneficiaries
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,ಇದು ಫಲಾನುಭವಿಗಳು ಮತ್ತು ಕರ್ತವ್ಯ ಹೊಂದಿರುವವರ ನೈಜ ಸಮಯದ ಹಾಜರಾತಿಯನ್ನು ದಾಖಲಿಸುವ ಮೂಲಕ ವಿತರಣಾ ವ್ಯವಸ್ಥೆಯ ಸಮರ್ಥ ಲೆಕ್ಕಪರಿಶೋಧನೆಯನ್ನು ಖಚಿತಪಡಿಸುತ್ತದೆ.,This will ensure effective audit of distribution system by recording real time attendance of beneficiaries and stakeholders.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","ಈ ನಿರ್ವಹಣಾ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆಯು ಪೌಷ್ಠಿಕಾಂಶ ಕಾರ್ಯಕ್ರಮವನ್ನು ಪರಿಣಾಮಕಾರಿಯಾಗಿ ಅಳೆಯುವಲ್ಲಿ ಸಹಾಯ ಮಾಡುತ್ತದೆ, ಇದರಿಂದ ಧನಾತ್ಮಕ ಪರಿಣಾಮವನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ ಮತ್ತು ದಾಖಲಿಸುತ್ತದೆ","This Management Information System (MIS) will help in effectively measuring the nutrition programme, which will have a positive impact and will record"
How can one Download Poshan Tracker App?,ಪೋಷಣ್ ತ್ರ್ಯಾಕರ್ ಆಪ್ಪನ್ನು ಹೇಗೆ ಡೌನ್ಲೋಡ್ ಮಾಡಬಹುದು?,How to download the app?
"Clarification regarding Cost of Smart phones (03 June, 2021)","ಸ್ಮಾರ್ಟ್ ಫೋನ್ ಬೆಲೆಯ ಕುರಿತು ಸ್ಲಷ್ಟೀಕರಣ (೦೩ ಜೂನ್, ೨೦೨೧)","Discount on Smartphone Prices (June 03, 2021)"
along with status update once resolved,ಒಮ್ಮೆ ಪರಿಹರಿಸಿದ ಸ್ಥಿತಿಯ ನವೀಕರಣದೊಂದಿಗೆ,With the update of the once solved status
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.","ಪೋಷನ್ ಟ್ರಾಕರ್ ಸಿಸ್ಟಮ್ ಅನ್ನು, ಸಿಸ್ಟಮ್ ನ ಸುರಕ್ಷತೆ ಮತ್ತು ಸ್ಕೇಲೇಬಿಲಿಟಿಗಾಗಿ ಎಂಡಬ್ಲ್ಯೂ ಸಿಡಿ ಇಂದ ತೊಡಗಿಸಲ್ಪಟ್ಟ ಆಡಿಟರ್ ಗಳಿಂದ ನಿಯಮಿತವಾಗಿ ಆಡಿಟ್ ಮಾಡಲಾಗುತ್ತದೆ.",The POSHAN tracker system is regularly audited by auditors engaged by NWCD for security and scalability of the system.
