eng,pa,indic_trans_translated
"While the translations are done on a best effort basis, some of the parts may be incorrect.","ਹਾਲਾਂਕਿ ਅਨੁਵਾਦ ਵਧੀਆ ਕੋਸਿਸ ਦੇ ਆਧਾਰ 'ਤੇ ਕੀਤੇ ਗਏ ਹਨ, ਪਰ ਕੁਝ ਹਿੱਸੇ ਗਲਤ ਹੋ ਸਕਦੇ ਹਨ।","Though translations have been made on the basis of good case studies, some parts may be wrong."
Certain files and other items on the website cannot be translated.,ਵੈੱਬਸਾਈਟ 'ਤੇ ਕੁਝ ਫਾਈਲਾਂ ਅਤੇ ਹੋਰ ਆਈਟਮਾਂ ਦਾ ਅਨੁਵਾਦ ਨਹੀਂ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ।,Some files and other items on the website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","ਇਸ ਤੋਂ ਇਲਾਵਾ, ਅਨੁਵਾਦ 'ਤੇ, ਭਾਸਾਵੀਂ ਰੁਕਾਵਟਾਂ ਦੇ ਕਾਰਨ, ਕੁਝ ਐਪਲੀਕੇਸਨਾਂ ਅਤੇ/ਜਾਂ ਸੇਵਾਵਾਂ ਉਮੀਦ ਅਨੁਸਾਰ ਕੰਮ ਨਹੀਂ ਕਰ ਸਕਦੀਆਂ।","Further, on translation, due to language barriers, some applications and / or services may not work as expected."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","ਅਸੀਂ ਇਸ ਪੋਰਟਲ 'ਤੇ ਪ੍ਰਦਾਨ ਕੀਤੇ ਅਨੁਵਾਦਾਂ ਵਿੱਚ ਕਿਸੇ ਵੀ ਤਰੁੱਟੀ, ਭੁੱਲ ਜਾਂ ਅਸਪਸਟਤਾ ਨੂੰ ਸੁਧਾਰਨ ਲਈ ਲਗਾਤਾਰ ਕੰਮ ਕਰ ਰਹੇ ਹਾਂ।","We are constantly working to correct any errors, omissions or ambiguities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ਨੇ ਵਿਆਪਕ ਤੌਰ 'ਤੇ ਵੱਖ-ਵੱਖ ਨਸਲੀ ਪਿਛੋਕੜ ਅਤੇ ਸੱਭਿਆਚਾਰਕ ਦੇ (ਬ੍ਰਾਜੀਲ, ਘਾਨਾ, ਭਾਰਤ, ਨਾਰਵੇ, ਓਮਾਨ ਅਤੇ ਅਮਰੀਕਾ) ਲਗਭਗ 8500 ਬੱਚਿਆਂ ਤੋਂ ਪ੍ਰਾਇਮਰੀ ਵਿਕਾਸ ਅੰਕੜੇ ਅਤੇ ਸੰਬੰਧਿਤ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕੀਤੀ।","MGRS broadly collected primary development data and related information from around 8500 children of different ethnic backgrounds and cultures (Brazil, Ghana, India, Norway, Oman and USA)."
Children of different age groups are monitored on monthly basis by AWWs.,ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (AWWs) ਦੁਆਰਾ ਵੱਖ-ਵੱਖ ਉਮਰ ਸਮੂਹਾਂ ਦੇ ਬੱਚਿਆਂ ਦੀ ਮਾਸਿਕ ਆਧਾਰ 'ਤੇ ਨਿਗਰਾਨੀ ਕੀਤੀ ਜਾਂਦੀ ਹੈ।,Children of different age groups are monitored on a monthly basis by Anganwadi Workers (AWWs).
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","ਸਿਹਤ ਸੂਚਕਾਂ ਜਿਵੇਂ ਕਿ ਅਵਿਕਸਿਤਟਾ, ਦੁਰਬਲਤਾ ਅਤੇ ਘੱਟ ਭਾਰ ਦਾ ਪ੍ਰਚਲਨ WHO ਦੇ ਮਾਪਦੰਡਾਂ ਅਨੁਸਾਰ ਮਾਪਿਆ ਜਾਂਦਾ ਹੈ।","The prevalence of health indicators such as undernourished, weak and underweight are measured in accordance with WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,ਨਿਯਮਤ ਵਾਧੇ ਦੀ ਨਿਗਰਾਨੀ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (AWWs) ਨੂੰ ਬੱਚਿਆਂ ਨੂੰ ਢੁਕਵੀਂ ਅਤੇ ਸਮੇਂ ਸਿਰ ਸਹਾਇਤਾ ਪ੍ਰਦਾਨ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਦੀ ਹੈ,Monitoring of the regular increase helps the Anganwadi Workers (AWWs) to provide appropriate and timely support to the children
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","ਕੁਪੋਸਣ ਨੂੰ ਰੋਕਣ ਲਈ ਬੱਚਿਆਂ ਵਿੱਚ ਰੁਕੇ ਹੋਏ ਵਾਧੇ, ਦੁਰਬਲਤਾ ਪ੍ਰਤੀ ਜਾਗਰੂਕਤਾ","Awareness about stunting, under-nutrition among children"
Poshan Tracker adds new application features,ਪੋਸਣ ਟ੍ਰੈਕਰ ਵਿੱਚ ਨਵੀਂ ਐਪਲੀਕੇਸਨ ਵਿਸੇਸਤਾ ਜੁੜਦੀ ਹੈ,Adds new application specific to Potion Tracker
Making or Updating Home Visit Planner and Initiating home visits,ਹੋਮ ਵਿਜਿਟ ਪਲੈਨਰ ਬਣਾਉਣਾ ਜਾਂ ਅੱਪਡੇਟ ਕਰਨਾ ਅਤੇ ਘਰੇਲੂ ਮੁਲਾਕਾਤਾਂ ਦੀ ਸੁਰੂਆਤ ਕਰਨਾ,Create or update a Home Visit Planner and initiate home visits
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ਪੋਸਣ ਕੈਲਕੁਲੇਟਰ ਵਿਸਵ ਸਿਹਤ ਸੰਗਠਨ (ਡਬਲਿਊ ਐਚ ਓ) ਦੁਆਰਾ ਪਰਿਭਾਸਿਤ ਮਾਪਦੰਡਾਂ ਦੇ ਅਧਾਰ ਤੇ ਬੱਚੇ ਦੇ ਵਿਕਾਸ ਨੂੰ ਮਾਪਣ ਲਈ ਤਿਆਰ ਕੀਤਾ ਗਿਆ ਹੈ।,The POSHAN calculator is designed to measure child development based on parameters defined by the World Health Organization (WHO).
Migrated from one category to another,ਇੱਕ ਸ੍ਰੇਣੀ ਤੋਂ ਦੂਸਰੀ ਵਿੱਚ ਬਦਲਣਾ,Conversion from one category to another
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ਇਹ ਆਮ ਤੌਰ 'ਤੇ ਉਦੋਂ ਵਾਪਰਦਾ ਹੈ ਜਦੋਂ ਕਿਸੇ ਵਿਅਕਤੀ ਨੇ ਉੱਚਿਤ ਗੁਣਵੱਤਾ ਅਤੇ ਮਾਤਰਾ ਦਾ ਭੋਜਨ ਨਹੀਂ ਲਿਆ ਹੁੰਦਾ ਹੈ ਅਤੇ/ਜਾਂ ਉਹਨਾਂ ਨੂੰ ਅਕਸਰ ਜਾਂ ਲੰਬੇ ਸਮੇਂ ਤੋਂ ਬਿਮਾਰੀਆਂ ਹੁੰਦੀਆਂ ਹਨ,This usually occurs when a person has not taken proper quality and quantity of food and / or has had frequent or prolonged illnesses.
Malnutrition is one of the most important challenges facing contemporary India.,ਕੁਪੋਸਣ ਸਮਕਾਲੀ ਭਾਰਤ ਦੇ ਸਾਹਮਣੇ ਸਭ ਤੋਂ ਮਹੱਤਵਪੂਰਨ ਚੁਣੌਤੀਆਂ ਵਿੱਚੋਂ ਇੱਕ ਹੈ.,Kuposhan is one of the most important challenges before contemporary India.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,ਪੋਸਣ ਨੂੰ ਰਾਸਟਰੀ ਅਤੇ ਗਲੋਬਲ ਟਿਕਾ.,international and national.
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.","ਵਿਕਾਸ ਟੀਚਿਆਂ ਦੀ ਪ੍ਰਾਪਤੀ ਲਈ ਕੇਂਦਰੀ ਮੰਨਿਆ ਜਾਂਦਾ ਹੈ. . ਰਤਾਂ ਰਤਾਂ ਅਤੇ ਬੱਚਿਆਂ ਲਈ ਕਮਿ ਬਚ ਨਿਟੀ ਵਿਚ ਮਾੜੀ ਸਿਹਤ ਅਤੇ ਗਰੀਬੀ ਦੇ ਅੰਤਰਜਾਮੀ ਚੱਕਰ ਨੂੰ ਜੀਵਿਤ, ਪ੍ਰਫੁੱਲਤ ਕਰਨ ਅਤੇ ਤੋੜਨ ਲਈ ਅਨੁਕੂਲ ਅਤੇ ਪੋਸਣਕਵੀਂ ਪੋਸਣ ਜਰੂਰੀ ਹੈ.","Considered central to the achievement of development goals. Adaptive and nourishing feeding is necessary for women and children to survive, thrive and break the intrinsic cycle of ill health and poverty in society."
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ਪੋਸਣ ਅਭਿਆਨ, ਬੱਚਿਆਂ, ਕਿਸੋਰਾਂ, ਗਰਭਵਤੀ ਔਰਤਾਂ ਅਤੇ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਲਈ ਤਕਨਾਲੋਜੀ, ਇੱਕ ਨਿਸਾਨਾ ਪਹੁੰਚ ਅਤੇ ਇਕਸਾਰਤਾ ਦੁਆਰਾ ਲਾਭ ਪ੍ਰਾਪਤ ਕਰਨ ਦੇ ਪੋਸਣ ਸੰਬੰਧੀ ਨਤੀਜਿਆਂ ਵਿੱਚ ਸੁਧਾਰ ਲਿਆਉਣ ਲਈ ਭਾਰਤ ਦਾ ਮੁੱਖ ਪ੍ਰੋਗਰਾਮ ਹੈ ।","POSHAN Abhiyaan is India's flagship programme to improve nutritional outcomes through convergence, access to technology for children, adolescents, pregnant women and lactating mothers."
Hot Cooked Meal (HCM) given in last 30 days,ਪਿਛਲੇ 30 ਦਿਨਾਂ ਵਿੱਚ ਦਿੱਤਾ ਗਿਆ ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ (ਐਚਸੀਐਮ),Hot Cooked Meals (HCM) served in last 30 days
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,ਪੋਸਨ ਟਰੈਕਰ ਵਿੱਚ ਆਂਗਣਵਾੜੀ ਸੇਵਾ ਸਕੀਮਾਂ ਦੇ ਅੰਕੜੇ ਅਪਲੋਡ ਕਰਨਾ,Uploading data of Anganwadi Services Schemes in POSON Tracker
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,ਪੋਸਨ ਟਰੈਕਰ ਆਖਰੀ-ਮੀਲ ਦੇ ਨਾਜੁਕ ਲਾਭਪਾਤਰੀਆਂ ਲਈ ਸਵੈਚਲਿਤ ਚੇਤਾਵਨੀਆਂ ਤਿਆਰ ਕਰਦਾ ਹੈ।,The POSON tracker generates automated alerts for last-mile vulnerable beneficiaries.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,ਇਹ ਲਾਭਪਾਤਰੀਆਂ ਅਤੇ ਡਿਊਟੀ ਧਾਰਕਾਂ ਦੀ ਅਸਲ ਸਮੇਂ ਦੀ ਹਾਜਰੀ ਦਾ ਪ੍ਰਸਤੁਤੀਕਰਨ ਕਰਕੇ ਡਿਲੀਵਰੀ ਪ੍ਰਣਾਲੀ ਦਾ ਕੁਸਲ ਆਡਿਟ ਵੀ ਯਕੀਨੀ ਬਣਾਉਂਦਾ ਹੈ।,It also ensures efficient audit of the delivery system by presenting the real time attendance of the beneficiaries and the duty holders.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","ਇਹ ਪ੍ਰਬੰਧਨ ਸੂਚਨਾ ਪ੍ਰਣਾਲੀ ਪੋਸਣ ਪ੍ਰੋਗਰਾਮ ਨੂੰ ਕੁਸਲਤਾ ਨਾਲ ਸਕੇਲ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰੇਗੀ, ਇਸ ਤਰ੍ਹਾਂ ਸਕਾਰਾਤਮਕ ਪ੍ਰਭਾਵ ਪੈਦਾ ਕਰਨ ਅਤੇ ਦਸਤਾਵੇਜ ਬਣਾਉਣ ਵਿੱਚ","This Management Information System will help in efficiently scaling up the nutrition programme, thus creating a positive impact and creating documentation"
How can one Download Poshan Tracker App?,ਕੋਈ ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਕਿਵੇਂ ਡਾਊਨਲੋਡ ਕਰ ਸਕਦਾ ਹੈ?,How to download the Poshan Tracker App?
"Clarification regarding Cost of Smart phones (03 June, 2021)","ਸਮਾਰਟ ਫੋਨਾਂ ਦੀ ਕੀਮਤ ਬਾਰੇ ਸਪਸਟੀਕਰਨ (03 ਜੂਨ, 2021)","Clarification regarding Price of Smartphones (June 03, 2021)"
